"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Operator","Good morning, ladies and gentlemen, and welcome to the Caterpillar Year End 2009 Earnings Results Call. [Operator Instructions] It is now my pleasure to turn the floor over to your host, Mr. Mike DeWalt, Director of Investor Relations. Sir, the floor is y",43,"Good morning, ladies and gentlemen, and welcome to the Caterpillar Year End 2009 Earnings Results Call. [Operator Instructions] It is now my pleasure to turn the floor over to your host, Mr. Mike DeWalt, Director of Investor Relations. Sir, the floor is yours."
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Executives","Thank you very much. And good morning, and welcome to the Caterpillar Year End Earnings Conference Call. I'm Mike DeWalt, the Director of Investor Relations. And I'm pleased to have our Chairman and CEO, Jim Owens; our Vice Chairman and Chairman Elect, Do",2722,"Thank you very much. And good morning, and welcome to the Caterpillar Year End Earnings Conference Call. I'm Mike DeWalt, the Director of Investor Relations. And I'm pleased to have our Chairman and CEO, Jim Owens; our Vice Chairman and Chairman Elect, Doug Oberhelman; and our CFO, Dave Burritt, with me on the call today.As always, this call is copyrighted by Caterpillar Inc., and any use, recording or transmission of any portion of this call without the expressed written consent of Caterpillar is strictly prohibited. If you'd like a copy of today's call transcript, you can go to the SEC Filings area of the Investor section of our cat.com website or to the SEC's website, where it will be filed as an 8-K.  In addition, certain information relating to projections of our result that we'll be discussing today is forward-looking and involves risks, uncertainties and assumptions that could cause actual results to materially differ from the forward-looking information. A discussion of some of the factors that either individually or in the aggregate we believe could make actual results differ materially from our projections can be found in our cautionary statements under Item 1A, Business Risk Factors, of our Form 10-Q filed with the SEC on October 30, 2009. And it's also on our Safe Harbor language contained in today's release.  Earlier this morning, we reported results for the fourth quarter and the full year of 2009, and we provided an outlook for 2010.  Sales and revenues were $7.9 billion for the quarter and $32.4 billion for the full year. And that was about in the middle of our $32 billion to $33 billion outlook for sales and revenues in 2009. So in general, sales and revenues were about as expected. Profit in the fourth quarter was $0.36 per share, and that included redundancy costs of $0.05 a share. Excluding redundancy, profit was $0.41 a share. Full year profit was $1.43 per share, including redundancy costs of $0.75.  Excluding redundancy, profit was $2.18 a share. At $2.18, profit was $0.13 higher than the top-end of our 2009 profit outlook, largely a result of favorable taxes. The $7.9 billion of sales and revenues in the fourth quarter was down about $5 billion or 39% compared with the fourth quarter of 2008. And similar to prior quarters this year, the decline was primarily due to significantly-lower end user demand and continued dealer inventory reductions and partially offset by favorable price realization. Currency was also favorable to sales in the fourth quarter.Fourth quarter profit per share of $0.36 was $0.72 lower than the $1.08 in the fourth quarter of 2008. But given the $5 billion drop in sales and revenues, the $0.72 per share drop in fourth quarter profit was relatively modest. Significant cost reduction and favorable price realization helped to offset a large portion of the impact of lower sales volume.Combined, our manufacturing, R&D and SG&A costs were $1.1 billion lower than the fourth quarter of 2008. For the year, sales and revenues of $32.4 billion, declined about $19 billion or 37% from $51.3 billion in 2008. Machinery volume was off $13.9 billion. Engine volume was down $5.1 billion. And currency impacts in Financial Products revenues were each negative, over $400 million.Dealer inventory changes contributed to a decline in year-over-year sales volume. And to fully understand the impact on the 2009 versus 2008 change in sales, we need to understand what actually happened to inventory in both 2008 and 2009. In 2008, dealers increased machine inventories by $1.5 billion and engines about $700 million. That means that our 2008 sales were higher than end user demand by about $2 billion. In contrast, dealers cut machine inventories $3.3 billion and engines about $600 million in 2009. That means that our sales of machines and engines were nearly $4 billion lower than end user demand in 2009.So there are two key points in here. First, when looking at the '08 to 2009 year-over-year change in our top line, dealer inventory changes drove about $6 billion of the $19 billion decline. The second key point is that we undersold end user demand in 2009, and that's a positive for 2010.Let's turn to profit. For the full year, profit declined from $5.66 in 2008 to $1.43 in 2009. Redundancy cost in 2009 were $706 million before tax, $471 million after tax and have an impact of $0.75 per share. So again, excluding redundancy cost, profit per share was $2.18.Without a doubt, the drop in sales volume was the major negative profit driver. However, the impact of lower volume was partially offset by several favorable factors. First, cost reduction was substantial. We had a strategy in place for the trough of the business cycle and executed it early and aggressively to lower costs. For the year, manufacturing costs were favorable, more than $600 million, and SG&A and R&D costs combined were favorable $1.3 billion.  In addition, taxes were favorable. Price realization was favorable about 3%, and that's a positive impact of over $900 million. Currency was a positive and product mix was favorable.Without a doubt, cost reduction was a major focus and a big success in 2009. And I think most of you know that, and we've talked about it throughout the year. But there were a number of other successes in 2009 besides cost reduction. And when you look at them in their totality, it paints a fuller picture of the hard work and success achieved by the entire Caterpillar Team in what was one of the most economically-difficult years in modern history. Here are some of the highlights.  First, despite the most significant percentage decline in our sales and revenues since the mid-1940s, we delivered solid profitability, $1.43 a share or $2.18, excluding redundancy. And that included the 3% improvement in price realization in 2009. And in this demand environment, that was remarkable.In addition to profit, it was a good year for cash flow. Machinery and Engines operating cash flow was about $3 billion in 2009. That's down from $3.6 billion in 2008, but considering the challenges that 2009 presented, it was a good year for cash flow. The balance sheet dramatically improved in 2009. The debt-to-capital ratio for Machinery and Engines improved from 57.5% at year end 2008 to 47.2% at year end 2009. On top of the debt-to-cap improvement, we added significantly to cash.  And on a consolidated basis, we held nearly $5 billion at year end 2009. Our financial position was helped by improvements in working capital, including a $2.4 billion inventory reduction. In addition, the net of accounts payable and accounts receivable was also favorable. Strong financial position, continued profitability and solid cash flow enabled us to maintain the dividend rate. The dividend was and is a high priority. We're pleased that we had the financial strength to maintain the dividend rate in such a difficult environment, a year that saw many companies eliminate or cut their dividends.Despite nearly-frozen debt markets in late 2008 and early 2009, Caterpillar and Cat Financial maintained good access to capital markets for both short-term commercial paper and long-term debt and without participating in government programs.  For both Caterpillar Inc. and Cat Financial, we maintained our mid-A credit rating in 2009. And speaking of Cat Financial, during a very tough year for banks and financial companies in general that so many of them fail or lose money, Cat Financial was solidly profitable in every quarter of 2009. And it's also noteworthy that Cap Financial's past dues improved during the fourth quarter. In addition, we funded pension plans by $1.1 billion in 2009 through a combination of Cat and Caterpillar stock. The Cat stock appreciated about 60% from the time it was contributed in May to year end 2009.  In addition, the funded status of our pension plans also improved from 61% at year end 2008 to 76% at the end of 2009.And in terms of investment for the future, we did reduce capital expenditures and R&D from record highs in 2008. However, we were still able to invest $1.3 billion in CapEx in 2009, and our R&D was the second-highest year on record.The highlights for the year wouldn't be complete without touching on the entire Caterpillar Team: our employees, our suppliers and our dealers. Cost reduction, while necessary to keep the company strong and positioned for long-term success, was painful. Many people lost their jobs, and many others endured rolling layoffs, cuts in compensation and uncertainty about the future. Throughout 2009's economic troubles, our employees pulled together to get the job done. Our accomplishments in 2009 are a result of a dedicated and engaged workforce. And for those employees listening to this call, thank you.Many of our suppliers had a tougher year than we did. In addition to weak end user demand and the impact of Cat dealer inventory reductions, they saw even deeper cuts as we reduced inventories in our factories. They responded, and we did not experience significant supply disruption from our supply base. And that's a testament to their ability to manage through a very tough year. Finally, it's appropriate to wrap up a summary of 2009 accomplishments and highlights with a comment on Cat dealers. The dealers are a significant competitive advantage. They're very well-ran businesses that are well established in their territories, and they have a strong reputation for customer service. It's partly because of the focus on service and aftermarket support that our dealers were able to weather a very tough year like 2009.And I'm pleased to report that the Caterpillar dealer network is intact. That should wrap up 2009. Let's look forward to 2010.  The good news is that both economic data and what we are seeing in our business points to a better 2010. From an economic standpoint, we expect that the world economy will grow more than 3% in 2010. We expect that interest rates will remain low. With unemployment rate high, inflation low and plenty of slack capacity in the economy, we don't think there's a need for higher interest rates. While we don't think inflation will become a problem, we do expect that some Central Banks may implement precautionary rate increases. And our outlook reflects an increase by the Federal Reserve to 1% and an increase by the European Central Bank to 2% by year end 2010.Most commodity prices that are important to our business improved during 2009 and are at levels that are above what we believe is needed to encourage increased production and investment. We also expect that improving economic conditions will add to world demand for most commodities.Recovery in the world economy is being led by developing economies, which are growing again. China is important, and we expect continued good growth. And in addition, we are expecting better growth in 2010 for most of the developing world. However, developed economies have performed poorly and recoveries have been slower to advance. We expect that developed economies will grow much slower, at about 2% in 2010, which should maintain significant excess capacity in the economy and should keep inflation subdued.  In that 2% number for developed economies, we expect U.S. growth of about 3 1/2%, with slower growth of about 1 1/2% in Japan and 1% in Europe. Now based on our economic outlook, we expect that our 2010 sales and revenues will be up 10% to 25% from 2009. And key elements of that forecast include, first, dealer inventory. In 2009, again, dealers reduced new machine inventories by $3.3 billion and engines by about $600 million. And again, that was negative for our sales last year of almost $4 billion. In 2010, we don't expect much change in dealer inventories, and so dealer inventory is the most significant year-over-year positive for sales.Growth in the world economy is driving improved demand for commodities. And that, along with favorable commodity prices, should be positive for mining-related sales in 2010. And over the past few months, mining-related order activity has increased substantially, and we expect increased production of mining-related equipment in 2010.Improved economic conditions, particularly in the developing economies, should also improve construction spending and increase end user demand for Machinery. While Machinery sales are expected to increase in 2010, at the midpoint of our outlook range, Engines sales are expected to decline. 2009 was a record year for turbine sales and large reciprocating engine sales were relatively strong through the first half of 2009. While we expect another good year for turbine sales, we are forecasting moderation from 2009's record level. In terms of profit, at the midpoint of the outlook range for 2010 sales and revenues, we expect that profit will be about $2.50 a share. The most significant positive for the 2010 profit outlook is sales volume.  Again, primarily driven by higher machine sales.  Redundancy costs should be favorable compared with 2009. While redundancy costs were $706 million in 2009, we do not expect significant charges in 2010.Material costs are expected to be favorable in 2010, and improved operating efficiency should also be a positive, a result of higher production volume and continuing improvement from the Cat Production System. Price realization is expected to be slightly favorable, but the improvement is anticipated to be small relative to 2009's improvement.  Financial Product's profit before tax is expected to be about flat compared with 2009, as the impact of improving economic conditions on the performance of that portfolio is expected to be about offset by the impact of lower earning assets.While we're encouraged by improving economic conditions in 2010, there are several important factors that are expected to mitigate the improvement in profit. And the most significant is income taxes. In 2009, if you exclude redundancy costs and the tax related to redundancy, income tax was actually favorable, about 3% of profit before tax. And again, that's excluding redundancy. That was a combination of a very favorable geographic mix of profits and losses from a tax perspective and $133 million of tax benefits, primarily related to the settlement of prior-year returns. Our 2010 outlook of $2.50 a share assumes a tax rate of 30%, which is more in line with historical levels.In addition to taxes, product mix is expected to be unfavorable. The impact of dealer inventory declines in 2009 had a more significant negative impact on smaller, low-margin machines. As a result, production and sales of smaller machines will likely be proportionately higher in 2010.In addition, while total sales and revenues are expected to be up 10% to 25% in 2010, sales of relatively higher-margin turbines and large reciprocating engines are expected to decline. In addition, LIFO inventory decrement benefits in 2009 were $300 million, and we're not forecasting additional LIFO decrement benefits in 2010.R&D expense is expected to increase about 20%, primarily to support product development programs related to EPA [Environmental Protection Agency] Tier 4 emission requirements.  Another unfavorable item is related to currency.  In 2009, in the other income and expense line on the income statement, we had favorable currency impacts that we're not expecting to repeat in 2010. And depreciation and pension expense are also expected to increase. Finally, earnings per share is being impacted somewhat by higher share count. And this is a result of the stock contributed to the pension plan in the second quarter of 2009 and some increase in dilution related to equity-based compensation.One final point about 2010, and that is we expect improvements to ramp up as we progress through the year. And that's just the opposite of what happened in 2009. The first quarter of 2009 was our highest quarter for sales and revenues in a year. In 2010, the first quarter will likely be the lowest. So on a year-over-year comparative basis, the first quarter will be the toughest comparison by far. We don't provide quarterly sales and profit guidance, and we don't plan to start. But it's safe to say that we expect that the first quarter of 2010 will be well less than a fourth of the year's outlook for sales and profit.That summarizes the outlook. We certainly had a roller coaster year in 2009, severely depressed demand and significant reductions in dealer inventories, partially offset by very good execution by the entire Caterpillar Team. And finally, we are optimistic about a return to growth in 2010. With that, we're ready to take your questions."
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Operator","[Operator Instructions] Our first question today is coming from David Raso. [ISI Group]",13,"[Operator Instructions] Our first question today is coming from David Raso. [ISI Group]"
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Analysts","Given what I view as disappointing fourth quarter margins for the Engine business, I'd appreciate your view on your Engine margins for 2010. And when it comes to the midpoint of your sales guidance, the lack of dealer destocking in '10 would achieve 13 1/",103,"Given what I view as disappointing fourth quarter margins for the Engine business, I'd appreciate your view on your Engine margins for 2010. And when it comes to the midpoint of your sales guidance, the lack of dealer destocking in '10 would achieve 13 1/2% of your 17 1/2% sales guidance midpoint, so obviously, there's some retail sales growth baked in. Are you assuming North America machine growth at the retail level as positive? And if any other color around any of the geographies? I know you mentioned China. I'm just thinking what's the net retail offset to the Engine business being down."
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Executives","David, this is Mike. I'll start out. Certainly, Engine margins in the fourth quarter were actually pretty good, nearly 10%, but they are down from earlier in the year. In fact, I think they peaked in the second quarter. We had particularly good sales of t",121,"David, this is Mike. I'll start out. Certainly, Engine margins in the fourth quarter were actually pretty good, nearly 10%, but they are down from earlier in the year. In fact, I think they peaked in the second quarter. We had particularly good sales of turbines in the second and third quarter. And big diesels, higher-margin diesels, were strong certainly through the second quarter. So I think much of the decline in Engine margin in the fourth quarter was related to mix. In terms of your question on next year's retail sales, we do have a small increase built in for retail sales for North America next year. But certainly, the most significant increases are outside the U.S., Asia, Latin America."
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Executives","I'll just echo that. Jim Owens, David. I mean, our dealers and customers in the U.S. are pretty sanguine about the economic recession that we've just come through. And a lot of uncertainty, most of the strength in machine retail sales is coming outside th",53,"I'll just echo that. Jim Owens, David. I mean, our dealers and customers in the U.S. are pretty sanguine about the economic recession that we've just come through. And a lot of uncertainty, most of the strength in machine retail sales is coming outside the U.S. in commodity-related sectors in developing countries."
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Operator","Our next question today is coming from Robert Wertheimer. [Morgan Stanley]",11,"Our next question today is coming from Robert Wertheimer. [Morgan Stanley]"
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Analysts","My question is on mining demand capacity. Could you talk about whether it's conceivable from a demand front to be back towards the peak levels in 2010 on mining? We're hearing very bullish things generally on mining. And second, could you review the statu",83,"My question is on mining demand capacity. Could you talk about whether it's conceivable from a demand front to be back towards the peak levels in 2010 on mining? We're hearing very bullish things generally on mining. And second, could you review the status of your capacity transition of the greater access [ph]? Are you in a position to produce right now your prior peak capacity? And how far above that do you think you can go when you get that completely finished?"
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Executives","I think it largely depends upon which part of mining we're talking about. If you look at the really big trucks, say 785 and above, we're looking for a pretty good year. I would say approaching 2008. But we're in a situation where U.S. coal is still very w",107,"I think it largely depends upon which part of mining we're talking about. If you look at the really big trucks, say 785 and above, we're looking for a pretty good year. I would say approaching 2008. But we're in a situation where U.S. coal is still very weak, and so things like big tractors and maybe the 100-ton trucks that are big in U.S. coal not up as much as the really big trucks. So I think all in all, it's going to be a pretty good year for mining, particularly the big trucks serving Latin America and Asia, probably less so in the U.S."
259378,84215357,47179,"Caterpillar Inc., Q4 2009 Earnings Call, Jan-27-2010",2010-01-27,"Earnings Calls","Caterpillar Inc.","Executives","I think just on the capacity capability ramping up, there's a good article in the Wall Street Journal today. First off, we spent an, I think, great tribute to our employees. We had very solid progress on deployment of the Cat Production System, steady imp",184,"I think just on the capacity capability ramping up, there's a good article in the Wall Street Journal today. First off, we spent an, I think, great tribute to our employees. We had very solid progress on deployment of the Cat Production System, steady improvement throughout the year 2009. A lot of process discipline. We are working hard with our supply base, and we started that some months ago to be in a position to ramp up much more smoothly and rapidly than we did in the past with good pull through. And I think that gives -- I mean, quite frankly, nobody is very good at forecasting capital good sales and how fast it might ramp up. The key is being able to ramp up and do so pretty smartly. And I think we're largely capacitized for north of $50 billion in sales. So our ability to ramp up is really a function of how well we manage the supply chain and suppliers. And we're way out in front compared to any previous cycle I know of in getting ready for that eventuality."
