"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Operator","Welcome to the Celgene Fourth Quarter Earnings Call. I'd like to turn the call over to the CFO of Celgene, Dave Gryska.",22,"Welcome to the Celgene Fourth Quarter Earnings Call. I'd like to turn the call over to the CFO of Celgene, Dave Gryska."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Executives","Good morning, everyone, and thank you for joining us today. And I'm Dave Gryska, Celgene's Chief Financial Officer. And I'd like to welcome you to Celgene's year-end conference call for 2009. With me are Celgene's Chairman and Chief Executive Officer, Sol",340,"Good morning, everyone, and thank you for joining us today. And I'm Dave Gryska, Celgene's Chief Financial Officer. And I'd like to welcome you to Celgene's year-end conference call for 2009. With me are Celgene's Chairman and Chief Executive Officer, Sol Barer; and President and Chief Operating Officer, Bob Hugin. The press release reporting our fourth quarter and full-year financial operating results was issued earlier this morning, and is also available on our corporate website. In addition, today's conference call webcast will include a presentation, which you can access by going to the Investor Relations section of our website at celgene.com. Dr. Barer will start the call with an overview of accomplishments and strategic outlook for 2010 and beyond. I'll take you through our financial results for 2009 and our financial outlook for 2010. Then Bob will review our operational and commercial results for 2009, and share with you his perspective on operational and commercial prospects moving forward.Before we start, we want to remind you that our discussions during this conference call will include forward-looking statements. Our actual results, performance or accomplishments could be materially different from those projected by these forward-looking statements. The factors that could cause actual result, performance or achievements to differ from the forward-looking statements are discussed in our filings with the Securities and Exchange Commission, such as our Form 10-K, 10-Q and 8-K reports. Given these risks and uncertainties, you are cautioned not to place undue reliance on our forward-looking statements.Also, our discussions during this call will include certain non-GAAP financial measures. Non-GAAP financial measures provide investors and management with supplemental measures of operating performance and trends that fluctuate (sic) [facilitate] comparisons between periods before and after, certain items that would not otherwise be apparent on a GAAP basis. Reconciliations of these non-GAAP financial measures to the most comparable GAAP measures are available as part of our earnings release at Celgene's website at celgene.com in the Investor Relations section. Now I'll turn the call over to our Chairman and Chief Executive Officer, Dr. Sol Barer."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Executives","Thank you, Dave, and good morning everyone. In many ways, 2009 was a transformational year for Celgene. We took major steps towards building a preeminent global biopharmaceutical company.  And we're pleased to report [indiscernible] in the advancement of",855,"Thank you, Dave, and good morning everyone. In many ways, 2009 was a transformational year for Celgene. We took major steps towards building a preeminent global biopharmaceutical company.  And we're pleased to report [indiscernible] in the advancement of our therapies for cancer and immune-inflammatory diseases, they are also reflected in our commercial, operational and financial results. We made extraordinary progress across all factors of our business, including continuing to grow as a global company with our therapies available in nearly 70 countries.  Our products are the global market leaders in their indications. REVLIMID is the global leader in the treatment of multiple myeloma, and its share in the marketplace continues to grow. Over the past six months, a continuous flow of positive clinical data has been released, demonstrating the breadth of REVLIMID's activities. These studies have shown there is potential for the development of REVLIMID to become the foundation of myeloma therapy from smoldering to salvage, as well as the new indications, creating the opportunity for changing treatment paradigms.  We are also expanding VIDAZA, the global market leader in MDS [Myelodysplastic Syndrome] through market share gains and geographic expansion in Europe and the rest of the world.Importantly, we're making substantial progress in the development of our deep and diversified pipeline by advancing more than 30 clinical programs to address high unmet medical needs in more than 25 serious and debilitating diseases. Some recent highlights include the reporting of positive clinical data in myelofibrosis and myeloma at major medical meetings and in peer reviewed journals for our new hematologic agent, pomalidomide. We plan to enter pivotal clinical trials with pomalidomide this year for both multiple myeloma and myelofibrosis. As we expand our hematology/oncology franchise, we recently added a new and strategic product, ISTODAX through the acquisition of Gloucester Pharmaceuticals. Last quarter, ISTODAX received FDA approval for the second-line treatment of cutaneous T-cell lymphoma, and will be our first entry into the important lymphoma market. We look to expand ISTODAX in peripheral T-cell lymphoma and potentially in a number of other diseases, while leveraging our current infrastructure. Our lead product candidate in our immune-inflammatory franchise, apremilast has made significant clinical progress. Apremilast reached the primary endpoint in two Phase II trials, one in psoriasis and one in psoriatic arthritis. We look forward to starting Phase III registration trials in these indications this year. This is an exciting new area of multibillion-dollar potential for Celgene, and we are proud to have developed apremilast in our own laboratories.This quarter, we plan to announce results from a trial of PDA-001, our cellular therapy in patients with Crohn's disease, and potentially extend this new therapy to other serious diseases with unmet medical needs. This will mark the first time this new therapy has been studied in humans. This new area of medicine places Celgene at the forefront of drug development in this area for many years to come.So why am I excited about Celgene's future? We have consistently performed in all aspects of our business, ranging from science to clinical, to manufacturing, to commercial, to financial, demonstrating we have the entrepreneurial culture and capability to continue to grow and sustain a leadership position in our industry. We have made and will continue to make significant investments in our pipeline. We're exploring next-generation programs that include small molecules, biologics, cellular therapies and vaccines. We have 20 Phase III and pivotal clinical trials underway, fueled by our prolific research and translational efforts towards the objective of ensuring the virtuous cycle of innovation continues to provide results for patients and Celgene's stakeholders around the world.Our robust pipeline strategically positions us to consistently produce unique therapies to seriously-ill patients. We will continue to grow our leading hematology franchise, which has one of the broadest portfolios of disease-altering therapies for blood cancers. Both internally, where we have an excellent track record and via business development, where we continue to demonstrate strategic partnerships and acquisitions. We will continue to expand in ways that will transform treatment paradigms, such as with our IMiD compounds, epigenetic therapeutics, HDAC inhibitors, cytokine inhibitors, kinase inhibitors, activin inhibitor, cellular therapies and more. We are opening the door to a new franchise, our Inflammatory business, where our current product candidates have the potential to treat millions of people, in addition to our hematology franchise, where we can impact the lives of over 2 million patients worldwide. We have the financial resources, the operational excellence, the scientific and clinical capabilities, the geographic breadth and most importantly, the excellent people with commitment to make a positive impact on the industry and lead to changing treatment paradigms. We will continue to grow our current products, while we acquire and develop new ones. We have delivered leading financial results year after year, and 2009 was no different. Our innovative and entrepreneurial culture is helping us growth into one of the premier global biopharmaceutical companies in the world. We are energized by this momentum and look forward to 2010 and beyond. Here to tell you more about our record financial results from 2009 and give you guidance on our 2010 outlook, is our Chief Financial Officer, Dave Gryska."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Executives","Thanks, Sol. 2009 was an exceptional year in which Celgene again, delivered again record operating performance. Despite challenges in the global economic environment, total non-GAAP revenue increased approximately 20% year-over-year to a record $2.7 billi",924,"Thanks, Sol. 2009 was an exceptional year in which Celgene again, delivered again record operating performance. Despite challenges in the global economic environment, total non-GAAP revenue increased approximately 20% year-over-year to a record $2.7 billion. This increase was driven primarily by exceptional growth from our REVLIMID franchise, the continued growth of the VIDAZA in the U.S. and a strong launch of VIDAZA in Europe. During the fourth quarter of 2009, total non-GAAP revenue increased approximately 22% year-over-year to $758 million. Non-GAAP net income for the fourth quarter was $290 million and non-GAAP diluted earnings per share was $0.62. Non-GAAP net income for 2009 was a record $971 million, and non-GAAP diluted earnings per share have increased to $2.8.Total non-GAAP net product sales increased to $722 million for the fourth quarter, up 22% from $591 million in the year-ago quarter. This is an increase of 9% over the third quarter of 2009.Fourth quarter REVLIMID net product sales were $497 million, an increase of 35% over the fourth quarter of 2008, and 11% increase over the third quarter of 2009.Full year 2009 REVLIMID net product sales were $1.7 billion, an increase of 29% from 2008 sales of $1.3 billion. Turning to VIDAZA, net product sales for the quarter were $117 million, an increase of 68% in the year-ago quarter, and a 13% over the third quarter of 2009. THALOMID net sales were $108 million for the quarter, down 15% as compared to a year-ago quarter, and down 2% over the third quarter.For the fourth quarter of 2009, sales of REVLIMID in the U.S. were $291 million, and international sales were $206 million, representing an increase of 7% and 17%, respectively on a sequential quarterly basis. For the full year of 2009, REVLIMID international sales represented 39% of total REVLIMID sales. We expect international sales of REVLIMID to be approximately 45% of total REVLIMID sales for 2010.Our non-GAAP gross profit margin for 2009 was approximately 92%. For 2010, we expect an improvement in gross margin of approximately 100 basis points. Now turning to expenses. Non-GAAP R&D expense during the fourth quarter was $182 million, slightly higher than R&D expense of $178 million for the third quarter of 2009. Non-GAAP R&D expense was $696 million for 2009. We will continue to strategically invest in our R&D in 2010, as we seek to advance our very deep and promising product pipeline. During 2010, our development efforts will evaluate multiple compounds in more than 20 pivotal and Phase III clinical trials. Our key development programs are guiding REVLIMID in all stages of multiple myeloma, as well as pivotal Phase III trials in NHL and CLL. We will also conduct late-stage trials for apremilast, pomalidomide, amrubicin, ISTODAX and we will continue to advance other promising compounds with clinic, including ACE-001, PDA-001 and our kinase inhibitor programs. All of these development efforts are expected to contribute to our long-term revenue growth. As a result of continued commitments to R&D, we expect 2010 R&D expense to increase approximately 20% versus 2009.Taking a look at SG&A. Non-GAAP selling, general administrative expenses did increase to $193 million during the fourth quarter, as compared to $172 million during the third quarter of 2009. For 2009, non-GAAP SG&A expenses were $679 million. We expect SG&A expenses in 2010 to increase approximately 5% versus 2009, as we continue our global expansion of REVLIMID and VIDAZA in new markets and in particular, REVLIMID in Japan.Turning to taxes. Our non-GAAP tax rate for 2009 was approximately 21%. We anticipate to reduce the non-GAAP tax rate by approximately 100 basis points for 2010.  As you are aware, we hedged our balance sheet foreign currency exposures and our company foreign currency transactions and exposure related to certain euro-based revenue and expense. The impact of foreign currency on top line revenue on a sequential quarter basis was immaterial. In addition, during the fourth quarter, we realized approximately $7 million in hedging and re-evaluation gains, which was included in other income.In summary, this was an exceptional year with record revenue and earnings. We ended 2009 with cash and marketable securities of approximately $3 billion. In addition, we repurchased approximately 1.2 million shares of common stock during the quarter. On a year-to-date basis, we have repurchased 4.3 million shares. For 2010, we expect our operations to generate approximately $1.2 billion in cash, and expect to spend approximately $115 million in capital expenditures. Turning to our financial outlook for 2010. We expect total revenue to increase by approximately 20% versus 2009 to a range of $3.2 billion to $3.3 billion. We expect REVLIMID net product sales will increase approximately 25% year-over-year to a range of $2.1 billion to $2.2 billion. We also anticipate that non-GAAP diluted earnings per share will increase approximately 25% to a range of $2.55 to $2.60 for 2010.In conclusion, our company has never been in a stronger position to execute on the global expansion plan for our Hematology, Oncoloy and Inflammation Franchises. As you can see, we have further improved our operating efficiency and leverage during 2009. Our clinical, regulatory, manufacturing and financial execution as well as our investment information technology have delivered one of the best operating margins, gross margins and tax rates in our peer group. We are truly well positioned to achieve our goals in 2010. Now I'll turn the call over to our President and Chief Operating Officer, Bob Hugin, to expand on the global, commercial, clinical and regulatory achievements in the year and discuss the key objectives that will lead to continued success in 2010 and beyond."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Executives","Thanks, Dave. As you've heard, 2009 was an extraordinarily successful year for Celgene. We achieved or exceeded major corporate objectives across all areas of the company. Dave highlighted the exceptional fourth quarter and full year 2009 financial result",2233,"Thanks, Dave. As you've heard, 2009 was an extraordinarily successful year for Celgene. We achieved or exceeded major corporate objectives across all areas of the company. Dave highlighted the exceptional fourth quarter and full year 2009 financial results. I'll review our most significant accomplishments in 2009 and outline the key drivers and objectives for continued excellent performance in 2010.At the beginning of 2009, we identified the strategic initiatives and activities required to deliver outstanding performance. We executed against these imperatives in 2009. Our results this past year are a clear reflection of operational excellence across the globe and across functions.Continued market penetration, market share gains and increased duration of our products drove year-on-year revenue growth. Our international expansion significantly contributed to our operating results with new markets filling [ph] revenue growth during the second half of 2009. We are beginning to realize the operating leverage from our investments to build a global franchise, with international markets contributing an increasing percentage of our revenue. In 2009, we advanced multiple late stage clinical programs with 20 pivotal trials now either underway or planned to start in 2010. Our medium-term pipeline is also more robust now than it was 12 months ago, with several key programs advancing to Phase II this year. Our teams advanced 12 compounds in development and numerous preclinical programs and we expanded important collaborations with our external partners.2009 was an exceptional year for Celgene into advancing these key strategic initiatives. In the following slides, I will share my perspective for these results in greater detail, and describe the key drivers for 2010.  The results of the fourth quarter were outstanding. Total revenue increased by more than 20% year-over-year, driven by strong REVLIMID and VIDAZA sales. The quarter was also highlighted by a significant new data on REVLIMID, apremilast, VIDAZA, THALOMID and pomalidomide. And in December, we announced the strategic acquisition of Gloucester Pharmaceuticals.Our commercial teams performed well in all geographic territories. Global market penetration, increasing the treatment duration and international expansion all contributed to the outstanding fourth quarter and full-year REVLIMID performance. Total U.S. REVLIMID market share in the multiple myeloma market grew to approximately 37%. And in major European market, second-line share increased by more than 35% during the year. In the United States, duration grew to roughly 11.8 months, and in Europe, to approximately 7.5 months. Later in the fourth quarter, the commercial launch in Australia continued our track record of successfully securing REVLIMID pricing and reimbursement agreements across the globe.  Japan is our next major opportunity. With a regulatory decision expected mid-year and reimbursement and commercial launch targeted for late this year.Fourth quarter REVLIMID results provide a strong foundation for 2010. Share gains in early lines of therapy across major markets, full-year sales in the U.K., Canada, Australia and Latin America and increasing treatment duration remained the key growth drivers. The recent positive announcements by the U.S. cooperative group, CALGB and the French cooperative group IFM, regarding Phase III myeloma studies provide additional support for continuous REVLIMID therapy. We expect this important new data to be presented at major medical meetings later this year.Our position in the global MDS market has never been stronger. In 2009, our focus was on continued growth in the United States, while executing our best-in-class commercial launch in Europe. VIDAZA global sales increased 68% year-over-year, and 13% quarter-over-quarter. In the U.S., VIDAZA is the overwhelming market leader in higher-risk MDS, and in Europe, we are rapidly establishing a treatment standard for the disease. Following regulatory approvals in 2009, we're seeking VIDAZA reimbursement in Canada, Australia and Latin America. The presentation of the data from MDS-004, our controlled study of REVLIMID and Del 5Q MDS, at the American Society of Hematology meeting confirmed the significant clinical benefit of REVLIMID for the treatment of transfusion-dependent, low-risk Del 5Q MDS. We're actively developing regulatory strategies for key global markets with the combined MDS-003 and MDS-004 studies.Continuing the rapid adoption of VIDAZA in Europe for the treatment of all classifications of MDS and a subset of patients with AML is the most important growth driver in 2010. Our teams are focused on following the successful European launch in other markets. As the recognized standard of care, VIDAZA continues to be the subject of an intense clinical investigation. We expect and look forward to additional results of single-agent and combination studies, including those with REVLIMID at major medical meetings later this year.Data presented at the annual American Society of Hematology Meeting has historically been a major catalyst for our products. At the 2009 ASH Meeting, a record 218 abstracts and over 50 oral presentations were delivered on Celgene products. Leading investigators and cooperative groups presented significant new REVLIMID data across all stages of myeloma. As Sol mentioned, from smoldering to relapsed refractory. The interim data from the Phase III MM-015 trial highlighted the benefits of continuous REVLIMID therapy by significantly prolonging progression free survival compared with a fixed course of therapy.  In patients with high-risk smoldering myeloma, early results show that REVLIMID significantly delay the time to active disease. REVLIMID is the first treatment to show a benefit in this patient population. We expect additional updates of these studies in 2010.Building on a preclinical hypothesis of antibody-dependent cellular cytotoxicity or ADCC, encouraging Phase II data of REVLIMID with Rituxan was presented at ASH. This combination produced high-response rates in first line and relapsed refractory indolent lymphoma, including a 94% complete response rate in untreated follicular lymphoma. Promising data from this combination was also reported in chronic lymphocytic leukemia. In heavily pretreated CLR patients, the overall response rate was 64% with generally manageable side effects.We're optimistic that the data from ASH 2009 will again be a catalyst for our clinical, commercial and regulatory programs. Immediately following ASH, the two cooperative groups that I mentioned earlier, CALGB and IFM, reported initial data from randomized Phase III studies evaluating REVLIMID, compared to placebo in multiple myeloma patients, following stem cell transplant. The independent data and safety monitoring boards reported that the trial had met their primary endpoint of statistically significant improvement in progression free survival. Together with the MM-015 results, the IFM and CALGB trials add to a growing body of clinical evidence that continuous REVLIMID therapy significantly prolongs PFS in patients with newly diagnosed myeloma. We'll continue to work with these groups as they fully evaluate and present these trial results this year.While there is great progress in the treatment of early-stage myeloma, there is a growing pool of myeloma patients who have failed all existing therapies. Pomalidomide data at ASH positions this next-generation IMiD compound as potentially the most important therapy in development for these patients. In heavily pretreated patients, including those previously treated with REVLIMID, THALOMID and bortezomib, pomalidomide demonstrated a 50% overall response rate of, which is the highest reported rate of all drugs in development for this indication. These responses were durable, and side effects were generally manageable. We're actively working with investigators and regulatory authorities to advance our pivotal trials.Additional ASH data highlighted pomalidomide's activity in myelofibrosis. Today, patients with this debilitating diseases rely on blood transfusions to treat chronic refractory anemia. Pomalidomide generated 25% to 40% response rates with more than 60% of responders achieving durable transfusion independence. Again, side effects were generally manageable. We are rapidly moving pomalidomide into pivotal mode.In December, we announced the acquisition of Gloucester Pharmaceuticals. This strategic transaction provides Celgene with an entry into the U.S. lymphoma market. We will launch ISODAX in the second quarter in the United States for the treatment of cutaneous T-cell lymphoma. The pivotal U.S. trial for peripheral T-cell lymphoma is now fully accrued, and we're evaluating global regulatory strategies for ISODAX in CTCL and PTCL.Data presented at major medical meetings and published in peer reviewed journals throughout 2009 substantially strengthened the clinical and commercial profile of REVLIMID in myeloma, MDS, lymphoma and CLL. With intellectual property protection through 2026, it is a key corporate objective to fully capitalize on REVLIMID's unique clinical profile. This slide reflects our continued investment in multiple Phase III program in numerous hematological and oncology indications.As we passed the four-year mark since the first FDA approval of REVLIMID, we would expect, as a normal course of their business and abbreviated new drug application filing by a generic manufacturer. We are well prepared to successfully defend our significant intellectual property.Beyond REVLIMID, the hematology and oncology pipeline continue to strengthen and deepen in 2009. In the fourth quarter, we completed the enrollment of the Phase III study of amrubicin in second line small cell lung cancer. This trial compares amrubicin to topotecan, the reference drug in this setting. We expect data to be available sometime late this year.Preliminary data reported at ASH on ACE-011 are now all [ph] activin inhibitor in developing with our partner Acceleron, showed increases in hemoglobin, and improvement in bone lesions in multiple myeloma patients. A Phase II study in chemotherapy-induced anemia and metastatic breast cancer patients is ongoing and other areas of clinical investigations are active.Our inflammation and immunology franchise gained significant traction in 2009. The franchise is a natural extension of our preclinical, clinical and overall research platform and fits well with our specialty focused Hematology/Oncology business. Serious inflammatory and immunologic diseases are also predominantly specialist-treated. Celgene is indeed fortunate to have several promising programs in the inflammation and immunology field. Let me briefly update you on our lead compounds, including the oral kinase inhibitor 930, PDA-001, our cellular therapy and the non-oncology applications of ACE-011. In 2009, we concluded proof of concept trials for CC-930, which demonstrated significant suppression of the kinase JNK in helping volunteers. Based on these results, we plan to initiate a Phase II study in idiopathic pulmonary fibrosis later this year.We're optimistic on the therapeutic potential of cellular therapy across multiple indications. Our team made excellent progress in 2009 advancing our proprietary program into the clinic. The treatment phase of the PDA-001 Crohn's disease trial concluded in September, and the six-month follow-up will be completed earlier this year. Our goal for 2010 is to initiate a Phase II study in Crohn's disease and trials with at least two other diseases.In addition to the cancer indications previously discussed, we're moving ACE-011 forward to non-oncology indications. Based upon our preclinical and clinical work, we plan to study ACE-011 as a potential treatment for chronic kidney disease. With multiple compounds and programs in inflammation and immunology, we see 2010 as an important year to execute on our late stage trials, advance our Phase I and II pipelines and deepen our research initiatives in this area.Let me spend a minute sharing my perspective on apremilast. With the completion of two important placebo-controlled Phase II trials in 2009, apremilast's potential has become clear. The data from these trials leads us to aggressively pursue Phase III trials in psoriatic arthritis and psoriasis. Apremilast has shown a unique combination of activity and safety, and has the potential to be a meaningful therapy for these conditions. We've studied apremilast in approximately a thousand patients with psoriasis and psoriatic arthritis. This slide summarizes the results from the Phase II trials. In the psoriatic arthritis 001 study, 44% of patients with moderate to severe psoriatic arthritis achieved an ACR20, the key clinical measure of effectiveness. In the second study, psoriasis 005, showed that 41% of patients with moderate to severe plaque-type psoriasis achieved approximately positive [ph] 75 score in the range of biologic efficacy.This level of activity, together with the encouraging safety profile, is compelling. If a comparable level of activity in safety is demonstrated in the Phase III trial, there will be a major opportunity to excess [ph] at a minimum the 85% of the market held by existing oral therapies.  We'll continue to update you throughout the year as we advance our pivotal programs with apremilast.The future of any biopharmaceutical company is only as good as its pipeline, the source of future growth. At Celgene, we significantly advanced our hematology, oncology, inflammation and immunology pipelines in 2009. Our investment in R&D has led to the broad pipeline of 12 compounds in clinical development that you see here.  We'll have 20 pivotal clinical trials ongoing in 2010, and we're also advancing 16 preclinical programs in 25 serious and debilitating diseases. We look forward to reviewing the progress and potential of our pipeline with you at our R&D day on March 4 in New York City.In summary, 2009 was a great year for Celgene. Our products made an increasingly meaningful difference in the lives of tens of thousands of patients around the world. And because of this, we produced strong operating results. Our pipeline is more advanced, broader and deeper. And our global organization expanded and strengthened.Our talented and dedicated teams succeeded at converting 2009 objectives into exceptional accomplishments. The momentum that was built throughout the last year positioned us well to capitalize on the many opportunities outlined on this slide. In 2010, we're focused on key drivers of value creation, maximizing REVLIMID's global potential, extending our leadership in MDS and accelerating the clinical development of our early and late stage pipeline.  2010 will be the exciting year with clinical regulatory and commercial milestones that has the potential to significantly enhance our short- and long-term results. We very much look forward to updating you on our progress throughout the year. Thank you. Operator, we can now open the call to questions."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Operator","[Operator Instructions] We'll take our first question today from Brian Abrahams at Oppenheimer & Co.",15,"[Operator Instructions] We'll take our first question today from Brian Abrahams at Oppenheimer & Co."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Analysts","I was wondering if you could talk about what the drivers were for significant increase in SG&A expenses this quarter? I know you've seen seasonal upticks in prior fourth quarters but maybe you could help us understand what proportion of SG&A expenses this",69,"I was wondering if you could talk about what the drivers were for significant increase in SG&A expenses this quarter? I know you've seen seasonal upticks in prior fourth quarters but maybe you could help us understand what proportion of SG&A expenses this quarter relative to prior quarters was for patients assistance with REVLIMID? And then if you could also talk about the inventory changes quarter-over-quarter for REVLIMID?"
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Executives","I'll address the first question for you, Brian, on the SG&A and then Bob can address the inventory levels of REVLIMID. When, for us, the fourth quarter has a higher SG&A spend because some of the congresses that we are involved with, such as ASH, so there",116,"I'll address the first question for you, Brian, on the SG&A and then Bob can address the inventory levels of REVLIMID. When, for us, the fourth quarter has a higher SG&A spend because some of the congresses that we are involved with, such as ASH, so there was a little bit of an increase there. And also there is an increase in our SG&A expenses in the fourth quarter because some of the patient co-pay groups needed some funding. So that is the plan and is somewhat typical the way our SG&A expenses go. If you look in 2008, you'll see that there was an increase between Q3 and Q4, Bob will address the inventory."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Executives","First, just on the inventory front, outside the United States, the revenue recognition is closer to what we call really a pull through that it really reflects the underlying demand of the market place. You don't see much of an impact on inventory outside",120,"First, just on the inventory front, outside the United States, the revenue recognition is closer to what we call really a pull through that it really reflects the underlying demand of the market place. You don't see much of an impact on inventory outside the United States in any case in any quarter on our revenue. In the United States, we do deal through a limited number of specialty pharmacies, but we do have some inventory in that channel averages generally around two weeks. There was a very modest increase in inventory in the fourth quarter. Less than the seasonal increase that we've seen in other fourth quarters generally. So I think, a very modest minor impact in this quarter."
258769,84647373,47404,"Celgene Corporation, Q4 2009 Earnings Call, Jan 28, 2010",2010-01-28,"Earnings Calls","Celgene Corporation","Operator","And we'll take our next question from Geoff Meacham at JPMorgan.",12,"And we'll take our next question from Geoff Meacham at JPMorgan."
