"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Operator","Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2009 ConocoPhillips Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Clayton Reasor, Vice President of Corporate Affairs. Please proceed, sir.",39,"Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2009 ConocoPhillips Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Clayton Reasor, Vice President of Corporate Affairs. Please proceed, sir."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Executives","Thanks, Antoine. Good morning, and welcome to ConocoPhillips Fourth Quarter 2009 Earnings Conference Call. Today, I'll be focusing on the company's results for the quarter using material you can find on the web. And during the presentation, I'll refer to",2449,"Thanks, Antoine. Good morning, and welcome to ConocoPhillips Fourth Quarter 2009 Earnings Conference Call. Today, I'll be focusing on the company's results for the quarter using material you can find on the web. And during the presentation, I'll refer to adjusted earnings, which are reconciliation to adjusted earnings can be found in the appendix of our presentation material. Before we get started, I'd like to refer you to our Safe Harbor statement, which is on Page 2, which is a reminder that I'll be making forward-looking statements as part of the presentation and the Q&A, and that actual results may be materially different.So I'm going to move to Slide 3, which provides a summary of our fourth quarter results and business highlights. Adjusted earnings for the quarter were $1.7 billion or $1.16 per share, generating cash from operations of $5.1 billion. We ended the quarter with debt of $28.7 billion, resulting in debt-to-cap ratio of 31%, down 2% versus last quarter.Total production, including our 20% share of LUKOIL, was 2.26 million BOE [barrel of oil equivalent] per day in the fourth quarter. It was a challenging period for R&M, with an overall loss and net income driven by depressed refining margins, which were particularly low in the U.S. Global refining utilization was only 76%, reflecting economic run important cuts made in this difficult environment, as well as increased turnaround activity. On a cost side, we achieved a normalized full year reduction of 12% or around $1.7 billion pretax for the year. This compares to our original target of $1.4 billion, and I'll provide more detail on the sources of these cost reductions later in the presentation.During the quarter, we recognized non-cash asset impairments of almost $575 million after tax, primarily related to the impairment of our equity stake in Naryanmarneftegaz joint venture in Russia and mature Western Canada and gas properties, as well as miscellaneous impairments in our E&P [Exploration and Production] and R&M [Refining and Marketing] segments. And Naryanmarneftegaz equity accounting rules for impairment testing resulted in write-down this quarter. And while the current producing field, YK [Yuzhno Khylchuyu] has met our expectations, our view of probable resource has declined as a result of additional data and drilling activities around some of the flank areas of the reservoir. In Western Canada, the impaired properties were impacted in varying degrees by a combination of lower prices, royalty rate increases, strengthening of the Canadian relative to the U.S. dollar and operating performance. These Canadian impairments represent a small portion of our total capital employed in that region. Turning now to Slide 4, you can see total adjusted earnings for the fourth quarter were up sequentially, but down by about 10% compared to last year. This slide shows changes by segment. Our E&P business increased earnings by more than 20% due primarily to the improvement in oil price, which more than offset lower gas prices. As I mentioned, R&M had a loss for the quarter due to significantly lower realized margins and utilization rates. LUKOIL adjusted earnings were higher than the fourth quarter of 2008, reflecting our estimates of fourth quarter 2009 results.Slide 5 shows the progress we've made on reducing controllable costs. We started 2009 with the goal of reducing costs by 10% or $1.4 billion. For the full year, we achieved nearly $2 billion all-in savings. And if you exclude one-time severance accruals, the normalized reduction was around $1.7 billion. Nearly 40% of these savings were related to base operational expenditures, while the remainder resulted from market factors, such as currency movements and lower utility costs. We also saw significant savings in the Equity Affiliate operations, such as CPChem [Chevron Phillips Chemical] and DCP, which are not included in this amount.Slide 6 outlines our cash flow performance. In the fourth quarter, we generated $5.1 billion from cash from operations, with capital spend of $3.1 billion and dividends of $750 million. Total debt was reduced by $1.8 billion.Our 2009 full year cash flow detail is shown on the pie charts on Slide 7. As you can see on the left, we generated $12.5 billion in cash from operations. Asset sales, including the disposition of our interest in Keystone pipeline, along with other changes, provided $1.1 billion of additional cash. The uses of cash are provided on the right-hand of the slide and show our 2009 capital program of $12 billion, which was slightly below plan due to the timing of expenditures on major projects. Our dividends were $2.8 billion, which included the quarterly increase we announced in October. As a result, total debt increased $1.2 billion for the year.Slide 8 shows the history of our debt-to-cap ratio over the last several quarters versus our target of 20% to 25%. As you can see, while we're currently above our goal, we've made progress at reducing debt to cap this year. And as we go forward, we expect the proceeds from our two-year $10 billion asset-disposal program and cash flow from operations to move us back within our targeted range.Now I'd like to take a couple of minutes to review our segment performance, starting with total company production for the fourth quarter you can find on Slide 9. Overall E&P production was down 2% or 39,000 BOE a day versus the fourth quarter of 2008. Market factors decreased production by 16,000 BOE a day, reflecting reduced gas production in North America, driven by economic conditions, as well as price-related reductions and international OPEC [Organization of the Petroleum Exporting Countries] curtailments. As we discussed in our third quarter conference call, voluntary gas curtailments began in late August and continued into the fourth quarter. And during the fourth quarter, total curtailment was around 145 million cubic feet per day.Moving to the right side of the slide, you can see the changes to the portfolio reduced production by 12,000 BOE per day, primarily reflecting the sale of our Netherlands assets and expropriation of our interests in Ecuador. These declines were partially offset by a benefit from improved volumes due to the absence of hurricane impacts in 2009. In the operations category, we saw a significant benefit from new production, but was not able to offset normal field decline. Although the fourth quarter was down compared to last year, our full year production was up around 3% to 1.85 million BOE per day versus the 1.79 in 2008, as shown on Slide 10. Excluding market-related improvements of 17,000 BOE per day, we are up over 2%. This was driven by nearly 140,000 BOE per day of production from new major projects and oil sands expansions. We had a strong operational year and had lower impacts from external events, such as hurricanes. So now turning to Slide 11, you can see total E&P adjusted earnings for the fourth quarter were $1.7 billion, up from $1.4 billion last year. The main drivers of the improvement were higher oil prices and lower operating costs, which more than offset lower gas prices, sales volumes and other costs.You can see on the right-hand side of the table, at the bottom of the slide, our realized oil and NGL [natural gas liquids] prices went up by 36% compared to last year, while global realized gas prices decreased by about 25%. Although North America gas prices were challenged for the majority of the year, our fourth quarter performance in Lower 48 benefited from somewhat better gas prices and continued cost-reduction programs. The chart shows a breakdown of the major variances. In total, prices and other factors, such as production taxes, increased earnings by $500 million. Lower sales volumes decreased our earnings by about $160 million. This decrease reflects lower gas sales due in part to voluntary reductions, which were partially offset by higher liquid sales. Operating costs were improved by a little less than $100 million after tax. Unlike previous quarters, when market factors comprised the majority of savings, cost reductions this quarter relate to underlying operations, as market factors worked against us.The other bar primarily reflects foreign currency loss compared to a gain last year. And we also had higher DD&A [depreciation, depletion and amortization] expense this quarter due to project start-ups and some specific field dismantlement accruals. The R&M adjusted earnings variance is shown on slide 12. R&M lost money during the quarter, driven by low global refining margins and compressed crude differentials. As shown on the table at the bottom of the slide, U.S.-adjusted earnings fell by nearly $700 million, due in large part to nearly 60% decline in integrated margins. Although the U.S. refining 3:2:1 crack spread was virtually unchanged versus the fourth quarter of 2008, our realized margins decreased significantly. And this was caused by several key factors. First, light-heavy and sweet-sour crude differentials were significantly lower this quarter compared to last year. Our U.S. refineries are configured to run around 55% advantage crudes, such as WTS [West Texas Sour], Canadian Sour and South American heavies. On these advantage crude, every dollar decrease and differential creates between $15 million and $20 million decrease in quarterly earnings. And compared to last year's quarter, the Maya differentials decreased by nearly $7 a barrel. We also saw negative impacts from the decrease in dieselite spreads. Although the market 3:2:1 crack spread was flat, dieselite margins decreased by over $11 a barrel, while gasoline spreads increased. Because our production and configuration is more biased toward diesel with an average yield in the mid- to high-30% range, we were adversely impacted by the dieselite spread.The third source of year-over-year earnings decline not reflected in the 3:2:1 market crack is the impact of higher crude prices on secondary product margins. We sell certain refined products on a fixed-price basis, which makes their margins vulnerable to crude costs moving quickly higher.On the international side, the variance is more straightforward. The table shows that international earnings fell by 70%, and that's generally consistent with the international refining 3:1:2 spread decrease. In total, global realized margins reduced earnings by more than $800 million as shown on the graph. Utilization rates and sales volumes were also down, caused primarily by economically driven run cuts. Lower operating costs did help adjusted earnings by about $50 million despite the higher turnaround activity. And all other impacts, such as currency movements, decreased adjusted earnings by about $30 million.I'll now move to Slide 13, which shows the variances for all of the segments. In Midstream, we experienced higher results due to higher NGL prices. Compared to last year, index price for DCP were up around 40%. And our share of CPChem results were $60 million higher due to improved specialties, aromatics and styrenics margins and lower controllable costs, partly offset by lower olefins polyolefin margins. Earnings from our Emerging Businesses segment decreased primarily due to lower spark spreads in international power. LUKOIL earnings were $388 million for the quarter, compared to an adjusted value of zero for the fourth quarter of 2008. Corporate expenses were in-line at $311 million after tax for the quarter, compared to $354 million of adjusted expenses last year. This decrease is due to the absence of foreign currency losses and lower staff costs, partially offset by higher net interest expense. So that completes my review of our fourth quarter results. I'll wrap up with some summary comments on Slide 14.We performed well in 2009, despite difficult global economic conditions that severely impacted the energy industry. In 2009, we initially expected our E&P production to be flat versus 2008. Excluding market factors, we delivered slightly more than 2% growth, driven by improvements in operating efficiency and lack of any external events, such as hurricanes. Looking at 2010, we expect to return to the more normalized production we achieved in 2008, in large part to having a full year impact of reduced North America drilling, as well as lower production growth from new projects.While we do have a good portfolio of major projects, such as QG3, Canadian Oil, Jasmine, Gumusut and others, they will contribute growth as these developments are continued. But we do plan to reduce our capital spending in some of our more mature assets, which are significant contributors to near-term production. We're intentionally reducing our spending levels in support of our stated effort to improve our return on capital employed, and increase our per-barrel cash flow and earnings in our upstream business.In addition to delivering production results, improving safety performance and having a good environmental stewardship year, we took steps to reduce our cost structure as we're capturing market opportunities and driving reductions in our underlying business. While we can't predict how market factors, such as currency and utilities, will impact us in 2010, we are committed to holding on to the operational savings we achieved this year from procurement initiatives, controllable cost reductions and portfolio changes.In 2009, we also began to see results from our commitment to exploration, with discoveries in the Browse Basin of Australia and Lower Tertiary trend in the Gulf of Mexico. We also added several prospects in some exciting new areas. And spending on exploration will remain relatively flat in order to strengthen our portfolio for future organic reserve replacement.Late in the year, we announced plans to enhance returns and strengthen our financial position. Consistent with these objectives, we announced our 2010 capital budget of $11.2 billion and initiated our asset disposition plans. We've started the sales process for our same crude interest, and received quite a bit of interest on this asset. And we've identified other targets, and are very confident we'll reach our $10 billion target over the next two years. Finally, we're taking appropriate steps to manage our downstream business in the face of prolonged margin pressure. We do not expect the magnitude of losses to continue in this business, given the specific actions we're taking. Our strategy is constant and starts with operating excellence. We must run safely and reliably. Next, we focus on controlling our costs, and we have a good track record in this area. In addition to running well and keeping costs in check, we focus on optimizing the plants and capturing the highest margin available on any given day. This not only includes making economic run reductions, as we did in the fourth quarter, but also changing operations in response to market movements. Lastly, we have adjusted our capital plans for this business with the objective of ensuring that it's cash positive. You can see this in the deferral of the upgrade project at Wilhelmshaven and the reduction of discretionary capital. Through all these steps, we feel confident in our ability to manage through this challenging environment. So Antoine, that concludes my prepared remarks. And now I'll open the call for your questions."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Operator","[Operator Instructions] Your first question comes from the line of Paul Sankey with Deutsche Bank.",15,"[Operator Instructions] Your first question comes from the line of Paul Sankey with Deutsche Bank."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Analysts","Clayton, you talked about upgrading the portfolio and general actions over the course of the year. Can you just give us some more detail on any more specific progress, how we'll be looking by the analyst meeting on March the 24, for example? Any further c",51,"Clayton, you talked about upgrading the portfolio and general actions over the course of the year. Can you just give us some more detail on any more specific progress, how we'll be looking by the analyst meeting on March the 24, for example? Any further comments on LUKOIL, and so on?"
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Executives","So I guess the questions that are out there around status on the asset sale program; when we announced this in the fourth quarter, we said it was a two-year program, because we knew it's going to take a little bit of time to get the level of interest that",220,"So I guess the questions that are out there around status on the asset sale program; when we announced this in the fourth quarter, we said it was a two-year program, because we knew it's going to take a little bit of time to get the level of interest that we wanted in certain assets and define where we wanted to invest, also measure the market response. So nothing has really changed, or I can't give you anymore color on the assets, as far as where we are with the bottom 10% of our North American assets, or Syncrude or REX [Rockies Express Pipeline] pipeline or the Southern North Sea. So those are all still being worked. I can say we don't have any reason to believe we're not going to be able to generate the $10 billion that we've stated. As far as LUKOIL, again, I can't really say anything, but repeat what Jim had said, which was we've got a really good relationship with LUKOIL and Russian authorities. We recognize what's taking place there, and we're aware of the situation. And it's really appropriate, the comment that we like to make, as we just intend to maintain the strategic relationship we have with LUKOIL. And I don't know if there was anything else that you wanted to ask."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Analysts","Yes, you generated enough cash to pay down debt this past Q4, assuming, given what you said about the expected disposal proceeds being in-line with what you previously thought. What would be the next phase for the additional cash that's implicit, beyond w",53,"Yes, you generated enough cash to pay down debt this past Q4, assuming, given what you said about the expected disposal proceeds being in-line with what you previously thought. What would be the next phase for the additional cash that's implicit, beyond what you want to do in terms of paying down debt?"
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Executives","Yes, so some of this is going to depend upon on what the market does. But when we see these free cash flow coming, you think about $10 billion of asset sales and you think about some of the other things. We're considering to think about free cash flow. We",120,"Yes, so some of this is going to depend upon on what the market does. But when we see these free cash flow coming, you think about $10 billion of asset sales and you think about some of the other things. We're considering to think about free cash flow. We certainly would like to have annual dividend increases. And we want to keep our CapEx at the $11 billion range. Maybe a couple hundred million higher, but not much more. We don't see it going back up into the $13 billion or $14 billion range. But once we get our debt down, cover the $11 billion or so CapEx, raise our dividends, I think we've got to consider share repurchase."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Analysts","Finally for me, Clayton, I didn't quite understand what you said about volumes for the year. Did you say that '08 was normalized? And in which case, what would you call a normalized number for '08? Because we've got it sort of down quite sharply, basicall",49,"Finally for me, Clayton, I didn't quite understand what you said about volumes for the year. Did you say that '08 was normalized? And in which case, what would you call a normalized number for '08? Because we've got it sort of down quite sharply, basically '08 over '07."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Executives","So when we started year 2009, the guidance we were providing, we were going to stay flat over the next couple of years from that level. And so that's the guidance we're really giving for 2010. It's going to be aligned with 2008 volumes.",44,"So when we started year 2009, the guidance we were providing, we were going to stay flat over the next couple of years from that level. And so that's the guidance we're really giving for 2010. It's going to be aligned with 2008 volumes."
296527,84647486,47182,"ConocoPhillips, Q4 2009 Earnings Call, Jan 27, 2010",2010-01-27,"Earnings Calls","ConocoPhillips","Operator","Your next question comes from the line of Douglas Terreson with ISI.",12,"Your next question comes from the line of Douglas Terreson with ISI."
