"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Operator","Good day, and welcome to the Eastman Chemical Co. Fourth Quarter and Year End 2000 (sic) [2009] Earnings Conference Call. [Operator Instructions] We will now turn the call over to Mr. Greg Riddle of Eastman Chemical Co. Investor Relations. Please go ahead",43,"Good day, and welcome to the Eastman Chemical Co. Fourth Quarter and Year End 2000 (sic) [2009] Earnings Conference Call. [Operator Instructions] We will now turn the call over to Mr. Greg Riddle of Eastman Chemical Co. Investor Relations. Please go ahead, sir."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Executives","Thank you, Kelly and good morning, everyone and thank you for joining us. On the call with me today are Jim Rogers, President and CEO; and Curt Espeland, Senior Vice President and Chief Financial Officer. Before we begin, I'll cover three items. First, du",231,"Thank you, Kelly and good morning, everyone and thank you for joining us. On the call with me today are Jim Rogers, President and CEO; and Curt Espeland, Senior Vice President and Chief Financial Officer. Before we begin, I'll cover three items. First, during this call, you will hear certain forward-looking statements concerning our plans and expectations for first quarter and full year 2010. Actual results could differ materially from our plans and expectations. Certain factors related to future expectations are/or will be detailed in the company's fourth quarter and full year 2009 financial results news release, on our website and in our filings with the Securities and Exchange Commission, including the third quarter 2009 Form 10-Q and the Form 10-K to be filed for 2009.Second, except when otherwise indicated, all financial measures referenced in the call and in the slides accompanying the call will be non-GAAP financial measures, such as sales revenue, operating earnings and earnings per share that exclude restructuring-related items. A reconciliation to the most directly comparable GAAP financial measure and other associated disclosures, including a description of the restructuring-related items are available in our fourth quarter and full year 2009 financial results news release and the tables accompanying the news release. Lastly, we've posted slides that accompany our remarks for this morning's call on our website at www.investors.eastman.com.  With that, I'll turn the call over to Jim."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Executives","Thanks, Greg, and good morning, everyone. Thanks for joining us. I'm going to start out on Slide 3. We're going to begin this morning by taking a minute to review a few of our major accomplishments in 2009 if I could. And 2009 was a difficult year, in man",2145,"Thanks, Greg, and good morning, everyone. Thanks for joining us. I'm going to start out on Slide 3. We're going to begin this morning by taking a minute to review a few of our major accomplishments in 2009 if I could. And 2009 was a difficult year, in many respects, with a lot of volatility. But across our company, I think we really did an outstanding job of handling that volatility to deliver solid results. Cash generation was a priority for us, as we've mentioned throughout the year and we generated over $300 million of free cash flow. This is our best free cash flow generation since the year 2000, and Curt will give you more details in just a few minutes. Our flexible structure enabled us to respond quickly to the recession, and we reduced our costs by $200 million. And this is reflected in our earnings, both for the year and the fourth quarter. We made progress on our growth initiatives. We entered into a JV with SK for adding acetate tow capacity in Korea that serves the growing demand in Asia, and a new capacity will be up and running by the end of this quarter. We've added both new monomer and polymer capacity for our Tritan Copolyster and we're pleased with the start up there, and we're able to meet the growing demand we're seeing. And we also continued to expand our Regalite adhesive facility in the Netherlands, increasing capacity by 30% in 2009 to keep up with that demand.Despite the difficult global economic environment, our Fibers segment delivered a record earnings year, topping the previous record they set in 2008. And we did a great job on safety, something we all don't get to see that much off. But in 2009, we had our best-ever OSHA Recordable injuries' rate, reducing injuries by 40% from 2008, building on our reputation for excellence in safety. So we are well positioned to continue generating strong cash flow and to grow our core businesses.Next is an update on how we did against the corporate-outlook statements we gave you, both on our last in October and during our Investor Day in November. This is something I do on each call, and my intent is to hold us accountable for the expectations we give you. First, on full year EPS, we told you in November, we expected it to be approximately $3.50 and this implied EPS for the fourth quarter of just over $1. Excluding asset impairment and restructuring charges in both periods and other operating income in 2008, we were slightly above expectations and I'll talk more about that in a minute. We also said that the cost-reduction actions we have taken would be evident in our results, and they are. And on cash, we told you we would build on the free cash flow we had generated through nine months, including generating more than $100 million in cash from working capital for the year, and we did that from the fourth quarter.Now onto the financial results for the fourth quarter. Revenue was up slightly, as higher volumes more than offset lower selling prices. This is the first quarter we've seen positive year-over-year volume comparisons in two years since the fourth quarter of 2007. It's a sign that we are beginning to see a rebound in volume, which we expect will continue in 2010. Selling prices were down due to the global recession and decline in raw material and energy cost. Operating earnings increased significantly, mainly due to the higher volume that I mentioned, lower costs for raw materials and energy, and the cost-reduction actions that I've talked about.Moving on to the full year comparison. Sales revenue was down due both to lower prices and volumes. Prices fell largely due to lower raw material and engine costs, volumes were down due to the recession. Earnings declined but given the severity of the recession, I would say they remained pretty solid. EPS declined just under 20%, which one compared with previous recessions is a significant improvement. For example, from 2000 and 2001, our EPS declined by over 70%. The portfolio actions we have taken to strengthen our core businesses, along with the cost-reduction actions we took in '08 and '09, led to much improved earnings in this recession compared to the last one.Now to the segments, beginning with Fibers. As many of you know, Rick Johnson has led Fiber since 1996, and so he's seen the impact that recessions can have on this business. He calls Fibers, recession resistant but not recession proof. And then in 2009, Fibers' recession resistance lead to new annual record of operating earnings, topping last year's record. So it kind of begs the question, what's it take to be called recession proof? Higher selling prices were offset by lower sales volume, with the volume decline coming in the acetyl chemicals and acetate tow product lines.For tow, the decline was more in the second half of the year, due to the recession and the cigarette tax increases that were implemented in the U.S. and Europe. Looking ahead to 2010, Fibers is well positioned for another strong year. Demand should begin to rebound as the global economy recovers. We also expect our acetate tow JV with SK in Korea to start up in this quarter, and there will be some cost associated with that, as we qualify the material with our customers. So we roll it all together, we expect 2010 earnings to be somewhat below 2009 but remain very solid.Next stop is CASPI [Coatings, Adhesive, Specialty Polymers and Inks]. This is another business setting records in a very difficult economic environment. Fourth quarter with earnings of $77 million was their best fourth quarter ever. And this follows a record earnings that reported in the third quarter. Volume was up 15% in the fourth quarter due to the demand recovery, while prices declined, as I discussed earlier. For the year, operating earnings increased as lower raw material and energy cost and cost reductions more than offset lower volumes and prices. Looking forward to 2010, they have a chance to set a new record for operating earnings above the $242 million they reported in 2007. Their biggest headwind is the higher raw material and energy cost with more than 50% of the revenue in specialty product lines. The higher costs will impact their margins. Improving volume is the biggest tailwind, and we think we are in the early stages of seeing that improvement. Assuming the economic recovery continues, CASPI is set up for another strong year. Performance Chemicals Intermediates is next (sic) [Performance Chemicals and Intermediates], PCI. Operating earnings improved in the fourth quarter due to lower raw material and energy cost, higher volumes and lower cost per unit due to higher capacity utilization. For the year, operating earnings declined, primarily due to lower prices and cost related to the reconfiguration of our Texas facility during the second quarter. I would also point out that for the full year, PCI earned their cost of capital. And this is much different from their results in the last recession where in 2001, their operating earnings were only $13 million for the year.  We've talked about the actions we've taken that lift the trough in this business, and 2009 is evidence that we've been successful in this effort. Looking forward in 2010, we expect raw material and energy cost to increase, pressuring margins. But we also expect sales volume to increase, as the global economy improves. So as a result, we expect PCI operating earnings to be up versus '09, approaching $100 million.Next is Specialty Plastics. With their results in the fourth quarter, they've now placed the two successive quarters with double-digit operating earnings. Fourth quarter earnings improved, primarily due to higher sales volume, and we've consistently said the key to improvement in this business is higher volumes. Fourth quarter was the third successive quarter of volume improvement for Specialty Plastics. While demand growth is still slow for the industry overall, the number of copolyester is growing faster than the polycarbonate, acrylic and PVC, to name a few, of the things we compete against and the things we're displacing. For the full year, operating earnings declined mainly due to lower volumes and prices driven by the recession. Looking forward to 2010, as I mentioned earlier, the Tritan monomer and resin facilities are up and running, and we are pleased with the start up. And with the facilities now up and running, Specialty Plastics will have additional fixed cost though, a more than $7 million per quarter, about $30 million, for full year 2010. Some of that new from outside the company, some of that just reallocated costs within the company. And this all occurs as they ramp up their volumes. And despite these costs, we expect the operating earnings for Specialty Plastics to be around $40 million for the year and very well positioned to grow from there, going forward. Finally, Performance Polymers. In October, I said the fourth quarter was going to ugly for Performance Polymers, and it was. Loss in the quarter was due to the operational challenges we've had in South Carolina and the shutdown we took to address them, as well as depressed demand due to continued difficult market conditions. The full year loss was also due to the operational issues in Carolina, as well as lower selling prices. Clearly, we aren't happy with the results on this business. And we are taking no regrets [ph] actions to improve their performance.To remind you, we said we have two issues: Operational performance and upgrading our commercial footprint, the markets we serve. I think we can check the box for the operational. The shutdown in Carolina during the fourth quarter went well, and we've now demonstrated that it can run at full rates with Class 1 material. That's good news. Now with the progress on that, we can now address our commercial footprint and improve our mix of customers. We expect these actions will lead to a much smaller loss sequentially, and for the full year in this business.That brings me to our guidance. We're coming into 2010 with positive momentum, given our results over the last couple of quarters. We are in the early stages of volume improvement, and expect that will continue as the global economy improves. While we have a headwind of about $40 million year-over-year from the reversal of extraordinary measures to reduce cost in '09, namely the across-the-board 5% pay reduction, that we then restored in December. We will continue to benefit from the over $150 million of cost-reduction actions we've taken in other areas. And I would add that by year end, our headcount was down 2% from our spring-restructuring levels. And for 2010, we expect attrition to continue to run ahead of hiring.A headwind that we are already seeing here in January is higher raw material and energy cost, and we expect on average through the year, these costs will be higher than they were in '09. Adding all that up, we expect our first quarter EPS to be slightly above our fourth quarter EPS of $1.14, and we expect our full year 2010 EPS to be 20% above our 2009 EPS of $3.63.On top of that, we expect revenue from an asset to your [ph] license for PCI in the first half of the year, could be first or second quarter, we'll see. And we estimated it'll have about a $0.07 per share impact, positive. One last point, at our Investor Day in November, we've made the case for why we can achieve a 20% compound annual growth rate for our EPS from 2009 through a recovery, which we estimate would be in 2012. Given the results we reported in '09 and our expectations for 2010, we believe we are on track to deliver that growth. Employees throughout our company are clear on the role in delivering that EPS growth, and we are committed to making it happen. Now before I turn it over to Curt, I'd like to continue my practice of taking a minute to highlight one of Eastman's executives. In this quarter, I choose Norris Sneed, our chief Administrative Officer, who has been with the company for 31 years. Norris head's our human resource function, our information technology group, as well as manufacturing and support worldwide. He and his people are instrumental in the swift actions we took to mitigate the recession's impact over this past year. He is supported by Parker Smith in manufacturing, Keith Sturgill in IT and Ed McKenner [ph] in HR. And together, they accomplished a lot. So if you like the costings we achieved in '09, Norris is just one of the leaders who deserve the tip of our collective hat. And now I'll turn it over to Curt."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Executives","Thanks, Jim, and good morning, everyone and thanks for your interest in Eastman Chemical Co. I'm going to start by looking at our financial highlights for the year on Slide 14. Our cash from operations of $758 million represents a terrific result in a dif",1242,"Thanks, Jim, and good morning, everyone and thanks for your interest in Eastman Chemical Co. I'm going to start by looking at our financial highlights for the year on Slide 14. Our cash from operations of $758 million represents a terrific result in a difficult environment. Working capital was a source of cash, having been reduced by $118 million. And this in line with our projections from earlier in the year. We also generated about $125 million in positive cash flow through a change in tax-accounting method to accelerate the timing of deductions for a manufacturing repairs expense, which we discussed in the third quarter.Our cash from operations also reflected $181 million use of cash for our pension contributions of which, $150 million was made in the fourth quarter. Moving next to capital expenditures in 2009, we cut our CapEx by more than half compared with 2008. Second-half 2009 capital expenditures were at a significantly lower run rate than first after due to the completion of several growth projects.After, also, excluding our dividend of $128 million, our free cash flow was $320 million in 2009. As Jim mentioned, this is the best annual free cash flow we've generated since 2000, and is a testament to our focus on cash throughout the year. The result is that we are in a solid financial position, having reduced net debt by $256 million, and our net-debt-to-cap ratio is at 35%.Turning to Slide 15, as we continue to generate cash, we remain committed to returning cash to stockholders. In 2009, our dividend was $128 million or $1.76 per share, and our yield continues to be in the top-quartile peer companies. We pay the dividend every year, we have been a public company and management remains committed to it. In addition, during the fourth quarter, we repurchased 21 million of shares. As a result, our shares outstanding at the end of 2009 was the same as it was at the end of 2008.Going into 2010, we have $96 million remaining on our current-stock authorization, and remain committed to repurchasing shares over the coming quarters, primarily as a means to offset dilution.  We are also focused on our debt structure, which remains attractive as shown Slide 16. In the fourth quarter, we improved our position with a $250 million tenured bond at a 5.5% rate. The 5.5% rate is the best we've achieved with this tenor. The order book was six times over subscribe and the quality of the order book was outstanding. With the success of the bond offering, we decided to put a similar amount of cash to work in the quarter, making a $150 million pension contribution, and paying down our European credit facility. With this transaction, we've added a nice 2019 layer to our already attracted debt ladder, and we have funded debt or debt-like obligations that we'd otherwise have to address over the coming next few years.Looking next at cash, we put to work in our organic investments. We are beginning to see the returns from these investments we have made over the past few years. As Jim mentioned earlier, in 2009, we expanded our Regalite capacity, and we'll see the benefit of that in the CASPI segment starting in 2010. In the fourth quarter 2008, we added acetate tow capacity in the U.K., and our Fibers segment continues to benefit from that investment, which is reflected in their record 2009 results.We have taken a number of actions to transform our South Carolina PET facility and with the improved operation of the facility, we expect to see their results improved significantly in 2010. In our Tritan monomer and resin manufacturing facilities are up and running, as of the beginning of the year and we have aggressive schedule for filling out that resin facility over the next two years. This will be one of the key components that will lead to improved performance in Specialty Plastics particularly, in 2011. In 2010, we are also looking at M&A opportunities with a focus on the four areas of emphasis you see listed in Slide 18. One example of how we look at these opportunities is the venture we have with SK in Korea. To acquire SK's tow and other manufacturing assets and then to expand the tow capacity to a total of 20,000 net tons, which is about a 15% capacity addition for Eastman. This expense our footprint in a differentiated product line in a growing region. And we expect the acquisition to be completed and the capacity online by the end of the first quarter.Another example that combines two of these focus areas is the acquisition we completed a few weeks ago. We acquired a small specialty polymers manufacturing facility located near Shanghai. This is right in our sweet spot. It will support our Ensure product line and CASPI segment. Ensure is a sustainably-advantage cellulose tester used in the coatings for the packaging and consumables' markets.  We continue to explore other opportunities that also provide differentiated products and advantage feedstocks to complement our existing sustainably advantage product lines.Turning to some corporate items to assist with expectations for 2010. Starting with depreciation and amortization, which I expect to increase to just under $290 million in 2010, as we have added some new manufacturing facilities that come online. Pension expense should be slightly higher due to the lower discount rate and historical performance of our assets, mostly offset by the benefit of the pension contributions in 2009. And if we do make a pension contributions in 2010, at this point, I expect it would be less than $25 million.Our interest expense is expected to be higher, this is a combination of the lower capitalized interest, as manufacturing facilities have come online and thus reduced our capital expenditures and the new debt issue that I mentioned. The tax rate is expected to come down in 2010 to approximately 33%, which is about normal for us. Remember, the rate was higher in 2009, primarily because of the change during the second quarter in the tax accounting method to accelerate the timing and deductions for manufacturing repairs expense that I mentioned earlier, and the reversal of a tax credit related to the Beaumont, Texas facility, a project during -- which we discussed in the third quarter.Our capital expenditures for 2010 are planned to be between $250 million and $275 million. Our maintenance level is now around $200 million, and we plan to spend $50 million to $75 million on targeted-growth initiatives. This growth spending will be staged relative to the underlying economic recovery and target markets. And we remain focused on optimizing maintenance capital, much like we did in 2009. When I consider our expectations for earnings growth in 2010, plus these items, I expect our free cash flow in 2010 will be above $100 million. This includes a build in working capital due to our expectations for a higher raw material and energy cost, and higher sales revenue. We also expect to see a more normal working capital pattern for the year, including a build in working capital in the first quarter.In conclusion, Eastman is well positioned for growth in 2010 and beyond. We are evaluating all options for creating value, organic investments, M&A, share repurchases and our debt profile. We will continue to be disciplined, as we approach growth, as we've been demonstrating. Thanks again for your attention and with that, I'll turn it back over to Greg."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Executives","Thanks very much, Curt. And this concludes our prepared remarks. Kelly, we're ready questions.",14,"Thanks very much, Curt. And this concludes our prepared remarks. Kelly, we're ready questions."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Operator","[Operator Instructions] And we will take our first question from Frank Mitsch with BB&T Capital Markets.",16,"[Operator Instructions] And we will take our first question from Frank Mitsch with BB&T Capital Markets."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Analysts","Jim, you mentioned that you were pleased with how the PET facility was operating at the end of the year. I don't think it was at that sort of level when you had the Analyst Day. Can you tell us how long that facility has been running smoothly? And why you",73,"Jim, you mentioned that you were pleased with how the PET facility was operating at the end of the year. I don't think it was at that sort of level when you had the Analyst Day. Can you tell us how long that facility has been running smoothly? And why you are very confident or confident that you're not going to have this sort of operational issues that you had in 2009 there?"
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Executives","And maybe I'm going out on a limb because it's not like its been running for months at that level. But it has just recently, Frank, come up and demonstrated the full rate that we expect it. So all the way up to the level we wanted that, I think we've talk",179,"And maybe I'm going out on a limb because it's not like its been running for months at that level. But it has just recently, Frank, come up and demonstrated the full rate that we expect it. So all the way up to the level we wanted that, I think we've talked in the past about the 525,000 ton level, and we're pretty confident the plant can do that. It felt good too, that the first test quality of the product we were getting out was very, very high. So we think we've got it. Yes, the comfort level would be even higher two or three months from now when we have demonstrated we can do that, when we need to do it. And I realize, all these stuff about the operations running well, that doesn't change anything about the underlying PET market and now, how [ph] that looks. But we said we were going to take things in order, the first one is operational. And yes, I said that we got the x in the box there."
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Analysts","And then I think, I just wanted to clarify, did you said that you were expecting a smaller loss in that business for 2010, so still red ink?",28,"And then I think, I just wanted to clarify, did you said that you were expecting a smaller loss in that business for 2010, so still red ink?"
109103,84103593,47621,"Eastman Chemical Co., Q4 2009 Earnings Call, Jan 29, 2010",2010-01-29,"Earnings Calls","Eastman Chemical Company","Executives","Yes, I think that's probably the best guess right now. And if you think about how that business usually plays out over the year, your second quarter is your best quarter. And I think that's been traditional in almost every year. But we know that first qua",128,"Yes, I think that's probably the best guess right now. And if you think about how that business usually plays out over the year, your second quarter is your best quarter. And I think that's been traditional in almost every year. But we know that first quarter is going to be in the red again. You know what's going on in that market. You know you had a big competitor just bring on additional capacity. And we still got a lot of work to do, upgrading that commercial footprint. So if you think we got pushed down into some of the lower value-added segments of the market when we were having operational issues, on the flip-side, that's some opportunity now that we can try and upgrade that mix."
