"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Operator","Good morning, my name is Crystal and I'll be your conference operator today. At this time, I would like to welcome everyone to the Equity Residential Conference Call. [Operator Instructions] Thank you. Mr. McKenna, you may begin your conference.",39,"Good morning, my name is Crystal and I'll be your conference operator today. At this time, I would like to welcome everyone to the Equity Residential Conference Call. [Operator Instructions] Thank you. Mr. McKenna, you may begin your conference."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Thanks, Crystal. Good morning, and thank you for joining us to discuss Equity Residential's fourth quarter 2009 results and our 2010 outlook. Our featured speakers today are David Neithercut, our President and CEO; Mark Parrell, our Chief Financial Office",116,"Thanks, Crystal. Good morning, and thank you for joining us to discuss Equity Residential's fourth quarter 2009 results and our 2010 outlook. Our featured speakers today are David Neithercut, our President and CEO; Mark Parrell, our Chief Financial Officer; and Fred Tuomi, our EVP of Property Management. David Santee, our EVP of Property Operations is also here with us for the Q&A.Certain matters discussed during this conference call may constitute forward-looking statements within the meaning of the Federal Securities Law. These forward-looking statements are subject to certain economic risks and uncertainty. The company assumes no obligation to update or supplement these statements that become untrue because of subsequent events.Now I'll turn the call over to David."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Thank you, Marty. Good morning, everyone. Thank you for joining us for our fourth quarter call. Well 2009 was certainly a very challenging year for the multifamily business. Really, we've never navigated through such uncertainty caused by such unprecedent",467,"Thank you, Marty. Good morning, everyone. Thank you for joining us for our fourth quarter call. Well 2009 was certainly a very challenging year for the multifamily business. Really, we've never navigated through such uncertainty caused by such unprecedented job loss. Yet I've got to tell you, I could not been more pleased nor more proud of the way the Equity Residential team rose to the occasion, despite such challenging market conditions.For the year, same-store revenue results were down only 2.9%. The number's right on top of the mid-point of our original guidance that I've given to you all, one year ago. At our operating platform delivered strong same-store expense growth for the year, down 0.1%, and that really is a terrific outcome when compared to the comp year a year ago when expenses were up only 2.2%.Now thinking about this great expense control, I want to make something perfectly clear. This is not the result of reducing services to our residents and it's not the result of cutting back on how we care for our assets. And we know that because our customer service scores increased again in 2009, but it's the result of doing exactly what we have always been doing by using our scale, our concentration and technology to do it cheaper.So as evidenced by our guidance for 2010 in last night's release, we're expecting the picture to improve a little bit as the year progresses. Now in just a minute, Fred will go into a little bit more detail on what we're currently seeing and how we are thinking about revenues for 2010. But before he does that, I first want to say that we are already experiencing improving occupancy across many markets. When seasonally for this time of year, we would be expecting just the opposite to be happening. And while we still have above market leases that will need to be adjusted downward, our net effect of new lease rates are beginning to turn a little bit positive in many markets. And while our 2009 renewals were on average extended at flat to slightly negative levels, we'll beginning to see more renewals today with a very modest upward bias.Now this is all good news for the Apartment business, but I want to make sure that everyone understands, I'm not suggesting that we're experiencing any kind of sharp inflection here. I would rather say, we think we are at the beginning of a period of slowly and I do mean slowly improving fundamentals. But when job returns, if you add job growth to that picture, we believe that will quickly turn into one of the best operating periods in our history. So with that in mind, Fred, give everybody please a little color on how we are looking at revenues for 2010."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Thank you, David. So I'll give you a little more detail around our 2010 guidance for the same-store revenue. And this is based on what we're seeing on the ground today and the trends the we expect the business to follow over the coming year. So first, as",1249,"Thank you, David. So I'll give you a little more detail around our 2010 guidance for the same-store revenue. And this is based on what we're seeing on the ground today and the trends the we expect the business to follow over the coming year. So first, as you know, our rental revenue is mostly impacted by four key drivers:  First, we have a continued roll down of those embedded leases that are currently above market rents, those have to roll down to net effective new lease rates; second is the rental rates achieved on our renewals; third is the resident turnover rate; and fourth is any change assumed in physical occupancy.So at a starting point, if you look at this year, assuming first, assuming no change in occupancy for the moment, our budgets would lead us to think that same-store rental revenue would decline by about a negative 2.9%. As that is just the mix of those first three things without an occupancy change. Then when we adjust for unexpected at least half point occupancy gains and some contribution from our other income categories, then we get to the total same-store revenue of down roughly 2%, which is right in the midpoint of our guidance range. So let's go to look a more detail in each one of those.First let's look at the net effective new lease rates. And if you remember, these are the current rents that we're achieving on brand new leases on a net effective basis, so new people moving in net effective rates. And as noted in previous quarters throughout 2009 is net effective new lease rates have remained relatively stable since January of last year. So had a big roll down late 2008, and we weren't sure what was going to happen in 2009 but we're very pleased with each quarter ticked off in '09. That those rents are pretty stable, up a little bit, down a little bit, but overall on a very narrow band. Let's stay right up to the end of 2009, but right at the end of fourth quarter, we noticed some pretty good seasonal pricing trends begin to develop.As we turned the quarter in late December and into January, we see a slight upward movement continuing in the first quarter of 2010. So after bouncing along a year-long bottom, we're seeing a modest but definitely noticeable upward trend in rates.Now the markets that are leading this upward trend include Boston; Washington D.C.; Denver, Colorado; and now South Florida. Boston is the strongest performer in this regard and rents are up about 3.3% from the same week a year ago. Now some markets are a little bit slower, they are lagging. Those that entered the recession later, kind of last to the end of the downturn such as Seattle and San Francisco. And then also those with deeper economic problems, larger scale job losses, maybe less chance for a recovery such as Phoenix, Arizona and the Inland Empire, it's is going to take longer. They're always going to lag in this recovery of rents. They will get there, it's just going to take a little while longer.Seattle is the farthest behind, and their net effective new lease rates are now about 9% below the same point a year ago. Now let's talk about the renewal fees. Obviously, the roll down to new pricing levels will continue through most of 2010. However, the downward trend as this process occurs is moderated, kind of a governor has put on it by the achieved renewal rates that you can get on those that do not move out.As we mentioned through 2009, we are very pleased. Initially surprised but very pleased that the net 12 month renewal rates on those people renewing, we were able to do that basically flat or only slightly down. That was a great kind of proof of consumer behavior, they are satisfied with their apartment, they are in there, they like us, they stay, they pay and they say good things about us.So the whole renewal process, our strategy starting with our pricing, our sales and communication of it, and we talk people through those change. Communicate, motivate but do not capitulate on those rents. So despite the reduced net effective new lease rates, as we turned into 2010, it has turned positive with an average increase of just under 1% up for our January renewals. And the February trend, we have already read about 39% for February, we're not done yet, so as another significant increase on this. As we get to the easier comp periods of the past plus our ability to sell renewals and negotiate tough, we are seeing a good lift on this renewal basis, which is a significant moderator to the roll down of rent rolls.So all about three of our core markets are now achieving positive renewal rate gains, led by the D.C. Maryland market at up 4.4%, and that's very healthy renewal rates in any market. However, in contrast, Seattle. Again, sorry to pick on Seattle. But as the rents were declining further, as we have noted earlier, they are averaging a 2.4% reduction in 12 months renewal rates in January. So we are seeing some write down in the renewal side piece as well in Seattle.Now coupled with this is resident turnover. And as you know, resident turnover has improved steadily over these past few years. We've been very happy with our resident retention movement. But for the 2010 budget baked into this guidance, we're assuming that it will remain flat for 2009.That brings us to the final driver of rental revenue, which is that of occupancy. As David mentioned, counter to seasonal expectations, leasing remained strong through late Q4 and well into January. Our occupancy has climbed of late and we're now at 94.6% as of yesterday. And it's the broad-based movement, many markets have experienced recent upmoves in occupancy right at a time when you think it might be moderating or soft.Some of these markets have made a move as great as 100 basis points. However, with stable or actually improving net effect of new lease rates. These improved markets like Los Angeles, which is now at 95% occupied, South Florida, 94.8% and Atlanta, Georgia even at 95.5%. And again we did not buy these occupancy gains. And this is the most encouraging signal to me to the start of 2010.So to recap our assumptions for the guidance for this year, our portfolio average net effect of new lease rates have turned upward and we believe this will continue, returning to a slight and modest growth by the years end. Renewal rates will remained positive and growth stronger throughout the year. The Resident turnover will hold steady at 61%.Put this into the rental revenue blender and you get 2.9% decline. However, offset favorably by a half point improvement in occupancy and a further contribution by other income, and again that yield been an approximate 2% decline in same-store revenues. For the entire year of 2010, it represents the midpoint of our guidance.So overall, we are very happy to see some positive signs out there in our system, but we have to remember, there's still a long way to go. Our platform and our people have served us extremely well in 2009. And we feel right now as we enter this year, we're very well positioned to capture the opportunities of a much awaited and much welcomed recovery. Thanks."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Thanks, Fred. Turning to transactions here after sitting on the side lines for quite a while, and not making any acquisitions due to uncertainty about property violations as well as more an important need to pour cash and manage the balance sheet, we've b",1134,"Thanks, Fred. Turning to transactions here after sitting on the side lines for quite a while, and not making any acquisitions due to uncertainty about property violations as well as more an important need to pour cash and manage the balance sheet, we've become more active on the buy side over the last 90 days.Now as I said for quite some time, we would begin buying again when two things happen. Number one, we needed to become confident in our ability to fund our maturing debts in the normal course of business. And number two, we said we'd begin buying again when we began to see attractive pricing on good quality assets in core markets. Assets that we could acquire a discount replacement costs at good IRRs and which we thought we'd create good long-term value for our shareholders.We did acquire two assets in the fourth quarter of last year. But first, we discussed a little bit on our last earnings call in late October, and that was a high rise tower in the Pentagon City neighborhood of Arlington, Virginia. Built in 2004, we pro forma the 6.1% yield on that asset in our first year. The second acquisition in the fourth quarter of 2009 was Mosaic at Largo Station. That deal was in Maryland just east of the district near FedEx Field. That was completed in 2008, and was still in leased up when we acquired it and we'd pro forma there a stabilized yield in the high sixes.And more recently, thus far in 2010, we have acquired five additional assets. The two Macklowe assets, which we announced on Monday, which we're just extremely well located in premier multifamily assets. But in addition to those, we acquired a mid-rise property near the beach in Delamar, California which was built in 1998. We are going to do a repositioning on this asset, and we project it a year or a two yield of 6.7%.We've also acquired another high rise tower in Arlington, Virginia called Vista on Courthouse, that deal was built in 2008 and we pro forma on a 5.9% per share yield on that acquisition. We've also acquired just this week and closed on Tuesday, a mid-rise property in Seattle built in 2002 and we acquired that with a 6.6% cap rate.And of course, won a contract to acquire the third Macklowe asset, which will close no later than May 1. We're also pursuing a couple of additional deals, each of which we think are extremely well-located, the high-quality assets, which we think we can acquire at attractive prices at good discounts replacement costs, double-digit IRRs and again, which we will think will provide better long-term total returns in the assets that we're selling.So meanwhile, the markets remained open for the assets that we've targeted for disposition. These are assets in non-core markets, where assets in less attractive submarkets with a risk to valuations going forward. So we continue to sell assets through the fourth quarter, sold three deals in North Carolina, a 37-year-old deal in Atlanta, a 48-year-old asset in Rockville, Maryland. We've also got a pretty good pipeline of potential dispositions in 2010. We're currently working on several more deals in North Carolina, which will nearly complete our exit from that market, working on a portfolio of smaller assets in our non-Boston, new England markets and a property in Jacksonville, Florida just to name a few.But I want to just as everybody understand that our motivation to sell today has changed as of late. Going forward, we will continue to sell if we can find attractive acquisition opportunities that it make sense to recycle that capital into. Because in 2010, we don't expect to be selling to raise capital for liquidity and debt repayment purposes that was behind much of the selling over the last couple of years. Our thinking is now back to what it was prior to the credit meltdown that will be a seller if we think we have a core market reinvestment opportunity that will provide a better, long-term total return on our capital.On the development front, our focus in 2009 was to complete the lease and to stabilize our existing deals. And we're very pleased with our progress on all fronts. During the year, we completed six assets, totaling $670 million of development cost. We've stabilized seven projects, totaling nearly 1,600 units. In the fourth quarter alone, we leased 375 units and had 338 new move-ins just in the fourth quarter of 2009.Now like everywhere, our rents are below our expectations, they are down about 18% on average on a net effective basis from our original underwriting but that's just the fact of what's going on out there in the marketplace today. We have four projects that remain under construction at the end of 2009. This range from 70% to 98 or so percent complete but with only $140 million yet to fund to complete construction on those assets.But as noted in the last night's release, we have added a property to our development pipeline. We have acquired a leasehold interest in a land partial in New York City. This is at the southwest corner of 10th Avenue and 23rd Street in Chelsea right next to the Highline, which is an incredible, incredible thing for that neighborhood, just a great amenity.This was a distressed situation, in which we acquired this interest from an investor who had completed the foundations out-of-pocket but was unable to get financing to go vertical. So the project that had little activity for nearly a year and a half. And we acquired this interest for about 50% of what the seller had into all of the site and foundation work, as well as the architectural and the engineering design work.And we simultaneously entered into an amended ground lease, which didn't really change the economics any, but it did make the lease more commercially reasonable to us and it was necessarily for us go forward the transaction. So on this site, we'll build 111 apartment units beginning as early as the second quarter of 2010 that will include 9,400 square feet of prime retail at just a tremendous corner in the Chelsea neighborhood.Total cost, about $53 million, 100% of these units will be market rate. We've underwritten a 7%, a mid-7% yield on cost and that's at current rents today. And the deal is subject to a 421-A, 10-year tax abatement which is a favorable tax treatment for that site. This really was a unique situation. I got to tell you that our development team led Megumi Brod really brought to the table, and we just did a phenomenal job of making that happen for us and we're really excited about it. So with that, I will turn the call over to Mark."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Thanks, David. Good morning, everyone and thank you for joining us on today's call. This morning, I will focus primarily on our fourth quarter performance and our guidance for the first quarter and full year 2010. Same-store NOI declined 6.3% in the quart",1450,"Thanks, David. Good morning, everyone and thank you for joining us on today's call. This morning, I will focus primarily on our fourth quarter performance and our guidance for the first quarter and full year 2010. Same-store NOI declined 6.3% in the quarter, compared to the fourth quarter of last year. Revenue was consistent with our expectations and expenses were better than our expectations.For the quarter, our same-store total revenues decreased 4.7% over the fourth quarter of 2008 due to a 4.5% decrease in average rental rate and a 20 basis point decline in occupancy to 94%. Same-store expenses were down 1.9% on a quarter-over-quarter basis, driven primarily by decreases in real estate taxes and payroll. Our expense categories are broken out in our detailed disclosure on Page 14 of the press release.As most of you know, real estate taxes and payroll are two of our three biggest expense categories. Together, they constitute approximately half of our combined same-store operating expenses. Real estate taxes were down because lower valuations were realized more quickly than we expected and because of our success with appeals.Payroll is down because of the adjustments to accruals, lower headcount and less overtime. The third biggest expense category is utilities, which is about 15% of our expenses. And those expenses were up only 2.7% quarter-over-quarter, less than we expected due primarily to lower energy costs. The next big category, repairs and maintenance costs were down mainly because turnover was down 1.3% for the quarter. And I know that turnover was down 2.7% for the full year.Regarding FFO, we had a terrific incremental contribution about $6.3 million in the quarter from our lease sub-properties. For the full year lease subs contributed an incremental $23.2 million to our FFO results in 2009. Our FFO was $0.52 per share for the quarter, down from $0.61 per share for the fourth quarter of 2008 after adjusting for a one-time items, including the 2008 land impairment charge, and debt extinguishment gain and the 2009 tender offer charge. This difference was primarily due to a decrease in same-store NOI at about $0.06 per share, and $0.06 per share of dilution from our 2008 and our 2009 net disposition activity, offset by the $0.02 per share of higher lease-up results that I just referred to. 2009 was challenging and we came through it well. So with 2009 behind us, let's take a look at 2010.On Page 25 of the release, you will find the assumptions underlying our annual FFO guidance. We have also listed in the release the primary drivers of the difference between 2009 and 2010. Let me discuss further a few key items.On the revenue side, Fred gave some wonderful color on our numbers and I wanted to add a few points to help put our 2010 guidance in perspective, compared to our 2009 results. During 2009, our same-store quarter-over-quarter revenue numbers became progressively worse as the impact of the roll down and net effective new lease rates went through our rent roll.In 2010, we expect our same-store quarter-over-quarter revenue numbers to grow progressively better with the possibility that same-store revenues for the fourth quarter of 2010, when compared to the first quarter of 2009 maybe minimally positive. This is mostly due to the easier comparable periods we will face in later 2010, as well as the improved occupancy in 2010 that Fred discussed.On the expense side, we set a same-store guidance range of up 1% to up 2%. We expect utility increases of approximately 3% and real estate tax increases of approximately 2%. We believe we can manage payroll expenses effectively and continue to find ways to control other costs while keeping our properties in excellent shape. And I know that same-store expenses were essentially flat in 2009 for the year, down 0.1%, after having growth of only 2.2% in 2008 and 2.1% in 2007, which again makes for a very tough comparison period for 2010, but Fred and David Santee are up to attack.The primary drivers of the difference between the midpoint of our first quarter 2010 FFO guidance of $0.50 per share, and our 2009 fourth quarter actual FFO and I'm excluding the tender offer charge of $0.52 per share are as follows: A negative impact of $0.03 per share from the lower same-store NOI. As I explained earlier, our first quarter 2010 same-store revenue will be down more than the negative 2% annual guidance midpoint, but it will be better than the negative 4.7% quarter-over-quarter number we reported for the fourth quarter of 2009. And I expect a positive impact of approximately $0.01 per share from lower interest expense.Our full year 2010 FFO guidance were $1.95 to $2.15 per share as four main moving pieces when compared to 2009. Lower same-store NOI, dilution from transaction activity, accretion from lease-ups and lower interest expense.On the NOI side, we expect lower same-store NOI of about $0.16 per share. As for transaction dilution, we anticipate transaction dilution of about $0.11 per share, that consists of $0.10 of dilution of our net sales activity in 2009 and a $0.01 of dilution from our 2010 transaction activity.As for lease-ups, we anticipate a positive impact of about $0.09 per share from lease-up activity. And finally, on interest expense, I expect a positive impact of about $0.03 per share from lower interest expense and this comes from the lower debt balances, costs from paying of debt both at maturity and through tenders. But this is somewhat offset by a reduction in capitalized interest due to our much smaller active development pipeline in 2010.Now on the capital expenditures. As described in Footnote 9 on Page 22, in 2010 we expect to spend about $825 per unit without major rehabs and about $1,075 per unit with rehabs. In 2010, we estimate that same-store routine replacements will run about $350 per same-store unit. We expect to spend approximately $29.3 million on major unit rehabs on about 3,900 units, which is about $7,500 per unit. This will equate to approximately $250 per unit on averaged out over the entire same-store sales portfolio. We estimate that we will spend approximately $475 per unit on building improvements in 2010.I also want to highlight the impact on 2010 earnings and FFO of some relatively new accounting guidance that will impact us more in 2010 than it did in 2009. This will requires us to expense survey, title outside legal expenses and other similar costs we incur in acquiring existing operating properties. Prior to 2009, these costs on successful acquisitions would have been capitalized.Our past history is that on average, we spend about 50 basis points or half a percent of a property's purchased price on acquisition costs. Therefore, based on our acquisitions guidance of $1 billion, we have budgeted about $5 million of such costs in 2010 with about $2.5 million or $0.01 per share of these costs being incurred in the first quarter.These expenses run through the other expenses line item on the income statement. We have added the other expenses line to our guidance assumptions on Page 25.A quick note on the funding sources for this year's transaction activity. We began 2010 with approximately $150 million of cash available for investment and approximately $250 million in disposition proceeds in our 1031 escrow account. We have budgeted funding this year's acquisition activity with a combination of this $400 million along with expected proceeds from future property dispositions. We will pay off approximately $250 million of debt this year, all of it is secured debt. After adjustments for net operating cash flow and some minimal development spending, we expect to have a balance on our unsecured line of credit of about $225 million at the end of 2010.Given that our line cost is about 50 basis points above LIBOR or 75 basis point in total right now, a bit of line usage does not bother us at all. In the second half of 2009, the capital markets continued to improve substantially, causing us to be more confident in our ability to refinance our future debt maturities. As a result, the company conducted a debt tender offer in order to put to use cash the company had stockpiled in early 2009 to address 2010 through 2011 debt maturities.As you can see on Page 17, we spent about $366 million, retiring about $344 million in 2011 and 2012 unsecured debt. Consistent with our strategy, these past two years, we view the tender as a prudent cash management step and as a means to whittle away at our 2011 and 2012 debt maturities. We will remain vigilant of our liquidity position and debt maturity schedule. And now, I'll turn the call back over to David."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Thank you, Mark. Before we open the call to questions, I'd like to reemphasize a couple of points that we discussed already. The first is, it relates to operations. Now we will experience a second year of negative same-store revenue growth in 2010. But as",199,"Thank you, Mark. Before we open the call to questions, I'd like to reemphasize a couple of points that we discussed already. The first is, it relates to operations. Now we will experience a second year of negative same-store revenue growth in 2010. But as Fred said, we expect fundamentals to improve ever so slightly as the year progresses, because net effect, the new lease rates are turning a bit positive, renewal rates have turned upward just a little bit and we expect an incremental increase in average occupancy for the year. But we are a long way from a recovery. There is -- these are certainly positive signs for the apartment business. And lastly on the investment side, the Macklowe purchase, as well as the land lease deal for the result of our ability to move quickly, our ability to deal with complex structures and issues, and our ability to fund with cash on hand regardless of deal size. These attributes enable us to get direct looks at these terrific opportunities and we are very hopeful we'll see more of them, as the year progresses. So with that, Chris, we'll be happy to open the call to Q&A."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Operator","[Operator Instructions] Your first question comes from the line of David Toti with Citigroup.",14,"[Operator Instructions] Your first question comes from the line of David Toti with Citigroup."
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Analysts","Michael Bilerman is here with me as well. My first question has to do with the acquisition. I know  you provided some detail on this, but can you walk us through some of your underwriting, sort of, outlines relative to what kind of growth you're expecting",84,"Michael Bilerman is here with me as well. My first question has to do with the acquisition. I know  you provided some detail on this, but can you walk us through some of your underwriting, sort of, outlines relative to what kind of growth you're expecting? The cap rates are pretty low on a relative basis, so I'm just wondering what you're thinking about in terms of growth exit cap rates, where the risk is, especially with respect to the New York City acquisitions?"
28209,78966661,49881,"Equity Residential, Q4 2009 Earnings Call, Feb-04-2010",2010-02-04,"Earnings Calls","Equity Residential","Executives","Well, cap rates are low on a relative basis. If cap rates are high, depending on how far back one wants to go. Now I'll tell you, particularly, the rates at New York City, we went back over almost 12 years of history to look at where cap rates have been.",242,"Well, cap rates are low on a relative basis. If cap rates are high, depending on how far back one wants to go. Now I'll tell you, particularly, the rates at New York City, we went back over almost 12 years of history to look at where cap rates have been. And these are the highest cap rates that we've seen over that time period. And obviously, we look at cap rate, we're also looking at what our price per pound is. And we're very, very pleased with being able to acquire these assets at $470 a door and $545 or so a square foot. But we think replacement cost net market gave us probably $800, or if not $900 per square foot or perhaps more. I will tell you, in 2010 in the acquisitions, we've written revenues down 3% during the year. And then we are forecasting improvements in rents going forward. And on the residuals, I could tell you that our residual prices per square foot are in the range of what we think replacement cost is on those assets today. So we're very comfortable with that. Clearly, there are risks on all these, but I will tell you that the ability to buy assets today at the discounts replacement console we have, particularly this macro portfolio, I would be very surprised if we did not wildly exceed what we think our currently low double-digit IRRs on an unleveraged basis."
