"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Operator","Good morning, and welcome to the Kellogg Company Fourth Quarter and Full Year 2009 Earnings Conference Call. [Operator Instructions] At this time, I would turn the call over to Kathryn Koessel, Kellogg Company's Vice President of Investor Relations. Ms. K",45,"Good morning, and welcome to the Kellogg Company Fourth Quarter and Full Year 2009 Earnings Conference Call. [Operator Instructions] At this time, I would turn the call over to Kathryn Koessel, Kellogg Company's Vice President of Investor Relations. Ms. Koessel, you may begin your conference."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Executives","Thank you, Christina. Good morning. Thank you for joining us today and welcome to the review of our 2009 fourth quarter and full year results, and a discussion of our ongoing strategy and outlook. Joining me are David MacKay, our President and CEO; John B",192,"Thank you, Christina. Good morning. Thank you for joining us today and welcome to the review of our 2009 fourth quarter and full year results, and a discussion of our ongoing strategy and outlook. Joining me are David MacKay, our President and CEO; John Bryant, Chief Operating Officer; and Ron Dissinger, Chief Financial Officer. The press release and slides that support our remarks today are posted on our website at www.kelloggcompany.com.As you are aware, certain statements made today, such as projections for Kellogg Company's future performance, including earnings per share, net sales, margin, operating profit, interest expense, tax rates, cash flow, brand building, up-front costs, impact of the recall and inflation are forward-looking statements. Actual results could be materially different from those projected. For further information concerning factors that could cause these results to differ, please refer to the second slide of this presentation as well as to our public SEC filings.As a reminder, a replay of today's conference call will be available by phone through Monday, February 8. The call will also be available via webcast, which will be archived for 90 days.Now let me turn it over to David. David?"
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Executives","Thanks, Kathryn, and good morning, everyone. We're pleased to report another strong year of sustainable dependable performance to the Kellogg company. Our business model and focus strategy are helping us weather the tough consumer and customer environment",395,"Thanks, Kathryn, and good morning, everyone. We're pleased to report another strong year of sustainable dependable performance to the Kellogg company. Our business model and focus strategy are helping us weather the tough consumer and customer environment and positioning us for growth now and well into the future despite the current economic backdrop. Our focus has been and will continue to be to sustainably grow the top line, drive investment in our brands, build an effective and cost-efficient infrastructure and consistently deliver solid results for the long-term.As I said last quarter and I think it bears repeating, 2009 has certainly presented us with challenges, and yet at the same time, given us opportunities to build an even stronger Kellogg Company. The weaker global economic environment has lessened the inflationary pressure on pricing and increased the stress level on consumers, which is translated into moderating top-line growth. However, consumers are seeking ways to maximize value and trading into some of that core categories such as cereal in markets like the U.S. and the U.K. Consumers recognize that our brands represent value, great taste and good nutrition. So that positions us well for the future.Another benefit of the weaker economy is media deflation in key markets. As a result, our increased investment in advertising has significantly grown our underlying impressions. On an internal basis, our advertising grew 15% in the back half of the year and nearly 7% for the full year.As discussed at our Investor Day and on previous earnings calls, we've being focusing on improving productivity and reducing costs. We've completed the first year of our three-year billion dollar plus cost-reduction program. In 2009, we exceeded our expectations in cost savings now adding a plus to the billion dollar challenge. The result, strong earnings per share growth and record cash flow for 2009.Benefiting from the 2009 momentum, we entered 2010 with a solid pipeline of innovation and renovation, as well as a renewed commitment to productivity and cost savings. We continue to focus on building a Kellogg Company resilient to economic conditions and poised to forge ahead. With excellent financial visibility into our future financial performance, we remain confident in our ability to deliver another year of sustainable and dependable growth. And with that, I'd now like to introduce our newly appointed CFO, Ron Dissinger, for the review of our financials. Ron, over to you."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Executives","Thanks, David. Good morning, everyone. Let me begin with a summary of our 2009 financial results on Slide 4. As David said, despite the challenges of a weak economy and a competitive landscape, we had a good year. We met or exceeded our 2009 guidance on g",1663,"Thanks, David. Good morning, everyone. Let me begin with a summary of our 2009 financial results on Slide 4. As David said, despite the challenges of a weak economy and a competitive landscape, we had a good year. We met or exceeded our 2009 guidance on growth rates of 3% to 4% internal net sales, 8% to 10% internal operating profit and 10% to 12% currency-neutral earnings per share. In 2009, our internal net sales grew 3%, with strong operating profit growth at the top end of our range. As you are aware, our internal numbers exclude the effect of foreign exchange acquisitions and a 53rd week in 2008.Our net sales growth reflects a particularly strong year in Retail Cereal and a solid year in Retail Snacks, which helped to offset the pressures we experienced in our Food Service business due to industry trends and the supply disruption in our Eggo Waffle business. We continue to invest in our brands. And we increased our up-front cost investments to $0.26 per share for the full year compared with $0.14 per share in 2008. Our solid sales performance, combined with our cost savings and productivity initiatives, as well as moderating commodity inflation drove 10% internal operating profit growth for the year.This resulted in our full year 2009 earnings per share of $3.16, a 6% increase on a reported basis and a 13% increase on a currency neutral basis. As we've said on our third quarter call, we expected below-the-line items to negatively impact our full year and fourth quarter results. The primary drivers include, full year interest expense of $295 million, which includes the cost of the bond tender offer completed in December 2009. This enabled us to refinance a portion of our 2011 bond maturity at an attractive interest rate. Impacting the other income and expense line was a charitable contribution in the fourth quarter. In addition, we took an approximate $0.02 hit to our earnings per share in the fourth quarter from the impact of Venezuela.The situation in Venezuela is changing rapidly. However, profits from this business are only 1% to 2% of total company results. And we think we are appropriately positioned. Partially offsetting these expenses, we benefited from some discrete favorable tax items in 2009 lowering our tax rate to 28.2%.On Slide 5, we'll walk through the components of our internal sales growth for the fourth quarter and full year. Year-over-year reported net sales for the full year 2009 declined by 1.9%. On an internal basis, net sales grew 3%. The following components contributed to our sales performance. Our tonnage declined by 7/10 of a point during the year. Much of this decline came from our continued transition away from low margin products in Russia and China and the Eggo supply disruption. This decline masks a strong volume performance in Cereal. Price and mix contributed 3.7 points of growth to the business. Currency reduced our reported growth by 3.7 points. And acquisitions increased our reported growth by a modest 3/10 of a point. Also note that the 53rd week in the fourth quarter of 2008 impacted our reported sales growth unfavorably by 1.5% for the full year.Each of our operating segments contributed to net sales growth for the year. Internal net sales for North America increased 2.8%. Europe rose 1.6%, and Latin America grew 6.8%, while Asia-Pacific improved by 5%. Our fourth quarter internal net sales grew approximately 2%. Now let's turn to Slide 6 to discuss cost pressures. As expected, commodity prices moderated during the year reducing our cost pressures and cost of goods sold to approximately 3%. This compares to much higher inflation rates of the past several years. Our billion dollar plus challenge cost reduction initiatives, combined with price execution early in the year more than offset these cost pressures in 2009 and improved our gross margin during the year.For 2010, we expect cost pressures to remain at approximately 3%.For 2009, our gross profit was $5.4 billion. On an internal basis, our gross profit grew 6% for the year. Gross margin increased 100 basis points to 42.9% due to price increases as well as savings initiatives and cost of goods sold and these more than offset inflation and higher up-front costs. Internal gross margin was up 120 basis points. And if we exclude the impact of up-front costs, gross margin was up 160 basis points for the year. For 2010, we expect gross margin improvement of approximately 100 basis points.As you can see on Slide 8, we have continued our commitment to reinvesting in our brands through advertising. It remains a key component of our business model, and we believe essential to achieving our long-term goals. As we have said, we experienced media deflation in the year. Lower prices, combined with increased media efficiencies and increased investment resulted in a significant increase in impressions. In 2010, we expect our advertising to grow at a higher rate than sales, even with expected media deflation in key markets.Slide 9 highlights our internal operating profit growth by area. Despite heavy investment in the advertising and up-front costs, our North American business still delivered 11% internal operating profit growth. And in the fourth quarter, North America internal operating profit increased by a healthy 25%. While Europe delivered moderate sales growth for the year, both operating efficiencies and media deflation contribute to a strong 7% internal operating profit increase for the year. In the fourth quarter, Europe delivered 13% internal operating profit growth.Latin America showed strong internal sales growth for the year. However, internal operating profit declined by 2%. Significantly higher input costs and increased advertising contributed to the full year decline. In addition, a December reduction in trade inventory impacted both full year and fourth quarter sales and profits. This trade inventory reduction increased advertising investment and higher upfront costs contributed to a 52% decline in internal operating profit for the fourth quarter. And in Asia-Pacific, internal operating profit increased by 14% for the full year, driven by sales performance. However, increased advertising contributed to a 21% decline in fourth quarter internal operating profit.Now let's turn to Slide 10 to discuss cash flow. Managing for cash continues to be a key operating principle for Kellogg. We are focused on growing net earnings and remain disciplined about core working capital and our balance sheet. We delivered record cash flow of $1.27 billion in 2009. Our strong cash flow generation has given us flexibility to support our business and continue to return cash to shareholders. Capital spending declined to 3% of net sales in 2009, versus 3.6% in 2008. As we said on our third quarter call for 2010, we expect capital spending to be approximately $500 million at the high end of our 3% to 4% range, driven by capacity increases on our Eggo Waffle network and cost to reimplement SAP across our Americas' business is.Also in the fourth quarter, we reduced our commercial paper significantly, and took our net debt to one of the lowest levels since the Keebler acquisition providing us with a strong liquidity position. Given the potential for continued volatility in the economy, we believe this positions us very well for the future. For 2010, we expect our cash flow to be comparable to 2009, given the increase in capital spending. In sum, we were pleased with our 2009 performance, posting solid sales growth and effectively managing our cost structure, while at the same time increasing our investment and advertising and up-front costs. We posted a double-digit increase in internal operating profit, invested in our future growth and improved our financial visibility. It was a very good year for Kellogg, delivering high quality earnings and a very difficult economic environment. Another year of sustainable and dependable performance.Now let's turn to Slide 12 for our expectations for 2010. We remain confident in our ability to deliver another year of sustainable and dependable growth. And we are raising our 2010 currency-neutral EPS forecast. We expect to continue to drive volume and mix to grow internal net sales to 2% to 3%. Our focus on productivity and expected moderate inflationary environment and a lower up-front cost should result in approximately 100 basis points of gross margin expansion. 2010 upfront investments are projected to be approximately $0.16 per share. About half of these costs are allocated to the cabling manufacturing initiative.Lower up-front costs should help accelerate our internal operating profit growth to 8% to 10%, which is above our long-term targets. Below the line, we expect interest expense to be in the range of $250 million to $260 million. Our effective tax rate is projected to be between 30% to 31%.Shares outstanding are expected to decline as we execute the remaining $463 million of the 2009 share repurchase authorization, plus the $650 million we authorized for 2010. We expect to lower shares outstanding by 2% to 3% for 2010. Our guidance for earnings per share has increased and is now 11% to 13% growth on a currency-neutral basis. To understand the impact of foreign exchange on our 2009 results and in 2010, please turn to Slide 13.  As we discussed on previous calls, moving from currency neutral to reported earnings per share guidance requires us to estimate the impact of foreign exchange on our earnings per share performance. The full year 2009 adverse impact of translational foreign exchange was $0.22 on EPS, up from our November estimate of $0.21.Slide 13 shows our key current currencies with 2009 actual rates and current spot rates as of February 1, 2010. Based on these spot rates, foreign exchange is estimated to be flat compared with our earlier estimate of a favorable $0.08. Approximately one-half of the change is related to the devaluation of the currency in Venezuela. As you are well aware, foreign exchange is a moving target. So we're prepared to update you on the impact on a quarterly basis. And now, I'd like to turn it over to John to discuss our business operations."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Executives","Thanks, Ron, and good morning, everyone. We delivered strong results in 2009 and are well-positioned to deliver another year of sustainable, dependable performance in 2010. As you can see on Slide 14, our 2009 North America internal sales grew 3% versus 6",1169,"Thanks, Ron, and good morning, everyone. We delivered strong results in 2009 and are well-positioned to deliver another year of sustainable, dependable performance in 2010. As you can see on Slide 14, our 2009 North America internal sales grew 3% versus 6% last year. It was a particularly strong year for both Retail Cereal and Snacks. However, weakness in Frozen and Food Service, which I will address in a moment, dampened net sales for the year and particularly in the fourth quarter. As we look forward to 2010, we expect that North American sales growth will be in the low single-digits range. Let me discuss each business in greater detail, beginning with Cereal on Slide 15. Ready-to-Eat Cereal continues to be a strong category, responding well to brand building, nutrition and innovation. Cereal is also a great value. And we are seeing growth in all of our core markets around the world. By our estimate, the Ready-to-Eat Cereal category in the U.S. grew around 2% to 3% for the quarter, and approximately 3% for the full year. Our category share increased approximately 20 to 40 basis points for the quarter, and 10 to 20 basis points for the year. We continue to drive growth and support for our top eight brands, plus Kashi, which on a combined basis grew more than 7% in the quarter and even more for the full year.Our North American Ready-to-Eat Cereal business delivered a healthy 4% internal net sales growth for the full year, and was up 6% for the quarter driven by a double-digit increase in advertising. In addition to the growth in our large brands, there are two other factors, which impacted our North America Cereal shipments in the fourth quarter. Firstly, as we have mentioned before, we continue to manage the tail of our portfolio, axing On-The-Go and Straws because performance was not meeting expectations.Secondly, we did build our trade inventories at the end of the quarter in preparation to January events. We believe about 2% of our fourth quarter North America cereal shipments was due to trade inventory. Our innovation and renovation pipeline is solid. Froot Loops and Apple Jacks with fiber hit store shelves in August. Frosted Mini-Wheats, Little Bites Original flavor, Special K Granola and Cinnabon cereal will be introduced in the first quarter. Kashi is also introducing GOLEAN Crisp! and two new BearNaked granolas. Kellogg Canada also continued to perform well in the Cereal category with share growth for both the quarter and the year. Kashi's performance was particularly strong in Canada.Turning to our North America Snack business. We posted a full year internal net sales increased of 3% and 5% in the fourth quarter. On Slide 17, you can see that we achieved broad-based growth across our North America Snack business. Our Pop-Tarts brand is performing well, delivering mid-single digit internal net sales growth for the year.Crackers grew mid-single digits for the year driven by another strong year from Cheez-It. In the first quarter, we are launching two new SKUs of Wheatables Nut Crisps and two new SKUs of Cheez-Its. Cookies posted a slight gain for the year driven by the Fudge Shoppe and Mothers brand. And we saw some softness in the fourth quarter due to heavy promotional activity and ranging.Within snacks, our best performing category was wholesome snacks, which grew double-digit for the year and achieved strong share gains. The introduction of FiberPlus, Special K Chocolatey Pretzel and Cinnabon Bars helped drive wholesome snack growth for the year.Turning to the Frozen and Specialty Channels business. We experienced a tough 2009. The negative trends in the food service industry and the Eggo supply disruption contributed to a 13% decline in the quarter to finish the year down 1%. A combination of a flood and extensive enhancements and repairs at our Eggo facilities significantly impacted production in the second half of the year. While all of our plants are operational, we have not been able to achieve previous capacity levels. So demand continues to exceed supply. We are evaluating our inventory plans and working hard to increase capacity. However, as a result of the supply disruption, the impact on the top line will continue through the first half of 2010, and the estimated impact is included in our 2010 guidance. On a more positive note, Morningstar Farms Veggie Food net sales grew over 3% for the year, gaining over one share point. Kashi frozen meals grew over 10% for the year, capturing almost 25% of the natural organic meal category. Our Food Away From Home business posted lower sales for the year and the quarter reflecting the weak economic environment and the impact that this has had on the food service industry. We don't expect to see significant improvement in this business until the middle of 2010.Please turn to Slide 19. We will discuss the international business. Outside North America, our international business continues to perform well, delivering 3% internal sales growth for the year. In Europe, the operating environment remains difficult. As anticipated, the first half of 2009 was flat due to custom issues, but regained momentum in the back half of the year. Europe delivered 2% internal net sales growth for the year and 2% for the quarter. In the fourth quarter, Europe achieved share gains in the U.K., France, and Italy supported by an increase in brand impressions. Crunchy Nut and Rice Krispies in the U.K., and Extra and Drizzle throughout the continent, contributed to this growth. In Russia, we continued to transition away from bulk to higher margin packaged biscuits and cereal. And we also achieved significant package share gains in those categories. However, the large reduction in the bulk business adversely impacted the overall volume picture in Europe and for the entire company. In 2010, Europe is expected to deliver low single-digit sales growth despite a continuing tough economic environment.Turning to Latin America. We delivered strong results with 7% internal net sales growth for the year, despite flat internal net sales in the fourth quarter. During the quarter, we reduced trade inventories in Mexico and the Caribbean and experienced supply constraints in Venezuela. In Mexico, we gained share growth in the quarter and the full year aided by the success of newly launched All-Bran Yogufibra and a new long-target media campaign, the Zucaritas. Looking to 2010, Latin America is projected to deliver mid-single digits growth in internal sales. We entered the year with healthy trade inventory levels, good consumption momentum and strong commercial plants.For the full year, our Asia-Pacific business delivered 5% internal net sales growth, building upon last year's growth of 8%. Our businesses in South Korea, Australia, and India all had strong cereal performance. In China, we continue to move away from lower margin volume, which impacted the fourth quarter and will continue to impact the first half of 2010. For Asia-Pacific, we expect to see top line growth in the mid-single digit range in 2010. And now, I'd like to turn it over to David for closing remarks."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Executives","Thanks John. In summary, we're pleased with our 2009 performance. We entered 2010 with confidence in our business model and focused strategy, yet at the same time, we're realistic given the headwinds of a volatile economy and consumer struggling under sig",312,"Thanks John. In summary, we're pleased with our 2009 performance. We entered 2010 with confidence in our business model and focused strategy, yet at the same time, we're realistic given the headwinds of a volatile economy and consumer struggling under significant stress. While current conditions are unusual, we'll continue to drive the business to overcome these challenges. Our financial performance for 2010 will be strong, given our cost savings and productivity momentum and the investments we are making. The top line is expected to be in line with our long-term guidance and we have a clear focus to leverage the current tough environment to take advantage to build Kellogg into an even stronger company for the future.We're planning to grow our top line through exciting innovation and renovation and continued investment in advertising. We're optimizing our global organization and striving for enhanced effectiveness in many areas of our business. We're off to a great start with the completion of the first year of our three-year billion dollar plus challenge. We've significantly increased our investment in upfront costs, which will help grow our efficiency gains, help offset commodity and energy inflation in future periods and provide the fuel to sustain our momentum. And we will continue to reinvest heavily in the future of our business as we did in 2009.All these elements combined with excellent financial visibility support our increased confidence that we're on track to deliver our targeted rates of growth in 2010 and beyond. We've demonstrated our commitment to manage the business the right way, for long-term, sustainable, dependable performance. And I'd like to thank our shareholders for their continued interest in Kellogg. And I'd like to acknowledge and thank the Kellogg employees around the world for their dedication to the company and commitment to excellence as we begin 2010. And now I'd like to open it up for your questions."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Operator","[Operator Instructions] Our first question comes from Terry Bivens of JPMorgan.",11,"[Operator Instructions] Our first question comes from Terry Bivens of JPMorgan."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Analysts","One of the things we've been looking at, as you know for several years, Wal-Mart's growth has considerably outpaced that of the general grocery industry. It appears that, that may be slowing down. And I guess this question would be for you, Dave. There ar",125,"One of the things we've been looking at, as you know for several years, Wal-Mart's growth has considerably outpaced that of the general grocery industry. It appears that, that may be slowing down. And I guess this question would be for you, Dave. There are also, for the time being, cleaning out action alley and we think really hurting some companies that depend on that for merchandising space. I'd like to get your comment on that and whether -- just what sort of effect do you think that will have on your domestic volumes as we move through this year? I know you don't like to talk about individual accounts, but if we could just get some sense of how you're looking at that?"
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Executives","I think first of all in macro perspective, if you look at the North America in particular, I think most retailers are feeling the impact of a degree of deflation, particularly when you look at the dairy and general produce sections. And I think that's put",267,"I think first of all in macro perspective, if you look at the North America in particular, I think most retailers are feeling the impact of a degree of deflation, particularly when you look at the dairy and general produce sections. And I think that's putting a lot of pressure on them as costs rise, and yet in many areas they're absolute sales are actually dropping a little bit. And I think that's an area where most retailers are now looking to see how can they drive greater efficiency and effectiveness through this supply chains and through this system. We have been working with many of them, cutting our own SKUs, looking to work with them to see where we can drive further efficiency. As far as talking about a particular retailer, I think a number of retailers have looked to clean up their stores a little bit. I think the impact of that is typically more felt back in the DSD type area, where you have the ability and have normally been able to build incremental displays. So where customers are cutting back on that, probably in our DSD area, we're feeling a little bit more than anywhere else. And most of that, we'll feel a little bit of impact of that probably through the first half and then most of the activity started mid-2009. So not material, but probably a little bit of an impact. But in general terms, I think when you look at the overall retailing environment, very challenging given what's going on with some of the big segments and somewhat deflation rate."
283356,84162255,48590,"Kellogg Company, Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Kellanova","Operator","And our next question comes from Robert Moskow of Crédit Suisse.",11,"And our next question comes from Robert Moskow of Crédit Suisse."
