"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Operator","Good day, ladies and gentlemen and welcome to the fourth quarter 2009 Laboratory Corporation of America’s earnings conference call. My name is Rankin and I am your operator for today. At this time all participants are in listen-only mode. Later we will",74,"Good day, ladies and gentlemen and welcome to the fourth quarter 2009 Laboratory Corporation of America’s earnings conference call. My name is Rankin and I am your operator for today. At this time all participants are in listen-only mode. Later we will conduct a question-and-answer session. (Operator instructions).
I would now like to turn the presentation over to your host for today’s call, Mr. David King, Chairman and Chief Executive Officer. Please proceed, sir.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Thank you. Good morning and welcome to LabCorp’s 2009 Fourth Quarter Conference Call. Joining me today from LabCorp are Brad Hayes, Executive Vice President and Chief Financial Officer, Ed Dodson, Senior Vice President and Chief Accounting Officer and S",92,"Thank you. Good morning and welcome to LabCorp’s 2009 Fourth Quarter Conference Call. Joining me today from LabCorp are Brad Hayes, Executive Vice President and Chief Financial Officer, Ed Dodson, Senior Vice President and Chief Accounting Officer and Steve Anderson, Director Investor Relations.
This morning we will discuss our fourth quarter and full year 2009 results, highlight our 2009 accomplishments, outline our priorities for 2010 and provide answers to several frequently asked questions.
I’d now like to turn the call over to Steve Anderson who has a few comments before we begin.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Before we get started, I would like to point out that there will be a replay of this conference call available via the telephone and internet. Please refer to today’s press release for replay information. This morning, the Company filed a Form 8-K that",188,"Before we get started, I would like to point out that there will be a replay of this conference call available via the telephone and internet. Please refer to today’s press release for replay information. This morning, the Company filed a Form 8-K that included additional information on our business and operations. This information is also available on our Web site. Analysts and investors are directed to this 8-K and our Web site to review this supplemental information.
Additionally, we refer you to today’s press release, which is available on our Web site for a reconciliation of non-GAAP financial measures discussed during today’s call to GAAP.
I would also like to point out that we are making forward-looking statements during this conference call and these statements are based upon current expectations and are subject to change, based upon various important factors that could affect the Company’s financial results. These factors are set forth in detail in our 2008 10-K and subsequent filings. The Company has no obligation to provide any updates to these forward-looking statements even if our expectations change.
Now, Brad Hayes will review our financial results.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Thank you, Steve. By now you should have had a chance to review our fourth quarter and year-end financial results. On today’s call I’ll discuss four key measures of our financial performance, cash flow, revenue growth, margin and liquidity.First, ca",513,"Thank you, Steve. By now you should have had a chance to review our fourth quarter and year-end financial results. On today’s call I’ll discuss four key measures of our financial performance, cash flow, revenue growth, margin and liquidity.
First, cash flow. Our cash flow trends remain excellent. Free cash flow for the year increased 19.8% to $747.7 million compared to $624.2 million in 2008, net of transition payments to United Healthcare.
We’re also pleased with our strong cash collection efforts in the quarter and throughout 2009 as evidenced by significant improvement in DSO. DSO at the end of December was 44 days, an improvement of seven days year-over-year and down four days sequentially. Our bad debt rate was stable at 5.3%.
Second, revenue growth, excluding the special charge in 2008, revenue increased 3.4% year-over-year in the fourth quarter. During the quarter, we achieved strong growth in revenue per requisition which increased 4.3% year-over-year. The growth of revenue per requisition is attributable to both rate increases and mix shift.
Total Company volume decreased 0.9% year-over-year. Excluding the consolidation of the Company’s Ontario, Canada joint venture, volume decreased 1.5% year-over-year.
As we have previously discussed, the termination of two large government contracts at the end of the second quarter reduced volume by 1.5%. Declines in our drugs of abuse testing business reduced volume by 40 basis points. Also, weather accounted for a 30 basis point reduction in our volume. Excluding these items, volume increased by 0.7% in the quarter. Esoteric volume increased 6.8% in the quarter.
Third, margin, for the fourth quarter, our adjusted operating income margin was 19%. This margin decreased 50 basis points year-over-year due primarily to our acquisition of Monogram Biosciences.
Fourth, liquidity, we remain well-capitalized. At the end of December we had cash of $148.5 million and approximately $386 million available under our revolving line of credit. At the end of December, total debt was $1.4 billion, including $75 million drawn down on our revolving credit facility.
During the fourth quarter, we repurchased $108.4 million of stock representing approximately 1.5 million shares. At the end of December, approximately $71.8 million of repurchased authorization remained under our previously approved share repurchase program.
Today, the company announced that its board of directors has authorized a new stock repurchase program under which LabCorp may purchase up to an aggregate of an additional $250 million of its common stock.
This morning we announced 2010 financial guidance. We expect revenue growth of 2.5% to 4.5%. Adjusted EPS in the range of $5.35 to $5.55, excluding the impact of any share repurchase activity after December 31, 2009.
Operating cash flow of approximately $870 million, excluding any transition payments made to United Healthcare and capital expenditures of approximately $135 million. We expect volume growth to remain challenging during the year, given the headwinds from previously mentioned contract losses and the economic environment.
Our pricing outlook is positive, despite the 1.9% reduction in the Medicare clinical lab fee schedule. We will receive price increases from several large payers in 2010.
I’ll now turn the call over to Dave.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Thank you, Brad. We are very pleased with our fourth quarter and 2009 results and I would like to highlight our accomplishments over the last year. During 2009, we grew our revenue by 4% despite the challenging economic environment. Importantly, we also g",419,"Thank you, Brad. We are very pleased with our fourth quarter and 2009 results and I would like to highlight our accomplishments over the last year. During 2009, we grew our revenue by 4% despite the challenging economic environment. Importantly, we also grew our esoteric revenue by approximately 9%. We accelerated our cash collections and kept our bad debt rate at 5.3%. Our DSO improved 7 days from the fourth quarter of 2008.
We continued to invest strategically, purchasing Monogram Biosciences in August to enhance our industry leadership in companion diagnostics, infectious disease -and oncology testing. The integration of Monogram remains on track.
We strengthened our capital structure by redeeming half of our zero coupon notes, eliminating uncertainty related to potential future conversion of these securities. We repurchased nearly 4 million shares of our stock for $237.5 million. And we kept a tight lid on expenses and implemented important steps in automation that yielded improvement in our gross margin.
I will now address our volume growth. Consistent with our commentary throughout the year, we saw volume growth slow in the second half of the year. Job losses leading to declines in the number of commercially insured lives, fewer physician visits and the timing of cobra and severance expirations had a negative impact on our fourth quarter volumes.
Also, as Brad mentioned, our fourth quarter volumes were negatively impacted by lost contracts, declines in our drugs of abuse testing and weather. After adjusting for all of these factors, volume increased by 0.7% in the fourth quarter.
I would now like to highlight our priorities for 2010. First, we will continue to focus on generating profitable revenue growth with a continued emphasis on growing our esoteric testing.
Second, we will continue to enhance our IT platforms with a focus on online services, client connectivity and analytic tools. We will also continue to improve the patient experience through such initiatives as online appointment scheduling and automating the work flow in our patient service centers. We will introduce a number of additional IT enhancements throughout 2010.
Third, we will maintain scientific leadership. We will continue to introduce new tests to respond to scientific discoveries, improve patient care and outcomes and satisfy unmet medical needs.
Fourth, we will maintain pricing discipline. Finally, we will continue our aggressive management of costs. In summary, we remain optimistic about the growth opportunities that lie ahead and we are well-positioned to capitalize on them.
Now, Steve Anderson will review anticipated questions and our specific answers to those questions.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Thank you, Dave. Can you update us on the mix of your business coming from esoteric testing? In the fourth quarter approximately 37% of our revenues were in the genomics, esoteric and anatomic pathology categories. Our goal over the next three years to fi",347,"Thank you, Dave. Can you update us on the mix of your business coming from esoteric testing? In the fourth quarter approximately 37% of our revenues were in the genomics, esoteric and anatomic pathology categories. Our goal over the next three years to five years is to increase our esoteric test mix to approximately 40% of revenue.
What are your plans for uses of free cash flow during 2010? We remain committed to returning value to our shareholders. First, by using our free cash flow to grow our business through strategic acquisitions and licensing agreements. And second, through continuing our approved share repurchase programs.
The acquisition market remains attractive with a number of opportunities to strengthen our scientific capabilities, grow our esoteric testing franchise and increase our presence in key geographic areas.
Historically, we have been a consistent buyer of our own shares. Since the beginning of 2006, the company has repurchased approximately $2 billion worth of its stock.
Can you remind us of how drugs of abuse volume trended during the year? In the quarter, our drugs of abuse volume declined 6.5% year-over-year. That compares to year-over-year decreases of 15% in Q3 of this year, 19% in Q2 of this year, 20.1% in Q1 of this year and 15.9% in the fourth quarter of 2008.
What is the status of your transition payments to United Healthcare? In the quarter, the company was billed $6.7 million in transition payments and paid $3.9 million in transition payments. To-date, LabCorp has been billed a total of $108.7 million and paid $102.8 million in transition payments to United Healthcare.
As a reminder, the end of the fourth quarter marked the end of our obligation to reimburse United Healthcare for transition payments outlined within the United Healthcare contract. We expect the final invoices for these payments to be processed over the next two quarters and we continue to expect the final amount to be in the range of $125 million. We will update you on these final payments going forward.
Now I’d like to turn the call back over to Dave.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Thank you, Steve. In summary, we are very proud of our performance in 2009 and are optimistic about our business in 2010 and beyond. Thank you very much for listening. We are now ready to take your questions.",38,"Thank you, Steve. In summary, we are very proud of our performance in 2009 and are optimistic about our business in 2010 and beyond. Thank you very much for listening. We are now ready to take your questions.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Operator","(Operator instructions). And our first question comes from the line of Kevin Ellich of RBC Capital.",16,"(Operator instructions). And our first question comes from the line of Kevin Ellich of RBC Capital.
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Analysts","Thanks, guys. Good morning. Thanks for taking the questions. Just a couple of questions on the competitive landscape. Dave, I was wondering if you could talk maybe about what you’re seeing in the market, especially with the Spectrum deal being done and",60,"Thanks, guys. Good morning. Thanks for taking the questions. Just a couple of questions on the competitive landscape. Dave, I was wondering if you could talk maybe about what you’re seeing in the market, especially with the Spectrum deal being done and also Sonic has been pretty active recently in the U.S. and what are your thoughts given your competition?
"
30643,85029720,49564,"Laboratory Corp. of America Holdings, Q4 2009 Earnings Call, Feb-11-2010",2010-02-11,"Earnings Calls","Labcorp Holdings Inc.","Executives","Good morning, Kevin. I think the competitive landscape, fundamentally, remains what it has been during my tenure, which is, this is a competitive business. Obviously, there are two larger laboratories, ourselves and Quest and then there are a large number",108,"Good morning, Kevin. I think the competitive landscape, fundamentally, remains what it has been during my tenure, which is, this is a competitive business. Obviously, there are two larger laboratories, ourselves and Quest and then there are a large number of smaller laboratories. Certainly, Sonic has been active on the acquisition front. The Spectrum transaction and then the Spectrum (inaudible) announcement indicate that this is an attractive business and people want to get into it and so we should expect a competitive landscape to continue pretty much the way it’s been and obviously, we continue to look for logical and appropriate acquisitions that will enhance our competitive position.
"
