"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Operator","Good morning, and thank you for joining Lincoln Financial Group's Fourth Quarter 2009 Earnings Conference Call. [Operator Instructions] At this time, I would like to turn the conference over to Vice President of Investor Relations, Mr. Jim Sjoreen. Please",42,"Good morning, and thank you for joining Lincoln Financial Group's Fourth Quarter 2009 Earnings Conference Call. [Operator Instructions] At this time, I would like to turn the conference over to Vice President of Investor Relations, Mr. Jim Sjoreen. Please go ahead, sir."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Executives","Thank you, operator. And good morning and welcome to Lincoln Financial's Fourth Quarter Earnings Call. Before we begin, I have an important reminder. Any comments made during the call regarding future expectations, trends and market conditions, including",220,"Thank you, operator. And good morning and welcome to Lincoln Financial's Fourth Quarter Earnings Call. Before we begin, I have an important reminder. Any comments made during the call regarding future expectations, trends and market conditions, including comments about liquidity and capital resources, premiums, deposits, expenses and income from operations are forward-looking statements under the Private Securities Litigation Reform Act of 1995. These forward-looking statements involve risks and uncertainties that could cause actual results to differ materially from current expectations. These risks and uncertainties are described in the cautionary statement disclosures in our earnings release issued yesterday and our reports on Forms 8-K, 10-Q and 10-K filed with the SEC. We appreciate your participation today and invite you to visit Lincoln’s website, www lincolnfinancial.com (sic) [www.lincolnfinancial.com], where you can find our press release and statistical supplement, which include a full reconciliation of the non-GAAP measures used in the call, including income from operations and return on equity to their most comparable GAAP measures. A general account supplement is again available on the website as well.Presenting on today's call are Dennis Glass, President and Chief Executive Officer; and Fred Crawford, Chief Financial Officer. After their prepared remarks, we will move to the question-and-answer portion of the call.  So with that, I would now like to turn the call over to Dennis."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Executives","Thanks, Jim, and good morning to all of you on the call. 2009 was an eventful and challenging year for our country and for our industry. For Lincoln, in terms of strategic focus and execution, it was certainly one of the most active years in our history.",1206,"Thanks, Jim, and good morning to all of you on the call. 2009 was an eventful and challenging year for our country and for our industry. For Lincoln, in terms of strategic focus and execution, it was certainly one of the most active years in our history. In the face of challenging markets, we completed a series of actions designed to place the company firmly on the path to performance and growth while preserving our financial flexibility and our franchise value. I never doubted the strength and resilience of our business model. But today, looking back on 2009 with a little perspective, it is worth noting just how well our operating businesses performed. Given the severity of the downturn, we had expected somewhat reduced production, but we found that the quality of our business model protected our market share in key lines and generated increasing levels of activity throughout the year.For the full year 2009, we reported total positive net flows of $7 billion and total gross deposits of nearly $20 billion, only modestly off 2008 levels. Our retirement asset balances reached $110 billion, up 27% from last year due to net flows and market lift, close to the record levels of 2007. Through the third quarter, we steadily increased market share for variable and fixed annuities and maintained our share of life industry sales.In spite of the noise and headwinds and due to the fact that we remained active in our markets with all of our products and services and proactively engaged in dialogue with our partners, we in fact grew our franchise in 2009.  At Lincoln Financial Distributors, we added or expanded relationships with 26 firms. We increased the number of active advisors recommending Lincoln solutions by 11% to more than 55,000. And we significantly increased the number of new producers recommending Lincoln solutions for the first time. At Lincoln Financial Network, we increased net new advisors by more than 300 to approximately 7,700 at year end, and an industry magazine recently ranked LFN [Lincoln Financial Network] as one of the largest independent broker/dealers in the country.Turning to our employee base, we added to the experience of our workforce by attracting talented individuals from inside and outside of the industry. We also benefited in 2009 from our commitment to a broad product portfolio designed to support different financial planning needs. And our distribution organizations proved to be nimble, keeping pace as consumers adjusted their preferences over the course of the year.  For example, in our Annuity business, we were able to take advantage of the shift from variable annuities to fixed solutions during the year and then tipped it back to variable solutions with our clients as the markets improved. Similarly, our Individual Life business benefited from the breadth of our solution set and, again, nimble distribution. Throughout 2009, we saw steady quarter-over-quarter increases in policies sold for both UL and term. And total policies sold in 2009 were 28% and 98% higher, respectively, over 2008.  In our Defined Contribution business, we saw an increase of more than 20% in both total net flows and ending balances.Group Protection had another very strong year across all measures and a strong fourth quarter. Total sales were up 14% over 2008 and fourth quarter sales were up 29% over the year-ago period. We are successfully taking advantage of the growing importance of voluntary sales in these relationships. 38% of sales came from voluntary business, an increase of seven percentage points over the year-ago period.The financial services landscape will continue to shift as our competitors change and our distribution partners settle into new structures and regulations. Our approach to distribution and reputation for distribution excellence at Lincoln Financial Distributors, Lincoln Financial Network and our worksite sales and service organizations will continue to be catalysts for market share gains, as consultants, advisors, employers and consumers seek out providers they trust. Given this backdrop, we continue to evolve our distribution strategies to maintain our competitive advantage. At LFD, one of the largest wholesale distribution organizations in the industry, our focus today is on driving productivity, which has already resulted in a 22% increase during the year.  Lincoln Financial Network is leveraging its model to attract seasoned advisors who want to affiliate with the company with national presence, a recognized brand and a commitment to support their independence while helping them grow deeper relationships with their clients. We also continue to build our worksite-based sales platform, primarily found in our Group Protection and Defined Contribution businesses, with the goal of expanding opportunities to help employers and employees understand how to make the most of company-sponsored retirement benefits and additional voluntary benefits.Now let me turn to financial strength. As you know, we achieved positive net income from operations in every line of business and every quarter of 2009. We ended the year with an estimated risk-based capital ratio of approximately 450%. And we have roughly $1 billion in cash at the holding company, net of cash set aside to repay a $250 million maturity in March.Product updates completed last year are adding to our long-term financial strength and profitability. We improved the risk/return profile for our income guarantee variable annuity products and also redesigned our secondary guarantee life product, which allows us to meet our ROE expectations on new business without a capital solution. Our need for additional capital over the past 18 months has been mostly related to asset impairment and downgrades and some maturing debt. We expect some level of investment losses in 2010. But absent any new market disruption, we expect those losses will be significantly lower than in 2009, benefiting from a well-diversified portfolio spread across a broad spectrum of issuers and asset types. In summary, we are on a strong financial footing.I expect a slow economic recovery in 2010. And as we've seen lately, it is likely that the capital markets will remain volatile for some time. Given these expectations, we will continue to manage expenses carefully and maintain a conservative approach to overall capitalization. We are balancing prudence, however, with targeted strategic investments to grow top line sales and further spur productivity, particularly in Defined Contribution and Group Protection, with technology upgrades and in new products for the voluntary market and an expanded distribution focus for Group Protection.  We're also increasing the visibility of our brand in the market, for example, by returning to network TV with the CBS SportsDesk. With respect to CPP [Capital Purchase Program], as I discussed at our annual investor conference in November, we expect to repay the funds in the second half of 2010 or first half of 2011 as market conditions dictate, again, without diluting earnings per share. And importantly, we have not to date seen any evidence that our participation in the program has adversely impacted our businesses in any meaningful way.As we move into 2010, everyone at Lincoln is focused on capitalizing on the tailwinds provided by today's landscape, including consumer demographics, the need for Americans to rebuild their portfolios and the expected higher tax environment and on executing our plans to grow our revenues and earnings.  Now let me turn the call over to Fred to discuss our fourth quarter and full year results in more detail."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Executives","Thank you, Dennis. We reported income from operations of $297 million or $0.90 per share for the fourth quarter. Our release points out notable earnings items impacting the business segments, but a few of the more meaningful items worth noting include the",1611,"Thank you, Dennis. We reported income from operations of $297 million or $0.90 per share for the fourth quarter. Our release points out notable earnings items impacting the business segments, but a few of the more meaningful items worth noting include the following: CPP preferred stock dividends and related accretion of the discount totaled $18 million in the quarter. This cost to our shareholders does not run through income from operations but does impact the calculation of earnings per share. We completed our review of the Individual Disability Income business taking back from Swiss Re earlier this year. The review resulted in a charge to operating earnings of about $33 million in the quarter. The loss was somewhat offset by the combination of favorable unlocking in our Annuity segment of $12 million and a favorable state income tax liability release of $13 million taken through other operations.We experienced a strong recovery in our alternative investment portfolio, contributing about $22 million to earnings. While returns can be volatile at times, we would expect normalized returns in the 5% to 10% range pretax on this $700 million portfolio as we move through 2010.We recorded net income of $102 million or $0.27 per share, impacted by net realized investment losses and an impairment taken on our media holdings. Continued weakness in our radio broadcasting properties resulted in impairment to goodwill and intangibles totaling $109 million in the quarter. Net losses on invested assets were $91 million after tax. Gross realized losses and impairments on general account invested assets were $212 million pretax. Concentrations include RMBS [residential mortgage-backed securities] totaling $52 million, impairment taken on the Royal Bank of Scotland and Lloyds hybrid securities totaling $60 million and commercial real estate equity of 49 million. While elevated from recent quarters, we view the banking impairment as isolated and took a prudent approach to marking down the value of our real estate equity exposures. As we focus on our overall Mortgage Lending business, core metrics remain strong, with only eight delinquencies on a very granular portfolio of 1,300 loans. This equating to a delinquency rate of roughly a half a percent. As a matter of practice, we have not been active in restructuring loans, which artificially lowers delinquency rates.Finally, our variable annuity hedge program performance had very little net impact on the quarter's results. Our strategic position on interest-rate coverage as we prepared for the adoption of VACARVM contributed to positive results in the period. This offset by refinements to our existing hybrid approach to estimating the liabilities on our income and lifetime benefits to a mix of FAS 133 and traditional SOP insurance reserving, which increased GAAP reserves.  Our VA hedge program finished the quarter with assets comfortably in excess of the actuarial liability. Annuity results benefited from unlocking, which contributed about $12 million to the quarter's results. Our DAC model uses a corridor process in estimating account values. Having reset our assumptions when the S&P was at roughly 900, the market recovery in the quarter produced a significant cushion against the negative DAC unlocking under stressed markets.  Results in this segment also benefited from positive tax items, contributing $7 million to earnings and favorable alternative investment results. Annuity earnings continue to benefit from increased average account values and improved trends in DAC amortization. Average account values in our Variable Annuity business increased approximately $5 billion in the quarter, driving expense assessment revenue up 10% sequentially. We ended the fourth quarter with total average annuity account values of $73 billion, an increase of roughly $16 billion over a year ago, and amazingly, only $3 billion short of our all-time highs reported in 2007.Turning to our Defined Contribution business, ending average account values were up about $1.8 billion sequentially, driving a 5% increase in overall expense assessment revenue. We ended the fourth quarter with total DC account values of $35  billion, up $1 billion over the third quarter's ending values . Net asset flows were negative in the quarter, but can be seasonal and lumpy when focused on a quarter. For the year, we recorded positive flows of $1 billion, up roughly 27% over the previous year.  We experienced margin compression on the fixed portion of our DC business, weighed down in part by a few unusual items impacting yields. While under pressure, we would expect some recovery heading into 2010. The changing mix of business also impacts earnings, with lower ROA and higher long-term ROE business becoming more prevalent in our sales mix. These items, together with current and planned infrastructure and product investments, will hold back on earnings growth rates throughout 2010. In our Life business, fundamentals remain stable. Average account values and in-force were up 2% and 1% respectively from the third quarter, returning to more normalized growth rates, annualized in the mid-single digit area. Our Life segment absorbs most of the results of our alternative investment portfolio, contributing about $7 million to the  period's results. A few comments on this segment with respect to 2010, it's important to factor into your forecast the impact of our $550 million term life financing and the cost of the long-term letter of credit. The cost of the LOC, together with investment shifting from reserves to surplus, will result in lowering our quarterly Life segment earnings by about $7 million, $4 million of which will simply shift to other operations where we house our unallocated capital. The transactions serve to contribute roughly $400 million to our statutory capital position.We're also working through converting our Life and Annuity valuation systems to a single platform. As part of this process, we review methodologies across various blocks of business. This is more important in our Life segment, given we run on two different systems dating back to the merger. Not unlike our annual prospective unlocking exercise, this may result in one-time gains or losses, adjustments we would expect to have little impact on net earnings trends in this segment. We should complete this work in the first half of the year.Turning to our Group business, another strong earnings performance, with favorable loss ratios coming in at roughly 69%. We experienced strong loss ratios in both our life and long-term visibility lines, with favorable mortality and solid overall fundamentals. Net earned premium increased 5% sequentially and up about 4% over last year's quarter. As we move into 2010, we would expect loss ratios at the low end of our range closer to 70% and a modest recovery in premium growth rates to the high-single digit area, recognizing we ended the year with strong production results.Turning to capital, there were a number of moving parts as we closed out the year, including our year-end reserve financing, the NAIC's new approach to rating RMBS, impairments and statutory earnings. As Dennis highlighted, we estimated our year-end RBC ratio will approach 450%. We successfully installed AG43 or the new variable annuity reserving guidelines. The adoption resulted in very little impact to our Life subsidiary capital ratios. However, we did make a capital contribution into our reinsurance captive of $250 million at year end. The contribution consisted of approximately $100 million in support of reserve credit taken by Lincoln Life and an additional $150 million in support of a captive's future capital needs.Overall, we believe the capital position of our insurance subsidiaries is very strong. Our insurance subsidiaries are positioned to absorb stressed economic conditions, fund core insurance new business growth. We are afforded both flexibility and patience, as we work on efficient life capital solutions, which include refinancing letters of credit over the next few years.Turning then to the holding company capital and liquidity position, we currently have approximately $1.3 billion in short-term investments after giving effect for the closing of Delaware Investments, a $300 million debt offering during the quarter and the $250 million capital contribution to our reinsurance captive. We ended the year with roughly $100 million of commercial paper outstanding. Looking forward, we have a debt maturity in March of $250 million, prefunded by the debt offering in the fourth quarter and set to be paid off with cash on hand. All told, we would expect to settle into roughly $1 billion in holding company capital liquidity as we proceed to the first quarter.Before closing, a few additional comments on expense trends as we enter 2010. When looking at our enterprise-wide expenses, we accomplished our savings goals for the year with only modest spring back to support better-than-expected strength in our core business model. We were as much playing good defense as offense, meaning we have seen some expenses naturally elevate during a year of financial market stress. The sale of the U.K. and Delaware results in a level of unabsorbed overhead. While we have worked to reduce the strain, we expect an EPS impact of roughly $0.05 for the year. Dennis highlighted various investments back into our business model. We expect these investments to impact earnings per share by roughly $0.10 for the year. We fully expect returns on these investments in the form of increased production, improved market share and efficiencies in time.So in closing, we end the year on a solid financial footing, having taken significant actions in the face of economic and market challenges and are now turning our attention to earnings growth and building risk-adjusted returns. We have seen most of our core earnings drivers return back to normal patterns, not fully recovered, but healthy when considering the significance of last year's events. We have important capital strategies yet to execute on, namely our approach to exiting CPP and structuring cost-effective life insurance capital solutions.  Now let me turn it back to Dennis for closing comments."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Executives","Thank you, Fred. In conclusion, Lincoln today is a stronger company, a tougher competitor and a smarter organization. We have the financial strength to support our growth. Our model is intact and stronger than ever. We are market leaders in products and s",99,"Thank you, Fred. In conclusion, Lincoln today is a stronger company, a tougher competitor and a smarter organization. We have the financial strength to support our growth. Our model is intact and stronger than ever. We are market leaders in products and services that consumers want and need, especially today. We are making targeted investments in critical growth businesses. And as our solid progress in the fourth quarter demonstrates, given decent external factors, we have the ability to continue to deliver strong results in 2010 and beyond.  Now let me turn the call over to the operator for questions."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Operator","[Operator Instructions] And we'll take our first question from Andrew Kligerman with UBS.",13,"[Operator Instructions] And we'll take our first question from Andrew Kligerman with UBS."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Analysts","Just regarding your capital position, so a 450% RBC ratio and yet you downstreamed some money to the insurance close in the quarter. Is there a chance that you can upstream any capital? And if so, how much? And then also with regard to capital, the media",77,"Just regarding your capital position, so a 450% RBC ratio and yet you downstreamed some money to the insurance close in the quarter. Is there a chance that you can upstream any capital? And if so, how much? And then also with regard to capital, the media companies where you took a write down this quarter of $109 million, how much goodwill remains associated with those operations? And what's the likelihood of a sale of that business?"
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Executives","Andrew, it's Fred. In terms of the 450% RBC, to give some boundaries around that, that's, rough justice, around $6.7 billion to $6.8 billion of capital above $1.5 billion of RBC. And that's how you get to that number, just to provide that information. In",533,"Andrew, it's Fred. In terms of the 450% RBC, to give some boundaries around that, that's, rough justice, around $6.7 billion to $6.8 billion of capital above $1.5 billion of RBC. And that's how you get to that number, just to provide that information. In terms of the upstreaming of capital, we are just now settling into this RBC having a number of moving parts at year end and assessing overall capital conditions as we speak. A couple of things I would point out, and that is while we do have a significant capital margin, roughly $1.5 billion above a 350% RBC, for example, we do think it's important to maintain a level of margin related to turbulence or economic conditions in the marketplace if they were to become choppy again. It's also important to maintain a level of excess capital to support the business growth that we've been experiencing across the company and that we expect to continue. And then obviously, we want to be cautious about our ability to execute on and our ability to be patient in putting in place longer-term solutions for capital solutions on our Life business. All of those reasons suggest to me and suggest to us as a company that we need to retain a level of excess capital down the life company as a precautionary measure. Now as these things start to unfold and become more sure-footed, this can truly turn into a level of excess capital that could be better utilized for greater returns and investment back into our business. But at the moment, we're going to be cautious as we move through the early part of this year. On the media, a couple of dynamics of the media, as you recall, we had contributed the media asset down into the life company back a few quarters ago. The impairment itself resulted in about a six-or-so-point impact to RBC and is fully reflected in the 450% estimate. In looking at that business, we have a carrying value of roughly $180 million. And I believe that's split in general between goodwill and intangibles, rough justice. But both intangibles and goodwill will tend to be reviewed for markdown when you're looking at the value of those properties. And so the write down we took this quarter, for example, was a mix of write down on both goodwill as well as the intangible aspect of the business. That marketplace has gone through substantial turmoil. Literally, a handful of the largest players in the industry have. In one case, a player has actually announced bankruptcy. A couple other players are in the midst of having to renegotiate bank covenants having been over-levered and seeing a tremendous fall off in cash flow. So you really have an upside-down industry right now among most of the players. And that's weighing down on valuations. And for us, it suggests being patient in continuing to monitor and manage the properties. These are good properties that performed well in their given markets. We like how they're positioned. But we think it's an awfully-difficult time to be considering monetizing those investments. And instead, we intend to continue to support them for the time being."
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Analysts","And then, any chance you could give a little color on the DC market with net outflows of $62 million? I know you mentioned that there can be some lumpiness in those numbers, Fred. But I mean, what's going on there? I mean, is the economy really hurting it",63,"And then, any chance you could give a little color on the DC market with net outflows of $62 million? I know you mentioned that there can be some lumpiness in those numbers, Fred. But I mean, what's going on there? I mean, is the economy really hurting it? What are you looking at into '10? I mean, could that negative flow continue?"
867423,83340005,49202,"Lincoln National Corp., Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","Lincoln National Corporation","Executives","Andrew, it's Dennis. Was that the DC business?",8,"Andrew, it's Dennis. Was that the DC business?"
