"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Operator","Good morning, ladies and gentlemen and welcome to the Lorillard fourth quarter and full year 2009 earnings conference call. My name is Carissa and I will be your coordinator for today.At this time all participants are in listen-only mode. We’ll be fac",71,"Good morning, ladies and gentlemen and welcome to the Lorillard fourth quarter and full year 2009 earnings conference call. My name is Carissa and I will be your coordinator for today.
At this time all participants are in listen-only mode. We’ll be facilitating a question-and-answer session towards the end of today’s conference. (Operator instructions) I would now like to turn the call over to David Taylor from Lorillard. Please go ahead.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Executives","Thank you operator and good morning everyone. I am David Taylor, Lorillard‘s Chief Financial Officer and joining me on today’s call is Marty Orlowsky, Chairman, President and Chief Executive Officer. By now you should have received a copy of our fourt",124,"Thank you operator and good morning everyone. I am David Taylor, Lorillard‘s Chief Financial Officer and joining me on today’s call is Marty Orlowsky, Chairman, President and Chief Executive Officer. By now you should have received a copy of our fourth quarter 2009 earnings release. It can be found on the company’s Web site, www.lorillard.com under News Releases.
Before we begin, I would like to remind you some of the comments on today’s call and some of the responses to your questions may contain forward-looking statements. These statements are subject to the risks and uncertainties as described in the company’s earnings release and in other filings with the SEC.
I would now like to turn the call over to Marty Orlowsky. Please go ahead.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Executives","Thanks David. Good morning everyone. Lorillard’s financial and marketplace results achieved in 2009 were very positive in our opinion given the unprecedented increase in the federal excise tax on cigarettes that occurred in April of 2009. As a result of",831,"Thanks David. Good morning everyone. Lorillard’s financial and marketplace results achieved in 2009 were very positive in our opinion given the unprecedented increase in the federal excise tax on cigarettes that occurred in April of 2009. As a result of this increase, as well as the state excise tax increases, we believe that consumption patterns were disrupted and that a degree of down trading occurred affecting the premium price brand segment.
On an overall basis, this is evident in the decline of the industry’s domestic wholesale shipments during 2009 versus 2008 of 8.6% as well as a shift of approximately just over 200 basis points of these shipments from premium brands to price-discounted brands. Despite the challenges that faced the industry and our company, Lorillard’s operating income gain of 8.9% in 2009 over 2008 reflects the strength of the company’s brand portfolio (inaudible) Newport’s leading menthol brand retail share position and average profitable unit volume gains in the discount segment.
Newport achieved a 10.28% retail share of the domestic market; a gain of 0.36 points in 2009 versus 2008 and Maverick gained almost 0.5 share point resulting in a 1.14% share of the retail market for 2009. These results reflect a consistency of Lorillard’s longstanding strategic objective of balancing profitability and Newport’s market share growth. We will continue to follow this path as we move into 2010, and we will also continue to monitor our performance variable, and the industry and brand trends to ensure we are in a position to make adjustments to our promotional plans as may be appropriate. Although industry wholesale shipments were off 8.6% and there was one last shipping day in 2009 versus 2008 on an adjusted basis that was 8.2% versus 2008. Lorillard outperformed its major competitors with a decline of 3.9% unadjusted or 3.5% at the wholesale level adjusted for the same period.
Newport’s wholesale shipments were down 6.6% on an adjusted basis and 6.9% unadjusted in 2009 versus 2008. According to our proprietary retail database, Newport achieved a 35% share of the menthol segment, which reflected an increase of 0.5 segment share point in 2009 versus 2008. This performance was due solely to organic growth of the brand i.e. without line extensions or steps of promotional support. I would also like to announce today that Lorillard will be entering into the moist smokeless tobacco market in the not-too-distant future. And we look forward to further extending our participation in that growing segment of the tobacco category.
Lastly, I would like to briefly comment on an issue that is on the minds of many investors these days and that is the FDA’s regulatory authority and its upcoming review of the use of menthol in cigarettes. As you know, the FDA will empower a Scientific Advisory Committee to review the signs relating to the health effects of menthol as a flavoring in cigarettes. The panel is likely to be named shortly and we expect that its first meeting may be somewhere in the March timeframe of this year. As we said before, we believe that the weight of the scientific evidence does not support a conclusion that menthol cigarettes confer greater health risks than non-menthol cigarettes. We also believe that the Scientific Advisory Committee will indeed form its conclusion and recommendations based on scientific evidence before it. We therefore continue to believe that the Scientific Advisory Committee will not make a recommendation to the FDA that it banned menthol.
Furthermore under the Family Smoking Prevention and Tobacco Control Act, the FDA must take into account other information in connection with its decision on whether or how to regulate all cigarettes, regular or menthol, including specifically weather event or other limitations would lead to, and I quote “the creation of a significant demand for contraband or other tobacco products that do not meet the standard set by the FDA for tobacco products. We believe that a ban on menthol would indeed lead to a massive black market for contraband mentholated cigarettes and encourage the entry of totally unregulated products into the marketplace that would not meet even the basic standards for product integrity and quality.
There has been much speculation in the hypothesis offered for who may comprise the membership of the committee, or on how the committee process will unfold, or on what evidence they will reach a conclusion, or what that conclusion might be, and what the FDA will eventually do in response to the committee’s recommendation whatever that might be. Of course all of this speculation is based almost entirely on conjecture. So we must avoid jumping to conclusions and use speculation with an appropriate attitude. We expect that the process will proceed with the appropriate respect for the science and an appropriate assessment of all other public policies issues involved. Nothing we have seen or heard has changed or believed that a ban on menthol products is highly unlikely.
And now I am going to turn the proceedings back to David Taylor.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Executives","Thanks Marty and good morning again. I will spend a few minutes reviewing the numbers and then we will open the line for questions.Net sales for the fourth quarter of 2009 were $1.378 billion compared to $1.088 billion in fourth quarter of 2008. Excludi",898,"Thanks Marty and good morning again. I will spend a few minutes reviewing the numbers and then we will open the line for questions.
Net sales for the fourth quarter of 2009 were $1.378 billion compared to $1.088 billion in fourth quarter of 2008. Excluding excise taxes, net sales increased $20 million or 2.2% from $912 million to $932 million. There are a number of factors that play impacting net sales for the quarter. Higher net average selling prices were positive but were largely offset by total unit volume and a less favorable product mix along with the impact of higher sales promotional cost, which are accounted for as a reduction in net sales.
The impact of Maverick's significant growth combined with Newport’s unit volume decline has resulted in a less favorable and profitable mix in 2009 than in 2008. This growth in the price/value brand as a percentage of our total will tend to dampen the net revenues per pack if one were to calculate that in simple arithmetic. Maverick units accounted for over 10% of our total unit volume compared to roughly 7.25% last year. For all of 2009, net sales were $5.233 billion compared to $4.204 billion for 2008. Excluding excise taxes the net increase in sales in 2009 amounted to $194 million or 5.6%.
Gross profit in the fourth quarter 2009 declined by $12 million to $481 million or 51.6% of sales excluding excise taxes from $493 million or 54.1% of sales excluding excise taxes in the fourth quarter of 2008. While the 51.6% gross margin is lower than our 2008 fourth quarter, it is in line with and approximate our 2009 annual gross margin rates of 51.7%. Gross profit per unit shipped in the fourth quarter of 2009 is up 1.7% from last year’s fourth quarter as the impact of price increases was largely offset by the impact in the mix shift I mentioned a minute ago, the higher promotional spending, and the increases in our manufacturing and settlement costs.
As we reported in prior quarters, cost of goods sold in 2009 has been impacted by higher raw material costs, higher pension costs, the new added DAVs [ph] and the impact of the excise tax on our LIFO inventory valuations. Our wrapping costs were also up in 2009 as we moved more production towards cigarettes that comply with the lower ignition propensity standards. And now 100% of our production is compliant with these standards. Amounts due under the State Settlement Agreements increased $17 million compared to last year’s fourth quarter as a result of the inflation factors in those agreements and the increase in our market share. The impact of the lower industry unit volume did not fully offset these things.
I should point out that although wholesale inventory fluctuations did not play a significant role in comparing our fourth quarter volumes, the significant disruption we saw in the first two quarters of 2009 as a result of last April’s federal excise taxes increases will impact our quarterly volume comparisons in the first half of 2010.
Selling, general and administrative costs increased $4 million to $83 million in fourth quarter of 2009 compared to the fourth quarter of 2008. This increase is primarily the result of higher legal and pension costs in 2009 compared to 2008. As in prior quarters, we continued to incur higher defense costs for the Engle progeny cases underway in Florida among other things.
Operating income declined 3.9% to $398 million from 42.7% of sales excluding taxes in the fourth quarter of 2009 from $414 million or 45.4% of net sales excluding excise taxes in the fourth quarter of last year. Operating income per unit shipped remained roughly flat with last year’s fourth quarter. Interest expense fell $9 million in fourth quarter of 2009 and reflects the interest expense on our $750 million senior notes issued net of the effect of the interest rate swap we entered into in the third quarter. Our effective income tax rate in the fourth quarter of 2009 was 37.9%, the same as in 2008, but up slightly from the third quarter and the annual effective rate due to certain state tax expenses.
Net income for the fourth quarter of 2009 was $242 million or $1.52 per share compared to $258 million or $1.53 per share in the fourth quarter of 2008. Now, for the year ended December of 2009, net sales excluding excise taxes increased 5.6% from roughly $3.7 billion in 2009 from roughly $3.5 billion in 2008. Operating income increased 8.9% to $1.541 billion from $1.415 billion last year. Earnings per share were up 11.8% in 2009 to $5.76 a share compared to $5.15 last year. The $0.61 per share improvement in EPS in 2009 includes positive impact of the lower average share count and the impact of lower average share count is $0.25 a share.
The $750 million share repurchase program that the company announced last summer has now been completed. Under that program as of January 19, the company repurchased an aggregate of 9.8 million shares at an average purchase price of $76.80 per share for the total of $750 million. So cumulatively from the data separation, the separation from Lowe’s, we have repurchased 19.3 million shares for approximately 11.1% of the additional issue.
With that, I would like to open the line for questions. Operator, you can help us.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Operator","Thank you. (Operator instructions) Your first question comes from the line of Judy Hong of Goldman Sachs. Please proceed.",19,"Thank you. (Operator instructions) Your first question comes from the line of Judy Hong of Goldman Sachs. Please proceed.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Analysts","Thanks, good morning everyone.",4,"Thanks, good morning everyone.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Executives","Hi Judy.",2,"Hi Judy.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Analysts","Marty, just your comment about your decision to enter the MST category in the near term, can you just elaborate on that comment? Will you be looking at using the Newport trademark, is it sort of an extension of your JV that you have with Swedish Match, an",73,"Marty, just your comment about your decision to enter the MST category in the near term, can you just elaborate on that comment? Will you be looking at using the Newport trademark, is it sort of an extension of your JV that you have with Swedish Match, and is this any indication that maybe you think gaining share in cigarettes is just getting tougher and that you need to enter into this category?
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Executives","First of all, I am not going to make any specific comments about our plans with respect to the marketing of moist smokeless tobacco products at this point. So I am going to defer on that one. Secondly, it is not a statement of any kind other than an oppor",212,"First of all, I am not going to make any specific comments about our plans with respect to the marketing of moist smokeless tobacco products at this point. So I am going to defer on that one. Secondly, it is not a statement of any kind other than an opportunistic perspective that we have applied to the world at large and we have decided that we believe there is an opportunity to enter moist smokeless and add to our portfolio, and add to our profitability over time. It is not any sort of stated or unstated statement or implicit to what we are saying here. It is not a statement of lack of confidence in cigarette business or a renewed view of the cigarette business. We still believe very strongly the cigarette business regardless of its declining state has long ways to go especially as it relates to Lorillard of generating profitability immunity and the longer term objectives that we have. So it is not any sort of hidden statement (inaudible) not involve Swedish Match thought at all and so it will not be part of that venture and in fact our joint venture with Swedish Match was mutually agreed to be terminated at the end of 2009 in the Snus business.
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Analysts","Okay. And then Marty, just as you look at the cigarette industry and clearly in 2009, you saw the consumer down trading to the discount segment, I am just hoping to get your perspective on how much of that down trading is really the economy and the price",113,"Okay. And then Marty, just as you look at the cigarette industry and clearly in 2009, you saw the consumer down trading to the discount segment, I am just hoping to get your perspective on how much of that down trading is really the economy and the price list [ph] location versus sort of a secular maybe a change in how the consumers are behaving in the cigarette industry at this point. In other words, if you assume that the economy normalizes and all of the price list locations from the FET driven price increases are lapped, do you think that the premium segment will grow again or at least stabilize going forward?
"
4180255,84983848,48934,"Lorillard, Inc., Q4 2009 Earnings Call, Feb-08-2010",2010-02-08,"Earnings Calls","Lorillard, LLC","Executives","I clearly think that obviously the result during the last six months of 2009 for the industry as well as for ourselves was clearly driven by what I call the (inaudible) as I said earlier an unprecedented increase in the federal excise taxes on cigarettes",221,"I clearly think that obviously the result during the last six months of 2009 for the industry as well as for ourselves was clearly driven by what I call the (inaudible) as I said earlier an unprecedented increase in the federal excise taxes on cigarettes as well as state excise taxes. And so obviously it is a combination of that rather substantial price increase that occurred as a byproduct of the taxes as well as the general nature of the economy. It was through a double landing, if you will, in a relatively short period of time. I do believe longer term, I hope actually and believe, that there should be a degree of stabilization that might occur. So I think a lot of the down trading is a byproduct of the combination of economic factors as well as pricing shift. Even though we all recognize that the gap between high and low price brands actually narrowed on a percentage basis, I think that clearly we are now looking and have witnessed a degree of the so called flicker shot [ph] factor. I hope so that even though the GAAP is not - the GAAP was pretty important for many years, it still is important, I would not minimize it but I think that your (inaudible) that occurred earlier last year.
"
