"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Operator","Good day, and welcome, ladies and gentlemen to the Moody's Corp. Fourth Quarter and Fiscal Year-End 2009 Earnings Conference Call. [Operator Instructions] I will now turn the conference over to Liz Zale, Vice President, Investor Relations. Please go, ahea",39,"Good day, and welcome, ladies and gentlemen to the Moody's Corp. Fourth Quarter and Fiscal Year-End 2009 Earnings Conference Call. [Operator Instructions] I will now turn the conference over to Liz Zale, Vice President, Investor Relations. Please go, ahead."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","Thank you, Audra. Good morning, everyone and thanks for joining us on this teleconference to discuss Moody's results for 2009. I'm Liz Zale, Vice President of Investor Relations. Moody's released its results for the fourth quarter and full year of 2009 th",252,"Thank you, Audra. Good morning, everyone and thanks for joining us on this teleconference to discuss Moody's results for 2009. I'm Liz Zale, Vice President of Investor Relations. Moody's released its results for the fourth quarter and full year of 2009 this morning. The earnings release and a presentation to accompany this teleconference are both available on our website at ir.moodys.com. Ray McDaniel, Chairman and Chief Executive Officer of Moody's Corp. will lead this morning's conference call. Also making prepared remarks on the call this morning is Linda Huber, Chief Financial Officer of Moody's Corp. Before we begin, I call your attention to the Safe Harbor language, which can be found toward the end of our earnings release. Today's remarks may contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. In accordance with the Act, I also direct your attention to the Management's Discussion and Analysis section of and the Risk Factors discussed in our annual report on Form 10-K for the year ended December 31, 2009, and in other SEC filings made by the company, which are available on our website and on the Securities and Exchange Commission's website These, together with the Safe Harbor statement set forth important factors that could cause actual results to differ materially from those contained in any such forward-looking statements. I should point out that members of the media may be on the call this morning in a listen-only mode. I'll now turn the call over to Ray McDaniel."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","Thanks, Liz. Good morning, and thank you, everyone for joining today's call. I'll begin with a brief summary of Moody's fourth quarter and full year 2009 results. Linda will follow with additional financial detail and operating highlights, and I'll then s",356,"Thanks, Liz. Good morning, and thank you, everyone for joining today's call. I'll begin with a brief summary of Moody's fourth quarter and full year 2009 results. Linda will follow with additional financial detail and operating highlights, and I'll then speak to recent developments in the regulatory and legislative areas and provide Moody's outlook for 2010. After our prepared remarks, we'd be happy to respond to your questions.Fourth quarter revenue of $486 million increased 20% over the prior year, reflecting meaningful improvement in credit market activity compared to the conditions experienced globally at the end of 2008. Excluding the favorable impact from currency translation, revenue grew by 17%. Operating income for the fourth quarter was $179 million, 43% higher than the same period last year. Without the favorable impact of foreign currency translation, operating income increased 39%.Diluted earnings per share of $0.43 from the fourth quarter of 2009 included a benefit of $0.01 related to previously announced restructuring activities. Excluding the restructuring in both periods, diluted earnings per share of $0.42 for the quarter increased 14% from $0.37 in the prior-year period.Regarding full year results, Moody's full year results reflected a gradual improvement in credit markets throughout 2009. Strength in corporate debt issuance and growth from Moody's Analytics provided a slight increase in total revenue from the prior year but activity remained limited in other areas.Revenue for 2009 was approximately $1.8 billion, an increase of 2% from full year 2008. Operating income of $688 million declined 8% from a year ago. Excluding the unfavorable impact of foreign currency translation, revenue grew 4% from the prior year period. While the impact of foreign currency translation on operating income was negligible.Diluted earnings per share of $1.69 for 2009 declined 10% and included a net charge of $0.01, reflecting costs related to previously announced restructuring plans, partially offset by a benefit from certain legacy tax matters. Excluding these items in both years, diluted earnings per share of $1.70 for the full year 2009 decreased 7% from $1.82 in 2008.At this point, I'll turn the call over to Linda to provide further details on our financial performance and other updates."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","Thanks, Ray. I'll begin with revenue for the fourth quarter. Global revenue from Moody's Corp. increased by 20%. U.S. revenue grew 25% year-over-year to $245 million. While revenue generated outside the U.S. rose by 16% to $241 million and represented 50%",976,"Thanks, Ray. I'll begin with revenue for the fourth quarter. Global revenue from Moody's Corp. increased by 20%. U.S. revenue grew 25% year-over-year to $245 million. While revenue generated outside the U.S. rose by 16% to $241 million and represented 50% of Moody's total revenue. Recurring revenue of $290 million was up 2% from the fourth quarter of last year and represented 60% of total revenue.Looking at each of our businesses. First, Moody's Investors Service revenue for the quarter was $332 million, 31% above the prior-year period. Excluding the favorable impact of foreign currency translation, revenue grew 26%. U.S. ratings revenue rose by 42% compared to growth of 19% outside the U.S. Revenue from outside the U.S. represented 46% of total ratings revenue. Global Corporate Finance revenue of $115 million in the fourth quarter nearly doubled from a year ago, primarily driven by activity in the high-yield bond market. Revenue increased 106% year-over-year in the U.S. and 90% outside the U.S.Global Structured Finance revenue for the fourth quarter was $79 million, down 14% from a year earlier. Within the U.S., Structured Finance revenue increased 5% from the year-ago period, reflecting increased issuance of the asset-backed securities and real estate investment trust funds. Non-U.S. Structured Finance revenue decreased 25%, driven by revenue declines across all asset classes as improved credit market conditions flowed the use of securitization for Central Bank supported programs.Global Financial Institutions revenue of $72 million increased by 27% from the fourth quarter of 2008, due to gains from the banking sector. Revenue rose by 18% in the U.S., and 35% outside the U.S. Global revenue for Public, Project and Infrastructure Finance grew 36% to $66 million year-over-year. The increase of 36% in U.S. revenue was primarily driven by public finance issuance related to stimulus programs, such as Build America Bonds. Outside the U.S., revenue increased 35% with strong issuance in European Infrastructure Finance.Turning now to Moody's Analytics. Global revenue of $154 million increased 3% from the fourth quarter of 2008 with negligible impact from foreign currency translation. Beginning with the fourth quarter reporting period, we slightly modified the reporting revenue categories for Moody's Analytics revenue to better reflect our major product groupings. For the Research, Data and Analytics business, which represents most of the products previously reported in the subscription category, revenue of $106 million declined by 1% from the prior-year period. In the Risk Management Software category, which includes software licenses, maintenance fees and associated services, revenue of $42 million was 21% higher than in the fourth quarter of 2008. And in the Professional Services category, which captures revenue from our training, services and other customer specific project work, revenue of $6 million was down 26%.For Moody's Analytics, U.S. revenue declined 5% to $66 million, reflecting the effect of customer attrition due to financial market disruption in late 2008 and early 2009. Outside the U.S., revenue increased 10% over the prior-year period to $88 million, primarily attributable to growth in the Risk Management Software business and represented 57% of total Analytics revenue.Turning now to expenses. Moody's fourth quarter operating expenses, $307 million increased 10% over the prior-year period. Excluding the impact of foreign currency translation, reported expenses grew by 8%. The increase was primarily driven by higher accrual for performance-based compensation, and also reflected continuing investment across all areas of the business, including technology, infrastructure and investor outreach. Moody's reported operating margin for the quarter was 36.8%. Excluding the restructuring adjustment in the current period, expenses were 11% higher than the prior-year period and operating margin was 36.6% compared to 31.1% in the fourth quarter of 2008.Our effective tax rate for the quarter was 38.3% compared with a somewhat unusual 28.6% in the fourth quarter of 2008. The increase was primarily due to a favorable true-up of the full year 2008 tax accrual in the fourth quarter of 2008. In addition, the 2008 effective tax rate included realization of U.S. manufacturing and research credits and deductions.I'd like to turn now to an update on capital allocation and stock buybacks. Moody's remains committed to using our strong cash flow to create value for shareholders by investing in growing areas of our business, reinvesting in ratings quality initiative, making selective acquisitions in related businesses, repurchasing our stock and paying a quarterly dividend. We intend to uphold our commitment to returning capital to shareholders in a manner that is consistent with maintaining sufficient liquidity. On December 15 of last year, we announced 5% increase our quarterly dividend. And in 2010, we expect to resume share repurchases at modest levels subject to available cash flow and other ongoing capital allocation decisions.During the fourth quarter of 2009, Moody's did not repurchase shares and issued approximately 400,000 shares under employee stock-based compensation plans. Outstanding shares as of December 31, 2009, totaled 237 million, representing a 1% year-over-year increase. As of December 31, 2009, Moody's had $1.4 billion of share repurchase authority remaining under its current program.Now for some details on the balance sheet. Moody's had $1.2 billion of outstanding debt at year end. With approximately $550 million of additional capacity available under our revolving credit facility. We reduced total outstanding debt by $87 million during the fourth quarter and $274 million for the full year of 2009. We expect to continue to repay short-term debt during 2010. As of December 31, 2009, our net debt position or total debt minus cash and cash equivalents was $720 million, a decrease of 41% from year-end 2008.The last update I'd like to provide is on CapEx. For the full year of 2009, our total capital expenditures were $91 million and included the fit-out of our Canary Wharf location in London to which we relocated in the fourth quarter. We expect to continue to strategically invest in facilities to support business needs. And with that, I'll turn the call back over to Ray."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","Thanks, Linda. I'll start now with a brief update on legislative and regulatory developments. We continue to communicate with oversight authorities at national, regional and global levels, and expect increased levels of regulatory activity over the near t",1169,"Thanks, Linda. I'll start now with a brief update on legislative and regulatory developments. We continue to communicate with oversight authorities at national, regional and global levels, and expect increased levels of regulatory activity over the near term. In the U.S., as discussed previously, in June 2009, the administration presented a blueprint for financial systems reform. In December, the U.S. House of Representatives passed its version of the Reform Bill, which contains a section on enhancing the oversight of Nationally Recognized Statistical Rating Organizations, or NRSROs. The proposal include measures to increase accountability and transparency, strengthen the management and disclosure of conflicts of interest and further empower the SEC's oversight of NRSROs.The Senate has begun work on its version of the Reform Bill, which also includes the discussion draft on enhancing the oversight of credit rating agencies. The discussion draft is broadly consistent with the administration's blueprint. However, whereas the administration intentionally did not address the liability position of credit rating agencies as presently constructed, the discussion draft could increase the industry's exposure.We are currently discussing with congressional staff the provisions potential negative impact, not only for the rating agency industry, but also for the broader U.S. bond market. As the Reform Bill progresses through the banking committee, which is the committee of jurisdiction and ultimately to the full Senate, it will be subject to debate and change. If passed by the full Senate, the Reform Bill maybe further debated as the House and Senate work to address inconsistency.On the regulatory front, the SEC is considering feedback on several initiatives it published for comment in the third quarter of 2009. These include a proposed rule that would require all issuers making registered offering to disclose ratings that they use in connection with the offering, and a concept release on identifying credit rating agencies whose ratings are disclosed in registered offerings as experts under the law. If the concept release ultimately were to be enacted into an SEC rule, the credit rating agency has the consent to have their ratings use in U.S. registered offering would have additional liability associated with that consent. This idea is still in the concept release form and the SEC generally take to delivered of approach to issues presented in concept releases, it's too early to assess the likely outcome. The SEC is also considering comment on its proposals to strengthen the NRSRO compliance function and to require further disclosures about potential conflicts of interest. In addition, the SEC adopted a rule which comes into effect in June 2010, which will require structured finance issuers to make available to all interested NRSROs the data provided to the NRSRO that they have hired to assign a rating.In Europe, as noted on previous calls, EU has passed a new regulatory regime for the credit rating agency industry, which we expect will be fully in effect by the second half of 2010. We're currently in the process of implementing the regulation and in doing so, we continue to interact with national and regional authorities as well as issuers and investors. Our best estimate of the implementation cost is incorporated into our 2010 guidance.We remain focused on playing a constructive part in the discussions of these issues with Congress, the SEC and other regulatory and legislative authorities and market participants. We will continue to advocate for globally consistent approaches that recognize the global nature of our ratings and that align with the G-20's direction and framework. I'll conclude this morning's prepared remarks by discussing our full year guidance. Moody's outlook for 2010 is based on assumptions about many macroeconomic and capital market factors, including interest rates, corporate profitability and business investment spending, merger and acquisition activities, consumer borrowing and securitizations and the eventual withdrawal of government-sponsored economic stabilization initiatives. There's an important degree of uncertainty surrounding these assumptions and the factual conditions differ. Moody's results for the year may differ materially from our current outlook. Our projections assume foreign currency translation at the end of year 2009 rates.We anticipate continuing recovery for 2010, but also expect market conditions to remain challenging until economic improvement across the key markets is sustained. With this outlook, we are projecting a stronger revenue increase and a return to earnings growth for 2010, with ongoing expense management to support business initiatives and regulatory and compliance efforts. For Moody's overall, the company expects full year 2010 revenue to increase in the high single digit percent range. Recurring revenue from both of our business segments will continue to provide a stable base. Expenses for full year 2010 are also expected to grow in the high single digit percent range, with modest upward progression through the year. Of the anticipated 2010 expense increase, about half is related to headcount additions to support strategic initiatives. Approximately, another $15 million of the increase is for incremental compliance, including personnel and compliance-related technology costs.The remainder is due to an unfavorable foreign exchange impact versus 2009 average rates and the restoration of budgeted bonus expense to targets. We expect that our operating margin will remain in the high 30s percent range and our effective tax rate will be in the range of 37% to 38%. We expect diluted earnings per share for full year 2010 to be in the range of $1.75 to $1.85.Our other costs [ph] will assume $70 million to $90 million capital expenditures to continue reporting investments in our technology infrastructure and address compliance requirements and to support facilities needed globally, as Linda mentioned. For the global Moody's Investor Service business, we expect revenue for the full year of 2010 to increase in the high single to low double digit percent range. We anticipate growth in the mid-teens percent range in the U.S. and mid-single digit percent range outside the U.S.Corporate Finance revenue is projected to grow in the high teens percent range as we expect strength from speculative grade issuance to offset a moderation of investment grade issuance from the high volume of 2009. Structured Finance revenue is forecast to grow in the mid-single digit percent, reflecting modest growth in most asset classes. We anticipate low single digit percent range growth in Financial Institution revenue, and low double digit percent range growth in Public, Project and Infrastructure Finance revenue. For Moody's Analytics, we project full year 2010 revenue growth in the mid-single digit percent range, driven by organic growth. We expect revenue growth in the low single digit percent range for Research, Data and Analytics, and increase in the mid-teens percent range for Risk Management Software, and growth in the high single digits to low double digit percent range for Professional Services. We expect Moody's Analytic revenue to increase at a low single digit percent rate in the U.S., and at a mid-single digit percent rate outside the U.S.That concludes our prepared remarks and joining us for the question-and-answer session are Michele Madeleine, our Chief Operating Officer for Moody's Investor Service; and Mark Almeida, President of Moody's Analytics. We're pleased to take any questions you may have."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Operator","[Operator Instructions] We'll go first to Michael Meltz of JPMorgan.",10,"[Operator Instructions] We'll go first to Michael Meltz of JPMorgan."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Analysts","On the expense -- I guess a question on expenses in the quarter, they were up, I guess $30 million year-over-year. What was the ForEx impact in there, what was incentive compensation up year-over-year. And then Ray, just if you can speak further about you",115,"On the expense -- I guess a question on expenses in the quarter, they were up, I guess $30 million year-over-year. What was the ForEx impact in there, what was incentive compensation up year-over-year. And then Ray, just if you can speak further about your guidance for 2010, I kind of find it hard to believe that if revenues and expenses would trend up the same rate and you wouldn't be able to drive margin, if you grow revenues 9%. If I back into what you're saying on headcount, where are you -- for what roles are you hiring people, it seems like you're saying there could be a couple of hundred people at it?"
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","Michael, it's Linda. I'll take a shot at Q4 expenses first, and we're digging a bit here to find the FX impact for the fourth quarter. You're right, operating expenses were up about $28.7 million [ph] for the fourth quarter. But keep in mind that was comi",145,"Michael, it's Linda. I'll take a shot at Q4 expenses first, and we're digging a bit here to find the FX impact for the fourth quarter. You're right, operating expenses were up about $28.7 million [ph] for the fourth quarter. But keep in mind that was coming off an extremely weak fourth quarter of 2008. The weakest quarter we've had in quite a while. The change is due to $4.2 million increase in salaries, $15.6 million in bonus and incentive compensation and $6.9 million in benefits and tax. That comes to $26.7 million of that increase. We've had some offsets as well and we also had some increases in the technology spending. So that would be the majority of what happened in the fourth quarter. But again, it's more of a return to normalcy as compared to a pretty anemic fourth quarter of last year."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","With respect to the guidance, Michael, yes, we are seeing the bulk of our incremental expense associated with hiring and compensation in addition to a little bit of catch up on the restoration of bonuses back to target for 2010. The hiring is going to be",160,"With respect to the guidance, Michael, yes, we are seeing the bulk of our incremental expense associated with hiring and compensation in addition to a little bit of catch up on the restoration of bonuses back to target for 2010. The hiring is going to be fairly broad based. Moody's Analytics will be hiring, in particular, as part of the continued buildout of our Management Software business. We also as we are increasingly selling to more mid-size institutions in the Moody's Analytics business, we are going to be adding to our sales force in order to do that. In Moody's Investor Service, we have additional surveillance personnel that we are bringing on board, additional credit policy personnel because some of the compliance costs that we will have are associated with the Moody's Investor Service Analytical staff that we'll have to be available to meet regulatory expectations. So it's fairly broadly spread as opposed to being in any one particular area."
528325,84102849,48535,"Moody's Corp., Q4 2009 Earnings Call, Feb 04, 2010",2010-02-04,"Earnings Calls","Moody's Corporation","Executives","Michael, it's Linda. To answer your question on the FX impact on expenses, was that a 2% unfavorable impact in the fourth quarter. Generally, the cause of that was the weakening of the euro to the pound on the expense line.",41,"Michael, it's Linda. To answer your question on the FX impact on expenses, was that a 2% unfavorable impact in the fourth quarter. Generally, the cause of that was the weakening of the euro to the pound on the expense line."
