"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Operator","Good afternoon. My name is Ryan, and I will be your conference operator today. At this time, I would like to welcome everyone to the Novell First Quarter 2010 Financial Earnings Release Conference Call. [Operator Instructions] I would now like to turn the",51,"Good afternoon. My name is Ryan, and I will be your conference operator today. At this time, I would like to welcome everyone to the Novell First Quarter 2010 Financial Earnings Release Conference Call. [Operator Instructions] I would now like to turn the call over to our host, Ms. Susan White."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Executives","Good afternoon, everyone, and thanks for joining us. I'm Susan White, Director of Investor Relations for Novell. And with me today from our executive offices in Waltham, Massachusetts are Ron Hovsepian, President and Chief Executive Officer; and Dana Russ",664,"Good afternoon, everyone, and thanks for joining us. I'm Susan White, Director of Investor Relations for Novell. And with me today from our executive offices in Waltham, Massachusetts are Ron Hovsepian, President and Chief Executive Officer; and Dana Russell, our Chief Financial Officer. We are here this afternoon to discuss Novell's financial results for the first fiscal quarter 2010. If you don't yet have our press release, you can access it by visiting our Investor Relations webpage at www.novell.com/company/ir. This call is also being broadcast through our website and will be archived on our website for a minimum of 12 months.Before I turn the call over to Dana, I'd like to take a moment to say that we will be providing non-GAAP financial measures during today's call. We believe that these measures enhance an overall understanding of our current financial performance and prospects for the future to enable investors to evaluate our performance in the same way that management does. Management uses these same non-GAAP financial measures to evaluate performance, allocate resources and determine compensation. The non-GAAP financial measures do not replace the presentation of our GAAP financial results, but they eliminate expenses and gains that are excluded from most analysts' consensus estimates that are unusual and/or that arise outside the ordinary course of business such as, but not limited to, those related to stock-based compensation, acquisition-related intangible asset amortization, restructuring, asset impairments, litigation judgments and settlements, purchase in-process research and development, and the sale of business operations, long-term investments and property, plant and equipment.  We've included reconciliations of these non-GAAP measures to the most directly comparable GAAP measures in our earnings release. As I mentioned, a copy of that release is on our website. During our prepared remarks, we will mention some non-GAAP measures. The corresponding GAAP measures are Q1 '10 GAAP net income of $20 million and GAAP EPS of $0.06 per share. Q1 fiscal 2010 GAAP operating margin of 11%, up from 6% year-over-year. We may also provide projections for non-GAAP financial measures, such as projected non-GAAP operating margin, projected non-GAAP tax rate and so forth. The corresponding forward-looking GAAP financial measures are not available, and cannot be provided without undue effort because we are unable to accurately forecast information regarding expenses or gains such as, but not limited to, those previously described. We believe that the corresponding GAAP financial measure is not likely to be significant to an understanding of our business, because there's likely to be substantial variability between projected and actual realization of the expenses and gains described above and/or that such expenses or gains are likely to arise outside the ordinary course of business.We will also provide information regarding Novell's general product direction roadmap. It is intended for information purposes only and may not be incorporated into any contract. It is not a commitment to deliver any material, code or functionality, and should not be relied upon in making purchasing decisions. The development, release and timing of any features or functionality described in Novell's products remains at the sole discretion of Novell.Finally, please note that during today's call, we may make forward-looking statements. You should be aware that actual results could differ materially  from those contained in the forward-looking statements, which are based on current management expectations and are subject to a number of risks and uncertainties, including but not limited to, factors described in our annual report on Form 10-K, filed with the Securities and Exchange Commission on December 22, 2009, and in a press release we issued earlier today. Forward-looking statements do not reflect the occurrence of unplanned or unanticipated events, and cannot take into account unforeseen circumstances. Actual results for future periods may differ from those projected. Any forward-looking information that we provide in this call represents our outlook as of today, February 25, 2010, and we do not undertake any obligation to update our forward-looking statements, except as may be required by the law. With that, we're ready for our CFO, Dana Russell."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Executives","Thanks, Susan. Novell's first fiscal quarter 2010 results were released a short time ago. The company reported net revenue of $202 million. GAAP income from operations was $21 million. Non-GAAP income from operations was $33 million. Non-GAAP net income w",733,"Thanks, Susan. Novell's first fiscal quarter 2010 results were released a short time ago. The company reported net revenue of $202 million. GAAP income from operations was $21 million. Non-GAAP income from operations was $33 million. Non-GAAP net income was $25 million or $0.07 per share.The quarter's financial results included a $5 million change in accounting estimate related to 2009 sales compensation expense that increased profitability in the quarter. This benefit was more than offset by a $6 million negative impact to income from operations from foreign currency exchange rates on a year-over-year basis. Product invoicing was up year-over-year by 10%, driven by strength in Linux and Identity products. However, revenue declined 6% due to softness in 2009 invoicing and weakness in our legacy products.In alignment with our Intelligent Workload Management strategy, which we announced last year, we've reorganized in two business units. The Open Platform Solutions, Identity and Security Management and Systems and Resource Management business units have been combined into one business unit called Security, Management and Operating Platforms. The W Workgroup business unit has been renamed Collaboration Solutions. As a result, we're reporting two business unit P&Ls instead of four, as seen on Page 9 of our press release. In addition, we have also provided fully allocated BU P&Ls.Now I'll highlight some of our business unit results on Pages 9 and 10 of our press release. Our Security Management and Operating Platforms product revenue was $109 million, up 3% year-over-year. Invoicing was up 26% year-over-year. Operating margins were a negative 3%, improved from a negative 7% a year ago. We made a commitment that Linux would be breakeven at the end of this year. Even though we don't report Linux separately, this business was breakeven, which is a significant milestone. While operating margins for Security, Management and Operating Platform business unit may fluctuate on a quarterly basis, we feel good about the progress we've made and expect margins to continue to improve.Linux Platform Products revenue in the quarter was $37 million, increasing 6% from the year-ago quarter. Linux invoicing was fairly consistent with the last few quarters, but was up 75% year-over-year. Renewal of Linux distribution associated with Microsoft certificates began during the quarter, and as expected, we realized much lower invoicing than the original agreement. Lower invoicing associated with Microsoft certificates was offset by significant growth in our non-Microsoft invoicing.Moving on to Identity, Access and Compliance Management, product revenue was $29 million, up 13%, and invoicing increased 40%. Systems and Resource Management product revenue was $38 million, down 5%. Turning to Collaboration Solutions business unit, product revenue was $71 million, down 12%. Within Collaboration, the combined OES and NetWare-related product revenue was $42 million, down 6%. Collaboration operating margin was 47%. Since we have no current plans to reduce expenses in this business unit, margins will depend upon revenue levels.Operating expenses were down compared to a year ago, primarily due to reduced sales and marketing and product development expenses. Q2 expenses are expected to increase compared to Q1 levels. Q1 expenses were unnaturally low due to the $5 million benefit I previously discussed.Next, I want to highlight a cost of revenue reclassification. We have historically reported all technical support costs in the services cost of revenue line. We have moved technical support costs associated with maintenance to the maintenance cost of revenue line. This is approximately a $9 million quarterly change between line items in the Cost of Revenue section of the P&L. This change only impacts line items within cost of sales, and does not impact revenue, total cost of sales or total gross profit. A schedule showing the recast in historical amounts is available on our IR website. Total headcount at the end of the quarter was 3,500, down from 3,600 in the prior quarter.Turning to our balance sheet and cash flow, cash and short-term investments were $991 million, up from the prior quarter. Cash flow from operations was $5 million for the quarter. This compares to $13 million a year ago, which included a $25 million payment from Microsoft, normalizing for this payment, cash flow from operations was up $17 million year-over-year.Turning to our outlook for the second quarter, we expect revenue to be similar to the Q1 levels, and non-GAAP operating margins of 12% to 15%. We assume FX rates hold steady with today's exchange rates.  With that, I'll turn the call over to Ron."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Executives","Thanks, Dana. I'm pleased we delivered the invoicing growth we predicted last quarter while maintaining our non-GAAP operating margins. We saw signs that select markets improved, particularly in the Americas and Asia Pacific. Customer and partner reaction",916,"Thanks, Dana. I'm pleased we delivered the invoicing growth we predicted last quarter while maintaining our non-GAAP operating margins. We saw signs that select markets improved, particularly in the Americas and Asia Pacific. Customer and partner reaction to our Intelligent Workload Management strategy has been encouraging. Consequently, we expect many of the solutions within our Security, Management and Operating Platforms business unit to benefit.Intelligent Workload Management capitalizes on the emerging trends of virtualization and cloud computing. According to Gartner, 16% of computing workloads are virtualized today, growing to an estimated 50% of workloads by 2012. IDC estimates only about 1% of computing workloads are hosted in the cloud today, and is expected to grow very quickly at about a 30% CAGR. The move to virtualization in cloud computing is motivated by two factors: Minimizing costs and maximizing flexibility. So while the prospect of lower cost and increased flexibility of these new business models is promising, issues around security, performance management and availability have slowed their adoption.Customers are seeking workload portability across their physical, virtual and cloud environments, while minimizing risk and complexity. They need integrated security, compliance and control so they can trust their critical business processes and data to a cloud environment. To satisfy these competing requirements, they need tools that enable them to create and manage workloads that have built-in security, identity and management capabilities that travel with the workload as it moves from one environment to another. This intelligence inside the workload makes them portable and provides business flexibility. These requirements play well to our current and future capabilities. Our strategy is to help customers build, secure, manage and measure these portable, intelligent workloads that can work across physical, virtual or cloud environments. Novell already has many of the technologies required to address the market. Our Linux Solution to build workloads, Identity and Security Management to secure workloads and Systems Management to manage and measure workloads. I believe this combination of capabilities differentiates us from the competition.We have already begun delivering the Intelligent Workload Management solutions to the market, and our product roadmap for 2010 should further strengthen our portfolio to build, secure, manage and measure intelligent workloads. Here's a brief preview of our product announcements we have planned for fiscal 2010.Starting with build, we help clients build intelligent workloads on the foundation of our SUSE Linux operating platform. In the first quarter, we announced the SUSE Appliance Toolkit, which further extends our SUSE Studio capabilities. Taken together, these tools improve the efficiency of building, deploying and maintaining appliances or workloads in the physical, virtual and cloud environments.Next, we help clients secure intelligent workloads with products from our Identity and Security Management portfolio. This year, we plan to add new capabilities to these products that bring identity and policy awareness into the workload itself, allowing it to be managed and moved with the appropriate security in the data center and the cloud. Later this year, Novell plans to ship two new products to further extend customers' ability to secure their intelligent workloads.The first is the Novell Cloud Security Service, which is a new solution that would enable enterprises to enforce their own identity and security protocols into the cloud. The second offering is the Novell Identity Manager 4, which adds significant functionality to Novell's flagship Identity Management product, making it possible to securely manage identities and access across physical and virtual environments.Moving on to manage. In 2010, Novell plans to introduce new products that integrate and extend our systems and resource management capabilities to the cloud to ensure optimal execution of workloads, both on and off-site. These product announcements include PlateSpin Atlantic, which is a self-service system that will provide on-demand applications to business managers, while automatically optimizing IT deployment of workloads using a combination of physical, virtual and cloud computing resources.And finally, measure. To help customers measure and gain real-time insights into IT operations, Novell offers a suite of business service products. This year, we plan to launch Novell Compliance Automation, which is an integrated holistic view of both IT system performance and compliance. This will make it easier to optimize the deployment of workloads across physical, virtual and cloud systems, as well as get real-time alerts to compliance issues.To align around our Intelligent Workload Management strategy, we have consolidated our operations from four business units down to two. The new Security, Management and Operating Platforms business unit will be better equipped to address all of the components to build, secure, manage and measure intelligent workloads. Leading this new business unit is Jim Ebzery, who formerly ran our Identity and Security Management business unit. Jim's background in security fits well with our security-focused approach to intelligent workload management. The Collaboration Solutions business unit is focused on expanding Novell's collaboration portfolio to address the unique requirements of this evolving market. Colleen O'Keefe is the General Manager of the business unit.We believe intelligent workload management is an attractive and growing market and that Novell has the assets to offer a differentiated solution. Our current product portfolio and product roadmap are focused to strengthen our capabilities to build, secure, manage and measure intelligent workloads. We are building our partner ecosystem to complement our solutions and expand our distribution channels. I'm excited about our prospects, and I believe Novell is well positioned to lead in the emerging market of the intelligent workload management, while extending our innovation in the collaboration market. With that, we're ready for your questions. Operator, please open the line for our listeners."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Operator","[Operator Instructions] Your first question comes from John DiFucci with JPMorgan.",11,"[Operator Instructions] Your first question comes from John DiFucci with JPMorgan."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Analysts","Ron, can you give us a little more detail about the Microsoft renewals? And tell us perhaps, what the renewal rate was on those original invoicing? I mean invoices from Microsoft, I believe it was somewhere around $73 million about three years ago. And so",131,"Ron, can you give us a little more detail about the Microsoft renewals? And tell us perhaps, what the renewal rate was on those original invoicing? I mean invoices from Microsoft, I believe it was somewhere around $73 million about three years ago. And so they would've, about that much would've come up for renewal right around now. I guess, and I think everyone or at least, we anticipated you're going to see some capacity reductions, given the downturn in the economy, given that these customers, obviously, it was supplemented by Microsoft. So they got them at a much reduced rate themselves. And also, the pricing environment since then has gone down. Can you give us some kind of idea of what kind of renewal rate you did see on that?"
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Executives","Hey John, this is Dana. I'll let Ron jump in. I'll make a few comments before he does. I think in terms of the renewals, let me give a more holistic statement about the way we feel about the situation with the deployment of the Microsoft certificates and",221,"Hey John, this is Dana. I'll let Ron jump in. I'll make a few comments before he does. I think in terms of the renewals, let me give a more holistic statement about the way we feel about the situation with the deployment of the Microsoft certificates and our ability to renew those. We feel very good about the ability to renew, and we have been renewing very well and feel like we'll continue to do that. When you look at the pricing, though, in terms of the financial impact of the financial statements, the original certificates, we were paid from Microsoft at a 45%-off list price. So 45% discount. And in most of these certificates, especially in the early part of this program, went out to very large strategic customers at fairly significant discounts. And so as we look at the renewals, the expectation is that we could see, well especially for the very large strategic customers, the pricing now has changed dramatically. And what we're seeing is something more akin to an 80% to 90% discount. So if you do the math on that, that would give you a bit of an indication, or give you a very good indication on what we expect as we go forward here with the program, and the financial impact associated with it."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Analysts","Dana, would you expect also capacity reductions on those renewals in addition to that 80% to 90%, or would that be included in that number?",25,"Dana, would you expect also capacity reductions on those renewals in addition to that 80% to 90%, or would that be included in that number?"
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Executives","There are certainly some things that, John, you mentioned there a couple of these accounts that we originally sold to that were large sales, that their businesses changed a lot. They were disrupted or they've actually gone away. And so from that standpoin",92,"There are certainly some things that, John, you mentioned there a couple of these accounts that we originally sold to that were large sales, that their businesses changed a lot. They were disrupted or they've actually gone away. And so from that standpoint, yes, I think there could be some reduction from a capacity standpoint. But overall, I'd say for the majority of the program, we would expect that what was distributed will be utilized, and we'll be able to renew that even though it would be at a much reduced price."
32264,90008573,51756,"Novell Inc., Q1 2010 Earnings Call, Feb-25-2010",2010-02-25,"Earnings Calls","Novell, Inc.","Analysts","And then, Dana, just quickly, on the $5 million change in accounting, is that a one-time thing? And if you could, I know it has something to do with sales expense, but could you...",34,"And then, Dana, just quickly, on the $5 million change in accounting, is that a one-time thing? And if you could, I know it has something to do with sales expense, but could you..."
