"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Operator","Good day and welcome to the SanDisk Corp. Fourth Quarter 2009 Earnings Conference [Operator Instructions] At this time, I would like to turn the conference over to Jay Iyer, Director of Investor Relations.",33,"Good day and welcome to the SanDisk Corp. Fourth Quarter 2009 Earnings Conference [Operator Instructions] At this time, I would like to turn the conference over to Jay Iyer, Director of Investor Relations."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Executives","Thank you, Mark and good afternoon, everyone. Joining us today on the call are Doctor Eli Harari, Chairman and CEO of SanDisk; Sanjay Mehrotra, President and COO; and Judy Bruner, Executive Vice President of Administration and CFO. Before we begin, please",198,"Thank you, Mark and good afternoon, everyone. Joining us today on the call are Doctor Eli Harari, Chairman and CEO of SanDisk; Sanjay Mehrotra, President and COO; and Judy Bruner, Executive Vice President of Administration and CFO. Before we begin, please note that any non-GAAP financial measures discussed during this call, as defined by the SEC and Regulation G will be reconciled to the most directly comparable GAAP financial measure. That reconciliation is now available along with our supplemental schedules on our website at sandisk.com/IR. In addition, during our call today, we'll make forward-looking statements. Any statement that refers to expectations, projections or other characterizations of future events including financial projections and future market conditions is a forward-looking statement. Actual results may differ materially from those expressed in these forward-looking statements. For more information, please refer to the risk factors discussed in the documents we filed from time to time with the SEC, including our annual report on Form 10-K/A for fiscal 2008 and our subsequent quarterly reports on Form 10-Q. SanDisk assumes no obligation to update these forward-looking statements, which speak as of the date hereof. With that, I'd like to turn the call over to Eli."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Executives","Thank you, Jay and good afternoon. Q4 was our best ever quarter for product revenue, margin and cash flow, reflecting a dramatic reversal in our results when compared to the fourth quarter a year ago.  Pricing held up well throughout the fourth quarter an",954,"Thank you, Jay and good afternoon. Q4 was our best ever quarter for product revenue, margin and cash flow, reflecting a dramatic reversal in our results when compared to the fourth quarter a year ago.  Pricing held up well throughout the fourth quarter and product margins benefited from a 20% sequential reduction in cost per gigabyte. A year ago, the fourth quarter of 2008 marked the bottom of the industry down cycle with all flash memory manufacturers operating at negative margin and reporting heavy losses. By the fourth quarter of 2009, all NAND suppliers, including ourselves, were reporting vastly improved results, partly resulting from production cutbacks in the first half of 2009. Despite the recession, global demand from NAND flash continued to grow and by the second half of 2009, flash manufacturers returned to 100% capacity utilization. This turnaround happened considerably more rapidly than expected, demonstrating the remarkable ability of this young industry to self- correct. This is an important factor that we have discussed with you in the past. While we benefited significantly as did others from the general improvement in market conditions, that is, ""a rising tide, lift all boats,"" I do believe that our decisive actions at SanDisk contributed much more so to our rapid turnaround, amidst the ongoing industry-wide recovery. I'd like to reflect on the more important of these SanDisk actions. In the fourth quarter of '08, we structured the company to streamline our organization along Retail and OEM businesses, which allowed us to reduce our non-GAAP operating expenses by 25% in 2009 compared to 2008. We opened up major new OEM sales channels and we set our number one priority to return to profitability, as evidenced in our Q3 and Q4 results. In Q1 '09, we sold approximately 20% of our captive capacity to Toshiba and we further cut our captive output by throttling back capacity utilization rates at our Yokkaichi fabs by more than 20% in the first half of 2009. At the same time throughout 2009, we sustained our investments in advanced NAND Flash and 3D read/write technology, 3-bits-per-cell and 4-bits-per-cell NAND architectures, advanced proprietary controller chips and new products for both our Retail and OEM businesses. And in Q2 '09, we renewed our patent cross license agreement with Samsung Electronics.Looking forward now, with no new NAND fab expected to come on stream in 2010, we expect the NAND industry to continue to experience a healthy balance between demand and supply. Flash storage in mobile handsets is expected to continue to be the primary demand growth engine for the industry in 2010. Exciting new devices, such as the iPAD launched yesterday are demonstrating the significant new opportunities ahead for flash mass storage. We see a similar trend in digital camcorders, which have abandoned optical recording media and have largely embraced flash memory. Today, Verizon announced its launch of our slotRadio cards in 2000 Verizon stores for use with their high-end cell phones. Solid state drive, SSD, are making well-publicized inroads in enterprise storage. And we believe it is only a matter of time before the tipping point is reached for the broader adoption of Flash SSD in notebooks and netbook PCs.The iPAD, as well as the Kindle, are already past their tipping point, as these class of devices are very thin and are required to deliver long operating time on a battery charge, therefore doing away altogether with rotating disk drive or DVD players, and relying exclusively on NAND Flash for mass storage.Turning to capacity. Current industry forecasts project a 2010 total NAND industry bit growth in the range of 70% to 90%. For SanDisk, we currently project our captive bit output to increase in 2010 by up to 70% compared to our output in 2009, approximately in line with our currently projected bit demand growth in 2010. Our bit output increase will come primarily from completion of the technology transition to 32-nanometer by late 2010, as well as modest incremental wafer capacity, utilizing the unused clean-room space in Yokkaichi Fab 4. We believe this capacity expansion at Fab 4 will be extremely cost-effective. And we plan to exercise our option to invest and take up to 50% of that capacity. As for the timing and pace for this final increment of Fab 4 capacity, we will proceed with caution to align capacity additions with demand from our customers. Currently, we expect this to add approximately 10% to our monthly captive wafer production in the second half of 2010, the rest coming in 2011. This is all factored into the 2010 bit growth guidance that I have just provided you. This does mean that our usage of flash memory from NAND captive sources will likely be minimal in 2010. Flash industry pricing is expected to reflect a healthy balance between demand and supply in 2010. In the next several years, industry-wide NAND cost reductions are expected to decelerate from the pace of the prior five years due to increasingly more challenging scaling of future NAND technology nodes that we have discussed on previous occasions.We estimate our own cost reduction in 2010 will be in the range of 30% to 40% compared to 52% in 2009 when we captured the cost benefits of 3-bits-per-cell technology. We expect to start transitioning to 24-nanometer node late in 2010 with cost benefits expected in 2011.Looking to the future, we enter 2010 with a superb captive manufacturing base, great technology and products and a lean and focused team that is driving our global opportunity. Our strategic actions in 2009 and our uniquely balanced participation in both OEM and retail global markets is working very well for us and we'll guide our business activity in 2010.I'll now turn it over to Sanjay."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Executives","Thank you, Eli. Good afternoon, everyone. The strong performance in our fourth quarter was driven by healthy demands for our product from both our retail and OEM customers, leading to record unit sales. We have seen a strong lift in seasonal consumer dema",494,"Thank you, Eli. Good afternoon, everyone. The strong performance in our fourth quarter was driven by healthy demands for our product from both our retail and OEM customers, leading to record unit sales. We have seen a strong lift in seasonal consumer demand. And we also benefited from our channel diversification efforts and our strategy to achieve a balanced retail and OEM business focus. Our operational execution was solid with out wafer fab production remaining at high efficiencies and the supply chain executing well to meet rising demand levels. Following a record fourth quarter in product sales, channel inventory levels remain healthy and we exited of 2009 maintaining our focus on profitable growth augmented by continued tight control on costs and expenses. We are exceptionally well-positioned now in mobile storage. Five of our top 10 customers in Q4 '09 were tier-1 handset manufacturers. And in addition, we are working closely with the leading mobile network operators and mobile retailers. Sales of our mobile cards and embedded flash products drove nearly half of the fourth quarter's record total product revenue. All in all in Q4, we sold 82 million mobile products. Our embedded flash product sales grew very strongly and that accounted for more than 20% of our total mobile OEM business.                                                                       Design win momentum for the iNAND continues to be strong. Finally, within OEM, revenues from the new channels and customers that we discussed with you in the third quarter grew nicely with strong revenue and profit contribution.Shifting to our Retail business, the fourth quarter was seasonally strong with retail sales within all of our end markets posting sequential revenue growth. Our retail market share remains strong in the major geographies. And our Retail business is growing vertically well in the APAC region. With regard to new products and markets, there is a tremendous amount of innovation and energy. And we will share some of this with you at our Investor Day meeting on February 26.In 2009, the combination of a strong ramp of 3-bits-per-cell technology along with seamless process technology migration enabled SanDisk to reduce product cost per gigabyte by more than 50% for the fifth consecutive year. Furthermore, our supply chain scaled up efficiently throughout the year to meet the 26% increase in unit volume demand compared to the prior year levels. Our Shanghai Assembly and Test Facility significantly ramped output with strong productivity gains. This, in combination with capacity ramp at our contract manufacturers allowed us to flexibly meet the seasonally strong demand in a cost-effective fashion. In Q4, we continued to ramp our 32-nanometer process technology and it accounted for slightly more than 10% of our total bit output. We began shipments of microSD, SD and Memory Stick PRO Duo cards using our 32-nanometer C disk 3-bits-per-cell technology as planned. To summarize, we are pleased with our Q4 and 2009 results. And we look forward to delivering more in 2010. With that, I will turn the call over to Judy."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Executives","Thank you, Sanjay. Our fourth quarter results reflected strong growth in both OEM and retail channels, with retail revenue up 41% and OEM revenue up 40% sequentially. OEM represented 56% of our fourth quarter product revenue, the same proportion as in the",1118,"Thank you, Sanjay. Our fourth quarter results reflected strong growth in both OEM and retail channels, with retail revenue up 41% and OEM revenue up 40% sequentially. OEM represented 56% of our fourth quarter product revenue, the same proportion as in the third quarter. And for the year, our product revenue was equally balanced at a 50/50 mix of retail and OEM.Our fourth quarter retail revenue was down 6% year-over-year with the decline due primarily to increasing amounts of our mobile business going through mobile networks operator stores that we now count as OEM.  Our fourth quarter OEM revenue was up 215% year-over-year with the mix from the mobile market increasing to more than 80% of our OEM revenue. Our total fourth quarter product revenue grew 54% year-over-year with units up 55%, ASP per gigabyte down 23% and average capacity up 29%. On a sequential basis, our ASP per gigabyte declined 2%. And our total average capacity was up 18%, driven primarily by the OEM mobile product mix. License and Royalty revenue of $100 million in the fourth quarter included Samsung royalties based half on the old license agreement and half on the new license agreement. Q4 product gross margin of 44% on a GAAP basis and 45% on a non-GAAP basis was higher than we had anticipated due to less price decline and stronger cost reduction, which was 20% per gigabyte. In addition, we received a higher than expected benefit of $95 million from selling products, which carried previously taken reserves. The reserve benefit came primarily from lower of cost or market reserves taken on inventory built in 2008, but also reflected the sale of inventory that had been reserved as excess or obsolete. Without these inventory reserve benefits, our underlying product gross margin was 36%, a level that generates strong profitability on our product business and a very good return on invested capital.Q4 non-GAAP operating expenses of $192 million were in the range we expected and reflected a seasonal lift in sales and marketing, a 14-week quarter and an increase in the accrual of incentive compensation related to our 2009 performance. Comparing the full year of 2009 to 2008, we decreased our non-GAAP expenses by 25%.  Our fourth quarter non-GAAP operating income was $417 million or 34% of revenue. Without the benefit received from inventory reserves, the underlying operating income was $322 million or 26% of revenue with more than 70% of this operating profit coming from our product business. Our non-GAAP other income increased sequentially by $5 million due primarily to certain one-time investment gains and to a lesser extent, due to higher invested cash balances. On the balance sheet, cash and short and long-term liquid investments increased sequentially by $432 million to $3.0 billion. Fourth quarter cash flow from operations was the highest ever in a single quarter at $388 million, and free cash flow was even higher at $431 million.Cash flow from investing included a $57 million receipt of excess cash from the Flash Partners joint venture, zero outgoing capital payments to the joint ventures and a modest outflow for property and equipment. For the full year, we generated cash flow from operations of $488 million and free cash flow of $438 million. For 2009, net cash used for capital related investing was only $49 million. Key elements included $378 million outflow for capital investments in the joint ventures and $60 million outflow for property and equipment. With these outflows largely offset by the receipt of $277 million from the joint venture restructuring, $110 million of cash returned from Flash Partners and $13 million received from the wind down of FlashVision.We ended 2010 with $1.07 billion of equipment lease obligations, down from $2.1 billion at the end of 2008. Our inventory ended 2009 at 596 million, almost the same number as at the end of 2008. However, both the gross level of inventory and the offsetting reserves have been significantly reduced and reserves have returned to normal levels.I'll now turn to forward-looking commentary. I'll provide guidance for Q1 as well as for the full year 2010. Please note that non-GAAP to GAAP reconciliation tables for all applicable guidance are posted on our website. We are expecting a normal level of seasonally reduced demand in the first quarter, coupled with the impact of Q1 being a regular 13-week quarter compared to our 14-week Q4. We are forecasting total revenue for Q1 between $875 million and $950 million, which includes license and royalty revenue between $80 million and $90 million, fully reflecting the new Samsung license agreement. For the full-year 2010, we forecast total revenue between $4.0 billion and $4.4 billion including license and royalty revenue between $320 million and $360 million. Turning to gross margin. We expect that first quarter cost decline may be a bit less than price decline as we expect more modest cost decline in Q1 than we generated in the previous two consecutive quarters of very strong cost reduction. For the full-year 2010, we expect that the annual cost decline, which Eli estimated at 30% to 40% will be greater than the annual price decline, allowing product gross margin to expand from our 2009 underlying product gross margin, which was in the teens on a full-year basis. We are forecasting a non-GAAP product gross margin for Q1 and for the full year of approximately 31%, plus or minus three percentage points. We forecast non-GAAP operating expenses in Q1 of $175 million to $185 million and for 2010 of $725 million to $750 million. We forecast non-GAAP other income for 2010 to be approximately $40 million spread relatively evenly across the year. We forecast a non-GAAP tax rate of approximately 37%, up from 36% in 2009 based primarily on certain tax law changes for 2010. On a GAAP basis, we are still in a valuation allowance position. And as such, the GAAP tax rate is too difficult to predict.Turning to the balance sheet and cash flow. We expect our total capital investment in 2010 to be between $700 million and $900 million, covering fab technology transitions, incremental wafer capacity and Fab 4, as Eli described and back-end supply chain and other CapEx requirements across the business. We expect to fund this, primarily from a combination of cash flow from operations and working capital from the joint ventures. And we expect continuing positive free cash flow in 2010. As in the past, we will provide further color on CapEx and our funding plans at our Investor Day on February 26. In summary, we are expecting solid performance in 2010. And we look forward to sharing more information with you at our upcoming Investor Day. We'll now open the call for your questions."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Operator","[Operator Instructions] And our first question today will come from Daniel Amir, Lazard Capital Markets.",15,"[Operator Instructions] And our first question today will come from Daniel Amir, Lazard Capital Markets."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Analysts","In the price decline, you assumed that price declines will be less than your cost down, which is 30% to 40%, which means that pricing -- you're assuming pricing would be somewhat similar like '09, I guess, in the mid to high 20s, maybe. Can you explain, k",88,"In the price decline, you assumed that price declines will be less than your cost down, which is 30% to 40%, which means that pricing -- you're assuming pricing would be somewhat similar like '09, I guess, in the mid to high 20s, maybe. Can you explain, kind of, your assumption there? Why you think the market is going to behave similar like '09, considering that there is some new capacity coming on board in the expansion of Fab 4 and some shrinkage in the market as well?"
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Executives","This is Sanjay. When we look at the bit supply growth in 2009, for the industry, it was about 40%, and as Eli pointed out, when we're looking at 2010, the supply in growth is expected to meet 70% to 90% from the industry and our sales on the lower end of",258,"This is Sanjay. When we look at the bit supply growth in 2009, for the industry, it was about 40%, and as Eli pointed out, when we're looking at 2010, the supply in growth is expected to meet 70% to 90% from the industry and our sales on the lower end of that, up to 70%. When you look at the demand drivers in the industry, the demand drivers are strong. When you see the handset, the smartphones, they are continuing to increase their presence, their penetration in the market and bid the smartphone, higher capacity units are continuing to sell both on the embedded side as well as on card side. And new applications that are coming out are continuing to drive a new demand for storage as well. On top of all of this, the demand is being driven globally. I mean from Asia-Pac, we saw a very strong growth in demands on a year-over-year basis. And we are continuing to see that on China, India and the emerging market. So all of these factors: The applications; the demand growth drivers, particularly the mobile, SSD continuing to increase its penetration during the year. The markets, as well as the regions, we believe will continue to drive the demand. And looking at the bit supply growth, we think that the demand and supply will be in good balance during the course of the year. And that cost reduction will be in the 30% to 40% range and pricing will hold well during the course of the year."
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Analysts","Now, if you look at Q1 in terms of seasonality, I mean based on your guidance, you're expecting it to be somewhat similar to maybe previous year's seasonal trend taking last year aside. What are really the drivers that you're seeing here in Q1? Was the as",70,"Now, if you look at Q1 in terms of seasonality, I mean based on your guidance, you're expecting it to be somewhat similar to maybe previous year's seasonal trend taking last year aside. What are really the drivers that you're seeing here in Q1? Was the assumptions really based on this guidance considering that we were exiting the holiday season maybe with a bit better inventory than we have previously?"
34032,84299602,47537,"SanDisk Corp., Q4 2009 Earnings Call, Jan-28-2010",2010-01-28,"Earnings Calls","SanDisk LLC","Executives","Daniel, this is Judy. We are expecting a normal Q1 in terms of down demand in the season. But we're not expecting a normal Q1 or historical Q1 in terms of pricing trends. If you look back at all of our previous Q1, there's typically been very significant",118,"Daniel, this is Judy. We are expecting a normal Q1 in terms of down demand in the season. But we're not expecting a normal Q1 or historical Q1 in terms of pricing trends. If you look back at all of our previous Q1, there's typically been very significant downward pressure on pricing. And this time, we believe that we're entering 2010 with a healthy supply demand balance in the industry because there's really been no capacity added throughout 2009. So we do expect some movement down in pricing in the first quarter and somewhat more than the essentially no price decline we had in the fourth quarter, but definitely less price decline than we've seen in historical Q1."
