"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Operator","Good day and welcome to the Coach conference call. At this time, for opening remarks and introductions, I would like to turn the call over to Senior Vice President of Investor Relations and Corporate Communications at Coach, Ms. Andrea Shaw Resnick. You m",44,"Good day and welcome to the Coach conference call. At this time, for opening remarks and introductions, I would like to turn the call over to Senior Vice President of Investor Relations and Corporate Communications at Coach, Ms. Andrea Shaw Resnick. You may begin. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","Good morning and thank you for joining us today. With me to discuss our quarterly results are Lew Frankfort, Coach's Chairman and CEO, and Mike Devine, Coach's CFO. Mike Tucci, President of North American Retail, is also joining us. Before we begin we m",246,"Good morning and thank you for joining us today. With me to discuss our quarterly results are Lew Frankfort, Coach's Chairman and CEO, and Mike Devine, Coach's CFO. Mike Tucci, President of North American Retail, is also joining us. 
Before we begin we must point out that this conference call will involve certain forward-looking statements including projections for our business in the current and future quarters or fiscal years. These statements are based upon a number of continuing assumptions. 
Future results may differ materially from our current expectations based upon risks and uncertainties such as expected economic trends or our ability to anticipate consumer preferences or control costs. Please refer to our latest Annual Report on Form 10-K for a complete list of these risk factors. Also, please note that historical growth trends may not be indicative of future growth.
Now let me outline the speakers and topics for this conference call. Lew Frankfort will provide an overall summary of our second fiscal quarter 2010 results and will also discuss our strategies going forward. 
Mike Tucci will review the holiday season from a US retail perspective and discuss key initiatives for the spring season ahead. Mike Devine will continue with details on financial and operational highlights of the quarter. Following that we will hold a question and answer session that will end shortly before 9:30 a.m. Lew will then conclude with some brief summary comments.
I’d now like to introduce Lew Frankfort, Coach's Chairman, and CEO.
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","Thanks Andrea, and welcome everyone. As noted in our release this morning we were very pleased with our holiday results including strong sales and earnings growth and the return to positive comparable store sales in our North American retail business wher",1195,"Thanks Andrea, and welcome everyone. As noted in our release this morning we were very pleased with our holiday results including strong sales and earnings growth and the return to positive comparable store sales in our North American retail business where trends improved through the quarter.
Our performance clearly demonstrates the traction of the product and pricing strategies we put into place and bodes well for future growth. Beyond the top line we were also very pleased with our high levels of profitability and substantial cash generation in the quarter. 
Its important to note that we achieved these results despite the challenging retail environment. The consumer in North America remains cautious. She is more value conscious than ever. Fortunately our multi channel distribution model is diversified and includes substantial factory store, and international businesses. 
The strength of our consumer franchise, flexible business model, and strong balance sheet gives us the ability to adapt our strategies to make the right decisions for the long-term. As we continue to emerge from this downturn we are well situated to build upon our leadership position and continue to gain market share as a growth company. 
While I will get into further detail about current conditions and the outlook for the category and our business shortly, I did want to take the time to review our quarter first. Some key highlights of our second fiscal quarter were, first earnings per share rose 12% to $0.75 compared with $0.67 in the prior year. 
Second, quarterly net sales exceeded $1 billion for the first time and totaled nearly $1.1 billion versus $960 million a year ago; an increase of 11%. Third, directed consumer sales rose 14% to $934 million from $818 million in the prior year on a comparable basis. 
Fourth, North American same store sales for the quarter accelerated rising 3% from prior year while total North American store sales rose 16%. And fifth, sales in Japan declined 2% in constant currency and rose 7% in dollars. And finally, we continued to generate very strong sales growth and significant double-digit comps in China. 
During the quarter we opened three North American retail stores including two in new markets for Coach; London, Ontario in Canada, and Canton, Ohio, as well as two factory stores. Thus at the end of the period there are 343 full priced and 118 factory stores in operation in North America. 
Moving to Japan, one location was added. At quarter end there are 163 total locations in Japan with 20 full price stores including eight flagships, 115 shop in shops, 23 factory stores, and five distributor operated locations. 
And in China we added four new locations, three on the mainland and one in Hong Kong. At quarter end there were 37 Coach locations in China including 10 in Hong Kong, two in Macau, and 25 locations on the mainland in 10 cities. As we’ve discussed previously we are building a multi channel distribution model in China including flagships, retail stores, shop in shops, and factory stores. 
Indirect sales decreased 8% to $131 million from $143 million in the same period last year. This decline was primarily due reduced shipments into US department stores. We continue to tightly manage inventories into the channel given sales levels at POS which declined 22% for the quarter as discounting in the channel continued and Coach was generally excluded from these sales. 
As in Q1 we were pleased with the trends in full price sell through in this channel while there was less product available for clearance. International POS sales rose modestly in the period driven by distribution. 
We estimate that the addressable US handbag and accessory category declined only slightly, between zero and 5% in the fourth calendar quarter. An improvement over the 5% to 10% decline in the prior quarter and a 10% to 15% decline experienced in the first half of the calendar year. 
At the same time Coach’s bag and accessory sales rose about 3% across all channels in North America over the most recent quarter. In our own stores handbag and accessory sales rose 18%. Separately, its worth noting that we’ve seen continued modest improvement in our customers’ outlook for the economy.
Her intentions to purchase Coach over the next year is significantly higher than where it was a year ago. Our total revenues in North America rose at the same pace as our overall top line, up 11%, with our directly operated stores up 16% driven by both distribution growth and positive comp performance.
As noted Q2 same store sales rose 3% marking an inflection point in our total North American retail business. As expected our trend improved through the quarter with December our strongest month. Fueling these comp results was significant gains in conversion from prior year offset in part by lower traffic.
We were particularly pleased with this improvement as conversion is the driver that we have the most control over through product and service, which Mike Tucci will discuss in more detail in just a moment. In full price stores, average transaction size was modestly lower compared to prior year as increased handbag penetration offset most of the impact of lower AUR, while traffic trends held at Q1 levels.
In factory where we continued to leverage the flexibility inherent in our business model to drive sales through pricing we saw increases in all comp metrics. Its important to note that our factory store growth continued to be driven by increased spending of factory channel loyal Coach shoppers and by new consumers entering the Coach franchise. 
As noted in Japan we posted a 7% increase in dollars on the 2% decline in constant currency. Our market share further expanded against a very weak category backdrop. Our growth in market share in this very tough Japanese environment reflects the relevance of our accessible luxury positioning with the Japanese consumer who is becoming more value oriented. 
Finally, we were very pleased with our performance in China where our brand is clearly taking hold with consumers both domestically and mainland China and with millions of Chinese who are travelling notably to Hong Kong and globally. 
Coach’s potential in the China market is reflected in our very low unaided awareness of 8% compared with 72% in the US and 63% in Japan among target consumers. What we also learned last fall through our market research is that the Chinese consumer loves Coach. 
She rates us highly on all of the attributes she values such as fashion, sophistication, quality, and value and as our awareness increases her future purchase intent is holding among those who have not yet purchased Coach. And among existing Coach China consumers, repurchase intent is surprisingly high at 94%, a higher level than we’ve experienced in the US or Japan.
Lastly and perhaps most importantly our significant double-digit comp store sales growth further demonstrates Coach’s great potential with this emerging consumer group. While Mike Devine will get into more detail on our financials and of course I will discuss our outlook in some detail, I wanted to give you this recap. 
Now I’ll turn it over to Mike Tucci to discuss our North American retail business. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","Thanks Lew, and good morning. Today I’d like to review the holiday season touching on the three main areas of our North American business; product and pricing, marketing, and stores. First product and pricing, during the quarter as always we offered a h",681,"Thanks Lew, and good morning. Today I’d like to review the holiday season touching on the three main areas of our North American business; product and pricing, marketing, and stores. First product and pricing, during the quarter as always we offered a high level of fashion innovation and distinctive newness, as well as a diversified assortment of product to fit a wide range of customer preferences for self-purchase and gifts. 
The two lead collections for holiday were Madison, which was relaunched in October with new styles and colors, and Poppy, where we added new novelty prints and colors in October and December. Taken together and as planned, these collections represented nearly 50% of full price store sales and targeted a broad array of consumer attitudes. 
We were also pleased with Brooke, our lead collection for fall and with Alex, a fun group of totes introduced in December at compelling price points. Within handbags the key business driver was Maggie, while Madison wallets dominated within the accessories category. 
Wristlets and swing packs were also important this holiday as they represented great gifts. We continued to realize improvement in overall handbag and money piece trends during the quarter. We’re also excited about the new Peyton collection which launched on December 26 and is off to a great start. And later this week, we’re relaunching Poppy in a fresh color pallet featuring new silhouettes as well. 
Building on the success of our price rebalancing strategy which rolled out in July, we offered more handbags choices in the $200 to $300 range in our retail stores. This resulted in increased penetration of handbags to 54% of full price store sales from 51% last year. 
Additionally we saw further improvement in average store handbag unit sales during Q2 driven by gains in conversion rates over last year. We believe the conversion improvement this quarter is a strong indicator that our product pricing and service efforts are taking hold with our consumers.
On the factory side our business remained strong. Here we are focused on maintaining very high levels of productivity through the introduction of innovative factory exclusive product combined with in store and direct marketing initiatives targeted at our best factory customers. 
Of particular note in our factory business was a higher penetration of factory exclusive product which resulted in improved profitability in this channel. Its also important to note that we manage our North American store business in aggregate. As such we will continue to fine-tune our marketing and promotional levels to maximize the long-term returns of both channels while maintaining the integrity of our full price proposition in retail stores. 
Moving to marketing, we drove considerable brand interest along with web and store traffic through our digital strategy. Our more traditional outreach included a gift with purchase, magazine inserts, newspaper advertising, and in store visual enhancements, all of which continued to support Coach as a gift-giving destination. 
We introduced an online gifting application that was interactive and fun suggesting a focused assortment of gift ideas for everyone on your list. Not only was it present on our own website but we launched it on our first iPhone application and through Facebook. In fact Facebook continues to provide us with a dynamic platform to communicate targeted and relevant messages to over a half a million of our highly engaged fans. We launched on Twitter in early October and now have over 200,000 followers there. 
And lastly moving to our stores, as Lew mentioned we opened 13 new retail stores in the first half of fiscal year 2010, including 10 in new markets for the brand and on average, they’re generating annualized volumes of about 1.7 million. All of these new stores are very profitable and operate at high levels of productivity. 
As discussed our FY10 emphasis will continue to be on new markets for Coach, along with Canada, where we’ve seen very strong results and are significantly under penetrated with only 18 retail stores today. With that, I’ll turn it back to Lew for a discussion of our over arching strategies and opportunities for growth. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","Thanks Mike, our strategies remain largely unchanged focusing on the expansion opportunities both here in North America and increasingly in international markets. In addition as always we’re focused on improving performance in existing stores by increas",481,"Thanks Mike, our strategies remain largely unchanged focusing on the expansion opportunities both here in North America and increasingly in international markets. In addition as always we’re focused on improving performance in existing stores by increasing Coach’s share of our consumers’ accessories wardrobe while continuing to attract new customers into the franchise. 
Starting in North America we will open an additional seven stores in the back half of 2010 bringing the total to 20 new North American retail stores for the year. In addition we’ll open three new factory stores. In total we expect North American square footage growth of about 9%, down from about 13% last year. 
In China we expect to open about seven additional locations in the second half of the year including our first flagship on the mainland bringing us to 15 new locations for the year, resulting in about 50% growth in square footage. 
Its important to note that we find landlords and department store owners are eager to embrace Coach and we’re having no problem whatsoever in finding locations that are viable today in a country where 125 cities have a population of one million or more. That compares with 50 cities in the US. 
Given the faster market growth than expected, we’re accelerating our growth strategies in China and are in the process of revising our long-range plans substantially higher. In Japan this year, we now expect to open about seven net new locations including a few men’s shops. In total we would expect our square footage growth in Japan will increase by about 5% this year compared to about 8% in FY09.
During the first half of FY10 we opened a net of 12 international wholesale locations with a net of about 13 additional locations planned during the second half, that would take us to about 25 net new international distributor operated locations this year primarily focused on Asia. Thus across all geographies and channels we plan to grow our square footage by about 9% this year, modestly below the 11% distribution growth last year, primarily due to opening fewer new stores in North America. 
In summary, our holiday performance bodes well for the future and we’re confident that we will continue to deliver healthy sales and earnings growth over the balance of the fiscal year despite a weak consumer backdrop. Importantly our January results [inaudible] the trend that we saw last quarter where the consumer was responding well to innovation, notably our new Peyton collection at a wide range of prices. 
We’re well positioned for the new normal and expect to further expand our North American market share irrespective of category growth. We will leverage the abundant opportunities available to us both domestically and internationally as we become and increasingly global brand. 
At this point I’d like to turn it over to Mike Devine, our CFO, for further detail on our financials. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","Thank you Lew, Lew and Mike Tucci have just taken you through the highlights and strategies, let me now take you through some of the important financial details of our second quarter results. As mentioned our quarterly revenues rose 11% but direct to co",860,"Thank you Lew, Lew and Mike Tucci have just taken you through the highlights and strategies, let me now take you through some of the important financial details of our second quarter results. 
As mentioned our quarterly revenues rose 11% but direct to consumer which represents over three quarters of our business, up 14% and indirect down 8% due to lower shipments to US department stores. 
Earnings per share increased 12% to $0.75 as compared to $0.67 in the year ago period as net income rose to $241 million from $217 million. Our operating income totaled $381 million in the second quarter, up 9% from $348 million in the same period last year. Operating margin in the quarter was 35.8% of sales compared to 36.3% in the year ago period. 
In the second quarter gross profit rose 11% to $771 million from $692 million a year ago and gross margin rate increased to 72.4% versus 72.1% in the prior year. The primarily driver of our gross margin expansion was the reengineering of our product collections that resulted in lower average costs. 
These sourcing costs improvements more than offset continued high levels of promotional activity in factory stores, lower AURs in full price, and channel mix. As expected SG&A expenses as a percentage of sales rose from prior year levels in the second quarter and represented 36.6% of sales versus 35.8%. 
Its important to note that the prior year’s quarter benefited from significant accrual reversals for bonuses in the headquarters’ rent. If you were to exclude these items from the year ago period, we did achieve expense leverage in Q2. 
Once again our two primary direct businesses here in North America and Japan, both provided leverage, not only to their own P&L’s but also to the corporate P&L. Inventory levels at quarter end were $269 million, down about 30% from prior year on a comparable basis. On a unit basis, inventory was down only 15% reflecting our lower average unit costs. 
As I’m sure you all remember we exited holiday last year with a significantly higher inventory position than planned, and Q2 FY08. If you do a two-year inventory compare, we were essentially flat with December of calendar 2007 levels. 
Cash and short-term investments stood at $1.1 billion, as compared with $424 million a year ago despite repurchases of $350 million worth of Coach common stock over the last 12 months. During the second quarter we resumed our purchase activity spending $300 million buying nearly 8.6 million shares of common stock at an average cost of $35.03. 
As of the end of the period $410 million remained available under the current repurchase authorization. Net cash from operating activities in the second quarter was $364 million compared to $256 million last year during Q2. Free cash flow in the second quarter was an inflow of $346 million versus $120 million in the same period last year due to lower CapEx and higher net income and working capital items. 
Our CapEx spending was $17 million versus $130 million in the same quarter a year ago which was driven by the purchase of our corporate headquarters for a total second quarter 2009 cash outlay of $91 million. 
Naturally we were very pleased to report second quarter earnings that showed both substantial sequential improvement from the first quarter and demonstrated our ability to achieve strong top and bottom line growth. 
So taking a look ahead I think it would be helpful for you modelers out there to keep a few things in mind when projecting the balance of the year. First, our gross margin rate is likely to stay at or just above 72% and above last year’s second half levels. Though we would note that Q3 will likely be higher than Q4 due to channel mix as factory will be distorted in the 14-week fourth quarter. 
Second, as a result of our sales productivity gains and our ongoing operating efficiencies, we now expect that our SG&A dollar growth will be quite close to our top line growth for the balance of FY10. We are targeting these levels in spite of more difficult compares from last year’s second half. 
This represents an improvement to the modest de leverage we were forecasting last quarter. And finally, our tax rate is likely to remain in the area of 37% for the year as we noted on our last two earnings calls. 
Separately, I did want to reiterate that based on our plans for FY10 we continue to expect that CapEx will be in the area of $110 million. Before we open it up for Q&A, I wanted to echo Lew’s earlier words. Our January results have shown a continuation of the trend that we saw last quarter with the consumer responding well to our product innovation. 
And again I wanted to reiterate, the second quarter of FY10 was an extremely important quarter for Coach where we resumed strong top and bottom line growth. Clearly our holiday results bode well for the future and we’re confident that we’ll continue to deliver healthy sales, and earnings gains over the balance of the fiscal year despite the weak retail environment. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","Thank you everyone, we would now like to open it up for Q&A.",13,"Thank you everyone, we would now like to open it up for Q&A. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Operator","(Operator Instructions) Your first question comes from the line of Bob Drbul - Barclays Capital",15,"(Operator Instructions) Your first question comes from the line of Bob Drbul - Barclays Capital
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Analysts","I guess when you look at the results for this quarter that you just reported, can you elaborate a little bit more in terms of how you’re feeling about the back half of the year, the drivers for the back half of this fiscal year for you and just had one",82,"I guess when you look at the results for this quarter that you just reported, can you elaborate a little bit more in terms of how you’re feeling about the back half of the year, the drivers for the back half of this fiscal year for you and just had one clarification question, I think you said that traffic in full price was the same as it was in the first quarter, can you talk about how it was year over year. 
"
526573,84211379,46241,"Coach Inc., Q2 2010 Earnings Call, Jan-20-2010",2010-01-20,"Earnings Calls","Tapestry, Inc.","Executives","You’ll remember that in Q1 we saw an inflection in traffic, an improvement in full price from rates coming out of Q4. That was significant. What we saw in Q2 was that we held that improvement through the quarter and on a positive note, we’re able to c",79,"You’ll remember that in Q1 we saw an inflection in traffic, an improvement in full price from rates coming out of Q4. That was significant. What we saw in Q2 was that we held that improvement through the quarter and on a positive note, we’re able to convert better on that traffic improvement. While it was down year over year, we got positive conversions which led to an improved performance in comps in full price in the quarter. 
"
