"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Operator","Welcome to the AES Corporation's Fourth Quarter and Full Year Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Ahmed Pasha, Vice President of Investor Relations. Sir, you may begin.",38,"Welcome to the AES Corporation's Fourth Quarter and Full Year Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. Ahmed Pasha, Vice President of Investor Relations. Sir, you may begin."
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Executives","Thank you. Good morning, everyone and welcome to our Fourth Quarter 2009 and Earnings Conference Call and Webcast. Joining me today are Paul Hanrahan, our President and Chief Executive Officer; Victoria Harker, our Chief Financial Officer; and Andres Glus",138,"Thank you. Good morning, everyone and welcome to our Fourth Quarter 2009 and Earnings Conference Call and Webcast. Joining me today are Paul Hanrahan, our President and Chief Executive Officer; Victoria Harker, our Chief Financial Officer; and Andres Gluski, our Chief Operating Officer and other senior members of the management.Before we begin this morning, I would like to remind you that any statements made herein about future operating results or other future events are forward-looking statements under the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from such forward-looking statements. A discussion of factors that could cause actual results or events to vary is contained in the filings and in the Investor section of our website, www.aes.com. And now, I would like to turn the call over to Paul."
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Executives","Thanks, Ahmed, and thanks to all of you for joining us this morning to review our performance for 2009 and also to talk about our plans going forward. When we held our call just about one year ago, I outlined three priorities that would drive our actions",773,"Thanks, Ahmed, and thanks to all of you for joining us this morning to review our performance for 2009 and also to talk about our plans going forward. When we held our call just about one year ago, I outlined three priorities that would drive our actions throughout 2009. As you may remember, at the time we held the call, we're facing pretty volatile financial markets, and our ability to raise new capital from the markets was unclear. Therefore, our first priority was to manage our liquidity and the cash flow generation from our operating businesses throughout the year, so as to be able to meet the investment needs for our construction pipeline, as well as to selectively invest in new opportunities and our pipeline of advanced development projects. The second priority was to manage our construction program effectively, so as to bring new plants online that would start generating additional cash flows for our portfolio going forward. And our third priority was to pursue development projects selectively that represented low-cost options to invest in value accretive transactions. Our construction pipeline delivered good growth for 2012, the one [ph] that's create the opportunities to deliver attractive growth and the value of our stock beyond 2012.As I look back to what we achieved in 2009, I think we did a reasonably good job in terms of achieving the results that we targeted. As in the past, we benefited from our geographic diversity but more importantly, we benefited from the commitment of the 27,000 people in AES businesses around the globe to rally to hit our targets in a very difficult economic environment. Starting with liquidity at the AES current level, we funded approximately $400 million of equity in our growth investments in 2009, reduced our debt by approximately $200 million and ended 2009 with liquidity balance of $1.26 billion. Going into 2010, we expect to fund the already approved equity investments of approximately $400 million and repay approximately $200 million of maturing debt. We also expect committed asset sales to generate approximately $350 million, an additional cash to parent, although a bit less than half of this would be used to pay down debt to maintain credit neutrality. Adding to that, the expected proceeds of $1.58 billion from the CIC transaction plus free cash flow to AES, we would have approximately $2 billion of cash available at the parent level for new investments in 2010. In terms of our performance in construction, we brought 11 projects with combined capacity of 1,300 megawatts in the commercial operation to date. This included wind projects in the U.S., Europe and China, coal-fired plants in Chile and gas and oil-fired plants in Europe, Middle East and Africa. There was one major disappointment for us on the construction front, however, with our Campiche coal-fired plant in Chile, having its construction suspended with issues associated with zoning, and I'll provide more detail on that later in the call.I'll also talk more about our development activities after Victoria covers the financial results but we did add a significant number of megawatts to our pipeline during this year, particularly with respect to renewable energy projects. Many of you will also recall that we held an Investor Day in May of last year, where we introduced the proportional free cash flow metric, which many of you had encouraged us to do. This is basically a measure of our share of the free cash flows generated by our businesses, less the associated maintenance CapEx. This is the metrics that we believe is a good indicator of value, the one on which we place an intense focus. As you can see from our published financial results, we saw the proportional free cash flow increased to $899 million in 2009 from $466 million in 2008. In addition, our cash distributions from subsidiaries reached a record level of $1.25 billion for 2009, and we saw both of these measures increase despite all of the challenges we faced in the global economic environment. I'd also like to note that providing this proportional cash flow metric provides additional visibility into our financial performance, as we continue to see many one-time non-cash items that are captured by GAAP EPS, in the many cases, our adjusted EPS numbers. And as Victoria reviews our results for the year, she will discuss some of these items. At this point, I'll turn the call over to Victoria who will review the results in detail for the last year and provide guidance looking forward. Following her comments, I'll talk more about our construction development pipelines, as well as our outlook and priorities looking forward. Victoria?"
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Executives","Thanks, Paul and good morning, everyone. As Paul has already discussed, 2009 was a good year. We met or exceeded guidance metrics with all of our key cash flow measures closing the year at the high-end of the range. We also exceeded our guidance for propo",2649,"Thanks, Paul and good morning, everyone. As Paul has already discussed, 2009 was a good year. We met or exceeded guidance metrics with all of our key cash flow measures closing the year at the high-end of the range. We also exceeded our guidance for proportional free cash flow as well as adjusted EPS, particularly when adjusted for our businesses in Oman and Pakistan which have been moved into discontinued operations, as we expect to close these asset sales later this spring. We're also pleased with subsidiary distributions of $1.25 billion, the highest level we've ever achieved, a true testament to the renewed focus on improving day sales outstanding or DSO, efficiency efforts and expense reductions across all functions and businesses. These results not only help generate increase cash to the bottom-line but also helped us to offset foreign currency headwinds and depress demand in many geographies impacted by the recession, particularly in North America. Before I address the numbers specifically, let me provide some context for the types of operational improvement initiatives, through which we continue to maximize value and improved margins this past year. Here are some specifics. In the Philippines, our 660-megawatt Masinloc facility focused this year on building value in three key areas: increase production, reduce exposure to the spot market and improve plant operation. During 2009, improved plant and grid availability helped to increase the plant's production by 62%. Additionally, in line with our strategy to reduce price volatility at the plant, we decreased our reliance on the spot market by selling more power through medium term contracts, with contracted volume increasing 66% to two gigawatt hours in 2009.  Finally, we were able to improve the plant heat rate by 13% due to higher dispatch, as well as a series of technical improvements we implemented over the past year. As a result, Masinloc's gross margin improved by approximately $100 million during 2009. Another example of the financial benefits we have derived from operational improvements this year is at TEG, our 230-megawatt petroleum coal-fired plant in Mexico. Within two years of the acquisition, we have demonstrably improved the operations of the plant. By year-end 2009, availability increased from 73% to 93%, an overall generation output increased by 36% to almost two gigawatt hours. Plant heat rate also improved by 7%. These improvements collectively represent more than $25 million of annualized returns that have now been unlocked there. With these kinds of improvements in place, we were able to produce strong cash flows throughout 2009. Effective working capital management and our continued efforts to reduce our permanent cost structure by $150 million versus the prior year also contributed to cash flow. Reductions include the benefits of our centralization of functions or hobbing, as well as creation of procurement and fuel purchasing synergies.Improvements in working capital were primarily driven by faster collection of receivables, particularly at our Generation businesses in Chile and Pakistan, as well as lower investment in fuel inventories as the result of the decline in fuel prices. As Paul stated earlier, our global diversity stabilized our financial results in a period of extreme market volatility. Although we experienced lower demand in certain markets, we benefited from positive trends in certain businesses outside the U.S. For example in Brazil, where demands within the first nine months of the year was down 1%, we saw a volume increase of 3.6% in the first quarter as that economy emerged more quickly from the recession, led by the growth in the industrial and commercial sectors. In fact, early indicators on 2010 follow a similar upward trajectory, as evidenced by the year-over-year increase of energy sold in Brazil for the month of January of over 4%. Likewise in northern Chile, where the copper mining industry is a large power consumer, we saw 3.6% increase in demand. There, our TermoAndes gas-fired plant was able to increase its production by 45% compared to prior year as demand grew. In central Chile, profitability also improved due to a significant decline in fuel prices combined with the benefits of our new, more efficient plants such as Guacolda 3 and Santa Lidia coming online, which helped to reduced the marginal cost of production by 40%. By contrast and consistent with what the industry has seen across North America for much of the past 12 to 18 months, our operations in New York was adversely affected by lower natural gas prices throughout the year, which declined by more than 50% from 2008. The decline in gas prices resulted in lower demand for coal based generation. As a result, volume at our New York plants decline by 20% compared to 2008. During the second half of 2009, when gas prices were higher than today, we were able to increase forward sales to nearly 50% of expected generation in 2010, hedging somewhat against future price volatility. Likewise, our utility in Indiana experienced a decrease in volume of 6%, similar to what was experienced by other U.S. utilities during the recession. Now let's discuss some specific results for the fourth quarter. On a consolidated basis, our operating cash flow was $316 million versus $609 million in 2008, which was essentially flat on a year-over-year basis when excluding the Brazilian receipts payment acceleration. As you may recall, last quarter, we mentioned a one-time tax payment in Brazil during the quarter. This payment of $331 million was made in the fourth quarter and is the primary driver of the lower year-over-year cash flow, which will be offset in 2010. Subsidiary distributions were $296 million in the fourth quarter. This was in line with our expectations, which puts us at the midpoint of our full year guidance range for this metric. Now turning to several other key cash metrics, which we believe continue to demonstrate the health and stability of the business overall. At the parent level, our capital structure worked to pay down and refinance debt over the prior several quarters has put us in a very comfortable position, as we now have only $240 million in parent debt maturing in 2010. This is very manageable given our parent liquidity of $1.3 billion, including $677 million in cash. We see similar trends at our subsidiaries, where we have $2.7 billion of liquidity including $1.1 billion in cash, sufficient to pay down about $1.8 billion of non-recourse debt maturities due within the next 12 months, should we determine refinancing if they are not cost-effective.Now turning to earnings. For the quarter, EPS was benefited from improved operating performance at our businesses in the Philippines, a lower effective tax rate due to nontaxable earnings at our Brazilian businesses and favorable foreign currency such as the Brazilian real, which appreciated 24% in the fourth quarter of 2009 relative to the same quarter in 2008. Our consolidated gross margin increased $163 million or 24% relative to 2008. Favorable foreign currency exchange rates benefited the quarter by $90 million. Additionally, our Masinloc plant in the Philippines continued to realize the benefit of performance improvements initiative. These gains were partially offset by lower energy sales at our merchant plants in New York, as I just discussed. On a proportional basis, we earned $481 million of gross margin, an increase of $112 million or fully 30% over 2008. Adjusted EPS increased $0.01 to $0.22 due to favorable gross margin, as well as lower effective tax rate. These gains were offset in the quarter by a non-cash charge related to hypothetical liquidation cost and our non-controlling interest calculation at several U.S. Wind businesses of approximately $0.04. These accounting estimates changes do not have an impact to the life of the projects as they will reverse in 2012 and beyond. The quarter also achieved a lower effective tax rate of 23% versus 37% in the same quarter of 2008, due in part to nontaxable earnings at our Brazilian businesses. Now let's recap our results for the full year and how they compared to 2009 guidance.As I mentioned earlier, I'm pleased to report our full year results met or beat our key guidance metrics. In particular, I was very pleased with the cash results for both the consolidated and proportional metrics. Our consolidated operating cash flow of $2.2 billion place us at the top of our 2009 guidance range of $2.1 billion to $2.2 billion. Maintenance CapEx is $622 million, was near the low end of our guidance of $600 million to $700 million. As a result, our consolidated free cash flow exceeded our guidance by approximately $40 million. Likewise, our proportional cash flow metrics reflect similar results. Proportional operating cash flow of $1.3 billion was also within our guidance range. After adjusting for proportional maintenance CapEx of $438 million, our proportional free cash flow was $899 million for the year, exceeding our guidance by approximately $25 million. Subsidiary distributions to the parent for the year were $1.25 billion. This is consistent with our expectations and an increase of almost $200 million versus 2008. Consolidated gross margins of $3.5 billion fell just shy of our guidance of $3.55 billion to $3.65 billion . However, adjusting for the Oman and Pakistan asset sales which have been moved to discontinued operations, we were well within the guidance range. On the same basis, proportional gross margin of $2 billion is also within the guidance range of $2.1 billion to $2.15 billion. Now turning to adjusted EPS. Adjusted earnings per share of $1.08 was within the range of $1.07 to $1.11. However, adjusting for the $0.05 negative impact to EPS associated with discontinued operations, as well as the $0.04 negative non-cash charge for the change in hypothetical liquidation calculations for wind, we were actually above the range. In closing, we are very pleased with the results for 2009, particularly in the context of a very challenging macroeconomic environment. Now I'll spend a few minutes reviewing our outlook for 2010 and 2011.  Before I begin, please keep in mind that the following discussions does not reflect the impacts of the pending CIC equity transaction nor the wind joint venture, either with respect to the receipt of cash or the issuance of shares. That said, our guidance does assume that our Pakistan and Oman asset sale transactions closed in the first half of 2010 and they are on track to do so. In addition, we will also receive a $102 million payment from our Kazakhstan termination agreement and approximately $150 million of proceeds from our Brazil wind investment both of which will add to our liquidity in 2010. All of these items will be reflected in our investing cash flows but not in operating cash, so it will have no impact on adjusted EPS or proportional free cash flow. Overall, our 2010 cash flow metrics are at or above our previous guidance, while adjusted earnings per share and subsidiary distributions are lower due to number of drivers we've already seen in 2009. While we've experienced favorable foreign currency movements since the month of May 2009 guidance update, there are several offsetting factors that I will outline in a moment.Let me provide a little more detail around the 2010 guidance first and how it trends relative to 2009. Our proportional operating cash flow guidance of $1.5 billion to $1.7 billion is an increase over 2009 actuals of $1.3 billion. Likewise, guidance and proportional free cash flow of $900 million to $1.1 billion is also an increase when compared to 2009. For subsidiary distributions, we have lowered the high end of the range by $100 million to a range of $1.1 billion to $1.2 billion. This decrease reflects our anticipation of lower dividends from Hungary and New York, as well as the loss of dividends from Pakistan and Oman. These decreases are expected to be partially offset by improved operations in Chile and Brazil.Our current 2010 adjusted EPS guidance range is $1 to $1.05, which is lower than our prior guidance by approximately $0.08. As I've previously discussed, a portion of this is driven by the non-cash hypothetical liquidation tax revision at certain U.S. wind businesses and the pending sale of our Oman and Pakistan assets whose earnings are now reported in discontinued operations. In addition, lower demand in the U.S. wholesale markets, the effective spot prices on Hungary's operations and rising business development costs all negatively impact earnings as well. These items are somewhat offset by favorable foreign currency impact and the early stages of contribution from 1,500 megawatts coming online in new projects by year end.When compared to 2009, the outlook for this year from an operational perspective is roughly in line with prior trends. That said, certain benefits that we realized in 2009 will not recur this year, which by definition negatively impacts year-over-year comparables. For example, the earnings of $0.12 from our Kazakhstan performance bonus will not recur in 2010 or 2011. Likewise, the significantly lower effective tax rate we saw in 2009 of approximately 26% is expected to return to a more normalized midrange of 30% -- in the 30 in 2010. We also believe that the merchant plants in New York and Hungary will continue to be impacted by lower demand and spot prices. In addition, we expect weaker demand for our North American utility IPL through 2011 leading to negative growth rate. Finally, we will spend more on business development as our efforts to advance in our development pipeline accelerates. Now turning to 2011.  Continuing the trend of stable and growing cash flows, our cash flow metrics are at or above the prior guidance. That said, adjusted EPS is expected to be similarly impacted by nearly the same set of drivers as 2010 but offset to a greater degree by 800 additional megawatts coming in line by year end. As a result, 2011 adjusted EPS expectations decreased by $0.05 from a range $1.20 to $1.30 to a new range of $1.15 to $1.25. Barring any significant macroeconomic shift, what we would have projected to be favorable currency and commodity moves in 2011 are expected to be largely offset by $0.12 headwinds related to lower capacity fees and lower demand for several of our generational plants worldwide particularly in Hungary.Similar to 2010, we also lowered expectations by $0.04 again due to the impact of the non-cash charge related to taxes for the hypothetical liquidation of non-controlling interest at several of our U.S. Wind businesses, as well as lower production at our wind facilities in Texas due to curtailment and lower wind resources. We also anticipate a $0.03 higher spending for business development cost.And finally, we're excluding for now the previously projected $0.03 earnings uptick from Campiche, our 270-megawatt project in Chile will be a temporarily suspended construction pending resolution of the dispute over the environmental permit there. As I mentioned earlier, our guidance does not include any dilution or benefit related to the CIC equity transaction. Our plan is to deploy these proceeds into value-accretive development projects or acquisitions once the transaction is closed. While this will not all occur overnight, the expected dilution in 2010 ranges from $0.07 to $0.09. The low end of this range assumes either a $1.5 billion debt pay down or the midyear investment of $500 million and the mid-teens return project with the remaining $1 billion split evenly between cash and debt pay down. The upper end of the range assumes to only pay down $500 million in debt in the near term and retain the remainder in cash for investment in our pipeline of development projects or strategic acquisitions.In summary, 2009 was a good year. We achieved our financial goals while at the same time, laying the foundations for continued growth in 2010 with stable and cost-effective platform on which to scale. We're comfortable that we have the right people and plans in place to ensure the highest levels of execution as we pursue these investments. With that, let me turn it back over to Paul."
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Executives","Thanks, Victoria. As we look out into 2010, our priorities remain similar to those that we outlined a year ago. One, strengthen liquidity and cash flow generation, so as to be able to execute on investment opportunities. Two, successfully build out our re",772,"Thanks, Victoria. As we look out into 2010, our priorities remain similar to those that we outlined a year ago. One, strengthen liquidity and cash flow generation, so as to be able to execute on investment opportunities. Two, successfully build out our remaining construction pipeline and three, deploy our liquidity to value accretive M&A and Greenfield development opportunities. Let me now talk a bit about our construction program.As I mentioned earlier, we've already completed 1,300 megawatts of our construction pipeline but we also have another 2,000 megawatts that will come online by the end of 2011. This capacity includes wind projects in Europe and China, solar projects in Europe, coal projects in Chile and Bulgaria and hydro projects in Latin America and Turkey. One project that isn't included in the above numbers is our 270-megawatt Campiche project in Chile. Work in this project remains suspended as we continue to seek resolution of the permitting issues that we discussed during previous calls. Since our last report, the governor of Chile has resolved the zoning issue related to the project. We subsequently applied for new environmental permit in January, which was approved on February 22. While we're encouraged by the developments, there are few additional conditions to resolve before we can restart construction. These include an appeal period, as well as securing final construction permits. And once we have all the permits, we intend to recommence construction. Now I'd like to give you an update on our view of the growth opportunities and some related points.It's worth noting that many of the markets where we have been developing Greenfield projects have continued to see increased demand for power unlike here in the United States. We also continue to see high growth rates in demand for renewable projects globally. Because of this, we continued developing projects in both renewable energy and in geographic areas with continued needs for new thermal generating capacity. For example in Asia, we have a pipeline of more than 4,000 megawatts including two 1200-megawatt coal-fired projects in India, a 1200-megawatt coal-fired project in Vietnam and an expansion of our 600-megawatt Masinloc facility in the Philippines. We're also pursuing wind, hydro and solar projects in Asia, which is becoming an increasingly robust market for renewable energy. We also continued development of other renewable projects globally through the various incentives in different countries. In wind, we grew our pipeline to 1,200 megawatts of projects in advanced stages of development in the U.S., Europe and China. In AES Solar Energy, out joint venture with Riverstone which has an advanced pipeline of 600 megawatts focused on Europe and now to an increasing extent, is looking towards the United States and India, where markets are improving due to the increased levels of government support. We currently have a total of over 9,000 megawatts of Greenfield projects, both renewables and thermal power in advanced stages of development. Of these, the majority of the opportunities are in Asia in terms of location and 42% are in renewable energy sectors in terms of fuel types. In addition, once we have the capital available from our asset sales and the CIC transaction, we will be positioned to pursue select M&A opportunities, where the cash flows and earnings will be more immediate than Greenfield construction projects. In terms of our pending equity transaction with CIC, in which it will invest $1.58 billion in exchange for an approximate 15% interest in AES, we're making good progress with securing the required regulatory approvals. We'll keep you posted on our progress in the coming weeks. And regarding the letter of intent with CIC to purchase an interest in our Wind business, we're also making good progress. Our expectation is that the transaction could close during the second quarter of 2010. If successfully executed, this transaction would result in an investment of $571 million in exchange for a 35% interest in AES Wind Generation. I do want to point out however, that the LOI is non-binding and subject to due diligence which is currently ongoing. In closing, we had a good year in 2009. We did what we set out to do and have positioned ourselves to capitalize on attractive opportunities in our industry globally. We have a strong pipeline of projects in construction and in development. We also have the capital needed to execute our Greenfield program and selectively pursue attractive M&A opportunities, and we'll be keeping you updated as the various opportunities progress over time. Thanks again for joining us today and now we'll open up the call for questions and answers. And Julie, would you please open up the lines for questions?"
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Operator","[Operator Instructions] The first question is from Lasan Johong from RBC Capital Markets.",13,"[Operator Instructions] The first question is from Lasan Johong from RBC Capital Markets."
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Analysts","On the guidance, Victoria, I'm a little puzzled. The adjusted EPS, it looks like there's a little bit of apples and oranges going on here. It looks like the new guidance contains the wind write-off, and Oman, Pakistan asset sales while the old guidance at",55,"On the guidance, Victoria, I'm a little puzzled. The adjusted EPS, it looks like there's a little bit of apples and oranges going on here. It looks like the new guidance contains the wind write-off, and Oman, Pakistan asset sales while the old guidance at least did not contain the wind write-off, is that right?"
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Executives","Yes. That's a charge that we took in the fourth quarter and that we have also now applied to '10 and '11, which will reverse in '12 and beyond. It's the non-cash impacting adjustment that we were not aware of at the time we gave the guidance in May.",49,"Yes. That's a charge that we took in the fourth quarter and that we have also now applied to '10 and '11, which will reverse in '12 and beyond. It's the non-cash impacting adjustment that we were not aware of at the time we gave the guidance in May."
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Analysts","So then, is it safe to say adjusted for these kind of one-time on an apples-and-apples basis that your guidance is either flat to maybe even be slightly up?",29,"So then, is it safe to say adjusted for these kind of one-time on an apples-and-apples basis that your guidance is either flat to maybe even be slightly up?"
35312,98691669,51817,"The AES Corporation, Q4 2009 Earnings Call, Feb-26-2010",2010-02-26,"Earnings Calls","The AES Corporation","Executives","Yes.",1,"Yes."
