"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Operator","At this time, I would like to welcome everyone to The Coca-Cola Company's Fourth Quarter and Full Year 2009 Earnings Results Conference Call. [Operator Instructions]  I'd now like to introduce Jackson Kelly, Vice President and Director of Investor Relatio",44,"At this time, I would like to welcome everyone to The Coca-Cola Company's Fourth Quarter and Full Year 2009 Earnings Results Conference Call. [Operator Instructions]  I'd now like to introduce Jackson Kelly, Vice President and Director of Investor Relations. Mr. Kelly, you may begin."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Executives","Good morning, and thank you for being with us again today. I'm joined by Muhtar Kent, our Chairman and Chief Executive Officer; and Gary Fayard, our Chief Financial Officer. Following prepared remarks this morning, we will turn the call over for your ques",174,"Good morning, and thank you for being with us again today. I'm joined by Muhtar Kent, our Chairman and Chief Executive Officer; and Gary Fayard, our Chief Financial Officer. Following prepared remarks this morning, we will turn the call over for your questions.Before we begin, I would like to remind you that this conference call may contain forward-looking statements, including statements concerning long-term earnings objectives and should be considered in conjunction with cautionary statements contained in our earnings release and in the company's most recent periodic SEC report.In addition, I would also like to note that we have posted schedules on our company website at www.thecoca-colacompany.com, under the Reports and Financial Information tab in the Investor section, which reconcile certain non-GAAP financial measures that may be referred to by our senior executives in our discussion this morning and, from time to time, in discussing our financial performance to our results, as reported under Generally Accepted Accounting Principles. Please look on our website for this information. Now let me turn the call over to Muhtar."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Executives","Thank you, Jackson and good morning, everyone. Before I begin, I'd like to acknowledge the victims of the terrible tragedy in Haiti. The global Coca-Cola family continues to focus its efforts and resources in support of the millions of Haitians who are su",2311,"Thank you, Jackson and good morning, everyone. Before I begin, I'd like to acknowledge the victims of the terrible tragedy in Haiti. The global Coca-Cola family continues to focus its efforts and resources in support of the millions of Haitians who are suffering following last month's devastating earthquake, and I'd like to urge everyone who's listening to this call to contribute to one of the many worthy organizations that are helping to provide relief in this time of great need.Now let me begin by saying that I'm very pleased to report that we ended 2009 with solid growth for both the quarter, as well as the full year. We achieved this through strong system alignment, guided by the shared values and strategies in our 2020 Vision, which is our roadmap for winning together with our bottling partners. As we enter a new decade, I'm pleased to say that the foundation of our business, our wonderful dynamic brands, our strong financial position and our unmatched global footprint is stronger than ever. Our global share is growing, this is our 10th consecutive quarter of winning total nonalcoholic ready-to-drink volume and value share. At the same time, we are generating consistently strong and steady cash flow, while investing in our business for the long term. We are also thinking and acting like an integrated global enterprise, while intensifying our local focus. And we remain confident in our ability to deliver consistent, long-term sustainable results as we usher in another exciting decade of growth for our Coca-Cola system. This past quarter, we delivered strong international unit case volume growth of 6% cycling 6% growth from the prior-year quarter. And total worldwide unit case volume increased 5% cycling 4%. I think it is important to remember that we achieved these results despite the ongoing impact of the global recession across many markets. Strong economic headwinds are still impacting the broader consumer good sector, especially in the developed world. Key international markets are fueling significant volume growth for us. China was up 29% in the fourth quarter, the 26th consecutive quarter of double-digit growth. For the full year 2009, China was up 16%. This has widened the share gap against our primary competitor in this key market. India was up 20% for the quarter and 31% for the full year. We've captured volume and value share across both the sparkling and still categories for the quarter and the year. And in Latin America, we delivered consistent growth across our entire portfolio, also gaining share in both the sparkling and still categories for the quarter and also for the year. Brazil was up 8% for the quarter and 4% for 2009 full year and Mexico was up 4% for the quarter and 6% for the full year.Just to put this in perspective, the 2009 incremental volume from China, India and Mexico and Brazil, four countries alone, was equal to adding another, Germany, our sixth largest market to our business. No question, absolute growth is vital. That said, we remain laser-focused on delivering profitable growth. Today, we are pleased to report full year comparable currency neutral operating income growth of 7%. This is in line with our long-term growth target, which we have met or exceeded for the fourth straight year.Equally important, we continue to implement three consistent strategies with our bottling partners. The first is investing ahead of demand in emerging markets; secondly, maximizing capture of value in developing markets; and thirdly, driving profitable growth in developed markets. Along with our global bottling partners, we are winning together locally by effectively executing these strategies in order to best serve each market's unique consumer and customer needs. Our results are a testament to our seasoned system-wide operating teams, who regardless of the market condition, remain focused on engaging consumers, providing value for our customers and building our brand.We shared our 2020 Vision with many of you during our investor and media event in Atlanta last November. Now as we enter 2010 and embark on another era of growth for our Coca-Cola system, we remain very positive about the broader macro trends. We also remain firm in our belief that there is absolutely no better business than the non-alcoholic ready-to-drink beverage business. Consumers, all around world enjoy our brands on average 86 times per year, what we refer to as our per capita consumption. Of course, there are many countries across each continent where per capita consumption is much higher. We will have many other countries like India, like China, Indonesia to name a few that are far below 86, and therefore, offer us significant growth opportunities. And as our 2009 results attest, we believe that we are well-positioned to continue capturing growth in these and all other markets.In the coming decade, as a billion new customers enter into the middle class around the world, we see great opportunity for our per capitas to continue rising. So while we are selling moments of pleasure at cents at a time, 1.6 billion servings everyday, we feel that there is tremendous opportunity, both today as well as tomorrow. And we firmly believe that our great Coca-Cola our system and our 700,000 associates who refresh the world with our brand every single day, are ideally-positioned to help us capture this opportunity and achieve and surpass the goals of our 2020 Vision.Looking forward to 2010 and beyond, we remain intently focused on what critically matters to the long-term growth and success of our business, communicating with our consumers and investing in our brands. Let me just quickly walk you through both of these priorities.First, communicating with our consumers. We have wonderful platforms in place to expand our communication and connect with consumers all across the world. Our plans include engaging consumers in a way that only Coca-Cola can, through our long-standing partnerships with the world's most iconic global sporting events, both occurring this year. First, for the Vancouver 2010 Olympic Winter Games, we launched the 12-month brand activation plan in Canada. We also launched the widespread program across 11 countries that includes the Olympic Torch Relay, consumer as well as customer events. In addition, our Open The Games digital experience has been fully-activated in the United States, as well as Canada and also in six European nations. In addition, we are executing our FIFA 2010 World Cup program. This global football event is the single largest sporting event in the world. It is watched in over 200 countries. Given that 2010 World Cup will be held on the African continent for the very first time, we're likely to see a global television audience of well over 1 billion viewers for the final match alone. In other words, 10 times the size of the Super Bowl. So it shouldn't come as a surprise that our FIFA 2010 activation will be our most comprehensive campaign ever. It will include global commercials, online programs, commemorative packaging and a 225-day World Cup Trophy Tour touching 86 countries.In addition to sports, we're also undertaking our most ambitious social media program ever. It is called Expedition 206, a team of three young Happiness Ambassadors traveling to the 206 countries where Coca-Cola is sold, all to seek out what makes people happy. This exciting program engages consumers both online and on the ground, allowing fans to interact with and follow our team's realtime updates as they crisscross the globe. Let me share how this program is quickly becoming a global phenomena. In January, the team spent most of their time making stops across Latin America. At the same time, the program generated nearly 400 million media imprints in China alone. And of course, our award-winning Open Happiness global campaign continues to connect with more and more consumers around the globe. At the end of 2009, the campaign was running in markets representing approximately 95% of our global Coca-Cola volume. Our most recent Open Happiness television commercials were prominently displayed during this past Sunday's Super Bowl, with MSNBC naming our Simpsons-themed Hard Times commercial, the games number one spot and our sleepwalker ranking on the top five on USA Today's ad meter. The common thread in all of these initiatives is that they enable us to speak efficiently and effectively, directly and passionately to consumers in every single nation. And they do so in a way that it's uniquely Coca-Cola, inspiring moments of optimism and happiness.Now for the second priority, let me turn to investing in our brand. As in 2009, we will maintain a relentless focus on growing our sparkling portfolio and on expanding our still beverages faster. Momentum is on our side. While unit case volume for sparkling beverages grew 1% for the full year in the fourth quarter of 2009, we saw 3% growth with our sparkling international performance, up 5%. Pacific increased sparkling beverages 9% for the quarter and 6% for the whole year. Latin America grew sparkling beverages 5% for the quarter and 3% for the full year. Eurasia and Africa sparkling beverages gained 4% for the quarter and 3% for the full year. And while sparkling beverages in Europe were down 1% for the full year due to the difficult economic challenges faced throughout the region, they were actually up 1% for the quarter.Importantly, brand Coca-Cola grew 4% this past quarter, positive proof that our strategy of winning with Coca-Cola is leading the charge for us all around the world. And while sparkling beverages in North America declined 2% in the quarter as a result of continued macroeconomic pressures, this performance was a sequential improvement relative to the first nine months of the year. In fact, let me take a moment to reflect on our sound progress in North America this past year.We made critical investments in our brand and provided greater consumer choice by developing innovative packaging and industry-leading labeling practices. Our $0.99 cold contour bottle, 2-liter contour package and a new sleek mini-cans that make portion control easy, are great examples of how we provide consumers with affordable value and our system and customers with profitable growth. In addition, Coca-Cola Zero delivered double-digit volume growth for the 15th consecutive quarter. At the same time, we expanded key initiatives and best practices to drive benefits across our North America system, including extending our incident space pricing model to bottlers representing more than 90% of our sparkling volume, further deployment of RED—right execution daily, and also, continued progress with Coca-Cola supply on track to exceed our three-year goal of $150 million in supply chain productivity. All of these are ample evidence that our North America system is operating from a position of increasing strength. Now let me move to our still beverage, which are also experiencing tremendous momentum in the market place. Overall, our global still beverage portfolio grew 9% in the fourth quarter and 8% for the full year. This growth was consistent and widespread. Each of our five operating groups registered positive still beverage growth for the full year. Latin America still beverages grew 24%, expanding our portfolio of well-established and emerging brands. Both Pacific and Eurasia and Africa group still beverages gained 8% and Europe still beverages increased 2%, and North America still beverages were up 1%, growing both volume and value share in the still category for the second consecutive year. In addition, Simply, our premium North America juice brand, joined the ranks of our billion-dollar brand at retail, becoming our 14th billion-dollar brand. We see great opportunity in 2010 to grow Still beverages faster by leveraging our unique geographic footprint. Let me just give you a couple of examples. Take vitaminwater for example. By the end of 2009, vitaminwater was in 60 international cities, adhering closely to our influential model strategy of focusing on select premium outlets that build brand equity. We have captured over 20 miles of incremental shelf space in over 100,000 stores through this international expansion efforts. In 2010 we plan to expand into more influentials cities abroad, while strengthening and growing our presence in existing markets. Similarly with POWERade, we will launch our first-ever integrated campaign across our top 20 markets. These markets make up 95% of the brand's volume. All of this will be done in conjunction with our FIFA World Cup activation program. And with Minute Maid, we are leveraging a common global identity system to drive marketing productivity in our leading juice brand, while maintaining our local relevance. This also enables us to quickly expand successful brands across borders, as in the case of Minute Maid Pulpy which began in China and was launched in 11 markets by the end of 2009. We also introduced Minute Maid Pulpy in Mexico last month and plan to expand additional markets in Latin America as well as Africa in 2010.You will recall that we indicated to you at the start of last year that 2009 was going to be a challenging year for our business and in fact for all businesses. We also said that we might miss our long-term growth target in the quarter or two over the course of the year. Yet, it is clear that 2009 was a very solid year for us and we are very pleased with our results despite the challenging environment. We stay true to our word and remain confident that we will keep winning together with our great bottling partners in 2010. That said, with consumers still challenged by a mixed global recovery, there again may be bumps along the way with some quarter-to-quarter volatility still possible as we move through 2010.However, we look forward to another exciting decade of growth for our Coca-Cola system. Our 2020 Vision is clear, our strategies are sound, our system is well-positioned and we remain focused on meeting or exceeding our growth targets over the longer term, while always driving sustainable shareholder value. With that, let me turn the call over to Gary."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Executives","Thanks, Muhtar and good morning, everyone. As Muhtar indicated in 2009, we continued to deliver consistent, sustainable quality growth, growing  volume, share and comparable currency neutral revenue and profit. Importantly, we delivered against our 2009 c",1351,"Thanks, Muhtar and good morning, everyone. As Muhtar indicated in 2009, we continued to deliver consistent, sustainable quality growth, growing  volume, share and comparable currency neutral revenue and profit. Importantly, we delivered against our 2009 commitment, growing volume and profit in line with our long-term targets on a full year basis.First, let me remind you that in the fourth quarter of 2009, we had six fewer selling days than in the same period in 2008. Now I'd try to call out the impact of these days as I review our results for this past quarter. As outlined in our release, we reported comparable earnings per share of $0.66, up 3% versus the prior year. Full year reported earnings per share were $2.93, up 18%, while comparable earnings per share were $3.6, down 3%, reflecting up large negative currency impact.For the quarter, our business delivered 5% revenue growth, driven by a 1% increase in concentrate sales and a 5% positive currency impact. We estimate fourth quarter net revenues would have been in line with our long-term targets if adjusted for the impact of the six fewer selling days. And excluding structural changes, our comparable currency neutral net revenues increased 4% for the full year. For the quarter, comparable currency neutral operating income was flat, again impacted by the six fewer selling days that I mentioned earlier. Adjusting for that impact, we estimate the currency neutral operating income would have been ahead of our long-term growth targets. For the full year, comparable currency neutral operating income was up 7%, in line with our long-term currency neutral profit target, and in fact up 8%, adjusting for structural change.SG&A expenses were up 9% in the quarter and increased 2% on a currency neutral basis, so seven points of currency in that 9% increase. This increase was partly attributable to an increase in incentive costs, as well as an increase in pension cost due to a decline in the value plan assets in 2008 and lower discount rates.Now I do want to highlight our continued commitment to our brands. As I highlighted last quarter, we've increased our spending and point-of-sale marketing and activation programs to engage and win with consumers within the four walls of our customer outlets. When taken in combination with our direct marketing expenses, we increased our overall marketing investments for the fourth quarter and sustained them for the full year. As I shared last quarter, we expected our operating expense leverage to be negative for the fourth quarter due to the six fewer selling days. Accordingly, our leverage for the fourth quarter was slightly negative, offsetting the operating leverage benefit we reported in the first quarter, when we had five more days in the quarter.Importantly on a currency neutral basis, our operating leverage for the full year was a positive three points in line with our expectations. Our cash flow from operations increased 8% to $8.2 billion for the full year, in spite of the currency headwinds, reflecting the strength of our underlying business performance.For the full year 2009, we repurchased approximately $1.5 billion in stock, which is more than the $1 billion that I indicated in our last call. Given the strong performance of our stock in 2009, we experienced greater activity in our stock option programs in the fourth quarter and we ramped up our repurchases in response to that activity. As for 2010, we expect to repurchase an additional $1.5 billion in stock over the course of the full year.Lastly, let me touch on price mix. We achieved positive pricing for both the quarter and the full year. We're particularly pleased with these results as it was accomplished while implementing brand building affordability programs across many markets in response to the challenging consumer sentiment. As for geographic or country mix, as anticipated, our emerging markets are recovering from the global recession at a quicker rate than our developed markets, resulting in unfavorable geographic mix at a consolidated level. Therefore in the fourth quarter of 2009, we saw price mix slightly down at minus 1%, yet for the full year price mix was even, all while we grew volume and gained the global volume and value share. These results reflect our continued efforts, focus and commitment to both play and win in every type of market as they come out of this global crisis.As for 2010, it would be reasonable to expect similar price mix result to 2009, as consumer sentiment continues to improve at varying rates across our geographic portfolio. And looking beyond 2010, we would expect to see positive price mix over the long term.Now let me take a moment to provide an initial outlook on some of the other key factors that we see impacting 2010. Many of you are aware of the recent devaluation of the Venezuelan Bolivar and the country's designation as a hyperinflationary country for accounting purposes. As a result in the first quarter of this year, we will incur a one-time exchange loss from remeasurement of approximately $100 million, and that remeasurement of our net assets in Venezuela will be recorded below operating income. As for currencies overall, after considering current spot rates, before what we're seeing happened to the dollar this morning, the anticipated benefits of our hedging coverage, the cycling of prior-year exchange rates and impact of the Venezuela devaluation on our local operations, we expect currencies to have a slightly positive impact on operating income for the full year 2010, with the benefit more heavily weighted in the first half of 2010. And you may have seen that the dollars started weakening again this morning. We will maintain our disciplined approach to SG&A in 2010. While we'll be cycling the initial benefits of our productivity initiatives, we expect to capture between one and two points of operating leverage in 2010 from our productivity programs. Importantly, we remain on track to deliver $500 million in annual savings from this productivity initiatives by year-end 2011.From a capital expenditure standpoint, we expect to maintain our capital investment levels in line with the levels of the past several years. For 2010, our best estimate is that the full year underlying effective tax rate will be in the range of approximately 23% to 23.5%. And then two other modeling items, first I'm happy to tell you we're were not going to have a day swing of five and six days like we did in '09, but we will have a day swing of one day. The first quarter of 2010 will have one less day, the fourth quarter of 2010 will have one more day. Lastly, let me take a moment to address some recent accounting rule changes as required by the Financial Accounting Standards Board. Effective January 1 of this year, we are no longer consolidating certain entities, primarily some bottling operations. And let me emphasize this will not impact our consolidated net income earnings per share, but it will impact our 2010 reported results when compared to our '09 results, especially within our bottling investments group. Specifically, and this is for the full year 2009, the entities that were deconsolidated as the first part of this year accounted for 3% of our consolidated net revenues and 2% of our consolidated operating income. We'll let you know how this change impacts our comparable results during each quarter this year.In closing, as I look back at 2009, it was a successful year and I'm very happy with our results. Despite challenging economic conditions, we delivered against our volume and profit growth targets. We strengthened our brands, our company and our global system. And thanks to the efforts of our experienced management team and our system bottling partners, we are much better positioned as we began to emerge from this difficult economic times. So while we expect the economic environment to stay challenging in 2010, our success these past 12 months reaffirms our confidence that we will continue to gain global share and have the value of our brands and drive long-term profitable growth and value for our shareholders. Operator, we are ready for your questions."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Operator","[Operator Instructions] Our first question is from Marc Greenberg with Deutsche Bank.",12,"[Operator Instructions] Our first question is from Marc Greenberg with Deutsche Bank."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Analysts","Muhtar, using history as a guide, what kind of system boost do you think you might see, both in local markets and overall as a consequence of World Cup and Olympics? And as for the media, how do you think the African consumers will appreciate the Simpsons",48,"Muhtar, using history as a guide, what kind of system boost do you think you might see, both in local markets and overall as a consequence of World Cup and Olympics? And as for the media, how do you think the African consumers will appreciate the Simpsons ad?"
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Executives","I think it's fair to say that the World Cup property really does generated tremendous amount of excitement across the world, particularly in countries in Europe and Latin America, but this time of course, Africa is completely engulfed by it as well. And I",165,"I think it's fair to say that the World Cup property really does generated tremendous amount of excitement across the world, particularly in countries in Europe and Latin America, but this time of course, Africa is completely engulfed by it as well. And I think it's unique that it isn't on the African continent, a special treat for South Africans, of course. But also for -- and the most important thing also is that when it's played in Asia, you have some issues with timing in terms of viewership, but this time, Europe timezone and Africa is identical pretty much, so that is an additional benefit. I think the last time we had the World Cup, we saw some very encouraging results in our business with both very small, medium and large customers across the whole world, particularly in Europe and Latin America. And this time I think certainly that we will see a tremendous excitement in addition to those continents from also Africa."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Analysts","If I can just follow up briefly. Gary, on the bottler investments, you saw some benefits from volume leverage and input cost deflation on the bottler group. If we take out a lot of the currency shifts, where do you think the underlying bottler investment",49,"If I can just follow up briefly. Gary, on the bottler investments, you saw some benefits from volume leverage and input cost deflation on the bottler group. If we take out a lot of the currency shifts, where do you think the underlying bottler investment margins are right now?"
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Executives","Well, one thing I'd say about the Bottling Investments is remember the hospital ward concept, and that the only reason those bottlers are in there is for some kind of issue that was with the bottler when we took it over. And I think the area [ph] has been",143,"Well, one thing I'd say about the Bottling Investments is remember the hospital ward concept, and that the only reason those bottlers are in there is for some kind of issue that was with the bottler when we took it over. And I think the area [ph] has been very consistent that -- forget commodities, forget currencies, forget everything else, that over time, we're going to see continuing improvement in margins within the Bottler Investment Group (sic) [Bottling Investment Group], and we're seeing those. We're seeing them quarter-by-quarter and year-by-year, and I think you'll continue to see those where we're now seeing some of those bottlers actually coming up to kind of world-class types of margins. We still got margin issues and others, but they're improving over time and so I'd say, we're very comfortable with where it is, and they're still improving."
26642,84286466,49159,"The Coca-Cola Company, Q4 2009 Earnings Call, Feb 09, 2010",2010-02-09,"Earnings Calls","The Coca-Cola Company","Executives","Just one thing to add on that maybe, Marc, is that the way I look at all these bottlers that are being manned currently, where we have equity, majority and most of the time and manage them, is I put them into three groups, really. I'd say group one, ready",75,"Just one thing to add on that maybe, Marc, is that the way I look at all these bottlers that are being manned currently, where we have equity, majority and most of the time and manage them, is I put them into three groups, really. I'd say group one, ready now; group two, ready in one to two years; and then group three, ready in three-years plus, and we have some in all three groups."
