"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Operator","Good day and welcome to the Unum Group fourth quarter 2009 earnings results conference call. As a reminder, today's call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Mr. Tom White. Please go",46,"Good day and welcome to the Unum Group fourth quarter 2009 earnings results conference call. As a reminder, today's call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Mr. Tom White. Please go ahead.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Executives","Great. Thank you, operator. Good morning everyone and welcome to Unum's fourth quarter 2009 analyst and investor conference call.Our remarks this morning will include forward-looking statements which are statements that are not of current or historical",238,"Great. Thank you, operator. Good morning everyone and welcome to Unum's fourth quarter 2009 analyst and investor conference call.
Our remarks this morning will include forward-looking statements which are statements that are not of current or historical fact. As a result, actual results might differ materially from results suggested by these forward-looking statements. Information concerning factors that could cause results to differ appears in our filings with the Securities and Exchange Commission and are also located in the section titled ""Cautionary Statement Regarding Forward-Looking Statements"" and ""Risk Factors"" in the company's Annual Report on Form 10-K for the fiscal year ended December 31, 2008 as well as subsequently filed Form 10-Qs. Our SEC filings can be found in the Investor Section of our website at unum.com. Please take note that the statements in this morning's call speak only as of the date they are made and we undertake no obligation to publicly update or revise any forward-looking statements.
A presentation of the most directly comparable GAAP measures and reconciliations with any non-GAAP financial measures included in today's presentation can be found on the website in the Investor Section. Participating in this morning's conference call are Rick McKenney, Executive Vice President and CFO, as well as the heads of our three core operating segments, Kevin McCarthy, Randy Horn and Susan Ring.
And you now I'd like to turn the call over to Unum's President and CEO, Tom Watjen. Tom?
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Executives","Thank you, Tom and good morning. I'll start my comments this morning with just a few observations on the fourth quarter and then Tom White will then review our operating results for the quarter and Rick McKenney will follow up with some of his comments on",684,"Thank you, Tom and good morning. I'll start my comments this morning with just a few observations on the fourth quarter and then Tom White will then review our operating results for the quarter and Rick McKenney will follow up with some of his comments on the quarter including a review of our capital management and investment portfolio results.
In the fourth quarter, we saw a continuation of many of the positive operates and financial trends of the past several quarters and frankly was a very solid year for this company, especially given the difficult economic and business environment. And let me touch on a few highlights I'd like bring your attention.
First, excluding the net realized after-tax investment gains and losses, we reported $0.66 per share in operating income for the fourth quarter, ahead of last year's fourth quarter of $0.63 per share. The operating earnings of our core operations increased 10%, driven in large part by an 11% increase in operating results in Unum U.S., but also with solid performance in Unum U.K. and Colonial Life. The soft economy and ongoing high levels of unemployment continue to put pressure on our ability to grow the top line, but our risk experience across all of our businesses has remained general stable.
Second, while our overall sales results for the quarter were below our long-term expectations, we did see some positive trends this quarter. For Unum U.S., fourth quarter 2009 core market sales were down 1%, but for the full year actually grew 8%, a strong achievement driven by increased sales to new customers which offset weaker sales results to our existing customer base.
Additionally in Unum U.S., we saw a strong pickup in voluntary benefit sales which increased 13% in the fourth quarter. Sales in Unum U.K. remain strong as we continued to benefit from the exit of a competitor in that market and sales at Colonial grew at 4% in the fourth quarter and 1% for the full year, a solid result in Colonial's marketplace.
Generally speaking, many of the same trends we saw in the first three quarters of 2009 continued in the fourth quarter. The premium income under pressure across all of our businesses as employers are reluctant to add new benefits in this environment and in many cases are reducing employment levels. While we have within very successful in adding new customers, it's only partially offset the pressure felt by the lack of growth within our existing customers.
Third, the investment portfolio continues to perform well and whereas in the investment quality continues to remain very high. Our net realized investment losses are manageable and Rick McKenney will cover this in more detail in a moment.
And finally, we continue to build significant financial strength and flexibility. Again, Rick will provide greater detail on our capital position, but we are comfortable -- but we comfortably exceeded our 2009 targets for holding company capital and risk based capital and we are well on our way to meeting our 2010 targets.
In summary, I feel very good about our fourth quarter results and our position as we move into 2010. Our core operating segments continue to perform well and are generally meeting our expectations. The strong risk results and the margins we are producing reflect our emphasis on disciplined pricing underwriting a risk selection and position us well for profitable growth as the overall economy improves.
Sales momentum in our targeted markets remains generally positive. Our strong value proposition and broader way of product reported by our commitment to service is serving us well in the marketplace. While the economic and competitive conditions may continue to adversely impact premium growth, we will remain disciplined and will not stretch for growth.
Our investment portfolio continues to remain in excellent shape. And finally, with our strong balance sheet and excess capital position, we have significant financial flexibility which we continue to believe is a valuable asset, especially in today's economic environment.
Now I'll turn the call over to Tom White who will provide an overview of our operating results for the quarter. Tom?
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Executives","Thank you, Tom. Net income for the fourth quarter was $199.4 million or $0.60 per diluted common share compared to net income of 41.8 million or $0.13 per diluted common share last year.Included in the results for the fourth quarter of '09 are net reali",1058,"Thank you, Tom. Net income for the fourth quarter was $199.4 million or $0.60 per diluted common share compared to net income of 41.8 million or $0.13 per diluted common share last year.
Included in the results for the fourth quarter of '09 are net realized after-tax investment losses of $18.9 million or $0.06 per diluted common share compared to losses of $167.6 million or $0.50 per diluted common share in the fourth quarter 2008. These amounts include the change in fair value of an embedded derivative in a modified co-insurance arrangement which resulted in a fourth quarter 2009 realized after-tax investment gain of compared to a $120.1 million after-tax loss in the year-ago quarter.
Net realized after-tax investment losses related to sales and write-offs of investments were $41.6 million in the fourth quarter of '09 compared to $47.5 million in the year-ago quarter. So excluding these items, after-tax operating income was $218.3 million for the quarter or $0.66 per diluted common share compared to 209.4 million or $0.63 per diluted common share in the year-ago quarter.
Now moving to the operating results. In total, the Unum U.S. operating income increased 11.2% to $203 million in the fourth quarter. Within Unum U.S., the group disability line reported another strong quarter with income up 22% to $72.6 million.
We continued to see improvement in the benefit ratio which declined to 84.6% in the fourth quarter compared to 88.7% in the year-ago quarter and 85.3% in the third quarter this year. A number of factors continue to drive this improvement including favorable business mix shift, net favorable claims experience and ongoing adherence to pricing discipline.
Premium income declined 6% in the quarter reflecting in large part the impact of today's high level of unemployment on the natural growth of our business. The Unum U.S. Group Life and AD&D line operating income in this line declined to $47.7 million in the fourth quarter compared to $50.3 million in the year-ago quarter, primarily driven by lower premium income which declined by 2.6% and a slightly higher expense ratio. This quarter's been fit ratio of 69.9% was stable compared to the 70% benefit ratio in year-ago quarter.
The Unum U.S. supplemental and voluntary business lines fourth quarter income was strong growing 14% to $82.7 million, all three primary business lines, that is the individual disability recently issued, the long-term Caroline and the voluntary benefits line had year-over-year improvement in operating income.
Reported sales on a fully insured basis for Unum U.S. declined by 2.8% in aggregate. As Tom highlighted, core market sales for our group lines, which are LTD, STD, Group Life and AD&D combined, declined by approximately 1% in the fourth quarter, but for full year 2009 sales in the core market increased by 8%.
Sales in the large case market for these lines declined 7.7% in the fourth quarter, but grew by 1.2% for the full year. So, the mix of core market to large case sales in 2009 is 68% in the core market and 32% in the large case market.
The supplemental and voluntary lines reported a combined sales decline of 2.6%. The voluntary benefits line had improved sales this quarter, increasing 12.6% over a year ago, with particularly strong sales in the under 2000, life segment of the market where VB sales increased 20% in the fourth quarter.
Moving to Unum U.K, operating income in this segment increased 12.3%, to $61.3 million in the fourth quarter. The strengthening of the British pound provided a benefit to this quarter's result, as income in local currency increased by 8.7%. The underlying operating performance in the U.K. remains very healthy, with before tax operating margin of 34% in the fourth quarter and 36% for the full year.
The benefit ratio in Unum U.K. declined to 59.6% in the fourth quarter, from 63% a year ago. New claim incidents trends and claim recovery performance in the group long-term disability line were generally favorable relative to a year ago, while risk experienced in the Group Life line were slightly worse.
Fourth quarter sales remained very strong increasing 48% in local currency, as we benefit from the exit of a competitor in the U.K. group risk market. Looking into 2010, this benefit will not persist as the majority of that available business has been placed and we expect to see more challenging sales comparisons again next year in 2010.
Our Colonial Life, concluding our core operations, Colonial Life finished a strong year with growth in fourth quarter operating income of 3%, to $68.3 million. Premium income in Colonial Life grew 3.3%, while the benefit ratio of 48.5% this quarter was slightly elevated compared to the benefit ratio of 48.3% a year ago.
Sales at Colonial Life continued to be encouraging, despite the difficult economy and business environment, increasing 3.7% in the fourth quarter and 1.1% for full year 2009.
Many of the same trends we have discussed with you throughout 2009 continue this quarter, with strong new account growth of 17.9% in the fourth quarter, compared to a year ago.
We also saw favorable sales growth of 15% this quarter in the public sector, an important market for Colonial Life which contributes about a quarter of its sales. Recruiting continues to remain strong, with growth in new rep contracts, up 36% this quarter and 32% for full year 2009.
And finally, average weekly producers increased by 7.9% in the quarter, compared to a year ago. Moving to the individual disability close block segments, operating income here was $5.8 million in the fourth quarter, compared to $7.1 million a year ago.
The interest adjusted loss ratio was stable at 81.6% this quarter, compared to 82.6% a year ago and also 81.6% in the third quarter of '09. Premium income declined by 8.3% and net investment income declined by 3.4%.
Finally, the corporate and other segment reported an operating loss of $16.6 million, compared to a loss of $400,000 in the year-ago quarter.
Expenses are higher in this segment, reflecting approximately $10 million of incremental quarterly pension costs. Interest expense increased to $31.1 million in the fourth quarter of '09, compared to $26.9 million a year ago, reflecting the debt issue from late September.
So with that review of our operating results, I'll turn to Rick McKenney for a further analysis of this quarter's results, Rick.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Executives","Thank you, John. As you can see, consistency remains a key theme to our fourth quarter results.I'd like to take a few minutes to discuss key drivers of this quarter's results and also provide an update on our investment portfolio and capital position. F",1309,"Thank you, John. As you can see, consistency remains a key theme to our fourth quarter results.
I'd like to take a few minutes to discuss key drivers of this quarter's results and also provide an update on our investment portfolio and capital position. First, steady risk experience across our major lines of business continues to be the primary driver of our strong operating performance.
We commented in the third quarter that we saw a slightly higher level of volatility in claim incidents in our U.S. group disability line. Claim incidents continue to be slightly volatile in the fourth quarter but less so in this quarter relative to the third quarter.
We continued to experience favorable net claims recovery results which, along with the ongoing shift in the mix of business, resulted in further improvement in the benefit ratio this quarter. We anticipate that the benefit ratio in this line will begin to level out in 2010, with further long-term improvement, primarily coming from mix shift changes.
Over the past four years, since the implementation of many changes to our claims management processes, the benefit ratio has declined over 9 percentage points. While at the same time, our customer satisfaction ratings have also improved materially.
In the U.K, risk results were also generally in line with our expectations. Our fourth quarter claim experience for group long-term disability was in line with the incidents and recovery trends of the third quarter. However, Group Life experience was slightly worse than prior quarter results.
We believe this quarter's risk results are more indicative of the trends we'll see in 2010 than the extraordinary favorable results we experienced in the first half of 2009.
Colonial Life's risk results also remain in line with our projections with favorable results in the accident, sickness and disability lines, offset by slightly higher claim experience in the life and cancer and critical illness lines. The overall benefit ratio for the segment came in at 48.5%.
Turning to our top line performance, we described the challenges faced in today's environment of high unemployment and ongoing market competition to grow our top line. These trends remained evident in the fourth quarter and provided meaningful headwinds to each of our businesses. For example, we estimate that the natural growth of our Unum U.S. inforce business, that is the premium growth we normally generate from customer growth, salary increases and benefit plan enhancements, resulted in over a 3% decline in our block in 2009, compared to the expected growth of 2 to 3% we typically experience in a more normal economic environment.
The impacted premium income in our group lines by this actually impacted premium income in our group lines, by approximately $200 million in 2009. This will turn with the economy and improved employment levels. I'm encouraged as well by our new account growth and generally stable persistency trends which bode well for resumed top line growth as economic conditions turn more favorable.
I'm also encouraged by the improvement we saw in Unum U.K. with fourth quarter premium income rebounding from decline we experienced in the third quarter and this was the first sequential quarter improvement in premium income we've seen in the past six quarters. The recent increased sales activity and firming up persistency in 2009 has helped stabilize our in-force premium.
Thirdly, our investment portfolio remained strong again this quarter, reflecting the ongoing rally in the fixed income markets both in terms of spreads and improvement in default trends. For reference, the spread on Barclays U.S. investment grade credit index is tightened further to 157 basis points in December from 198 basis points at September 30th. This tightening was offset by widening of the U.S. ten year Treasury rate by 53 basis points.
The net unrealized gain position on our fixed maturities securities portfolio reflects these movements and with $2 billion at year end 2009 compared to $2.2 billion at September 30. With this stability in the investment portfolio, the company's book value per share was similarly stable.
Book value per share was $25.62 at December 30th 2009, a sequential increase of 3% from September 30th and 33% higher than a year ago. In the fourth quarter our reported net realized investment losses excluding the embedded derivative gain of $20.7 million after tax totaled $42 million after tax.
This after-tax realized loss this quarter compares to 19.4 million in the third quarter and 47.5 million in the fourth quarter of 2008. The losses this quarter were primarily related to impairments on certain holdings of securities in the financial institution sector.
As we look forward, we expect a level of reported net realized investment losses to improve as unrealized losses on credits on our watch list has dropped by 85%. One area that continues to receive more attention in the world around us is exposure to commercial real estate and mortgage loans. First of all, we have no CMBS exposure and our commercial mortgage loans currently total $1.4 billion or around 3% of our investment portfolio.
At year end 2009 we had one delinquent loan with a book value of $2 million two foreclosed properties where we expect to fully recoup our principal. We only had nine loans maturing this year and in fact we only average $30 million of loan maturities per year for the next four years. Our current loan to value ratio is approximately 69% and our portfolio is well diversified with respect to geographic distribution and property type and our underwriting standards have remained conservative.
We're confident that our portfolio is well positioned and that any losses we may incur will be manageable. When turning to our capital position the solid investment performance and good risk results not only produced strong GAAP earnings this quarter, it also generates strong statutory earnings in our traditional U.S. life insurance companies.
Fourth quarter 2009 after-tax stat operating earnings were 246.6 million which brings our full year after-tax operating earnings to over 740 million. These strong results which also reflect some inter-company dividends are outlined in our statistical supplement and drive very positive momentum in our capital management metrics and overall financial strength and flexibility.
As a result of this strong earnings profile we estimate that our year end RBC for our traditional U.S. life companies, traditional life subsidiaries was 382%. Looking ahead, we continue to expect to manage our RBC ratio during 2010 within a range of 375 to 400%.
Holding company capital finished the year $915 million, ahead of our expectations and leverage at year end 2009 was 20.5%. We have no debt maturing in 2010 and with a small contribution our pension underfunding is down to $77 million.
You can see from these results that Unum's financial and cay capital positions remain very strong. As we discussed with you at our investor meeting back in November, we've had a conservative stance regarding deploying our excess capital specifically through share repurchases.
We do recognize the cost of maintaining this posture and continue to reflect on the environment and its contribution to making these decisions. To be more specific, the primary factors that will influence our thinking include macro level impacts such as our assessment of general economic and business conditions in the U.S. and the U.K. and the investment environment and potential impacts on our portfolio.
We'll also take into account the outlook for our businesses which include the level of our statutory earnings and free cash flow and finally, we will evaluate our ongoing capital levels including RBC and holding company capital.
We feel well situated beginning 2010 and we will monitor these factors as we move through the year. All in, it was another very good quarter for the company with solid operating performance and further strengthening of our financial platform and flexibility.
Now I'll turn the call back to Tom for his closing comments.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Executives","Thanks, Rick. I think as we all shared with you this morning we're certainly very pleased with our fourth quarter and full year results and I'm especially, Rick - I’m extremely proud of the work our people have done to help us deliver these results.Pr",298,"Thanks, Rick. I think as we all shared with you this morning we're certainly very pleased with our fourth quarter and full year results and I'm especially, Rick - I’m extremely proud of the work our people have done to help us deliver these results.
Profitably growing our top line remains challenge for us in this environment, I am encouraged by the underlying trends we're seeing in new customer account growth and persistency both of which bode well for presumption of premium growth as better employment conditions emerge.
While top line growth is important, I can assure you that we will remain disciplined in our pricing and underwriting to protect the margins that we worked so hard to restore over the past year.
It is comments Rick outlined several factors that will drive our capital management strategy and the potential redeployment of our excess capital. While general economic and regulatory conditions remain uncertain, our fourth quarter results were certainly very strong relative to these factors.
Our risk experience and operating trends remain strong, our statutory earnings are historically high level. Our year end RBC of 382% and holding company capital position of $915 million are comfortably within our projected levels for yearend 2010 and our watch list of potential problem credits has declined significantly in 2009 which is again why we choose so good about the things that we can control.
A final comment before we go to your tune to your questions. With respect to our outlook, we continue to expect operating earnings growth for 2010 within our previous expectations of growth of 4 to 6%. I would direct you to our investor meeting presentation of November for additional detail on our business segment outlook.
This completes our formal comments and operator let's move to question-and-answer session.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Operator","(Operator instructions) We'll go ahead and take our first question from Mark Hughes with SunTrust.",15,"(Operator instructions) We'll go ahead and take our first question from Mark Hughes with SunTrust.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Analysts","Thank you very much. Good morning.",6,"Thank you very much. Good morning.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Executives","Good morning, Mark.",3,"Good morning, Mark.
"
166762,83890696,48161,"Unum Group, Q4 2009 Earnings Call, Feb-03-2010",2010-02-03,"Earnings Calls","Unum Group","Analysts","The core group sales have been very strong for the full year, little bit of a deceleration in the fourth quarter. Anything notable there, little more competition as to why you might have slowed a bit?",36,"The core group sales have been very strong for the full year, little bit of a deceleration in the fourth quarter. Anything notable there, little more competition as to why you might have slowed a bit?
"
