"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Operator","Good day, ladies and gentlemen and welcome to the fourth quarter Ventas earnings conference call. My name is Jennifer and I will be your coordinator for today. (Operator Instructions)I would now like to turn the presentation over to your host for today'",54,"Good day, ladies and gentlemen and welcome to the fourth quarter Ventas earnings conference call. My name is Jennifer and I will be your coordinator for today. (Operator Instructions)
I would now like to turn the presentation over to your host for today's conference, Mr. David Smith of the company. Please proceed Mr. Smith

"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Executives","Good morning and welcome to the Ventas conference call to review the company's announcement today regarding its results for the year and quarter ended December 31, 2009.As we start, let me express that all projections and predictions and certain other s",277,"Good morning and welcome to the Ventas conference call to review the company's announcement today regarding its results for the year and quarter ended December 31, 2009.
As we start, let me express that all projections and predictions and certain other statements to be made during this conference call maybe considered forward-looking statements within the meaning of the Federal Securities laws. 
These projections, predictions and statements are based on Management's current beliefs, as well as on a number of assumptions concerning future events. The forward-looking statements are subject to many risks, uncertainties, and contingencies, and stockholders and others should recognize that actual results may differ materially from the company's expectations, whether expressed or implied.
We refer you to the company's reports filed with the Securities and Exchange Commission, including the company's Annual Report on Form 10-K for the year ended December 31, 2008 and the company's other reports filed periodically with the SEC for a discussion of these forward-looking statements and other factors that could affect these forward-looking statements. Many of these factors are beyond the control of the company and its management.
The information being provided today is as of this date only and Ventas expressly disclaims any obligation to release publicly, any updates or revisions to any forward-looking statements to reflect any changes in expectations.
Please note that quantitative reconciliations between each non-GAAP financial measure contained in this presentation and its most directly comparable GAAP measure, as well as the company's supplemental disclosure schedule are available in the Investor Relations section of our website at www.ventasreit.com.
I will now turn the call over to Debra A. Cafaro, Chairman, President and CEO of the company.

"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Executives","Thanks, David. Good morning to all of our shareholders and participants and welcome to the Ventas’ 2009 year-end earnings call. My colleagues and I are pleased to be joining you today from our Louisville office.Today, I'll provide a company overview,",873,"Thanks, David. Good morning to all of our shareholders and participants and welcome to the Ventas’ 2009 year-end earnings call. My colleagues and I are pleased to be joining you today from our Louisville office.
Today, I'll provide a company overview, Ray Lewis will discuss our portfolio performance and investment outlook, and Rick Schweinhart will address financial results in detail. After that, we will be happy to answer your questions.
Ventas had an excellent and highly productive 2009, overcoming the severely negative conditions that challenged our economy and capital markets during the year. I’d like to quickly recap some of the Ventas highlights of 2009.
Normalized FFO per share was $2.68, exceeding our guidance of $2.62-$2.65 per share.  Notably, 2009 normalized FFO per share compressed only 1% from 2008, despite 9% more shares outstanding, meaning that our entity level FFO grows considerably during the year. 
Our cash flow from operations was $422 million, an increase of over 11% from 2008, the passed the data to the S&P 500. We were also named the top financial stock of the decade, providing over 2000% total returns to shareholders during the period. In this regard we led all bank, insurance companies, REITs and diversified financials, total shareholder returns for 2009 alone was 39%.
We purchased or repaid during the year $560 million of bonds and mortgage debts. In 2009 we received an upgrade from Fitch to BBB-, one of only five total upgrades in the REIT sector from all three rating agencies during the year.
We extended our revolver to 2012 and our revolver has total current capacity of $1 billion. We raised $312 million of equity and $341 million of debt financing, we also sold 14 assets and recognized the net gain of over $66 million. 
We opened or acquired 6 high quality on-campus medical office buildings all affiliated with highly rated not-for-profit hospital systems. This expanded our MOB portfolio to $1.7 million square feet. We extended the lease term on 108 healthcare assets operated by Kindred, had escalated rent levels of $126 million per year, the lease term for those assets would have expired on April 30, 2010, but was extended until 2015.
 
We received a unanimous jury verdict in our favor of $102 million in our law suit against HCP for tortuous interference with our 2007 acquisition of Sunrise REIT.
And we ended the year with an excellent balance sheet and liquidity position. Net debt to EBIDTA was 4.1 time, at year end we held over $100 million in cash-on-hand and our revolver capacity approximated $1 billion.
In sum, we have managed the company in a prudent manner that protected the downside and preserved the upside for our stakeholders. We finished the year and the decade consistent with our objectives, as a cash flowing, productive enterprise delivering consistent, superior value for all our stakeholders. Well positioned to drive in a variety of economic capital markets and reimbursing environment and ready to execute our growth and diversification plans.
2010 has begun on a very positive trajectory as well, I’d like to highlight three items in particular. Credit ratings positive momentum, a 4.4% dividend increased and improved earnings guidance for 2010.
First ratings, because of our excellent credit statistic and our cash flowing assets Moody’s recently upgraded the rating on Ventas’s senior unsecured debt to investment grade, awarding us a Baa3 rating earlier this month. As most of you know we have worked long and hard to merit this improved rating, we appreciate Moody’s confidence in us and we now have an investment grade rating from all three major rating agencies. It is a significant accomplishment for any real-estate company to continue ratings improvement in today’s environment.
Second, our board of directors just approved a 4.4% increase in our past dividend to an annualized rate of $2.14 per share. We are pleased to share our stable growing cash-flows with our shareholders while we also retain significant cash flows for growth. This decision demonstrates our confidence in Ventas’ future. 
And last we have introduced 2010 normalized FFO guidance of $2.69 to $2.75 per share. In terms of total normalized FFO dollars we expect FFO to grow from $409 million in 2009 to a range of $422 million to $432 million in 2010. Our same store cash NOI growth should increase by 2%-3% for the whole portfolio in 2010.
While our 2010 guidance does not (inaudible) material acquisitions the healthcare real estate sector is large growing and highly fragmented, with REITs owning only about 6% of the total investable assets. The sector generally is not over-levered in contrast with many other real-estate sectors. This should permit private owners to sell assets and obtain a much desired liquidity. As a result we do expect to see increased transactional volume in 2010 compared to the last two years, only time will tell whether these trends will translate into significant investments for Ventas, and if so, the timing and size of those investments. But we do believe we will have the opportunity to reignite our growth and diversification efforts in 2010.
I’m going to turn the call over to Ray who is going to walk you through our portfolio performance and talk a little further about the current investment environment.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Executives","Thanks, Debbie. Our high quality cash flowing portfolio of healthcare and senior’s housing assets performed well in 2009. For the year same store cash NOI growth on our triple net leased portfolio increased by 3.4%. Cash NOI in our hospitals grew 2.6%,",1033,"Thanks, Debbie. Our high quality cash flowing portfolio of healthcare and senior’s housing assets performed well in 2009. For the year same store cash NOI growth on our triple net leased portfolio increased by 3.4%. Cash NOI in our hospitals grew 2.6%, senior’s housing grew 3.2% and skilled nursing delivered 4% growth. Our triple net lease assets continue to have excellent cash flow coverages across the spectrum of independent living, assisted living, skilled nursing facilities and hospitals.
75% of our NOI comes from our pool, multi-facility master leases with credit and structural support and contractual growth escalation. Cash flow coverage through the third quarter of 2009, the latest data available remains stable at 1.8 times, this strong metric has been consistent to 2007, occupancies in the triple net seniors housing portfolio increased 80 basis points in the third quarter versus the second as we saw evidence of occupancy beginning to rise in the third quarter.
The weighted average remaining lease term for our triple net lease assets is approximately seven years and only 1% of our total triple net portfolio is up for renewal before 2013. We expect same store cash growth in our triple net portfolio to exceed 2.5% in 2010. Overall, our pool, multi-facility master leases with credit tenants continue to provide strong and steady contractual cash flow growth to Ventas.
The company’s operating portfolio, which consists of 79 high-end mansion style, assisted living communities, managed by Sunrise Senior Living and 26 medical office buildings accounts for 23% of our NOI, this portion of our portfolio exhibited improving fundamentals during the quarter and ended the year on a strong note. First, let me address our need-driven operating portfolio of senior living communities managed by Sunrise. 
We derive 18% of our entity level NOI from this portfolio, there occupancy in our 78 stable communities continue the trend positively during the fourth quarter and increased 70 basis points sequentially to 88.8%. This continued the positive trend and occupancy that began in the third quarter, we are pleased with two consecutive quarterly increases in occupancy for the portfolio.
Notably fourth quarter occupancy and senior’s housing tends to be weaker than the third and industry statistics released by Nick(ph) earlier this week confirm that. Though our Sunrise portfolio distinguished itself by enjoying a sequential improvement in the fourth quarter occupancy and in our Sunrise lease of asset in Toronto known as, Stealth, we continue to gain momentum.
All metrics were positive sequentially in the fourth quarter and Stealth continues to gain occupancy and NOI as the community trends towards stabilization. As a result of these trends our total fourth quarter property NOI for our 79 Sunrise communities was $33.3 million fairly consistent with the $33.4 million we earned in the third quarter. This was slightly higher than what we had projected, driven by improved occupancy and slightly increased average daily rate, which rose to $173 per day in the fourth quarter, off-set by the anticipated higher expenses in the fourth quarter attributable to the spending of repair and maintenance budgets and labor cost. 
Finishing the year on such a positive note caused our full year Sunrise results to total $131 million dollars above the high-end of our 2009 expectations that range from $122-$129 million. 
Looking forward to 2010 guidance in our Sunrise portfolio, our total NOI projection is $128 - $138 million. The mid-point of this range $133 million represents an NOI increase of 1.5% over 2009. Our projections assume that occupancies will rise slightly ADR will increase about 1.5% and margin may experience some compression due to inflation and expense increases. 
So our mid-point NOI expectation assumes that positive rate and occupancy trends continue into 2010. This should result in positive NOI growth for the portfolio absents (inaudible) double every session or another shock to the financial system. Over time very favorable supply demand fundamentals should drive growth in our Sunrise portfolio. With the over-85 population being the fastest growing segment of the U.S. population and virtually no new assisted living supply coming online in 2010 or 2011 the conditions are right for excellent performance as the economy improves.
Our medical office building portfolio, which now totals over 1.7 million square feet and represents 5% of our NOI also performed well this quarter substantially all of our 26 MOBs are on the campus of major hospital systems. In our 21 stabilized assets occupancy was a strong 94.7% in the fourth quarter. Before occupancy and our same store stabilized portfolio of 18 MOBs increased sequentially by 50 basis points to 94.4% and generated NOI of $4.8 million and increased of 2% compared to Q3 2009.
We also continue to have strong results in our MOB lease-up portfolio.  We have added three development assets to this pool since the fourth quarter of 2008 all of which were on-time, on-budget substantially preleased and generating positive NOI to Ventas. NOI for the four lease-up assets we own in both the third and the fourth quarters of 2009 increased by 20%.
Leasing prospects for this portion of the portfolio are good, including 54,000 square feet of leases signed but not yet in occupancy and a strong forward pipeline of potential tenants. When tenants who have already signed leases have moved in, the occupancy on our five lease-up assets should rise from 74%-87%. 
In the fourth quarter we began investing again but purchasing four Class A, on-campus medical office buildings valued at $77.7 million. The MOB acquisitions should provide Ventas with unlevered yield succeeding 8%. 
In sum, our growing MOB portfolio provided stable and increasing NOI to Ventas in 2009. As you saw with our MOB acquisition activity in December we’re beginning to put capital to work to continue to grow and diversify the company. Moreover we are seeing an increase in flow of opportunities across all asset classes in the healthcare and senior housing spectrum. And although we are shifting to a more offensive stance on acquisition, we remained disciplined in our investment approach and continue our practice of targeting high quality, accreted investments with excellent operators that can create long-term value for shareholders. 
With that I’ll turn the call over to Rick Schweinhart to discuss our financial results.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Executives","Thanks, Ray. The highlights to the fourth quarter are the operating income increased 1% from the third quarter, resulting in normalized FFO of $0.67 per delivered share, additionally we continue to focus on maintaining a strong balance sheet, doubling liq",973,"Thanks, Ray. The highlights to the fourth quarter are the operating income increased 1% from the third quarter, resulting in normalized FFO of $0.67 per delivered share, additionally we continue to focus on maintaining a strong balance sheet, doubling liquidity and increasing cash-flows from operations. As Debbie mentioned we are extremely pleased that Moody’s raised our rating to investment grade earlier this month. We now have investment grade ratings from all three rating agencies; we also have increased our revolver from the September capacity of $167 million to $1 billion.
The (inaudible) in April of 2012 has increased from $590 million to $800 million. At December 31, our cash balance was $107 million and we have only $8.5 million outstanding on our revolving credit facility, currently $992 million of undrawn availability and cash-on-hand of approximately $155 million. Our credit stands for being very good with net debt to pro forma EBIDTA at 4.1 times and our fixed charge coverage ratio at 3.2 times we closed 2009 with debt to enterprise value of 28%.
Early 2009 we repaid our purchase $411 million of our senior notes and reduced our mortgage balances by $148.7 million, which $25 million of normal periodic principal amortization. We have $175 million in total debt maturities in 2010, excluding normal periodic principal amortization payments, most of which is mortgaged debt. Our cash-flows from operations for the year ended December 31, 2009, increased 11% to $422 million, from $380 million from last year. 
Turning to (inaudible) for the quarter, fourth quarter normalized FFO was $104.8 million or $0.67 per diluted share. Normalized FFO excludes merger related expenses and (inaudible) of approximately $1.6 million. Fourth quarter normalized FFO increased from third quarter to primarily NOI increases in our MOB portfolio due to acquisitions and lower D&A.
Interest expense increased to $44.6 million from $43.6 million in the third quarter, primarily as a result of additional interest expense from our GSE mortgage financing of $173 million at 6.3%, which closed in the second and third quarter. D&A was $8.2 million down $1.4 million from the $9.7million in the third quarter, primarily as a result of lower non-cash stock based compensation. 
Weighted average shares outstanding remained fairly plaid at $156.7 million in the fourth quarter, versus $156.5 million in the third. Fourth quarter FAD per diluted share was $0.62 compared to $0.63 in the third quarter as a result of higher routine capital expenditures in the fourth quarter, down when we compare the fourth quarter 2009 normalized FFO per diluted share to the fourth quarter of 2008.
Normalized FFO grew 11.5% to $104.8 million from  $94 million from last year and the fourth quarter FFO per diluted share was $0.67 compared to $0.66 last year. Triple-net leased revenues grew to $117 million from $114.4 million, primarily due to contractual escalations. It is important to note that (inaudible) NOI increased 3% to $33.3 million this quarter from $32.2 million from last year. Also year-over-year our medical office building NOI grew to $6.7 million from $5.3 million, primarily due to acquisitions.
Interest expense decreased to $44.6 million from $50.6 million last year. Principally due to debt repayments and senior note purchases. Our weighted average cost of debt is about 6.6%.
G&A was $8.2 million in the fourth quarter of 2009, down $2.9 million from the $11.2 million in 2008, primarily as a result of low professional fees. Weighted average shares outstanding increased 9.5% for the fourth quarter of 2009, versus the comparable 2008 period to $156.7 million from $143 million. The share count increased due to our April 2009 equity offer.
Finally, left to compare the year ended December 31, 2009 to 2008. Normalized FFO grew 8% to $409 million from $379.5 million last year and FFO per diluted share was $2.68 compared to $2.71 last year. Triple-net lease revenues grew 2.5% to $465.2 million from $453.7 million primarily due to contractual escalations.
Internalized NOI decreased to $131 million from $138.8 million last year, which was better than forecast due to rising occupancies in the portfolio. (inaudible) off-set by higher expenses. Last year’s results benefited from about $4 million in expense credits that didn’t reoccur in 2009. On a reoccurring basis NOI’s down  3% in the portfolio year-over-year. Year-over-year our medical office building NOI grew to $23.2 million from $17.3 million due primarily to acquisitions and lease-up activity.
Interest expense decreased approximately 13% to $178.5 million from $204.5 million last year, primarily due to lower debt value. G&A decreased from 4.5% to $38.8 million in 2009, from the $40.7 million in 2008. G&A as a percentage of total revenues fell to 4.1% from 4.4%. Weighted average shares outstanding increased 9.2% in 2009 due to equity issuances.
And finally, guidance; as Debbie mentioned we are initiating 2010 normalized FFO fully diluted share guidance at $2.69-$2.75, without NOI from some of those (inaudible) operations expected to be between $128-138 million. The mid-point of our initial 2010 guidance is $2.72, which represents 1.5% of FFO per share growth in 2010.
There is an $0.08-$0.09 dilution in 2010 from our 2009 debt and equity offerings in asset sales, which were completed in 2009 to strengthen our balance sheet and to slightly higher 2010 G&A. This should be more than off-set by positive, strong increases in FFO from contractual escalations from our triple-net portfolio. The full-year impact 2009 investments increased that a lot from our centralized managed communities and in a creative use of cash-on-hand during 2010.
Our key assumptions for our guidance (inaudible) that total summarized NOI from our 79 assets bring us from $128million to $138 million. G&A expenses range between $39 million and $41 million and we invest our cash-on-hand. But our guidance does not include other material acquisition or vesture activity, deal cause, capital transaction or litigation expenses or proceeds. 
Operator, please open the calls for questions.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Operator","(Operator’s Instructions) You’re first question comes from the line of David Toti from Citi. Please proceed.",16,"(Operator’s Instructions) You’re first question comes from the line of David Toti from Citi. Please proceed.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Analysts","Good morning, everyone Michael Bilerman is here with me as well. My first question has to do with something you’ve talked about in the past few calls and that’s with regards to diversification and your strategy in looking at other asset classes. I was",67,"Good morning, everyone Michael Bilerman is here with me as well. My first question has to do with something you’ve talked about in the past few calls and that’s with regards to diversification and your strategy in looking at other asset classes. I was wondering if you could update us on that strategy, the assets you’re looking at, perhaps the near-term timing and maybe some yield expectations.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Executives","Sure David, this is Ray. I think consistent with our past views, we remain interested in all assets of healthcare and senior housing asset classes, medical office and seniors housing I think remains primary areas of emphasis for us, where we think there a",141,"Sure David, this is Ray. I think consistent with our past views, we remain interested in all assets of healthcare and senior housing asset classes, medical office and seniors housing I think remains primary areas of emphasis for us, where we think there are attractive risk adjusted returns and we like the demand and supply fundamentals. 
We think that skilled nursing may provide some opportunities to get revision opportunities as a number of the private companies look to either recapitalize or deleverage, so that’s another area where in the year-term there could be some good opportunities. 
And then long-term we continue to build relationships with quality healthcare systems and hospitals we hope will provide a opportunity to make a attractive real estate investments either by acquiring or developing medical office buildings or in providing other capital to their real estate needs.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Analysts","Great and then what about some of the more peripheral assets like life-science or laboratories or lifestyle retail oriented assets.",21,"Great and then what about some of the more peripheral assets like life-science or laboratories or lifestyle retail oriented assets.
"
398549,84148427,50572,"Ventas Inc., Q4 2009 Earnings Call, Feb-18-2010",2010-02-18,"Earnings Calls","Ventas, Inc.","Executives","I think those sectors are attractive for us they are areas that we do not have a footprint in right now. I think not unlike how we entered the office medical building state, we were to look at those types of assets, we would do it in conjunction with eith",110,"I think those sectors are attractive for us they are areas that we do not have a footprint in right now. I think not unlike how we entered the office medical building state, we were to look at those types of assets, we would do it in conjunction with either acquiring or partnering the expertise, but I think not unlike how we enter the medical office space, if we were to look at those types of assets.  We would either in conjunction with acquiring or partnering with expertise but I think those spaces hold appeal and could be another source of diversification for us if we could find attractive opportunities.  
"
