"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Operator","Good morning and welcome to Whirlpool Corp.'s Fourth Quarter and Year-End 2009 Earnings Call. For opening remarks and introductions, I would like to turn the call over to the Director of Investor Relations, Greg Fritz. Go ahead, sir.",39,"Good morning and welcome to Whirlpool Corp.'s Fourth Quarter and Year-End 2009 Earnings Call. For opening remarks and introductions, I would like to turn the call over to the Director of Investor Relations, Greg Fritz. Go ahead, sir."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Thank you, Chris, and good morning. Welcome to the Whirlpool Fourth Quarter Conference Call. Joining me today are Jeff Fettig, our Chairman and CEO; Mike Todman, President of Whirlpool International; Marc Bitzer, President of Whirlpool North America; and",146,"Thank you, Chris, and good morning. Welcome to the Whirlpool Fourth Quarter Conference Call. Joining me today are Jeff Fettig, our Chairman and CEO; Mike Todman, President of Whirlpool International; Marc Bitzer, President of Whirlpool North America; and Roy Templin, our Chief Financial Officer. Before we begin, let me remind you that as we conduct this call, we will be making forward-looking statements to assist you in understanding Whirlpool's future expectations. Our actual results could differ materially from these statements due to the many factors discussed in our latest 10-K and 10-Q. During the call, we will be making comments on free cash flow, a non-GAAP measure. Listeners are directed to Slide 31 for additional disclosures regarding this item. Our remarks today track with the presentation available on the Investors section of our website at whirlpoolcorp.com. With that, let me turn the call over to Jeff."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Good morning, everyone, and again thank you for joining us this morning. Before I begin, I do want to briefly discuss the leadership and changes we announced in mid-December that Greg just referred to in the opening comments. First of all, Mike Todman, wh",1185,"Good morning, everyone, and again thank you for joining us this morning. Before I begin, I do want to briefly discuss the leadership and changes we announced in mid-December that Greg just referred to in the opening comments. First of all, Mike Todman, who was previously President of North America is now serving as President of Whirlpool International. In his new role, he will be accountable for our Europe, Latin America and Asia regions, as well as our global information systems. Mike is also accountable for several key global strategic areas, including our innovation and global energy efficiency initiatives. Marc Bitzer, who was previously President of our U.S. Operations has moved into the role of President, North America. Both Mike and Marc are two highly capable leaders, I'm very confident who will do a great good job in their new assignments and they'll be representing their respective region on this call.Turning to the release, as you all know, earlier this morning we released our financial results for the fourth quarter and for the full year. You can see these results on Slide 2. As we outlined for you last year at this time, we faced a very challenging macroeconomic environment on a number of fronts. All major markets were in decline at that time and we felt that we were likely facing the year with significant revenue decline, higher costs and volatile currencies. For the full year, this proved to be accurate as our revenues declined by 10% versus 2008 levels.We also, at that time, outlined the key drivers of our business and separated them into two categories. On one hand, we talked about areas that would positively impact our business and things that would negatively impact our business. The negative impacts were significantly lower demand levels, the impact of foreign currency and very volatile material costs. The positive impacts on our business related to our swift aggressive actions to address this challenging environment, particularly in regarding our cost and working capital initiatives. These actions helped improve our operating margins by 1.1 points to 4% during the year, despite a substantial decline in sales. In addition, we reported for the year a record level of free cash flow of $1.1 billion during 2009, which has significantly strengthened our company's financial position. If you turn to Slide 3, we highlight our execution against the key operating priorities that we established for last year. From a cost standpoint, we had a very strong year. We were able to significantly lower our breakeven point through structural cost reductions across our global organization. We also continue to build the foundation of a very strong global product platform designs and the supporting component harmonization initiatives that go along with them. These actions lowered our costs, improved our quality  and increased our speed to market from design to market launch. And overall, I'm very pleased with the progress we've made in these areas of the business, which will continue to benefit us this year.Moving on to cash, again, we have the best year ever in terms of generating free cash flow. Our aggressive focus on working capital reduction, particularly in the area of inventory, resulted in a substantial source of cash flow during the year. This performance, in addition to our notes issuance and credit agreement extension, significantly improved our financial and liquidity positions. Finally, our market execution goals for the year were to have a good balance between price/mix and market share. And during 2009, we finished the year with positive price/mix and very good share performance in all of our key global markets.Slide 4 highlights one of the most important aspects of our spending initiatives last year. And in this case, as what we didn't cut, now is our investments in new product innovation. We continued to invest in our business during the downturn, as R&D and capital expenditures actually increased as a percent of total sales. These investments will yield a strong gains in new product innovations over the next 12 months and reflects the continued commitment we have to bringing new consumer-relevant innovation to the marketplace on a continuous basis. Turning to Slide 5, we expect to have a strong year for innovation with our pipeline now over $4 billion in future revenues. From a product perspective, you'll see major launches in laundry, cooking and refrigeration. In fact, Marc Bitzer will touch on a few of these products in a moment, that we expect to have a very strong year of innovation globally across our product lines. We do see many great opportunities for growth in markets around the world. We're largely enabled by this record number of new product innovation launches that we have scheduled for this year.On Slide 6, I have summarized our current demand outlook for 2010. Overall, we expect global industry demand will show modest growth globally in 2010. Obviously, there's still a high degree of uncertainty in many facets of the global economy, but we do feel that we'll see in 2010 growth from a low base. In the U.S., we expect major appliance demands to increase by about 2% to 4%. This would mark the first full year of positive growth in four years and is largely driven by a more normal replacement market. In Europe, we expect conditions will remain relatively more difficult, with industry demand being flat to 2009 levels. As you would expect, there's a wide range of outcomes by country. But overall, we're starting to see demand stabilizing and are forecasting flat demand for the year. In Brazil, we continue to see very strong underlying fundamentals. And we're forecasting industry demand growth to be in the range of 5% to 10% off of the strong year this year. Finally, we expect the markets that we serve in Asia will grow in the 3% to 5% range. We expect India to continue to show a very strong growth leading the region.Finally, I would direct your attention to Slide 7, where we provide our 2010 financial outlook and guidance. For the full year, we expect to generate earnings per share in the range of $6.50 to $7 per share. Also for the full year, we expect to generate free cash flow of approximately $400 million to $500 million this year. We expect the positive impacts to our operating performance this year will be a continuation of the significant cost reduction and productivity that we had last year, which again will be a significant contributor to our improvement in earnings. In addition, we certainly expect higher unit volumes will contribute in part to our overall revenue growth and aid in improving our margins.For the full year, we expect price/mix and currency impacts will be generally neutral to our operating results. And finally, on the unfavorable side, we still see material and oil cost inflation increasing. And we expect it will impact our operating results in the $200 million to $300 million range compared to last year. At this point in time, I'd stop here and I'll turn it over to Marc Bitzer for his review of our North American operations."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Thanks, Jeff. Turning to Slide 9, I would like to briefly go over some of our key accomplishments from 2009. As Jeff mentioned earlier, we maintained a strong commitment to innovation investment, both in the form of R&D and capital expenses. And from a ma",543,"Thanks, Jeff. Turning to Slide 9, I would like to briefly go over some of our key accomplishments from 2009. As Jeff mentioned earlier, we maintained a strong commitment to innovation investment, both in the form of R&D and capital expenses. And from a market standpoint, we delivered a strong increase in our branded share during the year and during Q4 in particular. We also made strong progress reducing our cost structure, the double-digit reduction in manufacturing capacity, we reduced the SG&A structure by nearly $200 million or over one percentage point of sales. Finally, we saw a strong improvement in our logistics network. We have completed our move to a new regional distribution center footprint. We have implemented a new home delivery model that we believe is the best in class in our industry. And we expect this will yield both better service levels as well as the reduction in delivery costs. On Slide 10, we detailed fourth quarter results for North America. We marked the first quarter since Q1'07 that we posted a year-over-year sales increase in North America. Our unit shipment growth exceeded the market growth. We reported operating margin at 5.2 percentage points, and that's a six-point improvement over the year before. And that is largely driven by cost and productivity initiatives and higher volume and partially offset by lower price and mix.On Slide 11, you can see some of our newest innovations. As you know, we are focused on providing consumers with the greatest value by offering preferred brand they can depend on with the most innovative features in the most cost-efficient way possible. From a dishwasher and disposal cleaner, to a completely new side-by-side refrigerator platform, our cadence of new product introductions remains very strong. There's one product on this slide that I'll talk about in more detail. And that is our new global brand, Vantage top-load laundry pair. You will see on the next slide that this product features an LCD touchscreen control, it's the industry-first USB port that allows consumers to update and customize washing cycles and other controls. And finally, the fit, finish and design of its body will lead forward from industry-setting class model. Turning now to our industry outlook for 2010 on Slide 12, I'll review some of the background on the components of demand. As part of our forecast, we expect to see a 27% increase in new housing starts, or approximately just slightly above 700,000 units. We expect existing home sales to improve approximately 7% during the year. And we're looking for consumer confidence to be stable to slightly up, and they will remain at historically low levels or slightly above that. Consumers are still very cautious, given many uncertainties in the economy. And we expect that to remain the case as our 10% unemployment assumptions. So while general consumers' uneasiness lingers, we expect stable replacement demand for the year versus some delay purchases during the beginning of 2009.So summarizing, based on our current estimates of these economic variables, we believe the U.S. industry demand will increase 2% to 4% in 2010, which is still well below historic or long-term trend demand levels. And now, I would like to turn it over to Mike for his review of international operations."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Thanks, Marc. And good morning, everyone. Let me begin with a general overview on Slide 14. During 2009, we saw our return to strong economic growth in Brazil and India. These markets not only had a much faster return to general economic growth rates, but",733,"Thanks, Marc. And good morning, everyone. Let me begin with a general overview on Slide 14. During 2009, we saw our return to strong economic growth in Brazil and India. These markets not only had a much faster return to general economic growth rates, but they also saw appliance demand return to growth rates well above the general economy. Europe remained the most challenging region from an international perspective, as we managed through a broad contraction in both economies. From a Whirlpool perspective, we focused significant restructuring resources on the European region during the fourth quarter to better align our cost structure with industry demand levels and ensure an appropriate structure for 2010 and beyond. Overall, during 2009, we made strong progress toward our cost reduction goals across the region and strengthened our share position.Turning to Slide 15, our European sales improved 2% in the quarter. In local currency, sales declined approximately 9% from the prior year. Our unit shipments declined approximately 9% year-over-year, which was largely in line with the estimated industry demand levels during the quarter. The region reported an operating profit of $19 million compared with the $2 million earned in 2008. Results were unfavorably impacted by lower volumes, while lower costs and higher-priced product mix partially offset these challenges. While we have taken necessary actions and made progress in our European region, results remained below satisfactory levels and we will continue to adjust our cost structure accordingly.Fourth quarter results from our Latin American business can be found on Slide 16. The region reported sales of $1.2 billion compared to $777 million in the prior-year period. Excluding the impact from currency, sales increased approximately 28%. The sales increase was driven by favorable foreign currency exchange and strong demand for our appliances in the Brazilian market. Results were partially offset by lower tax credit monetization levels and product price/mix. Operating profit totaled $138 million compared to $110 million reported during the prior-year period. Our fourth quarter results in the Asia region are showed on Slide 17. Net sales increased 34% during the quarter to $188 million, up from $140 million in the prior-year period. Excluding the impact of currency, sales increased approximately 27% compared with the prior-year period. The sales increase was driven by strong results across the region. With our new industrial joint venture in China and our strong presence in India, we are well positioned to benefit from the growth trends in these markets. Operating profit during the quarter was $6 million compared with $3 million reported in the prior year. The operational improvement was primarily related to higher unit volumes. These improvements were partially offset by lower price/mix.A few minutes ago, Marc talked about our ongoing investment in our brand portfolio and strong cadence of new product introductions. That is the case not just in North America but around the world, as we continue to provide consumer-relevant innovations to consumers everywhere. On Slide 18, you will see just a few of our international product launches. Slide 19 summarizes our outlook for international operations. Overall, appliance industry demand in Brazil and India remains strong and ahead of general economic growth rates. We are seeing some commonalities in both these markets, including improved affordability, a developing middle class, a low base of appliance penetration rates compared to the U.S. and Europe and solid economic fundamentals. These factors, combined with Brazil's applied stimulus program, have strengthened our position in those markets. The Brazil stimulus program ended effective February 1. Although we do not yet understand the impact of this change, it is important to note that all trade inventory prior to that date still qualifies for the tax holiday.In addition, we believe that the underlying demand is strong, irrespective of the stimulus program because of low interest rates and underlying economic conditions. And we continue to be very positive about the prospects for our Latin American business in 2010.In Europe, however, we expect demand to stabilize during 2010 and we continue to pursue aggressive actions to improve our results in the region. And finally, in Asia, our strong performance in the quarter highlights the early success of our joint venture that allows us to continue to add new product offerings. And we see significant growth opportunities in the region, particularly in India and China. And now with that, I'd like to turn it over to Roy Templin for his financial review."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Thank you, Mike. And good morning, everyone. Beginning on Slide 21, I'll walk you through a summary of our fourth quarter performance. Our net sales performance mark the first global unit volume increase we have had since the first quarter of 2007, with o",1023,"Thank you, Mike. And good morning, everyone. Beginning on Slide 21, I'll walk you through a summary of our fourth quarter performance. Our net sales performance mark the first global unit volume increase we have had since the first quarter of 2007, with our units increasing approximately 9½% from the prior year. Our revenue was also favorably impacted by foreign exchange translation, which accounted for approximately seven points of the year-over-year increase. The favorable impact from currency was primarily related to a stronger Brazilian real and the euro when compared to the prior year. Looking at our margins during the fourth quarter, the positive year-over-year increase was primarily from our productivity and cost reduction actions. These actions were partially offset by lower price/mix and BEFIEX monetization, which declined $21 million from the prior year.Finally, before we take a look at the income statement in detail, there are a few items I would like to highlight. The first is a $46 million accrual related to a previously disclosed legal action pertaining to a collection dispute in Brazil. This was recorded in interest and sundry expense. The second item related to interest and sundry was a $13 million expense related to previously capitalized transaction costs. We also recorded a net favorable $13 million adjustment related to operating and income tax settlements in Brazil in response to revised government options.Turning to the income statement on Slide 22, we reported net sales of just over $4.8 billion, an increase of 13% from the prior year. Our gross margin rose 3.1 points to a 14.1%. As I mentioned previously, the most significant favorable impact on our gross margin improvement related to our cost and productivity actions, which were partially offset by lower price/mix.SG&A expense totaled $427 million. Foreign currency translation and the non-recurrence of an asset sale gain in the prior year accounted for over 90% of the year-over-year dollar increase. Restructuring expenses totaled $55 million during the quarter and were largely related to cost reduction actions in Europe. We currently anticipate recording restructuring expenses in the $100 million range during 2010. This amount will be partially offset by curtailment gains due to a previously announced facility closure.  Finally, our operating margin expanded to 4.1% from 0.2% in the prior year. Turning to Slide 23, I wanted to touch briefly on interest expense. Related to the revised tax settlement terms in Brazil, noted in my earlier remarks, part of the settlement adjustment was recorded in interest expense. Excluding this settlement, our interest expense would have increased mainly due to higher average borrowing rates due to our notes issuance during the second quarter.Turning to interest and sundry expense, the items I mentioned earlier substantially offset favorable year-over-year currency resulting from prior-year losses on balance sheet positions and an asset impairment, again recorded in the prior year.Finally, turning to our tax rate. We recorded an income tax credit of $10 million during the quarter, corresponding to an effective tax rate benefit of 11%. The fourth quarter credit was slightly below our previous quarterly expectation, largely as a result of higher pre-tax income and the establishment of reserves for foreign tax audits. Our annual tax credit of 21% fell within our previously disclosed range. For the full year 2010, we are currently estimating a tax credit in the range of 15% to 25%.  Finally, we reported EPS of $1.24 per share, including a $0.40 per share negative impact from the legal accrual that I noted earlier.Moving to our full year free cash flow results on Slide 24. As Jeff mentioned earlier, we had an outstanding year. The strong working capital performance during the fourth quarter exceeded our expectations in every part of the world. As a percentage of sales, our full year free cash flow was 6.4%, which is well ahead of our long-term objective in the 4% to 5% range.Our full year free cash flow generation of approximately $1.1 billion, in addition to our term note issuance during the second quarter and the extension of our revolving credit facility through August of 2012, has substantially improved our financial position.Turning to Slide 25, we show our net liquidity position. As you can see from this chart, our net liquidity position has improved to approximately $3.3 billion from $2.1 billion at the end of 2008. At year end, our cash balance stood at $1.4 billion and we had full availability under our revolving credit facility.On Slide 26, you can see we have significantly reduced our net debt balance to the lowest level in four years. We feel very good about our ability to continue to fund our restructuring and product innovation initiatives. We have also consistently paid our dividend throughout 2009. After funding these operating initiatives, a key priority going forward is improving our credit metrics with the goal of returning our credit ratings to pre-recession levels.Finally, turning to our financial outlook on Slide 27, we are expecting to report earnings per share in the range of $6.50 and $7 per share. This compares to the $4.34 we reported for 2009. As Jeff reviewed previously, we expect to have favorable impacts from increased global unit volume, as well as our ongoing cost reduction and productivity initiatives. In addition to these factors, the Brazilian government recently announced that it will not renew the IPI tax holiday program that has been renewed several times since mid-April. While there will likely be some lag until all lower IPI-based products clears the inventory pipe, as Mike referenced earlier, we have anticipated this change in our outlook.From a headwind perspective, we are assuming material and oil-related costs to increase in the range of $200 million to $300 million in 2010. And turning to our cash flow outlook, we are projecting free cash flow between $400 million to $500 million. Capital expenditures are expected to be in the range of $525 million to $575 million during the year. After our strong working capital performance in 2009, and with our expectation of higher global unit volumes, we expect working capital will be a use of cash during 2010. And with that, I'll turn the call back over to Jeff."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Thanks, Roy. I'm going to now turn to Slide 29 where we outline our key operating priorities for 2010. As you will notice, many of these priorities remain unchanged for what we outlined for 2009. We continue to have a very strong focus on cost reduction a",563,"Thanks, Roy. I'm going to now turn to Slide 29 where we outline our key operating priorities for 2010. As you will notice, many of these priorities remain unchanged for what we outlined for 2009. We continue to have a very strong focus on cost reduction across our global enterprise. As Roy previously mentioned, we'll be taking additional restructuring actions during 2010 from previously announced actions, as well as some new actions to continue to drive lower structural costs, lower capacity levels and taking productivity and other cost initiatives to offset material costs. In total, we think we will be able to expand our operating margins from our cost activities. Cash flow also remains a very high priority for us in 2010. As we mentioned, we had a record year for cash flow last year and we expect to generate solid free cash flow during 2010. This is despite our expectation that we will have some working capital build during the course of the year, as we return to sales growth. And certainly, given the amount of uncertainty that remains across the globe and the effects that we've seen over the last year to global financial crisis, you should expect that we will carry a higher cash balance over the course of the year than we maybe historically have, and we think it's appropriate in this period of time. From a market execution standpoint, we will continue to balance our share of price/mix as we manage our business in 2010. We feel very good about our innovation pipeline, the cadence of new products that we'll bring in the market during the course of the year. We expect these new products to help us build our branded position during the year. Our successful execution on these priorities will enable us to deliver strong earnings growth during the course of the year. I'd now like to turn to Slide 30 and take the moment to discuss our long-term value creating objectives. We view 2010 as a year of full recovery for our company, where we regain a large portion of our revenues that's declined in both '08 and '09 and improving our operating margins. From this base, we expect to build in 2010, we're re-committing to our value-creation objectives for revenue, for earnings, or for cash. And that means, from a top line perspective, we would expect to continue to target annual sales growth in the 5% to 7% range, earnings growth in the 10% to 15% range and continue to improve our free cash flow as a percentage to sales and try to manage it between the 4% to 5% range. We are emerging from one of the most challenging economic environments that we've seen in decades. I think the very strong message for us is that I believe we are emerging this period as a much stronger company. We have substantially lowered our break even point, substantially improved our financial strength and expect to bring a very strong cadence of new products to the market during 2010 and beyond. While the economy remains volatile, we feel we are well positioned to meet our long-term value creating objectives and we'll reposition ourselves for significant values for our shareholders in 2010 and beyond. I'm going to end here. And I'd now like to open this up to call out for any questions you may have."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Operator","[Operator Instructions] Our first question comes from Sam Darkatsh at Raymond James.",12,"[Operator Instructions] Our first question comes from Sam Darkatsh at Raymond James."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Analysts","Two questions. First off, the Latin American expectations of up 5% to 10%, obviously, the comparisons, especially in the second half is going to be pretty onerous. And Mike, I know your references, but how much did the IPI favorably affect sales units in",106,"Two questions. First off, the Latin American expectations of up 5% to 10%, obviously, the comparisons, especially in the second half is going to be pretty onerous. And Mike, I know your references, but how much did the IPI favorably affect sales units in 2009? And how can you tell how much is the underlying economy helping that business versus the incentives? That would be my first question. My second question will have to do with price/mix. You're expecting neutral price/mix in 2010, although it looks like price/mix degraded pretty sharply in the tail end of 2009. Why does that stabilize, would be my second question."
314515,84983909,47983,"Whirlpool Corp., Q4 2009 Earnings Call, Feb 02, 2010",2010-02-02,"Earnings Calls","Whirlpool Corporation","Executives","Well, Sam, let me try to answer your first question relative to the market in Brazil. If you remember, the IPI tax holiday was actually put on in April of 2009. And we still saw growth in the Brazil business of over 30%, which essentially says that it was",214,"Well, Sam, let me try to answer your first question relative to the market in Brazil. If you remember, the IPI tax holiday was actually put on in April of 2009. And we still saw growth in the Brazil business of over 30%, which essentially says that it was not -- that growth rate was not all driven just from the IPI tax. Now they've just repealed the, if you will, that tax. So it's hard for us to know exactly what the outcome's going to be. But suffice it to say, there's probably about 30 to 45 days of inventory in the system that will qualify for the tax. And then after that, our view is that the underlying economics, both with low interest rates and the general economic conditions, is going to drive favorable -- could continue to drive a favorable market environment for us. So I feel pretty confident about that. The other piece is that we've got the International businesses, the Chiles and Colombias, et cetera, which as you know were down significantly in 2009. And we expect to have some recovery in those markets. So I can't give you an exact number of what the IPI tax drove, but we feel very comfortable about the 5% to 10% range."
