"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Operator","Good day, everyone, and welcome to the Bemis Fourth Quarter 2010 Earnings Release Conference Call. [Operator Instructions] For opening remarks and introductions, I will now turn the conference over to the Vice President and Treasurer for Bemis Company, Ms",46,"Good day, everyone, and welcome to the Bemis Fourth Quarter 2010 Earnings Release Conference Call. [Operator Instructions] For opening remarks and introductions, I will now turn the conference over to the Vice President and Treasurer for Bemis Company, Ms. Melanie Miller. Ms. Miller, please go ahead."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Executives","Thank you, operator. Welcome to our Year End 2010 Conference Call. Today is February 1, 2011. After today's call, a replay will be available on our website, www.bemis.com, under the Investor Relations section. Joining me for this call today are Bemis Comp",252,"Thank you, operator. Welcome to our Year End 2010 Conference Call. Today is February 1, 2011. After today's call, a replay will be available on our website, www.bemis.com, under the Investor Relations section. Joining me for this call today are Bemis Company's President and Chief Executive Officer, Henry Theisen; and our Vice President and Chief Financial Officer, Scott Ullem. Today, Scott will begin with his comments on the financial results, followed by Henry with comments on the business.
After our comments, we will answer any questions you have. However, in order to allow everyone an opportunity to participate, we ask that you limit yourself to one question at a time with a related follow-up, and then fall back into the queue for any additional questions. 
Before we begin, I'd like to remind everyone that statements regarding future performance of the company made in this teleconference are forward-looking and are subject to certain risks and uncertainties. Actual results may differ materially from historical, expected or projected results due to a variety of factors, including currency fluctuations, changes in raw material cost and availability, industry competition, unexpected consumer buying trends or customer order patterns, our ability to pass along increased costs in our selling prices, changes in government regulatory requirements, interest rate fluctuations and regional economic conditions. A more complete list of risk factors is included in our regular SEC filings, including the most recently filed Form 10-K for the year ended December 31, 2009.
Now I'll turn the call over to Scott Ullem."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Executives","Thanks, Melanie, and good morning, everyone. Today I'll discuss the results of the fourth quarter and then provide some color on our guidance for 2011. Before we get into the details, I'd like to note some of the key financial highlights from 2010. We rep",1330,"Thanks, Melanie, and good morning, everyone. Today I'll discuss the results of the fourth quarter and then provide some color on our guidance for 2011. Before we get into the details, I'd like to note some of the key financial highlights from 2010. We reported record adjusted earnings per share of $2.12, our second year in a row of double-digit EPS growth in with our guidance for the year and the quarters. We recorded our second highest year ever of free cash flow in the face of increasing raw material costs, as well as higher levels of working capital related to Food Americas as we carried extra inventory during the integration of our expanded plant network. We paid down approximately $200 million of debt since the acquisition of Food Americas on March 1, and we repurchased 1.5 million shares of Bemis common stock.
Now turning to the fourth quarter. Our results were in line with our guidance and continued to demonstrate healthy growth over the prior year. Earnings per share before special charges was $0.49 for the fourth quarter of 2010, compared with $0.45 last year, an increase of 9%. Net sales increased by about 38%, including about 34% from the Food Americas acquisition. The remaining 4% organic growth reflects the increase in sales in 2010 compared to the pro forma sales of 2009. Currency did not have a significant impact on consolidated sales during the quarter. 
In the Flexible Packaging business segment, net sales increased by about 44% for the quarter, of which about 40% related to the Food Americas acquisition. The remaining 4% organic growth reflects the impact of higher raw material costs pushing up selling prices in addition to increased sales of higher-priced value-added products. Volumes in North America were somewhat higher compared to the fourth quarter of 2009, reflecting the continuation of volume trends that we experienced throughout 2010. 
In Latin America, now almost 20% of Bemis, sales volumes declined in the fourth quarter as customers in Brazil made inventory adjustments at the end of the year. And in our Mexico operations, we strategically reduced volumes and improved sales mix resulting in improved profitability.
Our European Flexible Packaging sales remained below last year's levels. However, we did see sequential volume improvement compared to the third quarter of 2010, which is encouraging. 
In the Pressure Sensitive Materials segment, which represented about 10% of sales this quarter, net sales increased nearly 4%, excluding the impact of currency, which represents stronger volume sales in North America and the pass-through of increased raw material costs.
Moving on to operating profit. We are very pleased with the cost savings results of our integration efforts. We have achieved the targets we set for 2010, and we are on track to achieve our run rate target of $60 million of cost savings by the end of 2011. Going forward, these integration synergy targets have been built into our existing continuous improvement programs and will no longer be separately identified as synergies. This is a positive indicator of the extent to which we have completed our integration of Food Americas. It is important to note that the lower operating profit margins associated with the newly acquired Food Americas business have reduced our overall operating margins to 2010. 
Looking sequentially at operating profit for the Flexible Packaging segment from the third quarter of 2010 to the fourth quarter, the nearly 1% decrease reflects primarily the seasonal decline in volume, coupled with increased raw material costs in the fourth quarter. 
Selling prices increased contractually and with non-contract customers during the second half of 2010 to reflect the higher costs of raw materials. Our business model uses escalator and de-escalator causes in customer contracts to mechanically adjust selling prices for changes in raw material cost on a regular basis. These causes are embedded in our multiyear customer contracts, which represent approximately 2/3 of our Flexible Packaging sales. This is a common industry contract cost and therefore, the contracts that we acquired with the Food Americas acquisition in 2010 also includes similar escalator and de-escalator causes. However, the acquired contracts have longer periods of time between selling price adjustments than Bemis' standard policies. This will prolong the negative operating profit impact in a rising raw material cost environment in 2011. 
Several years ago, we shortened the adjustment periods in our contracts to address increased volatility in raw material markets. One of our priorities is to synchronize the terms of these Food Americas customer contracts with the Bemis contracts, including shorter adjustment periods in the escalator de-escalator causes. 
Selling, general and administrative costs increased during 2010, and we expect the SG&A spending to be approximately level in 2011 with 2010. The improvement in the line item other operating income and expense reflects the fact that we had $15 million in acquisition-related expenses and 2009. Most of the other operating income in 2010 was generated by fiscal incentives we earned in Brazil. 
Turning to the cash flow statement. In the fourth quarter, we generated $119 million of cash from operations, an increase of $39 million over the same period of 2009. For the full year 2010, we recorded our second highest level of free cash flow in our history. This was less than we had planned and resulted from higher working capital largely as a result of two factors. One, just as rising raw material costs had a negative short-term impact on our earnings, they also increased the carrying cost of our inventories. Two, we carried higher inventory levels during the integration process in order to ensure that we maintain high levels of customer service as we integrated our new production facilities. 
Capital expenditures totaled $48.5 million for the fourth quarter of 2010. This is a reflection of the timing of expenditures that had been planned for 2010 and realized in the fourth quarter. This year, we repurchased about 1.5 million shares of Bemis common stock. This offset approximately 1.2 million shares issued in connection with incentive compensation programs for Bemis employees. 
As we look to 2011, our earnings per share guidance for the total year is $2.33 to $2.48. This includes an assumption of constant currency exchange rates and increasing raw material costs through the first half of this year. Our guidance also reflects an increase of about $10 million in pension costs and continued accounting for the noncontrolling interest in our Brazilian subsidiary. While we continue to pursue a tender offer for the outstanding preferred shares of our Brazilian subsidiary, the purchase of those shares is not reflected in our guidance at this point since we cannot predict the timing or certainty of the completion of that transaction.
The increase in pension costs is primarily a reflection of the amortization of asset losses experienced back in the stock market decline of 2008. Subsequent gains are expected to reduce pension costs beginning in 2012. Our guidance for the first quarter of 2011 is $0.50 to $0.55. Again, the first quarter includes the months of January and February, which are seasonally slower months. In addition, higher benefit costs and raw material cost increases are expected to create headwinds compared to the first quarter of 2010. 
For the total year 2011, we expect capital expenditures to be approximately $150 million. This is below the level of depreciation plus amortization, which we expect to be about $215 million in 2011. The reason we have been able to keep capital expenditures down is because we acquired well-capitalized production capacity with the Food Americas acquisition, and world class manufacturing initiatives are contributing to our production efficiencies. Longer-term, we expect capital expenditures to be closer to D&A.
Finally, in addition to our judicious approach to capital expenditure decisions, we also remain committed to disciplined use of free cash flow. We are continuing to seek strategic and accretive acquisition opportunities. Meanwhile, we will continue to improve shareholder value by repurchasing shares opportunistically and reducing interest expense. 
Now I'll turn it over to Henry for his comments."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Executives","Thank you, Scott. To start with, I'm very pleased with the performance of the company in 2010 and the progress we have made integrating the Food Americas acquisition. Our success in this effort is thanks to the talent and hard work of many dedicated Bemis",809,"Thank you, Scott. To start with, I'm very pleased with the performance of the company in 2010 and the progress we have made integrating the Food Americas acquisition. Our success in this effort is thanks to the talent and hard work of many dedicated Bemis employees in North America and Latin America, including sales, marketing, operations, engineering, customer service, finance, purchasing, human resources, information technology and our R&D teams. Today, I'll focus my comments on three main topics: the product development and process improvements being derived from the completion of the Food Americas integrate; the climate for raw material costs and strategic investment of 2010; and the plan for 2011. 
Our customers have been pleased with what has been a nearly seamless transition, and our focus on maintaining customer service throughout this integration has further strengthened our customer relationship. As Scott mentioned, we have begun to move production among our facilities to better align our production facilities and technologies to optimize our manufacturing footprint. Part of the integration plan for the newly acquired facilities was the opportunity to leverage the new products, technologies and manufacturing expertise that came from the Food Americas acquisition. 
Let me give you some examples of commercial opportunities arising from our joint portfolio of technologies. One example is the expansion into new markets for products from cup products from single-served coffee to cups for creamers, puddings and single-served condiments. This is a result of the combination of our unique rigid film structures with the Food Americas leading technology around heat seal, lacquer and die-cutting capabilities supplying the complete solution.
We have leveraged our film foil and sealing technologies to replace and improve the performance of our blister pack used for oral pharmaceuticals in Latin America. Now that we enjoy the leading position in pharmaceutical packaging in Brazil, bringing this production in-house gives us a great opportunity to expand our expertise in this market category and offer innovation to our pharmaceutical customers. 
And lastly, an important part of our efforts toward development of more sustainable packaging is the reduction in the use of raw materials. By combining the processing technology of Food Americas with the polymer science of Bemis, we have been able to significantly thinner serial liner while matching all current performance criteria. As I've mentioned before, we have a high-quality portfolio of facilities, and we are making changes to incorporate best practices across all facilities on a continuous basis. 
In 2011, we expect earnings per share to continue its double-digit growth trend in spite of some unexpected cost increases. We are behind the raw material cost curve for the fourth quarter of 2010. At the beginning of this quarter, most of our selling prices have been adjusted to reflect these higher costs. But we expect raw material cost to continue the upward trend during the first half of 2011, which will put downward pressure on operating margins until the trend flattens out or reverses. As we have said in the past,, while our business model, it's upward or downward trending raw materials, fairly well, to minimize the impact of operating margins, dramatic volatility can have a very sizable impact on our short-term results, we currently don't expect anything under the and the normal trends. 
Capital expenditures were higher than usual of the fourth quarter of 2010, reflecting the impact of project spending, which was somewhat delayed by integration efforts earlier in the year but ultimately needed to be accomplished in 2010 in order to be prepared to meet 2011 capacity demands. Capital expenditures in 2011 will increase to approximately $150 million, which includes the expanded nine-layered capability to support our new products for refrigerated applications such as meat and dairy. These products that the consumer-oriented Bemis package and improve various to further extend the shelf life of these refrigerated foods.
In Latin America, we are also investing in new capacity to expand our production to proprietary barrier films for the protein market in that region. We have been pleased with the positive reception from customers over the past year as we introduced these films to our local customer base. While we expect additional growth in 2011, the benefits of the new capacity will have a stronger impact on 2012.
Overall, 2010 was a great year for Bemis. We have experienced an increase of over 30% of net sales, number of facilities and number of employees. And in the process, we've put together a talented team that is learning from each other and making positive changes to the business. I am pleased with the strong decline of new products that we're commercializing in 2011. Our manufacturing operations are improving every quarter as initiatives move forward, and we are keenly focused on helping our customers benefit from all the value that we have to offer them. 
Now I'd like to open up the call for questions."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Operator","[Operator Instructions] We'll go first to George Staphos with Bank of America Merrill Lynch.",14,"[Operator Instructions] We'll go first to George Staphos with Bank of America Merrill Lynch."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Analysts","I guess the first question I had on working capital, Scott, you mentioned that resin prices increasing and selling prices increasing in '10. I was wondering if you're carrying more working capital this year than perhaps you anticipated? That's clearly und",104,"I guess the first question I had on working capital, Scott, you mentioned that resin prices increasing and selling prices increasing in '10. I was wondering if you're carrying more working capital this year than perhaps you anticipated? That's clearly understandable. One thing you also mentioned that you kept higher working capital levels to maintain service through integration, which I would imagine you have planned for and therefore, shouldn't have been a source of negative variance. I just want to confirm why that might have been the case and just to make sure that the operation are running as you expect through the integration?"
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Executives","Well, we did plan for some of it, but not all of it, and as we integrated over 20 new production facilities, a lot of this was just preventive insurance to make sure that as customers -- that we could fill customers' orders in the time line that we expect",109,"Well, we did plan for some of it, but not all of it, and as we integrated over 20 new production facilities, a lot of this was just preventive insurance to make sure that as customers -- that we could fill customers' orders in the time line that we expected. We think that at this point, we do have the right mix of working capital. We are still moving some production among plants, but we feel good about having our finger on the pulse of the working capital and the inventories they're required to satisfy orders both of the raw material and the Web and the finished goods level."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Analysts","I think you've mentioned this in the past, but I just wanted to confirm, on the Food Americas contracts that have the somewhat longer lag, if you will, in terms of being able to readjust pricing, when do you think you'll be able to address most of those c",59,"I think you've mentioned this in the past, but I just wanted to confirm, on the Food Americas contracts that have the somewhat longer lag, if you will, in terms of being able to readjust pricing, when do you think you'll be able to address most of those contracts to get them to, if you will, Bemis' standards?"
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Executives","Sure, we'll as we've said, many of these multiyear contracts are three years and duration, and so as they mature at various points through the next couple of years, we'll work on getting those escalator de-escalator causes more synchronized with our polic",99,"Sure, we'll as we've said, many of these multiyear contracts are three years and duration, and so as they mature at various points through the next couple of years, we'll work on getting those escalator de-escalator causes more synchronized with our policy, which is shorter than what a lot of the Food Americas contracts were. Many of our multiyear contracts even go up to five years in length. So over the next several years, we'll be making those adjustments, but it's not going to be something that you see pop in, for example, in the next quarter or two."
255132,118360626,97559,"Bemis Company, Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","Amcor Flexibles North America Inc.","Operator","We'll go now to a Ghansham Panjabi with Robert W. Baird.",12,"We'll go now to a Ghansham Panjabi with Robert W. Baird."
