"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Operator","Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2010 Apartment Investment and Management Company Earnings Conference Call. [Operator Instructions] And now I would like to turn the call over to Lisa Cohn, Executive Vice President and Gene",45,"Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2010 Apartment Investment and Management Company Earnings Conference Call. [Operator Instructions] And now I would like to turn the call over to Lisa Cohn, Executive Vice President and General Counsel. Please go ahead, ma'am."
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Executives","Thank you. Good morning and good afternoon. During this conference call, forward-looking statements we make are based on management's judgment, including projections related to 2011 results. These statements are subject to certain risks and uncertainties,",191,"Thank you. Good morning and good afternoon. During this conference call, forward-looking statements we make are based on management's judgment, including projections related to 2011 results. These statements are subject to certain risks and uncertainties, a description of which can be found in our SEC filings. 
Actual results may differ materially from what may be discussed today. Also, we will discuss certain non-GAAP financial measures such as funds from operations. These are defined and are reconciled to the most comparable GAAP measure in the supplemental information that is part of the full earnings release published in AIMCO's website. 
Participants on today's call will be Terry Considine, our Chairman and CEO, who will provide opening remarks; and Ernie Freedman, our CFO, who will review fourth quarter results, capital market activities and guidance for the first quarter and full year 2011. Also on the room today and available to answer questions are Miles Cortez, our Chief Administrative Officer; John Bezzant, EVP of Transactions; Keith Kimmel, who runs our Property of Operations; and Dan [ph], who runs Three Doves and Construction Services. I will now turn the call to Terry Considine, our CEO. Terry?"
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Executives","Thank you, Lisa, and thanks to all of you for your interest in AIMCO. We had a good fourth quarter and a very solid 2010. In a few minutes, Ernie will discuss operating and financial results and provide 2011 guidance. But before I turn the call over to",760,"Thank you, Lisa, and thanks to all of you for your interest in AIMCO. We had a good fourth quarter and a very solid 2010. In a few minutes, Ernie will discuss operating and financial results and provide 2011 guidance. 
But before I turn the call over to him, I'd like to offer my perspective on where AIMCO has been and where we are going. As we all know, the last few years have been extremely difficult for the U.S. economy and it's not been an easy time for apartments either. But the apartment business has fared far better than the overall economy. 
Looking back, here's how AIMCO did. Total same-store income was up 3.7% in 2008, it was down 3.3% in 2009 and it was up 80 basis points last year. In other words, same store net operating income was positive for two of the last three years. And taken together, same store net operating income over that same three-year period was up 1.1%. So the big picture is we have a steady and improving business. And our conventional same store net operating results are better than peer averages for the past one, three and five years. 
And our conventional same store operating margin actually improved during the great recession, it was better by 61%. And during all of this, our balance sheet got better. For example, recourse debt was largely eliminated, costs were lowered, near-term maturities were reduced, liquidity and capacity were increased. These were results are quite solid and reflect the hard work and the professionalism of the entire AIMCO team and they have my admiration and thanks. 
As we turn to the new year, we begin with cautious optimism. But also concerned about the pitfalls that may lie ahead. On balance, we expect a gradual and halting recovery in the U.S. economy. But could also continued high unemployment, so that consumers will be price-sensitive and cautious, labor costs will be subdued and the Federal Reserve will be motivated to keep interest rates low even at the risk of unwelcome inflation. 
We are concerned that capital markets remained vulnerable to shocks, such as we saw last year with the euro zone sovereign debt crisis. And as we may see this year, perhaps following the headlines in the Middle East or perhaps in response to the financial straits the state and federal government. 
So with that as backdrop, our first priority is to maximize revenues by maintaining high occupancy and working to increase rental rates. Now I've read the peer reports and the projections of data providers and some are more optimistic than I am. If they prove correct, and I hope they are, I expect AIMCO rent increases will track their projections. But we are not, at least not yet, projecting such large increases, and so we are making our plans assuming that the road remains a little bumpy. 
As a result, our second priority is continued strict cost control, both at our properties where we're managing costs quite carefully and off-site, where we continue to reduce costs, including G&A by deploying laborsaving technology and by simplifying our business. For example, liquidating non-core activities and reducing the number of partnerships and their related expenses. 
Notwithstanding our cost discipline, we plan to continue and even increase substantial repairs and maintenance spending and also to increase the number of revenue enhancing capital projects so that our properties are in a good position to attract whatever rent increases may be available. Along the same lines, we expect to ramp up our redevelopment activity with a handful of redevelopment starts later in the year. We expect to strengthen our balance sheet by avoiding recourse debt, reducing refunding risk by extending the duration of our debt, already 1/3 longer than the peer average, taking advantage of today's interest rates to lower our cost of leverage and reducing leverage overall by embracing the discipline and property debt amortization. 
We are actively pursuing acquisition opportunities in our target markets and regularly underwrite properties and make offers to buy them. But for the time being, we see more attractive investment opportunities within our existing portfolio. In tender and merger activities within our partnerships and in property upgrades and the redevelopment of properties we already own. In some, our theme is more steady as it goes than happy days are here again. As the economy does accelerate, as we all hope, we'll be ready and in a good position to participate fully. With that, I'll turn it over to Ernie Freedman, AIMCO's Chief Financial Officer. Ernie?"
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Executives","Thanks, Terry. On today's call, I'll cover the following subjects. First, our operating and financial results for the fourth quarter and full year 2010. Second, our balance sheet. And third, I'll provide first quarter and full year 2011 guidance. As ope",1222,"Thanks, Terry. On today's call, I'll cover the following subjects. First, our operating and financial results for the fourth quarter and full year 2010. Second, our balance sheet. And third, I'll provide first quarter and full year 2011 guidance. 
As operating results, fourth quarter and full year total portfolio NOI, total same-store NOI and conventional same store NOI were all positive year-over-year. Specifically, total same-store NOI, which includes conventional and affordable same store was up 6.1% for the quarter and up 80 basis points for the year. The components of total same-store includes conventional and affordable properties. Conventional same store NOI was up 5% for the quarter and up 20 basis points for the year. Affordable same store NOI was up 15.3% for the quarter and up 4.8% for the year. 
For our conventional same store properties, rates on new leases during the quarter were on average, 90 basis points higher than expiring lease rates, making the fourth quarter the first time since the second quarter 2008 that new lease rates were positive on a lease-to-lease basis. 
Rates on renewal leases during the quarter were on average 1.6% higher than expiring lease. Conventional same store expenses were down 3.7% for the quarter, primarily due to adjustments of previously estimated real estate taxes after successful settlement of appeals during the quarter. Controllable operating expenses such as personnel costs, marketing and turnover where also lower than fourth quarter 2009, while we have continued to increase spending to upgrade our properties. 
For the year, conventional same store expenses were down 1%, primarily due to lower real estate taxes for controllable operating expenses essentially flat. Regarding January 2011, average daily occupancy for our conventional same store portfolio was 96.4% and new lease rates were up 1.4% from expiring lease rates while renewal rates were up 2.5% from expiring lease rates. 
Overall, year-over-year monthly revenue growth have been positive since August and January 2011 revenues up 2.1% from January last year. 
As FFO. Fourth quarter FFO of $0.39 per share was $0.03 per share above the midpoint of our guidance range, primarily as a result of property operating income $0.05 per share above expectations, including $0.04 for Conventional Same Store, primarily due to higher occupancy and property tax adjustments that were not contemplated in guidance. In $0.01 from affordable property operations due to higher average rates. These favorable results partially offset by the write-off of uncollectible fees which totaled $0.02 per share. 
Turning to our balance sheet. With our term debt fully repaid in July, our only recourse debt obligation is a revolving line of credit, which other than collateralized letters of credit was undrawn at December 31 but available capacity was $260 million. We have no property debt maturities during the first quarter. 
For the full year, we have $105 million of property debt maturing. Of this amount, $79 million occurs from the second quarter, which we only lock in the third quarter of 2010 and will be refinanced this quarter. Loan is a seven-year, fixed-rate loan at a rate of 3.56%. The remaining $26 million of maturities represents four loans that were refinanced in the ordinary course during the year. 
We will continue our efforts to look for opportunities to extend 2012 through 2015 property debt maturities to reduce refunding risk and to take advantage of current interest rates, and we remain on plan to reduce somewhat AIMCO financial leverage, both by cyclical recovery of property income and by scheduled amortization of our property debt, which averages about $80 billion per year over the next few years. 
During the fourth quarter, we issued 600,000 shares under our ATM program at a weighted average price of $24.50 per share generating $14 million in proceeds. This cash was used to complete two partnership merger transactions. And finally, we now somewhat that our Board of Directors declared a $0.12 per share quarterly dividend, which represents a 30% increase. 
Looking ahead to 2011 for the year, FFO was projected to range from $1.46 per share to $1.56 per share. Page 6 of our release includes a reconciliation of 2010 FFO to 2011 guidance at the midpoint, specifically $0.13 per share increase from operations due to higher rates, $0.09 per share in lower offset costs including G&A and $0.02 per share in lower preferred stock dividends. These positive variances and recurring line items are offset by the following negative variances which are non-recurring in nature: $0.12 per share from 2010 and 2011 property sales, $0.06 per share due to the impact of refinancing floating rate property debt to fixed rate during 2010 and 2011, $0.05 per share from lowering non-recurring revenue and $0.03 per share due to lower interest income due to reductions and receivables. 
A particular assumptions for the full year 2011 have been provided in our earnings release and includes the following for property operations. We expect total portfolio Net Operating Income, which includes our Conventional Same Store properties, Redevelopment Properties and our affordable properties have increased year-over-year 2% to 4%. We anticipate year-over-year Conventional Same Store NOI growth of 2.5% to 4.5%, which includes revenue growth of 2% to 3% and 0.5% to 1% increase in expenses. Within our assumptions for revenue growth is the expectation that both new lease and renewable rental rates will increase 3.6% over expiring leases. Third-party data providers have forecasted in our markets that lease rates will be up somewhere between 3.1% and 6.2%. As Terry noted earlier, we remain cautious about the overall economy and stay projected that our new lease rates will be for the lower end of third-party estimates. However, our performance in 2010 is tracked by third parties, consistent with our own results and is at the high-end of performance amongst our apartment peers. The market turns out to be stronger than we are currently projecting, we are confident we will fully participate in this improvement as we did in 2010. 
Please refer to Page 5 of our earnings release for additional guidance assumptions, including projections for recurring and non-recurring Investment Management income, upside costs including G&A, capital expenditures, transaction activities and property debt activity. A comment about acquisition and refinancing activity. Our current guidance does not contemplate our completing acquisitions beyond our partnership transactions. However, we have included in guidance $2 million of pursuit cost as we continue to seek additional accretive acquisition opportunities. Regarding refinancing activity we are pursuing many opportunities to refund loans maturing in the upcoming years. It made the economy for us to incur prepayment penalties locked in today's lower interest rates and extent those maturities. 
Depending on the outcome of our new business effort and refinancing activities, pursued costs and prepayment penalties may be higher than currently contemplated in guidance. Lastly, for the first quarter of 2011, FFO is projected to be $0.33 to $0.37 per share, with year-over-year Conventional Same Store NOI growth of 3.5% to 4.5%. 
Before we take questions, I would like to mention that we will again be hosting several property tours in 2011. The schedule for which is included on Page 6 of this morning's earnings release. If you are interesting in attending one of these events, please contact Elizabeth Cohn to sign up. With that, we will now open up the call to questions. [Operator Instructions] Operator, I'll turn it over to you for the questions."
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Operator","[Operator Instructions] Our first question comes from Jay Habermann of Goldman Sachs.",12,"[Operator Instructions] Our first question comes from Jay Habermann of Goldman Sachs."
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Analysts","Terry, just surprised there wasn't any comments on Tim's departure. Could you give us some sense of in terms of the plans to identify his successor and the timing of such an announcement?",33,"Terry, just surprised there wasn't any comments on Tim's departure. Could you give us some sense of in terms of the plans to identify his successor and the timing of such an announcement?"
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Executives","Jay, as my comment would be that Tim has a wonderful opportunity. He'll do great job for Blackstone. We'll missing here. We don't plan to fill that position. We'll just lag the organization historically. AIMCO has not had a Chief Operating Officer. We had",177,"Jay, as my comment would be that Tim has a wonderful opportunity. He'll do great job for Blackstone. We'll missing here. We don't plan to fill that position. We'll just lag the organization historically. AIMCO has not had a Chief Operating Officer. We had one for a couple of years, decade ago. Tom Cumi held that title and one for the last year well, Tim Beaudin, held that title. In general, what I would say is that over the past few years, we've significantly streamlined and refocused AIMCO and we've done so for several reasons. But one benefit has been to substantially reduced offset cost including G&A. And that's good, not bad. And generally we filled our vacancies by promoting from within. Our senior management team averages eight to 10 years of AIMCO experience, so we're used to together. And it shows that amidst this turnover, we've not missed a beat. In fact, our results have improved, visibly our peers and our G&A has been reduced from 7% of revenue in 2008 to about 4.5% last year."
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Analysts","In terms of the partnership acquisitions, can you give us a sense of the total size of such investment overtime and the types of yields you anticipate there? And I guess just continuing on that theme of transaction, can you comment on the asset sales and",54,"In terms of the partnership acquisitions, can you give us a sense of the total size of such investment overtime and the types of yields you anticipate there? And I guess just continuing on that theme of transaction, can you comment on the asset sales and I guess what drove the nine cap there?"
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Executives","Jay, this is Ernie. I'll address the question around the partnership merger and tender activity and I'll let John jump in to talk about the cap rates with regards to sales that happen in the fourth quarter. We expect to finish most of our merger in '10 ac",183,"Jay, this is Ernie. I'll address the question around the partnership merger and tender activity and I'll let John jump in to talk about the cap rates with regards to sales that happen in the fourth quarter. We expect to finish most of our merger in '10 activity within 2011 and we've laid that out in our guidance until expectations were in terms of the amount of assets. For us, the great thing was the merger and tender activities, we already know the assets that greatly reduced our underwriting risks. In addition these activities help us simplify our business, and we're able to reduce overhead as we eliminate added expenses from those partnerships like audits [ph] and things like that. Concerning the returns, looking strictly at the real estate, the returns will be similar to what we will be able to get in the marketplace acquiring assets but they get that extra benefit of knowing the assets better and also helping reduce our offset costs. With that I'll ask John to comment on cap rates from our sales activity in the fourth quarter."
336458,117982706,99439,"Apartment Investment & Management Co., Q4 2010 Earnings Call, Feb 04, 2011",2011-02-04,"Earnings Calls","Apartment Income REIT Corp.","Executives","As we've communicated previously, we are recycling capital through the portfolio, and we have aggressively focused our sales in the sellout the bottom of the portfolio. What you're seeing in the relatively small sample from the fourth quarter last year is",117,"As we've communicated previously, we are recycling capital through the portfolio, and we have aggressively focused our sales in the sellout the bottom of the portfolio. What you're seeing in the relatively small sample from the fourth quarter last year is tertiary, secondary market sales, handful properties and primarily Michigan and Indiana and a couple of properties in some special situations, environmental issues and some other things going on. You will not see on a go-forward basis a similar cap rate. It's something not in our expectations as we move forward. And it's not reflective of the portfolio as a whole and certainly not what we are planning as we look forward to this coming year."
