"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Operator","Good morning, everyone, and welcome to the CMS Energy 2010 results and outlook call. This call is being recorded. Just a reminder, there will be a rebroadcast of this conference call today beginning at noon Eastern Time, running through March 3rd. This pr",81,"Good morning, everyone, and welcome to the CMS Energy 2010 results and outlook call. This call is being recorded. Just a reminder, there will be a rebroadcast of this conference call today beginning at noon Eastern Time, running through March 3rd. This presentation is also being webcast and is available on CMS Energy’s website in the Investor Relations section. At this time, I would like to turn the call over to Ms. Laura Mountcastle, Vice President and Treasurer. Please go ahead.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Executives","Good morning and thank you for joining us today. With me are John Russell, President and CEO; and Tom Webb, Executive Vice President and CFO. Our earnings press release issued earlier today and the presentation used in this webcast are available on our we",175,"Good morning and thank you for joining us today. With me are John Russell, President and CEO; and Tom Webb, Executive Vice President and CFO. Our earnings press release issued earlier today and the presentation used in this webcast are available on our website at cmsenergy.com.
This presentation contains forward-looking statements. These statements are subject to risks and uncertainties and should be read in conjunction with our form 10-Ks and 10-Qs. The forward-looking statements and information and risk factors section discuss important factors that could cause results to differ materially from those anticipated in such statements.
This presentation also includes non-GAAP measures. A reconciliation of each of these measures to the most directly comparable GAAP measure is included in the appendix and posted in the Investor section of our website. We expect 2010 reported earnings to be about the same as adjusted earnings. Reported earnings could vary because of several factors. We are not providing reported earnings guidance reconciliation because of the uncertainties associated with those factors.
Now I’ll turn the call over to John.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Executives","Thanks, Laura. Let me welcome everyone who is joining us today on the call. 2010 was another good year for CMS, both financially and operationally. We adjusted earnings per share of $1.36 slightly exceeding our guidance and up 8% from the $1.26 in 2009. T",1171,"Thanks, Laura. Let me welcome everyone who is joining us today on the call. 2010 was another good year for CMS, both financially and operationally. We adjusted earnings per share of $1.36 slightly exceeding our guidance and up 8% from the $1.26 in 2009. The increase was driven primarily by recovery of investments and aggressively managing our O&M costs.
Our Board raised the common dividend twice last year by a combined total of 68%. This was the fourth increase since restoring the dividend in 2007 and raises the payout ratio to a more competitive 58%. With the increase in the dividend, our total shareholder return for 2010 was 23%. Customer value is one of the cornerstones of our business strategy.
Last year we enhanced customer value on several fronts. We restructured the workforce early in the year, reducing cost by $30 million on an annual basis. We spent over $55 million on energy efficiency programs. Our customers saved energy and money, and our shareholders earned an incentive for exceeding the annual energy savings targets established by the MPSC.
We also continue to improve reliability on the electric distribution system. Customer outage minutes decreased by 13% last year, and we are now down 36% over the last five years. And we improved employee safety by 20% in 2010 and 57% over the past five years. I’m very pleased with the performance of the management team over the past seven years as we restructured our business and focused on the utility. We set a high standard for performance. As the graph illustrates, it is resulted in consistent financial performance and competitive shareholder returns.
Our annualized earnings per share is up 8% over this time period and expected to be up another 6% this year. Contributing to the future growth, we signed a new contract to upgrade the Ludington Pumped Storage facility. We plan to invest approximately $400 million over 10 years to improve the plant’s efficiency and increase its generating capacity by 16% to about 2,200 megawatts.
The plant allows us to store energy, which will become even more valuable with the development of renewable energy in Michigan. All major contracts for the development of our 100 megawatt Lake Winds Energy Park have been signed and approved by the Michigan Public Service Commission. Construction will begin later this year, and the energy park will be operational by the end of 2012.
We have also completed the majority of work on two major environmental projects to further reduce emissions from our coal-fired plants. We are in the process of installing an SCR at our Campbell plant to reduce NOx, and we are also installing a pulse jet fabric filter at our current plant to comply with EPA standards. These projects continue to add value to our customers, improve the environment, add to our rate base, and help boost earnings going forward.
We’ve recognized that customer value is a critical element to continuing to deliver long-term financial results. In that regard, we have developed several areas of focus to improve the customer value proposition. We have redesigned the customer bills and our website. We have also improved the performance of our call centers. We signed a new five-year labor agreement with the union that provides for increased healthcare cost sharing and changed post-retirement health benefits. Going forward, this eliminates the legacy cost for all new salary and union employees.
We plan to continue maximizing our energy optimization programs to help our customers lower their energy consumption. So far, over 300,000 customers have taken advantage of the programs we offer, helping them to save energy and money. System reliability is an important element of customer satisfaction. As referenced earlier, we continue to make improvements to system reliability in both the electric and gas distribution areas. We plan to spend more than $400 million over the next five years to continue improvement in these areas.
And finally, the most important aspect of service is delivering reliable power at a competitive price. Over the next five years, we plan to invest over $6 billion to drive rate base and earnings per share growth of 5% to 7%. However, with a sharp focus on managing our cost and achieving the benefits from our investment programs, we plan to hold customer base rate increases to about the rate of inflation. We believe this represents a good balance between price and enhance customer value.
As illustrated on this slide, over 80% of our $6 billion investment plan relates to maintaining our electric and gas distribution systems, leading environmental requirements, and achieving the 10% renewable standard in Michigan. The remaining investments are targeted at improving safety, system reliability, and providing a smart grid for our customers.
To meet Michigan 10% renewable energy standard, we are required to add at least 500 megawatts of new renewable energy capacity by 2015. To achieve this level, we have entered into purchase power agreements that will provide 300 megawatts of capacity by the end of 2012. And we have plans to develop 250 megawatts of our Lake Winds and Cross Winds Energy Parks by the end of 2014.
As a result of declining production costs, better capacity factors and the production tax credits, the cost to comply with the standard has declined significantly since our plan was approved by the Michigan Public Service Commission in 2009. Today, we will file an amended plan with the Commission that will lower the customer surcharge by $55 million or 70% from $78 million per year to $23 million per year, with no impact to our long-term earnings per share growth rate. We anticipate that this reduction will be effective by the end of the year. This does not change our plans to invest $650 million over the next five years at our two energy parks.
Turning now to the regulatory front, we are in our third year of regulation, following the passage of the 2008 Michigan Energy Law. We have completed two electric rate cases and one gas case. And by all accounts, the process has worked smoothly and efficiently. Cases were filed, rates were self-implemented, and a final order was received within 12 months of filing.
However, in the current gas rate case, the Commission has delayed our self-implementation to give parties an opportunity to respond to our process or proposed the keys from $48 million to $29.5 million. They filed the responses earlier this week, and we have until March 1st to file the reply. This will delay our self-implementation by several weeks from our original date. We will continue to work with the Commission to resolve this issue, which we believe is procedural in nature.
Our strategy has delivered proven results, both financially and operationally. We will continue to improve in all areas with an added emphasis on customer value. Safe, excellent operations coupled with competitive prices translates into value for our customers and ultimately value for our shareholders.
Now let me turn the call over to Tom to review the financial performance in greater detail.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Executives","Thanks, John. Let me add my welcome to everyone joining the call today. We certainly appreciate it. 2010 was a good year for CMS Energy. Our reported earnings were $1.28 a share, and that’s $0.37 or about 40% above last year. Adjusted EPS was $1.36, up",1538,"Thanks, John. Let me add my welcome to everyone joining the call today. We certainly appreciate it. 2010 was a good year for CMS Energy. Our reported earnings were $1.28 a share, and that’s $0.37 or about 40% above last year. Adjusted EPS was $1.36, up a $0.10 from last year and just above our guidance.
We excluded from adjusted earnings a substantially favorable insurance settlement worth $0.11 as well as unfavorable legacy cost principally $0.10 for environmental remediation at a site at Northern Michigan called Bay Harbor. We increased the remaining reserve from $58 million to $98 million to ensure adequate financial capacity. We are in the final stages of this work, and we expect that we are near the end of these costs.
Now, back to 2010 overall, we started the year by restructuring the utility when we eliminated 5% of our workforce to stay aligned with the demand and to minimize the size of rate increases to our customers. We sold non-utility assets including small renewable facilities in California and Connecticut.
We also completed $800 million of refinancing at the parent permitting us to reduce the ongoing cost of debt service, eliminate dilution overhang, and improve our liquidity. This included pre-funding parent debt maturities as well as $375 million of pension contribution for 2011 and most of 2012. We exceeded energy optimization targets that permitted us to recognize the maximum incentive payout of $8 million. This does not count in our ROE performance compared with authorized levels.
We adopted the fourth year of bonus depreciation, allowing us to sustain higher levels of investment in Michigan and to extend the use of our NOLs another two years. And last but certainly not least, we did raise our dividend by 20% last January and another 40% in August. The economy turned favorable in 2010. Industrial sales in our service territory were up 10%, with total weather-adjusted electric sales up 2%.
Residential and commercial sales lagged, as shown in the left of this slide. The recession impacted our sales less than the one that occurred in the early ‘80s when sales fell 7% over three years. The recent decline ended up with a drop of 6%, but as you can see in the yellow ovals on this slide, we are planning on a slower recovery. One at about half the pace experienced in the early ‘80s. We may be a little conservative, but as you know, we seek to plan cautiously.
Our earnings improvement in 2010 compared with 2009 reflected planned investment at the utility and continued solid growth at enterprises. We did not repeat an $0.08 gain on refinancing in 2009, and in fact, we recognized $0.04 related to the cost of prefunding debt and $0.09 of dilution to improve our position in 2011. You will see more about this in just a moment.
The key driver to our financial performance, however, continues to be the utility where we focused all of our investment resources to deliver substantially improved customer performance, from energy efficiency to environmental upgrades to additional renewable capacity and the major improvements in reliability and safety.
As you can see here, investment levels in 2009 and 2010 were higher than the previous five years to meet the substantial needs of our customers. This is a major factor in the improvement of our gross operating cash flow, and that’s cash flow before working capital, taxes and interest expense. It reflects the improving capacity of the company to meet future needs. This measure has been a weak point compared with other utilities in the past. It’s becoming a strong point, particularly when coupled with our substantial NOLs that provide a consolidated tax shelter through 2014.
Bonus depreciation enacted into law last December enhanced our tax advantage position further, effectively extending the planned use of our NOLs by about two years. Bonus depreciation helps us at the utility where all our capital investment occurs. We put this new bonus depreciation cash benefit to good use by accelerating investment and pension funding, as well as reducing debt. This, however, leaves less tax sharing with the parent, reflecting the improved shelter at the utility. Near-term, that requires more debt on a temporary basis at the parent, and of course, all this nets out on a consolidated basis.
The great news, our tax shelter is largely in the form of NOLs at the parent last longer putting off the need to issue new equity through 2015. We met all our report card targets, save one for 2010. The phase of the parent debt is higher and originally planned, as we replaced less attractive equity-related financing costing about 4.5% a year, with more attractive low-cost debt costing 2.5% a year. We exceeded all other targets, including the utility equity ratio, cash flow to debt, operating cash flow and earnings.
Now let’s look ahead into this year. We expect sales growth to accelerate with residential sales recovering behind the sharp rebound in industrial sales. Many of our industrial customers have resumed pre-recession levels of production. Commercial sales, however, likely will be flat. As you can see here, utility earnings should continue strong reflecting a healthy level of investment to meet the needs of our customers.
Costs are recovered largely in a proved rate with less than a quarter coming from new rate request. The delayed self-implementation of the gas rate case in progress likely will have a negative impact of about $0.01. We have included this in our guidance. Gas weather benefits reflect the absence of a mild weather in 2010 and a cold start in 2011.
Please note the refinancing benefit shown here at $0.09. This is the saving that I mentioned earlier. The strong operational and financial platform put in place over the last few years continues to support improving customer service as well as earnings. Here is the utility investment and gross operating cash flow slide we just looked at, with plans for 2011 added.
Both investment and cash flow continue to grow. During the 10 years prior to 2007, investment averaged a little less than $600 million, rising to an average of about $800 million in the 2004 to 2008 period and $1.1 billion this year. That drives the gross operating cash flow up at a similar pace, strengthening the capacity for future growth.
And most of you tell us that you do appreciate having a ready reckoner to assess risk and opportunities on your own. Here is the latest version. Our risk mitigation programs had helped us to substantially minimize exposure to changes in sales, fuel prices, collections, and other costs. It continues to be important that we deliver strong customer value and earn our authorized ROE levels.
We appreciate our Public Service Commission’s foresight with continuing a competitive level of authorized ROEs, sending a clear message that they understand what it takes to attract investment to the State of Michigan. And as you know, we work hard to earn about the level of authorized ROE. We consistently reinvest surpluses when they occur to help our customers knowing that earning our ROE allows us to deliver an attractive growth in earnings per share.
For 2011, here is our new report card. We set the EPS at $1.40, up another 6%. Most of you have asked us to maintain a point estimate rather than a range as provided by most companies. And we will work diligently to deliver on it. For gross operating cash flow, we picked the goal at a level up another notch reflecting the continued growth and strength of the company. All this provides metrics that reflect the next step beyond the past seven years of growth that we project to continue over the next five years.
Our planned rate base growth continues at 5% to 7%. That compares to a level of growth at 4% in the past. We are able to project EPS growth rates at 5% to 7% in part because of our ability to finance a good piece of the growth with avoided tax rather than dilutive equity. New bonus depreciation extends the value of our NOLs through 2014. Doing all this while holding down rate base related price increases at about the rate of inflation makes this plan even more practical and sustainable.
On this slide, you can see that 5% to 7% operating cash flow growth that goes along with the equivalent EPS growth. The investment that drives this growth is all focused on our customers at the utility.
We recognized the importance of earning the support of our customers and you, our investors, everyday. We completed cost restructuring last year, both at the utility and enterprises. We structured our debt portfolio, enhancing liquidity and cost. We grew our earnings and our cash flow more than planned. We substantially accelerated the plan to increase our dividend. We structured ourselves in a way to eliminate the need for new dilutive equity. We’ve vigorously employed risk mitigation. And in the future, we hope to deliver more of the same. We hope our track record speaks for itself.
And on that note, John and I would be delighted to take your questions. So, operator, could you please open the call for us?
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Operator","Thank you very much, Mr. Webb. (Operator instructions) Our first question comes from the line of Paul Patterson of Glenrock. Please proceed.",22,"Thank you very much, Mr. Webb. (Operator instructions) Our first question comes from the line of Paul Patterson of Glenrock. Please proceed.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Analysts","Good morning.",2,"Good morning.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Executives","Good morning.",2,"Good morning.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Executives","Good morning.",2,"Good morning.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Analysts","On the I guess post-retirement benefits, the healthcare cost, how does that show up in earnings? I mean, sometimes you see an accounting benefit in the near-term, and I was just wondering if you could sort of just give us a little bit of flavor as to what",55,"On the I guess post-retirement benefits, the healthcare cost, how does that show up in earnings? I mean, sometimes you see an accounting benefit in the near-term, and I was just wondering if you could sort of just give us a little bit of flavor as to what the rough impact of that was.
"
257682,117680078,106138,"CMS Energy Corp., Q4 2010 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","CMS Energy Corporation","Executives","I’ll tell you, the way to think about how it shows up, it shows up two different ways for us in the utility here in Michigan. In one manner, if we invest moneys like we’ve just did some pre-funding, that essentially is built into the working capital p",110,"I’ll tell you, the way to think about how it shows up, it shows up two different ways for us in the utility here in Michigan. In one manner, if we invest moneys like we’ve just did some pre-funding, that essentially is built into the working capital piece of our rate base. So we get to earn on it. And then in the other fashion, if it’s just in our cost structure, it’s in our expenses so that in that case we get to earn on that as we put it into our next rate case whenever this change up or down. And I think that’s really pretty simple.
"
