"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the Intuitive Surgical Fourth Quarter Earnings Conference Call. [Operator Instructions] I would now like to turn the conference over to your host, Director of Financial Planning and Analysis",47,"Ladies and gentlemen, thank you for standing by, and welcome to the Intuitive Surgical Fourth Quarter Earnings Conference Call. [Operator Instructions] I would now like to turn the conference over to your host, Director of Financial Planning and Analysis for Intuitive Surgical, Calvin Darling. Please go ahead."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","Thank you. Good afternoon, and welcome to Intuitive Surgical's fourth quarter conference call. With me today, we have Gary Guthart, our President and CEO; Marshall Mohr, our Chief Financial Officer; Aleks Cukic, our Vice President of Strategic Planning; a",238,"Thank you. Good afternoon, and welcome to Intuitive Surgical's fourth quarter conference call. With me today, we have Gary Guthart, our President and CEO; Marshall Mohr, our Chief Financial Officer; Aleks Cukic, our Vice President of Strategic Planning; and Gary McNamara, our Executive Vice President of Worldwide Sales and Marketing.
Before we begin, I would like to inform you that comments mentioned on today’s call may be deemed to contain forward-looking statements. Actual results may differ materially from those expressed or implied, as a result of certain risks and uncertainties. These risks and uncertainties are described in detail in the company’s Securities and Exchange Commission filings. Prospective investors are cautioned not to place undue reliance on such forward-looking statements.
Please note that this conference call will be available for audio replay on our website, at intuitivesurgical.com on the Audio Archives section under our Investor Relations page. In addition, today’s press release has been posted to our website. Today’s format will consist of providing you with the highlights of our fourth quarter results, as described in our press release announced earlier today, followed by a question-and-answer session. Gary will present the quarter’s business and operational highlights. Marshall will provide a review of our fourth quarter financial results. Aleks will discuss marketing and clinical highlights, and I will provide our financial forecast for 2011. And finally, we will host a question-and-answer session. With that, I'll turn it over to Gary."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","Thank you for joining us on the call today. 2010 was a year with some broad challenges and encouraging trends. In the year, our procedure mix shifted in favor of gynecology, as it eclipsed neurology as the largest specialty we serve. We are making good pr",1042,"Thank you for joining us on the call today. 2010 was a year with some broad challenges and encouraging trends. In the year, our procedure mix shifted in favor of gynecology, as it eclipsed neurology as the largest specialty we serve. We are making good progress in responding to the challenges inherent to our expanding business. 
In 2010, our focus was in four areas. First, driving the adoption of da Vinci surgery within the gynecology market. Second, enabling growth of new procedures within new specialties. Third, the expansion of our business internationally and fourth, rightsizing our various core teams within the company support the growth, most notably our sales organization. 
Looking back at the full year 2010, our operating highlights were as follows: Worldwide procedures grew by 35%, with international procedures growing by 42%. We sold 441 da Vinci Surgical Systems in the year, up from 338. Total revenue grew to $1. 413 billion, up 34%. Recurring revenue grew to $753 million, up 34% and comprising 53% of total revenue. We generated $673 million in operating profit before non-cash stock compensation expense, up 42% from last year and GAAP net income grew to $382 million, up 64% year-over-year. 
Now turning to operating highlights for the fourth quarter. Procedures grew 35%. We sold 124 da Vinci Surgical Systems. We ended the fourth quarter with 1,752 da Vinci systems installed worldwide. Total revenue for the quarter was $389 million. Instrument and accessory revenue increased to $151 million, up 33%.
Total recurring revenue, including service grew to $212 million, comprising 54% of total revenue. We generated an operating profit of $184 million in the quarter, before non-cash stock compensation expense, up 24% from the fourth quarter of last year, and GAAP net income grew to $121 million, up 56%. We ended the year with $1.609 billion in cash and investments, down $12 million from last quarter and up $437 million from last year. We received $141 million in cash during the year, from the exercise of stock options and invested $79 million in intellectual property, working capital, property plan and equipment and $199 million in stock repurchases for the year. Going forward, we will continue to look for stock repurchase opportunities. 
Gross cash from operations for the year were $573 million or $14.22 per fully diluted share and 150% of our reported GAAP net income for the year. This is a reflection of the significant non-cash stock option and statutory tax expenses reflected in our GAAP net income and is the reason that we believe that gross cash generated from operations remains the best measure of our financial performance.
In our adopting procedures in the U.S., the hysterectomy continued its strong growth, both in malignant and benign conditions growing 59% year-over-year. Cyclical myomectomy also continued to track their adoption curves. Urology also grew for the full year of 2010, through the continued adoption of and growth in the BP, the latter being focused in Europe. As benign conditions became a larger part of our procedure based in the U.S., we experienced increased exposure to seasonality and other patient treatment deferrals that are less common with cancer operations. We expect this exposure to be an ongoing part of our business. 
2010 was a strong year for emerging procedures. In fact, procedures falling outside the above-mentioned adopting procedures grew by 47% over 2009. Among procedures in new specialties of that purchase adoptions are da Vinci, da Vinci thoracic procedure and da Vinci Transoral Surgery procedure. Patient value in the specialties appears to be high and certain interest in early growth has been encouraging. I leave it to Aleks to provide more detail on our progress later in the call. 
We are pleased with our procedure adoptions in Europe in 2010, helped by growing debt and our European sales team. European procedures grew 48% year-over-year led by urology. We also saw the emergence of the da Vinci surgery for cancer and gynecologic surgery in Europe. 
2010 has been an investment year for products, with several of them in the mid-to-late stages of development. We believe these products will optimize existing producers and enable new ones. In Q4, we launched our da Vinci that's the stimulator which in combination with our dual console before searches more opportunity to train in da Vinci and track their progress.
Our single side product is in the late stages of regulatory review, in both the U.S. and Europe. We called it as product that is intended to facilitate da Vinci's single incision surgeries on existing Si systems. Our robotics stapling and invested products are in development and our progress with these products is encouraging. 
In imaging, our fluorescence imaging product is also in the late stages of the regulatory review progress in the U.S. and Europe. In 2010, we also connected the majority of our installed da Vinci systems to our da Vinci network that enable remote system, performance monitoring, as well as remote proctoring. We continue to invest in technologies that improve and enhance surgical imaging. Likewise, we also continuously invest in robotic technologies that simplify and enhance access to the body. 
Finally, as we've discussed on prior calls, we believe that the outset of 2010 that investments were required in our clinical sales force to support the continued expansion of gynecologic and emerging procedures in the U.S. We added 150 members to our clinical team through the year and have largely caught back up to the procedure to sales rep run rate that we believe supports our customers' needs during this period. Across the company, we added nearly 400 employees in 2010, ending the year with 1,660 people on our team. 
In closing, our priorities for 2011 are as follows: First, continuing our growth in gynecology and urology through outstanding execution in the field. Second, disciplined execution of our product development process through product launch. Third, driving deeper within the emerging procedures of colorectal surgery, thoracic surgery and TransOral surgery through procedure and product development with customers and fourth, strengthening our team both in the U.S. and in international markets to support the continued growth of the business. I'll now pass the time over to Marshall Moore, our Chief Financial Officer to take us through our financial performance in greater detail."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","Thank you, Gary. Our fourth quarter revenue was $389 million, up 21% compared with $323 million for the fourth quarter of 2009 and up 13% compared with $344 million for the third quarter of 2010. Fourth quarter revenue details were as follows: Fourth qu",1355,"Thank you, Gary. Our fourth quarter revenue was $389 million, up 21% compared with $323 million for the fourth quarter of 2009 and up 13% compared with $344 million for the third quarter of 2010. 
Fourth quarter revenue details were as follows: Fourth quarter instrument and accessory revenue was $151 million, up 33% compared with $113 million for the fourth quarter of 2009 and up 19% compared with $128 million in the third quarter of 2010. The increase relative to the fourth quarter of 2009 is primarily driven by procedure growth of 35% year-over-year. The increase relative to the third quarter is primarily driven by procedure growth, as well as an increase in the amount of stocking orders and customer purchases of our new 8.5 millimeters scopes. 
Instrument and accessory revenue realized per procedure, including initial stocking orders was approximately $1,940 per procedure, which is lower than the fourth quarter of 2009 by approximately $20 and higher than the third quarter of 2010 by approximately $100. The changes in instrument and accessory revenue per procedure primarily reflects changes and the impact of stocking orders. We expect the instruments and accessories per procedure to decline slowly over time given that initial stocking orders have a lower impact on a larger install base.
Fourth quarter 2010 systems revenue of $178 million increased 10% compared with $162 million of systems revenue for the fourth quarter of 2009 and increased 11% compared with $160 million of systems revenue for the third quarter. Recently, we began delivering new Si systems for customers, as Mac systems versus completing as a to Si upgrade. In addition, the contract terms and economics for this Si or as trade-ins are now reflective of Si sales.
Accordingly, we have begun including as to Si upgrades in our systems comps. Inclusive of 9 as to Si, we sold 124 systems in the fourth quarter of 2010. This compares to 110 systems in the fourth quarter of 2009 and 105 systems in the third quarter of 2010. I would note that the prior period system count exclude 10 as to Si upgrade for both the fourth quarter of 2009 and the third quarter of 2010. 
Our fourth quarter average sales price per system, including all da Vinci models and as to Si trade ins, but excluding upgrades was $1.41 million equal to the $1.41 million realized in the fourth quarter of 2009 and a decrease from the $1.43 million realized in the third quarter. The decrease in average sales price per system compared with the prior quarter is primarily the result of mix of products, including a reduction in the proportion of Si dual console sold in the fourth quarter of 2010, partially offset by an increase due to a greater number of systems sold to direct customers in Europe. 
Service revenue increased to $61 million, up 27% compared with $48 million last year and up 6% compared with $57 million last quarter. The growth in service revenue was primarily driven by a larger system install base and an increase in the mix of Si, which carry a higher annual service fee. 
Total fourth quarter recurring revenue comprised of instrument, accessory and service revenue, increased to $212 million, up 31% compared with the fourth quarter of 2009 and up 15% compared with the third quarter of 2010. Recurring revenue represent 54% of total fourth quarter revenue compared with 50% in the fourth quarter last year and 54% last quarter. 
Non-US revenue represented 25% of our total revenue in the quarter compared with 22% of total revenue in the fourth quarter of 2009 and 17% of total revenue in the third quarter of 2010. Non-US procedures grew 42% on a year-to-year basis in a seasonally stronger quarter. DVP in Europe was the greatest driver in non-U.S. procedure growth, although we experienced growth in all procedure category. 
Instrument and accessory revenue grew at a rate similar to the procedure growth. We sold 38 systems outside the U.S. including two as to Si trade ins compared to the 30 in the fourth quarter of 2009 and 22 last quarter. I would note that there was one as to Si upgrade outside the U.S. in both the fourth quarter of 2009 and the third quarter of 2010. 
Despite uncertainty surrounding European economies, we sold 28 systems in Europe this quarter compared to 16 in the third quarter and 21 last year. Aleks will provide additional details of overseas system sales. 
Moving onto the remainder of the P&L. Gross margin in the fourth quarter was 73% compared with the fourth quarter of 2009 gross margin of 72% and compared with the third quarter of 2010 gross margin of 73%. The increase over the prior year reflects lower manufacturing costs and absorption of fixed costs over a larger revenue base. 
Fourth quarter 2010 operating expenses of $128 million were up 23% compared with the fourth quarter of 2009 and up 8% compared with the third quarter. The quarter-over-quarter increase reflects costs associated with employees added during the quarter, and increased R&D prototype spending. We added 92 employees in the quarter, including 54 employees in the sales and service organization, as we continue to expand our clinical sales force and 28 employees in operations.
Fourth quarter 2010 operating income was $154 million or 40% of sales, compared with $128 million or 40% of sales for the fourth quarter of 2009 and $132 million or 38% of sales for the third quarter of 2010. Fourth quarter 2010 operating income reflected $30 million of non-cash stock compensation expense compared with $25 million for the fourth quarter 2009 and $30 million last quarter. The year-over-year growth in non-cash compensation reflects our annual grant made February 15 of this year. 
Our effective tax rate for the fourth quarter of 23% brought our annual tax rate to 33% compared to our 2009 rate of 41%. The reduction in rates between years reflects the implementation of our international tax structure and a greater portion of our income being generated outside the U.S. Our fourth quarter rate benefited from a greater portion of our income being generated outside the U.S. from the retroactive reinstatement of the federal R&D credit and from a reduction in nondeductible stock option expenses.
Our net income was $121 million or $3.02 per share compared with $78 million or $1.95 per share for the fourth quarter of 2009 and $87 million or $2.14 per share for the third quarter of 2010. 
Let me quickly summarize our results for 2010. Procedures grew by 35% to approximately 278,000. Total revenue for 2010 was $1.413 billion, up 34% compared with $1.052 billion last year. This included recurring revenue growth of 34% and an increase in systems revenue of 35%.
Operating income for 2010 was $555 million, up 47% compared with $377 million last year. Operating income included $118 million of stock-based compensation charges in 2010 compared with $97 million in 2009. Net income for 2010 was $382 million or $9.47 per share compared with $233 million or $5.93 per share last year.
Now moving to the balance sheet. We ended 2010 with cash and investments of $1.609 billion, down $12 million compared with September 30, 2010. The decrease during the quarter reflects $125 million of cash flows from operations, plus $8 million from the exercise of stock options, more than offset by $140 million of stock buybacks and $9 million of capital and IT purchases. 
During the fourth quarter, we bought back 530,000 shares at an average price of $2.64 per share, bringing our total repurchases for the year to 742,000 shares at an average price of $2.68 per share. As of December 31, there was $101 million of the board authorized buybacks remain. 
Our accounts receivable balance increased to $247 million at December 31 from $208 million at September 30, reflecting increased revenue. Our net inventory increased to $87 million at December 31 from $85 million at September 30. The increase reflects inventory necessary to support increased revenues. And with that, I'd like to turn it over to Aleks who will go over our sales, marketing and clinical highlights."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","Thank you, Marshall. During the fourth quarter, we sold 124 da Vinci systems, 86 in the United States, 28 in Europe and 10 and the rest of world markets. As part of the 124 system sales, 24 standard da Vinci systems were traded in for credit against sales",1168,"Thank you, Marshall. During the fourth quarter, we sold 124 da Vinci systems, 86 in the United States, 28 in Europe and 10 and the rest of world markets. As part of the 124 system sales, 24 standard da Vinci systems were traded in for credit against sales for new da Vinci Si systems and 9 S systems were traded in for Si systems. We had a net 91 system additions to the install base during the quarter, which brings to 1,752 accumulative number of da Vinci systems worldwide, 1,285 in the U.S., 316 in Europe and 151 in Rest of World markets. 50 of the 124 systems installed represented repeat system sales to existing customers. The 38 system sales internationally was our strongest quarter-to-date and included 6 da Vinci systems into Italy, 5 into Germany and 3 to the countries of France and Korea. 
Clinically, we had a strong quarter, with GYN and more specifically, benign dVH contributing the greatest absolute growth. While dVH for malignant conditions showed very good sequential growth, benign dVH growth was stronger, both in actual procedure growth and in percentage growth. Additionally, overall benign GYN procedures, which includes myomectomy and endometrial sections also exhibited strong sequential growth. Within this segment of urology, DBP, partial suspect to me were all up materially on a sequential basis. 
And finally, head neck, Colorado and thoracic receptions all distributeplayed a strong sequential growth. Our strong fourth quarter procedure growth was not limited to a specific geography. It was global in structure. On a year-over-year comparison, overall fourth quarter procedures grew by approximately 35%, which is consistent with our overall 2010 procedure growth, as well as our 2010 procedure guidance. 
On a global basis, we finished 2010 having completed approximately 278,000 total procedures, led by dVH representing approximately 110,000 and dVP representing approximately 98,000. Benign GYN procedures have become a significant catalyst for growth within our overall business. dVH, da Vinci Myomectomy and endometrial resections represent large business opportunities, both U.S. and internationally, and the period of data supporting da Vinci's role within these procedures is beginning to expand. 
A rapidly emerging benign GYN procedure, one we have not talked a great deal about is da Vinci Myomectomy. Myomectomy is a procedure to remove a uterine fibroid while preserving a patient's uterus. Currently, the gold standard operation for myomectomy includes a lower abdominal incision. Over the past few years, traditional that was go but have been performed regularly. However, due to the extensive suturing required for adequate closure, it is considered technically difficult and therefore limited in its clinical adoption. 
At the American Society reproductive medicine conference, a paper entitled robotic assistance and open myomectomy, a comparison of surgical outcomes was presented. The study was authored by a group of physicians representing the Cleveland clinic foundation and Case Western Reserve University. The study examined blood loss, length of stay and operating time for 575 patients within these 3 distinctive. The 3 groups were case matched with comparable myomas regarding size, number and location and adjusted for age and biomass index. When comparing da Vinci Myomectomy to open myomectomy, average surgical time did increase, but average blood loss was reduced significantly by 50% and the average hospitalization was reduced from 3 days to 1 day. When comparing da Vinci myomectomy to traditional laparoscopy, surgical time was reduced by an average of 22 minutes and blood loss was reduced by an average of 33%. 
In their conclusion, the authors wrote and I quote, robotic-assisted myomectomy is associated with decreased estimated blood loss and length of hospital compared to traditional laparoscopy and open myomectomy. Despite the robotic use is associated with longer OR time compared to open procedures, it is shorter than laparoscopic approach. It appears that robotic technology is able to convert more laboratory cases. 
Total GYN procedures represent nearly half about our overall procedure volume, with the overall the majority being comprised of procedures to treat benign conditions. We are pleased by the fact that our customers and patients are experiencing an enhanced clinical value within these large mainstream procedure categories. However, we do recognize that it makes procedure volumes more susceptible to general seasonality and macro economic pressures. This is due in large part to a patient's ability to postpone some treatments to a future date when it becomes more economically convenient for them. On the other end of the spectrum, we are experiencing a strong growth trajectories within the category that I will turn very complex procedures, procedures where volumes are seasonally affected, namely head and neck surgery, colon and rectal surgery, renal cancer, cervical and endometrial cancer and lung cancer procedures. While some of these procedures categories are potentially large, with steep growth trajectories, they also fairly young with respect to their adoption and therefore individually, their contribution is currently less impactful to our overall procedure number. 
The fastest-growing segment in 2010 was head and neck surgery. The category more than tripled in size during the year, and showed exceptional sequential growth in Q4. We are seeing more and more period literature describing da Vinci's role within this category. In the recent edition of the journal oncology, 3 surgeons from the Department of had neck surgery at the University of Texas and Cancer Center authored a comprehensive perspective paper entitled shifting paradigm or patients with head and neck cancer. While robotic surgery or. The paper reviewed the functional outcomes from various studies published by leading head and neck cancer centers such as the male clinic Rochester, University of Pennsylvania, the University of Alabama Birmingham and M.D. Anderson. The authors highlighted the initial study, which reported that 25 out of their first 27 patients undergoing a da Vinci procedure for carcinoma attained negative margins and the 2 patients with positive margins were later cleared. Local control was achieved in all 27 at a six months follow up. Next, the University of Alabama Birmingham evaluated 54 patients undergoing for us and found that only 5 required temporary with the cannulation or removal occurring at a mean of 8 days. Similar functional data was reported in a series by more agile at the male clinic. This group reported an average time of the cancellation of 7 days. This is a significant improvement for over conventional surgery where it is usually reported in weeks or months rather than days. These early evaluations of oncologic and functional outcomes of course illustrate a minimally invasive technique that permits resection of a tumor, while preserving patients willing. The M.D. Anderson group concluded their paper by stating and I quote the robotic surgery and head and neck oncology is an exciting innovation that provides significant advantages. Patients have and on the removal of their tumors via a minimally invasive surgery without a cervical incision while preserving function and potentially avoiding adjuvant radiation and its long-termWhile long-term oncologic functional data are needed to fully validate its use, early results are promising. That concludes my remarks and I'll now turn the time over to Calvin."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","Thank you, Aleks. I will be providing you with our financial forecast for 2011, including procedures, revenues and other elements of the income statement on a GAAP basis. I will also provide estimates of significant non-cash expenses to provide you with v",576,"Thank you, Aleks. I will be providing you with our financial forecast for 2011, including procedures, revenues and other elements of the income statement on a GAAP basis. I will also provide estimates of significant non-cash expenses to provide you with visibility into our expected future cash flows. 
Starting with procedures. We continue to see strong growth in da Vinci hysterectomies in the U.S., dVPs in Europe and general growth across about during range of procedures at earlier stages of market adoption. We expect our 2011 total procedures to grow between 25% and 28% from a base of approximately 278,000 procedures performed in 2010. Based on an increasing percentage of benign hysterectomies and other short-term elective procedures in our procedure mix, we anticipate a more pronounced quarterly seasonality impact in 2011 as compared to 2010. 
Moving to revenues. We expect to achieve annual revenue growth of between 16% and 20%. As a reminder, our revenues can fluctuate quarter-to-quarter, as system placements may vary. We expect typical capital sale seasonality in 2011, with Q1 being a relatively lighter quarter and Q4 being the seasonally strongest. 
With regards to gross margin. We reported fourth quarter 2010 gross profit of 72.5% of sales. Looking forward into 2011, we anticipate maintaining our margins near the current level at a rate of between 72% and 73% of sales for the year. Gross margin can fluctuate quarter-to-quarter due to product and geographical mix. 
Moving to operating expense. We expect our GAAP operating expenses to grow by approximately 16% to 20% and 2011, which is in line with our expected topline growth. Our 2011 operating expense growth will be driven by clinical sales resource additions in the field to support newly installed systems and drive procedure growth, investments in new and existing R&D projects to drive growth in our long-term business and non-cash stock compensation expense growth of approximately 22%. 
We expect our non-cash stock option compensation charges to increase from $118 million recorded in 2010 to approximately $140 million to $145 million in 2011. Amortization of purchased intellectual property, which is mostly recorded as R&D expense is expected to increase from $16 million in 2010 to $17 million to $20 million in 2011. 
Other income, which is mainly comprised of interest income has been decreasing due to lower interest rates earned on our cash investments. We expect other income to come in between $17 million and $18 million in 2011, which is down slightly from approximately $19 million earned in 2010. With regard to income tax. In 2010, we reported income taxes at a rate of 33.3% of pretax income as some of the items that benefited 2010 will not carry forward, we anticipate recording 2011 income taxes at about 34% pretax income. We estimate that our share count for calculating EPS in Q1 2011 will be approximately 40.3 million shares. Cash. Our cash balance as remained in the $1.6 billion range throughout the second half of 2010 as we have largely returned operating cash flows to shareholders in the form of stock repurchases including $140 million user purchase shares in Q4. Our repurchase program remains active and entering Q1 2011, we have approximately $101 million remaining, authorized by the board to buyback additional shares. We will communicate any future repurchase authorizations as they become effective. That concludes my comments. Now I will open the floor for your questions. And we'll first go to the line of Ben Andrew with William Blair."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Analysts","Maybe start talking about the procedure growth and go to the factors that the 35% performance in the quarter for the full year and '10 and you're guiding to 25% to 20% for next year. What the characterize that is conservative as you guided so many sales r",67,"Maybe start talking about the procedure growth and go to the factors that the 35% performance in the quarter for the full year and '10 and you're guiding to 25% to 20% for next year. What the characterize that is conservative as you guided so many sales rep your we do see productivity, 2 and there's an upside to that and what led to that guidance on?"
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","I guess my script I mentioned that we have bought back shares and a give prices of $2.64 to $2.58. Of you see, that wasn't the price at miss it by couple of digits. Quarter and $64.268.",37,"I guess my script I mentioned that we have bought back shares and a give prices of $2.64 to $2.58. Of you see, that wasn't the price at miss it by couple of digits. Quarter and $64.268."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Executives","The question on kind of what's on the led of growth guidance. The major drivers of growth looking forward will be the continued adoption of gynecology the U.S. In the U.S., the malignant side of hysterectomies so hysterectomy for cancer conditions are goi",135,"The question on kind of what's on the led of growth guidance. The major drivers of growth looking forward will be the continued adoption of gynecology the U.S. In the U.S., the malignant side of hysterectomies so hysterectomy for cancer conditions are going to the upper part of the curve and really the growth will be coming out of the 9 Mr. Rai to rebut on hysterectomy, steady so it's a little bit harder to consolidate. That's 1. The second source of growth in the procedure the main will be urology and Europe which is coming along nicely but a little lower on the curb and the merging procedures are growing really nicely in a little bit smaller base propose a little bit of it at a timing of different adoptions us to progress."
30239,118200816,93333,"Intuitive Surgical, Inc., Q4 2010 Earnings Call, Jan 20, 2011",2011-01-20,"Earnings Calls","Intuitive Surgical, Inc.","Analysts","Is it reasonably, Gary to go through the year to do that at the decelerating in some of those curves moving further out and higher to operate and again, you're just kind of in the front edge of the many of the newer procedure that you're been discussing?",48,"Is it reasonably, Gary to go through the year to do that at the decelerating in some of those curves moving further out and higher to operate and again, you're just kind of in the front edge of the many of the newer procedure that you're been discussing?"
