"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Operator","Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2010 NiSource Earnings Conference Call. My name is Danielle, and I will be your operator for today. [Operator Instructions] I would now like to turn the conference over to your host for tod",55,"Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2010 NiSource Earnings Conference Call. My name is Danielle, and I will be your operator for today. [Operator Instructions] I would now like to turn the conference over to your host for today, Mr. Glen Kettering, Senior Vice President of Corporate Affairs. Please proceed."
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Executives","Thank you and good morning. On behalf of NiSource, I'd like to welcome you to our Quarterly Analyst Call. Joining me this morning are Bob Skaggs, President and Chief Executive Officer; Steve Smith, Executive Vice President and Chief Financial Officer; and",174,"Thank you and good morning. On behalf of NiSource, I'd like to welcome you to our Quarterly Analyst Call. Joining me this morning are Bob Skaggs, President and Chief Executive Officer; Steve Smith, Executive Vice President and Chief Financial Officer; and Randy Hulen, Managing Director of Investor Relations.
As you know, the focus of today's call is to review our financial performance for the fourth quarter and full year of 2010 and to provide a business update. We'll then open the call to your questions. At times during the call, we will refer to the supplemental slides available on our website at www.nisource.com.
I'd like to remind you that some of the statements made in this conference call will be forward-looking statements. These statements are subject to risks and uncertainties that could cause actual results to differ materially from those expressed in the statements. Information concerning such risks and uncertainties is included in the MD&A and Risk Factors sections of our periodic SEC filings.
And now, I'd turn the call over to Bob Skaggs."
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Executives","Thanks, Glen. Good morning and thanks for joining us. Today we'll cover several key points before opening the line to your questions. First, I'll address NiSource's strong overall performance for 2010. As you can see, the team once again delivered financi",1740,"Thanks, Glen. Good morning and thanks for joining us. Today we'll cover several key points before opening the line to your questions. First, I'll address NiSource's strong overall performance for 2010. As you can see, the team once again delivered financial results in line with our earnings guidance while taking significant steps towards meeting customer needs, creating shareholder value and generating long-term sustainable earnings growth. 
I'll also touch on the foundational actions state taking during 2010 to strengthen NiSource's financial profile and enhance our ability to find a wide array of attractive infrastructure modernization and growth investment opportunities. And finally, I'll outline our 2011 earnings guidance, which reflects our continued commitment to sustainable earnings growth and underscores the underlying strength of NiSource's core businesses and the markets that we serve.
So first, let's turn to our 2010 results. For the year, we continued to see positive customer benefits, enhanced shareholder value and sustainable earnings growth from NiSource's well-established infrastructure investment driven strategy. During 2010, our team executed on a broad array of key regulatory and financial initiatives, infrastructure enhancement programs and new growth projects. 
These achievements, combined with improved margins and increased usage in our industrial electric markets, enabled us to deliver on our earnings commitments for the fourth consecutive year. For 2010, that means delivering earnings squarely in line with the increased non-GAAP range of $1.20 to $1.25 per share that we provided when we reported earnings for the third quarter. And notably, we achieved these results while remaining responsive to needs of our customers and other key stakeholders.
On Slide 3 of the supplemental slides, you can see that NiSource delivered 2010 net operating earnings non-GAAP of about $340 million or $1.22 per share compared to $1.07 per share last year, representing a 14% increase over 2009. Our earnings release and supplemental slides spell out the details regarding our improved 2010 results. 
But here are just a few highlights. We saw materially improved industrial margins and usage in our Electric business which helped boost operating earnings by more than $50 million over 2009. In addition, our Gas Distribution infrastructure enhancement and regulatory initiatives helped generate more than $50 million in added revenues. In our Gas Pipeline and Storage business, the successful completion of growth project helped increase demand margin revenues by more than $20 million over 2009. Despite the fact that a number of our projects were in service for only a portion of the year. These results reflect core strength of our business plan, the focus of our team as well as continued signs of resilience in our key markets.
Going forward, I'm convinced that NiSource's established infrastructure investment driven strategy will continue to generate positive results for our company, our customers and our investors. We remain committed to this strategy and are focused on executing it in a disciplined, thoughtful manner.
Turning to Slide 4, this slide highlights several key initiatives Steve Smith and our finance team completed during 2010. These efforts significantly strengthened our financial profile and position us to fund our compelling array of infrastructure investment opportunities. 
Most notably in September we completed a $400 million equity offering. This offering, which was structured as a forward sell arrangement, aligns with and strongly supports our targeted annual capital investment level, which I'm pleased to note for 2011 is targeted up to $1.1 billion. In addition, in December, we successfully tendered nearly $275 million in debt and concurrently executed a 30-year debt offering of $250 million. 
This will reduce our interest expense by about $10 million in 2011 and extend the maturity of our debt profile. Of course we also remain true to our key financial commitments to preserve our stable investment grade credit rating and maintain our attractive secure dividend, all while delivering long-term earnings growth.
With the successful completion of our equity offering and other key elements of financial strategy, NiSource's well-positioned to take advantage of the deep inventory of investment opportunities available across our business portfolio and continue growing our business and earnings on a sustainable basis.
Before turning to our 2011 outlook, let me on just some of the key business accomplishments that play such a key role in advancing our business strategy. 
First and foremost, we continue to see solid progress in Indiana. Jimmy Staton and his NIPSCO team are taking significant steps to improve customer service and reliability while addressing a number of important regulatory matters. In November, NIPSCO filed a new electric rate case with the Indiana Utility Regulatory Commission or IURC. 
While filed in November, the preparation and stakeholder outreach and engagement for the case began long before that. The result is a proposal that is balanced and responsive to both the needs of the company and our customers and other constituencies. We'll continue to engage with all stakeholders and expect the case to be completed during 2011. As we mentioned in today's release and have discussed in past updates, we expect to restore NIPSCO's earnings to a reasonable and appropriate level by the beginning of 2012.
Also, in November, NIPSCO received IURC approval of the unanimous settlement of its 2010 natural gas rate case, the company's first in 20 years. The settlement resulted in an overall rate decrease for customers while enhancing the company's operating earnings. It also improved rate design and continued our strong support for low-income assistance, energy efficiency and conservation.
Last but not least, following IURC certificate of approval at the end of December, NIPSCO is launching a major environmental upgrade in our Schaeffer generating station, which will contribute to the company's earnings growth going forward. This is the first phase of a series of the environmental investments in Indiana, totaling about $600 million over the next six to eight years. These initiatives are fully in line with NIPSCO's new source review settlement with the EPA that we announced earlier this year.
Turning to our NiSource's Gas Transmission & Storage business on Slide 7. Chris Helm and his team are continuing to capitalize on NiSource's unparalleled geographic footprint to complete and advance customer driven growth projects primarily in the Marcellus Shale production area. During 2010, NGT&S put in service or nearly completed more than $150 million in strategic growth projects serving the Marcellus shale production area. These products provide market access for more than 500,000 decatherms of natural gas daily. 
Our $80 million Majorsville series of projects served as a cornerstone of an array of additional projects currently in process across the Marcellus play. Progress also continued on our Columbia Gulf Transmission rate case for the federal energy regulatory commission. The following increased revenues of approximately $50 million per year, reflecting updated cost and operating conditions. new rate go into effect subject to refund starting this May.
As I noted earlier, growth project revenues were up by more than $20 million in NGT&S in 2010 and for projects such as Majorsville, we've not yet experienced a full year's earnings run rate. Having said that, overall operating earnings for the year were down due to anticipated expense increases, pension and integrity management in particular and reduced short-term transportation revenue resulting from a lack of natural gas price volatility. 
Looking forward, we remain enthusiastic NGT&S earnings growth prospects for 2011 and beyond driven by accretive infrastructure investments which we expect to amount to about $200 million annually.
Turning to our third major business unit, NiSource Gas Distribution or NGD. Our NGD teams continue to execute our strategy of combining long-term infrastructure replacement programs with complementary regulatory initiatives. 
Millions of customers are benefiting from this strategy, which includes significant revenue producing facility modernization programs at our largest utilities, Columbia Gas of Ohio, Columbia Gas of Pennsylvania and Columbia Gas of Massachusetts. In aggregate, these programs provide NGD with an investment opportunity approaching $4.5 billion over the next 20 to 25 years. On the regulatory front in December, Columbia Gas of Virginia received approval from the Virginia State Corporation Commission of a unanimous settlement of its first base rate case in 12 years. 
The settlement authorized a $5 million revenue increase as well as a number of rate design and other enhancements. The new rates took effect January 1. And in mid-January, Columbia Gas of Pennsylvania filed a new rate case with the Pennsylvania Public Utility Commission. That case seeks recovery of ongoing infrastructure investments, a modernized rate structure, as well as new senior citizen and energy efficiency programs. Filing seeks an annual revenue increase of about $38 million.
Finally, I'd like to briefly outline our 2011 earnings guidance and key 2010 takeaways on Slide 8 before opening the line to your questions. Based on the continued success of our balanced business strategy and an extensive array of growth investment opportunities available across all of our businesses, we remain confident that NiSource will sustainably grow long term earnings in the range of 3% to 5% annually.
In fact in the near term, particularly as we execute a number of regulatory initiatives, our operating earnings growth may well exceed that longer-term percentage range. 
With that in mind, we expect NiSource's 2011 net operating earnings to fall within a range of $1.25 to $1.35 per share. As you know, this is a non-GAAP range. Consistent with last year's outlook due to the unpredictability of weather and other factors, we're not providing GAAP earnings guidance. I'll also note that our 2011 guidance continues to be premised on a relatively modest and gradual economic recovery across the markets we serve.
In closing, I'd like to acknowledge our team, our customers and our many business community partners for their support and engagement during the past year. We've made significant progress in our business plan during 2010, all built on a foundation of ongoing investment across all of our companies.  
This core strategy remains unchanged for 2011, with the notable enhancement of our ability to invest in our businesses by the steps taken over the last years. And I can assure you that our investment approach will remain disciplined and straightforward, focused on meeting our customer needs while building long-term value for our shareholders.
As always, we remain committed to communicating with our stakeholders in a transparent and timely manner regarding these and all of our efforts. Ongoing updates will be provided through our analyst calls and news releases posted on www.NiSource.com. Thank you for participating today and for your continued interest and support of NiSource. Now, Danielle, let's open the call to questions."
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Operator","[Operator Instructions] Your first question will come from the line of Paul Ridzon with KeyBanc.",15,"[Operator Instructions] Your first question will come from the line of Paul Ridzon with KeyBanc."
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Analysts","Your return assumptions that you outlined at your analyst day particularly Marcellus, any change there in what you're seeing as far as level of competition for projects?",27,"Your return assumptions that you outlined at your analyst day particularly Marcellus, any change there in what you're seeing as far as level of competition for projects?"
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Executives","Number one, the returns are consistent with what we talked about in July at the Investor Day conference. There continues to be several amount of competitions throughout the Marcellus Shale. We anticipate that, that competition will continue. Having said t",59,"Number one, the returns are consistent with what we talked about in July at the Investor Day conference. There continues to be several amount of competitions throughout the Marcellus Shale. We anticipate that, that competition will continue. Having said that, Paul, our outlook, be it earnings, CapEx investment is consistent with our take on the competition in the base."
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Analysts","In Ohio, during the quarter, was there any impact from rate redesign or have we lapped that now?",18,"In Ohio, during the quarter, was there any impact from rate redesign or have we lapped that now?"
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Executives","Subject to check, we've lapped that, I believe. I think that it wound down during the third quarter, give or take, Paul. But we'll check that and get back to just to make sure I'm correct.",36,"Subject to check, we've lapped that, I believe. I think that it wound down during the third quarter, give or take, Paul. But we'll check that and get back to just to make sure I'm correct."
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Analysts","Any thoughts on, any new thoughts on MLP or is that still in the back burner given the opportunities you have for further investment?",24,"Any thoughts on, any new thoughts on MLP or is that still in the back burner given the opportunities you have for further investment?"
292092,118255253,97524,"NiSource Inc., Q4 2010 Earnings Call, Feb 01, 2011",2011-02-01,"Earnings Calls","NiSource Inc.","Executives","Yes, it's really the latter, Paul, it's on the back table, we continue to monitor the developments in that market very carefully but for us it's on the back burner.",30,"Yes, it's really the latter, Paul, it's on the back table, we continue to monitor the developments in that market very carefully but for us it's on the back burner."
