"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Operator","Good morning. My name is Sylvia and I will be your conference operator today. At this time, I would like to welcome everyone to the Noble Drilling fourth quarter 2010 earnings conference call. All lines have been placed on mute to prevent any background n",99,"Good morning. My name is Sylvia and I will be your conference operator today. At this time, I would like to welcome everyone to the Noble Drilling fourth quarter 2010 earnings conference call. All lines have been placed on mute to prevent any background noise. After the speakers’ prepared remarks, there will be a question-and-answer period. (Operators Instructions)
As a reminder, ladies and gentlemen, this conference is being recorded today, Thursday, January 27, 2011. Thank you. I would now like to introduce Mr. Lee Ahlstrom, Vice President of Investor Relations and Planning. Mr. Ahlstrom, you may begin your conference.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Executives","Thank you, Sylvia, and welcome to Noble Corp’s fourth quarter and full year 2010 earnings call. Before we begin, I’d like to remind everyone that any statements we make today about our plans, expectations, estimates, predictions or similar expressions",235,"Thank you, Sylvia, and welcome to Noble Corp’s fourth quarter and full year 2010 earnings call. Before we begin, I’d like to remind everyone that any statements we make today about our plans, expectations, estimates, predictions or similar expressions for the future, including those concerning the drilling business, financial performance, operating results, tax rates, spending guidance, backlog, day rates, contract tenders, and extensions or commencements, letters of intent, the outlook for the U.S. Gulf of Mexico and other regions, new bill delivery costs and dates, plans and objectives of management for future operations, and the outcome of any litigation, dispute or investigation are forward-looking statements and are subject to risks and uncertainties.
Our filings with the U.S. Securities and Exchange Commission, which are posted on our website, discuss the risks and uncertainties in our business and industry, and the various factors that could keep outcomes of any forward-looking statements from being realized. Our actual results could differ materially from these forward-looking statements.
We have included summary balance sheets and income and cash flow statements with our earnings news release. Also note that we may use non-GAAP financial measures in the call today. If we do, you will find the required supplemental disclosure for these measures, including the most directly comparable GAAP measure and an associated reconciliation on our website.
Now, I’ll turn the call over to David Williams, our President, Chairman, and Chief Executive Officer.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Executives","Thanks, Lee. Hello, everyone, and thanks for joining us today. With me in Geneva are Tom Mitchell, our CFO, and Roger Hunt, our Senior Vice President of Marketing and Contracts.I’d like to start off today by thanking our employees for turning in anoth",2565,"Thanks, Lee. Hello, everyone, and thanks for joining us today. With me in Geneva are Tom Mitchell, our CFO, and Roger Hunt, our Senior Vice President of Marketing and Contracts.
I’d like to start off today by thanking our employees for turning in another year of impressive results. Advancing the safety culture and maintaining a focus on operational integrity are not always the easiest things to do especially when you’re already in a leadership position. However, our worldwide efforts in these areas continue to increase awareness and drive results to the point that we turned in our second-best ever safety performance in our 90-year history, coming in right behind 2009’s record-breaking results.
Furthermore, I’m pleased to see that our overall potential severity rate continues to follow a downward trend. And while four of our seven operating divisions have extended their record-breaking results last year, more work lies ahead of us in 2011 and beyond as we journey towards creating a truly accident-free environment.
With respect to 2010, the best thing I can say is we’re glad it’s over. We had some wins last year, including our acquisition with Frontier, our agreements with Shell, and the announcements about our newbuild jackups. But we certainly faced our share of challenges, including the fallout from Macondo, both in the U.S. and abroad, continuing uncertainty in Mexico and some construction challenges.
I’d like to talk about some of these issues today. Going into 2010, about 30% of our budget’s revenue was projected to come out of the U.S. Gulf of Mexico. So when the Macondo event occurred, we were exposed. When the government imposed a moratorium, a tragic situation was compounded by economic uncertainty.
In the wake of what was believed to be a six-month moratorium and because of where we were on the Frontier deal, we moved quickly to try and preserve our backlog, sustain our workforce, and protect our future earnings. We sincerely appreciate those customers who worked with us and who continue to work with us.
While these events have had a significant overall impact on our company, our two biggest disappointments coming out of this, other than the now three-month-old permatorium, have been the cancelation of the Noble Jim Day contract and the controversy that arose on the Noble Homer Ferrington. In both cases, the dialogue at the time led us to believe that the situations would be resolved satisfactorily in due course. So perhaps we’re guilty of being too optimistic for too long.
I will tell you that our relationship with Exxon Mobil remains strong and I believe we will ultimately prevail in our claim for payment on the Ferrington. With regard to Marathon, we’re considering our options and I can’t predict how that dispute will ultimately work out.
I will tell you that the Noble Jim Day is one of the finest rigs I’ve ever seen and it befits its namesake. Furthermore, the rig is completely ready to go to work, having received its certificate of compliance from the Coast Guard, a COC on the BOP system, and a positive third-party fitness report all before January the 1st.
In the wake of all of these events, we’ve reevaluated the way Noble has historically viewed political risk in the U.S. and the likelihood of force majeure claims and we’ve reconsidered our long-standing approach to our contract philosophy in these particular areas, and I believe we’ll be in a stronger position moving forward.
Moving on, in Mexico, there has been a broad concern for more than a year that Pemex was moving to replace older rigs with new rods. To date, they haven’t been very successful in finding contractors willing to import rigs under their terms; however, we expect this effort to continue. Nevertheless, we have consistently reported to you what Pemex has said to us and that is that they want our rigs to stay in Mexico.
We still believe this to be the case, but delays continue. No one is more frustrated over this than we are, so we’ve elected to move some rigs out in order to more efficiently and cost-effectively stack the rigs while we wait, and in some case, we were actually paid demobilization fees to do so.
Today, tenders for seven rigs without restrictions are out and we understand there are more coming shortly, but there’s no doubt that we’re in the mercy of Pemex’s schedule. We continue to believe that our future in Mexico is bright and that we’ll put most, if not all, of our rigs back to work by April or May. But that could slip again, and until they run the process, we’ll have some idle time. I can tell you that we’re doing everything we can to cut costs, and we’re marketing some of the rigs in other areas.
Next, I think it’s worth taking a look back at the Frontier and Shell deals. We are very pleased to have completed these transactions over the summer, and in spite of some of the units now being idle and some construction delays (inaudible) we’re still happy with these agreements that doubled our backlog and provided a good long-term base of earnings.
In our economics, we anticipated we might see time on both the Duchess and the Seillean (inaudible) payroll, so this is really not a surprise. We’re bidding those units for work, and if successful, we’ll improve our original expectations. But we didn’t do these deals for those units and we don’t really consider them to be long-term core assets.
I’ve told some of you that we think these agreements will never be worse than good and we continue to believe this has a lot potential upside that could make them great.
Shell, post deal, has continued to work with us in the spirit of our far-reaching agreement and we could not be happier with this relationship.
On the Bullys, there has been some market noise about these rigs and we would like to clarify exactly where we are. It’s true that prior to our acquisition of the rigs, the project teams failed to fully account for the effects of excess weight or how much stuff you add to the ships, particularly up high. In order to restore the vessels to their desired operating capability, we need to fix this. We’ve worked with naval architects to design spansets to attach to each hole of each vessel to ensure that we can meet the operational requirements and maintain proper motion characteristics.
The spansets have been engineered and weight testing on the models had gone very well. These modifications being made with the full support of Shell had caused us to slip the shipyard date on the Bully 1 by about eight weeks. However, we don’t currently anticipate any impact on the Bully 2 schedule, as the sponsors are not in the critical path for that vessel’s delivery.
Completion on Bully 1 is around 46% complete including the (inaudible) equipment and is proceeding very well. We can answer more questions in Q&A, if you want, but two points I want to make are, one, Shell continues to be fully involved with these rigs and maintains a 50% ownership position and they are as anxious as we are to get them delivered and on the payroll. And two, the weight issue on the Bullys does not have any impact at all on the Globetrotters. Those ships are of completely different design and we have very good quality control on those yards. Globetrotter 1 is right on schedule and due to leave Holland later this quarter - I’m sorry, due to leave for Holland later this quarter.
Moving on to some more positive notes, we made quite a few announcements this last month. The jackup newbuilds, rigswaps and deepwater newbuilds and we’d like to talk a little about our rationale. I believe we’ve been clear over the past several years about our top priority for capital allocation. The management team and board believe the best use of capital is to add units to the fleet. At good returns, they will deliver long-term earnings growth. Beyond that, we evaluate how best to return capital to shareholders in the form of buybacks and dividends.
There are essentially three ways to add rigs. The first has been to buy older units or (inaudible) and upgrade them either moderately or significantly. Historically, the vast majority of our growth offshore has been executed in this way and it served us all very well over many years. But to a large extent and in the current environment, we think this strategy has run its course.
The second way is to buy iron. We work hard trying to acquire speculative newbuilds, and as you know, we’ve looked at lots of them. We had hoped for some time that we would have opportunities at the right price, but for a variety of reasons, it hadn’t worked out.
Major M&A activity appears to be challenged right now just because evaluations are out of whack. So the final path has been to build new, and as you know, we recently initiated an additional phase of new construction.
I think some of the challenges we’ve faced with significant upgrades over the past several years have detracted from what we’ve actually done to reshape this fleet.
In 2005, this company had only 12 floaters and 40 jackups. Only four of those floaters were dynamically positioned. We hadn’t built a rig from the keel up in many, many years. Today, we’re significantly different with the Frontier transaction, and last week’s announcement of two ultra-deepwater drill ships from Hyundai, we’ll have 26 floaters. We have fixed price options for two more; 14 of the 26 are DP and 12 are ultra-deepwater, capable of operating at water depths greater than 7500 feet.
The revenue makes us go from 60% jackups to more than 60% deepwater. The rigs we’re building from the keel up, including the Globetrotters, are all with known shipyards and contracted in a way to incentivize on-time delivery. A newbuild has much more certain outcome than a significant upgrade.
We’ve been very happy with what we’ve built with the Noble Dave Beard, the Noble Danny Adkins, and the Noble Jim Day. But the Globetrotters, the Hyundai ships, and the new jackups are all much more predictable projects. So our confidence in projected construction time is much, much greater.
Some of you raised concerns about our older units, including the Mod semis and the drillships in Brazil. We continue to believe that most of our units are viable in today’s environment, and can deliver good cash flow returns. But some of them may not be considered as core going forward. And we believe the agreement we just announced to swap the Phoenix for the Muravlenko and securing the five and a half year commitment on one of the ships is an innovative way to meet the customers’ needs for two important customers and to help modernize the fleet.
This is an example of what a great relationship with good customers can do. We undertook to do reliability upgrades on our older ships because they needed it. Downtime has been too high, and although our bonus revenue in Brazil is up year on year, we haven’t been able to capture as much of the bonus as we would have liked.
Because of timing constraints, the Muravlenko was not going to be actually upgraded until 2013, and the contract only ran until 2015. Furthermore, Petrobras’ view of the world seems to have changed somewhat since we originally made the deal three years ago, so it was likely that the 16-3/4-inch BOP on the Muravlenko would have to be changed before further extension beyond the 2015 contract termination on the current contract could have been re-negotiated.
The Muravlenko is the only rig in our fleet which still has a 16-3/4 BOP. And it happened that Petrobras voiced concern about the reliability of the Muravlenko and only the Muravlenko in advance of its upgrade. I say only the Muravlenko because I attended the meeting in Brazil when this discussion took place and they fully supported our plans on the other two ships. About the same time, Shell said it might be interested in a break on the Phoenix contract.
Collectively, we saw Petrobras’ internal concerns about performance and will deliver an (inaudible) greatly enhanced rig which will improve their uptime, our revenue performance, and our bonus potential. Shell needs some break, Petrobras’ needs are met and we get a new rig.
While we did give up about 500 million in backlog on the Phoenix, and we’ll see an impact in 2011 and 2012 earnings, we added about 900 million of backlog on the newbuild, added an asset that will be around for 30 years or more, and avoided at least $150 million of CapEx remaining on the current Muravlenko upgrade, plus an additional feature upgrade and CapEx for BOP upgrade.
In general, we’re headed down the road reshaping the floater fleet and that’s a path that can’t be accomplished overnight, but we’re well on our way toward moving the fleet toward higher technology or keeping our focus on returns. Likewise, we started work on reshaping the jackup fleet.
We delivered three high-specification units in the last cycle and we’ve been asked to construct two very high-end units with options for four more. At the same time, we’re considering opportunities to divest of some of our older units to the extent there’s buyers out there.
We continue to like the jackup business particularly the higher end of the business where units like our two newbuilds with 2.5 million pounds of hook load and 30% more (inaudible) load than some of the competition can earn a premium.
The two JU-2000 N units will be among only a dozen rigs who will have greater than two million pounds of hook load capacity.
As I said, 2010 was a tough year and it looks like at least the first half of 2011 could be challenging as well. We don’t know exactly when the Gulf is going to get back to normal, so we’ve made a deal to move at least one of our semis out and there could be more. Roger will touch on this in his discussion. But right now, it feels more like we’re headed out of the storm and into it, and if you’ve got the luxury to look past 2011 this company has found, there are some good things happening.
We have three drill ships coming out of the yard this year and going on payroll. We have multiple opportunities for the Jim Day. We should put some of the rigs back to work in Mexico, and even with the dispute, the Ferrington should be back on the payroll by the beginning of the second quarter.
The upgrade on Leo Segerius will commence shortly and deliver a rig with greatly improved reliability for Petrobras and much improved revenue performance for us. Also I believe we’ll see some units go back to work in the Gulf.
Our backlog is at 12.7 billion, we’re strong and our operations are focused. Some of you have been critical and perhaps we’ve earned some of the criticism this year, but we’re focused now and we believe we can deliver.
With that, I’ll turn the call over to Tom to review the numbers.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Executives","Thank you, David. Today, we’ll run a bit of time going through our fourth quarter and full year results, and then I’ll review the guidance for 2011.Last night, we reported fourth quarter net income of 99 million or $0.39 per fully diluted share on t",1470,"Thank you, David. Today, we’ll run a bit of time going through our fourth quarter and full year results, and then I’ll review the guidance for 2011.
Last night, we reported fourth quarter net income of 99 million or $0.39 per fully diluted share on total revenues of 644 million. For the 12 months ending December 31, 2010, our net income was 773 million or $3.02 per fully diluted share on total revenues of 2.8 billion.
Our acquisition of Frontier in July makes direct quarter-on-quarter and year-on-year comparison difficult, but to give you a frame of reference, fourth quarter of 2009 earnings per share were $1.72 and the full year 2009 earnings were 6.42.
As you can see from the numbers in the Macondo incident, the second quarter of 2010 has had a tremendous negative impact on operations and profitability throughout the remainder of the year.
Contract drilling services revenues increased quarter on quarter by 5% to 614 million. Average daily revenues for the fourth quarter of about a 141,000 were up 11% from the previous quarter. Relative to the third quarter, the revenue increase was primarily driven by demobilization fees that was on the Duchess, Seillean (inaudible) and also in Mexico, as David mentioned.
Fewer days in the shipyard, the Noble Therald Martin rolling from a day rate of 114 to 270,000 and revenues on the Amos Runner, which was working in the U.S. Gulf of Mexico (inaudible). Offsetting these increases were rigs rolling to lower rates in the North Sea, in the Middle East and an increase in the number of stack days primarily in Mexico and in the North Sea.
Our contract drilling services cost for the fourth quarter were 332 million, up 5% from the third quarter 2010. On a per-operating-day basis, fourth quarter 2010 cost were about 76,000, an increase of around 11% over third quarter cost, primarily driven by fewer operating days and the addition of floater rigs to the fleet; that includes the Noble Jim Day.
The main drivers of the increased absolute cost were raises in Brazil and in West Africa. Importation fees in Brazil, inspections on equipment in the U.S. Gulf of Mexico and a full quarter of cost on the Frontier assets.
Our contract drilling margins were 46% for the fourth quarter, flat with the third quarter, and 56% for the full year; that compares to 71% for 2009.
Depreciation for the fourth quarter came in at 154 million, up from the third quarter of 143 million. Four-year depreciation was 540 million, which is at the bottom of the guidance. The increase in depreciation quarter on quarter was primarily due to a full quarter from the Frontier rigs.
At 21 million SG&A expenses in the fourth quarter, we’re down about 19% from 25 million the previous quarter. For the full year, they were 92 million which is within the range that we provided. Our fourth quarter tax rate was 14.2%, a little bit lower than anticipated, which brought our full year rate to 15.6, which is in line with the guidance of 16% that we gave last call.
Capital spending for the fourth quarter came in at 537 million, bringing the total for 2010 to 1.4 billion. These figures include 80 million in the fourth quarter for the down payment on a two new JU-3000 N jackups we announced just before Christmas, and a second milestone payment of about 79 million on the Globetrotter 2.
It also includes the fully consolidated spending for the two Bully joint ventures. Capitalized interest for the year was about 83 million. During the fourth quarter, we did not repurchase any share, so our full year sharing purchases remained at 6.1 million, at an average price per share of $35.96. That’s a total for the year of $219 million.
The number of shares remaining on our current board-approved repurchase authorization is 6.8 million shares.
Now, I would like to direct your attention forward with the review of the various components of our 2011 guidance. As a reminder, our budget will be formally discussed with our board next week, so this is preliminary.
We issued a fleet status report on January 18th which gave you an idea of planned shipyard and some known off-contract days for 2011. All in, we identified about 1,649 days, including actual downtime as of the 18th.
Before turning to the details of 2011 guidance, let me give you a few reminders about how a fleet status report works. First, timing and the length of planned shipyards days are subject to, among other things, changes in our schedule as well as our customer’s schedules. Second, we do not forecast stack days. We’ll let you know if a rig is cold stacked or warm or temporarily stacked, and we assume you will make your own judgments in your modeling about if or when these units would return to work.
And finally, we do not forecast unplanned downtime, though we do tell you our actual idle shipyard and operational downtime days for a given quarter as of the date of the fleet status report.
So in addition to planned shipyard time and any potential idle or stack time you model, you should assume an average of about 3% operational downtime across the fleet. A little bit lower on the jackups and a bit higher on the floaters, particularly in Brazil. Ensuring that these kinds of figures are in your models will help avoid the prices later in the year as we come out with the actuals. These kinds of estimate should also be built into your 2012 beyond expectations.
Now, let’s focus in on the components of our guidance. For the full year, 2011, our contract drilling service costs are expected to come in just below 1.3 billion. That’s an increase of around 100 million over 2010.
While our costs are up on an absolute basis, we’re not seeing very much in the way of general inflation yet, perhaps a couple of percent. Rather, our increases mainly reflect the following: new rigs entering the fleet including the Noble Jim Day and Bully 1, start-up costs on Globetrotter 1 and both Bullys, and a full year of Frontier rigs as well as the Noble Dave Beard.
For the first quarter contract, billing costs are expected to be in the range of 290 million to 300 million. We expect the demand to move upward by about 20 million each successive quarter. However, we have a number of rigs idle right now, and if we’re able to put the rigs back to work earlier than we budgeted, you can see higher costs along with higher revenues.
Depreciation will be up this year both in account for a full year of Frontier and as a result of the newbuilds entering service. For the full year, we estimate something in the range of 615 million to 635 million. We expect that in the first quarter, we’ll run in the range of 150 million to 160 million, with the second and third quarters in the same range, and the fourth quarter moving a little bit beyond the top of that range.
SG&A is expected to be flat in 2011, falling in a range of 90 million to 100 million with costs spread evenly across the quarters. Interest expense, and again this is net of capitalized interest, will be about 50 to 60 million for the year.
We’re currently forecasting our effective tax rate for the year to be around 22%. Any increase in utilization, particularly in the Gulf of Mexico and Mexico, would drive that rate down.
Finally our capital expenditures are expected to be around 2.1 billion in 2011. The breakout is as follows: we anticipate spending about 1.1 billion on our newbuild program, including about 230 million on Globetrotter 1, 110 million on Globetrotter 2, about 325 million gross total on the Bullys, about 90 million on the two jackups, and around 325 million on the new drillships.
Remaining CapEx in 2012 and beyond for the newbuild program totals right around 1.5 billion. And that’s weighted more towards 2013 as the rigs are finished and comes delivery.
We intend to spend about 540 million on major projects, BOP remediation work, riser, inventory, contract-specific work and other projects. We’ll spend 225 million or so on sustaining capital and the next piece is about 120 million on the reliability upgrades for the Eason and the Segerius drillships in Brazil.
Finally, capitalized interest should run right around 120 million for the year.
Capital spending throughout the year is expected to be front-end loaded, with the first and second quarters coming in around 1.3 billion, and the latter two quarters coming in right around 800 million.
That concludes my remarks and I’ll turn it over to Roger to talk about the market.

"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Executives","Thank you, Tom, and good morning to everybody. Let me begin by updating you on the backlog specifics. At December 31, the value of the backlog was approximately 12.7 billion, which breaks down to 11.4 billion for floating units and 1.3 for our jackups. Ab",1359,"Thank you, Tom, and good morning to everybody. Let me begin by updating you on the backlog specifics. At December 31, the value of the backlog was approximately 12.7 billion, which breaks down to 11.4 billion for floating units and 1.3 for our jackups. About 53% of our days for 2011 are already booked and 31% are booked for 2012.
As David mentioned, 2010 was a difficult year. And two of Noble’s major market areas, the U.S. Gulf and Mexico, we experienced significant disruptions that are carrying out to 2011. In the Gulf, despite the absence of an official moratorium and a resumption of work to two of our rigs, we simply cannot predict when a return to normal might occur or what the new normal might look like.
We expect to see additional units leave the Gulf region, which may at some point impact the broader deepwater market. However, the global deepwater segment has so far continued to be relatively stable. There are a number of opportunities across all water depths in various other regions of the world and rates to mid, deep, and also deepwater are generally flat.
On the jackup front, activity and rates have been pretty consistent with what we saw over in the third quarter of 2010, with the obvious exception of Mexico, where a number of our units have rolled up contract, and in the North Sea, where we’re seeing the usual winter slowdown.
Let’s talk about some specific details of different regions, starting in the U.S. Gulf. The first hurdle is operator’s compliance with NTL-06 and 10. NTL-10 seems to be the bigger holdup with questions around what both surface and subsea containment devices need to look like to win approval from BOEM.
However, despite recent negative press reports, we do believe our customers are working diligently to comply, and perhaps we might see a few rigs back to work drilling new oil mid to late in the year.
The Jim Day is currently idle. However, with the 1,250-ton hook load and 12,000 feet water depth grading, it is one of the most capable semis in the industry. The rig is generating a lot of customer interest both in the Gulf and other regions, and we’re confident this rig will be contracted before too long.
With respect to our other Gulf of Mexico floaters, we’re looking forward to putting the Jim Thompson, which has received its certificate of compliance back to work. The driller is still undergoing upgrade and we’re looking for opportunities, mainly outside the Gulf, for the Paul Romano. The Lorris Bouzigard is cold stacked.
In the meantime, there is life after the Gulf of Mexico and that would be in Brazil. We are pleased to report that we have an LOI with Shell to move the Noble Clyde Boudreaux there for one year primary term at a rate of 290,000 and a mobilization fee of 6 million. We’re expecting units to leave the Gulf shortly and be in a position to commence operations in Brazil by mid-April.
Also, as previously announced, the Phoenix will be mobilizing to Brazil for Petrobras later this year where we expect it to remain through 2015.
In Mexico, David has already mentioned seven outstanding tenders for units without age restrictions. We’re expecting about seven more opportunities to be published shortly. The bidding environment in Mexico (inaudible) the least challenging, and with the addition of some new contract clauses such as five-day cancellation options as day rate cap has become even more so. We have seven of our 12 units idle, and we could see 10 more units idle before the new work is scheduled to begin.
Having said that, we believe the fundamentals are still sound. Mexico desperately needs rigs, and with Noble delivering more than 98% uptime over the past few years, we are Pemex’s most efficient driller. We believe we will return rigs to Pemex and expect our situation to be clear by the end of the first quarter.
In the North Sea, we have continued to enjoy high utilization as commodity prices have encouraged the operators to maintain activity level. Although the winter will be oversupplied, we believe we will see an uptake in utilization and possibly a modest increase in rates for the spring and summer. The rate increase will depend, of course, on how competitors behave with respect to currently stacked rigs as well as rigs operating in lower utilization areas that could return to the North Sea.
In the Mediterranean, the Homer Ferrington is returning to work and we expect to begin a (inaudible) for Repsol at the end of the first quarter.
In Nigeria, there is no meaningful update. The Duchess is warm stacked and we are working to export the unit from Nigeria.
Several of our jackups require new temporary import permits and the timing of those is always a bit uncertain. We do see pent-up demand, however, for both shallow and deepwater work in Nigeria, but much is on hold due to political uncertainty.
We also see a number of tenders in Angola, the Ivory Coast, and even some opportunities in Eastern Africa.
Business in the Middle East and India is picking up. In the Middle East, we see interest from a number of operators, including Aramco, Total, Rak Gas, and DPE. We’re in the final stages of preparing a Roger Lewis to go to work in Saudi Arabia. Scott Marks is on a heavy lift from the North Sea bringing into the Middle East where it will join the Lewis, also in Saudi Arabia. There are still 16 or so jackups stacked in the Middle East, so that may keep day rates from rising quickly.
In India, ONGC continues to actively look for jackups but at low rates. Some of the recent active sales in that market may prevent day rates from increasing in the near term, but we could see utilization improve.
Finally, in the Far East, we have responded to a number of recent inquiries in Malaysia, Thailand, Indonesia, and Australia for jackups and floaters, and we continue to watch the region closely for opportunities to expand our presence.
Let me switch to some comments on newbuild. First, it’s clear to us that we’ve entered the next newbuild cycle. In the short period between today’s call and our last calls, there have been announcement of 12 new floaters and 20 new jackups, along with options for approximately the same number of rigs, many of which are likely to be exercised.
Much of these orders have been from conventional drilling contractors but not all. It is our view that if the shipyard (inaudible) is available in 2013 and 2014, it is likely to going to be taken.
Second, we’ve talked on previous calls about operator showing a preference for newer units, even though the capabilities of the older units may match the drilling program. We expect this trend will continue.
As David has noted, Noble is participating in this newbuild cycle, recently announced projects of building very high-spec floaters and jackups. On the floater side, our outlook for long-term demand is robust enough to feel very comfortable with our order for two new drill ships from Hyundai. The design of these rigs makes them two of the most capable exploration and development tools in the industry, a view that has been reinforced by the award of an LOI from Shell for a long-term contract on the first unit.
We’ve also elected to build two new jackups. These rigs represent a significant enhancement to our proven design by responding to our customer’s long-term need and assigning the project’s execution to a proven designer and shipyard. The result is the JU-3000 N and we are confident this class of jackups will yield good return for our shareholders in the years to come.
With everything that’s going on, both at Noble and in the industry, we look forward to an exciting market but one which may not be much moving in day rates during 2011, absence in strengthening of the global economy and sustained commodity prices.
And with that, I’ll turn the call back to Lee.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Executives","Thank you, Roger. Sylvia, we’re ready to go ahead and take questions. I would like to remind everybody that we do have the one question with one follow-up rule and since our prepared remarks went a little bit longer than usual this morning, it will be a",67,"Thank you, Roger. Sylvia, we’re ready to go ahead and take questions. I would like to remind everybody that we do have the one question with one follow-up rule and since our prepared remarks went a little bit longer than usual this morning, it will be as important as ever to follow that rule so we can make sure we get through as many questions as possible.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Operator","(Operator Instructions) Your first question comes from Joe Hill from Tudor Pickering.",12,"(Operator Instructions) Your first question comes from Joe Hill from Tudor Pickering.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Analysts","Good morning, guys.",3,"Good morning, guys.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Executives","Good morning, Joe.",3,"Good morning, Joe.
"
291385,118383482,96157,"Noble Corp., Q4 2010 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Noble Corporation plc","Analysts","Dave, I was wondering if you could give us some insight as to what you’re thinking about your options exercise potential given the multiple factors you have to consider with regards to your operating cash flow, your balance sheet, et cetera, and whether",68,"Dave, I was wondering if you could give us some insight as to what you’re thinking about your options exercise potential given the multiple factors you have to consider with regards to your operating cash flow, your balance sheet, et cetera, and whether or not you’d be willing to pull the trigger on all six in a fairly short period of time or whether that’s not really realistic.
"
