"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Operator","Good morning and welcome to the Principal Financial Group's Fourth Quarter 2010 Financial Results Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. John Egan, Vice President of Investor Relations.",37,"Good morning and welcome to the Principal Financial Group's Fourth Quarter 2010 Financial Results Conference Call. [Operator Instructions] I would now like to turn the call over to Mr. John Egan, Vice President of Investor Relations."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Executives","Thank you and good morning. Welcome to the Principal Financial Group's Fourth Quarter and Full-year Earnings Conference Call. As always, our earnings release, financial supplement and additional investment portfolio detail are available on our website at",194,"Thank you and good morning. Welcome to the Principal Financial Group's Fourth Quarter and Full-year Earnings Conference Call. As always, our earnings release, financial supplement and additional investment portfolio detail are available on our website at www.principal.com/investor. Following a reading of the safe harbor provisions, CEO Larry Zimpleman and CFO Terry Lillis will deliver some prepared remarks. Then, we will open up the call for questions. Others available for the Q&A are Dan Houston, Retirement and Investor Services and U.S. Insurance Solutions; Jim McCaughan, Principal Global Investors; Norman Sorensen, Principal and Financial; and Julia Lawler, Chief Investment Officer. Some of the comments made in this conference call may contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act. The company does not revise or update them to reflect new information, subsequent events or changes in strategy. Risks and uncertainties that could cause actual results to differ materially from those expressed or implied are discussed in the company's most recent annual report on Form 10-K and quarterly report on Form 10-Q, filed by the company with the Securities and Exchange Commission. I would like to now turn the call over to Larry."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Executives","Thanks, John and welcome to everyone on the call. This morning, I'll comment on three areas. First, I want to discuss fourth quarter and full-year 2010 results. Second, I'll provide an update on our capital management plans. And finally, I'll talk about t",1548,"Thanks, John and welcome to everyone on the call. This morning, I'll comment on three areas. First, I want to discuss fourth quarter and full-year 2010 results. Second, I'll provide an update on our capital management plans. And finally, I'll talk about the longer-term opportunities of our strategy. Terry will then cover financial results in more detail following my comments. As we talked about at our Investor Day December, we remain well positioned for the unprecedented opportunities for long-term growth, both in the U.S. and in key emerging international markets. We remain convinced that our strategies are the right ones that capitalize on these opportunities and fourth quarter results validate that based on the continued signs of growth across our businesses. As to the fourth quarter, we are pleased with the operating earnings given the accounting noise that Terry will discuss and we see same momentum in sales inflows as we mentioned on the last call. Items of note for the quarter are: record total company assets under management of $319 billion, including record assets under management and record net cash flows for Principal International; record sales for Principal Funds and strong full service accumulation sales results, with good momentum heading into 2011; and double-digit earnings growth on a combined basis for our high-growth segments, retirement and Investor Services accumulation businesses, Principal Global Investors and Principal International. These results come in spite of an economic recovery that remains challenged, especially for the small and medium business sector, with slow employment growth and constrained credit conditions. Our broad distribution footprint, best in class solutions and operational discipline have allowed us to return to something closer to a normal operating environment despite the economic challenges. I'd like to discuss full-year results in more detail as they better highlight key trends, as well as indicators of what to expect going forward. Let me first discuss the sales and growth metrics for 2010. 
First, as mentioned earlier, record total company assets under management of $319 billion, which gives us positive momentum heading into 2011. Full Service Accumulation sales of $6.6 billion, up 32% and net cash flow of $600 million against an industry still in outflow. Record mutual funds sales of $9.3 billion, up 21% from 2009, Principal International deposits of $25.8 billion helped generate record net cash flow of $4.7 billion, driving assets under management to a record $45.8 billion. Fee revenue for Principal Global Investors of $467 million, up 9% over 2009, with solid investment performance across all asset classes; individualized sales, up 21% over 2009, driven by an 81% increase in life insurance solutions focused on the SMB and business owner market. 
In short, we saw momentum building across the growth metrics for our businesses during 2010, with a strong finish in fourth quarter, giving us an optimistic tone as we move into 2011. 
Next, let me discuss operating earnings results for our businesses in 2010. Total company operating earnings were $845 million, a 15% increase over 2009. This reflects the growth metrics beginning to come through, along with our continuing expense discipline, which creates operational leverage. Full service accumulation earnings of $301 million, up 19% over 2009. Mutual fund earnings of $40 million, up 70% over 2009. Record individual annuity operating earnings of $119 million, up 18% over 2009. Record earnings from Principal International of $137 million, up 15% over 2009 despite the negative impact of the reduced ownership in Brasilprev, our Brazilian joint venture as of June 2010. Principal Global Investors operating earnings of $59 million, up 53% over 2009. U.S. insurance solutions operating earnings of $194 million, down 5% from 2009 but continuing to provide solid diversification to our earnings streams. 
So, as we look back at 2010 and think about how that positions us for 2011, we see a tightly integrated set of businesses. Our hybrid business model of asset management and risk products in U.S. and emerging international markets is performing well, as good momentum and exceptional long-term growth prospects even in an economy that continues to be challenged. 
Now, let me move on to capital management starting with our investment portfolio. Our portfolio performed well in 2010, with losses coming in lower than our beginning of the year expectations due to ongoing recovery in corporate credit and commercial real estate. Regarding CMBS, as we said at Investor Day, we expect delinquencies to continue to rise in 2011. However, our accounting processes require that we impair the securities whenever losses are anticipated, which is often 12 to 18 months before the actual bond losses occur. We monitor this portfolio closely and the losses continue to be within our expected range overall. We expect CMBS-related impairments to be approximately $25 million after tax lower in 2011 than in 2010. In short, this is an improving picture. 
Now, let me touch on capital. As of year end, we have approximately $1.6 billion in excess capital, which we are defining as capital above that needed for our 350% risk-based capital ratio. As we mentioned in the last call, regulators continue to review capital standards and reserving methods coming out of the financial crisis, so we've been cautious in expressing a timeframe for deploying the excess capital. Just before year end, the NAIC released their capital requirements for CMBS portfolios using Blackrock's model. This change reduced excess capital by approximately $250 million in the short term. In the longer term, we continue to believe that our portfolio will performed to our expectations and that our earnings and net income will remain strong. Therefore, we still expect to be able to deploy approximately $700 million of capital over the next 12 months for appropriate merger and acquisition and share buyback, while still retaining our desired capital cushion. We will be disciplined as we deploy this, as well as continue to keep our eyes open, looking for further accounting or regulatory changes that could have an impact. 
Let me close by reiterating a few key points from our Investor Day, as well as discuss the longer-term opportunities that we continue to make good progress with. First, as we mentioned in Investor Day, we have taken a number of steps to further derisk our businesses, including getting out of the CMBS securitization business, winding down our Medical business and reducing our Investment Only business. These decisions not only create a remaining set of transparent and integrated businesses but they create meaningfully larger amounts of free cash flow and higher return on equity over time. With our current business profile, we expect that approximately 65% of operating earnings can be used for merger and acquisition or return to shareholders. And we remain confident in our ability to achieve 50 to 80 basis points improvement in overall company return on equity annually, growing to a return on equity above 15% over time. This is the power of our hybrid business model with purposeful diversification. 2010 was another year of good success in implementing our long-term global strategy, with an example being our entry into the mutual fund markets in Thailand and Indonesia. 
The need for U.S. workers to safeguard their retirement is real and the growth of the middle income class of investors in emerging markets over the next 25 years is undeniable. Thus, we see continuing growth and improved operating earnings from our key growth engines, Retirement and Investor Services Accumulation businesses, Principal International and Principal Global Investors, on a sustained basis for decades. This is the right strategy for long-term success and the fact that we have had this strategy in place for over 10 years gives us a substantial lead over others who have now begun to focus on these opportunities. I'm proud of our effort and accomplishments in 2010 and I'm excited about the long-term value for shareholders that we are creating. 
Before I turn the call over to Terry, I want to point out three nice recognitions for this quarter. The Principal was ranked number 159 on Newsweek's Green Rankings, an exclusive list of America's 500 largest companies assessed on their environmental impact and reputation among environmental experts. This is the second year that Principal has made the list. I'm very proud of this recognition of our sustainability efforts. As another example of our efforts, Principal Real Estate Investors continues to gain recognition as a leader in the development of green real estate. Additionally this quarter, Principal Global Investors became a signatory for the United Nations-backed Principals for Responsible Investment. Signatories commit to considering the six principles of responsible investment related to environmental, social and corporate governance issues in the course of doing business. It is the Principal way to conduct business with integrity so our signatory status is a natural extension of our core values and further reflects our commitment to responsible global citizenship. And finally, I want to mention the recognition that Principal funds received from Barron's over the weekend. Principal funds finished third in the rankings of Best Fund Families for 2010 and also finished as the seventh best fund family for the past 10 years. These are powerful recognitions for Principal Funds and are the result of their asset management discipline and retirement expertise. This recognition will provide even further momentum on top of the strong year that Principal Funds had in 2010. Terry?"
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Executives","Thanks, Larry. This morning, I'll focus on operating earnings for the quarter and full year, including continued strong expense management, net income including continued solid performance in the investment portfolio; and the strength of the capital posit",2056,"Thanks, Larry. This morning, I'll focus on operating earnings for the quarter and full year, including continued strong expense management, net income including continued solid performance in the investment portfolio; and the strength of the capital position and strong balance sheet as we enter 2011. We view the fourth quarter and full-year 2010 as a continuation of an improving picture that began earlier in 2010. We continue to see positive trends in our businesses, and as Larry said, we're excited about their growth opportunities in 2011 and beyond. Starting with total company results, most notably for the year, we finished 2010 with a record assets under management. At $319 billion, our assets under management exceed our pre-crisis high, through positive net cash flows despite volatile investment performance. Total company earnings improved 15% to $845 million for 2010, on 14% higher average assets under management. There were a number of items influencing comparability between the full-year periods. Some of the bigger items include the reduced economic interest in our Brasilprev joint venture as of June 1, the sale back of our Investment Only business and the impact of the equity markets on Deferred Acquisition Cost amortization expense and the assumption changes on net GAAP reserves. On an adjusted basis, full-year earnings were up 27% on a 14% increase in average assets under management compared to 2009, a very solid result reflecting strong operational leverage. Fourth quarter 2010 operating earnings were up 5% to $214 million or $0.66 per share compared to a year ago. This result was negatively impacted by $0.04 due to an increase in net reserves in individual life following a periodic long-term interest rate assumption review. Adjusting for this item, the run rate of earnings for the quarter is $0.70. DAC amortization expense benefited from the favorable equity markets during the quarter, but these benefits were offset by the impact of lower future fees in our Mexican pension business. 
Now, let me discuss the business year end results. Retirement and Investor Services earnings were up 21% in the fourth quarter and 14% for the full year 2010 compared to their respective periods in 2009. Full year 2009 results benefited from $17 million in additional after-tax fee income from the opportunistic early settlement of Investment Only liabilities. Adjusting for this, operating earnings for 2010 are up 18% on 10% higher average account values, again reflecting strong expense management. The accumulation businesses had a record account values of $160 billion at year end. Full service accumulation's fourth quarter 2010 operating earnings are up 13% from a year-ago quarter on a 10% increase in average account values. Sales in the fourth quarter were very strong at $3.2 billion, which put total full service accumulation sales for the year at $6.6 billion, a 32% increase over prior year. As Larry mentioned earlier, we ended the year with positive net cash flows of $600 million compared to the negative cash flows projected for the industry by Cerulli. In the fourth quarter, we satisfied all the withdrawal requests in the Principal U.S. property separate account, causing our plan count to decline by more than 1,400. In addition, there were several economic factors contributing to the negative plan as we've seen over the last few years. The economic pressures that small to medium-size businesses are facing play a big part in the overall decline. We saw 50% fewer startups, which is consistent with the industry and 20% higher planned terminations, as employers eliminate their retirement plans. We continue to maintain pricing discipline to protect margins. We have taken additional steps over the last several quarters to offset this negative trend in plan count, including enhanced internal processes to better identify, predict and retain at risk clients and intensified focus on unbundled solutions through third party administrator distribution platforms to attract and retain business. This complements our total retirement suite bundled solutions; and choice pricing rollout allowing clients the ability to tailor service models and pricing to better meet their unique needs. And though overall plan count is down, full service accumulation average account values, which drives revenue growth is up 16% over 2009. Principal Funds continues to demonstrate its strong growth potential. Operating earnings in the fourth quarter were up 24% to $11 million on a 15% increase in average account values. Principal Funds also delivered record sales of $2.6 billion in the fourth quarter and a record $1.6 billion in net cash flow for the year, helping drive account values to $36 billion at year end. We continue to see success through all of our distribution channels in a broad array of fund offerings. Individual annuity earnings were $33 million for the fourth quarter, up 37% compared to the year-ago quarter on 7% higher average account values. This primarily reflects strong investment income performance in the quarter, including higher asset prepayment fee income. Earnings from Principal Global Investors improved 51% for the quarter to $19 million and 53% for the full year to $59 million compared to their respective periods in 2009. The improvement reflects higher average assets under management, strong expense management and an increase in transaction fees, which continue to trend up. Solid investment performance resulted in higher performance fees as well. Principal Global Investors lost a loan-only sector equity mandate of $1.3 billion, contributing to unaffiliate outflows of $900 million for the fourth quarter. This was offset by more than $900 million in new real estate mandates in the quarter. Though we are disappointed in the loss, the fees from the mandate were low. Since new inflows to real estate and international equities are a much higher fee, we saw increased revenue from fourth quarter flows. 
Investment performance continues to be good. More than 90% of our asset allocation options rank in the top half of their peer group on a one-year basis. We continue to be optimistic as we look into 2011 and see increased searches in specialized investment options where we have expertise, such as real estate, currency, high yield and international equities. 
Moving to Principal International, operating earnings were down 22% to $31 million for the quarter and up 15% to a record $137 million for the year compared to their respective periods in 2009. Fourth quarter and full year 2009 results include higher economic interest in our Brazilian joint venture, Brasilprev. Fourth quarter 2010 results were also reduced by the impact of DAC amortization adjustments for lower future fees in our Mexican pension business. Adjusting for these items, inflation in Latin America and foreign exchange, operating earnings were up 18% this quarter over a year-ago quarter. Principal International finished the year with a record reported assets under management of $46 billion, up $11 billion or 32% from year end 2009 on record net cash flow of $4.7 billion for the full year. A reminder that our assets under management of our Chinese asset management joint venture were up 15% during 2010 to $6.9 billion and are not included in the reported assets under management. Our partnership with Banco do Brasil continues to prosper, as we see growth in assets under management and cash flows in this business in excess of 35% annually. U.S. insurance solution operating earnings decreased 7% to $52 million for the quarter and were down 5% to $194 million for the year compared to their respective periods in 2009. Individual life had operating earnings of $22 million compared to $31 million in the year-ago quarter. The shortfall primarily reflects a one-time increase in net reserves following a periodic long-term interest rate assumption review. Other impacts, such as a strong equity market performance, offset some of the decline. On a combined basis, run rate earnings were reduced by $11 million after tax. The run rate for individual life operating earnings remains at $30 million to $32 million per quarter. 
Turning to special benefits, operating earnings were $30 million for the fourth quarter 2010 compared to $26 million in the prior-year quarter. This increase was largely due to better claims experience and improved investment income. Overall, sales were good for the quarter, up 50% over the year-ago quarter, due to increases across all products, particularly in the group lines, which faced intense headwinds in fourth quarter 2009. We saw growth in membership, particularly in the second half of the year, with in group membership up in the fourth quarter for the first time since first quarter 2008 and overall membership up for the second straight quarter. Premium and fees also grew for the third straight quarter. The Corporate segment had operating losses of $39 million in the fourth quarter compared to a loss of $30 million in the year-ago quarter. As a reminder, corporate expenses include corporate debt, preferred stock dividends and overhead previously allocated to the Health division. As we manage down corporate overhead expenses over the next 12 to 18 months, we anticipate the corporate operating losses to decrease over time. We expect full year 2011 operating losses for the Corporate segment to be approximately $120 million. Total company net income was up 40% this quarter to $199 million and up 13% to $666 million for the year compared to their respective periods in 2009. After tax net realized capital losses continue to trend lower at $37 million in fourth quarter compared to $59 million in the year-ago quarter. We continue to see a pattern of improvement in credit-related losses. We also continue to see sequential improvement in commercial mortgage home loan losses while CMBS losses continue to be manageable. Our investment portfolio performance continues to reflect the benefit of broad asset diversification. 
Quickly looking at other financial metrics, book value per share, excluding NOCI, ended the quarter at a record $27.82, up 6% from a year-ago quarter. At $900 million in net unrealized capital gains, we were up $2.3 billion from fourth quarter 2009 and down $600 million from last quarter. During the quarter, we had a $600 million gain due to the tightening of credit spreads, offset by $1.2 billion of losses from the impact of rising interest rates. Let me remind you that the change in net unrealized gain or loss due to interest rate movement does not have an economic impact because of our strong asset liability management. Additionally, our debt to capital ratio is 15%. The strength of our balance sheet reflects the ongoing improvement in credit markets as the U.S. economy rebuilds. 
Moving to capital adequacy, as of quarter end, we estimate our risk-based capital ratio to be 420%. Relative to a 350% RBC ratio, we have approximately $1.6 billion of total excess capital, split roughly even between the life company and the holding company. Total excess capital in the quarter was impacted by our dividend payout and the NAIC year end review of CMBS portfolios. The year end RBC ratio was negatively impacted by approximately 25 points due to this change. Our moderate risk scenario reflects the improvement in the CMBS market and our expected losses have actually improved. However, the negative impact of the RBC ratio is one of the reasons we are committed to holding a higher component of excess capital as cushion to absorb some of these capital changes. We have a very strong enterprise risk management framework and are focused on the future as we examine potential regulatory and accounting proposals. 
As we said at Investor Day, even with our additional capital cushion, we still plan to deploy approximately $700 million of capital over the next 12 months for appropriate M&A and share buybacks. Our hybrid business model gives us the opportunity to continue to generate deployable free cash flow throughout the year. All four of the rating agencies now have the life insurance industry on stable outlook. With improving market fundamentals, a business model that requires less capital to support organic growth and our ability to generate free cash flow, we have enhanced our ability to increase shareholder value overtime through strategic capital redeployment. We are excited about the financial flexibility our balance sheet gives us in 2011 and beyond. We are very pleased with our results in 2010. While many of the challenges of the slow economic recovery persists, we are building momentum and are excited about the increasing signs of growth in our businesses. This concludes our prepared remarks. Operator, please open the call to questions."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Operator","[Operator Instructions] The first question will come from John Nadel with Sterne Agee.",13,"[Operator Instructions] The first question will come from John Nadel with Sterne Agee."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Analysts","I have two questions for you. Terry, just following up on the comment on the $700 million of capital deployment. Just want to clarify that that's in addition to common dividends and interest expense in your debt so that we should be thinking about that as",50,"I have two questions for you. Terry, just following up on the comment on the $700 million of capital deployment. Just want to clarify that that's in addition to common dividends and interest expense in your debt so that we should be thinking about that as true return of capital?"
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Executives","This is Terry. Yes, you're absolutely right. That's in addition.",10,"This is Terry. Yes, you're absolutely right. That's in addition."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Analysts","And then I was hoping we could just get an update on the pipeline when you're thinking about the full service accumulation? Maybe you can throw Principal Global and Principal International into that as well. And specifically, I guess I'm interested in you",77,"And then I was hoping we could just get an update on the pipeline when you're thinking about the full service accumulation? Maybe you can throw Principal Global and Principal International into that as well. And specifically, I guess I'm interested in your views on first quarter sales outlook in FSA. Historically, that's been seasonally your best sales quarter and I'm just wondering, given the strength of fourth quarter 2010 sales, whether that holds something forward."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Executives","This is Larry. What I think I'll do is have Dan comment a little bit on his thoughts relative to FSA, have Norman talk just a minute about PI and then have Jim talk just a minute about PGI. So let's start with Dan.",44,"This is Larry. What I think I'll do is have Dan comment a little bit on his thoughts relative to FSA, have Norman talk just a minute about PI and then have Jim talk just a minute about PGI. So let's start with Dan."
201105,117865581,100278,"Principal Financial Group Inc., Q4 2010 Earnings Call, Feb 08, 2011",2011-02-08,"Earnings Calls","Principal Financial Group, Inc.","Executives","John, good momentum leaving Q4 going into Q1. If we just look at that created pipeline, which we've talked about in previous calls, at the end of 2010, that number's up about 20% from where it was the previous years. So again, we've got a lot of good oppo",110,"John, good momentum leaving Q4 going into Q1. If we just look at that created pipeline, which we've talked about in previous calls, at the end of 2010, that number's up about 20% from where it was the previous years. So again, we've got a lot of good opportunities and our close rate continues to tick up in Q4 and leads us right into hopefully a very strong first quarter of 2011. ESOPs and Defined Benefit seem to be coming back in terms of being part of our discussions with our Total Retirement Solutions products. And again, those were two products that were pretty flat over the course of 2010."
