"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Operator","Good afternoon. My name is Marvin, and I will be your conference operator today. At this time, I would like to welcome everyone to the fiscal the conference call. [Operator Instructions] I'll turn the call over to our host, Mr. David Havlek. Vice Presiden",51,"Good afternoon. My name is Marvin, and I will be your conference operator today. At this time, I would like to welcome everyone to the fiscal the conference call. [Operator Instructions] I'll turn the call over to our host, Mr. David Havlek. Vice President of Investor Relations. Sir, you may begin."
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Executives","Thanks, Marvin, and welcome everyone to Salesforce.com's fourth quarter is full year 2011 earnings call. Joining us for more today is Marc Benioff, Chairman and CEO. and here in San Francisco I'm joined by Graham Smith, our CFO. Following our prepared wha",449,"Thanks, Marvin, and welcome everyone to Salesforce.com's fourth quarter is full year 2011 earnings call. Joining us for more today is Marc Benioff, Chairman and CEO. and here in San Francisco I'm joined by Graham Smith, our CFO. Following our prepared what do they will open up your registry pre-buy that many of you as possible so to courtesy soccer to seek your peers companies images up to one question today. 
Public disclosure of our portfolio results can be found in our press was issued about an hour growth as well as out in our Form 8-K filed with the SEC. Additional financial information including the detailed other sort of official statements and facts is available on our website.
Accommodated it will in non-GAAP terms. reconciliation between GAAP and non-GAAP budget for both our a result of our forward guidance can be found in our press release. A bunch of our preferred comments or in response to your questions today, we may offer incremental metrics to provide a greater understanding of our business or our quarterly results. Pleased be advised about that some of these disclosures are onetime in nature and we may or may not update these metrics in the future.
With that, let me make this call official with a brief Safe Harbor. The primary purpose of today's culture provide you with information regarding our fiscal fourth quarter 2011 performance. Some of our discussion or responses services may contain forward-looking statements. Is it is a subject to risks, uncertainties and assumptions, to any of these risks the subsidies with versions of the group to be a incorrect, company results could differ maturity from those forward-looking statements. 
Over with commodities and such as well that information on potential factors that could affect or racial results are good in our reports filed with the SEC, including Good enormous present Form 10-Q from opportunity under the heading Risk Factors. to access our Q4 press release, including the depth of non-GAAP reconciliation dollars total results, any of our SEC disclosures or simply to learn more about Salesforce.com, I encourage you to visit our Investor Relations website at salesforce.com/investor. In addition to webcast of this call will be available for 90 days and a dial-in replay will be made available through March 23. 
finally before I turn the call over to Marc commodities but by Speedway reference are to be services or features that are not current available for this discussion. Contributed to timing a relative to services or features assess customers a bridges as our services in the purchase decision based on that are currently available. With that, let me turn the call over to Marc to discuss our Q4. Marc?"
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Executives","Thanks, David. Our fourth quarter with an extremely strong finished on a fantastic year. and let me begin by briefly reviewing some of our financial highlights. Revenue for the fourth quarter was 29% from the year ago of $457 million. For the full year,",2122,"Thanks, David. Our fourth quarter with an extremely strong finished on a fantastic year. and let me begin by briefly reviewing some of our financial highlights. 
Revenue for the fourth quarter was 29% from the year ago of $457 million. For the full year, we delivered approximately $1.66 billion, an increase of 27% from fiscal year '10, and we exited the year with an annual revenue run rate that now exceeds $1.8 billion. 
Non-GAAP EPS of $0.31 rose 3% from the year-ago period even as we accelerated our investment in us key areas of growth. We are to for cash flow in the quarter delivered approximately $170 million in operating cash, an increase of more than 80% year-over-year. For the full year, operating cash flow rose approximately 70% to roughly $460 million or 28% of revenue in fiscal year '11.
Our multi-products flooded just really taking off. Not only was Q4 the best quarter in our history, we also saw more business each of our sales, service, collaboration and platform Cloud than ever before. 
In The fourth quarter alone, we signed eight-figure transactions, including our largest deal ever at more than 30 deals. All sold we added approximately 5,100 net new customers in the quarter excluding customers from, taking our global customer community to more than 92,300. 
For the full year, we added approximately 20,000 net new customers and more than 1 million net new subscribers. We now have a global community of more than 3 million net gains subscribers.
Given strong Q4 demand and a strong pipeline of new business, we're pleased to be able to raise revenue guidance of $2.03 billion to $2.05 billion for fiscal year '12. This will make Salesforce.com the first enterprise cloud-computing company to generate more than $2 billion in revenue by the end of this year. 
As you know, we kicked off the fourth quarter with an amazing Dreamforce more than 23,000 customers, partners and developers attended our eighth annual event. I have to tell you I'm very, truly a testament to how our strategic vision our customers to Salesforce.com in their enterprises.
We're our customers path for the next phase of cloud computing with recall cloud 2. Cloud 2 is a new paradigm for computing that is inherently social, mobile and open. It redefines teams, pushes out information, real time and works with revolutionary devices, including iPad, of all, Blackberry and smart phone including Android. Salesforce.com is leading effort to bring Cloud 2 and fusing everything we offer to customers with the social collaboration from a mobility and openness that are the hallmark of this brave new world.
As you know, Chatter is at the heart of our efforts to get enterprise it to Cloud 2. we See the social computing as a strategic new enterprise category, which is why this year, you've seen us deliver Chatter, Chatter Plus, Chatter Mobile, Chatter Free and at the Super Bowl, Chatter.com. And leveraging the social features popularized by Facebook and Twitter such as Profiles, status update in real time feeds, Chatter provide a private and secure corporate social network for companies of all sizes. And because it is at the core to the Force.com platform, it's social capabilities are an integral part of every Salesforce product. 
Today, you can sign up directly at Chatter.com. And all Chatter customers can upgrade with a single button to our full range of services. 
Today, more than 80,000 of our 92,300 paying customers have deployed Chatter since its release in June. This make Salesforce.com the largest provider of enterprise social networks in the world. And now would Chatter.com, the free environment version of the service were looking to reduce the power of the cloud to employees at every company around the world. 
We've already added more than 10,000 new networks since introducing Chatter.com in our first-ever Super Bowl ad only a few weeks ago to get the momentum going. Our Super Bowl that marks a milestone at how enterprise software companies could accelerate important services and brands like Chatter.com.
New Chatter deployments in the fourth quarter included Analog Devices, AVL, Citrix, Epson McAfee and 3M. Customers also deployed Chatter into new departments and functions across the enterprise companies purchasing additional subscriptions to Chatter included BSkyB, Sony, Trend Micro and Wachovia. In addition, some bug look at what Chatter across the entire press, replacing its existing social network just as they'll did before them. Both are now standardized enterprise-wide on Salesforce's Chatter.
Customers using Chatter tell us that they're thrilled with a productivity gains of the open communication and France to their organization. In a recent survey, we commissioned more than 6,000 global Salesforce.com customers. Users reported 28%, 33% less email and a 49% increase in finding information after deploying Chatter. Those are amazing statistics. 
Customers that have deployed Chatter within our sales and service clouds also have shown higher log in rates and higher usage rates as their employee spend more time and do more work within our applications. These are amazing results from a technology that is literally religious months old. We are so delighted to see such strong results from the Chatter technology.
Our customer momentum was powered by our flagship Sales Cloud, which added more new business in Q4 than in any quarter in our history. Customers buy new or additional subscription to the Sales Cloud included Groupon, Juniper Networks, Staples and Tyco Health Care group. against oracle, we want significant new or add-on business is quarter with such as AT&T, Citi, Telefonica, and Xerox. And companies also prefer our Sales Cloud over Microsoft CRM, which is thought that kept pace with the social, mobile and open technologies the rest of the world has embraced and offers customers no competitive advantage. 
Q4 wins against Microsoft include Abbott, Gannett, Hilton and scripts. We also saw strong momentum in our Service Cloud, which racked up record new business. Approximately 15,000 companies no use our service club us to look for ways to deliver their customers both against traditional to new service channels, including social media, the web, email and telephone. Major wins are expansions of the Service Cloud include Huntington, Net Assets, NTT, Thomson Reuters and Walden. 
In addition, we see momentum building in a platform of the service category as companies demand more social, mobile and open applications to serve their employees and customers. We have the only platform for building quality applications that is trusted, Rubin solution for enterprise. and with our strategic news 2011 can multiply strategy in the last 90 days, we believe Force.com is positioned to be long-term leader in the platform as a service category.
we introduced our revolutionary database.com the first enterprise database built to the cloud, which allows developers to write apps at any language on any platform for any device. We also acquired the leading platform in the service for writing apps in Ruby on Rails. And now developers have the freedom to use any Ruby app for writing social and mobile cloud apps, Job are our for creating sophisticated enterprise of VMforce apex for building native apps on Force.com. 
And Force.com achieved some truly impressive milestones. This year, we attracted an additional 100,000 developers creating a global concern community of 340,000 developers writing on the Salesforce.com platform. And I'm excited to tell you today, that as of today, developers have now more than 1 billion lines of Apex Code. 
That is Apex, which is our language that runs within Force.com providing stored procedures and triggers to our Force.com developers. With this 1 billion lines of Apex code, the Salesforce.com community has really grown combined with more than 6 million Java developers and 1 million Ruby developers, shows that we have the opportunity to harness a vibrant ecosystem as the platform as a service market heats up and rad our customers to fully customize and deeply our customer systems into all of their corporate information and data.
And we already seen it. While the Service Cloud was our fastest-growing product for the full year, the platform business the Service Cloud is the fastest growing business within the fourth quarter. Customers that are now building on the Force.com platform or have extended their deployments include AIG, Facebook, Genentech, Honda, Mizuho among Novartis and Sony. Of course, products are only great if people use them. 
And That's why adoption is such an important indicator to customer's success. During the fourth quarter, the Force.com platform delivered roughly 30 billion transactions, an increase of nearly 80% from the year ago. That's 30 billion transactions delivered by the Force.com platform. Nothing speaks more to the value of our platform than usage.
I will to remind you that at the start of fiscal year '12, Q1, we changed transactions be wind. When we introduce Chatter desktop in October 2010, we included from the desktop the disservice when we reported our transactions. As more people adopt Chatter desktop, we think a better way is no longer to count those pings, and you see these changes directly Salesforce.com as well as all of our performance and security information and reliability information as well.
We believe the market for our applications and platform is tremendous. IBC predicts companies worldwide will spend more than $40 billion 2014 on cloud computing services. Our growth opportunity has never been more complex adding, and we intend to build out our presence in our lead in every one of our core markets. 
In fiscal 2011, we grew our sales there's a reason capacity by approximately 40%, after holding it steady in fiscal 2010. And we're being more aggressive with acquisitions, fueling innovation by buying great companies with great technologies. With euro coo, we now have the leading platform into service for writing apps and moving on rails, which is the leading language for creating apps that are on social mobile and open biggest very definition of Cloud 2. 
But the reason we bought is that it's much more than a Ruby development platform. In the future, it's open global technologies will support other popular languages providing a roadmap for the Salesforce platform that our competitors will be hard pressed to match. and data were developers will be excited to build applications in whatever language they're working in.
Broadest technology we will use to immediately accelerate development of Chatter, adding capabilities such as screen sharing, missing, presence to mirror the Facebook models combining communication and collaboration into an integrated service. Of course, we take that one step further by integrating those capabilities with business information. And apex will help us make contacts more social, a part of our service as our contacts, capability and contact management used by almost of all our customers, Apex Code to take that technology to another level. 
And finally, the deal we and we acquired a number one GAAP in the Google app marketplace. It's project management application already helps more than 50,000 organizations and individuals organize complex tasks. We're very excited to be innovating at the small business as well.
I'd like to quickly recap our fiscal 2011 because highlights many of our operating principles. We started last year with a revenue expectation of roughly $1.5 billion and beat this estimate by more than $100 million. We reinvested that money to help grow our sales capacity by more than 40% and to help offset the cost of three of the largest and most strategic acquisitions in our history. 
And even with the strategic investments in future growth, we ended fiscal 2011 within $0.03 of $1.25 to $1.27 target that we set in February 2010, although on lower operating margins. But we think this is the right trade-off, because we're exiting fiscal year 2011 far stronger than we began with a much higher growth trajectory and significantly greater distribution and product capabilities. It's been an amazing year, just amazing. 
We saw that the Dreamforce see that everyday at Salesforce.com, and we're looking forward to being the first cloud computing company to deliver more than $2 billion in revenue this year. And you should expect us to continue to invest in growth in fiscal year '12 as we start a focus on our next milestone, $3 billion. It's coming.
Before I close, I want to take this opportunity to invite you to join me next week at the first cloud forest of 2011 at March 3. It's going to be at the center in New York City. And outside of this Dreamforce, this is the biggest were going to be expecting more than 9,500 customers more than 3000 already registered to attend this event. This will be our largest domestic event outside of Dreamforce ever. I hope to see you there. And with that, I'll hand it back over to Graham."
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Executives","Thanks, Marc. In addition to delivering an excellent quarter across all key financial measures, particularly cash and deferred revenue, we accelerated our pace of investment in people and technology, positioning us with continued growth in fiscal 2012. I'",1680,"Thanks, Marc. In addition to delivering an excellent quarter across all key financial measures, particularly cash and deferred revenue, we accelerated our pace of investment in people and technology, positioning us with continued growth in fiscal 2012. I'll begin with us on the financial highlights for the quarter. 
Fourth quarter on revenue of $457 million was well above our outlook, entering the quarter primarily the result of a strong new business quarter Marc has already discussed. Approximately 94% of fourth quarter revenue was generated by subscription and support. That's up from 93% a year ago. As we're moving increasingly toward base model from implementation consulting, we expect the percentage of professional services revenue to gradually decline.
For the six consecutive quarter. Our dollar attrition rate expressed as the amount of annual of value revenue loss as a percentage of the prior year order value remains in the mid-teens range as it was in the third quarter. Given the approximately half of the value of our annual invoicing fourth quarter, strong Q4 renewals will help our top line growth in FY12. 
Turning to pricing, when we compare a net price for the professional and price unlimited service additions over the past eight quarters, we continue to see very little change. While others in our market compete largely on price, we continue to focus on value and technologies like Chatter, Jigsaw to differentiate our products.
Slightly bigger dollar in Q4 added a nominal $1 million to or sequential revenue performance. But the year-over-year comparison included the currency headwind of approximately $4 million. In local currency terms, fourth quarter revenue grew 30% year-over-year. 
We showed excellent growth in all regions in the Americas revenue rose by 26% to approximately $309 million. In Europe, revenue of roughly $83 million was up 30% in dollars and 41% in local currency. And in Asia, revenue of $65 million rose 43% in dollars and 35% in local currency. In total, international revenue comprised 32% of total revenue, and that's versus 31% in fiscal 2010. 
Growing our International business is important goal for Salesforce.com, and we continue to focus on sales and marketing resources in the largest offer markets in the world. Our product mix is also becoming more diversified over time. To give you one Q4 data point led by our service and platforms cloud, approximately 35% of new business in the quarter came from nonsales type services, and that compares with 30% in Q4 of last year.
Turning to the income statement. Non-GAAP gross margins were at 82% in the fourth quarter, unchanged from both Q3 and a year-ago quarter. Turning next to OpEx, which I will discuss in non-GAAP terms, at 71%, Q4 operating expenses as a percentage of revenue trended higher from the year-ago quarter. 
Sales and marketing expenses increased to 46% of revenue, up from 44% in FY '10, primarily as a result of three things. First, sales headcount additions; second, commission expense, because we had a significantly higher percentage of our sales teams being above quarter in on a accelerated commission rates; and third, of course, the biggest Dreamforce in our history, which as predicted, had a net EPS impact of around $0.05 in the quarter. 
R&D expenses increased 11% of revenue versus the percent a year ago, primarily as a result of increased headcount both through organic as well as by acquisitions. And finally, G&A expenses as a percentage of revenue remains flat at 14% of revenue.
During the quarter, we added roughly 550 people to finish the quarter with just over 5,300 employees. Approximately 65 of those additions came via by acquisitions that closed in Q4. Year-over-year, our employee population is grown by over 1,300, including just over 200 from acquisitions. The great majority of our hiring continues to be in growth critical functions like sales and R&D.
Non-GAAP operating margin of 11% was down from 15% a year ago in Q4. But last year, we added about 160 people in the fourth quarter. And as I just said, this year we added 550 people. So hopefully, it's clear what's change. 
Importantly for the fourth quarter, we still delivered non-GAAP EPS with the high end of our guidance range. At the beginning of Q4, we guided non-GAAP EPS to $0.27 to $0.28 and then reduce that range by $0.03 as a result of our acquisitions of your Roku ending them. 
Up $0.31 non-GAAP EPS results for Q4 included a onetime tax benefit of approximately $8 million or approximately $0.55 associated with the extension of a federal R&D tax credit. We ended the year with a non-GAAP effective tax rate of 35%. 
moving on to cash flow. operating cash flow for the fourth quarter was just over $166 million for the quarter. An increase of roughly 81% from a year ago. Our fourth quarter results included approximately $25 million in onetime benefit related to our recent tax change on the accounting treatment of employees stock expense. I'd like to emphasize that this should be really viewed as a windfall on a affecting our overall cash performance for the quarter and the year and our growth rate for fiscal 2012.
For the full year, we generated more than $459 million in operating cash flow, that's an increase of more than 69% from a year ago. Capital expenditures for the quarter was just under $31 billion. The primary drivers of CapEx was certain components of our data build out, primarily here in the U.S. and also leasehold improvements to support our growing employee population. 
Free cash flow, defined as operating cash flow less capital expenditures, was also strong at just over $135 million. And that's an increase of roughly 60% from last year. For the full year, our free cash flow was just over $368 million, an increase of 70% from fiscal 2010.
But looking to fiscal 2012, we think operating cash flow will grow in the low to mid-teens percentage-wise for three principal reasons. First, the onetime tax benefit of $25 million that I just mentioned; second, our headcount increase of 850 people in the second half of FY '11 was nearly 3x the number we added in the second half of FY 10. These late year headcount additions will cause cash compensation expenses to grow much more rapidly in the early part of fiscal 2012 and in the corresponding period in fiscal 2011; and finally, company over performance in Q4 and fiscal 2011 generally will result in higher commission of the bonus payouts in Q1 when compared with last year. 
Longer term, we continue to expect operating cash flow to grow about the same rate as revenue. Focusing on Q1, we expect operating cash flow to be lower than last year for the second and third reasons that I just mentioned a few moments ago.
Turning to the balance sheet. Cash and cash equivalents, including marketable securities, finished the quarter at approximately $1.4 billion. Despite our strong operating cash performance, cash and equivalents declined by nearly $400 million during the quarter, primarily due to acquisition-related payments totaling approximately $250 million for your Roku ending them, and approximately $270 million paid for our land purchase here in San Francisco. These thing two factors were the primary drivers of the significant increases to goodwill and property and equipment, respectively, in the quarter.
Our strong fourth quarter new business pushed deferred revenue to $935 million. That's an increase of 33% year-over-year. This was our strongest growth rate in nine quarters. The results included a $1 million foreign exchange benefit year-over-year at an approximately $3 million sequential headwind on currency. 
Invoiced durations work remain consistent with historical trends. but in Consistent with the last several years, we expect seasonal invoicing patterns to reduce deferred revenue from Q4 to Q1. And as another Q4 data point, our unbilled the third revenue, which is off balance sheet, was approximately $1.5 billion, and that's an increase of roughly 50% from the previous year end amount.
Turning to the outlook. We discussed in the past our goal of improving non-GAAP operating margins by 100 basis points each year. Clearly, the six acquisitions in total that we made in fiscal 2011 had a significant impact to margins, adding roughly $15 million of revenue to $45 million of expense. So we came in on that goal but we think are the very best pieces. what you can see reflected in our third quarter and of course our year end deferred revenue balance is was a significant uptick in demand and an amazing sales execution against that demand. And as Marc described earlier, when he discussed our operating principles, we decided to use that overachievement to dramatically increase our sales and development capacity in the fourth quarter.
So in that context, we now expect 2012 revenue in the range of approximately $2.03 billion to $2.05 billion, while non-GAAP EPS for the full year is expected to be $1.35 to $1.38. Earnings are expected to be somewhat more back-end loaded during the year due to the aggressive second half hiring that I've already discussed. We expect a non-GAAP effective tax rate of approximately 35% for fiscal 2012.  For Q1, we're projecting revenue in the range of approximately $480 million to $482 million and non-GAAP EPS in the range of $0.26 to $0.07. 
Another important just about this year is the timing pub Dreamforce. This year, Dreamforce will be in Q3 instead of Q4 as it has been for the past few years. To be clear, that net cost will now move from Q4 to Q3 and will likely have about a $0.06 impact on Q3 EPS in fiscal 2012. That range is likely to keep Q3 non-GAAP EPS approximately flat year-over-year and result in Q4 EPS being the highest of the year.
All of the underlying assumptions for our non-GAAP guidance as well as our GAAP guidance in the complete GAAP to non-GAAP reconciliation can be found on our earnings press release. With that, let me thank you all for joining us today and I'd like to open the call up for questions."
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Operator","[Operator Instructions] And our first question comes from the line of Heather Bellini with ISI Group.",16,"[Operator Instructions] And our first question comes from the line of Heather Bellini with ISI Group."
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Analysts","Marc, I was wondering, that you mentioned that the platform edge out service as a second-fastest growing product for you guys. I'm just wondering, did that surprise at this stage? And I'm wondering, kind of what your expectations are with that continued t",55,"Marc, I was wondering, that you mentioned that the platform edge out service as a second-fastest growing product for you guys. I'm just wondering, did that surprise at this stage? And I'm wondering, kind of what your expectations are with that continued this year and what do you think the key drivers of it are?"
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Executives","Well, I think the number one thing is that the Service Cloud numbers are also getting quite big. So that gives the platform a little bit more opportunity to grow faster. both are fast-growing products. It's really impossible for me to know. I mean, we've",192,"Well, I think the number one thing is that the Service Cloud numbers are also getting quite big. So that gives the platform a little bit more opportunity to grow faster. both are fast-growing products. It's really impossible for me to know. I mean, we've just seen spectacular growth of the Service Cloud as you probably know in the last two years. Since we purchased instrument, it's been a huge accelerator for the Service Cloud. We also bought a tremendous new product called TiVo, which adds chat capabilities through the Service Cloud. And we just have great leadership on that team. It's been a tremendous transformation of the company and the speed of growth has been awesome. And then we have the platform. And with the platform of course, we also just added, which was an incredible acquisition technology like I've never seen. You've already seen it delivering Ruby on rails as a service, and you're going to start to see out some amazing capabilities from that group as we head towards Dreamforce. And so, both of these are just very fast-growing product lines. Graham, would you like to add to that?"
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Executives","Sure. I think the other thing is we've also added product specialists, Heather, in those two areas. So we obviously have a large exec teams focus on managing all of our accounts around world. But in the last year, added some significant resource for addit",57,"Sure. I think the other thing is we've also added product specialists, Heather, in those two areas. So we obviously have a large exec teams focus on managing all of our accounts around world. But in the last year, added some significant resource for additional support to those teams. I think that's helped the results as well."
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Analysts","And so, as last year was the year of Service Cloud, isn't issued a year of the platform Marc in your view upgraded were not to diminish Service Cloud about?",30,"And so, as last year was the year of Service Cloud, isn't issued a year of the platform Marc in your view upgraded were not to diminish Service Cloud about?"
122917,126762296,106325,"Salesforce.com, Q4 2011 Earnings Call, Feb 24, 2011",2011-02-24,"Earnings Calls","Salesforce, Inc.","Executives","Well, that's a great question. You probably know we just finished up our business planning for the year, and we should our vision and values methods and obstacles and measures to our worldwide teams and given them their goals. We think that it's neither t",384,"Well, that's a great question. You probably know we just finished up our business planning for the year, and we should our vision and values methods and obstacles and measures to our worldwide teams and given them their goals. We think that it's neither the Service Cloud of this year or the platform. We think this is really the euro Cloud 2. Heather what's going on with our customers is, there is just a dramatic shift to a new type of IT, some of the calling the consumerization of IT. I recall that Cloud 2, where cloud one was really about low-cost and fast and easy-to-use now we really see this shift to the next version of Cloud 2, which is social driven a lot by 1 billion people on Facebook and Twitter. And mobile, would you see iPad growth is been unbelievable. And analysts seen that they're going to see another 50 million tablets in use of this year, sold this year. In addition, to what's already been sold and then we're going to see great open systems. And I think this is been a huge opportunity for us a lot of our customers very worried about the old vendors, Microsoft, Oracle, as to be locking for prioritized and is like not that and see sharpened. Looking for these new open standards like Ruby and Java, and where we've really tried to deliver and we are really focused on this next paradigm of computing and moving customers to that as quickly as possible, and the uptake has been awesome. And then when customers look to build those apps, they're using our platform because our platform lets you build these apps the dynamically our social mobile and open. And that's why I think the platforms exciting, that think that's the Service Cloud is exciting as well. And I think as we head to next week, it's going to be a big week, March 2 are going to see the next iPad release, which will be awesome. And then on March 3, we're going to talk about our strategy and our vision for how do take their growth and their acceleration of that product and others and help CIL succeed. We're seeing more CIL interest in deploying I present enterprises than ever before. It's phenomenal."
