"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Operator","Welcome to the Tyco First Quarter Earnings Conference Call. [Operator Instructions.] I will now turn the call over to Antonella Franzen, vice president of investor relations. You may begin.",29,"Welcome to the Tyco First Quarter Earnings Conference Call. [Operator Instructions.] I will now turn the call over to Antonella Franzen, vice president of investor relations. You may begin.
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","Good morning and thanks for joining our conference call to discuss Tyco’s first quarter results for fiscal year 2011 and the press release issued earlier this morning.With me today are Tyco’s chairman and chief executive officer, Ed Breen and our Ch",410,"Good morning and thanks for joining our conference call to discuss Tyco’s first quarter results for fiscal year 2011 and the press release issued earlier this morning.
With me today are Tyco’s chairman and chief executive officer, Ed Breen and our Chief Financial Officer, Frank Sklarsky.
Just a reminder that during the course of the call, we will be providing certain forward-looking information. We ask you to look at today's press release and read through the forward-looking cautionary informational statements that we've included there.
In addition, we will use certain non-GAAP measures in our discussions, and we ask you to read through the sections of our press release that address the use of these items. The press release is issued this morning and all related tables, as well as conference call slides, can be found on the Investor Relations portion of our website at tyco.com.
Please also note that we will be filing our quarterly SEC form 10-Q later today. In discussing our segment operations, when we refer to changes in average revenue per user, backlog, and order activity, these figures exclude the impact of foreign currency.
Additionally, references to our operating margins during the call are excluding special items, which is a non-GAAP measure. Again, these non-GAAP measures are reconciled in the schedules attached to our press release. 
Before discussing our operating results, I just want to remind you of the segment realignment we completed this quarter. We have created an integrated global fire segment which combines the fire suppression and life safety platforms of our former safety product segment into our fire protection segment. Additionally, the electronic security products platform within our former safety products segment was integrated into our security solutions segment, which includes ADT.
Now let me quickly recap this quarter’s results. Revenue in the quarter of 4.4 billion was up 5% year-over-year with organic revenue growth of 4%, including a 1% point contribution from the electrical and metal products business. 
Earnings per share from continuing operations attributable to Tyco common shareholders was $1.00 and included $0.25 of benefit from special items primarily related to the gain on the sale of a majority interest in the electrical and metal products business.
Earnings per share from continuing operations before special items was $0.75 compared to our previous guidance of $0.65 to $0.67, driven by strong operating growth in our security and fire businesses. 
Now let me turn the call over to Ed for some opening comments. 
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","Thanks Antonella, and good morning everyone. 2011 is off to a good start, with both improved top line growth and enhanced operating margin performance. Our results for the quarter were driven by improved market additions in most of our product and system",833,"Thanks Antonella, and good morning everyone. 2011 is off to a good start, with both improved top line growth and enhanced operating margin performance. Our results for the quarter were driven by improved market additions in most of our product and system installation businesses around the globe as well as the continued benefits from our restructuring and cost containment actions.
Additionally, the continued growth in our service and recurring revenue businesses, which represented 43% of our total revenue, also contributed nicely to our performance in the quarter. 
Operating income before special items increased 19% and the operating margin improved 130 basis points year-over-year.
Now let me give you a quick overview of our results for each of our businesses, and then Frank will provide you with more details in a few minutes. Security had a strong start to the year. Organic revenue grew across all businesses and all geographies. Our key metrics continued their positive momentum and the synergies we expected from the Broadview acquisition are playing out as we planned.
On a global basis, security's operating margin improved 240 basis points year-over-year, driven by increased volume in our commercial and product businesses, growth in our higher margin recurring revenue business, and the continued benefit of restructuring and productivity initiatives.
Turning to fire, revenue was about what we had expected. The turnaround in order activity we saw over the last few quarters translated into positive organic revenue growth in SimplexGrinell, our North America service and contracting business. Additionally, our product businesses, which are fire protection and life safety, which comprise about 30% of fire's total revenue, continued to grow nicely. Fire exceeded our expectations.
The continued benefit of restructuring and cost containment initiatives, and the selectivity of project work, drove solid year-over-year operating margin improvement. In Flow Control, the organic revenue decline continued to moderate, and the order trends have been encouraging. 
Valves and controls, which is by far the largest piece of the business, has seen positive year-over-year order activity for the last three quarters. As there is a six- to nine-month order-to-revenue conversion cycle for valves, we expect to see this part of the business return to positive organic revenue growth in the second half of the year. We have also seen our earlier cycle actuation and instrumentation orders grow significantly over the past few quarters, and this historically leads our valve business by six to nine months.
The operating margin performance in the quarter was impacted by a charge related to a project in a business that we retained as part of the 2008 divestiture of the Earth Tech business. Excluding this charge, the operating margin was about what we had expected.
The improvements we have made in the business over the last few years, as well as the pickup in order activity over the last few quarters, is expected to improve our operating performance in the second half of the year.
Now I'd like to comment on a few key areas of focus for 2011: growth opportunities, productivity improvements, and capital allocation. First, we will continue to pursue growth opportunities in our three core platforms of security, fire, and flow. These investments will include initiatives that drive top line growth such as the continued investment in our subscriber and dealer channels in ADT, incremental investments in R&D which we plan to take up for the third year in a row, and increased spend related to sales and marketing. We will also pursue bolt-on acquisitions to further strengthen our global competitive position. 
Second, we will continue to focus on productivity. We are seeing the benefits of past actions in our operating margin performance and have identified additional opportunities to further reduce our cost structure. 
And third, capital allocation. Our balance sheet is strong and in early December our credit rating was upgraded by Fitch to A-, which follows a similar upgrade by S&P. Over the last few months we've received almost $1 billion of divestiture proceeds, and we ended the quarter with $2.1 billion of cash.
We will deploy our cash to fund our internal growth initiatives as well as productivity and restructuring plans. Excess cash will then be invested in areas that we expect will generate the best return for our shareholders, including additional bolt-on acquisitions as well as returning cash to shareholders.
Since November, we have repurchased 19 million shares, for approximately $800 million of cash under the current $1 billion share repurchase program. And we recently announced a proposed dividend increase to $1 per share that our shareholders will vote on at our annual general meeting in March. The proposed dividend represents about a 20% increase.
With that, I'm pleased to turn the call over to Frank Sklarsky, Tyco's new chief financial officer. Frank joined the company on December 1, and I'm delighted to have him on board. Some of you have already had the opportunity to meet Frank, and I know that he's looking forward to meeting our investors and analysts in the coming months. Frank?
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","Thanks very much Ed, and good morning everyone. With respect to our results for the quarter, let me start with security. Revenue of $2.1 billion reflected overall growth of 10% in the quarter, with organic revenue growth across all regions and businesses",1560,"Thanks very much Ed, and good morning everyone. With respect to our results for the quarter, let me start with security. Revenue of $2.1 billion reflected overall growth of 10% in the quarter, with organic revenue growth across all regions and businesses totaling 6%. Recurring revenue, which now represents 57% of security's total revenue, continued to perform well with 4% organic growth in the quarter.
Nonrecurring revenue, which includes product sales, system installation, and service revenue, represents the remaining 43% of security's revenue, and this portion of the business grew 7% organically in the quarter, with a nice turnaround in the North American and EMEA regions, which grew for the first time in almost three years. Nonrecurring revenue also benefitted from strong growth in our security products business.
From a profit perspective, security's operating income before special items in the quarter was $352 million and the operating margin was 16.7%. Higher sales volumes across the globe, improved operational performance in the commercial business, and the continued benefits of restructuring and productivity initiatives drove a 240-basis point operating margin improvement year-over-year. 
From a regional perspective within security, nearly 90% of our North American residential and small business revenue is recurring. This recurring portion grew by 32%, including the impact of the Broadview acquisition, and organic growth was 5% for the quarter while our operating margin remained strong. 
Year-over-year, our North American residential account base grew 31%, primarily reflecting the impact of the Broadview acquisition. Growth in average revenue per user was 1% year-over-year, and was impacted by the addition of Broadview accounts, which have lower monthly average revenue. 
Heritage ADT accounts grew average revenue per user by 3% year-over-year, mainly due to the favorable impact of higher monthly revenue rates from new accounts. Our residential attrition rate of 13% improved 30 basis points year-over-year and was flat on a quarter sequential basis.
Touching on the Broadview acquisition, we've completed our ADT branding, financial, and HR process integration. Looking forward, our near term efforts are completing field integration and we continue to consolidate our branch office footprint to drive improved productivity and improved customer service. Overall, the Broadview integration is progressing as planned, and we are on track to deliver on our synergy and earnings accretion targets.
Turning to our North American commercial business, the mix of revenue is very different from residential and small business. 65% of commercial revenue is driven by nonrecurring system installation and service, while 35% is recurring revenue. After 12 consecutive quarters of organic revenue decline, our North American commercial business grew 6% organically in the quarter and the operating margin improved 190 basis points year-over-year. 
Our attrition rate improved 120 basis points year-over-year and 30 basis points on a quarter sequential basis to 12.8%. Additionally, we now have three quarters of year-over-year growth in orders, with 13% growth in the first quarter. 
Next, in the EMEA region, we saw positive organic revenue growth for the first time in almost three years, with 1% growth in the quarter. The operating margin in EMEA improved 600 basis points year-over-year to 11.6%, reflecting the continued benefits from restructuring and cost containment initiatives. 
In the Asia-Pacific and Latin American regions, where revenue is predominantly commercial in nature, organic revenue grew 8% with an operating margin in the low teens.
Turning to the key metrics for our overall global recurring revenue business, our worldwide account base grew 20% year-over-year or 2% when adjusting for the accounts acquired as part of the Broadview acquisition. Average revenue per user for our heritage ADT account base grew 2% year-over-year on a global basis.
As the mix in our account base has shifted more to residential with the Broadview acquisition, our global average revenue per user of $45.17 declined 2.5% year-over-year. Our worldwide attrition rate of 12.7% improved 10 basis points on a quarter sequential basis.
And finally, security products, which includes intrusion, video, and access control, had organic revenue growth of 21%. Improved operating margins were driven by higher sales volume and continuing improvements in the operational performance of the business.
Let me now turn to fire protection, which now includes the fire protection products and life safety businesses, realigned from the former safety products segment. Overall, revenue in the quarter was $1.1 billion, with organic revenue growth of 1.5%. 
The largest piece of fire protection, our service and system installation business, is comprised of 55% service and 45% contracting. In this part of the business, total revenue of $801 million declined 1% organically in the quarter. 
Growth in our service revenue of 1% was more than offset by a 3% organic revenue decline in system installation, partly due to project selectivity. The remaining portion of our fire protection business, fire products, which includes both fire and life safety products, had revenue of $299 million in the quarter, with organic revenue of 9%. 
Overall, fire's operating income before special items was $127 million in the quarter, and the operating margin was 11.6%. The 190-basis point improvement in margin year-over-year was driven by increased volume in fire and life safety products along with project selectivity in our service and contracting business, as well as the continued benefit of restructuring and cost containment initiatives. Total fire backlog of $1.2 billion increased 1% on a quarter sequential basis, excluding the impact of the deconsolidation of a joint venture.
Moving to flow control, revenue was $826 million in the quarter, and the organic revenue decline moderated to 2%. Organic revenue growth in thermal controls of 8% was more than offset by a 5% decline in valves and 2% decline in water. As Ed mentioned, we expect to see growth in the valves business in the second half of the year. The organic revenue decline in water will, however, accelerate as we have essentially completed the Australian desalination project in the first quarter.
Operating income before special items in flow was $100 million and the operating margin was 12.1%. Included in operating income is a $5 million charge related to a project in a business we retained as part of the Earth Tech divestiture in 2008, which adversely affected the operating margin by 60 basis points. We expect to see improved operating margins in the second half of the year as volume continues to improve and the benefits from previous restructuring activities and ongoing productivity initiatives are realized.
Overall, orders in the quarter increased 7% year-over-year, the fourth consecutive quarter of year-over-year order growth, with 6% order growth in valves and controls, driven by strength in oil and gas and strong bookings in thermal, offset by an order decline in water. Backlog of $1.5 billion increased 3% on a quarter sequential basis, and the book-to-bill ratio was 1.05.
Let me briefly touch on the quarter's results for the electrical and metal products business. Revenue of $347 million increased 15% organically, mainly driven by higher selling prices for both steel and copper products. Operating income before special items was $13 million, and the operating margin was 3.7% as increased selling prices were more than offset by higher material costs.
Lastly, we have closed on the previously announced sale of a majority interest in electrical and metal products. Total cash received from the transaction was $713 million and we recorded a pre-tax gain on the sale of $259 million. 
Beginning with the second quarter, we will report the earnings from our remaining minority ownership under the equity method, meaning a single after-tax number will appear in our P&L in the ""other income and expense"" line within continuing operations. For the remainder of 2011, we continue to expect that our equity interest post-closing will result in a P&L loss of approximately $15 million, with a $10 million loss in the second quarter due to non-cash purchase accounting adjustments such as the write up of inventory as well as previously anticipated interest expense.
Let me know touch on a few other important items. First, corporate expense before special items was $97 million in the quarter, which is about what we expected. For the second quarter, we expect corporate expense of approximately $105 million. Additionally, we incurred $53 million of net interest expense in the quarter. For the full year, we expect net interest expense to be approximately $225 million.
Our effective tax rate for the quarter before the impact of special items was 17%. For the second quarter, we are planning for a tax rate of approximately 18%. 
We exited the quarter with an average diluted share count of 492 million shares. Based on our expected share repurchase activity, we expect an average share count slightly below 480 million shares in the second quarter.
I also want to quickly touch on restructuring activities. To date, we have incurred approximately $37 million of restructuring and integration charges compared to our previously communicated estimate of $150 million for the year. As Ed mentioned, we have identified additional cost-saving opportunities and we now expect that our full-year restructuring charges will be approximately $200 million.
These restructuring actions will provide a very attractive payback, with the majority of the savings expected to be realized in fiscal 2012. It is these types of actions that have significantly helped us reduce our cost structure, achieve productivity improvements, and make our operations more efficient.
Now let me turn the call back over to Ed to wrap up this morning's call.
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","Thanks Frank. Before we open up the lines for questions, I want to spend a few minutes on our guidance for the second quarter, and our expectations for the second half of the year. Based on our current order rates and backlog, we expect organic revenue gr",436,"Thanks Frank. Before we open up the lines for questions, I want to spend a few minutes on our guidance for the second quarter, and our expectations for the second half of the year. Based on our current order rates and backlog, we expect organic revenue growth of 3-4% in the second quarter, with total revenue in the range of $3.95 billion to $4 billion.
From a business perspective, we see year-over-year organic revenue growth of 5% in security. We expect a sequential decline in operating margin to approximately 15.8%, due to a normal seasonality we see in the business, particularly in retail, which traditionally yields higher revenue and operating income in the first quarter.
In our fire business, we expect the top line to be similar to the first quarter, with operating income before special items of approximately $125 million. 
Moving to flow control, we expect revenue to be similar to Q1, with operating income before special items of approximately $105 million. We fully expect flow to be a larger contributor to earnings in the second half of the year as we exit the low part of the cycle by the end of the second quarter.
Lastly, as Frank mentioned, we expect to record a loss of $10 million related to our retained ownership interest in the electrical and metal products business in the second quarter. Remember, this compares to an operating income of $13 million in the first quarter, representing a headwind of $0.04 per share on a sequential basis.
From an earnings perspective, this is expected to result in second quarter earnings per share from continuing operations before special items to be in the range of $0.64 to $0.66 per share. 
As we look to the balance of the year, there are a few items that we expect to be tailwinds in the second half of the year as compared to the first half of the year. First, security and fire have seasonal increases in revenue and income in the third and fourth quarter, and we expect this trend to continue. As I mentioned, we expect flow control to increase its earnings contribution in the second half of the year based on order activity over the last few quarters.
Given our first quarter results, current order activity, and our business expectations for the remainder of the year, we are increasing our full year earnings per share guidance, excluding special items, to a range of $2.93 to $2.98 from our previous range of $2.85 to $2.95. 
Thanks for joining us on the call, and operator if you could open up the lines for questions?
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Operator","[Operator Instructions.] Our first question today is from Steve Tusa with JPMC. Your line is now open.<TAG>Steve Tusa - JPMorgan Chase & Co.Just a question on the guidance. What's your new organic growth assumption now for the year?",40,"[Operator Instructions.] Our first question today is from Steve Tusa with JPMC. Your line is now open.
<TAG>Steve Tusa - JPMorgan Chase & Co.
Just a question on the guidance. What's your new organic growth assumption now for the year?
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","I think our organic's going to be up a point from where we were before. You know, our guidance going into the year was 2-3%. I think we'll be up more towards the high threes to maybe 4%. But let me also point out, as Frank mentioned, it doesn't help us on",303,"I think our organic's going to be up a point from where we were before. You know, our guidance going into the year was 2-3%. I think we'll be up more towards the high threes to maybe 4%. But let me also point out, as Frank mentioned, it doesn't help us on the revenue line as much in upping the total revenue of the company, because we're deconsolidating a JV because of new accounting rules. It takes about $100 million of revenue out of the business for the year. So use that number a little bit, but I do expect the organic to be higher. You know, the first quarter I'd take electrical and metal out of it, because it won't be there the rest of the year. Our organic was 2.8%, and now we're thinking we're about 4% in the second quarter. So I think if you average out the year we'll be high threes, around four, something like that.
<TAG>Steve Tusa - JPMorgan Chase & Co.
Right. So if things aren't getting worse, and it sounds like they're getting better at flow and maybe some of the other commercial related businesses, why wouldn't that be at least a tick higher. I mean, you should be exiting the year at a little bit of a better rate here in the fourth quarter. Is there something that you're worried about in the back half of the year? Is there something in the water business that drops off dramatically, or is this just a momentary uptick in revenue? It just seems like if you're doing this kind of growth rate in the first half of the year, things should be better in the back half, especially flow. So I'm just curious as to what are you worried about as something that drops off.
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","You know, look, overall the results in the quarter from an order standpoint were very positive for us, and I'd say surprisingly positive on the commercial side of the business. As you can see, we saw an uplift on the commercial orders in ADT across all re",441,"You know, look, overall the results in the quarter from an order standpoint were very positive for us, and I'd say surprisingly positive on the commercial side of the business. As you can see, we saw an uplift on the commercial orders in ADT across all regions, and it was double-digit in all regions. So I would say that was one of the pleasant surprises in the quarter. It really comes down to phasing for us. We're seeing nice trends in the order rates in our businesses, but let me give you a couple particulars. Flow control orders were up about 7% this quarter, but when you really look at the phasing of our backlog - and that's why what I stressed last quarter - we really are going to see a lot of that benefit as we go into fiscal 2012. Remember, we're in our fifth month of our fiscal year already. So as we look at phasing, it does phase up in the third quarter. It phases up more in the fourth quarter in flow, but the real benefit starts accruing toward the end of the fourth quarter and into the first quarter of next year. And by the way, there is one thing that mutes our number a little bit in flow. You really have to look at the pieces, and we do have a very tough water compare over the remainder of this year through the second, third, and fourth quarter, and that compare in flow on the water side goes away as we go into fiscal '12. So that's the one thing I would say mutes us a little bit on the flow side, but the underlying trends obviously look very, very good in the business, what we're seeing on the order side. So yeah, I do think, by the way, by the time we get to the fourth quarter our organic rate might even be higher than that, but when you take a 2.8 in the first quarter, a 4% in the second quarter, you know it averages out kind of to a 4% for the year. We probably will uptick a little bit more, but no, I would say there's no trends we're seeing that are concerning us. If anything, we're feeling very, very good about what we saw this quarter.
<TAG>Steve Tusa - JPMorgan Chase & Co.
What's the source of the tough order comp? It seems like there's always some sort of project, something kind of comes out of the blue here. I don't recall last year being that dramatically good for flow. So what's the source of the tough flow comp?
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","By the way, we did highlight this I think almost every quarter in our remarks. We had a very large de-sal water project in Australia last year, and we highlighted it and we had it because we knew it was a one-time big, nice order. And that's a compare pro",426,"By the way, we did highlight this I think almost every quarter in our remarks. We had a very large de-sal water project in Australia last year, and we highlighted it and we had it because we knew it was a one-time big, nice order. And that's a compare problem right now. So by the way, let me give you the detail behind that so you can sort of see the order comparison here. When you take our results for the first quarter in flow, let me give you a few numbers here that I think will put this in perspective. Our total orders in flow were up 7%. And let me read totals for you for the last five quarters to give you the trending. First quarter 2010 was -13%, so that was the real bottom. Second quarter was +36%, third quarter was a +3%. Fourth quarter was a +5.3% and then this quarter that we just ended was a +7%. So you can see it trending nicely. So that's total flow. If you look at the pieces, and let me give you the first quarter that we just ended. When you look at the pieces, valves was up 6.2%, but water, and this is the compare problem we're going to have through the year, water was down 23%, and that's the de-sal project we were booking and then shipping last year. And then thermal was up 43%, which gets you to the 7% total. Let me also point out to you the valve orders, which turn later than thermal, have gone from the third quarter of +2%. The fourth quarter was a +3%. Now it's to a +6.2% in the first quarter and I hate to always give one month, because this is a lumpy business, but January our valve orders were up 9.5%. So I think you can see underlying trends very positive, but for the next few quarters we'll have a tough compare on water. But that does not negate the fact that our revenues and bottom line are going to pick up starting in the third quarter in flow, but maybe not to the extent that you would expect until we get to the first quarter of fiscal '12.
<TAG>Steve Tusa - JPMorgan Chase & Co.
And then just the buyback, you guys are almost done there. You guys have kind of eaten through a lot of the authorization. You guys have cash. Would you continue to buy back more stock beyond the billion dollars at some stage of the game?
"
107534,117489735,96098,"Tyco International Ltd., Q1 2011 Earnings Call, Jan 27, 2011",2011-01-27,"Earnings Calls","Tyco International plc","Executives","Yeah, Steve, I feel very good about what we've just accomplished, because we spent $800 million. We averaged out a little over $41 a share. So yeah, to your point, we have $200 million left on the authorization. I would expect, and by the way this is clea",207,"Yeah, Steve, I feel very good about what we've just accomplished, because we spent $800 million. We averaged out a little over $41 a share. So yeah, to your point, we have $200 million left on the authorization. I would expect, and by the way this is clearly a board conversation we will have, but I would expect that we will be looking at another authorization. But let me just mute that a little bit by, we have not done an acquisition now since Broadview, which is about 8 months ago. We are close on a couple acquisitions that could total about $500 million. We're also looking at a couple others, so we're going to take that into account along with the pace of share repurchase. But having said that, I would expect as we're getting closer to the end of this we will be studying the share repurchase to look at we do moving forward. I'd also point out, since I mentioned these acquisitions, I think you'll find if we can get these done, they're very strategic. They're right down the middle of the plate, and one is in our security business and one would be in our flow business if we can get them done.
"
