"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Operator","Good morning, and welcome to the EMC Fourth Quarter 2011 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. If you have any objections, you may disconnect at this time. I would now like to introduce your ho",52,"Good morning, and welcome to the EMC Fourth Quarter 2011 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. If you have any objections, you may disconnect at this time. I would now like to introduce your host, Mr. Tony Takazawa, Vice President, Global Investor Relations of EMC."
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Executives","Thank you. Good morning. Welcome to EMC's call to discuss our financial results for the fourth quarter of 2011. Today, we are joined by EMC Chairman and CEO, Joe Tucci; and David Goulden, EMC Executive Vice President and CFO. To kick things off, David wil",335,"Thank you. Good morning. Welcome to EMC's call to discuss our financial results for the fourth quarter of 2011. Today, we are joined by EMC Chairman and CEO, Joe Tucci; and David Goulden, EMC Executive Vice President and CFO. To kick things off, David will comment on the results that we released this morning. He will highlight some of EMC's activities this quarter and he will discuss our outlook for 2012. Joe will then spend some time discussing his view of what is happening in the economy and IT, EMC's execution of our strategy and how EMC is helping customers navigate the massive transformation happening in IT to cloud and Big Data. After the prepared remarks, we will then open up the lines to take your questions. I would like to point out today, we are providing you with a very detailed projected financial model for 2012. This new model lays out all the key financial assumptions that are the foundation of our 2012 expectations. We hope that you find this model helpful in understanding our assumptions and context and in ensuring that these expectations are correctly incorporated into your models. This model is included in today's slide presentation that you can see during the webcast and it is also available for download in the Investor Relations section of emc.com. In addition, please note that we will be referring to non-GAAP numbers in today's presentation unless otherwise indicated. A reconciliation of our non-GAAP comments to our GAAP results can be found in the disclosure today, in our press release, supplemental schedules and the slides that accompany our presentation. All of these are available on emc.com. The call this morning will contain forward-looking statements, and information concerning factors that could cause actual results to differ can be found in EMC's filings with the U.S. Securities and Exchange Commission. And lastly, I will note that an archive of today's presentation will be available following the call. 
With that, it's now my pleasure to introduce David Goulden. David?"
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Executives","Thanks, Tony. Good morning, everyone, and thank you for joining us today. I'm very pleased to report another quarter of record results for revenue, non-GAAP EPS and free cash flow. This excellent performance enabled us to achieve record results for the fu",4058,"Thanks, Tony. Good morning, everyone, and thank you for joining us today. I'm very pleased to report another quarter of record results for revenue, non-GAAP EPS and free cash flow. This excellent performance enabled us to achieve record results for the full year, driven by year-on-year growth in revenue of 18% to $20 billion and non-GAAP EPS of 20% and a free cash flow of 29%. Clearly, we're delivering on our ongoing commitment to strengthen our strategic position within the evolving IT landscape and on our triple play of gaining market share, reinvesting for growth and delivering leverage. 
These very strong results make us better prepared than ever to maintain our strategic agility and operational excellence as we head into 2012. As you know, fundamental changes are underway in IT right now, and it is our ability to identify and invest in these changes that has enabled us to achieve the solid Q4 and record full year else we're reporting today. The transformation of IT is occurring with customer shift to private, public and hybrid cloud models. The transformation of business is also underway as new technology is enabling organizations to harness the power of Big Data in ways that were impossible only a few years ago. The transformation of EMC is ongoing as we continue our evolution of our company in order to remain at the forefront of these expansive opportunities and help our customers advance in this new age. 
As we look across our business, it is clear that EMC is well equipped for this era of transformation. To begin with, customers' cloud and Big Data objectives are best served by having the right information storage infrastructure. Intelligent automated storage is a critical component as is the ability to give customers options because the nature and use of these expanding data sets are almost as varied as the data itself. Having a broad and best-of-breed product portfolio in storage is an important differentiator and has been a key reason for our success. Year-on-year, Information Storage revenue grew a healthy 12% over Q4 of last year. As expected, we have adequate hard disk drive supply for the period, although there were some charges relative to the availability of certain drive types. Product revenue was up 11% and 24% in the high-end and mid-tier, respectively. This is an excellent result and speaks to the strength of our offerings across a wide spectrum of different applications, implementations and used cases. For customers with mission-critical data sets meeting to scale with the best performance, reliability and availability, our high-end scale-out VMAX is consistently selected as a tool for the job. While these attributes have driven market our leadership in the high-end for years, our value proposition in this segment has grown as we've improved our product portfolio to accommodate the transformations of IT and business. For example, we introduced Flash drives to enterprise storage 4 years ago, unveiled our virtual matrix VMAX architecture 3 years ago and refreshed VMAX software capabilities just last year, doubling performance and adding faster VP. The innovations we are consistently introduced are important to customers make our high-end more useful and for their evolving needs. The results have been meaningful share gains in the high end over the past several years. 
The addition of FAST VP to VMAX last year enabled customers to more efficiently and automatically tier the information across Flash and SATA drives. Clearly, customers value this feature as the attach rates of FAST VP to VMAX continue to climb in Q4. The vast majority of these systems are leveraging both Flash and SATA drives and, in fact, Flash capacity sold in VMAX more than doubled year-on-year in Q4. 
The addition of VMAXe to the portfolio in 2011 expanded our addressable markets. VMAXe offers the reliability availability and many of our attributes of a VMAX in a smaller system, 1 designed specifically for businesses with limited space, IT staff or capacity needs. The VMAXe is meeting our objective of successfully reaching this tier of the market, particularly outside the U.S. Half of VMAXe sold in 2011 went to international customers. The VMAXe is also allowing us to gain new customers in the U.S. Average pizza is just 1 example of a brand-new EMC customer we won because the VMAXe meets their specific needs for powerful scale-out block storage in an efficient package. 
In 2011, the addition of VPLEX Geo expanded our VPLEX family by offering high-availability and distributed data access over extended businesses. The value proposition of VPLEX offers turning a secondary data center into a productive site enabling active, active data across distance, has transformed how our customers are architecting their cloud infrastructures. A bank in Poland was a great example of this in Q4. VPLEX's ability to seamlessly move their vSphere applications between data centers without any interruption is enabling them to take full advantage of their virtualized infrastructure as they can now do load-balancing and allow real-time data access over 2 data centers that are miles apart. This value proposition is as yet unmet by an competitive offering. It is innovation such as these that keep our products at the leading edge and broaden their used cases. You can expect us to continue our unrelenting pace of improvements here in 2012. 
The transformation of EMC has been most evident in our mid-tier product set. As customer needs in the mid-tier have expanded, we have expanded our portfolio accordingly to ensure we have the right tool for the job. In 2011, we launched our VNX Family to meet the needs of customers seeking simplicity by our unified architecture, better VMware integration and auto tiering, all of which combined to deliver greater efficiency and a lower total cost of ownership. As a result, our VNX Family has been warmly embraced by both existing and new customers alike and brought in almost 2,000 new customers to EMC in Q4 alone. It is also interesting to note that almost half the customers who bought VNX systems during 2011 have not purchased EMC unified systems before. 
In addition to winning new customers, our VNX product family won numerous awards in 2011, including awards for best storage for SQL by SQL server magazine; the best array for storage virtualization by readers virtualization review; and product of the year by CRN. Resellers have embraced the VNX and VNXe as their design with a channel in mind. They are some simple, efficient and powerful, offered options that meet the widely varying needs presented across the diverse base of customers. 
Our acquisition of Isilon just over a year ago was a key step in the transformation of our mid-tier business to better meet customers' cloud and Big Data needs. Isilon has thrived as part of EMC and its revenue more than doubled again year-on-year in Q4 and for the full year 2011. With its core value proposition of simplicity of scale, Isilon has always enjoyed a strong position in verticals such as media and life sciences and continues to do so. Our recent win of the Associated Press for video production and archiving is a great example. Now as part of EMC, Isilon has been rapidly gaining traction in a number of new accounts, used cases in verticals where our scale-out capabilities are required to handle rapid growth. As the integration of Isilon progressed during 2011, the EMC sales teams became better at identifying and offering customers the best solution for the job at hand and we saw the growing effectiveness in Q4. By offering the simplicity of a single file system, scalability in line with data growth, ease-of-use and management and lower CapEx to improve utilization, Isilon meets general-purpose data center use cases and accounts where Isilon previously didn't exist and that EMC wasn't serving before. This is the case that won the world's most diversified technology organizations. This Fortune 50 company purchased more than 2 petabytes of Isilon to unify its massive network of user shares and home directories, completely eliminating the incumbent NAS vendor from its filesharing environments. 
Another great illustration of why Isilon is thriving within our portfolio was a multiproduct win at a large health insurance company. The customer's seeking greater flexibility and performance across all applications in their virtualized environments and they also needed a single repository that was simple to manage and grow. With VMware integration that was tied to the incumbent NAS vendor that it demonstrates, VNX was selected for the continued development of the cloud architecture. And with superior scale and efficiency, Isilon displays the same incumbent vendor from a customer's secondary site for Data Protection. As this examples makes clear, the one-size-fits-all approach of storage is not ideal for today's environments. Having the right tool for the job is. 
Add-on to VNX and Isilon, the capabilities of Atmos the geographically dispersed data and you have a storage infrastructure offering to cloud and Big Data that is unparalleled. EMC's transformation in the mid-tier extends beyond production data infrastructure into backup and recovery. The combination of Avamar and Data Domain in our backup portfolio 2 years ago enabled us to offer backup solutions that fit hand in glove with new data set architectures. An excellent example was a multimillion dollar, multiproduct win in Q4, where the customer, a global technology company, with a heavily virtualized environment, purchased VMAXe for their production data and adopted a combination of Data Domain and Avamar for disaster recovery. Product synergies both across EMC and within our backup portfolio itself are a competitive advantage and part of the reason why we're being consistently growing faster than the backup markets. The Data Domain and Avamar alone, exiting the year at a revenue run rate well over $2 billion, our BRS division has become an essential part of our strategic offering. 
Through the transformation of our mid-tier storage portfolio, we've created a truly formidable offering that far exceeds the capabilities of more narrowly focused storage vendors and also far exceeds the storage capability of a server vendors. We are best-of-breed unified VNX Family which includes VNX and VNXe, complemented by our market-leading backup and recovery solutions, and also by our scale-out Isilon product family, we offer a winning combination that resonates with customers and has driven the share gains we've made in the mid-tier segment in 2011. Customers also appreciate the additional choices we give them to scale out block with VMAX and VNXe. 
As we have noted, the transformation that is characterizing the industry today goes beyond the transformation of IT and cloud infrastructures. Increasingly, the transformation of the business itself is being driven by the ability to harness Big Data. Businesses that can make timely use of the vast of data inside and outside the company can gain a robust competitive advantage. EMC Greenplum meets the needs in customers of all sizes, enabling them to sort through extremely large data sets in the neighborhood of millions of transactions pretty or hundreds of billions of clicks per month. The broad appeal of Greenplum's technology won us new customers across a broad spectrum of industries in Q4, including healthcare, technology, retail and communications, to name just a few, and really helped to drive Greenplum's strong Q4 results. Throughout 2011, Greenplum has been establishing full leadership in Big Data, and we expect to build on the foundation we put in place over the last 18 months to continuously drive penetration and growth. Greenplum's offering has expanded from a single product to a portfolio that includes the industry's only unified solution for Big Data analytics, the unified analytics platform. Unveiled just last month, that UAP, combines the coprocessing of structured and unstructured data with the productivity engine and social network that enables collaboration among data science teams. With this next generation portfolio for analytics and by leveraging the broader EMC sales force, our own data scientists, our channel partners and our growing partnership with SAS, we expect to help more customers than ever before begin to extract value from the Big Data that surrounds them. 
Cloud and Big Data objectives will only be fully met if a company's blueprint fits IT transformation builds in trust. Companies need robust security designed for today's advanced persistent threats. Our RSA Security division grew 16% in Q4, as its holistic agile, data-centric approach is the right one for the modern threat environments. We maintained our leadership position in identity management and protection, adding 1,400 new SecurID customers in 2011 and we saw strong growth in security management and compliance. 
Our security management and Compliance, which combines the capabilities of NetWitness, Archer, DLP and enVision, presents a unique risk base, agile and contextual approach to advanced threats. The integrated software of the SMC suite gathers and analyzes security Big Data to deliver insights in real-time. This is a winning offering with customers, particularly as security has become a top priority among CEOs and corporate boards. And IT infrastructure designed for cloud and Big Data also requires the ability to easily access capture and integrate information from different sources, and our information and intelligent groups offered facilitate these objectives. 
This quarter, our Information Intelligence Group made their core Documentum, Captiva and Document Sciences products available as a private cloud offering, using internally developed VQ technology. They also demonstrated new Big Data use cases using their Documentum xCP technology. Revenue was roughly flat from Q4 a year ago as IIG caps a year of transition and stabilization of its product portfolio and operations. A key underpinning of an enterprise infrastructure built for cloud and Big Data is virtualization. We're making great strides here with VMware crossing the $1 billion milestone for the first time in Q4 at close to $1.1 billion, an increase of 27% over last year's Q4. Having become the de facto standard for virtualization in enterprise data centers, we're a tested and trusted virtualization platform, VMware is uniquely positioned to address customer needs for easier management through the virtualization layer. In 2012, VMware will continue to enhance its strategic relevance: in the data center, by building on the foundation we've played with vSphere and expanding our capabilities and management and security; at the application layer, by supporting the development of new applications through cloud foundry and vFabric; and with the end-user, by continuing to improve and expand upon the capabilities of view and other enabling technologies for the seamless access to data and applications in the cloud. The investments we've made to improve the functionality of our storage products in virtualization environments are also paying off as many of our wins are due to tight integration and ease of operation with VMware. We had many search wins in Q4, including wins of several technology companies in India, manufacturers in Japan and 2 telecommunication companies in China, to name just a few. 
We have been making great strides in transforming our product portfolio to equip it with leading-edge capabilities for cloud and Big Data. Equally important has been the transformation of our go-to-market model to facilitate the adoption of these technologies by customers. Already equipped with sales team that's widely recognized as the best in the industry, we've been focused over the past few  years on further developing our go-to-market model. By leveraging our organization, expanding our relationships with existing channel partners, seeking out and incentivizing new channel partners and capitalizing on VCE, we continued to drive our customers towards the next generation IT infrastructures that will support cloud and Big Data in the future. 
Our own services organization had an excellent Q4 and full year 2011 as demand was very robust from customers seeking the most effective ways to get to cloud and leverage that Big Data assets. For EMC, this translated into implementation, support and consulting services, not only in storage, but also in security as customers begin to understand that the new threat environment requires a whole new way of thinking about security. Over the past few years, we've been transforming our services business by implementing productivity tools to enhance the profitability of our service offerings, and we've seen the fruits of our labor in our financial results and in our excellent customer satisfaction ratings. 
2011 was a transformational year for our channel program. With the combination of renewed focus, a vastly improved channel model and the launch of products designed with the channel in mind, the channel is responding. In 2011, over 1,700 partners began selling EMC products for the first time, and revenue from these new partners in 2011 accounted for almost 1/2 our channel revenue growth in 2011. Our existing partner base is energized as well with revenues through our 3 largest partners expanding approximately 50% in 2011. The initial success we have enjoyed has won us accolades, including being named company of the year by CRN. But perhaps the most exciting part of our story is we still have a lot of room to grow. 
VCE has become a major force in the IT industry and an important element of our technology portfolio and our go-to-market model. VCE's strong momentum is due to the fact that more companies are recognizing the value proposition of the Vblock, and many of those that have are now working to standardize it. Given that Converged Infrastructure is a relatively new concept and Vblocks are very new products, we're extremely pleased of the adoption rate thus far. The order rate for Vblocks in Q4 exceeded $800 million on an annualized basis as we rapidly close in on the $1 billion run rate goal we highlighted last year. We expect continued success as Vblocks become more well known and sought after for their unique value proposition, a single converge product, single pane of glass for management, a clear upgrade path and 1 point of contact for customer support or on rocksolid technology from best-of-breed vendors. The appeal of Vblock is global as wins in the quarter include the Spanish National Statistics Institute, a Swiss pharmaceutical company, a Mexican IT service provider, a Russian energy company, an Australian bank and a large equipment distributor in the U.S. 
We think that the strength of our position is clear. Our product portfolio that has been developed with customers' current and future needs in mind and which will continue to evolve to remain the leading edge of efficiency, agility in trust to cloud and Big Data architectures; a powerful go-to-market model through our direct sales force and service teams and expanded server channel partners and unique joint venture in VCE; and perhaps most importantly a vision, strategy and roadmap that is in lockstep with 2 of the biggest trends in technology, cloud and Big Data. We leverage all these strengths through 2011 not only to enhance our market position, but also to drive excellent results. 
Consolidated revenue grew 14% in Q4, led by growth of 26% in APJ, with revenue growth of 16% in the Americas and 6% in EMEA. Our BRIC + 13 revenue grew 22% in Q4 as we continue to make progress penetrating these rapid growth markets. We've been stepping up our investments in these geographies as their growth will continue to materially outpace more established markets. 
Non-GAAP gross margin improved once again in Q4, up 260 basis points over last year's fourth quarter to 64.5%. We made exceptional progress in gross margins throughout 2011 due to volume and mix shifts, including introduction of Isilon, FAST VP and bundled VNX software products to our revenue stream. For the full year, we improved non-GAAP gross margin by 220 basis points to 62.2%. Gains in gross margins continue to drive progress in non-GAAP operating margin, which was 26.3% for Q4, 90 basis points higher than Q4 2010. For the full year, non-GAAP operating margin was 23.9%, 190 points higher than 2010. Operating expense in 2011 reflected the important investments we've been making in our go-to-market. For 2012, expect to see SG&A growth more aligned with the revenue growth and the allocation of more of our resources to R&D. 
Our strong execution drove record free cash flow of $4.4 billion for 2011, more than $1 billion higher than 2011 non-GAAP net income. Contributing to this was continued strong growth in deferred revenue of 32% to $6.2 billion. Driven over the course of the year by strong services bookings renewals, the expansion of deferred revenues helps to balance our more transaction-oriented business with a growing stream of more predictable revenue. We continue to manage our cash prudently to meet our objectives or returning value to the shareholders while making the right investments we need to keep us positioned for the long term. We returned $2 billion to shareholders through our buyback program over the course of 2011 and ended the year with $10.8 billion of cash and investments. Earlier this month, we used $1.7 billion of this cash balance to settle the first tranche of our convertible debt, and we plan to return an additional $700 million to shareholders in 2012 through EMC share buybacks. We will continue to deploy our cash wisely throughout 2012 by making strategic and disciplined acquisitions and reinvesting in our business to drive growth. 
We ended 2011 incrementally better positioned because of our triple play, gaining market share, reinvesting in the business and delivering leverage. In 2011, we gained market share not only because we have a broad portfolio of best-of-breed products built for the next wave of IT but also because our go-to-market approach continues to expand and mature. These advantages will also drive growth in 2012 and beyond. We were able to make strides in market share in 2011 because we have been investing for growth through strategic acquisition, investments in our partner ecosystem and go-to-market and in our own R&D. In 2012, we will continue to invest both externally and internally, especially in our own R&D in order to keep our leading-edge position in this very dynamic environment. 
In 2011, we do have an EPS leverage and are poised to continue to deliver leverage for the next several years. In 2012, we will continue this progress. While Joe will give more color on our view of the environments, a few of the factors built into our expectations include slower growth in IT spend, a headwind concurrency and from hard disk drive supply constraints. 
As you can see, we've laid out here for you all the assumptions that are guiding our expectations. We expect to achieve revenue growth in 2012 better than twice the projected growth of IT spend to $22 billion with non-GAAP EPS growing faster to $1.70 a share. We've modeled our revenue to follow a seasonally normal percentage of total for each quarter during the year. As you may recall, early last year, we presented our view of the growth potential for each of our lines of business. Our view of our long-term growth prospects has not changed as we operate in some of the hottest areas of IT where secular growth trends are strong and expected to persist. On top of this, we hold the leading position in the vast majority of these. As a result, we continue to expect our high-end storage and IIG business to grow in the range of 1% to 10%. We see our unified storage line, RSA and consulting growing in the 10% to 19% range. And we expect our higher growth businesses, including VMware, Isilon, BRS and VCE, to remain on track for 20% or higher compound annual growth rate over the 4-year period. This dynamic, along with our solid performance in 2011, puts us squarely on track to achieve the financial potential we laid out for you last February. Over $28 billion of revenue in 2014, which represents compounded annual revenue growth of at least 13% from 2010 and non-GAAP EPS growth even faster than this. 
This is truly a transformational time. IT is transforming to more efficient and agile cloud models. Business will be transformed by Big Data and EMC continues to transform its business to capitalize on these trends. Propelled by the many sound fundamentals of our markets, customer demand, our offerings, our partner ecosystem, our strategy and visible execution, we fully expect to continue this success we've achieved over the past several years to capitalize on what we think are the biggest opportunity the IT industry has ever presented. 
With that, I'll turn it over to Joe. Joe?"
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Executives","Thanks, David. I'd like to begin by welcoming everyone to today's call. Thank you for joining us. I am pleased with our overall performance in Q4. Our results were strong and our balanced execution capped on a very successful 2011. For the year, EMC's r",1416,"Thanks, David. I'd like to begin by welcoming everyone to today's call. Thank you for joining us. I am pleased with our overall performance in Q4. Our results were strong and our balanced execution capped on a very successful 2011. 
For the year, EMC's revenues grew 18%, and to be totally transparent, normalizing the effect of our acquisitions, we grew at 16% on an apples-to-apples basis while producing substantial leverage as our non-GAAP EPS grew 20%. I would like to congratulate and thank the now over 53,000 dedicated people of EMC and VMware for their hard work and dedication. It is truly a pleasure to work by your side. 
Now let's turn to the 1 thing that I'm quite sure is on everyone's mind: namely, our thoughts and beliefs on the global economic environment and its impact on 2012 IT spending. We have no doubt that the global economy will remain choppy as it has for the vast majority of 2011, especially as it was on the second half. Within this economic landscape, we strongly believe that there will be real growth in IT spending this year. To put a number on it, we expect 3% to 4% growth in overall IT spending in 2012 over 2011. Putting this in context, this is about 1/2 of the 7% growth rate that we believe the IT industry experienced in 2011. But again, we see real growth. Within this 3% to 4%, there will be a lot of variability. There will be variability in geographies. We expect IT spending in Asia and Japan, Latin America, Middle East and Africa, to be up 6% to 8% year-over-year. We expect IT spending in the U.K. and the Eurozone to be roughly flat. And we expect North American, Eastern European and Japanese markets to grow IT spending at 3% to 4%. There will also be variability across IT sectors. IT spending in storage and Data Protection will grow faster than the IT industry average, and IT spending for security, Big Data storage, Big Data analytics, virtualization, data center OSS and cloud device virtualization automation will grow significantly faster than the IT average. The good news is that these higher growth areas of IT are where EMC and VMware play and where we have leadership positions and, very importantly, where we have momentum. 
For those of you on the webcast today, we have included 3 analyst surveys that demonstrate high spending intentions in the IT areas I just mentioned. That said, the key to our success in 2012 will be the strength of our innovative products and services, which will be further enhanced by a number of robust product launches during the year. This year, we plan to introduce a long list of new and exciting products into the market. We plan to launch a refresh of the NXE [ph] an increase author capabilities and performance enhancements across the VNX product line. We plan to reduce a new VMAX with even more software functionality, scale, capacity and performance. We plan to announce the general availability of project lighting, our service side Flash product that is fully integrated with our fully automated storage tiering technology commonly called FAST. Please join us in 2 weeks for this exciting launch. And by the way, while I'm on the subject of Flash, we will continue to enhance our extensive Flash and FAST capabilities across all of our stores platforms. 
We plan to refresh our Data Domain on Avamar product lines, featuring increased performance and scale, with enhanced offer functionality. We will also have even tighter integration between these 2 products. We also have planned product refreshes of Isilon this year, featuring increased performance, scale and virtualization support and functionality enhancements for enterprise use cases. 
RSA planned significant announcements around security management and compliance and identity and Data Protection. And VMware plans to deliver new functionality in all of their major product families, the vSphere cloud infrastructure suite, as well as vFabric, cloud Foundry, view and horizon. Again, these are just a few of the exciting new product launches you can expect to see from us this year. 
I guess the second question on your mind is about this driver availability especially for the first half of this year. To be clear, the floods in Thailand have a major impact on the disk drive industry. Some the major players and many of their supply chain vendors were directly affected by the flooding. For instance, 2/3 of all drive motors are made in this flood-affected region. The executives of the major drive companies are doing a superb job working with their supply chains in reestablishing their production capabilities. We told you on our Q3 call that we expect it to be okay in Q4 and that we would meet our revenue and EPS expectations, and we did just that. We also told you we would give you more color about drive availability for 2012 when we report at Q4. To amplify what David has already said, we expect there to be drive availability constraints throughout 2012, and we expect these constraints to apply more to near line drives and mission-critical drives. There is potential for availability constraints to improve in the second half of 2012. And given our strong relationship with our major driver vendors, we at EMC expect to be relatively better positioned. 
So given the factors I just mentioned, the choppy economy, real growth in IT spending, the industry constraints around drive availability and our strong product portfolio and roadmap, I would now like to reiterate our expectations and our financial goals for 2012. This year, we expect revenues of $22 billion and non-GAAP EPS of $1.70. As is our custom, these are the financial goals that were approved by our board and they are the goals in which management will be evaluated and compensated. Also, in very early February, our board will give us in additional goal for free cash flow. This goal will clearly be higher than the $4.4 billion we produced in 2011. As we strive to meet and hopefully beat these financial goals, our guiding light will be our strategies for private and hybrid cloud computing, Big Data and security for we firmly believe that in the intersection of cloud, Big Data and trust, areas there is massive opportunity. 
As I hope you can see from our solid Q4 and full year else, as well as our 2012 outlook, consolidated EMC is extremely well positioned to benefit from what our leadership team and I believe is a game-changing shift taking place in IT, a shift to IT-As-A-Service commonly called cloud computing. In that regard, I'm confident we have a compelling strategy to capitalize on the opportunities ahead, including leading technologies, products and services and what I believe are the most dedicated and hard-working employees with a passion for excellence, who, first and foremost, understand the importance of putting our customers' interest first. 
In closing, I am well aware that the topic of my succession has been a matter of some interest, so let me quickly address it and put it to bed. Based upon our business performance and some prospects for continued success, EMC's Board of Directors has requested that I remain Chairman and CEO into 2013. Equally as important to me is the fact that I am truly blessed and honored to work with an extremely talented senior leadership team here at EMC and VMware. And they, to a person, have also been actively encouraging me to rethink my transition plans. After much soul-searching, I have agreed to extend my role as Chairman and CEO into 2013. From a personal perspective, I have never been more energized and excited by what this great company can accomplish. And as I've said in the past, the board and I fully expect that my successor will come from within the existing, talented and experienced ranks of the EMC management team. I have already started to increase the responsibilities of my senior leadership team, and when the time is right, my successor will be named. Until then, we have much work to do and I am extremely grateful that I have the strong support and commitment of our board, as well as our senior leadership team to work alongside me as we pursue our full business potential. Thank you all again for being with us today. I would now like to turn it back to Tony to moderate the Q&A portion of today's call. Tony?"
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Executives","Thanks, Joe. Before we open up the lines for your question, as usual, we ask you to try and limit yourselves to 1 question, including clarification. This will enable us to take as many questions as possible. We thank you all for your cooperation in this m",55,"Thanks, Joe. Before we open up the lines for your question, as usual, we ask you to try and limit yourselves to 1 question, including clarification. This will enable us to take as many questions as possible. We thank you all for your cooperation in this matter. Evan, can we have the first question, please?"
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Operator","Our first question today will come from Aaron Rakers from Stifel, Nicolaus.",12,"Our first question today will come from Aaron Rakers from Stifel, Nicolaus."
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Analysts","Real quickly, I want to delve into the midrange product cycle. You cited 2,000 customers added just on the calendar fourth quarter alone. First on that, is that inclusive of both the VNX and VNXe? And how does that compare relative to the 1300 number you",82,"Real quickly, I want to delve into the midrange product cycle. You cited 2,000 customers added just on the calendar fourth quarter alone. First on that, is that inclusive of both the VNX and VNXe? And how does that compare relative to the 1300 number you guys had thrown out last quarter? And basically, on VNXe, where do you think we're at in terms of really seeing the ramp into what you've characterized as a $5 billion addressable market in the past?"
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Executives","Let me take that. So yes, the 2,000 does include VNX and VNXe and is directly comparable to 1,300 last quarter, as you can see the number of new customers rapping. The other point I've made just before I come back to your VNXe question, just to reinforce",225,"Let me take that. So yes, the 2,000 does include VNX and VNXe and is directly comparable to 1,300 last quarter, as you can see the number of new customers rapping. The other point I've made just before I come back to your VNXe question, just to reinforce the point I made about VNX because I also made a very important point in my remarks, but when you look at the full year, half of all the customers at both the VNX and I'm talking VNX, not VNXe, were also net new customers for our unified line. Going back to VNXe, absolutely on track. We had a huge program inside the company this year, focused upon what we call the lower end of the mid-tier marketplace, and our growth rate in the lower end of the mid-tier market has been significantly higher than our growth in the higher end of the mid-tier market, which is what we've been trying to do this year, so we're very pleased. A lot of those net new partners I talked about, the 1,700 new customers partners, who came through the year solar products for the first time were also selling VNXe. Having said that, we recruited twice as many partners that actually started selling this year, so we've still got work to do. But net-net, VNXe is on track."
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Operator","Our next question comes from Ittai Kidron with Oppenheimer.",9,"Our next question comes from Ittai Kidron with Oppenheimer."
121729,145793347,209698,"EMC Corporation, Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","Dell EMC","Analysts","David, I want to dig into this last comments you mentioned regarding the 2,000 new customers for VNX. Could you give us a little more color on the competitive landscape in that area and who you're seeing most of the gains from, like who are the 1, 2 vendo",62,"David, I want to dig into this last comments you mentioned regarding the 2,000 new customers for VNX. Could you give us a little more color on the competitive landscape in that area and who you're seeing most of the gains from, like who are the 1, 2 vendors that you feel you're bidding more often than not than using this product?"
