"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Operator","Good morning. My name is Sean, and I will be your conference operator today. At this time, I would like to welcome everyone to the DuPont Quarterly Investor Call. [Operator Instructions] It is now my pleasure to turn the floor over to your host, Karen Fle",57,"Good morning. My name is Sean, and I will be your conference operator today. At this time, I would like to welcome everyone to the DuPont Quarterly Investor Call. [Operator Instructions] It is now my pleasure to turn the floor over to your host, Karen Fletcher, Vice President of Investor Relations. Karen, you may begin your conference."
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Okay, thank you, Sean. Good morning, and welcome, everyone. With me this morning are Ellen Kullman, Chair and CEO; and Nick Fanandakis  EVP and CFO. The slides for today's call could be found on our website at DuPont.com, along with news release that was",189,"Okay, thank you, Sean. Good morning, and welcome, everyone. With me this morning are Ellen Kullman, Chair and CEO; and Nick Fanandakis  EVP and CFO. The slides for today's call could be found on our website at DuPont.com, along with news release that was issued earlier today. 
During the course of this conference call, we will make forward-looking statements, and I direct you to Slide 2 for our disclaimers. All statements that address expectations or projections about the future are forward-looking statements. Although they reflect our current expectations, these statements are not guarantees of future performance but involve a number of risk and assumptions. We urge you to review DuPont's SEC filings for a discussion of some of the factors that could cause actual results to differ materially.
We will also refer to non-GAAP measures and request that you please refer to the reconciliations to GAAP statements provided with the earnings news release and on our website. And finally, we've posted supplemental information on the website that we hope is helpful to your understanding of the company's performance.
It's now my pleasure to turn the call over to Ellen."
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Great, thank you, Karen. Good morning, everyone. Let's turn to Slide 3 for highlights on our 2011 performance. Full year sales were up 20%, including 5 percentage points from the Danisco acquisition. Segments with the largest organic sales growth in 2011",1086,"Great, thank you, Karen. Good morning, everyone. Let's turn to Slide 3 for highlights on our 2011 performance. Full year sales were up 20%, including 5 percentage points from the Danisco acquisition. Segments with the largest organic sales growth in 2011 net of acquisitions, were Performance Chemicals and Agriculture. Sales in developing markets were up 27% and that represents 34% of company sales.
Market-driven science is critical to our success, and we expect to have about 30% of 2011 sales come from products that were introduced in the past 4 years. And we'll be finalizing that data in February.
Fixed cost and working capital productivity surpassed the targets we set for the year. Fixed cost productivity exceeded our target by $100 million and working capital productivity beat the target by $200 million. Variable cost productivity programs, they also delivered comparable results. 
DuPont delivered a record $3.93 per share in 2011 on an underlying basis, which is up 20% versus 2010, capping off a very strong year with broad-based contributions. We ended the year with $3.3 billion in free cash flow compared to $3.1 billion last year, an improvement of 8%.
During the fourth quarter, we faced several headwinds. When we updated our full year guidance on December 9, we pointed to market softness in electronics and customers' conservative year end cash management with further destocking in polymer and industrial supply chain. We have also made clear that the photovoltaic inventory correction continued through the quarter. These factors combined to press volume down 10%. Despite these difficult conditions underlying earnings were up in the fourth quarter when adjusted for the differences in tax rate year-over-year. Our earnings performance demonstrates an ability to execute extremely well in volatile and uncertain markets. It is our view that fourth quarter volume performance was strongly impacted by cash conservation and supply chain actions and did not reflect broad macro conditions. 
There was GDP growth in the quarter in most regions, with growth also projected for 2012. The good news is that caution in the fourth quarter means that many supply chain inventories are fixed. We expect some conservatism to linger in the first quarter with a rebound effect likely to come in the second quarter, and I'll provide a more detailed perspective on how easy the rebound effect playing out later in the call.
To further illustrate my point that fourth quarter volume was primarily a function of cash conservation and supply chain restocking rather than macro conditions, I'll share fourth quarter perspectives on key markets. Let's start with Electronics, where continued destocking in PV was expected. As the channel corrects for significant overproduction in the first half of 2011, we expect destocking to be completed by midyear, perhaps sooner, with PV installations to be up about 10% in 2012. Remember, PV sales represent about 40% of the Electronic segment.  For Consumer Electronics, the seasonal decline in orders was more than expected, in part due to delays in launch timing for next generation smartphones and tablet PCs, coupled with some destocking in caution in the value chain through the quarter.  Auto builds were essentially flat, with gains in the U.S. and Japan, offset by declines in every other region. Our Performance Material segment was affected by destocking in their supplying chain, most notably in Europe and Asia-Pacific. As expected, the titanium dioxide market experience a pause, with volumes down and prices up year-over-year. For added perspective, our full year TiO2 volume was down modestly in 2011, first as a sold-out position in 2010 and expectations for volume growth in 2012. TiO2 demands on average tends to follow GDP, and with no major tranches of new capacity coming on in the next 24 months, we expect this market to remain strong, with solid fundamentals and healthy returns.
And speaking of strong market fundamental, our Ag businesses continue to deliver impressive results. Fourth quarter sales were up 8% on 3% volume growth. However, the real story is the Latin American summer season, which primarily spans our third and fourth quarters. So for the second half, the Ag segment sales were up 23% and underlying PTOI was up 43%. These outstanding results reflect a constant press of product lineup in Latin America, with industry-leading germplasm, coupled with more than 85% insect rate penetration in Brazil corn.  Our right products, right acre approach is delivering strong sales share gains and most importantly, delighted customers. 
Pulling this all together, we dealt with a wide range of market conditions at year-end. We remained close to our customers, often taking advantage of market positives to accelerate new product valuations. 
So I'd like to highlight a few innovation achievements as we closed out the year. In the fourth quarter, we announced a licensing agreement with a major Asian manufacturer for OLED technology. This acknowledges that we have achieved a major milestone in demonstrating technology that enables large displays to be produced at significantly lower cost than competing technologies. And we're quickly moving into small-scale semi-works production where we would develop basic data and supply materials for proved out by interested partners.
Rynaxypyr insecticide sales reached $580 million this year, with a strong finish in Latin America and Asia. For context, this means this product line represents about 20% of total sales in our Crop Protection business. We look forward to the launching of the next product in this family, Cyzypyr, in the later part of 2012. 
We receive regulatory approval at summer for the next wave of integrated and reduced refuge products, Optimum AcreMax and Optimum AcreMax XTRA, which will deliver significant value this year for our customers. And we look forward to the regulatory approval of AcreMax Extreme in the first half of 2012. 
And last month, the Society of Plastics Engineers announced their award for Most Innovative Use of Plastic. And DuPont products were featured at 3 separate awards for Ford, Fiat and Toyota. Two of the innovative components featured renewably sourced material, including our bio based Surlyn polymer in the carpeting application. 
Finally, for the 2011 year, DuPont was granted a total of 910 U.S. patents, the highest number for a single year in the company's history, and I'm extremely proud of our scientists who developed this proprietary innovations and of our marketers whose understanding of customers' unmet needs shape these research and development programs. 
So now, I'll turn the call over to Nick for a detailed review of the financial results of the quarter, and then I'll share my expectations for the year ahead. Nick?"
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Thank you, Ellen, and good morning, everyone. In spite of volatile market conditions, DuPont delivered a record year in 2011, with underlying earnings of $3.93 per share, which as Ellen already mentioned, was a 20% improvement over 2010. Our exceptional p",1795,"Thank you, Ellen, and good morning, everyone. In spite of volatile market conditions, DuPont delivered a record year in 2011, with underlying earnings of $3.93 per share, which as Ellen already mentioned, was a 20% improvement over 2010. Our exceptional performance continues to demonstrate our ability to successfully focus on innovation, productivity and differential management. Ellen's already given you a sense of the dynamic market conditions that we face during the fourth quarter, so I'll go straight to the financial details of the quarter, which played out as expected and consistent with our updated guidance in December. 
Let's start with Slide 4, which is a summary of earnings and sales results. Fourth quarter total segment PTOI increased $100 million or 16%. Earnings per share were $0.35 on an underlying basis compared to $0.50 in the prior year. The decrease here was due to the significantly higher tax rate, which was a negative $0.23 per share impact year-over-year. 
Consolidated net sales of $8.4 billion were up 14% versus the prior year. Local selling prices were up 14%, with double-digit increases in all regions reflecting our continued strong discipline of pricing for value. The Danisco acquisition was the primary driver for the 10% benefit from portfolio changes. Volume was down 10%, primarily reflecting supply chain destocking that Ellen has already covered.
Now, let's turn to a corporate view of the fourth quarter, looking at earnings per share variance analysis on Slide 5. Starting with price and variable cost, the quarter showed a net benefit of $0.43 per share. This reflects the difference between price and variable cost, excluding the impact of currency and volume. Driven by our innovation and pricing discipline, we continue to successfully implement price increases, pricing our new products for the enhanced value that they deliver.  On a full year basis, this spread was a positive $1.41 per share.
Excluding volume, currency and portfolio impacts, fourth quarter raw material, energy and freight costs were up 15% versus last year's fourth quarter. For the full year, we saw an increase of 13% over 2010 and this includes about 3 percentage points for metals, which, as you know, is passed through. As we indicated in December, we expect an increase of about 4% for the full year 2012.
Volume declines resulted in an earnings hurt of $0.20 per share. This excludes the impact of Danisco, which is shown separately. The decline in volume reflects decreases in all regions and all segments, except for Agriculture, reflecting the market environment that Ellen has previously discussed. On a full year basis, total company volume was up 1%, with Ag volume up 10%.
Continuing with our variance analysis, let's now move to fixed cost. Excluding currency, volume and portfolio impacts, fixed cost reduced earnings by $0.17 per share, and this is primarily driven by actions in the fourth quarter to support growth, such as increase investments in Ag, the new Kevlar plant at Cooper River, TiO2 capacity expansions along with R&D and specific marketing initiatives. These investments and the available capacity that some of our existing plants provide us with ample opportunity for growth and further penetration of the marketplace.
On a full year basis, fixed costs were 40% of sales versus 42% last year, well on our way to meeting our target of fixed costs being 39% of sales in 2012. Concurrent with the actions to support growth, we delivered more than $400 million of fixed cost savings in 2011. As we told you during Investor Day last month, we expect to deliver another $300 million of fixed cost productivity in 2012.  Year-over-year, currency was a benefit of $0.01 in the quarter and $0.17 on a full year basis.
Next, exchange gains and losses was a negative $0.04 variance in the quarter. Our goal continues to be to achieve 0 after-tax impact from our balance sheet hedging program. However, in the quarter, there was significant volatility in exchange rates and cost of coverage, which created a reduction in earnings. As is typical, the detailed reconciliation is shown on Schedule D in the earnings news release to depict the exact number our hedging program had on our earnings, as well as the effective tax rate.
Income tax on the EPS waterfall is a $0.23 headwind. This represents a difference between the base tax rate this quarter, which was 27.5%, versus a negative 14.9% in the fourth quarter of 2010. Our full year tax rate of 22% was higher than our expected full year tax rate of 21%, reflecting an unfavorable geographic mix of earnings in higher tax rate jurisdictions. This impact was recognized in the fourth quarter, resulting in a higher 27.5% rate. Conversely, in the fourth quarter of 2010, the full year tax rate was lower than expected because of 100% of the U.S. R&D tax credit which was recorded in the quarter and that resulted in a negative 14.9% rate.  The full year 2011 impact of the 22% tax rate versus our previous guidance of 21% is about a $0.05 per share headwind. 
Next on the waterfall is Danisco, a benefit of $0.04 on an underlying basis. This includes earnings, additional interest and amortization expense associated with the acquired intangible assets, as well as some integration costs that were not included in our one-time items. On a full year reported basis, Danisco diluted earnings by $0.13 a share. This includes underlying results of $0.09, offset by significant items associated with the transaction and cost to achieve synergies of $0.22 per share. As we discussed during Investor Day, we are committed to achieving at least $130 million of cost synergies in 2012, which is a full year ahead of original expectation.
There's a graph depicting sales by geographic region on Slide 6. We delivered strong performance in developing markets, with sales up 14% in the quarter and 27% for the full year. 
Turning now to balance sheet and cash on Slide 7, we ended the year with $3.3 billion of free cash flow versus the prior year of $3.1 billion. This outstanding performance is the result of strong sales and earnings throughout the year and equally strong commitment to productivity.  At the end of 2011, on a 12-month trailing basis versus the end of 2010, we were able to increase net working capital turnover by about 7% excluding the Danisco impact, reducing our working capital needs and delivering $500 million of productivity this year.  Combining this with a more than $700 million of productivity in 2010, we have already surpassed our commitment to deliver $1 billion of working capital productivity between 2010 and 2012. And I'll reaffirm our commitment to deliver an additional $300 million in 2012. 
We ended 2011 with a net debt of $8.5 billion, which is approximately $5 billion more than our position in December of 2010. This increase reflects $7 billion acquisition of Danisco, partially offset by exceptional free cash flow performance for the year. 
I want to give a quick update on our pension contributions. Last week, we made the $500 million contribution to the principal U.S. pension plan we have communicated to you on Investor Day. Our strong balance sheet continues to serve us well. We value our A, AA credit rating, and work to maintain the associated metrics to support that. During 2011, we paid $1.5 billion in dividends, and yesterday, our Board of Directors approved our 430th consecutive quarterly dividend.  Our long-held strategy has been to maintain a strong balance sheet and return excess cash to shareholders unless the opportunity to invest for growth is compelling.
In summary for the fourth quarter, our market environment was a dynamic one, with agricultural and food markets continuing to be strong while we experienced destocking in several supply chains. In spite of these market conditions, we were able to deliver a double-digit increase in total segment underlying PTOI, which is a testament to our pricing discipline and productivity focus.
Turning now to 2012, we are reaffirming the guidance we gave at Investor Day of $4.20 to $4.40 per share, an increase of 7% to 12% from 2011. However, I'd like to provide you with an update on 2 of our financial assumptions, currency and the tax rate, that were a part of our guidance on Investor Day.  Currency rates remain volatile, and at current rates, we expect the U.S. dollar to be about 6% stronger in 2012 versus our previous assumptions of 3%. The 6% stronger dollar translates to about a $0.25 per share headwind on a year-over-year basis or an additional $0.12 per share headwind versus our previous assumptions. For the first quarter, the stronger dollar is about $0.08 headwind versus prior year. 
Turning to tax rate, we said in 2012 that the planned rate will be about 22%. We communicated this during Investor Day. We now expect the full year tax rate to be about 23%, which is a $0.05 per share headwind versus the previous guidance, reflecting unfavorable geographic mix of earnings in higher tax rate jurisdictions.
From a market perspective, our assumptions are essentially in line with what we shared with you during Investor Day. We expect to see some of the softness from the fourth quarter continuing in the first quarter, with the industrial markets rebounding further into 2012. For PV, we expect inventories to correct in the second quarter of 2012, followed by a rebound in manufacturing with growth and installations of about 10% for the full year. 
Consumer electronics, we'll see weak demand early in the year, with market recovery later in the year driven by smartphones and tablets, with good year-over-year growth in 2012. 
In TiO2, Agriculture and Food, the fundamentals remain strong.
While acknowledging that the 2 updated financial assumptions do create downward pressure on the 2012 guidance, it's still very early in the year. Macro conditions remain volatile, including currency, and much could change between now and the end of this year. To combat these challenges, we remain focused on our disciplined processes around innovation, productivity and differential management. The businesses are staying close to the customers to better understand demand signals. We know what levers to pull to meet our customers' needs. DuPont's leadership teams remain confident in our business plans and our ability to execute against those plans. Therefore, we are reaffirming our previous 2012 guidance.
In summary, we had a record year in 2011 in terms of underlying earnings per share. You can once again see the strength of the result that our diversified portfolio delivered. As we transform our portfolio to its more market-driven innovation businesses and with reduced impact from cyclical businesses, you can expect us to continue to deliver superior results.
With that, I'm going to turn the call over to Karen to review the segment results. Karen?"
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Thanks, Nick. We'll start with our segment reviews with Agriculture on Slide 8. Fourth quarter sales of $1.3 billion increased 8%, with volume gains of 3% and price gains of 5%. The seasonal PTOI loss of $160 million was lower than previous year losses du",1987,"Thanks, Nick. We'll start with our segment reviews with Agriculture on Slide 8. Fourth quarter sales of $1.3 billion increased 8%, with volume gains of 3% and price gains of 5%. The seasonal PTOI loss of $160 million was lower than previous year losses due to increased sales. Fourth quarter does not reflect the majority of any single season since much of the impact of Latin America summer season is captured in our third quarter results. Most of Brazil's different season is captured in our first quarter results and most of northern hemisphere sales are captured in our first and second quarter results. 
Our full year performance clearly shows the power of the businesses. Our teams delivered 17% sales growth with 10% volume gains, 6% higher price and 1% impact from portfolio. 3% earnings growth, coupled with industry-leading sales performance, translated into 19% PTOI margins for the segment. The combination of our global infrastructure and the business ability to respond and win in every major market with an intense focus on the customer demonstrate the power of our business model. This discipline of service and momentum of innovation are the foundation for growth in 2012 and beyond. 
Taking a closer look within the segment, Seed fourth quarter sale of $621 million increased 7% based on the close of an exceptional Latin America summer season. Latin America sales in the second half were up more than 40%, driven by over 55% growth in Brazil's summer corn sales excluding currency. As our L.A. teams mobilized quickly and responded well to the increase in corn hectares. The quarter also captured improved sales in the Philippines and Indonesia, reflecting improved weather conditions and increased planting acres, with our teams capturing more than their share of that increase. 
For the full year 2011, the Pioneer global team delivered another year of market wins, with growing sales, earnings and margin. The incremental contribution was well-balanced between North America and international growth as we predicted coming into 2011. Success was underpinned by new product penetration, increased acreage and share gains in North America, volume growth and value capture in Latin America and success growing in Europe and Asia. Specifically, 2011 Seed sales were up 17% to $6.3 billion, reflecting both volume and price contributions. 
In summary, the business delivered on all commitments, including its focus on investing for future growth ending an outstanding year with the business stronger than ever. And importantly, here's an update on North America. The sales teams have been setting a historic pace as we work closely with customers during a very dynamic cycle. Our order book is ahead of last year, with our volumes tracking in line with growth objectives and the value proposition aligned with customer expectations. At the product level, our newest integrated and reduced refuge product offerings are being embraced and confidence in our soybean performance and disease packages are strong. Specifically, we anticipate about 60% of our triples will be converted to AcreMax 1 or AcreMax XTRA. In addition, we're releasing many new hybrids with our AQUAmax technology. 
In soybeans, we have over 30 new varieties and about 60 new products from the last 2 years penetrating our lineup. And 1 final comment as we look forward to 2012, we anticipate AcreMax Extreme regulatory approval in the first half and will be testing this product this season, allowing thousands of farmers to see it in their local fields.
Turning to Crop Protection products, sales for the quarter of $676 million grew 9%, reflecting growth across all major product lines in most regions, with the largest contribution for the quarter coming from strong performance in the U.S. and Latin America. All regions achieved double-digit sales growth in the second half, led by the excellent performance in the Latin American market.  Importantly, these strong results reflect volume growth and net price gains. 
For the full year 2011, Crop Protection sales of $2.9 billion grew 16%, including a 3% decline from divested businesses. Our volume increases led by Rynaxypyr insecticide, which posted sales of about $580 million, growing over 45% in its fourth season with continued market share gains.
Our 2011 successes are many, including an insect control portfolio exceeding $1 billion in sales, continued growth of decosystrobe and fungicide and introduction of new proprietary herbicide blends for expanded lead control options for our customers. We continue to refresh and renew our Crop Protection portfolio by divesting older chemistries while accelerating our R&D pipeline advancements and new product launches. 
This team continues to execute well with their strategy, which centers on market-driven innovation and game-changing new products. Looking ahead to the first half of 2012 for the Agriculture segment, we expect to increase sales moderately, with mid-single-digit earnings growth. Our assumptions center on strong operating performance in the businesses, delivering both volume growth and pricing gains, offset in part by the transient impacts of input cost increases continued growth investments, and most notably, significant currency headwinds. The split between quarters hinges on the northern hemisphere season, favoring March or April, and currently, that's hard to call. We assume growth investments, and more importantly, currency headwind, will be more heavily weighted to the first quarter. 
Now let's turn to Slide 9 in Electronics and Communications segment. Sales of $630 million declined 18% compared to the same period last year, with 33% lower volume offset by 15% higher prices essentially, metals pass through. Pre-tax earnings of $42 million or $56 million lower than the same period last year due to inventory destocking in photovoltaics and softening in consumer electronics and plasma displays. Also included in this quarter's earnings is $20 million of licensing income from our partner in the development of advance OLEDs.
As expected, PV sales were down in the quarter, due to an excess of inventory in the supply chain. We believe these excess inventory levels will continue through the first half of 2012. We expect PV installations to grow at 10% this year, with a rebound in demand during the second half of the year. 
For first quarter, E&C sales and earnings are expected to be substantially lower than prior year, driven by continued destocking in PV and softness in consumer electronics and strong first quarter comps. Excluding the fourth quarter licensing income, we expect segment PTOI to be up sequentially. 
Now let's turn to Slide 10 in Industrial Biosciences. Segment sales of $289 million reflect a full quarter of Danisco's Enzyme business and DuPont's Commercial Biomaterials business. We saw strong volume growth in enzymes, especially in animal feed, with new product launches. This segment had PTOI of $34 million this quarter, including $6 million amortization expense associated with the acquisition. For the first quarter, we expect sales and earnings to be in line with fourth quarter results. We continue to see good growth across these product lines, and anticipate PTOI margin expansion for the full year.
Moving to Slide 11 in our Nutrition & Health segment, sales of $806 million grew 138%, with the acquisition impact from the Danisco Specialty Food Ingredients business. Earnings of $52 million reflected sales more than offsetting integration costs, and includes $20 million amortization expense associated with the acquisition. Incilla specialty soy products increased volume and price with the continued penetration into health-related product. Sales growth in specialty was offset by lower soy crushed seed sales, in line with the business objective the shift makes the higher value offering. Earnings growth reflected a positive  mix shift and productivity improvement.
The acquired businesses of health and protection and enablers grew on a pro forma basis about 4%, as pricing gains were offset in part by lower volumes due to destocking.
Moving to the outlook, the segment is on track for the full benefit of planned cost synergies to positively contribute to 2012 performance. The benefit will mount throughout the year, reflecting the implementation schedule. Specifically, for the first quarter, we expect sales of the combined segment in the range of $800 million to $850 million, with portfolio impact, as well as organic growth from all segments. Earnings growth on higher sales and cost synergies, coupled with the sales improvements, will reflect sequential improvement in margins, in the range of mid to high single digits inclusive of amortization.
Now on Slide 12, Performance Chemicals, sales of $1.9 billion increased 12% primarily due to higher selling prices. Both businesses in this segment; demonstrated double-digit sales increases overall, with the most strength from North America. As we shared last quarter, TiO2 markets paused with fiscal tightening in China and Eurozone concerns, leading to substantial short-term demand decline and destocking in the value chains. Even with this expected softness, the segment delivered PTOI of $433 million, a 37% increase versus last year, due to enhanced pricing in TiO2 and fluoropolymers and continued emphasis on fixed cost productivity.
For 2012, we expect global demand growth and see signs of strengthening first in North American markets. Leading indicators point to an improving TiO2 outlook, with North American order patterns consistent with recovery to a more typical seasonal demand profile across 2 quarters.
Additionally, fluoropolymers demand remains strong. As a result, first quarter sales are expected to be up modestly and PTOI up substantially. With 8 decades experience in this industry, our confidence in TiO2 demand fundamentals remains intact, and we are proceeding with the TiO2 capacity expansion as announced.
Now let's turn to Slide 13 and Performance Coatings. Segment sales of $1.1 billion increased by 8% on 10% stronger pricing offsetting 2% lower volume. The segment had price increases in all of its major market segments to offset the higher cost of raw materials. Auto builds were flat to down in all regions, except North America, where builds were up 17%. And there was strong demand in the heavy-duty truck market. 
PTOI of $58 million decreased $13 million, primarily due to mix impact and a $7 million settlement. For the first quarter, we expect segment sales to be up modestly year-over-year, with earnings up significantly. Auto builds are forecast to be up 2% in the first quarter, with full year builds expected to be up about 4% globally. This segment is driving actions in all product lines to offset higher raw material costs, with continued productivity to improve margin.
Turning now to Performance Materials on Slide 14, sales were up 1% based on 14% selling price increase, offsetting a destocking lead drop in volume. While underlying automotive markets were growing, value chain destocking was most evident in Europe and appeared to finish in North America. Electronics was soft while packaging markets were stable. 
Absent the one-time $31 million benefit last year, PTOI was down $24 million or about 14% on lower volume. For the first quarter, we expect sales down modestly as price increases essentially mitigate softer volume and PTOI down substantially on volumes, driven mostly by a weaker Europe and conservative channel inventory management. Global auto builds are expected to grow at 2% and packaging demand to remain stable. 
On Slide 15, we'll cover the Safety & Protection segment. Sales climbed 10% on a combination of pricing and portfolio change, partially offset by 2% lower volume. Sales grew in all regions, led by Asia Pacific at 22%. PTOI was $94 million, essentially flat versus last year as portfolio change and selling price offset softer volumes and higher raw material costs. Additionally, the prior year included a net charge of $11 million for one-time items.
For the first quarter, market fundamentals remain noisy for our advanced material offerings, with some improvement in North American demand and continued growth in Latin America. We see improvement in law enforcement and fiberoptic cable market, as our Kevlar XP and Kevlar AP continue to be well-received in the market. Our consulting and CleanTech offerings continue to see moderate demand up globally. Overall, sales are expected to be up modestly and PTOI down moderately. 
And now, I'll turn the call back to Ellen."
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Great, thank you, Karen. So as we look ahead to 2012, we expect modest sales growth and reaffirmed our earnings outlook for the 7% to 12% growth. After a challenging fourth quarter, we anticipate conditions will improve in many of our industrial businesse",407,"Great, thank you, Karen. So as we look ahead to 2012, we expect modest sales growth and reaffirmed our earnings outlook for the 7% to 12% growth. After a challenging fourth quarter, we anticipate conditions will improve in many of our industrial businesses as the year plays out. 
Our growth outlook varies by region and by business. We see Asia demand recovering from the slowdown we saw on the fourth quarter. We continue to expect slow, sequential recovery in the U.S. and weak demand in many European markets. We're poised for a very strong year ahead in agriculture, our order books for seeds is at a historic pace ahead of last year and consistent with our expectations for strong underlying growth. In Crop Protection, product expansions will contribute to 2012 results. 
We have important milestones. With the initial launch of Cyzypyr in the second half, which over time, when coupled with Rynaxypyr, we expect to hit $1 billion in sales. With respect to TiO2, we expect markets to tighten by midyear, with the North American economy supporting a coating season comparable to last year, along with restocking of a value chain in Asia. For the full year, we expect TiO2 sales volume to meet or exceed 2011 levels. 
Our expectation for company volume in the first quarter are cautious. We expect volumes for many of our industrial businesses to be up sequentially versus the fourth quarter, but down year-over-year against strong comps in the first quarter of 2011.  At this point, many of our supply chain inventories are low, and we expect demand to pick up slowly, starting late in the first quarter or early in the second quarter. 
One exception where destocking continues in the first quarter is photovoltaics. We're seeing positive signs that production will pick up again by midyear and expecting PV installations to grow about 10% this year. 
At today's exchange rate, currency will be a headwind for our businesses, and Nick mentioned this. We have the entire year ahead of us to manage contingency to compensate. 
We'll continue to be discipline in our execution, whether to the advancement of one of our R&D pipelines, a customer collaboration at 1 of our innovation centers or a productivity initiative. We are well-positioned for recovery in growth through differentiated offerings and a global footprint. And we look ahead with confidence in our ability to execute well and deliver growth in 2012. 
Karen, back to you."
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Okay, Sean, let's open up the lines for questions.",9,"Okay, Sean, let's open up the lines for questions."
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Operator","[Operator Instructions] Our first question comes from Laurence Alexander from Jefferies.",11,"[Operator Instructions] Our first question comes from Laurence Alexander from Jefferies."
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Analysts","Could you give a little bit more detail on your views on end market trends for 2012, particularly for construction-related end markets, perhaps breaking it down by region?",28,"Could you give a little bit more detail on your views on end market trends for 2012, particularly for construction-related end markets, perhaps breaking it down by region?"
268053,118466582,209755,"EI DuPont de Nemours & Co., Q4 2011 Earnings Call, Jan 24, 2012",2012-01-24,"Earnings Calls","EIDP, Inc.","Executives","Construction was a disappointment of '11, being about flat with 2010 from a start standpoint. So I'm talking U.S., initially. So although, if you talk out -- people in the marketplace, they'll tell you that the starts are going to grow this year in the U.",139,"Construction was a disappointment of '11, being about flat with 2010 from a start standpoint. So I'm talking U.S., initially. So although, if you talk out -- people in the marketplace, they'll tell you that the starts are going to grow this year in the U.S., maybe about 10%. I'm being very cautious about that. So I don't see very big changes from a U.S. standpoint. If you really take a look at Europe, you know commercial have been holding up quite a bit there but really that is offering really no great hope in 2012. We do believe there will be a rebound infrastructure investment in Asia. So we'll see some positive signs out of Asia. But by and large, as I add up the world, we're not expecting much of a volume increase for construction for 2012."
