"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Operator","Good morning, ladies and gentlemen, and welcome to Genworth Financial’s Fourth Quarter Earnings Conference Call. My name is Javon and I will be your coordinator today. [Operator Instructions] As a reminder, the conference is being recorded for replay pu",59,"Good morning, ladies and gentlemen, and welcome to Genworth Financial’s Fourth Quarter Earnings Conference Call. My name is Javon and I will be your coordinator today. [Operator Instructions] As a reminder, the conference is being recorded for replay purposes. [Operator Instructions] I would now like to turn the presentation over to Georgette Nicholas, Senior Vice President of Investor Relations."
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Executives","Good morning, and thank you for joining us for the first of 2 calls Genworth will be holding today. The first hour call will be dedicated to a discussion of fourth quarter results. The second hour call will begin at 11:00 a.m. after our Canadian subsidiar",366,"Good morning, and thank you for joining us for the first of 2 calls Genworth will be holding today. The first hour call will be dedicated to a discussion of fourth quarter results. The second hour call will begin at 11:00 a.m. after our Canadian subsidiary completes their earnings call. 
In the second call, we will focus on 2012 and specifically addressing low interest rates, European exposure, the statutory earnings profile of the life companies and key business goals for 2012. Also as a reminder, we will be holding a webcast on Friday, February 10th, from 10:00 a.m. to noon on our U.S. Mortgage Insurance business. Please note our press release and financial supplement were released last evening and are posted on our website. 
This morning you will hear from 2 of our business leaders starting with Mike Fraizer, our Chairman and CEO; followed by Marty Klein, our CFO. Following our prepared comments, we will open the call up for a question-and-answer period. In addition to our speakers, other key leaders will be available to take questions. They include Pat Kelleher, President and CEO of our Insurance and Wealth Management Division; Kevin Schenider, President of our U.S. Mortgage Insurance segments; Jerome Upton, Chief Operating Officer of our international segment; Ron Joelson, Chief Investment Officer; and Buck Stinson, President, Insurance Products for our U.S. Life Insurance segment. This regard to forward-looking statements and the use of non-GAAP financial information, some of the statements will make during the call this morning may contain forward-looking statements. Our actual results may differ materially from such statements. We advise you to read the cautionary note regarding forward-looking statements in our earnings release and the risk factors section of our most recent annual report on Form 10-K filed with the SEC in February 2011.
This morning's discussion also includes non-GAAP financial measures that we believe may be meaningful to investors. In our supplement and earnings release, non-GAAP measures have been reconciled to GAAP, where required, in accordance with SEC rules. And finally, when we talk about International segment results, please note that all percentage changes exclude the impact of foreign exchange. And now, let me turn the call over to Mike Fraizer."
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Executives","Thanks, Georgette. 2011 was a year of actions designed to reposition the company to move through in uncertain environment and provide a foundation for improved shareholder value. We recognize that the year was a difficult one for shareholders and work to",1779,"Thanks, Georgette. 2011 was a year of actions designed to reposition the company to move through in uncertain environment and provide a foundation for improved shareholder value. We recognize that the year was a difficult one for shareholders and work to listen feedback intensify our efforts to improve both the performance and positioning of the company. 
We have taken important steps with the business portfolio and individual product lines to sharpen our focus, exposures, maintain or expand risk buffers and support capital generation and redeployment. We made progress in several areas with more work to do and will maintain an intense execution focus in 2012. 
There are many aspects of markets that one does not control. Today, I would like to highlight 4 important levers that we do control and actively utilize to improve future operating performance. First, we continue to reposition the business portfolio to maximize value over the medium to long-term. We're pursuing a number of steps to better align businesses, enhance risk profiles and reallocate capital to support shareholder value. 
Second, we are managing the volume and mix of new business through pricing products actively, insurance strategically and managing expenses, all to maximize profitability, benefit statutory performance and improve our capital generation use and return profile. Third, we are managing the in-force portfolio through loss mitigation strategies, repricing actions, Life Insurance block transactions and active management of investment exposures. 
And fourth, we have taken actions to add to our enterprise holding company strength by expanding risk buffers and managing overall risk exposures and capital effectively. A key focus here is tied into our capital flexibility and distributable earnings profile to support dividends to the holding company, which benefits shareholders and bondholders. As you saw in our earnings release, we re-segmented our financials this quarter this reflects moves to align businesses to maximize operational and financial synergies. 
We are now operating through 3 divisions with 6 underlying reporting segments. There are clear benefits from our new structure. On the product and risk management front, we're getting better transfer of ideas, analytics and mortgage insurance loss mitigation strategies under this alignment. Financial synergy energy standpoint, we now have an approach in place that accelerates use of our tax assets and we have been able to improve the efficiency of capital structures. 
I'd like to provide some perspective on the 4 key leverage we control and how they impact each division. Starting with Insurance and Wealth Management, I'm pleased with the progress we are making to reposition the portfolio. We have exited nonstrategic lines such as variable annuities and Medicare Supplement. We better concentrate on our strongest market positions. We continued this in January, we announced sale of our tax and accounting advisors unit, Genworth Financial Investment Services or GFIS. 
This sale will allow us to focus on our core turnkey asset management businesses. We expect to receive $79 million in proceeds from this transaction and have an additional earn out opportunity. We are being selective regarding new business. We have implemented product design changes, repriced many products across life and long-term care insurance, as well as fixed annuities and have chosen not to follow certain competitive price changes. The long-term care insurance, we introduced our next-generation product with higher pricing to reflect today's lower interest rates while continuing to focus on preferred risk. 
In the international protection, we have focused on improving pricing and risk-sharing arrangements and change the business model to withstand higher unemployment. Revenue pressure from the low growth environment in Europe, we are entering or considering select new countries through reinsurance or small capital investments to rebalance our European concentration over time and support segment revenues. 
We are managing our in-force portfolio and long-term care through care management and are executing our second round of price actions where we have received approval in 39 states. And in Lifestyle Protection, margins have improved nicely over full year 2010 given pricing risk and cost actions. Finally, we remain focused on managing product mix, transactions and platforms outside the U.S. life companies to maximize statutory earnings and improve capital profile. 
We expect to continue shifting sales mix between life and long-term care versus attractively priced fixed annuities that are less capital intensive. And we are utilizing reinsurance actively in life and long-term care insurance to optimize new business capital needs. In addition, targeted transactions have improved and will continue to add to life company on the science surplus. This include the gains from unwinding and resetting forward interest rate swaps and the first life block transaction, which Marty will discuss in more detail. 
Finally, sound operating dividend generation by international protection and Wealth Management benefit the holding company. Turning to international mortgage insurance, we continue to move forward with our planned minority interest IPO of up to 40% of Australia mortgage insurance. We still anticipate second quarter 2012 execution. 
We have not encountered any regulatory or market conditions that would change that timing. Planned IPO supports objectives to rebalance the portfolio, maintain control of our strategic mortgage insurance platforms in our Australia and Canada add to risk buffers in conditions warrants and redeployed capital. Regarding new business, we have maintained pricing disciplines and guidance in a competitive environment. 
In Canada, we are working to gradually rebuild share as government guideline changes such as lower amortization product and lower LTVs and refinancings have contributed to a smaller market. Australia has seen a larger origination market and we renewed a number of key commercial relationships during the year while maintaining pricing discipline. In Europe, we reduced new business over time given the economic environment and stopped writing in some countries. 
We continue to manage that in-force portfolio to minimize losses through our loss mitigation activities such as workouts, settlements and asset management. On the capital front, international mortgage insurance achieved its dividend goals and remains a strong generator of capital as large order book season and smaller new books are written. We are also managing our capital risk through the establishment and use of global external reinsurance markets in certain countries. 
So as we look forward over the next few years, we expect capital generation to increase from these platforms. In U.S. Mortgage Insurance, we saw improved financial performance over the past 2 quarters. But there is still a way to go here for recovery given the tough market. Our focus remains on risk containment of the in-force portfolio and claims paying ability. On this front, we remain active in the area of loss mitigation and continue to derive substantial results with the year-to-date benefits reaching $567 million. 
In assessing our in-force book, we place strong emphasis on internal and third-party analysis of our claims paying ability and we continue to see adequate claims paying ability and positive value in the business platform., which Kevin will discuss in greater detail on our February 10th call on USMI. We saw an increase in flow new insurance written over the prior year and prior quarter. Mortgage insurance penetration is up versus the FHA, especially in the purchase markets. 
We estimate that our market share is flat despite reallocations after exits by competitors as we have maintained our pricing and guideline discipline. And our post 2008 books of business are very profitable, significantly outperforming expectations. Regarding our ability to write new business, a complete evaluation must take into account several factors, including risk capital, claims paying ability, assessment of where books of business are in the loss curve and finally, capital alternatives. 
We invest appropriate time with regulators, customers and others to help support this comprehensive assessment approach. We have the following alternatives to support new business currently. First, we currently maintain regulatory waivers or other authorizations from 44 states that permit the company to continue writing new business while it's risk-to-capital ratio exceeds 25:21. Second, we have a subsidiary called Genworth Residential Mortgage Insurance Corporation or GRMIC, which has capital supporting approximately 1-year of new business capacity nationwide depending on new volume levels. 
This entity can be used with GSE approval and currently 5 states are being written out of GRMIC. Third, we continue to work constructively with GSEs and regulators on creating additional flexibility to alternative structures that support future business, which could be funded internally, externally or through a combination of the 2. We also maintain the 4 demanding screens discussed on our prior calls, which would inform any future decision to provide additional capital support to the USMI business. 
As we outlined last quarter, given the alternatives in place and our adequate claims paying resources, we have no plans to contribute to capital to USMI. Finally, we have made ongoing progress in building buffers and managing overall capital and risk profiles at the holding company and operating businesses. At the holding company, we ended the year with approximately $950 million of cash or highly liquid securities, up $250 million from third quarter. The increase was driven by a series of actions taken throughout 2011. 
We have continued to actively manage our investment portfolio, reducing certain exposures particularly in financial, and believe our European portfolio is well-positioned. We've also managed our capital levels carefully at the operating platform level and have been very active over the past 10 years in executing forward interest rate hedges to protect against lower rate environments. We will go into further detail on the second call later this morning in how we are managing our exposures on the European asset and liability side, as well as how we are addressing the low interest rate environment. 
We've also streamlined costs across our platforms to enhance competitiveness, adjust to the realities of slower markets and match a more concentrated product and distribution focus. All of our strategies and steps across our 4 levers to improve business alignment and reposition the portfolio, be selective regarding new business, manage the in-force intensively, add the risk buffers at the holding company and pursue targeted capital strategies, support our goal of accelerating redeployment of capital and improving shareholder value. 
It's fair to say that 2011 was a challenging year from a market standpoint and a humbling year from my seat. Through the year, we intensified our focus and actions to improve Genworth. While we have made progress, we recognize that more work remains and so must our intensity, to enhance focus our business platforms today are deeper and stronger within their large target markets. We also have made a number of moves on the people front to strengthen the team our are capabilities. So our commitment remains one of the drive and execution, taking the steps we need to and building value. Now, let me turn it over to Marty. Marty?"
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Executives","Thanks, Mike, and good morning. I will begin today with the segment results in the fourth quarter then provide an update on the holding company and wrap up with a discussion on accounting changes impacting future quarters. I'll start with the Insurance",2077,"Thanks, Mike, and good morning. I will begin today with the segment results in the fourth quarter then provide an update on the holding company and wrap up with a discussion on accounting changes impacting future quarters. 
I'll start with the Insurance and Wealth Management division where operating earnings increased 12% from the prior year to $145 million, driven by results in the U.S. Life Insurance segment. Operating earnings were down sequentially mainly from International Protection and results in the Life Insurance business. Insurance earnings were $60 million for the quarter. We continue to see sound new business performance impacting our results, as well as favorable mortality experienced versus pricing. 
Term UL and other universal life sales were down approximately 4% from the third quarter. We expect sales to continue to moderate in the first quarter of 2012 due to our previous pricing actions and capital discipline. We continue to reduce reinsurance our new business to manage capital effectively and expect capital benefit of approximately $25 million per quarter in 2012. 
In addition, we are completing our first life block transaction, which will generate approximately $100 million in initial after-tax capital benefits for the life companies. We have executed the reinsurance treaty and are redeeming associated bonds under the terms of last month's successful bond tender. The transaction will be completed in the next few weeks. 
Long-term-care earnings were $38 million for the quarter. Reported loss ratio of 67% improved over the prior year and the prior quarter. We experienced low mainstreamer nation rates versus the prior year but we did see lower new claims compared to the third quarter, as well as an increase in active policy terminations, primarily in our older issued policies. Additionally, our previously announced premium rate increase on a majority of the older issued policies has begun to take effect. 
We still expect the continued impacted in 2012 at about $50 million in initial premium in 2012 and about $60 million in 2013 when fully implemented. We are closely watching the performance of the older business and will assess potential additional rate actions accordingly. We continue to see sound performance across the block of new reissued policies, loss ratio of 50%, in line with prior quarter's. 
As we manage capital and risk the insurance new business, reinsuring about 40% of the new long-term care product. Fixed annuity earnings were $16 million as we adjusted for the state guarantee fund assessment. In December, we launched our new suite of index annuity products designed to further enhance our annuity product offerings. We expect to increase sales in 2012 by approximately 10% as we adjust the sales mix over products to build capital and statutory earnings in our life companies. International Protection reported earnings were flat to the prior year and decreased 24% sequentially due to top line pressure as European economic concerns reduced consumer and related insurance products sales. 
Despite the top line pressures, full year operating margins improved more than 360 basis points over 2010 results returning to 2008 pre-recession levels. Wealth Management earnings were $12 million for the quarter, all in 2011 full-year net flows were positive $1.4 billion despite a challenging environment and negative net flows in the fourth quarter. 
Last month we announced an agreement to sell Genworth Financial Investment Services or GFIS to Cetera Financial Group. GFIS accounted for about 14% of Wealth Management's earnings and about 11% of assets under management in 2011. Turning to capital, international Protection and Wealth Management paid $199 million of dividends to the holding company in 2011. We expect statutory capital for the U.S. life companies the unassigned surplus at year end is estimated to be in excess of $50 million. RBC ratio topped 400% as we completed the sale of our Medicare Supplement business during the quarter, and also realized tax benefits from locking in gains on our forward starting interest rate swaps. 
We still intend to dividend up to the holding company a significant portion of the proceeds from the Medicare Supplement sale over the course of this year subject to regulatory approval. As an important part of our strategy to reestablishes from our life companies by 2013, we're working on executing several initiatives to grow capital, statutory earnings and unassigned surplus in order to restore this capacity we will expand 2012 business goals call. 
Moving to the international MI segment, reported earnings were down by $20 million from the prior year and earnings decreased to 24% when excluding FX. Underlying performance for the quarter was mixed. Unemployment rose slightly in Canada and was flat for Australia while the housing markets are performing as expected. In Europe, the uncertain economic environment is creating pressure in some countries particularly Ireland. In Canada, excluding FX, operating earnings for the quarter were down 15% from the prior year. The loss ratio increased 4 points sequentially to 40% from our reserve strengthening associated with higher severity on existing delinquencies. 
In Australia, excluding FX, operating earnings were down 9% from last year. The loss ratio decreased 2 points sequentially to 46% reflecting a decline in new delinquencies. Delinquency rate improved across all regions sequentially. As part of our risk and capital management strategy, the Australian business continue to expand its reinsurance program. Combined, Canada and Australia paid dividends of $215 million to the holding company in 2011 and both platforms continue to generate capital as smaller books are written and larger books continue to season. 
The operating loss in other countries in the international mortgage segment was $15 million from losses driven by the European economic environment primarily in Ireland from higher delinquencies. Ireland is seeing increased new delinquency development from prolonged economic stress and significant home price declines. After several years of limiting new MI business in Ireland we stopped writing the business altogether midway through last year. 
In addition, we have been working to manage our exposure in Ireland through loss mitigation. We will expand in this subject as part of our discussion in the impacts of the European exposure for our company on our second call this morning. Turning to USMI, results continue to be impacted by weakness in the U.S. economy. Low NIW increased to 23% over the prior year and 19% sequentially reflecting the continued gradual shift away from the FHA and higher refinancing activity. 
Our estimated market share remains flat at about 40% as we maintain pricing discipline. Our total flow delinquencies decreased 1% sequentially with new delinquencies down both year-over-year and sequentially reflecting the continued burn-through of 2005 to 2008 book years, as well as favorable impact from the geographic mix of new delinquencies in the quarter. Defaults on modifications continue to be within our ultimate expected range of 25% to 30%. 
Shifts in the payment status or aging was relatively stable while we did experience fewer net cures driven by declining loss mitigation consistent with our reserve strengthening in the second quarter. Our average flow reserve per delinquency is relatively flat at $29,100 and our total amount reserve for flow delinquencies by category is consistent with the third quarter. Loss mitigation savings in the quarter eased to $147 million with workouts declining 16% as HAMP modifications wind down. 
Our combined U.S. MI statutory risk to capital ratio increased to 28.8:1 in the quarter. GEMICO currently maintains weavers and other authorizations in 44 states and we are now writing business in 5 states out of Genworth Residential Mortgage Insurance Corporation or GRMIC and to subsidiary of GEMICO. Five states account for about 10% of NIW. In the quarter, GRMIC's capital increased modestly to approximately $76 million and its risk to capital ratio is 1.6:1. We continue to believe that we have about 1-year of new business capacity across 50 states in GRMIC. 
Moving to the corporate and runoff division, improved variable annuity results driven by better market performance were offset by lower earnings from the sale of the Medicare Supplement business, as well as an after-tax goodwill impairment of $19 million related to reverse mortgage business. This business was acquired in 2007 and offers products that provide liquidity and retirement income to secure market consumers. 
Shifting to investments, the global portfolio is performing well. Core yields were down slightly at 4.6% in the quarter. Results reflect lower limited partnership income, as well as higher cash balances, which are being reinvested over the next few months. Impairments were down slightly in the quarter and from the prior year. We have $700 million or less than 1% of the portfolio in European periphery exposure, which was down $185 million from the third quarter primarily due to opportunistic sales. 
Turning next to the holding company we remain very focused on maintaining appropriate risk buffers. We also are making headway on our strategy to create further dividend streams to the holding company particularly in U.S. Life Insurance. These are important steps in maintaining our financial strength for policyholders, bondholders and shareholders. 
At the end of the fourth quarter, the holding company held cash and liquid securities of approximately $950 million, which is about $400 million over our cash buffer target of 2 times debt service coverage and we expect to maintain a similar exit in this uncertain economic environment. While we are moving forward with a minority interest IPO of the Australian Mortgage Insurance business our risk buffer plans are not dependent on this transaction. 
We continue to navigate the company towards a long-term leverage ratio in the 24% to 26% range, which is equivalent to our previously communicated range of 22% to 24% adjusted for the new DAC guidance. The holding company received $478 million in dividends in 2011. Let me now cover some accounting changes being made in 2012. We are adopting the FASB's new debt guidance and expect the impact will be reduction in retained earnings and stockholders equity of approximately $1.4 billion. 
We will defer fewer costs but record lower amortization. In describing the earnings impact going forward, there are 4 main drivers: sales growth, product duration, product mix, and distribution mix. Relative of our competitors, we believe that expected impacts are similar in our were life and annuity product lines but different in long-term care. For the last couple of years, sales of our long-term care products and generally growing faster than many others in the industry additionally, retail distribution channel is a relatively large percentage of our sales volume and is more negatively impacted from the lead generation expenses that are no longer deferrable. 
While not impacting economic or statutory results, in 2012 we expect negative impact on GAAP earnings from the new debt guidance of about $65 million to $75 million or about $0.13 to $0.15 per share with an impact of approximately $20 million to $25 million in Life Insurance and $25 million to $30 million in long-term care. We continue to evaluate a number of options for adjusting distribution and marketing structures to mitigate the effects of this new standard. Separately, we have change our accounting for reserves on our level, term Life Insurance products, which we no longer self. Under the prior approach, profits emerged as a level percentage of premiums and given the increasing premium streaming these products after the level of premium period reserves could become negative. 
While the amount of the negative reserves at year end was immaterial to the current balance sheet, over the years, the negative balances would've become much larger. While this approach is certainly compliant and consistent with industry practice at that time, more recent accounting models for long-duration contracts following approach, which emphasizes the balance sheet over the income statement. We believe accounting policy under these more is preferable flooring individual policy reserves at 0. 
We are making no changes to the assumptions which were locked in at the time these policies were issued. There will be a negative earnings impact of this new accounting policy of approximately $20 million to $30 million after-tax annually in 2012 and in the following several years. However, we believe this approach is more conservative in reduces balance sheet risk. asked with a new debt accounting guidance this policy affects only GAAP reported results not statutory or economic results. The impact from future lapses is higher than assumed will be significantly reduced. 
In closing, with the transitions made through 2011, we are very focused on improving performance of our businesses and generating capital while managing our risks in an uncertain environment. I'd now like to opening up for questions."
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Operator","[Operator Instructions] Our first question comes from Andrew Kligerman with UBS.",11,"[Operator Instructions] Our first question comes from Andrew Kligerman with UBS."
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Analysts","So with the MI risk to capital ratio at 28.8:1 and you mentioned the 44 waivers, the GEMICO in 5 states where you have about a year of new business writing that can be done. Have you got an indication that you can continue writing at the same pace that yo",84,"So with the MI risk to capital ratio at 28.8:1 and you mentioned the 44 waivers, the GEMICO in 5 states where you have about a year of new business writing that can be done. Have you got an indication that you can continue writing at the same pace that you've been over the last several quarters? I mean are you pretty confident that over the next say, 2 years, you're not going to have to put any new capital given these scenarios?"
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Executives","Thanks for the question. Let me turn that over to Kevin Schenider.",12,"Thanks for the question. Let me turn that over to Kevin Schenider."
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Executives","Andrew, as we said before, we don't think there's a bright line to on risk to capital. We think the actions we've taken over last year and the contributions we've made the last 12 months of the capital levels provide us with a nice quarter to navigate thr",231,"Andrew, as we said before, we don't think there's a bright line to on risk to capital. We think the actions we've taken over last year and the contributions we've made the last 12 months of the capital levels provide us with a nice quarter to navigate through. We have shared all of our forecast and our expectation on risk to capital development with both our regulators and with the GSC and at this point in time we think they're considering things beyond just missed the capital when they assess our ability to continue to write so they look at our strength of our reserves, they look at the body of our portfolio, they look at the profitability of the new business, which adds to our claims paying, they look at where we stand on the loss curve and other capital alternatives. So I can't give you any assurance on a 2-year period, the second part of your question, I think that's a little long but I can tell you at this point in time we expect to be able to continue to write. We got the benefit of GERMIC, our wholly owned subsidiary below GEMICO in the event that GEMICO runs into some problem on the waivers and that gives us a little bit of extra cushion, which perhaps puts us out into that 2nd year that you asked about."
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Analysts","Okay and then another question to Marty maybe on the life company and statutory surplus. I guess, last quarter you mentioned that you had a negative statutory on site surplus and then I think I heard correctly today that you have a $50 million positive no",128,"Okay and then another question to Marty maybe on the life company and statutory surplus. I guess, last quarter you mentioned that you had a negative statutory on site surplus and then I think I heard correctly today that you have a $50 million positive now and that you wouldn't be able to dividend money from the lifeco to the holdco until next year. I guess just wanted a little bit of clarity on a phenomenal 405% RBC ratio would prevent, you'd still be prevented from dividending money to the parent co, I want to understand that, maybe a little dynamic there. And then secondly, just given the activity, you mentioned the block transaction and so forth. What would you anticipate being able to dividend up in 2013?"
8598029,145606041,215402,"Genworth Financial Inc., Q4 2011 Earnings Call, Feb 03, 2012",2012-02-03,"Earnings Calls","Genworth Financial, Inc.","Executives","This is Marty. Thanks for the question. Let me start off and then I'll turn it over to Pat. First of all, hitting the RBC ratio, really did benefit primarily by a couple of different things. One is the Medicare Supplement sales, proceeds are about $214 mi",152,"This is Marty. Thanks for the question. Let me start off and then I'll turn it over to Pat. First of all, hitting the RBC ratio, really did benefit primarily by a couple of different things. One is the Medicare Supplement sales, proceeds are about $214 million in capital and that transaction closed early in October so RBC is benefiting from that. And it's also benefiting some deferred tax asset benefits around some of the Ford earnings swap dates those things together contributed largely to the increase paying dividend doesn't really relate so much to RBC ratio as it does to the level of unassigned surplus us that as to the statutory earnings of the companies have. We're talking more about this on our second call but let me turn it over to Pat just to give you a little bit of sense for the development of unassigned surplus and others considerations."
