"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Operator","Good afternoon. My name is Susan and I will be your conference operator today. At this time, I would like to welcome everyone to the Jabil Second Quarter of Fiscal Year 2012 Earnings Call. [Operator Instructions] Thank you. I would now like to turn today'",65,"Good afternoon. My name is Susan and I will be your conference operator today. At this time, I would like to welcome everyone to the Jabil Second Quarter of Fiscal Year 2012 Earnings Call. [Operator Instructions] Thank you. I would now like to turn today's call over to Beth Walters, Senior Vice President of Communications and Investor Relations. Ms. Walters, you may begin your conference."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Executives","Thank you, and welcome, everyone, to our Second Quarter of 2012 Earnings Call. Joining me today are President and CEO, Timothy Main; and Chief Financial Officer, Forbes Alexander. This call is being recorded and will be posted for audio playback on the Ja",395,"Thank you, and welcome, everyone, to our Second Quarter of 2012 Earnings Call. Joining me today are President and CEO, Timothy Main; and Chief Financial Officer, Forbes Alexander. This call is being recorded and will be posted for audio playback on the Jabil website, jabil.com, in the Investors section.
Our second quarter press release and corresponding webcast with slides are also available on our website. In these slides, you will find the financial information that we cover during this call. We ask that you follow our presentation with the slides on the website and beginning with Slide 2, our forward-looking statements.
During this conference call, we will be making forward-looking statements including those regarding the anticipated outlook for our business, our currently expected third quarter of fiscal 2012 net revenue and earning results, our long-term outlook for our company and improvements in our operational efficiencies and financial performance. These statements are based on current expectations, forecasts and assumptions involving risks and uncertainties that could cause actual outcomes and results to differ materially. An extensive list of these risks and uncertainties are identified in our annual report on Form 10-K for the fiscal year ended August 31, 2012, on subsequent reports on Form 10-Q and Form 8-K and on other securities filings.
Jabil disclaims any intention or obligation to update or revise any forward-looking statement, whether as a result of new information, future events or otherwise.
And I just realized I must misspoke it, August 31, 2011, not 2012. As we indicated last quarter, we have begun to highlight GAAP operating results. While we currently are still reporting and publishing core results, it is also our intention to move fully to GAAP beginning in fiscal 2013. In addition, we will also be providing guidance on long-term year-over-year outlook. This change to our guidance aligns more closely with how we run the business, making strategic, long-term decisions. We believe providing guidance in this fashion gives investors the most appropriate view into our business.
Today's call will begin with our second quarter results, highlights and comments from Forbes Alexander as well as guidance on our third fiscal quarter of 2012. Tim Main will follow with macroenvironment and Jabil-specific comments about our performance, our model and our current outlook. We will then open it up to questions from the call attendees.
I'll now turn the call over to Forbes."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Executives","Thank you, Beth. Good evening, everyone. As you're following along, I'd like you to -- if you would turn to Slide 3 of our presentation. Our net revenue for the second quarter is $4.2 billion, an increase of 7.8% on a year-over-year basis. GAAP operating",1385,"Thank you, Beth. Good evening, everyone. As you're following along, I'd like you to -- if you would turn to Slide 3 of our presentation. Our net revenue for the second quarter is $4.2 billion, an increase of 7.8% on a year-over-year basis. GAAP operating income was $150 million or 3.5% of revenue which compares to $105 million GAAP operating income on revenues of $3.9 billion or 2.7% in the same period in the prior year. Core operating income, excluding the amortization of intangibles and stock-based compensation, increased 4.6% to $176.2 million and represents 4.2% of revenue. This compares to  $168.4 million or 4.3% for the same period in the prior year. GAAP diluted earnings per share for the fiscal quarter was $0.46, an increase of 84% over the prior year. Core diluted earnings per share was $0.58, an increase of 7.4% over the prior year.
If you now turn to Slide 4 for some discussion on our segments. In the second quarter, our Diversified Manufacturing Services segment grew 33% on a year-over-year basis. Revenue was approximately $1.9 billion, representing 44% of total company revenue. Core operating income is 5.9% of revenue. While our Specialized Services group exceeded our expectations from a revenue standpoint, most of the outperformance was driven by the Materials Technology Group. Gains from this group were offset by continued design investments in our health care business and weakness in our Aftermarket Services group where an internal site transition negatively impacted both revenue and segment profitability for the quarter by some 40 to 50 basis points. We expect this transition to be resolved and operating performance within our Aftermarket Services group to return to previous historical levels in the upcoming quarter.
The Enterprise & Infrastructure segment decreased 2% on a year-over-year basis. Revenue was approximately $1.2 billion, representing 29% of total company revenue and core operating income for the segment was 1.7% revenue. Our Enterprise & Infrastructure performance remained below our previous expectations. As a result, continued end market weakness across our telecoms and networking customer base. I shall provide more color towards the end of my prepared remarks on our plans to return this segment to within long term operating range target.
Our High Velocity segment once again operated very efficiently during the quarter. Revenue was approximately $1.2 billion, down 10% on a year-over-year basis and represents an approximately 20% -- 27%, excuse me, total company revenue in the quarter. Core operating income for this segment was 4% of revenue. The sequential and year-over-year margin outperformance in this segment is primarily associated with a more favorable mix of product. For the second straight quarter, we have 110% customer in each of those 3 segments. While our top 10 customers comprise 61.8% of revenue in the fiscal quarter.
If you now turn to Slide 5, I will review some of our balance sheet metrics. At the end of the quarter, we have cash balances of $707 million. As previously announced, we completed the acquisition of Telmar for $128 million in cash on the 1st of December. And during the course of the quarter, we repurchased approximately 1.7 million shares for an average price of $22.73 per share or approximately $40 million. The impact to EPS for the quarter as a result of these repurchases. On a year-over-year basis, GAAP return on invested capital expanded by 2% to 22% in the first half of fiscal 2012. EBITDA for the same period expanded by $45 million to  $535 million or 6.2%, while cash flows from operations was $5 million. Our capital expenditures during the quarter were approximately $77 million or $180 million in the first half of the year.
In the quarter, inventory decreased by 1% to  $2.35 billion, and inventory turns remained at 7. Cash used in operations for the quarter was $109 million as a result of a more nonlinear quarter than we previously anticipated, causing average and period and working capital levels to be elevated. We expect working capital levels to return within recent historical ranges in the coming quarter, and as a result, a return to positive operating cash flows in both our third and fourth fiscal quarters.
I'm also pleased to announce that we have recently amended our bank revolver, adding capacity of $300 million to a total of $1.3 billion and expanding this facility into 2017. This continues to provide us flexibility in our capital structure as we continue to position the company for growth in 2013 and beyond.
You should now turn to Slide 6. We're pleased with our second quarter's results. Core operating margin performance was 4.2%, the midpoint of our guidance while revenues were at the high end of our range. Both core and GAAP EPS also is at the midpoint of our guidance.
If you now turn to Slide 8, 9 and 10. I would like to discuss the outcome the upcoming third quarter's guidance. We expect revenue in the third quarter on a year-over-year basis to increase approximately 2% to the range of $4.2 billion to $4.4 billion. Core operating income is estimated to increase approximately 10% on a year-over-year basis and to be in the range of $185 million to $205 million. Core operating margin in the range of 4.4% to 4.6%.
Our core earnings per share will be in the range of $0.60 to $0.70 per diluted share. And GAAP earnings per share is expected to be in the range of $0.49 to $0.59 per diluted share. This is based upon a diluted share count of 213 million shares. And based upon the current estimate to production, our tax rate on core operating income is expected to be 18%.
Turning to our segments and year-on-year performance, the Diversified Manufacturing Services segment was expected to increase 25% as a result of growth across all areas within this segment. On a sequential basis, the Diversified Manufacturing Services segment is expected to grow modestly 2% as we commenced product transitions and additional capital investments in our manufacturing technologies group. The Enterprise & Infrastructure segment is expected to decline 8% on a year-over-year basis.  declines in networking and telecommunications product set, offset by growth in storage. On a sequential basis, the segment is expected to grow 5%, with growth across networking, storage and telecommunications.
And finally, our High Velocity segment, we expect it to decline 14% on a year-over-year basis as a result of continued declines in handset volumes, offset by growth in automotive, point-of-sale printing and our set-top box business.
Capital expenditures in the second half of the fiscal year are expected to be approximately $320 million. The growth of this investment is associated with continued investments in our Materials Technology Group, the group's capacity and capabilities. Total capital expenditures for the full fiscal year are now expected to be approximately $500 million with an excess of 75% of expenditures being invested in our Diversified Manufacturing Services segment, positioning this segment for continued growth in 2013 and beyond.
I'd now like to ask you to turn to Slide 11 for a discussion on our Enterprise & Infrastructure segment operating margin performance. This slide shows 2 charts, the top being expected operating margin progression in the upcoming quarter, and the bottom, progression of the return to 4% operating margins in this segment during the first fiscal quarter of 2013 or 9 months from now. We expect the operating margin performance in our third fiscal quarter to improve by some 70 basis points, 25 basis points coming from both the growth in revenues in networking, program wins and product launch and storage and the recovery to growth in the telecommunications sector. The sites we acquired in France and Italy during fiscal '11 and targeted overhead reductions shall contribute 10 basis points each or 0.1% each.
Turning to the chart at the bottom of the slide, we have line of sight to return to growth over the balance of calendar 2012 with revenue growth in storage and networking contributing 1% and 0.35% telecoms revenue growth. Sites in France and Italy are expected to contribute 0.3% to the addition of revenues and cost reduction programs, while targeted overhead reductions across the segment shall yield an additional 0.65%, returning this segment to 4% operating margin performance.
With that, I'd now like to hand the call over to Tim Main."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Executives","Thank you, Forbes. I'd like to spend a few minutes discussing our Diversified Manufacturing Services segment and growth by business group, and also for the first time, provide you some perspective on how we're thinking about fiscal year '13.If you pleas",766,"Thank you, Forbes. I'd like to spend a few minutes discussing our Diversified Manufacturing Services segment and growth by business group, and also for the first time, provide you some perspective on how we're thinking about fiscal year '13.
If you please turn to Slide 13. The Materials & Technology group is really about ingenuity and innovation, and we have invested for growth both in 2010, 2011, 2012, and we expect further growth in 2013. Typically, from the investment of CapEx, there's a lag time of approximately 3 to 6 months as the install the equipment, begin production and manage to higher levels of expected yields in that 4 to 6 month period. Currently managing through significant expansion of our capacity and introducing new product families across a broad range of customers. We're very bullish on another great year of growth and we expect over $3 billion -- roughly $3 billion in fiscal year '12 and hope to grow to approximately $4 billion in FY '13.
Please turn to Slide 14. In our Healthcare & Life Sciences business, Jabil is really a safe pair of hands. We pursue business in essentially 6 modalities: patient bedside, portable on and in-body, surgical and procedural devices, analytical lab equipment, imaging and single-use devices. We're very proud of the customer base that we have and we've spent a lot of time developing new relationships over the last few years. Although there was roughly a flat Europe growth in fiscal year '12, we do expect that rate of growth to accelerate year of as we enter FY '13.
Please turn to Slide 15. This rate of growth is expected to accelerate through the pipeline of growth, particularly to these large portfolios of products that are in our design labs today which will be introduced to production over the course of fiscal '12 and fiscal '13, and we have well over 20 designed with wins in this health care business area, and we're very happy that when those products go into manufacturing, they tend to have typically have a 10-year average product lifecycle. This leads to very sustained growth and gives us a great deal of confidence that our fiscal year '13 and '14 revenue growth should be at the top end of our 20% to 30% revenue guidance for the Diversified Manufacturing Services area.
Turn to Slide 16, please. In Industrial & Clean Tech market, we're really about solving global complexity and enabling innovation. We have business in energy generation, infrastructure, heavy machinery, light goods and a broad range of industrial products. We have some of the leading companies in the world as our customers, spanning activity from smart metering to agriculture, light goods and other types of Clean Tech areas.
Turning to Slide 17, please. We really are developing a global expertise that simplifies complexity. This is a really very high-mix business. Nearly 50% of Jabil's industrial energy manufacturing is in lot sizes of 50 or less. And remember that Jabil's business overall table builds about 70% of its output in large quantities of 100 or less. We need to have very advanced mining tools and to optimize production for these customers and we have very high performance, standardized inter- plant transfer process for business continuity and low transfer costs. We're very excited about continued growth in the Industrial & Clean Tech area.
Please turn to Slide 18. We're enjoying continued success of our core  repair activity in the Aftermarket Services area, and we are seeing additional growth in worldwide parts fulfillment, developing new capabilities that are really taking off now, including diagnostics, distributed screening and customer facing activities. And we expect our growth in Aftermarket Services to continue to be 15% to 20% on an organic basis. Taking our Diversified Manufacturing Services group in total, as we look at fiscal year '13, we see growth in our High Velocity area of approximately 0%; and Enterprise & Infrastructure, 10%; and then you can see Industrial & Clean Tech, Healthcare & Instrumentation and Aftermarket Services, we think these businesses can grow year-over-year on a 15% basis.
Materials Technology Group, as I've mentioned previously, now we expect to have another very robust Europe growth. This will easily support 10% to 15% growth in our fiscal year '13 and we're very excited about our prospects on a longer-term basis. I think we've spent a lot of time focusing on the short term, and we're very pleased with how our business is coming together from a long-term basis and looking forward in FY '13, '14 and '15 and continued growth of 10% to 15%."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Executives","Okay. That concludes our prepared remarks. Operator, we're ready for the question-and-answer session now.",14,"Okay. That concludes our prepared remarks. Operator, we're ready for the question-and-answer session now."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Operator","[Operator Instructions] Your first question comes from the line of Steven Fox with Fox Research.",15,"[Operator Instructions] Your first question comes from the line of Steven Fox with Fox Research."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Analysts","Tim, just on to questions just on the capital spending plans around Materials Technology. How much of that comes online as the customer program ramps? And how much overhead do you think you have to carry until you actually get to the full ramp versus the",99,"Tim, just on to questions just on the capital spending plans around Materials Technology. How much of that comes online as the customer program ramps? And how much overhead do you think you have to carry until you actually get to the full ramp versus the plant capacity? And then secondly, if you could just go back over the ENI margins, for the quarter, you explain very well what you get from where they are very want by the end of the year. What went wrong during the quarter to keep them at the low levels they were at?"
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Executives","Okay. In terms of Materials Technology Group investments, the slide that we developed and included in our presentation is, yes, Slide 13, is intended to give investors an idea of the lag time between capital investment in the advent of revenue. Revenue wo",465,"Okay. In terms of Materials Technology Group investments, the slide that we developed and included in our presentation is, yes, Slide 13, is intended to give investors an idea of the lag time between capital investment in the advent of revenue. Revenue would typically commence approximately 3, 4, 5 months after the investment, and we'd expect to ramp into production through months 4, 5 and 6 and get to more mature yield levels and profitability levels by approximately the 6th months. We're going through our product transition now with new product families that are romping ramping, and we'll be doing that over the course of the spring and the summer and will be making some significant investments. So I would expect the margins in the Materials Technology Group to continue to be in the expected ranges. They'll certainly be better when you reach mature levels of production, a little bit on the lower side during periods of product transitions but still within the targeted range. It's getting to be a very big business, obviously. In half-year it commence we're looking at $1.5 billion for a 6-month period pace in fiscal '12 moving to $2 billion or more on half-year pace in fiscal year '13. So we're very pleased with how that business is coming together and we are adding capacity as we speak. And in the Enterprise & Infrastructure area, there's not a whole heck of a lot to report, Steve, except that revenue was a little bit lower than expected. And we think it's important to really focus on how we get back to 4% from where we are today. And I think we have a good line of sight. My own -- when I look at this business, there has been a very significant slowdown in overall Enterprise & Infrastructure spending from the spring of 2011 when the European debt crisis first emerged, a lot of caution throughout the summer. And as the U.S. had its debt crisis, government spending has been on the decline. That's impacted some of our higher-end government-related types of products. 2,500 spending had collapsed in certain areas of Asia. All of those provided significant headwinds over the last 2 quarters. My experience having been in the business as long as I have is that you have these periods of under investment, a little bit of excess inventory, people work through those and then spending starts to pick up. So provided that the U.S., particularly the U.S. market, continues to not be stable and grow even at a lower rate, I would expect IT Enterprise-related spending to start to pick up midyear and show some more normal levels of at least secular growth rate of 5% to 10% as we exit fiscal '12 and begin our fiscal year '13."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Operator","Your next question comes from the line of Brian Alexander with Raymond James.",13,"Your next question comes from the line of Brian Alexander with Raymond James."
96078,173256510,278171,"Jabil Circuit Inc., Q2 2012 Earnings Call, Mar 20, 2012",2012-03-20,"Earnings Calls","Jabil Inc.","Analysts","Yes, just a follow-up, Tim, of the 135-basis point improvement that you're expecting in ENI coming from higher revenue, I think it's about $16 million a quarter so -- of incremental profit from where we are today. How much revenue increase is required to",67,"Yes, just a follow-up, Tim, of the 135-basis point improvement that you're expecting in ENI coming from higher revenue, I think it's about $16 million a quarter so -- of incremental profit from where we are today. How much revenue increase is required to hit that? And again, how much visibility do you have into programs ramping by the end of the year to get you there?"
