"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Operator","Good afternoon, ladies and gentlemen. Thank you for standing by. My name is Denise, and I will be your conference facilitator today. At this time, I would like to welcome everyone to the SCANA Corporation Conference Call. All lines have been placed on mut",109,"Good afternoon, ladies and gentlemen. Thank you for standing by. My name is Denise, and I will be your conference facilitator today. At this time, I would like to welcome everyone to the SCANA Corporation Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers’ remarks, there will be a question-and-answer period. (Operator Instructions).
As a reminder, this conference call is being recorded on Wednesday, February 15, 2012. Anyone who does not consent to the taping may drop off the line.
At this time, I would like to turn the call over to Byron Hinson, Director of Financial Planning and Investor Relations.

"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Executives","Thank you. I’d like to welcome everyone to our earnings conference call, including those who are joining us on the webcast. As you know, earlier today we announced financial results for the fourth quarter and full-year of 2011.Joining us on the call t",187,"Thank you. I’d like to welcome everyone to our earnings conference call, including those who are joining us on the webcast. As you know, earlier today we announced financial results for the fourth quarter and full-year of 2011.
Joining us on the call today are Jimmy Addison, SCANA’s Chief Financial Officer and Steve Byrne, Chief Operating Officer of SCE&G. The slides and the earnings release that we’ll refer to in this call are available at scana.com.
Before I turn the call over to Jimmy, I would like to remind you that certain statements that may be made during today’s call, which are not statements of historical facts are considered forward-looking statements and are subject to a number of risk and uncertainties, which are shown on slide two and discussed in the company’s SEC filings. The company does not recognize obligation to update any forward-looking statements.
Finally, as noted on slide two, we may disclose certain non-GAAP measures during this presentation and the required Reg G information can be found in the slides used in conjunction with this earnings call. 
I’ll now turn the call over to Jimmy.

"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Executives","Thanks Byron, and thank you all for joining us today. During today’s call, we will discuss our financial results for the fourth quarter and the full-year of 2011, and provide an update on our outlook for 2012. Additionally, Steve will provide an update",2143,"Thanks Byron, and thank you all for joining us today. During today’s call, we will discuss our financial results for the fourth quarter and the full-year of 2011, and provide an update on our outlook for 2012. Additionally, Steve will provide an update on our nuclear project. 
Let’s start on Slide 3, which reflects SCANA’s 2011 full-year basic earnings per share of 3.01 compared to $2.99 per share in 2010. Increases in electric margin from rate increases under the Base Load Review Act, and lower operating and maintenance expenses were partially offset by lower gas margins, higher interest, property tax and depreciation expense and share dilution. 
Our results were within our 2011 guidance of 2.95 to 3.10 per share, and only $0.01 below our internal target of 3.02. The mild weather in Georgia cost us approximately $0.01 in December. 
I’ll remind you that 2010 includes $0.07 of weather prior to the implementation of electric weather normalization, resulting in weather normalized earnings of $2.92. You can reference the appendix on Slide 18 for a reconciliation from GAAP to weather normalized earnings.
Slide 4 shows the basic earnings in the fourth quarter of 2011 were $0.76 per share compared to $0.74 per share in the same quarter of 2010. While operation and maintenance expenses were lower in the current quarter, those benefits were offset by the anticipated cost of our capital program, higher interest, property tax, and depreciation expense along with related share dilution.
Now on Slide 5, I’d like to review results for our principal lines of business. South Carolina Electric and Gas Company’s full-year 2011 earnings, denoted in blue, were up $0.04 compared to 2010. Improved margins from increases under the Base Load Review Act offset the increased capital related cost.
For the fourth quarter, SCE&G earnings were $0.02 lower than the same period last year, reflecting the aforementioned increased capital related cost. PSNC Energy’s earnings for 2011, shown in red, were $0.37 per share compared to $0.36 per share in 2010.
Fourth quarter 2011 earnings were flat over the same period in 2010. Increases in customer growth along with lower operating and maintenance expenses were partially offset by higher depreciation and property tax expense.
SCANA Energy, in green, reported lower earnings for the full year 2011, due principally to milder weather. 
I’m pleased to report that SCANA Energy has again been selected to serve as the regulated provider for the state for the upcoming two-year term, covering September 2012 through August 2014. SCANA Energy has served as a regulated provider since the program’s inception in 2002.
SCANA’s corporate and other businesses reported a 2011 loss for the year of $0.01 per share and earnings for the quarter of $0.01 per share compared to losses of $0.03 and $0.02 per share respectively for 2010. The improvement is due to improved results in our communications business during 2011.
Slide 6 shows customer growth at our major subsidiaries. We experienced customer growth in our North and South Carolina regulated business, while Georgia, while the Georgia market saw a decrease in customer count over the prior year. We are pleased that our regulated businesses continue to yield organic growth. The reduction in Georgia is due to a loss of customers in our Regulated Provider program, which was partially offset by increased customer count in our deregulated sector.
Several marketers now have offerings such as a prepay service as an alternative to the regulated provider structure. Additionally, our analysis also shows that customers have been slower to connect their gas service this winter, due to the unseasonably mild temperatures. 
Our Electric and Gas sales statistics can be found in the press release we filed earlier today and are available on our website. 
On our weather normalize basis, electric residential sales are up approximately 1%. Industrial sales also saw improvement with an increase of a little more than 1%. Commercial sales continued to lag behind last year with a decrease of approximately 2% when weather normalized. 
As we’ve mentioned previously, industrial growth typically leads, followed by residential, and then commercial. So it appears that some of the industrial activity in our area over the last couple of years has translated into residential consumption, but we’ve yet to see that in the commercial sector. These results were anticipated in our 2011 plan, and we’ve forecast similar patterns in 2012.
While we continue to see customer growth, we expect that customer usage will be slightly lower in 2012 as a result of demand side management programs, new lightbulb standards that are being phased in, more energy efficient air conditioners, and general conservation.
For the year, retail sales of natural gas were lower by 1.6% because of milder weather. The residential and commercial sectors were down approximately 18% and 9% respectively, while industrial sales, which are not significantly impacted by weather increased more than 7%. 
Of course weather is contemplated in our rate mechanisms in both regulated jurisdictions, so there is no margin impact in the residential and commercial sectors. 
Fourth quarter brought more industrial announcements in our service territory. On Slide 7, you can see a update of economic expansion plans in South Carolina. During the fourth quarter alone, announced investment exceeded $500 million with the largest coming from a pharmaceutical company that will be located near our corporate campus here in Central South Carolina. These announcements during the quarter suggest the ultimate creation of over 1,900 additional jobs.
For the full year, total announced investment was over $3.2 billion and more than 7,700 expected jobs. This was the best year for industrial economic announcements in South Carolina in the last decade.
Unemployment continued to show improvement in the areas we serve. As you can see on Slide 8, we continue to see improvement at the national, state, and local level. At December 31, the unemployment rate in South Carolina was the lowest since 2008, and is now lower than that of North Carolina and Georgia, as a surge of economic development activities begin to take hold.
Our service territory of South Carolina is heavily concentrated in the Charleston and Columbia Metro areas where unemployment is lower than the national average as denoted in the green box. 
Please turn to Slide 9, which sets forth our regulated returns in South Carolina, regulatory calendar for 2012. The chart at the top shows the earned returns as of September 30, the date of our most recent filings. 
Our Electric operations earned 8.74% a slight improvement over our June filing, due to margin improvement and cost containment. This figure is exclusive of any new nuclear equip or associated rate increases as those amounts are handled separately under the Base Load Review Act and earned an 11% ROE.
As noted on the second line, we have $1.1 billion of new nuclear equip currently in rates. This amount covers spending through June 2011. Subsequent to June, we incurred incremental quip of $156 million that will be considered in our next revised rates filing later this year.
Many of you have asked if we expect to follow the base electric case in the near-term. While we have not made a decision of when we would file our next case, we typically file on a two-to-three year cycle. One of the stipulations from our last case was that we could not have another increase in base rates for 24 months, or until after the middle of 2012. 
As we have mentioned previously, our 2012 guidance does not include additional revenue from a base rate increase. We recognize the importance of earning our allowed return, and we will evaluate our position regularly.
As of September 30, our Gas Business at SCE&G was earning approximately 9.5% after annualizing the impact from the most recent $8.5 million rate increase under the Rate Stabilization Act, effective in November. 
Our North Carolina Gas Business continues to perform well and is earning it’s allowed return, principally due to the growth in the business and cost control. 
The bottom of the slide includes two time lines depicting our regulatory filings schedule for 2012. Consistent with prior years, we anticipate making our annual gas RSA filing in June, and our annual nuclear BLRA revised rate application in May.
Yesterday, we filed our most recent BLRA status report with the Commission and Office of Regulatory Staff for the fourth quarter. Steve will address the project fully in a few minutes.
Slide 10 presents our CapEx forecast. This forecast assumes receipt of our COL in early 2012, and incorporates new nuclear spending as reported in our latest BLRA filing. We have also provided a preliminary estimate of additional owner’s cost related to our nuclear project which Steve will discuss. As you can see, new nuclear spending accounts for more than half of our projected CapEx over the next three years.
Please turn to Slide 11. This slide presents our estimated financing plan through 2014. In January, we completed two of our three planned debt offerings for the year. We issued $250 million in medium term notes at SCANA for a refinancing and $250 million of first mortgage bonds at SCE&G to fund CapEx. We were pleased with the market’s reception to these offerings, with substantial over subscriptions and historically low interest rates, and we remain confident in our ability to raise the funds necessary to complete construction of our nuclear project from public sources.
We expect an additional issuance of approximately $200 million at SCE&G later in the year. 
We continue to anticipate to draw the remaining funds from our equity floor during the fourth quarter of 2012. From the beginning, our strategy has been to finance our nuclear project from public sources with 50% debt and 50% equity, and nothing has changed.
I would also like to touch briefly on our pension assets. I’m pleased to report that our pension plan is adequately funded. We have not had to make a cash contribution to the plan since 1997, and do not anticipate any until at least 2013. Our plan was recognized as one of the best funded among our peers in a recent study by UBS.
Now I would like to discuss our 2012 earnings guidance and related assumptions as shown on slide 12. We reaffirm our 2012 guidance of $3.05 to $3.25 per share with an internal target of $3.17, and our long-term outlook to deliver 3 to 5% earnings growth over the three-to-five year period, based on the 2010 weather normalize base of $2.92 per share. We are pleased that our 2011 earnings per share of $3.01 were within - were in line with our guidance, and essentially at our announced target of $3.02.
I want to point out that our guidance is based on basic earnings per share. As you have probably noticed, we focus on basic earnings in our discussions with you. In May of 2011, we entered in to an equity forward contract. And to comply with accounting requirements, we present basic and diluted earnings in our financial statements. Basic earnings per share reflect the shares we’ve actually issued during the year. In contrast, diluted earnings per share include the effect of theoretical shares that would have been outstanding if we had issued the shares under the forward contracts, which we didn’t. If our stock price stays above the contract forward price, we expect similar amounts of potential dilution through the fourth quarter of 2012, when we anticipate drawing the remaining funds under the forward.
At that time, those shares will begin to affect our basic earnings, and are considered in our forecasted share price count and earnings guidance. The diluted commutation is required but is a little consequent in this particular situation as the shares were not issued and can only dilute earnings when issued.
We continue to forecast 2012 residential customer growth to be in line with 2011, while we believe average customer usage will be slightly lower as a result of continued efficiency efforts. We plan to keep O&M expenses relatively flat over 2011, with modest growth in CapEx-related cost of property taxes, depreciation, interest and share dilution.
We anticipate weather normalized earnings from our Georgia business will be in the range of $0.22 to $0.24 per share. Our effective tax rate for 2011 was 30.28% and we estimate the rate for 2012 will be approximately 31%. 
Additionally, we have included the impact of base rate increases from our new nuclear filings under the BLRA and the 2011 gas RSA filing, as well as the effects of additional cash flow from our tax strategies. These tax strategies will enable us to delay drawing the remainder of our equity forward until the fourth quarter of 2012, and should postpone a supplemental equity offering until 2013, thus minimizing the effects of dilution.
I’d now like to turn the call over to Steve, to provide a update on our nuclear project.
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Executives","Thanks, Jimmy. I would now like to direct your attention to Slide 13. The Nuclear Regulatory Commission licensing proceedings continue to progress towards a successful conclusion. At the end of the third quarter, we needed a completion of three items in o",1089,"Thanks, Jimmy. I would now like to direct your attention to Slide 13. The Nuclear Regulatory Commission licensing proceedings continue to progress towards a successful conclusion. At the end of the third quarter, we needed a completion of three items in order for the commission to be able to approve our COL. 
The first, was completion of a mandatory hearing before the Nuclear Regulatory Commission commissioners. This was completed in October. The hearing was uncontested and we believe went well.
We also needed a 401 Water Quality permit, and this was received in December. Finally, we needed the NRC’s approval of the AP1000 certified design. As you can see in the green section of the chart, the NRC has approved the AP1000 certified design. This approval came on December 22, and the rule was published in the federal register on December 30. The rule became effective immediately upon it being published in the federal register.
At this point, there are not any remaining steps for us to take in order to receive our license. We were pleased to see the commissions recent affirmation vote to issue southern companies COL. We believe the commission will follow the same process in regards to our license. After the session, the license will be signed and we can proceed with full nuclear construction. We continue to have confidence that our license will be issued early this year. 
Please turn now to Slide 14, which gives you an overview of some of the activity that is underway at the site. Construction of the heavy lift derrick continues and the attachment of the boom and the back mass to the carriage has been completed. Our control room simulators are being installed, and welding of the containment vessel lower bowl continues to progress well. Construction of the cooling towers continues to move forward as plan; we continue to make progress on construction of the switchyard, as you can see by the picture at the bottom of the slide. The switchyard is scheduled to be energized in March of 2013, which fully supports the nuclear project schedule.
On Slide 15, you can see an aerial shot of the site from late 2011, which highlights several of the items I discussed. As Jimmy mentioned early, we filed our quarterly status report with the South Carolina Public Service Commission yesterday. This report provided an overview of our project and a discussion of project cost.
Construction work on the site is proceeding safely and efficiently. The project has met the goal of completing the work necessary to allow the first nuclear safety-related construction to commence onsite, when the COL is issued. The project has compiled a safety record that is unprecedented for a heavy construction site of its size, totalling well over 5 million safe work hours, with only two lost-time instances since construction began over three years ago.
In the quarterly BLRA filing, we also discussed additional costs that are included in our current estimates, which are described at the top of Slide 16. These cost include increased cost being passed on to SCE&G by Shawn Westinghouse, as a result of the new Federal Healthcare Laws, increased cost for cyber security regulation, incremental cost associated with the design modifications of the water discharge system, and additional forecasted transmission costs.
In addition to these cost, currently reflected in the recent BLRA filing, we anticipate an increase in perspective owner’s cost of approximately $150 million, related to accelerated hiring and training of staff, along with the cost of facilities, equipment, and information technology to support the nuclear units and associated personnel.
A portion of these cost expected in 2012 through 2014 was included as a line item on the CapEx forecast Jimmy discussed previously. It is important to note that these cost are preliminary and may change as we refine the estimates by year and cost category. 
In the coming months, we plan to make a updated cost filing with the public service commission to include these cost in our budget. 
As you might recall, this filing’s necessary due to the decision by the South Carolina Supreme Court in 2010, which found that previously-approved general contingency cost could not be included in the forecasts approved for the Basic Review Act. Instead, as the proposed use of contingency funds is identified and itemized to specific cost categories, we must file with the PSC for approval.
I would now like to talk about the COL delay study. When we signed our EPC contract in 2008, it was anticipated that the COL would be issued by the NRC in July of 2011, due primarily to delays in approval of Revision 19 to the certified design, it should now be issued early this year.
As we have previously discussed, in 2011 we asked Shaw and Westinghouse to perform a COL delay impact study, which would provide various cost and timing alternatives arising from this delay in issuance of the COL. 
The first scenario compresses the construction schedule for Unit 2, the first new unit, to retain the original commercial operation date set forth in the EPC contract. The second scenario pushes out commercial operation date for Unit 2 to account for the COL delay, while maintaining the commercial operation date for Unit 3 unchanged.
The third scenario considers delaying the commercial operation date of Unit 2, and accelerating the date for Unit 3, in order to take advantage of economies and efficiencies in the construction schedule. While negotiations are not complete, we have indicated to the consortium that we intend to pursue scenario three.
Included in negotiations of the COL delay study are all the commercial issues currently on the table.  As mentioned in our February 14 BLRA filing, the consortium has asserted the right to addition cost to recovery under the EPC contract for cost associated with design modifications to the shield building and structural modules, delay in NRC licensing and unanticipated rock conditions. We have not accepted the volatility of those claims. 
While the parties have not reached an agreement, the upper bond of our portion of the claims is estimated to be approximately $188 million, valued in 2007 dollars. These cost have not been billed to the project. We are still hopeful these claims will be resolved through negotiations. We know that you are interested in the results of our negotiations and we will certainly communicate that information to you, once it is available.
That concludes our prepared remarks. We will now be glad to respond to any questions you might have. 
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Operator","(Operator instructions).  And our first question will come from David Paus of Bank of America/Merrill Lynch, please go ahead.",19,"(Operator instructions).  And our first question will come from David Paus of Bank of America/Merrill Lynch, please go ahead.
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Analysts","Good afternoon.",2,"Good afternoon.
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Executives","Hello, Dave.",2,"Hello, Dave.
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Analysts","I just have a few questions on ’11, but actually before, that I may have missed this, but in your 2012 guidance, what range are you assuming for the earned ROE at SCE&G Electric excluding new nuc?",37,"I just have a few questions on ’11, but actually before, that I may have missed this, but in your 2012 guidance, what range are you assuming for the earned ROE at SCE&G Electric excluding new nuc? 
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Executives","Well, we haven’t published an assumed ROE there, but what I did say in my comments earlier is that, you know, we’ve got moratorium on any new rate cases until the middle of the year, and we’ve not included any new revenue in our earnings guidance fo",62,"Well, we haven’t published an assumed ROE there, but what I did say in my comments earlier is that, you know, we’ve got moratorium on any new rate cases until the middle of the year, and we’ve not included any new revenue in our earnings guidance for 2012.  So our current, most recent published return on the non-nuc is about 8 ¾.  
"
188244,145977023,258337,"SCANA Corp., Q4 2011 Earnings Call, Feb 15, 2012",2012-02-15,"Earnings Calls","SCANA Corporation","Analysts","Okay, got it.  All right, and just on 2011, in the 246 that you earned at SCE&G, how much of that is related to your return on your nuclear investments?",30,"Okay, got it.  All right, and just on 2011, in the 246 that you earned at SCE&G, how much of that is related to your return on your nuclear investments?
"
