"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Operator","Good day ladies and gentlemen and welcome to the Fourth Quarter and Year-End 2011 AGL Resources Incorporated Earnings Conference Call. My name is [Shanell] and I’ll be your operator for today. At this time, all participants are in listen-only mode. Late",82,"Good day ladies and gentlemen and welcome to the Fourth Quarter and Year-End 2011 AGL Resources Incorporated Earnings Conference Call. My name is [Shanell] and I’ll be your operator for today. At this time, all participants are in listen-only mode. Later we will conduct a question-and-answer session. (Operator Instructions) As a reminder, this conference is being recorded for replay purposes.
I’d now like to turn the conference over to the host for today, to Ms. Sarah Stashak, Director of Investor Relations.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Executives","Thank you, Shanell. Thanks to everyone for joining us this morning to review our fourth quarter and year-end 2011 results. With me on the call today are John Somerhalder, our Chairman, President and CEO; Andrew Evans, our Executive Vice President and CFO.",292,"Thank you, Shanell. Thanks to everyone for joining us this morning to review our fourth quarter and year-end 2011 results. With me on the call today are John Somerhalder, our Chairman, President and CEO; Andrew Evans, our Executive Vice President and CFO. We also have several members of our management team here to answer your questions following our prepared remarks. Our earnings release, earnings presentation and our Form 10-K for both AGL Resources and Nicor Gas are available on our website. To access these materials, please visit aglresources.com.
Let me remind you today that we will be making some forward-looking statements and projections and our actual results could differ materially from those forward-looking statements. The factors that could cause such material differences are included in our earnings release and our 10-K.
We also describe our business using some non-GAAP measures, such as operating margin, EBIT, adjusted net income and adjusted EPS. A reconciliation of those measures to the GAAP financials is available on the appendix of our presentation, as well as on our website.
Also you will note that we have modified our reporting segments to better reflect our operation post merger. We now have five operating segments. Distribution operations include the legacy AGL Resources utilities plus Nicor Gas. Retail operations include SouthStar plus Nicor’s Retail Energy and Services businesses. Wholesale operations include Sequent and Nicor Interchange. Midstream operations, includes our non-utility storage assets with the addition of Nicor Central Valley Gas Storage project and Cargo Shipping reflects the addition of Nicor’s Tropical Shipping units. Finally, for the segment called other, which including our non-operating business units and corporate expenses.
We will begin the call with some prepared remarks before taking your questions. Drew, I’ll turn it over to you to begin.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Executives","Thanks, Sarah and good morning, everyone. Starting on slide 3 of our presentation, we reported 2011 GAAP earning per share of $2.12 per diluted share. On an adjusted basis, which exclude $64 million of after-tax costs incurred during fee related to the Ni",1777,"Thanks, Sarah and good morning, everyone. Starting on slide 3 of our presentation, we reported 2011 GAAP earning per share of $2.12 per diluted share. On an adjusted basis, which exclude $64 million of after-tax costs incurred during fee related to the Nicor merger, earnings per share were $2.92 which compares to $3.05 in 2010. The decline in year-over-year earnings is largely driven by several factors impacting our Wholesale Services business, including lower natural gas price spreads, lower volatility and takeaway capacity constraints that affected us, particularly, in the third quarter.
However, we saw strong performance in our utility business in 2011 resulting from new rate and infrastructure programs. Our results in total also reflect lower year-over-year incentive compensation due to not meeting our corporate earnings thresholds under our plans.
Our 2011 GAAP results included 22 days of operations from Nicor as a result of our merger closing on December 9. We’ve detailed our results here, so you can see the standalone legacy AGL Resource businesses as well as the contribution from Nicor for those 22 days. Note that the Nicor EBIT loss of $90 million includes $34 million of change in control payments that were triggered when the merger closed. Also our weighted average share count increased to 80.9 million diluted shares for the year due to the merger. For 2012, our diluted EPS guidance range is $2.80 to $2.95 and we will discuss the assumptions underlying our guidance in a few minutes.
Now let’s go to slide 4. In the fourth quarter of 2011, our diluted GAAP EPS was $0.37. On an adjusted basis excluding Nicor related expenses, it was $0.87 per share or $0.01 higher than the fourth quarter of 2010. Again, you can see the break out of our legacy businesses separate from the Nicor contribution.
On slide 5, you’ll find a reconciliation of annual 2011 EBIT, the initial segment guidance we’ve provided at our Analyst Meeting in May of last year. We included this slide to emphasize that the primary degradation earnings came from the Wholesale segment as we’ve discussed over the last several - couple of quarters.
Our performance at distribution operations was $38 million favorable to our guidance, but Wholesale was $48 million unfavorable to guidance. We did better than expected in the Midstream segment, but saw slight weakness at the retail segment relative to our expectations.
I’d also note here that the higher interest expense we incurred relative to our expectations really reflects our pre-funding of the Nicor merger to various debt issuances throughout the year and the fees associated with the bridge facility.
You can see the guidance range in our long-term EPS and dividend track record on slide 6 of the presentation. Our Board of Directors approved another 2% increase in our dividend earlier this month and our indicated annual dividend rate is now $1.84. At the mid-point of our 2012 guidance range, this would yield a payout ratio of approximately 64%.
Moving on to slide 7, you’ll find a snapshot of EBIT by segment. On the top left, you can see our results across the business looking back to 2006 and underneath that chart is the quarterly look at EBIT, which gives you a good sense of the seasonality of the - of our business.
On the right you can see that our distribution business continues to be the largest operating segment contributed to EBIT representing approximately 79% of total operating EBIT contributions in 2011. This percentage is up significantly relative to prior years in large part to the reduced earnings contribution from Wholesale services. Retail operations accounted for 18%, Midstream operations for 2% and Wholesale services 1%. There were no material earnings contributions from the Cargo Shipping segment for the 22 days that we owned it in 2011.
I’ll cover some of the major segment variances starting with our distribution business on slide 8. EBIT was up $60 million for the year or 17% compared to last year including an EBIT contribution of $15 million from the 22 days that Nicor Gas was included in our distribution results.
The primary drivers of operating margin improvement were new rate and infrastructure programs at the legacy AGL Resources utilities and the addition of Nicor Gas in the fourth quarter. Operating expenses were up 5% year-over-year, due primarily to the addition of Nicor Gas offset by lower incentive compensation accruals.
EBIT in the fourth quarter was slightly higher by - was higher by 35% year-over-year with similar drivers to our full-year performance. You can see that our average customer count for the year for the legacy AGLR utilities was up slightly from 2010 and remains stable. The customer count at Nicor Gas was just under $2.2 million for 2011 also stable relative to 2010.
Turning to the retail segment on slide 9, we recorded EBIT for 2011 of $93 million, a $10 million decline compared to 2010. Results were down in part due to weather that was 23% warmer than in 2010, resulting in lower customer usage. In addition, as gas prices declined during the fourth quarter of 2011 we recorded a lower-of-cost or market, or LOCOM adjustment that was $5 million higher than in the prior-year.
Operating expenses were lower by $5 million for the full-year due mainly to lower legal expense. You can see that the fourth quarter of 2011 results were also down year-over-year due primarily to the same factors I’ve just described. At the end of the year SouthStar’s market share was 33% in Georgia which equals our market share position at the end of both 2010 and 2009. So you can see that our customer count for 2001 declined slightly compared to the prior-year.
You will find 2011 results for our Wholesale Services segment on slide 10. As expected Sequent continues to face the challenges of lower market volatility and lower price spreads for storage and transportation. This is reflected in our EBIT contribution of just $5 million for 2011, a decline of $44 million from 2010.
The largest component of the EBIT decline came from $45 million reduction in commercial activity versus last year. Of this $45 million, $23 million was due to ongoing low volatility conditions and tight storage and transportation spreads. $18 million was related to the Marcellus takeaway issue that we detailed for you last quarter and $4 million was related to a customer bankruptcy which was also previously described.
We anticipate remaining in a low volatility environment for the foreseeable future and we've made a number of changes to better adapt our business to this new operating environment.
In addition to the impact of lower commercial activity during 2011, we had storage and transportation hedge gains that were $21 million higher than the prior-year, but we also recorded LOCOM in 2011 that was $24 million higher than in 2010 reflecting the decline in natural gas prices during the latter half of the year. Just to remind you, transportation storage hedge gains or losses and LOCOM or non-cash items, but impact the timing of reported income.
Sequent enters 2012 with a $3 million rollout schedule which compares to a rollout schedule of $16 million at the same time last year. You will recall that the rollout schedule was at $6 million at the end of the third quarter in 2011 and 2010. The rollout schedule year-over-year is lower primarily due to lower seasonal spreads resulting from lower volatility associated with robust natural gas supply and ample storage as well as warmer weather versus the prior-year.
Looking briefly at expenses for 2011 on our Wholesale business, they were down $5 million compared to the prior-year due mainly to a reduction in annual incentive compensation. Fourth quarter 2011 EBIT results for Wholesale were up $3 million compared to the fourth quarter of 2010 with primarily the same drivers as the full-year.
Now let’s move to slide 11, EBIT in our Midstream operation segment improved by $3 million in 2011 compared to 2010.The improvement was due to increased revenue at Golden Triangle Storage, which we put into commercial operation in the third quarter of last year. For the fourth quarter of 2011, EBIT improved by $1 million mainly due to slightly higher operating margin.
We've not included a slide here for our new Cargo Shipping segment as there was no material EBIT contribution from the segment for the 22 days that we owned the business since 2011. For the full-year the business was also breakeven on an EBIT basis. The downward trend in earnings at Cargo Shipping since 2007 coincides with the global economic recession, which has had significant impact on tourism in the overall economic conditions in the Caribbean region.
In the past two years, the earnings decline in shipping has resulted from a combination of fewer TEUs or twenty-foot equivalent units being shipped and higher fuel costs that cannot always be easily passed along to customers. As with our Wholesale and Midstream businesses we do not anticipate a change in the market conditions in 2012, but we’ll be focused on controlling fixed-cost in the business and evaluating new customer opportunities.
Some balance sheet highlights were noted on slide 12. Our balance sheet now includes full funding of a Nicor merger with our long term debt now $3.6 billion and short-term debt at $1.3 billion. As I noted earlier our interest expenses was up $27 million for 2011 as compared to 2010. That increase was mainly driven by the pre-funding for the cash portion of the Nicor merger as well as fees associated with the bridge facility we put in place when we announced the merger.
On slide 12, I’d also highlight our capital expenditures for 2011 and expectations for 2012. Utility CapEx including a full-year for Nicor Gas was $604 million in 2011. We anticipate spending about $725 million of utility CapEx in 2012, more than $300 million or over 40% of those expenditures are on writer base programs with minimal regulatory lag compared to about $200 million of writers related to spending in 2011.
Our non-utility capital spending will be around $100 million primarily reflecting the build-out of the second cavern Golden Triangle Storage and the completion of Central Valley Gas storage projects, both of which we expect to be completed in the first half of this year.
I won't go into detail on slide 13, but for reference you can see what our debt maturity schedule looks like following the merger closing. Relative to post merge size of our balance sheet we've no significant maturities until 2016 and even then at very manageable levels.
Thanks for your time today, and I’ll now turn the call over to John.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Executives","Thanks, Drew and good morning. I’ll start by recapping what I believe was by most measures a solid year for the company in 2011. As Drew mentioned, we saw very strong performance in our utility business. And that is the result of a number of things we s",1302,"Thanks, Drew and good morning. I’ll start by recapping what I believe was by most measures a solid year for the company in 2011. As Drew mentioned, we saw very strong performance in our utility business. And that is the result of a number of things we said in notion over the past couple of years on the regulatory front. To achieve reasonable rate outcomes and to pursue innovative programs such as our infrastructure investment programs where we deploy capital and see returns very quickly rather than waiting on traditional rate based adjustments.
Our retail business continues to generate stable earnings results despite some of the competitive pressures we face, particularly in the Georgia market. In a year where we had significant financing needs related to the Nicor merger we benefited from historically low interest rates. So while we have interest expense that is higher year-over-year because of the merger, we were able to finance the transaction at levels far below what we - what have expected in a more normal rate environment.
We add to these successes the fact that we closed the Nicor merger, the most transformational event in the company’s long history and made substantial progress in the integration of our two companies.
All of those things were positive for us in 2011 and set us up for well for achieving results in 2012. However, as we discussed with you on previous occasions, we clearly have challenges in certain of our businesses, which we saw on 2011, and we expect will continue in 2012.
We’ve three non-utility businesses that face significant headwinds, our Wholesale Services business, our Natural Gas Storage business and the Cargo Shipping unit that we acquired as part of the Nicor merger. Each of these businesses operates in a market, or in markets where the fundamentals have changed dramatically over the past couple of years, and those fundamental shifts in the market and economic forces meaning those businesses have seen and will likely continue to see weaker results than we expected. Those weaker results impacted our earnings in 2011 and resulted in the revised guidance range we issued during the third quarter of the year.
Unfortunately, market fundamentals have degraded even further in those businesses since our last call in October, as a result of mild weather and seasonably high storage levels and other factors. These circumstances have impacted the guidance range we established for 2012 relative to our long-term plan.
I do want to note that we still do the Nicor transaction as neutral to earnings for 2012 and accretive thereafter. Admittedly our forecast for the business has changed in response to market fundamentals. But the negative impacts are proportional across both AGL’s and Nicor’s legacy non-utility businesses.
And importantly, at our regulated businesses, we continue to operate with a backdrop of fair rate case outcomes from recent years over 40% of regulated capital expenditures underwriter programs, constructive regulatory relationships in all of our jurisdictions and the recent approval of Illinois Commerce Commission for this transformative merger.
Turning to slide 14, as Drew mentioned, we expect to earn within the range of $2.80, $2.95 per diluted share in 2012, excluding mark-to-market impacts and any additional Nicor merger-related costs.
Our guidance assumes several factors that we achieved appropriate progress towards 2012 or during 2012 towards the run-rate efficiencies we expect from the Nicor merger, that we’ve no rate case activity in 2012 from our regulated utilities that we experienced minimal growth in our retail businesses and at the challenging market conditions I described for our Wholesale, Midstream, and Cargo Shipping businesses persist throughout the year.
Specifically our guidance includes achievement of anticipated efficiencies related to corporate overhead and non-utility businesses as a result of the Nicor merger, the persistence of a low natural gas price and volatility environment for the foreseeable future, pension expense for 2012 that is expected to be significantly higher than 2011 due to lower discount rates. This issue alone is expected to impact earnings by about $0.07 per share, increased expenses related to pipeline integrity and maintenance and an outstanding diluted share count of approximately 117.5 million reflecting the full effect of the shares we issued as part of the Nicor purchase price. We plan to provide greater detail related to these issues as well as segments specific guidance at our Analyst Day in March.
From a regulatory perspective, as I mentioned, we’ve no pending rate cases and do not expect to file for new rate - case rates in any our jurisdictions this year. However, we’ll be working to put new writer-based capital expenditure programs in place as well as to extend some of the existing programs. For example, earlier this year, we filed for a new pipeline replacement program in Virginia under the State’s Save Program. We’re proposing a five-year modernization plan under which we plan to replace over 200 miles of aging pipeline.
This would be a $100 million program aimed at enhancing the reliability and integrity of the natural gas distribution system in Virginia, while supporting the local economy by providing jobs. Our filing has been deemed complete and we expect to begin the program in August. We also are evaluating options to extend our existing program in New Jersey and may file with the New Jersey Board of Public Utilities later this year. On the regulatory front, I also want to mention a recent development in the long running performance-based rates or PBR case in Illinois.
Turning to slide 15, we’ve highlighted key aspects of the stipulation resolution that we reached with the Illinois Commerce Commission staff. Under this stipulation, Nicor Gas would credit $64 million to customers. The stipulation must still be approved by the ICC, and I’d note that other parties in the case such as The Illinois Attorney General’s Office and The Citizens Utility Board have not signed on to the stipulation at this point.
Some of the accounting impacts are listed here, but on the whole the settlement is consisted with what we’ve reserved for this issue. We anticipate a ruling from the ICC later this year, and we’ll keep you apprised of any substantial developments in the case.
Turning to slide 16, you’ll find our priorities and objectives for 2012. In many ways, our objectives remain the same as they’ve over the past few years. For our utility businesses, we’ll continue to prudently invest in our operating infrastructure, so that we continue to provide safe and reliable systems to our customers at the lowest possible rates.
For retail and Wholesale, we’ll focus on maintaining market share in our core service territories and expand into new markets. For storage, our primary goal is to bring our storage facilities online that the ones that are currently under construction and contract them at the best - the combination of the best available rates and duration to optimize a portfolio in a very challenging market. At Cargo shipping, we’ll continue to focus on managing costs and maintaining a strong brand in the region and across all of our businesses we’ll focus on effectively controlling expenses.
Importantly, in 2012 we’ll continue to build on the work we began in 2011 to integrate the legacy AGL Resources businesses with Nicor across each segment and to generate the efficiencies we‘ve discussed that are central to the success of the transaction. We’re excited to bring so many talented employees from Nicor into the AGL family and look forward to continuing strong tradition of safety, reliability and customer service that both companies have built for decades.
On behalf of the employees of AGL Resources, we also welcome our new shareholders and we’d like to thank each of you for your continued interest and support of our company.
Operator, I’ll turn the call back over to you to begin the Q&A session.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Operator","Thank you. (Operator Instructions) And your first question comes from the line of Craig Shere of Tuohy Brothers.",18,"Thank you. (Operator Instructions) And your first question comes from the line of Craig Shere of Tuohy Brothers.

"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Analysts","Hi, guys. Congratulations on finishing the merger.",7,"Hi, guys. Congratulations on finishing the merger.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Executives","Thanks, Craig.",2,"Thanks, Craig.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Analysts","So, I’ve got a couple of questions here. First, expense you were talking about for the pension expense, maybe Drew, you want to respond more to this, but I’m assuming that since that’s kind of a retail operation that’s kind of one-time down draft",87,"So, I’ve got a couple of questions here. First, expense you were talking about for the pension expense, maybe Drew, you want to respond more to this, but I’m assuming that since that’s kind of a retail operation that’s kind of one-time down draft that wouldn’t necessarily carry through in ensuing years predominantly, is there - can you confirm that, can you also advice if there is any potential to recover some of that through utility rates over time and can you outline the new actuarial assumptions?
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Executives","Sure, Craig. This is Drew. The main adjustment is related to the discount rate of the liability. The last three weeks of the year saw pretty decent depression of long-term treasury rates, which is the principal benchmark - the principal underlying benchma",291,"Sure, Craig. This is Drew. The main adjustment is related to the discount rate of the liability. The last three weeks of the year saw pretty decent depression of long-term treasury rates, which is the principal benchmark - the principal underlying benchmark. What that does is just increase the size of the liability. And so this is something that actually - it’s about $13 million increase and that expense moves it out over a period of time. It’s a prudently incurred expense. It is related principally to distribution operations. We don’t anticipate going into a rate case to seek recovery of it because generally it’s like any other expense that we battle.
And so, the goal really is to just remain as efficient and combat the inflations that we’ve in the business. This is sort of a typical corporate issue with the extend that the discount rates starts to move back out if we saw increases in rates over the next couple of years. It actually would start to produce - we’ll see a reduction in the expense naturally, ultimately a generation of income.
We don’t have a real material change in sort of our unfunded status. I mean, the discount rate does in fact influence that, but it doesn’t really change our requirements for investment materially from what we’d have expected normally and our goal there is just to make sure that the plans are healthy and funded to reasonable levels in the short-term.
It’s a headwind, its - this is different than what you’re seeing reported by most other companies, principally the ones that reported in the September year-end because they didn’t have the sort of the detriment of the rate reductions that we saw through the fourth quarter.
"
252517,170182989,261924,"AGL Resources Inc., Q4 2011 Earnings Call, Feb 22, 2012",2012-02-22,"Earnings Calls","Southern Company Gas","Analysts","Okay. So that $13 million cost headwind would be ongoing into the ensuing year like 2013?",16,"Okay. So that $13 million cost headwind would be ongoing into the ensuing year like 2013?
"
