"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Operator","Good day, and welcome to the Altria Group 2014 Fourth Quarter Earnings Conference Call. Today's call is scheduled to last about 1 hour, including remarks by Altria's management and a question-and-answer session. [Operator Instructions] I would now like to",58,"Good day, and welcome to the Altria Group 2014 Fourth Quarter Earnings Conference Call. Today's call is scheduled to last about 1 hour, including remarks by Altria's management and a question-and-answer session. [Operator Instructions] I would now like to turn the call over to Sarah Knakmuhs, Vice President, Investor Relations for Altria Client Services. Please go ahead, ma'am."
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Executives","Good morning, and thank you for joining us. We're here this morning with Marty Barrington, Altria's Chairman and CEO; and Howard Willard, Altria's CFO, to talk about Altria's 2014 business results for the fourth quarter and full year. During our call toda",229,"Good morning, and thank you for joining us. We're here this morning with Marty Barrington, Altria's Chairman and CEO; and Howard Willard, Altria's CFO, to talk about Altria's 2014 business results for the fourth quarter and full year. During our call today, unless otherwise stated, we're comparing results to the same period in 2013.
Earlier today, we issued a press release regarding our fourth quarter and full year results. For a detailed review about these business results, please review the earnings release on our website at altria.com or via the Altria investor app.
Our remarks contain forward-looking and cautionary statements and projections of future results. Please review the Forward-Looking and Cautionary Statement section at the end of today's earnings release for various factors that could cause actual results to differ materially from projections.
Future dividend payments and share repurchases remains subject to the discretion of Altria's Board. The timing of share repurchases also depends on marketplace conditions and other factors. Altria reports its financial result in accordance with U.S. Generally Accepted Accounting Principles. 
Today's call will contain various operating results on both a reported and adjusted basis, which excludes items that affect the comparability of reported results. Descriptions of these measures and reconciliations are included in today's earnings release, which is available on our website, and via the Altria investor app. Now I'll turn the call over to Marty."
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Executives","Thanks, Sarah. Good morning, everyone, and thanks for joining our call. Altria had another terrific year in 2014. For the full year, we again delivered against our 2 long-term financial goals. We grew adjusted diluted EPS by 8% and we paid out approximate",1025,"Thanks, Sarah. Good morning, everyone, and thanks for joining our call. Altria had another terrific year in 2014. For the full year, we again delivered against our 2 long-term financial goals. We grew adjusted diluted EPS by 8% and we paid out approximately 80% of adjusted diluted EPS to shareholders in dividends, which totaled $3.9 billion. We also raised our dividend by 8.3%, marking the 48th increase in the last 45 years. We further rewarded shareholders by repurchasing nearly $1 billion in shares between the program we completed in 2014 and the new $1 billion program we announced in July.
And in 2014, Altria delivered total shareholder return of 34.5%, far outpacing both the S&P 500 and the food beverage and tobacco index. We achieved these results by the clarity of our core strategies and our talented employee's strong execution against them. Here are some important segment highlights from the quarter and the full year.
The Smokeable Products segment produced outstanding results by consistently executing its strategy of maximizing income while maintaining modest share growth on Marlboro and Black & Mild over time. The segment grew adjusted operating companies income by almost 8% in the quarter and by nearly 7% for the full year, primarily through higher pricing. The end of the federal tobacco quota buyout payment also contributed in the quarter. This segment also expanded adjusted operating companies income margins in both periods.
Marlboro was the primary driver of these strong financial results. PM USA's long-term investments in the Marlboro architecture have strengthened the brand's equity and expanded its ability to engage both loyal and competitive adult smokers. In 2014, the brand posted its third consecutive year of retail share growth.
And Marlboro continues to innovate. In November, PM USA expanded distribution of Marlboro Menthol Rich Blue to 28 states, primarily in the Eastern U.S., to enhance Marlboro's position in the menthol segment. It's early, but Rich Blue is off to a good start.
In the machine made large cigar category, John Middleton strengthened its leadership position in the tip segment. The company posted solid volume growth in the quarter and the full year driven primarily by Black & Mild. Over time, Middleton has enhanced the brand with innovative actions like Black & Mild Jazz. In December, Middleton announced the national expansion of Black & Mild Casino, a dark tobacco blend in the tip segment.
In the Smokeless Product segment, USSTC continued to execute its strategy in 2014. USSTC grew full year adjusted operating companies income by more than 3% and expanded its already strong adjusted operating companies income margin by more than 1% despite a slowdown in the industry volume growth rate. We estimate that growth rate to be about 2% for the last 12 months.
USSTC maintained retail share leadership in the smokeless category in 2014 with its premium brands, as Copenhagen and Skoal grew their combined share in the quarter and for the full year. Copenhagen posted strong share gains in both periods behind the strength of Copenhagen wall of winter green.
In 2014, USSTC began enhancing Skoal's value equation with a new equity campaign and targeted investments to narrow price gaps on Skoal plastic. We're pleased results we've seen so far.
Turning to innovative tobacco products, Nu Mark made steady progress as it builds e-vapor category leadership. The company is taking a disciplined approach and remains focused on building a robust portfolio of superior, innovative products for adult smokers and vapor.
In the fourth quarter, Nu Mark evolved MarkTen by adding a new offering with 2.5% nicotine concentration by weight in classic and menthol varieties. In December, Nu Mark completed its national launch of MarkTen e-vapor products, achieving distribution in over 130,000 stores. And at year-end, MarkTen was ranked among the top e-vapor brands nationally based on retail market share. Nu Mark also acquired and integrated Green Smoke in 2014. This acquisition added great people, deep supply chain expertise and technology, and we're excited about the brand's potential. It's still early days in this dynamic and evolving category, but we believe Nu Mark is increasingly well-positioned for the future.
In 2014, our alcohol assets continued to diversify our income and contribute to income growth. In the Wine segment, Ste. Michelle posted another year of double-digit operating companies income growth primarily through higher volume. Awarded Ste. Michelle's premium wines more than 180 ratings of 90 or better in 2014. 
Our earnings also benefited from our SAB Miller investment, which continues to support our strong balance sheet. So to sum up, 2014 was another excellent year for our strong premium brands, for our company and for our shareholders. We are maximizing income in our core premium tobacco businesses and innovating for the future. We are extremely proud of the results produced by our very talented employees and of our track record for creating value for shareholders. 
Looking ahead to 2015, Altria forecast its 2015 adjusted diluted EPS will increase by 7% to 9% to a range of $2.75 to $2.80 from an adjusted diluted EPS base of $2.57 in 2014. 
Finally, today, we are announcing some executive leadership changes all to the effect of March 1 this year. First, Dave Beran, our President and Chief Operating Officer, has decided to retire after 38 years of distinguished service to the company. Dave's strong expertise, knowledge, financial acumen and leadership have contributed measurably to Altria's success, and he will be missed.
When Dave retires, Howard Willard will become Altria's Chief Operating Officer. He has significant expense, having been with the company since 1992. In addition to his current role of CEO, Howard has led leadership positions in numerous business functions of the Altria companies.
Billy Gifford will succeed Howard as Altria's Chief Financial Officer. Billy has been with Altria since 1994 and also has held numerous roles, including President and CEO of PM USA and his current role as Altria's Senior Vice President, Strategy and Business development.
These moves are consistent with our long-term succession planning, and these talented experienced leaders will serve us well for the future.
I'll now turn things over to Howard, who will discuss Altria's business results in more detail."
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Executives","Thank you, Marty. Good morning, everyone. In 2014, strong performance in our Smokeable Products segment helped drive adjusted diluted EPS growth of almost 16% in the fourth quarter and 8% for the full year. A lower effective tax rate on operations and low",945,"Thank you, Marty. Good morning, everyone. In 2014, strong performance in our Smokeable Products segment helped drive adjusted diluted EPS growth of almost 16% in the fourth quarter and 8% for the full year. A lower effective tax rate on operations and lower interest expense were also contributors to adjusted diluted EPS growth in both periods.
The Smokeable Products segment delivered strong adjusted operating companies income growth in the quarter and for the full year. The segment also expanded adjusted operating companies income margins 1.8 percentage points in the fourth quarter and 1.9 percentage points in the full year. For the full year, PM USA grew Marlboro's retail share by 1/10 of a share point and grew its total cigarette category retail share by 2/10 of a share point.
L&M share gains also contributed to PM USA's full year retail share performance, while the cigarette discount segment declined slightly. The Smokeable Products segment fourth quarter reported operating companies income grew 7.6%, primarily driven by higher pricing. For the full year, the segment's reported operating companies income declined 2.7%, primarily due to higher gains on NPM adjustment items in 2013. After adjusting for trade inventory changes and other factors, PM USA estimates that its fourth quarter and full year cigarette shipment volume declined approximately 2% and 3%, respectively, and the total industry volumes declined approximately 2.5% and 3.5%, respectively.
The 2014 full year industry cigarette decline of 3.5% continues to be in the range of the decline rate we've seen in the last few years.
In Cigars, Middleton's reported cigar shipment volume increased by almost 4% for the fourth quarter and over 6% for the full year, driven primarily by Black & Mild's strong performance in the tip Cigar segment. Black & Mild retail share declined 4/10 for the quarter and 3/10 for the full year. 
In the Smokeless Product segment, adjusted operating companies income was unchanged in the fourth quarter, as higher pricing and higher volume were offset by higher promotional investments in the timing of selling, general and administrative expenses.
For the full year, the segment grew adjusted operating companies income 3.3%, primarily due to higher pricing and higher volume, partially offset by higher promotional investments and product mix. Adjusted operating margins declined 2.5 percentage points in the fourth quarter to 60%, and grew 1.1 percentage points to 63.4% in the full year.
After adjusting for trade inventory changes and other factors, USSTC estimates that its domestic smokeless products shipment volume grew approximately 2.5% in both the fourth quarter and full year of 2014. Copenhagen and Skoals combined retail share grew 4/10 of a share point in the quarter to 51.3% and grew 5/10 to 51.2% for the full year.
The Wine segment delivered strong results in the fourth quarter and the full year. Ste. Michelle grew operating companies income by 17.8% in the fourth quarter and 13.6% in the full year, primarily driven by higher volume. Shipments increased 9.6% in the quarter and 4.8% for the full year. 
That wraps up our operating results. Marty and I will now take your questions. While the calls are being complied, let's cover a few housekeeping items. As a reminder, comparisons, when made are, against the fourth quarter and full year of 2013, unless we note otherwise.
Marlboro's price gap versus the lowest effective priced cigarette was 32% in the fourth quarter, down 2 percentage points, and, 33% for the full year, down 1 percentage point. For the fourth quarter, Marlboro's net pack price was $6.02, up $0.16, and the lowest effective priced cigarette was $4.55, up $0.17. For the full year, Marlboro's net pack price was $5.96, up $0.13, while the lowest effective priced cigarette was $4.49, up $0.15. The Cigarette Discount segment's retail share was 24.9% for the fourth quarter and full year, down 3/10 in each period. The estimated weighted average cigarette state excise tax was $1.49 per pack for the fourth quarter, up $0.02; and $1.48 per pack for the full year, up $0.04.
Wholesale inventory changes are one factor PM USA uses to estimate adjusted PM USA and industry volumes. PM USA estimates that its 2014 wholesale inventories were approximately 2.4 billion units at the end of the fourth quarter and $2.3 billion units at the end of the third quarter. In 2013, PM USA's wholesale inventories were estimated to be approximately 2.5 billion units at the end of both the fourth and third quarter.
PM USA estimates that the 2014 cigarette industry wholesale inventory levels were 5.5 billion units at the end of the fourth quarter and 5.7 billion units at the end of the third quarter. PM USA estimates that 2013 wholesale inventory levels were 5.9 billion units at the end of the fourth quarter and 6.3 billion units at the end of the third quarter.
Copenhagen's price gap versus the leading discount brand was 32% in the fourth quarter and full year, down 3 percentage points for the fourth quarter and 4 percentage points for the full year. Copenhagen's retail price was $4.19 in the fourth quarter, up $0.12; and $4.13 for the full year, up $0.07.
The price of a leading discount brand was $3.17 in the fourth quarter and $3.14 for the full year, up $0.15 in each period. CapEx was $47 million for the fourth quarter and $163 million for the full year. Ongoing depreciation and amortization was $59 million for the quarter and $208 million for the full year. Looking ahead to 2015, we expect capital expenditures will be in the range of $200 million to $250 million, and that depreciation and amortization will be approximately $200 million.
Operator, do we have any questions?"
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Operator","[Operator Instructions] Our first question comes from the line of Matthew Grainger of Morgan Stanley.",15,"[Operator Instructions] Our first question comes from the line of Matthew Grainger of Morgan Stanley."
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Analysts","I guess, first, I just wanted to get your updated thoughts on the current economic outlook and how that's impacting cigarette consumption because we've seen now 2 consecutive quarters of improving volume trends, which I know generally you would attribute",84,"I guess, first, I just wanted to get your updated thoughts on the current economic outlook and how that's impacting cigarette consumption because we've seen now 2 consecutive quarters of improving volume trends, which I know generally you would attribute to just quarterly volatility and the full year was in line with the long-term average. But at this point, can we say that we're seeing some evidence of stronger consumption? Or as you look across the industry, better products that -- better portfolio mix?"
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Executives","Yes, that's a great question. Let me give you our view of the adult tobacco consumer for '15, which I really think goes to the heart of what you're asking about. We've been cautious for the last several years, as you know, as we went through this difficul",192,"Yes, that's a great question. Let me give you our view of the adult tobacco consumer for '15, which I really think goes to the heart of what you're asking about. We've been cautious for the last several years, as you know, as we went through this difficult recession. We are actually seeing a modest improvement, I think, in the economic situation for the adult tobacco consumer, although it remains a bit of a mixed bag. The U.S. economy is clearly improving, as everyone knows, and particularly in relation to the rest of the world economies. We see on implement and underemployment have come down. We see housing starts are coming back. We see very good consumer confidence numbers. So I think all of that is a positive, those are positive factors. On the other side of the ledger, you have labor participation rates maybe not where they should be and then year-over-year wage gains are still modest. But I think, on balance, our view so that the adult tobacco consumers is feeling better about their economic situation and their economic future, and we expect some modest improvement in that over 2015."
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Analysts","Okay. And do you have any sort of industry volume outlook that you're willing to share at this point?",19,"Okay. And do you have any sort of industry volume outlook that you're willing to share at this point?"
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Executives","No we don't do that, as you know. But I think, especially if you look up over the last 3 or 4 years, which includes, of course, this very difficult recessionary period, you see it in that really 3 to 4 and you call it maybe 3.5 on average over the last 4",91,"No we don't do that, as you know. But I think, especially if you look up over the last 3 or 4 years, which includes, of course, this very difficult recessionary period, you see it in that really 3 to 4 and you call it maybe 3.5 on average over the last 4 years. And PM USA has done better than that at about 3% because of its strong portfolio and its share gains. So we don't see any big disruptors in that, but we don't forecast volume going forward."
296308,282216960,752258,"Altria Group Inc., Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Altria Group, Inc.","Analysts","Okay. And Howard, if I just follow up on Smokable Products. The 8% adjusted OCI growth in the quarter, obviously, it's a very strong number. But I guess, I'm almost surprised that it wasn't even stronger, given the absence of quarter buyout cost during th",83,"Okay. And Howard, if I just follow up on Smokable Products. The 8% adjusted OCI growth in the quarter, obviously, it's a very strong number. But I guess, I'm almost surprised that it wasn't even stronger, given the absence of quarter buyout cost during the quarter. Can you just talk about the increase that we saw in per pack costs year-on-year, excluding the quarter buyout, and where within the cost architecture of smokable products you're seeing place to reinvest back in the business?"
