"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Executives","Good morning, everyone. My name is Juan Gaitan. I'm the Head of Investor Relations at Cellnex. I'm joined today by Jose Manuel Asia, CFO, Head of the, who will lead today's presentation. I would like to thank you for joining us today for Cellnex first hal",96,"Good morning, everyone. My name is Juan Gaitan. I'm the Head of Investor Relations at Cellnex. I'm joined today by Jose Manuel Asia, CFO, Head of the, who will lead today's presentation. I would like to thank you for joining us today for Cellnex first half 2015 results conference call. We have this morning the presentation, which we will refer to throughout our prepared remarks under the Investor Relations section of our website, and then we'll open the lines for a Q&A session. So now I'll hand the line over to Jose Manuel Asia, the CFO."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Executives","Good morning, everyone. Thank you so much for your time today and please allow me to start by highlighting the main milestones of Cellnex's performance for the first semester of 2015. We will start with Slide #3. We are showing here a strong top line grow",3042,"Good morning, everyone. Thank you so much for your time today and please allow me to start by highlighting the main milestones of Cellnex's performance for the first semester of 2015. We will start with Slide #3. We are showing here a strong top line growth due to our telecom site rental business performance, explained by sound organic growth with an increase of 4.5% in the semester and the contribution of our recent accretive acquisitions. This activity more than offsets temporary impacts from our broadcasting business, which we expect to bring back to normalized levels from next year. We have also paved the way for further future organic growth by signing contracts with new customers such as wireless broadband operators in the telecom tegmental area, as well as new and improved terms for future renewals with existing customers.
Consider the surrounding our broadcasting business have completely disappeared as the risk of loss of 8 additional TV channels is gone now, and the retendering of capacity linked to TV channel shut down last year is on track. We have also taken the first step of our future efficiency program, details of which will be presented in the second semester results of 2015, carrying out a number of initiatives in key operating areas with very encouraging results, offering for instance paybacks of around 3 to 5 years.
Also, we keep generating cash at a strong pace, 35% increase in terms of recovering leverage free cash flow while controlling our CapEx needs is a strict criteria. We have successful in showed our inaugural bond, thus creating a stable capital structure for the long-term. At the competitive cost and removing at the same time, any covenant that could constrain our future growth. After this bond issue, our average cost of the debt stands at 2.2% on average.
And finally, in light of recent development and our view of the medium-term, we have revised upwards our full year 2015 adjusted EBITDA guidance to around EUR 235 million, ahead of the current market consensus.
If we go to Slide #4 please, business performance for the semester. During the first months of 2015, we have set the foundation for the solid organic growth with potential for EUR 15 million of additional revenues associated to increase commercial activity and new contracts signed. In the Telecom Site Rental business, we have achieved the following goals: First, 7,676 new towers acquired in the period with 300 towers acquired from Telefonica in January 2015 and 7,677 towers acquired from Wind as of March 2015. The implementation planned of these new portfolios is currently on track. Second, we have also been active, optimizing our portfolio with 10 new sites built, 75 sites decommissioned and 54 sites, which now has a dual use after serving telecom rental customers from them. Third, in terms of commercial activity, Cellnex has reached an agreement with a non-anchored tenant over a 10-year period in order to bring in the terms of its current contracts as they expire. The new tariff scheme has already been defined with potential revenues of around EUR 4 million and 700 PoPs to be renewed over 2015-2018 period.
Fourth, Cellnex has also reached an agreement with our wireless broadband operator, by which it will make use of our portfolio of towers. We have project scope of up to 1,500 PoPs and 350 PoPs that have already expected in 2015. The positive annual impact in revenues from this agreement can reach up to EUR11 million. We are also negotiating with utilities companies and public entities the possibility to take the financial heights in order to start new telecom sites on both demand and rooftop own by these entities.
And finally, we are also actively analyzing new production metallization, in other words, decommissioning projects, with multiple of the operators that are looking for operating expenditures reductions. With a potential for at least 2,000 towers in the next semesters.
Slide #5. Business performance, broadcast media services and others. And here, the main message is that we are glad to confirm that the risk of loss of 8 traditional TV channels have completely disappeared after the Supreme Court decision to definitively close the case. This loss have resulted in the negative impact of revenues of circle EUR 40 million on a full year basis.
Cellnex is also expecting the recovery of around EUR 35 million per annum coming from the retender of 1.75 national multiplexes in the service start, the 1st of January 2016. This process is well on track with 13 companies bidding for 6 TV channels. These licenses are expected to be awarded by October this year and expected to be operated by early 2016. With parts to renew through DTT contracts with national broadcasters representing EUR 20 million per year and a backlog increase of EUR 85 million euros, it is important to highlight that these renewals have been made with no change on the current average price per multiplex, and at the same time, these pricing mechanism is linked to CTI.
Our current national DTT average contract life, which is 4 years with the maximum possible is 5 years.
Finally, in the network services and others area, we have extended a public quotation and disaster relief in our contract with an associated backlog increase of EUR 9 million. We are also analyzing new projects in the area of Internet of Things.
Moving to Slide #6, cost efficiencies. We are working hard on this front and looking to present our new efficiency program during H2. Today, our first step in different operating areas are yielding excellent results, which we expect to consolidate and extend to other areas across our cost base. As examples of these actions we are undertaking, we have just started a ground lease contract program analyzing more than 200 projects, which is offering paybacks of 3.5 years. These programs consist of a mix between price renegotiation of the annual lease and that from payments in the change of these lease extensions and these reductions. We are also upgrading our radio frequency connectivity network in order to make a more efficient use of the spectrum and therefore, achieving savings and spectrum fees as well as improving the energy consumption in our sites.
Slide #7, and looking at our key performance indicators. We have increased the total number of sites during the first semester to 15,140, mainly due to our last transaction in Italy. We have also increased our tenants ratio in Spain, 5% compared to December 2014, thanks to the addition of more tenants and the decommissioning process of our own sites in order to achieve a more efficient network. Our tenancy rate in Italy decreases due to the dilution impact from the last transaction carry out in Italy. It is worth highlighting that as of June 2015, our telecom site rental activity represents 44% of our total revenues. With these are expected to reach half of our business by the end of 2015. At the full year effect of our last transaction and the focus on growing in this area both organically and in organically is reflected in our peers.
Taking to Slide #8, tenancy ratio in Telecom Site Rental. You can see here the evolution of sites, PoPs and the resulting consolidated financial ratio for Cellnex, with an impact from inorganic growth explaining the main changes. Despite this affect, we have continued to optimize our network through the commissioning and managed to grow organically by adding tenants in the countries where we are present. During the period, we have increased the number of PoPs by 4.5% in just 6 months, with even PoPs on Galata towers in just 3 months of operations. I would like to say to you that we think that the company is presenting at very strong organic growth.
In the next Slide, we have separated solution from organic growth in our adjusted EBITDA for a more visual explanation, and we will be able to see these on Slide 11.
Slide #9 in the meantime, income statement. Let me now please spend some time on our income statement in detail. Looking to revenues, we have suffered the negative impact from the shutdown of lien DTT channels that took place in May 2014. However, this effect has been offset by the simulcast broadcast on the same content on 2 different frequencies carry out in the first 3 months of 2015. The stake into account that this is a one-off effect in the year.
Telecom Site Rental increased mainly due to inorganic growth. This additional contribution from all our recent transactions both in Spain and Italy. In network services and other increases when compared to last year as well.
Moving to OpEx, we have a very well contain cost base with a flat performance on a like-for-like basis. The increase you can see on our P&L is mainly due to cost linked to our recent acquisitions, incremental costs, which are treated as pass through and also nonrecurring items as the year progressed, we expect efficiencies to become even more visible on our P&L. After adding back these nonrecurring items and noncash effects, our adjusted EBITDA reaches EUR 415 million, a strong 26% increase when compared to the same period last year.
Depreciation and amortization increases EUR 31 million, as a result of our recent acquisitions and income tax decreases as a result of the optimization measures carried out during the year.
Cellnex net profit reaches EUR 18 million, decreasing when compared to last year due to the effects on various strain that is the oneoff effects, nonrecurring items, and secondly, the current depreciation and amortization policy of the company.
On a like-for-like basis, this net profit attributable to the parent would have been EUR 34 million without these FX instead of EUR 18 million.
Finally, the increase in early money expansion CapEx is explained by the works carried out in the context of DTT, EUR 5 million, which partial translates into more revenues in the period as explained earlier.
Slide #10 shows the financial performance regarding the Telecom Site Rental revenues, and you can see how the existing asset base contribute EUR 4 million on an organic growth basis. We do think that these EUR4 million represent a strong organic performance. On top of that, inorganic growth or in other words, M&A growth represent EUR 77 million of revenues.
All of these details can be or have been explained in the excel sheet that you will be able to find also in our website.
Moving to Slide 11 and talking about adjusted EBITDA. As you know, adjusted EBITDA is calculated as profit from operations before depreciation and amortization and after adding back advance to customers and first-time nonrecurring items. As you can see in the graph, the adjusted EBITDA have suffered a one-off impact due to the channels shut down, but also you can see that the money activity represents EUR 29 million of adjusted EBITDA in 2015 semester, and on top of that, you can see that for organic growth perspective, the company has been able to generate EUR 4 million of more EBITDA. As a result, our adjusted EBITDA 2015 first semester accounts for EUR 115 [ph] million.
In the next slide, we will be able to assess the adjusted EBITDA margin. As you know, as of June 2014, our EBITDA margin accounted for 43%. And on a like-for-like basis, we found M&A impacts and we have one-off impacts on broadcast. You can see that our adjusted EBITDA margin as of June 2015 is 44%. That is 1% margin increase over existing tower base as of 2014. In the future, our strong operating leverage. As a result of the impacts in Spain, the adjusted EBITDA margin for the first semester 2015 is diluted to 40%. We expect that once the one-off impacts from broadcast disappears, and also we include our performance on Galata, our adjusted EBITDA margin will increase in the next semesters.
Moving now to Slide 13 and talking about the recurring levered free cash flow. It is important to note that the strong growth in adjusted EBITDA is represents 26% increase, and even stronger in recurring levered free cash flow with a 36 increase. Additionally, we have managed to keep our sound cash conversion ratio of 98% in terms of recurring operating free cash flow and 89% [ph] in terms of recurring levered free cash flow, even with temporary negative impact from our broadcasting unit. Our working capital change remains very low and cash tax decreases, which is already mentioned focused impact optimization. Internal CapEx has been very low during the first semester. The attrition is expected to reverse in the second half of the year to normalized levels.
Finally, M&A CapEx increases due to our last transactions, Galata and the Phase II of Volta.
Regarding our shareholding -- shareholder remuneration, and as you can read in this slide, it is our current intention to pay out our first dividend during the fourth -- in the last part of the year, corresponding to at least 20% of our recurring levered free cash flow from our results for the second half of the year. Please also note that this has to be commensurate also with our leverage profile, our growth strategy and our net profit attributable to the parent.
Next slide, moving to our balance sheet. Cellnex is increasing the size of its total assets by approximately EUR 4 billion due to the impact of Galata and the acquisitions. And as you can see also here, our growth yield is only increasing by EUR 71 million, following our very prudent purchase price allocation strategy. Our total equity has remained similar to 2014, and the change is mainly due to the net profit. Moreover, we have increased our total borrowings by EUR 777 million in order to accomplish our acquisitions. As of June 2015, our leverage ratio was in line with our long-term leverage target of 4x net debt-to-EBITDA.
In Slide 15 [ph], financial performance. As you know, the 20th of July, we successfully completed our inaugural debt capital market transactions, with a EUR 600 million bond with a 7-year maturity and coupon of 3.12%. The bond was 6x oversubscribed in a very challenging market conditions. We have managed to carry out these transactions in this market volatility, and we think that at the same time achieving an excellent result. Our capital structure, as you can see in Slide 16, have changed significantly, and we have managed to extend our maturities at a competitive price, remove all of our covenants. Also, we have not only removed covenants, but also guarantees. We have also partially hedged our interest rates, and at the same time, diversified our source of funding. This creates the right platform to execute M&A projects, which are analyzed under strict value creation criteria we value to maximize the current free cash flow per share while maximizing the potential for capital increases.
Slide 17, M&A activity update, just a quick look now to work we sent report with our last transactions in Italy. Yes, 4 months ago, we have managed to acquire an hour rate 3,000 towers per annum in the last 4 years. As an update on Galata, the entity is performing as per our projections with unexpected full year EBITDA of EUR 62 million, which implies acquisition multiple of 12.4x in terms of enterprise value EBITDA. As you can see in this Slide, we commit at the time of IPO, we have very clean EBITDA performance regarding Galata, and we are already delivering the result to the market to our shareholders.
As you know, we keep extremely active analyzing the money opportunities in order to make the most for the European tower outsourcing opportunity as a way to maximize value creation for our shareholders.
Financial outlook, next slide, guidance for full year 2015 in terms of adjusted EBITDA. As you can see, we are changing our guidance for 2015, and let me explain to you how we are able to handle EUR 35 [ph] million of adjusted EBITDA for full year 2015.
It's very important to explain that there are partial effects that need to be understood in order to perfectly project our performance. First, these first semester includes unreported activities, 3 months of simulcast, which is a one-offs, 3 months only of Galata and 5 months only of Phase 2 of project Volta. During the second half, we will see 6 months of both Phase 2 of Volta extended and also Galata. These, coupled with further cost retention will leave our full year adjusted EBITDA for 2015 at around EUR 235 million, above the current market consensus. In order to project 2016, we expect to recover around EUR 35 million of revenues linked to the retendering of TV, simulcast contribution in 2015 as we remove and the contribution of 3 additional months of Galata and 1 additional month of Volta extended Phase 2 in credit.
Next slide, Slide 19. As a reminder, some additional items to be considered when assessing our full year 2015 results. We not only expect our adjusted EBITDA to reach around EUR235 million, but also our maintenance CapEx to represent circa 3.5% of total revenues. Our working capital change should tend to neutral, and both interests paid and tax paid for the second semester should be similar to the amounts paid in the first semester. And finally, Slide 20, just a reminder, Cellnex made highlights over the first semester 2015 [ph]. First, we have managed to show a strong performance in the Telecom Site Rental business based on organic growth and accretive acquisitions. Second, surrounding our broadcasting business have completely disappeared. Third, we have taken the first step of our future efficiency program with encouraging results as of today. Fourth, we keep generating cash with a strict controlling our CapEx. Five, we have successfully issued our [indiscernible] created a stable capital structure for the long-term at a competitive cost, we filed covenants. And finally, and as a result of a good performance, we have revised our full year 2015 adjusted EBITDA guidance to circa EUR 235 million.
And with this, I would like to open the line for answer your questions."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Operator","[Operator Instructions]  First Question comes from Nick Brown from Goldman Sachs.",11,"[Operator Instructions]  First Question comes from Nick Brown from Goldman Sachs."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Analysts","I got 3 questions please. Firstly, do you think it's possible to sustain your organic growth in telecoms you saw in the first half into the second half in 2016? And is this the main area where you're performing better than you originally expected? Secondl",124,"I got 3 questions please. Firstly, do you think it's possible to sustain your organic growth in telecoms you saw in the first half into the second half in 2016? And is this the main area where you're performing better than you originally expected? Secondly, following the IPO in Italy and the Telefonica with the 2 telecom, do you think it's still possible for you to participate in major M&A in these markets in the near-term? Or is your focus more in Spain at the moment? And lastly, is it reasonable to expect you can recover broadcasting revenues from the relocation of the 6 TV channel offices by the 1st of January 2016? Or could it taken till the end of the first quarter?"
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Executives","Okay. Let's start with the first question. First question was regarding organic growth in 2016. You are right when you say that the first semester of 2016 have shown a very strong organic growth. Hopefully, hopefully, we are working to sustain this organi",384,"Okay. Let's start with the first question. First question was regarding organic growth in 2016. You are right when you say that the first semester of 2016 have shown a very strong organic growth. Hopefully, hopefully, we are working to sustain this organic growth in the next semesters, but it's something that we cannot right now share to you. What we can tell you is that the company is fully, fully focused on organic growth and is trying to reach several agreements with different clients. And hopefully, we will be able to present to you some good results also in the next semesters. Regarding the second question, you talk about Telefonica in Germany. Let me tell you that Cellnex is focused on whole year, and there our some potential transactions that are visible and other that are not visible, and we are paying attention to all of them. And these non-visible potential transactions are not only focused on Spain, but also in other European countries. So again, the company is also working in this regard. And as you know, M&A in this field takes time, requires scouting, requires explaining very well to different stakeholders what the value of Cellnex can bring to the table. This takes time. But however, as you have been able to see our traffic, we commit and I'm pretty sure that we will be able to execute some transactions, maybe not all of them very visible right now. And also, let me remind you that perhaps it's very important to meet our investment criteria where goes. So it's not only a question of having a clear target, it's a question of meeting equity here of value creation for our shareholders, and at the same time, the visibility for our bondholders.
And finally, the third question was regarding broadcasting. As commented before, the deadline defined by the Spanish government as of April 2015. In time, the growth is on track. It's very difficult for me to tell you that we will have 1.75 multiplexes working from January 1 or December 1, 2015 or from February 1, 2016. It is extremely difficult. What I can tell you is that the company is fully prepared to bring back these revenues as soon as possible. And so far, this process is working very well."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Operator","Next question comes from Fernando Cordero from Banco Santander.",9,"Next question comes from Fernando Cordero from Banco Santander."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Analysts","I have 2 questions, and the first one is related with your financial performance during the second quarter, in which I believe the performance of the company can be in the second half, in that sense, I would like to know what is the EBITDA generated durin",136,"I have 2 questions, and the first one is related with your financial performance during the second quarter, in which I believe the performance of the company can be in the second half, in that sense, I would like to know what is the EBITDA generated during the second quarter? And the second question is related to the follow-up on the organic growth. Your financial ratio has increased in Spain in the first half. I mean, that's it, I would like to know, we have initiative from the tender or not the one-off, but the exploration we show for the rollout of some of the [indiscernible]. Do you believe that this activity in volume achieved has took place in the first half? Or is it still being in the second half or in the year 2016?"
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Executives","Fernando, I will try to answer both questions at the same time, because I think they are somehow related. As you say, yes, Fernando, the companies performing well as regards our clients and making the investments and are working well. But let me remind yo",266,"Fernando, I will try to answer both questions at the same time, because I think they are somehow related. As you say, yes, Fernando, the companies performing well as regards our clients and making the investments and are working well. But let me remind you a very important theme, Fernando. In terms of organic growth, the company not only depends on the deployment policy of the networks, but also on the decommissioning or rationalization propositions that we're working on. In the Slide #4, Fernando, we are raising a very important point. We are suggesting that currently, the company is working with several opportunities in both Spain and Italy that represent a potential of 2,000 towers to be decommissioned or rationalized in the next semesters. So I think that Cellnex is well prepared not only to benefit from M&A deployment full year deployment, but also from the rationalization or dismantling projects that we are working on. And your first question, Fernando, was in terms of the second term of the year. So I understand your question was from March to June 2015. I will say to you that this business is quite lumpy, okay? It is not a steady growth. When we talk to our clients, we take time until we are able to close some organic growth transactions, but this is quite lumpy. So for instance, you can have some terms in which you increase growth more than others. But however, talking about this semester of 2015, talking about this 4.5% of organic growth, I think that in the next terms of the result is sustainable."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Operator","Next question comes from Ottavio Adorisio from Société Générale.",9,"Next question comes from Ottavio Adorisio from Société Générale."
275401287,315530502,886727,"Cellnex Telecom, S.A., H1 2015 Earnings Call, Aug 04, 2015",2015-08-04,"Earnings Calls","Cellnex Telecom, S.A.","Analysts","I have a couple of questions, and it's actually both on Slide #4. The first is a follow up from the previous answer. It's on the rationalization project you mentioned. Now the 2,000 towers mentioned in the slides, I assume they're not towers that you oper",196,"I have a couple of questions, and it's actually both on Slide #4. The first is a follow up from the previous answer. It's on the rationalization project you mentioned. Now the 2,000 towers mentioned in the slides, I assume they're not towers that you operate, but towers of potential clients of yours, the decommissioned towers that bring PoPs to your network. But what sort of timeframe are we talking about? Are you talking about semester or semesters? And could you give us a sort of flavor in terms of what sort of the decommissioned cost would you bear for that and the sort of payback for these projects? The second question is related to the framework agreements. That's done with a bit of granularity. The first one is the on hand curtailment renewal, there is a EUR4 million of additional in revenues, so I assume that the rent has increased. And I was wondering if it's just because of recovery inflation, the increase due to more service provided or other factors? And the third is the wireless growth that we mentioned here. Is that a wireless operator or is it basically a different financial operator?"
