"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the Constellation Brands Third Quarter Fiscal Year 2015 Earnings Conference Call. [Operator Instructions] Thank you. I'll turn the call over to Patty Yahn-Urlaub, Vice President of Investor R",42,"Ladies and gentlemen, thank you for standing by, and welcome to the Constellation Brands Third Quarter Fiscal Year 2015 Earnings Conference Call. [Operator Instructions] Thank you. I'll turn the call over to Patty Yahn-Urlaub, Vice President of Investor Relations. Please go ahead."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Executives","Thank you, Lori. Good morning, everyone, and welcome to Constellation's Third Quarter Fiscal 2015 Conference Call. I'm here this morning with Rob Sands, our President and Chief Executive Officer; and Bob Ryder, our Chief Financial Officer. This call compl",168,"Thank you, Lori. Good morning, everyone, and welcome to Constellation's Third Quarter Fiscal 2015 Conference Call. I'm here this morning with Rob Sands, our President and Chief Executive Officer; and Bob Ryder, our Chief Financial Officer. This call complements our news release, which has been furnished to the SEC. During this call, we may discuss financial information on a GAAP, comparable, organic or constant-currency basis. However, discussions will generally focus on comparable financial results. Reconciliations between the most directly comparable GAAP measures and these and other non-GAAP financial measures are included in the news release or otherwise available on the company's website at www.cbrands.com.
Please also be aware that we may make forward-looking statements during this call. Although statements represent our best estimates and expectations, actual results could differ materially from our estimates and expectations. For a detailed list of risk factors that may impact the company's estimates, please refer to the news releases and Constellation's SEC filings.
Now I'd like to turn the call over to Rob."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Executives","Thanks, Patty, and good morning and happy new year to everyone. Hope everybody got a chance to enjoy some of our great products over the holiday with their family and friends. Welcome to our discussion of Constellation's third quarter fiscal 2015 sales an",1790,"Thanks, Patty, and good morning and happy new year to everyone. Hope everybody got a chance to enjoy some of our great products over the holiday with their family and friends. Welcome to our discussion of Constellation's third quarter fiscal 2015 sales and earnings results.
Before we get started with a review of the quarter, I believe it's worth noting that we posted another year of exceptional stock price performance with Constellation's stock increasing almost 40% for calendar year 2014. Now this is the third consecutive year that Constellation was one of the best performing stocks in the S&P 500 Consumer Staples Index. Our stock price has been on fire, increasing almost 400% during the 3-year time horizon beginning in calendar 2012. This tremendous stock price appreciation is being driven primarily by our beer business, which has incredible momentum and we believe strong potential for future growth. And we're making smart investments now to ensure that we have the quality, capacity, control and flexibility to help us meet demand for our iconic beer brands well into the future.
In addition to our ongoing brewery expansion in Nava, Mexico, we recently began implementing our multifaceted glass sourcing strategy, which includes the acquisition of ABI's state-of-the-art glass plant, which is located adjacent to our Nava brewery. The formation of a 50-50 joint venture with Owens-Illinois, the world's leading glass container producer to own, operate and expand the Nava Glass plant and the execution of a glass supply agreement with Mexican glass manufacturer, Vitro, which will begin to ramp up glass supply in fiscal 2016. Overall, we believe this comprehensive sourcing strategy provides an optimum solution for this essential component of our beer production process.
Our third quarter beer results are evidence of the great momentum we are currently experiencing for the business as we achieved depletion growth of 8% with strong underlying sales growth. These results are some of the best in the industry. In fact, Constellation's beer business generated the vast majority of total U.S. industry volume growth in IRI channels during the third quarter. We're growing both volume and dollar share of the industry at a time when overall beer growth is lackluster for the U.S. beer market. Our entire Mexican portfolio, including Corona Light, Pacifico, Negra Modelo and Victoria are all delivering strong growth, which is leading to record sales results, brand by brand, across the entire business.
Corona Extra continues to dominate as the #1 imported beer in the U.S., selling greater than 50 million more cases than the next closest import competitor and growing at the highest trend rate in years. These results are being driven by distribution growth, velocity gains and incremental marketing support, including the general market and Hispanic, Find Your Beach and Epic Moments advertising campaigns, as well as the return of the O Tannenbaum on English and Spanish language TV during the holiday season.
Modelo Especial how continues to perform beyond expectations and is expected to soon surpass Heineken across all channels as the #2 imported beer in the U.S. Continued investment in national Hispanic TV helped propel the continued growth of this brand, which posted consumer retail takeaway volume trends of more than 20% in IRI channels during the quarter.
Corona Light posted solid growth during the quarter driven by the continued success of Corona Light draft, which entered 3 new markets, as well as increased distribution for bottles and cans. Ongoing marketing support featured national football retail promotions, which helped merchandise the draft's format in the non-premise channel during football season. Overall, the strong shipment volumes of the beer business generated in the third quarter are the primary driver of the upward revision to Constellation's overall EPS guidance for fiscal 2015. Keep in mind that distributors also increased their inventory levels during the quarter in order to return them to more historical levels as well as to support the ongoing growth opportunities for our product portfolio going forward. As a result, the second time this year, we are increasing our fiscal 2015 forecast for the beer business and now expect beer sales to grow in the low teen range with operating profit growth of mid- to high teens.
From a brewery and operational perspective, all areas of brewery expansion are well underway with the project expansion on schedule from both a timing and budget perspective. Our second can line, which was installed in late summer, has become operational and is expected to significantly supplement our canned product availability as we continue to pursue this market opportunity. Major structural steel erection for the packaging building was completed on schedule in mid-December, and the remaining beer tanks were installed in the brewhouse in late November. We initiated investment activity for the recently announced $5 million hectoliter capacity expansion, and we have progressed with rail, logistics and site infrastructure additions resulting from this incremental capacity expansion.
Finally, the glass joint venture has ordered materials for the construction of the next glass furnace to be built on site at the newly acquired factory.
Overall, I am very pleased with the outstanding commercial and operational performance of the beer business. This has been driven by the dedicated efforts of our sales marketing and operations teams as well as our distributors who are collectively working together to deliver winning results.
And now I would like to focus on operational results for our wine and spirits business. During the third quarter, we achieved EBIT growth for the wine and spirits segment that is expected to drive results for the year at the upper end of the low to mid-single-digit guidance range that we previously provided. Our spirits business performed exceptionally well, posting sales growth of more than 25%. We began integrating the Casa Noble Tequila brand into our portfolio, and the brand is quickly gaining traction and beginning to contribute to our spirits business. The superpremium tequila is a fantastic fit with our business and helps us to attract new consumers as tequila and Mexican beer share similar drinking occasions, both on and off premise. We experienced excellent sales growth for our existing spirits brands during the third quarter driven by new flavor line extensions across our portfolio, including SVEDKA mango pineapple and strawberry lemonade as well as the recent introduction of Paul Masson Grande Amber Brandy peach flavor. In addition, we gained IRI volume and dollar share off the 3 spirits categories that represent our market participation, including imported vodka, Canadian whiskey and brandy.
From a wine perspective, outside the U.S., our Canadian business posted solid third quarter results, although our international business was negatively impacted by a decline in both wine sales and economic disruption in Eastern Europe. In the U.S., although the U.S. wine industry remains healthy overall, we have seen a bit of a slowdown in the market growth rates we anticipated when we set our original estimates earlier this year. Thus, our third quarter U.S. wine results did not meet our growth expectations. In addition, the positive mix trends that we anticipated earlier this year have not reached targeted levels as our premium priced products are growing faster than our superpremium and above products. This has resulted in U.S. market share dollar erosion, especially in the superpremium price segment, which remains highly competitive and currently generates much of the U.S. wine category growth. However, we have gained share in the important premium and ultra-premium price segments of the market, and we are working diligently to ensure our portfolio remains relevant and top of mind to consumers at all key price segments. For example, the wine consumers' willingness to experiment with new brands and flavors over the last several years has opened a key opportunity for innovation and new product development. And although our recent new product development initiatives have seen mixed results, we remain committed to innovation and have launched an enterprise-wide product development process review to improve our results in this area and increase the success rate of our new product pipeline. In addition, we are currently initiating or expanding product releases in the U.S. for new wines such as PopCrush, Tom Gordon Vineyards, Jailbreak, Watchdog and early launch results for these brands are quite positive. We know, however, that the success of innovation cannot come at the expense of the health of our established brands. As such, we have plans in place to concentrate our efforts on an important subset of our focus brands in order to drive key brands that are mix- and margin-accretive, have scale and growth momentum.
Although our U.S. wine business is not expected to achieve its expected market dollar share goals for the year, as we are falling short of our initial expectation for volumes and depletions, we believe the hard work and significant accomplishments we have made throughout the last few years have favorably positioned the business going forward. We have negotiated the majority of our exclusive U.S. distributor arrangements, which include improved performance metrics and incremental incentives that are expected to benefit Constellation and enhanced wholesaler and retailer execution. We continue to experience solid depletion growth for a number of our fast-growing wine brands, including Kim Crawford, Ruffino, Black Box and The Dreaming Tree. And I would be remiss if I did not highlight recent awards and accolades for some of our key wine brands. MarketWatch Magazine recently awarded the Best New Wine Product of 2014 honor to Thorny Rose. Constellation Brands received 24 medals across the portfolio at the 2014 Somelier Challenge International Wine Competition. Inniskillin Midol 2012 reached a 99-point score and wine of the year, while Ruffino received 7 medals, including best-in-class distinction, and 96 points for the 2011 Ruffino Modus. Woodbridge by Robert Mondavi was featured in the Best Buy section of the November issue of Wine Enthusiast buying guide, while Robert Mondavi, Napa Valley, Cabernet and Robert Mondavi 2012 Pinot Noir Reserve both received 90-point scores. These awards and accolades are a great reminder of the exceptional quality and strength in our portfolio of wines.
In closing, the strong commercial and operational performance of our beer business is driving significant contributions to our overall sales, profit and cash flow results. We are working diligently on the Nava brewery expansion in Mexico, and we've begun to execute our new glass sourcing arrangements, while maintaining the strong momentum of the beer commercial business. We have a great premium wine business, and plans are in place to work through the current set of challenges we are facing. And I am especially gratified by the fact that Constellation was one of the best-performing S&P 500 Consumer Staples Stocks for the third consecutive year.
And now I'd like to turn the call over to Bob for a financial discussion of our third quarter results."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Executives","Thanks, Rob. Good morning, everyone. Our comparable basis diluted EPS for Q3 came in at $1.23. That's a 12% increase versus Q3 last year. We continue to see robust marketplace momentum for our beer business with depletion growth of 8%. This result was in",1192,"Thanks, Rob. Good morning, everyone. Our comparable basis diluted EPS for Q3 came in at $1.23. That's a 12% increase versus Q3 last year. We continue to see robust marketplace momentum for our beer business with depletion growth of 8%. This result was in line with our 8% depletion growth performance year-to-date and our high single-digit depletion growth target for full year fiscal '15. As expected, we saw a shift of approximately 2 million cases to wholesalers from the second quarter into the third quarter as a result of the previously discussed Corona Extra recall activities. This translated into a benefit of about $37 million of net sales and $0.06 of diluted EPS for the quarter. Even after excluding this benefit, beer shipment volume growth came in ahead of depletion growth during Q3 as distributors increased their inventory position during the quarter to be more in line with historical levels and to be better positioned to capture growth opportunities going forward. As a result of this activity, for fiscal '15, we now expect beer segment net sales growth to be in the low teens range versus our previous estimate of about 10%.
Operating income growth for the beer segment is now expected to approximate 30% for fiscal '15. When factoring in an estimated full year of brewery profit for fiscal 2014, underlying operating income growth for the beer segment is expected to be in the mid- to high teens range. We still anticipate the full year operating income margin for beer to approximate 32%.
While net sales performance for wine and spirits was somewhat muted during Q3 for the reasons Rob mentioned earlier, EBIT primarily benefited from lower COGS. For fiscal '15, we see net sales for wine and spirits tracking towards the low end of our low to mid-single-digit range and EBIT at the high end of low to mid-single-digit range. Due to the factors just mentioned, we're increasing our fiscal '15 comparable basis EPS outlook to $4.25 to $4.35 a share versus our previous range of $4.10 to $4.25 a share. Our comparable basis guidance excludes unusual items which are detailed in the release.
Given those highlights, let's look at Q3 performance in more detail. And my comments will generally focus on comparable basis financial results. As you can see from our earnings release, consolidated net sales for Q3 grew 7%. Beer net sales increased 16% primarily due to volume growth. Excluding the impact of the recall activity that I outlined earlier, net sales increased 11%. Wine and spirits net sales on a constant-currency basis were even with the prior year quarter. This primarily reflected higher spirits volume offset by lower wine volume, higher promotional spend and lower bulk wine net sales. For the quarter, consolidated gross profit increased $59 million, primarily due to the higher volume for the beer business and favorable cost of goods sold for wine and spirits.
Our consolidated gross margin increased just over 1 percentage point to 43.5% for the quarter, primarily due to the favorable COGS and reduced bulk wine sales for the wine and spirits business.
SG&A for the quarter increased $18 million. The increase was primarily due to higher SG&A for the beer business. Due to factors just mentioned, Q3 consolidated operating income increased $40 million and consolidated operating margin improved 90 basis points.
Equity earnings increased $3 million due to the strong results for our Opus One joint venture. Interest expense for the quarter was $86 million, down 4% versus Q3 last year. This decrease is primarily due to lower average interest rates. That provides a good spot to discuss our debt position. At the end of November, our total debt was $7.3 billion. When factoring in cash on hand, our net debt totaled $7.25 billion, an increase of $295 million since the end of fiscal '14. During Q3, we issued $800 million of senior notes consisting of $400 million of 3.875% notes due 2019 and $400 million of 4.75% notes due 2024. Our strong credit and financial profile, combined with the favorable interest rate environment, helped us execute this attractive financing activity. Part of the proceeds from the notes issuance was used to redeem $500 million of 8.375% notes during the quarter. We still expect interest expense to be in the range of $345 million to $355 million in fiscal '15.
Our effective tax rate for Q3 came in at 29% and compares to our 28% rate for Q3 last year. We continue to expect that our full year fiscal '15 comparable basis tax rate will approximate 30%.
Now let's discuss free cash flow, which we define as net cash provided by operating activities less CapEx. For the first 9 months of fiscal '15, we generated $209 million of free cash flow compared to $543 million for the same period last year. Operating cash flow for the first 9 months of the year totaled $750 million versus $629 million for the prior year period. This increase was primarily due to the benefits generated by the beer business. CapEx for the first 9 months of fiscal '15 totaled $541 million compared to just $86 million last year. CapEx for the beer segment totaled $435 million and is primarily related to the brewery capacity expansion. For fiscal '15, we continue to expect free cash flow to be in the range of $275 million to $350 million and CapEx to be in the range of $725 million to $775 million. Our CapEx projection includes $600 million to $650 million of CapEx for the beer segment. As a reminder, we hedge certain commodities in the energy and agricultural categories. These commodity derivatives generally do not qualify for hedge accounting treatment. As a result, mark-to-market gains and losses on hedge contracts flow through our GAAP income statement. We exclude these mark-to-market gains and losses from our comparable earnings. At the time that a commodity contract is settled, a gain or losses allocated to the appropriate business segment for reporting and will be included in our comparable earnings. This approach is in line with others in the consumer space. For Q3, there was a $20 million loss from this activity, which was primarily driven by the mark-to-market on diesel fuel contracts.
Before we start taking your questions, I'd like to note we are very pleased with how fiscal '15 has progressed so far, and we believe we are well positioned as we head toward the completion of another phenomenal year for Constellation. Our wine and spirits business is on track to generate solid EBIT growth for the year, while our beer business has tremendous momentum in the marketplace, growing well ahead of the total U.S. beer category. We're also pleased to have begun advancing efforts around our beer glass sourcing strategy with the recent formation of the 50-50 joint venture with Owens-Illinois and the JV's acquisition of the Nava glass plant. In addition, our beer production capacity expansion efforts continue to progress as planned. The glass sourcing and capacity expansion initiatives will position us to support the momentum and significant growth opportunity we see for our beer segment.
With that, we're happy to take your questions."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Nik Modi of RBC Capital Markets.",16,"[Operator Instructions] Your first question comes from the line of Nik Modi of RBC Capital Markets."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Analysts","So 2 questions for me. Just Bob, on the wine side, I mean, you had really good margin expansion. Obviously, volumes were a bit light. I'm just curious, did you make a concerted decision to really prioritize margin over volume and that we should expect kin",90,"So 2 questions for me. Just Bob, on the wine side, I mean, you had really good margin expansion. Obviously, volumes were a bit light. I'm just curious, did you make a concerted decision to really prioritize margin over volume and that we should expect kind of over the next 12 to 24 months? And then the last question is just, if you can give us some updated thoughts on debt to EBITDA continues to migrate towards your target? How should we be thinking about cash flow distribution to shareholders?"
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Executives","Sure. On -- as you saw, we did have a good beer margin -- I'm sorry, wine margin performance in the quarter, and we expect that to continue for the full year. As you know, we just changed our guidance to be at the low end of sales growth, the high end of",340,"Sure. On -- as you saw, we did have a good beer margin -- I'm sorry, wine margin performance in the quarter, and we expect that to continue for the full year. As you know, we just changed our guidance to be at the low end of sales growth, the high end of EBIT growth, which means that we'll see margin expansion this year. On a long-term basis, we still expect the wine segment to maintain margins. I think there was some positive outcomes this year, mostly around cost of goods sold, which are really helping recover margins from the last few years' erosion. But I wouldn't expect big margin expansion in wine -- in the wine segment going forward, but I do expect to at least maintain margins. And I think around EBITDA and free cash flow, we continue to -- as you know, we're spending a ton of money in the beer segment, which we're quite happy to do because the return on capital in that segment is north of 40%. So it's a very quick payback, and the EBITDA growth of the total company will be growing well in excess of the capital spending growth, even though capital spending is going up so much. And again, a lot of that is driven by the beer segment, phenomenal EBITDA growth there. And I think in line with what we've been saying over the last 2 years, as we have pretty good visibility to getting our EBITDA leverage below 4x, I would say that the #1 agenda item for use of free cash flow is returning it to shareholders and probably at the top of that list, would be an initiation of a dividend. We're one of the few people certainly with our financial profile and in beverage, alcohol and consumers, in general -- consumer products in general that don't have a dividend. And we're quite confident that this really good free cash flow generation will continue. So we'll probably be looking for dividend in the very near future."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Analysts","Great. And just real quick follow-up on that dividend point. When you think about initiation, are you thinking about something nominal to begin with? Or do you think you can go closer to the payout ratio that you guys from the get-go, just given the free",52,"Great. And just real quick follow-up on that dividend point. When you think about initiation, are you thinking about something nominal to begin with? Or do you think you can go closer to the payout ratio that you guys from the get-go, just given the free cash flow generation of the company?"
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Executives","Yes, I think we're still studying it. We're still taking some good outside advice, but I would probably expect us to start on the lower side in order to give us a lot of room for increases, but we look at the normal things like payout ratios. And because",100,"Yes, I think we're still studying it. We're still taking some good outside advice, but I would probably expect us to start on the lower side in order to give us a lot of room for increases, but we look at the normal things like payout ratios. And because we expect our EBITDA to grow behind -- mostly behind beer, to grow so robustly over the next few years, right, if you kind of set a payout ratio and net income keeps growing up, we should have room to increase it, but we probably start out at the lower end."
258589,279701680,743885,"Constellation Brands Inc., Q3 2015 Earnings Call, Jan 08, 2015",2015-01-08,"Earnings Calls","Constellation Brands, Inc.","Operator","Your next question comes from the line of Bryan Spillane of Bank of America.",14,"Your next question comes from the line of Bryan Spillane of Bank of America."
