"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Operator","Ladies and gentlemen, good morning, and welcome to the Fourth Quarter 2014 Earnings Release Conference Call for FMC Corporation. [Operator Instructions] I'll now turn the conference over to Ms. Alisha Bellezza, Director, Investor Relations for FMC Corpora",42,"Ladies and gentlemen, good morning, and welcome to the Fourth Quarter 2014 Earnings Release Conference Call for FMC Corporation. [Operator Instructions] I'll now turn the conference over to Ms. Alisha Bellezza, Director, Investor Relations for FMC Corporation. Ms. Bellezza, you may begin."
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Executives","Thank you, John. Good morning, everybody, and welcome to FMC Corporation's Fourth Quarter Earnings Call. With me today are Pierre Brondeau, President, Chief Executive Officer and Chairman, who will review our quarter performance and business segment resul",214,"Thank you, John. Good morning, everybody, and welcome to FMC Corporation's Fourth Quarter Earnings Call. With me today are Pierre Brondeau, President, Chief Executive Officer and Chairman, who will review our quarter performance and business segment results and provide insights into our 2015 outlook; and Paul Graves, Executive Vice President and Chief Financial Officer, who will present select financial results. Following his comments, we will be joined by Mark Douglas, President, FMC Agricultural Solutions; Ed Flynn, President, FMC Minerals; Eric Norris, Vice President and Business Director, FMC Health and Nutrition; and Thomas Newberger, Vice President and Global Business Director of FMC Lithium, to address your question. 
Today's discussion will include forward-looking statements that are subject to various risks and uncertainties concerning specific risk factors, including but not limited to those factors identified in our release and in filings with the Securities and Exchange Commission. Information presented represents our best judgment based on today's information. Actual results may vary based upon these risks and uncertainties.
Today's discussion will focus on adjusted earnings for all income statement and EPS references. A reconciliation and definition of these terms, as well as other non-GAAP financial terms that we may refer to during today's call, are provided on our website.
I will now turn the call over to Pierre."
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Executives","Thank you, Alisha, and good morning, everyone. Before I begin, I would like to take a moment to introduce Eric Norris and Tom Schneeberger, both named to their positions recently. Each has held leadership positions across multiple businesses within FMC an",2591,"Thank you, Alisha, and good morning, everyone. Before I begin, I would like to take a moment to introduce Eric Norris and Tom Schneeberger, both named to their positions recently. Each has held leadership positions across multiple businesses within FMC and bring a wealth of experience to these roles. We are confident even their successful track record that they will provide the right leadership for the Health and Nutrition and Lithium businesses. Now I would like to start with some comments on market conditions in the fourth quarter.
In Agricultural markets, we saw difficult market conditions in Brazil during the fourth quarter, including weak demand in the sugarcane and cotton and high channel inventories in all areas. Acres were planted much later than normal during the season and resulted in lower-than-expected demand for crop protection products, particularly for cotton.
Together, this led to weaker performance in Brazil than the previous year quarter. In other parts of Latin America, markets remained strong, especially in Mexico and Argentina. Mexico is currently benefiting from increasing demand for vegetable export and a government program to invest in agriculture.
Argentina now grows the third largest soybean crop globally, and I'm glad to say resistance continues to spread. This is leading to continuing demand growth for FMC's pre-emergent herbicide. In North America, we saw stronger demand for herbicide that address wheat resistance issue in soybeans and rice, and reduced demand for corn focused quarter. This is consistent with third-party expectation that soy acres will be larger than corn acres in 2015. We expect to get more information on the extent of this trend when the USDA perspective planting report is issued later this month. 
Most Asian markets were stronger, but results were reduced by the impact of currency translation, as most regional currencies weakened against the dollar. We saw underlying demand growth in China, Indonesia and India, although Australia continued to be affected by drought conditions.  
Crop protection markets in Europe remained solid with stable acreage in oilseed rate and cereals. Coming off a strong growing season and supported by moderate winter condition, demand for herbicides remained steady in the fourth quarter.
In Health and Nutrition, we saw demand in Asia and especially in India driving increased pharmacy growth experience volumes. Demand for texture and stability solutions in North America was greater than the previous year. However, the Chinese beverage market continued to be soft.
Market conditions for lithium products were weak. Demand for butylithium softened during 2014 with a decision by a large European customer to change its process and no longer use butylithium. However, demand for this product in other application is increasing. Lithium demand for energy storage application continues to grow at double-digit rates. This has lead to a tightening in some segments and created for more favorable pricing environment, especially for Lithium hydroxide. We also saw some tightening in carbonate supply and demand, which we expect will also lead to favorable year-over-year pricing.
Currency volatility was a factor in the fourth quarter. Paul will provide more details on this, but it was a net headwind in the quarter, mostly in ag business. In light of these factors and market conditions, in the fourth quarter, FMC generated $1.1 billion in revenue, a 3% decrease over the same quarter last year. Adjusted operating profit increased to $203 million, a 6% increase compared to last year, and adjusted EPS was $1.12, an increase of 7% over last year. This includes an $0.08 benefits from tax adjustments that Paul will explain further.
Today, as we review that segment performance for the fourth quarter 2014, I will provide a view into each segment's earnings outlook for the full year 2015. I will also comment on some of the factors that will influence first quarter performance.
With that, I will now turn to segment results. Fourth quarter sales in Agricultural Solutions were $627 million, a 7% decrease over last year's record fourth quarter. Segment earnings were $130 million, down 5% over last year. As I already mentioned, this performance was primarily due to slower demand in Brazil. Specifically, delete planting and lower cotton acreage reduced insecticide and herbicide volumes. 
In sugarcane, conditions remained weak despite improvement from earlier in the year. The rapid industry-wide slowdown highlighted the elevated levels of inventory in multiple channels in Brazil, and these contributed to increased pricing pressure and softer volume across all segments. We continued to see positive momentum with increased penetration in soybean. Importantly, we reduced our sale in low-margin, third-party product contributing to an improved EBIT margin in the quarter. 
During the quarter, we saw higher demand for our products in Argentina, Mexico and North America. Similar to what we saw in the third quarter, our joint venture in Argentina successfully gained share in key markets. This was especially the case in soybean, as the need for residual herbicide, such as our authority brands, continue to expand.
In Mexico, as I mentioned, the increase of vegetable export has led to higher demand for insecticide and fungicide products. The peso devaluation has stimulated demand for growers to produce more for U.S. exports. 
As you are aware, fourth quarter sales in North America are mainly anticipation of the next growing season. In the quarter, as expected, we sold higher volume of 3 emergent herbicides for soybeans, which was offset by lower year-over-year demand for corn insecticides. Earlier this week, we announced the acquisition of a new key ingredient originally discovered by Kumiai Chemical. For the year, we collaborated with Kumiai developing this important molecule. It is one of the platform chemistries, and we are very excited by its potential. We look forward to providing additional insight as part of our R&D review at our Investor Day. 
As we look at the market for 2015, current data, such as the growers in both North America and Latin America, will favor planting soybeans over corn to derisk their field. As current rent prices and with stocking use at high levels, we are likely to see pricing pressures global for some crop protection products. In light of this, we believe that global ag end markets are likely to be flat to slightly lower in 2015.
Without a catalyst to change the currency pricing environment, markets could remain flat into 2016. For FMC, this is a significant opportunity to outperform the market and our competitors as we take advantage of the Cheminova integration to reduce operating costs, separate innovation and develop and deliver new revenue synergies.
Now looking at the 2015 at market by region. In Brazil, drier than normal condition delayed the past planting season for soy and cotton growers, leading to high inventory throughout the distribution channel. The ease elevated levels will certainly be a factor in the first half of the year as growers work to excess stocks. There was an increase in soybean planted area, and we expect this trend to continue this year. However, total area was reduced by nearly 10%, and we anticipate the area to remain flat.
Weather conditions for sugarcane was better, have not yet returned to optimal conditions and the company environment remained high. Government action on ethanol and gasoline prices will play an important role in improving sugarcane economics serving as a potential demand steals. As a result, a slow recovery is expected to take place over the year in this market. 
Continuing pest pressures and resistance, along with previously mentioned additional soybean acres, will offset some of the slower demand. Overall, the Brazil crop protection chemicals market is expected to be broadly flat versus last year with a slow first half as the industry works down channel inventory levels.
Planting intention in the United States suggest additional acres of soybean will be planted at the expense of corn and cotton acres. Wheat resistance remains a growing concern both soy and corn acres and will drive additional demand for selective residual herbicide. As in other regions, we expect fungicide and insecticide to see the most pressure during 2015 growing season. Taking this together, the market in North America is expected to be down mid-single digits.
In EMEA, acreage is expected to remain stable in cereals and oilseed reap markets. Conditions in 2014 were exceptional and lead to a record year for the crop protection market. In light of last year's performance, the industry expects normal mode condition in 2015, and excluding the impact of currency, this market is expected to be down low single-digit percent compared to a very strong 2014.
In Asia, we expect increased demand for crop protection products in most markets. The potential for a better monsoon season is providing optimism for 2015 performance. The rice acres in the region are expected to remain stable to last year, but are expected to use additional crop protection products to maintain yields. Cereal acreage is also expected to be consistent with last year. Across the region, crop protection is expected to be up low single-digit percent, excluding the impact of currency. Let me now comment on how these market characteristics will affect FMC.
First, we are on track to close the Cheminova acquisition within this quarter. Our integration plans are ready, and we will aggressively begin implementation as soon as we close. However, we will have no more than one month of combined operations during the first quarter. Our revenue and cost synergies will be a top priority as we accelerate integration efforts. As such, we expect a strong progression of earnings contribution as the year advances.
For the first quarter, we expect a slow start to the year. North America is expected to be flat to last year with higher herbicide demand, offset by reduced insecticide sales. EMEA and Asia are also expected to be flat to last year with some growth coming later in the year. And as I said, we do not expect the acquisition to provide meaningful benefits until 7 [ph] quarter. As a result, we expect the challenging first quarter in the Ag Solutions segment.
For the full year, continued spread of wheat resistance in North America and Latin America and market share gains in Asia and EMEA will offset pricing pressures and provide training growth to our core business. We will supplement that with a disciplined approach to discretionary spending. In addition, as we target and aggressively realize the cost and revenue synergies, along with earnings contribution for Cheminova, we expect to deliver full year segment earnings 15% to 30% higher than 2014.
Now turning to Health and Nutrition. Fourth quarter segment revenues of $192 million increased 1% and operating profit of $44 million was 9% higher than last year. Revenue growth was partially offset by the depreciating euro. Earnings growth was driven by a favorable product mix and benefits for restructuring programs initiated earlier in the year. These were partially offset by increased raw materials, mainly seaweed. In the quarter, demand in pharmaceutical end market remained solid, specifically demand for brand was steady to last quarter and well above last year. This demand continues to be centered in India, a market that support generic tablets production for Western use.
Similar to last quarter, our Nutrition profitability benefit from changes to the real mix of food ingredients sold. In North America, higher volume of texture and stability solutions partially offset a slower demand for beverage producers in China. Underlying demand for pharmaceutical grade omega-3 is demonstrating favorable trends while demand for nutrition called products remained weak. We continue to focus our strategy toward the high concentration application
In the quarter, we launched a new restructuring initiative to improve operational efficiencies and streamline the footprint we acquired over the past few years. We anticipate that implementation will be spread over the first 3 quarters of 2015. Our previous Manufacturing Excellence programs have delivered benefit that expect to replicate in Health and Nutrition. 
Additionally, a part of this program, we have decided to delay the current MCC plant's opening and add flexibility to the facility. Recognizing the increased demand for pharma excipients in India and weaker beverage market conditions in China, we believe adding pharmaceutical processing capabilities to a time plant provides greater, long-term flexibly to serve our customer base. We will update you on these restructuring plan at our Investor Day and throughout the year.
For 2015, we expect demand to have similar patterns as in 2014, including increased demand in health markets, particularly in India, and higher demand for nutrition products in North America. In the Chinese beverage market, we expect some recovery will lead to increased colloidal MCC volumes, although we do not expect a rapid return to demand levels seen prior to the slowdown. As a result, we expect segment earnings for the year to be up mid single-digit percent over 2014.
First half performance will be impacted by recent condition in the North Sea, which prevented seaweed harvesting and lead to an unplanned outage of alternate production. This has resulted in sales delays due to lack of available product. Combined with the softness of quarter MCC in China that we have mentioned already, we're expecting Health and Nutrition first half performance to be flat versus the same period last year. And now let me review Minerals.
Fourth quarter segment revenue of $274 million increased 4% and operating profit of $48 million increased 32% versus the same period last year. Recalled production due to Manufacturing Excellence initiatives delivered volume and efficiency gains in alkali. Higher soda ash pricing and improved operations in both alkali and lithium led to increased profitability over the fourth quarter of 2013.
In Alkali Chemicals, revenue of $204 million increased by 7% over the previous year quarter. Higher realized pricing, favorable spread and logistic adjustment and additional manufacturing volume generated higher sales and profitability.
In Lithium, sales of $69 million were 3% lower than the previous year quarter, mainly related to product mix, including the previously mentioned loss of a European butylithium customer. Pricing for lithium hydroxide largely used in electric vehicle batteries was higher than the fourth quarter of 2013. And we were pleased that the business generated an operating margin in the low teens percent in 2014.
However, during the second half of 2014, the business became more difficult to operate in Argentina as we're enable to counteract increasing cost trends.
In 2015, we expect supply and demand for energy storage application will continue to support a favorable pricing environment for lithium hydroxide and carbonate. However, adverse currency conditions and escalating operating costs in Argentina are expected to be significant headwind to earnings. As such, Lithium segment earnings are expected to be in the range of $15 million to $25 million for the full year. We are taking all actions in our control to reduce costs as much as possible, but Argentina remains a difficult place to operate.
Before I turn the call to Paul, let me comment briefly on the status of the Cheminova transaction. We have received all recorded regulatory approvals except 2 countries. We believe those approvals will be promptly and will allow us to close before the end of the first quarter. We were very pleased to announce the sale of Alkali to Tronox earlier this week for $1.64 billion, a multiple of 9.4x 2014 EBITDA. We launched the sale process in November, and we're extremely pleased with the level of interest. It was a very competitive process reflecting the high quality of the Alkali business, and we know that Tronox will be a great owner. I'll now turn the call over to Paul to cover financial highlights."
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Executives","Thanks, Pierre. Let me start with the review of cash flow. We finished the year with cash from operations before all separation and M&A-related spending of approximately $470 million, an increase of 24% compared to 2013. With CapEx and spending on discont",1195,"Thanks, Pierre. Let me start with the review of cash flow. We finished the year with cash from operations before all separation and M&A-related spending of approximately $470 million, an increase of 24% compared to 2013. With CapEx and spending on discontinued operations both lower than 2013, our free cash flow before the separation and M&A-related spending was more than double that of 2013 at approximately $200 million.
After accounting for all other demands on cash, including net M&A spending, dividends and separation and transaction-related expenses, our net debt at December 31 was $160 million lower than a year earlier. While we're pleased to have increased our cash flow in 2014, we believe we can do much better and we continue to focus on trade working capital and capital spending as near-term drivers to improve free cash flow. Working capital consumed approximately $200 million of cash in 2014, which was about $50 million less of that in 2013. This was largely due to a higher collection of prepayments for our North American ag solutions business compared to 2013, a good signal of 2015 demand.
Despite this Agricultural Solutions business and Brazil in particular remains the primary consumer of working capital. We continue to focus on the Brazil credit environment, and we're pleased with our collections during the fourth quarter. The balance remains higher in Brazil than recent years, and we continue to take a very disciplined approach to credit extension and collections. We expect working capital to remain broadly flat across all businesses in 2015.
And moving on to capital spending. Our total cash outflow and CapEx was $225 million, essentially flat to 2013, as we completed certain projects under budget and reduced our spending for other projects. For 2015, after removing the spending for Alkali, but including estimates for Cheminova, we expect total operating CapEx to be within a range of $150 million to $175 million for the year. And in the next couple of months, we expect to receive just over $1.1 billion in proceeds from the sale of Alkali, net of all taxes and fees.
A brief comment on our tax rate. Our underlying adjusted tax rate in 2014 was approximately 24.5%, basically flat to last year and slightly better than we forecasted. This was due largely to benefits from geographic mix of earnings with a larger proportion of our earnings taking place outside the high tax countries of the U.S. in Brazil than forecast, as well as of the renewal of the U.S. R&D tax credit for 2014 late in December.
The full year rate also benefited from one-off discrete items that were primarily a result of year-end revaluations of various tax balances using actual year-end exchange rates. These items reduced the full year rate by 160 basis points and the full benefits of this was seen in the fourth quarter, as we completed our year-end true up. The effect amounted to approximately $0.08 per share benefit for the quarter versus our expectations. We have again provided a full resolution of our tax rate in a separate note in our earnings release schedules.
In 2015, our underlying adjusted tax rate is expected to be between 25% and 27%. The loss of certain tax deductions we were able to take as part of the Alkali operations, combined with the lack of an R&D tax credit being passed for 2015, are the primary drivers of this increase in our underlying tax rate. However, the highest foreign exchange volatility that we foresee will mean that our reported tax rate in any quarter is likely to become more volatile in 2015.
And I'm moving on to the impact of foreign exchange rate movements. In 2014, the net impact of foreign currency movements on our reported EBIT was approximately $20 million or $0.11 per diluted share. This consisted of a mix of transaction, translation and hedging cost impacts. Agricultural Solutions carried most of these costs in its segment results. The largest countries we your exposure to the euro, the Brazilian real, the Chinese renminbi, followed by the Argentine peso and various Asian currencies. And we expect most of these to continue to exhibit greater volatility relative to the dollar in 2015.
In 2015, the impact of the strengthening dollar will be mixed for FMC, but the most basic level sales we make in currencies to devalue will be lower in U.S. dollar terms, putting pressure on sales growth when reported in U.S. dollars. This is especially the case in our Health and Nutrition and Cheminova businesses, given their relatively large euro exposures.
However, we also have a significant cost base in Europe, meaning, the impact on our earnings will be far more limited than the impact on revenue. Equally important, we expect those products we manufacture in Europe for export to the U.S. will have a lower cost in U.S. dollar terms.
In Brazil, a devaluing reais is generally positive to our business, although there's no doubt it is likely to influence some of the dynamics of our operations there. We price and invoice largely in U.S. dollars and our customers receive the vast majority of their revenues in U.S. dollars. However, growth is typically incur half or more of their total expenses in reais. This clearly proves the profitability of growers in reais teams partially shielding them from the depreciation in global agricultural crop prices and creating an incentive to incur more costs locally where possible.
With increased volatility and exchange rates, we expect to see higher cost of hedging in 2015 for all major currencies. Unlike in prior years, we are not providing a formal full year EPS guidance with our earnings today. However, based upon the best judgment we have right now, we expect 2015 earnings to be in the range of $3.50 and $3.90 per share. To place this in the context of 2014 earnings, let me provide a bridge between the 2014 EPS and the midpoint of this range.
First of all, the addition of 10 months of Cheminova earnings, including synergies, growth in the earnings contribution from our current ag, Health and Nutrition and Lithium businesses, and the loss of the Alkali earnings, will collectively reduce EPS by $0.10. Increases in corporate costs primarily due to higher expected incentive payments will be a headwind of a further $0.07, and higher interest expense will reduce EPS by $0.06.
Finally, a tax rate higher than the unusually low rate we saw in '14 will reduce EPS by an additional $0.12 per share. This bridge is centered on the mid-point of a range, which itself is much wider than we typically provide. This is largely due to the impact that the timing of the Cheminova close has upon our ability to accurately forecast our Ag business today, especially in respect to the calendarization of Cheminova earnings and the timing synergy realization. 
In addition, the delay in the closing has prevented us from spending time with Cheminova management to understand their latest expectations for 2015, a process that is critical for us to complete before we can provide detailed full year and quarterly guidance.
With that, I will pass the call back to Pierre."
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Executives","The conditions we are seeing in the agricultural markets today do not change our excitement about the prospect for our business. Agricultural solutions will continue its focus on innovation and technology and its ongoing investment in market access initia",303,"The conditions we are seeing in the agricultural markets today do not change our excitement about the prospect for our business. Agricultural solutions will continue its focus on innovation and technology and its ongoing investment in market access initiatives. The acquisition of Cheminova enhances our business, provides greater balance to our portfolio, broadens our geographic reach and accelerate our innovation efforts. 
Our Health and Nutrition business continues to demonstrate the strength of our franchise with high-margin and flexible growth. We expect manufacturing excellence programs will deliver additional upside, reinforcing our confidence in the prospect for this business.
In Lithium, underlying demand patterns remain attractive, and market dynamics suggest we will see increased pricing opportunities in the coming years. We will continue to manage our assets in order to maximize returns from the downstream market, where we have a leading position, and we will continue to drive operational excellence as a true to help offset cost inflation in our Argentine operations.
Today, we are demonstrating progress toward a portfolio focused on agricultural, Health and Nutrition end markets. The attractive price we achieved in the Alkali sale will allow us to pay down Cheminova acquisition debt more quickly. And the benefit we will deliver from revenue and cost synergies from Cheminova will ensure our earnings growth outperforms the broad Ag market.
Across all of our businesses, 2015 will be an important year for FMC. Although we recognize that near-term visibility is muted, we remain very excited about our prospect to 2015 and beyond.
I look forward to seeing you in April to provide more detail on the plans that we are putting in place and to provide more guidance on both near-term performance and the long-range vision we have for FMC. Now I will turn the call over to the operator for questions. Operator, please?"
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Operator","[Operator Instructions] Our first question is from the line of John McNulty with Crédit Suisse.",15,"[Operator Instructions] Our first question is from the line of John McNulty with Crédit Suisse."
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Analysts","This is Rob in for John. So on Ag earnings guidance for 2015, could you parse out what you expect earnings growth to be for your business versus the growth from acquisitions, assuming 10 months of Cheminova that you guys are expecting currently?",43,"This is Rob in for John. So on Ag earnings guidance for 2015, could you parse out what you expect earnings growth to be for your business versus the growth from acquisitions, assuming 10 months of Cheminova that you guys are expecting currently?"
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Executives","Yes. So for the -- if you look at for the overall business, including the acquisition, we give a pretty broad range of 15% to 30%. And as Paul said in his message, it is mostly due to the timing of closing and also due to the calendarization. And what we",218,"Yes. So for the -- if you look at for the overall business, including the acquisition, we give a pretty broad range of 15% to 30%. And as Paul said in his message, it is mostly due to the timing of closing and also due to the calendarization. And what we mean by calendarization, you know that Cheminova is much larger in Europe than FMC is. And Europe is a first quarter beginning of second quarter market. So you could have a very large amount of sale shifting in between February, March and April. And today, we don't really know where they are. In fact, rules forbid us to look at what Cheminova is doing. So we have no visibility how their sales are unfolding within those 3 months. And if they are being in February, they will most likely be lower in March, or they could be already in March and April. So that creates a very large range for us. The underlying business, as we see it today, if we think about operating within a flattish or low single-digit market globally, we would see our business in the low single-digit positive growth. That's where we would be. We'd be seeing the core underlying business. The 2%, 3% range will be something, which we'd expect to see."
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Analysts","Okay, great. And then just following up. What are the major swing factors in the Ag business that would cause you to come in on the low end of the range versus the high end? Is it all the time of Cheminova? Or is there possibility that the core business c",63,"Okay, great. And then just following up. What are the major swing factors in the Ag business that would cause you to come in on the low end of the range versus the high end? Is it all the time of Cheminova? Or is there possibility that the core business could do better than what you guys have laid out for this year?"
28606,280246979,755345,"FMC Corp., Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","FMC Corporation","Executives","For us, I would say the highest is 70 [ph] and what is an additional swing factor to the timing for Cheminova is Brazil. We are quite confident right now in the way things are shaping in Europe, quite confident around the market share gain and position in",143,"For us, I would say the highest is 70 [ph] and what is an additional swing factor to the timing for Cheminova is Brazil. We are quite confident right now in the way things are shaping in Europe, quite confident around the market share gain and position in Asia. North America looks pretty good, and we start to have a good sense on the fourth quarter. Latin America, South and North, Argentina and Mexico are looking pretty good right now. We have the right products for the right type of resistance. The question mark is Brazil and the level of stock in the channel. That is the big question mark for us, together also with questions also how much sugarcane, for example, will be recovering depending upon weather and government stimulus. So if I put a place of uncertainty, that would be Brazil."
