"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Operator","Good afternoon, everyone, and welcome to First Solar's Fourth Quarter 2014 Earnings Call. This call is being webcast live on the Investors section of First Solar's website at firstsolar.com. [Operator Instructions] As a reminder, today's call is being rec",67,"Good afternoon, everyone, and welcome to First Solar's Fourth Quarter 2014 Earnings Call. This call is being webcast live on the Investors section of First Solar's website at firstsolar.com. [Operator Instructions] As a reminder, today's call is being recorded. I would now like to turn the call over to David Brady, Vice President of Treasury and Investor Relations for First Solar, Inc. Mr. Brady, you may begin."
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Executives","Thank you, operator. Good afternoon, everyone, and thank you for joining us. Today, the company issued a press release announcing its financial results for the fourth quarter and full year 2014. A copy of the press release and the presentation are availab",186,"Thank you, operator. Good afternoon, everyone, and thank you for joining us. Today, the company issued a press release announcing its financial results for the fourth quarter and full year 2014. A copy of the press release and the presentation are available in the Investors section of First Solar's website at firstsolar.com.
With me today are Jim Hughes, Chief Executive Officer; and Mark Widmar, Chief Financial Officer. Jim will provide a business and technology update, then Mark will discuss our fourth quarter financial results in detail and provide guidance for the first quarter of 2015. We will then open up the call for questions.
Most of the financial numbers reported and discussed on today's call are based on U.S. generally accepted accounting principles. Please note that this call will include forward-looking statements that involve risks and uncertainties that could cause actual results to differ materially from management's current expectations. We encourage you to review the safe harbor statements contained in the press release and the slide published today for a more complete description.
It is now my pleasure to introduce Jim Hughes, Chief Executive Officer. Jim?"
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Executives","Thanks, David. Good afternoon, and thank you for joining us for our fourth quarter 2014 earnings call. Let me begin by addressing the announcement made yesterday that we are in advanced negotiations with SunPower to form a joint YieldCo vehicle to which w",1682,"Thanks, David. Good afternoon, and thank you for joining us for our fourth quarter 2014 earnings call. Let me begin by addressing the announcement made yesterday that we are in advanced negotiations with SunPower to form a joint YieldCo vehicle to which we expect to contribute a portfolio of selected solar generation assets. Upon the execution of a master formation agreement, the parties intend to file a registration statement with the SEC for an initial public offering of the YieldCo. Completion of the joint venture and IPO is subject to the execution of definitive documentation and board and regulatory approval. We cannot say any more about the transaction at this time, and we will not be taking any questions on the subject in our Q&A session today. We expect to file  apublic S-1 this quarter, which will provide additional details on this proposed transaction. Now I do want to emphasize the strategic value of this decision to First Solar's shareholders. We have undertaken a careful study of the strategic options available and determined that this is the best course of action to maximize project and shareholder returns in the long term. This combination brings together the 2 leading and most bankable companies in the solar industry, with a combined installed base of 16 gigawatts, [ph] the strongest balance sheet in the sector and combined strengths in utility scale and distributed generation as well as a broad geographical base. Lastly, as a result of this announcement, the 2015 target we provided at our prior Analyst Day is no longer applicable. Until we have clarity on the creation of a joint YieldCo with SunPower, we do not believe it is meaningful to provide full year 2015 guidance. Moreover, as a result of this potential transaction, we have decided to delay Analyst Day at this time. We continue to evaluate holding an Analyst Day later this year.
Now for an update on our technology. First, as we announced earlier this month, we have set yet another new world record for CdTe cell efficiency of 21.5%. This latest milestone certified at the Newport lab and documented in Andrew Charles Best Research Cell Efficiencies exceeds our previous record of 21%. We have now increased our record cell efficiency by over 400 basis points since mid-2011. This remarkable achievement demonstrates the potential of our CdTe technology and is another tremendous accomplishment by our R&D team. In conjunction with our record cell efficiency, we also announced that our production TV modules have reached a quality and reliability milestone by achieving Atlas 25-plus certification following a rigorous series of long-term, combined stress environmental exposure tests. This certification represents some of the most stringent standards available and demonstrates that the progress in our module technologies not only in efficiency improvement, but also in quality and reliability. We continue to see the advancements in our technology manifest in our production module efficiency. Our full fleet average conversion efficiency for the fourth quarter was 14.4%, a 20 basis point improvement from the prior quarter and 100 basis point improvement from the prior year. We now have several lines of production running our latest technology, and we are encouraged by the results. So far this month, 4 of these lines have averaged an impressive 15.8% efficiency. This technology will be rolled out across the fleet over the course of 2015.
Switching briefly to our TetraSun product. We have recently begun production of our TetraSun modules at our manufacturing facility in Malaysia. We are encouraged by the performance of the technology, which is being produced with initial cell efficiencies of 20.5%. Our expected capacity for 2015 is approximately 50 megawatts, and we will ramp future production levels based on market demand.
Let me now turn to Slide 5 and 6, which highlight the tremendous progress we made in new bookings in 2014 and during the first 2 months of 2015. As in the past data -- as in the past, this data represents our total business and excludes systems module plus and module-only sales. Total bookings for 2014 were 2.5 gigawatts DC, which equates to a book-to-bill ratio of 1.7. This far exceeds the 2 gigawatt DC we communicated at Analyst Day last year and highlights the momentum in our bookings. Since our last earnings call, we have booked over 1 gigawatts with 726 megawatts recorded prior to the end of 2014 and the remaining 311 megawatts occurring during the first 2 months of 2015. As a result, our ending outstanding bookings are now at 4 gigawatts DC, an increase of 1.3 gigawatts from where we began 2014. The strength of these bookings and the accelerating demand we have seen in recent months is a testament to the increasing competitiveness of our module technology. The single-largest booking in the quarter was the 130 megawatts AC California project. As previously announced, the PPA for this project was signed with Apple and is the largest agreement in the industry to provide solar power to the commercial end user. This 25-year PPA will provide power to Apple's new headquarters, data centers and retail operations in California. This deal signals the growing importance of affordable clean energy to commercial customers. Combined with previously announced 150 megawatts AC PPA signed with PG&E, the total project stands at 280 megawatts AC. The combined size of the California project represents one of the largest self-developed projects announced in the last several years, highlighting our tremendous strength and utility scale in solar. This past quarter, we continued to demonstrate significant progress in the southeastern United States. We signed agreements with Southern Power to provide EPC services to 2 projects in Georgia, totaling over 210 megawatts AC. The larger of the 2, the 130 megawatts AC Taylor project, is expected to begin construction in September of this year and achieve COD in late 2016. Additionally, we recently signed a 188-megawatt DC module plus deal with Strata Solar to supply projects in North Carolina. Altogether, our bookings in the southeastern U.S. since mid-2014 now total almost 700 megawatts DC.
We also saw strength in our international bookings. In India, we contracted 265 megawatts DC of volumes since our last call. As disclosed previously, we were awarded 80 megawatts AC of projects in Andhra Pradesh, India. We have now signed the PPA on these projects and included them in our booking total. The remaining volume booked in the quarter was module-only sales. Underscoring our commitment to the growing solar market in India, we announced last week at RE-INVEST a commitment to develop 5 gigawatts of solar projects by 2019. We are excited by the Indian government's vision for solar energy and look forward to helping them achieve these goals.
Also, in Turkey, we are encouraged by the results of the recent solar power where we secured 19 megawatts AC of connection capacity. Other partners competing with Solar technology were also successful. While small in relative terms our overall bookings for the quarter, it is a significant first step in a market with tremendous potential for solar.
Turning to outstanding bookings and revenue terms. Our expected revenue stands at $7.5 billion, approximately flat compared to the beginning of the year. The increase in megawatts book was offset by a higher mix of module-only and module-plus volume, which resulted in a flat revenue bookings but also is indicative of our efficiency improvements on the competitiveness of our module in the global marketplace.
Turning to Slide 7. I will now cover our potential bookings opportunities, which now stand at 13.5 gigawatts DC, a slight decrease from 13.7 gigawatts in the prior quarter, primarily due to the conversion of several opportunities to bookings. As a reminder, this represents all potential bookings for some developed projects, EPC contracts, module-plus or module-only. Contracted projects are not included in this total. While our total opportunities decreased slightly, we are encouraged by the increase in the size of our mid- to late-stage deals, which increased by over 500 megawatts from the prior period. Slide 8 shows the breakdown of demand by geography. Our opportunity set outside of North America stands at 7.5 gigawatts or 56% of the total. One indication of the progress -- continued progress we are making in developing international markets is that the vast majority of our roughly 1.5 gigawatts at mid- to late-stage deals are outside of North America. And finally, in December, we announced our entry into the residential solar market with a strategic investment in clean energy collective. CEC is a lead nation's developer of community solar new strategic partnership allows us to develop the marketing community solar offerings to residential customers and businesses directly on behalf of client utilities. Community Solar is not only a more effective solution for customers, they also significant expands consumers' access to solar electricity. This allows any power consumer to go solar, including those who live in multitenant buildings, ramp [indiscernible] who cannot accommodate solar panels. In contrast, typical residential rooftop installations, which are limited to a fraction of the population due to factors such as income, local gradients and homeownership, virtually anyone can benefit from Community Solar. Community solar allows an individual to benefit directly from owning part of a solar asset, without concern such as an increase in their homeowners insurance, problems that arise when their rooftop requires repair or replacement or transferability of residential rooftop leases when they sell their home. For example, a student renting a condo could own panels through community Solar program and take a long credit for that Solar power even when he moves or just transfer or sell his ownership to a third-party without the need for credit scores. This strategic partnership with CEC allows First Solar to play to the strength of our proven utility scale capabilities, while leveraging the expertise of a leading community solar program operator. As an integral part of our distributed generation strategy, we will provide periodic updates on the progress of this partnership.
Now I'll turn it over to Mark, who will provide detail on our Q4 financial results and discuss guidance for the first quarter of 2015."
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Executives","Thanks, Jim, and good afternoon. Turning to Slide 11. I'll begin by discussing fourth quarter operational performance. Production in the quarter was 509 megawatts DC, an increase of 13% from the prior quarter and 15% higher year-over-year due to the resta",1590,"Thanks, Jim, and good afternoon. Turning to Slide 11. I'll begin by discussing fourth quarter operational performance. Production in the quarter was 509 megawatts DC, an increase of 13% from the prior quarter and 15% higher year-over-year due to the restart of our 4 manufacturing lines in Malaysia, as well as higher module efficiency. Our factory capacity utilization was 84%, up 7 percentage points from the third quarter. The higher factor utilization was also due to the restart of the idle capacity. In the fourth quarter, the average conversion efficiency of our modules was 14.4%, which is up 20 basis points quarter-over-quarter and 100 basis points higher year-over-year. Our best line average, 14.8% efficiency, during the quarter, an increase of approximately 50 basis points from the prior quarter. As Jim mentioned, our best lines are averaging 15.8% for the month of February. The substantial increase in our reline efficiency continues to highlight the great progress our team is making to deliver module efficiency road map, which effectively is converting our record sales and module accomplishment into reality. We are encouraged by our CdTe entitlement and the relative competitive energy density it can achieve.
Moving on to Slide 12, I'll discuss the P&L. Net sales for the fourth quarter was just over $1 billion compared to sales of $889 million last quarter. The increase is due to the sale of the Solar Gen project to Southern, initial revenue recognition on some estates up, higher third-party modules and other system projects under construction. This was partially offset by lower revenue from our Desert Sunlight and Topaz projects, which bought achieved substantial completion in the quarter. As a percentage of total net sales, our system revenue, which includes both our EPC revenue and Solar modules used in the system projects, was 92%, a decrease of 3 percentage points from the prior quarter. The higher mix of third-party modules sales was primarily due to recognizing revenue on electrics landing projects, which had 46 megawatts DC, is the largest operating solar farm in the U.K. For 2014, net sales increased to $3.4 billion compared to $3.3 billion in 2013. Relative to our guidance for the quarter, sales were lower due to a partial sale of the Solar Gen project, the timing of some module sales pushed into early 2015 and lower system revenue from weather-related delays. As highlighted in our last earnings call, our guidance assumes we sold 100% of Solar Gen to Southern. However, we noted subject to certain terms and conditions, we have the right to retain a minority interest in the project. In the fourth quarter, we elected to retain a 49% interest in Solar Gen. Gross margin in the fourth quarter was 30.6% compared to 21.3% in the third quarter. The increase was due to higher deposit associated with partial sale of Solar Gen and cost reductions on the Topaz and Desert Sunlight projects. On a full year basis, gross margins decreased 170 basis points to 24.4% from 26.1% in 2013. The lower gross margin was a result of the mix and system projects under construction between the periods. Fourth quarter operating expenses increased to $109 million, primarily due to the higher start-up expenses associated with restarting capacity. For the full year 2014, operating expense were $403 million compared to 2013 operating expenses of $407 million, which excludes $87 million of restructuring and asset impairments. The decrease in operating expenses from 2013 was primarily due to lower depreciation and compensation expenses, partially offset by higher investment in research and development of our CdTe technology. Operating income for the quarter was $199 million compared to $84 million in Q3. The increase was due to higher sequential sales and the increasing gross margins discussed earlier. For the year, operating income was $424 million compared to 2013 operating income of $455 million, which also excludes the $89 million of restructuring and asset impairments. Fourth quarter GAAP net income was $192 million or $1.89 per fully diluted share compared to $0.87 per fully diluted share in the third quarter. Full year earnings per fully diluted share was $3.91, including a 26 [ph] benefit of a onetime tax item noted in Q3. Excluding this item, full year earnings per share were $3.66. Note that relative to our guidance for the quarter and full year, there were several factors that led to the difference between our actual results and expectations. First, as indicated, we have elected to retain a minority interest in Solar Gen. As a result, a portion of the revenue source today for this project was not recognized in the quarter and contributed to the lower than forecasted revenue. Gross margin and operating income exceeded the guidance for the quarter due to higher-than-expected profit associated with Solar Gen and significant project cost savings on our Desert Sunlight and Topaz projects. The resulting earnings were significantly higher than the $2.80 per share, which was the upper end of our full year guidance due to the aforementioned factors and the lower-than-expected tax rate which resulted from a favorable mix of jurisdictional income. Putting ourselves in the context of the year, excluding the $0.26 per share onetime tax item we highlighted in Q3, our full year earnings would have been $3.66. The difference between the $3.66 and the $2.80 guidance is attributed to the addition of $0.26 from the lower-than-expected tax rate in Q4, with the remaining difference approximately $0.60 due to our better-than-expected gross margin. This highlights the strength of our execution from our core business and the project cost savings achieved.
Turning to Slide 13, I would read the balance sheet and cash flow summary. Cash and marketable securities increased by approximately $876 million to $2 billion. Our net cash position nearly doubled to just under $1.8 billion. The increase in cash resulted primarily from the sale of Solar Gen as well as the collection of retention payments on our Desert Sunlight and Topaz projects. We anticipate that our cash position will continue to have large fluctuations quarter-to-quarter as we continue to construct some projects on balance sheet. Our net working capital, including the change in noncurrent project assets and excluding cash and marketable securities, decreased by approximately $845 million from the prior quarter. The decrease was due to the reduction in unbilled accounts receivables from the collection of cash retention on Topaz and Desert Sunlight, a decrease in deferred project cost from the sale of Solar Gen and reduction in trade AR. These items were partially offset by an increase in inventories. Solar debt during the quarter decreased [ph] slightly to $217 million. Of this total, $75 million is project level debt associated with our Loop day project in Chile.
Cash flow from operations was $928 million compared to cash flow used in operations of $47 million in Q3. Free cash flow was $858 million compared to negative free cash flow of $107 million in the prior quarter. Capital expenditures totaled approximately $73 million, a slight increase from $71 million in the prior quarter. Depreciation for the quarter was $62 million compared to $60 million in the prior quarter.
Turning to Slide 14. I will now discuss our guidance for the first quarter of 2015. Note that given the announcement regarding the proposed YieldCo formation, we are holding off on providing full year guidance at this time. Specific to the quarter, our anticipated financial results is being impacted as we hold projects, build them on balance sheet, potential YieldCo creation previously mentioned. I believe this path will create long-term projects and shareholder value. In the near term, it will result in lower financial results than if we had sold these projects to a third-party. Our abbreviated financial guidance for the first quarter is as follows: net sales in the range of $550 million to $650 million, a loss of $0.25 to $0.35 per fully diluted share. Cash used in operations is expected to be between $400 million and $500 million. The sequentially lower revenue or earnings and operating cash flow is due to 2 main factors, first in the fourth quarter we sold a partial interest in Solar Gen and achieved substantial completion on our Topaz and Desert Sunlight projects. In addition, we are constructing several projects on balance sheet in Q1. We expect to complete nearly 200 megawatts in the quarter where we will not recognize any revenue.
Now moving on to Slide 15. I'd like to summarize our progress during the past quarter and past year. First, we continue to demonstrate the enormous potential of our CdTe technology. We set another new cell record efficiency of 21.5%. This positions us firmly on track to meet the 22% target we set last year. In addition, our efficiency continues to improve rapidly. Our lead line efficiency improved to 14.8% in Q4, which is 90 basis points improvement from the prior year. We've had tremendous progress in our new bookings with 2.5 gigawatts contracted during the year. We set a target of 2 gigawatts to book for the year, and we have exceeded that goal. Our book-to-bill ratio for the year was 1.7, allowing us to replenish our pipeline. From a financial standpoint, we exceed both our earnings per share and operating cash flow guidance. Finally, we believe the announced joint YieldCo with SunPower is the best avenue to achieve, to help provide access to sustainable, competitive cost of capital, which it also may provide enhanced value to our First Solar shareholders.
With that, we conclude our prepared remarks and open the call for questions. Operator?"
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Operator","[Operator Instructions] We'll go first to Ben Kallo with Robert W. Baird.",12,"[Operator Instructions] We'll go first to Ben Kallo with Robert W. Baird."
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Analysts","First, on the bookings. Could you just talk about what caused the strength in bookings? And maybe you give us some color on what your targets are? You had 2 gigawatts in '14 and how we should think about that ahead of 2015? And then putting that together",72,"First, on the bookings. Could you just talk about what caused the strength in bookings? And maybe you give us some color on what your targets are? You had 2 gigawatts in '14 and how we should think about that ahead of 2015? And then putting that together with efficiency and what that is helping you guys with the [indiscernible] get guys get back up rooftop. How should we think about that?"
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Executives","Thanks, Dan. First, I don't think we're in a position to be able to provide you any guidance on the bookings outlook for '15 at this time. But generally, the strength in '14 was relatively broad-based, and it's a consistent pattern that we're seeing acros",352,"Thanks, Dan. First, I don't think we're in a position to be able to provide you any guidance on the bookings outlook for '15 at this time. But generally, the strength in '14 was relatively broad-based, and it's a consistent pattern that we're seeing across broad swaths of our business where as costs continue to come down, we're seeing greater and greater adoption rates. And what's particularly encouraging there's a lot of this adoption is driven not by any policy impetus, but more by a recognition that utility-scale solar represents compelling value opportunity. So we've seen the growth in the market outside of California and the United States, particularly the Southeast United States, continue to see strong activity in that region in Texas, in the Western United States in North America. As identified, we continue to see a lot of strong activity in India. We've had our initial success in Turkey and expect to see momentum there. We've had a continued drumbeat of activity in Europe. It's not a gigantic, but it continues to roll along. And so we've just seen sort of a broad-based, a lot of the seeds that we planted over the last 2.5 years starting to take root and generate opportunities for us. So it's really been broad-based. Obviously, as the efficiency continues to improve, particularly the most recent efficiency improvements. And bear in mind that we've been competing in the market with the knowledge of where our efficiency was going to get too. So what we're seeing come off the production line out is that we've been competing with for the last 12 months. And obviously, as we are now roughly at parity from a temperature-adjusted energy density standpoint, it just dramatically increases our ability to compete and dramatically increases the entitlement we have to compete and to margin at the end of the day. So good to -- we believe the 2 go hand in hand. This overall pretty good health across the solar sector. And then, we, as an individual company, are doing well because we continue to have such success in advancing our technology."
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Operator","We'll go next to Paul Coster with JPMorgan.",9,"We'll go next to Paul Coster with JPMorgan."
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Analysts","Two questions. One for Jim. One for Mark. Jim, one of your competitors today talked about how selling projects will become the exception, not the rule, now that you're moving in the direction of YieldCo. Can you talk about the relative priority of selling",99,"Two questions. One for Jim. One for Mark. Jim, one of your competitors today talked about how selling projects will become the exception, not the rule, now that you're moving in the direction of YieldCo. Can you talk about the relative priority of selling versus EPC versus module business versus, of course, holding for your own benefit? And then the second question really for Mark is, are you in a position to share with us what the current megawatts on the balance sheet is and your approximate cash deal on an annualized basis that holds out of those megawatts?"
4593731,284693016,769037,"First Solar, Inc., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","First Solar, Inc.","Executives","All right. So first with respect to anything that's associated with YieldCo, SEC rules don't allow us to really make any comments. In terms of the various product lines, module, module-plus, EPC and system, we don't have a preference as much as we look fo",195,"All right. So first with respect to anything that's associated with YieldCo, SEC rules don't allow us to really make any comments. In terms of the various product lines, module, module-plus, EPC and system, we don't have a preference as much as we look for what is our most potent weapon in each marketplace in which we operate, what is it that the customer wants in each marketplace. We have different customers have different needs. Some customers have self-execution capability and then want to buy a module. And we're happy to supply them. Other customers want to own the facility, but they really want someone to handle the full turnkey EPC execution. And then, there's a spectrum in between those 2 that is the module-plus and the power Block offerings. For the customer doesn't want to own and they want to be provided with power, obviously, that flows out of our development business. And we will choose to monetize those development assets in a manner that provides the greatest long-term value for our shareholders. The same philosophy we've had for the last 2.5 years. There's nothing that's going to change with respect to that analysis."
