"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Operator","Good morning. My name is Tabatha, and I'll be your conference operator today. At this time, I would like to welcome everyone to the Iron Mountain Q4 Earnings Conference Call. [Operator Instructions] Thank you. I'll now turn the call over to Melissa Marsde",43,"Good morning. My name is Tabatha, and I'll be your conference operator today. At this time, I would like to welcome everyone to the Iron Mountain Q4 Earnings Conference Call. [Operator Instructions] Thank you. I'll now turn the call over to Melissa Marsden."
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Executives","Thank you, Tabatha, and welcome, everyone, to our fourth quarter and year-end 2014 earnings conference call. This morning, we'll hear from Bill Meaney, CEO, who will discuss highlights for the quarter and year as well as progress toward our strategic init",225,"Thank you, Tabatha, and welcome, everyone, to our fourth quarter and year-end 2014 earnings conference call. This morning, we'll hear from Bill Meaney, CEO, who will discuss highlights for the quarter and year as well as progress toward our strategic initiatives; followed by Rod Day, CFO, who will cover financial results and updated guidance for 2015. After our prepared remarks, we'll open up the phones for Q&A.
As we have done for the past couple of quarters, we have posted our earnings commentary and supplemental disclosure package on our Investor Relations page of the website at www.ironmountain.com under Investor Relations/Financial Information.
Referring now to Page 2 of that supplemental package, today's earnings call and slide presentation will contain a number of forward-looking statements, most notably our outlook for 2015 financial performance. All forward-looking statements are subject to risks and uncertainties. Please refer to today's press release, earnings commentary, the safe harbor language on this slide and our most recently filed annual report on Form 10-K for a discussion of the major risk factors that could cause our actual results to differ from those in our forward-looking statements. In addition, we use several non-GAAP measures when presenting our financial results. The reconciliations to these non-GAAP measures, as required by your Reg G are included in the supplemental reporting package.
With that, Bill, would you please begin?"
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Executives","Thank you, Melissa, and good morning, everyone. Before I begin, I think given the recent news stories following on from our December announcement with respect to a proposal to acquire Recall, I think I should just make a statement before we get into discu",1892,"Thank you, Melissa, and good morning, everyone. Before I begin, I think given the recent news stories following on from our December announcement with respect to a proposal to acquire Recall, I think I should just make a statement before we get into discussing our results for both the quarter and the year. We strongly believe that our acquisition of Recall would provide both company shareholders with a unique opportunity to participate in the growth of the combined businesses with attractive growth prospects. We believe that there's significant value creation potential from such a transaction for both companies' customers as well. We continued to try to figure out ways to narrow the valuation gap, but we'll only pursue a deal at the right price. We have nothing to report at this time. With that, let me turn to our results.
We are pleased to report another quarter of strong operating performance, wrapping up an eventful year of good progress on our 3-year strategic plan and our successful conversion to a REIT. During 2014, we continued to improve results in our developed markets, expanded our exposure to faster growing emerging markets and generated momentum in our emerging business segment. In addition, we expanded our REIT investor outreach, and we were added to the MSCI REIT in the FTSE NAREIT indices. Inclusion in these important benchmarks is important for generating a higher level of awareness of Iron Mountain as an attractive REIT investment.
Let me now turn to financial highlights. Rod will have more in a few minutes. On a constant dollar basis, our financial results for 2014 were right in line with our expectations. The significant strengthening of the dollar in the fourth quarter impacted our reported figures, as it did for most multinationals, resulting in growth in total revenue and adjusted OIBDA of over 3%, including restructuring charges. But on a constant dollar basis, we believe more -- which we believe more accurately reflects core operating performance, growth in these measures was just under 5% at the top end of our ranges. These results are supported by the durability of our storage rental business and are in line with our 3-year plan to achieve 4% compounded annual growth on a constant dollar basis in both total revenues and adjusted OIBDA.
Turning to operating highlights. Total storage revenue, a key economic driver of our business, was up 5.4% in constant dollars for the year, driven by strong growth of 13% in our international business and roughly 3% gains in both our North American Records and Information Management and Data Management segments. These results reflect our continued focus on driving net positive records management volume and storage rental revenue growth in developed markets and further penetration into higher-growth, emerging markets. In developed markets, we further sharpened our focus with the fourth quarter sale of our Shredder operations in the U.K., Ireland and Australia. We chose to divest these businesses because they were much smaller than our North American operations and we did not benefit from the same scale. At the same time, we acquired Secure Records Management in Canada, which brought us 9 facilities and 3 million cubic feet of records, including available space to support the on-boarding of a major new customer.
In Records Management, we added more than 18 million cubic feet of net storage volume worldwide on a base of 500 million cubic feet at the beginning of the year or 3.6% net growth. The growth was in part achieved as a result of the significant turnaround from negative to positive internal volume growth, in other words, before any impact of acquisitions, we achieved in North America. Importantly, North America represented 20% or more than 20% of our gains for the year, excluding volume from acquisitions. Globally, we maintained customer churn of under 2%. This is unchanged from Q3 levels but represents a 30% improvement over the level of customer losses experienced 2 years ago. This combination of improved customer retention, growth in new sales and consistent new volume from existing customers drove 3.5% internal storage rental growth in the fourth quarter, continuing the steady improvement we achieved throughout the year. Our strong fourth quarter growth rate did benefit from favorable comps relative to the 1.3% internal storage rental growth in the same period last year, but even when normalizing for that, we saw a nice pickup and are pleased with the momentum as we head into 2015. Our internal storage rental revenue growth expectations for this year are in the range of 2% to 2.5%.
Turning to emerging markets. We are making good progress towards our goal of 16% of total revenue from emerging markets by the end of next year. These high-growth countries represent 13.9% of our total revenues at the end of the year on a constant dollar basis using our 2014 FX budget rates and a 12.8% on reported basis. You'll hear from Rod that FX currency rates will be a drag on reported performance this year. Whilst our operating margin in virtually all our countries are naturally hedged and preserved, like most multinationals, we're not immune to the effects of currency translation in terms of absolute earnings impacting U.S. dollars. However, given our opportunity to expand internationally on what is today a relatively small international base, we like the fact that we have the benefit of investing in U.S. dollars overseas during this part of the currency cycle. We continue to see attractive growth potential in both storage and service in these markets as they are beginning to embrace outsourcing of enterprise storage, especially given the durability of our business. Both internal total revenue and internal storage rental growth in these markets was more than 15% in the fourth quarter. In addition, unlike more mature multinationals whose growth rates are fairly similar around the globe, we are in a unique position to invest our capital in markets where we're still early in the growth cycle, enabling us to capture higher growth rates off our lower basis, thereby enhancing our returns in the medium to long term. Given this as a backdrop, acquisitions continue to be an integral part of our strategy with the focus on higher-growth emerging markets. We completed $190 million of acquisitions in 2014, including the records inventory of smaller records management companies with more than $125 million of the total in emerging markets through Eastern Europe, Latin America and the Asia Pacific regions. We have a strong pipeline of acquisition opportunities in emerging markets with more than 4x the coverage needed to achieve our goal of 16% on a constant dollar basis. And we'll continue to evaluate those opportunities in light of our targeted returns and favorable underlying growth dynamics that support the durability of our business.
Within our emerging business opportunity area, we continue to make progress in our data center operations. We have invested more than $70 million to date with $35 million of that in 2014, expanding our capacity in the underground facility in delivering our first phase in Boston. Whilst absorption in our Boston Data Center is just beginning to pick up on a blended basis, we have achieved a stabilized un-levered return on invested capital in this business of 9%, which we feel are -- which we feel is good given how recently we added our new capacity, and expect that this return will stabilize at 11% to 12% on a fully utilized basis. We continue to evaluate other emerging business opportunities that leverage our unique platform as a leader in enterprise storage. We see the potential to expand our brand strength and chain of custody and logistics to a broader range of offerings. Many of these opportunities are customer-driven, where they ask for our assistance in solving an enterprise storage need, whether it be upstream in their supply chain or downstream to support distribution. We expect to have more on this at our Investor Day in October. These facets of our strategic plan all support the durability of our business, the sustainability of our cash flow and our fit as a REIT. When you consider the nature of our business, our enterprise storage foundation compares very favorably with self-storage. We have superior customer credit quality given our service to more than 92% of the Fortune 1000. We serve more than 155,000 business customers, which leads to a diversified revenue stream and low customer churn of less than 2% per year. Unlike consumer self-storage where customers tend to be in transition and frequently have more temporary needs, the average life of a box in our facilities is 15 years. This means we have very low volatility. In fact, we've posted 26 years of consecutive growth in storage rental revenue, which persisted even throughout the Great Financial Crisis. And like self-storage, we have a service component to our business that is inextricably linked to our customers' underlying storage needs. We also compare very favorably with the industrial sector, if you think about the nature of our operating facilities. The major difference is there are real estate cost are incurred by the square foot, but we generate storage rental revenue by the cubic foot. We're essentially renting air. This multiplier effect generates a significant spread between our cost and our return on investment. It yields a very high net operating income per square foot and is core to how we create value for our stockholders. Similar to the industrial sector, we have a low maintenance CapEx requirement, but our turnover costs are even lower on a per-foot basis. And when we invest in incremental racking structures within an existing industrial shell, we can generate very strong return due to this volume dynamic. As we've talked on recent calls, we intend to buy $800 million to $1 billion of our lease facilities over the next 8 to 10 years, shifting our mix to a higher percentage of owned properties. This supports our REIT status, but it also means we have more optionality over the long term. If we consolidate in our market and exit buildings that we own, we can lease them to customers for other industrial or distribution uses, or we can create value by selling them or redeveloping the underlying real estate in infield markets for alternative use.
Importantly, the REIT structure is consistent with our capital allocation goals and does not limit our ability to fund our business plan. As we become more active in buying in our properties and execute our acquisition pipeline, we expect to fund that incremental investment with additional borrowing and/or equity issuance similar to the manner in which most REITs fund external growth. You may have seen that the board declared our first quarter dividend of $0.475 per share this week. At a $40 stock price, our implied cap rate is about 7.5%, well above where other property sectors are trading. At the same share price, our dividend represents a 4.8% yield, well in excess of most REITs. Combined with our goal to grow adjusted OIBDA by 4% on a compounded rate, our dividend level supports our goal to deliver total shareholder returns in line with the 8% to 9% TSR or total shareholder return of the S&P 500. And this goal is prior to any potential upside from additional emerging business opportunities.
Now I'd like to turn the call over to Rod."
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Executives","Thanks, Bill. We continue to execute well against our strategic plan, and we are pleased with our strong operating performance for the year. Our results underscore the durability of our storage rental business and demonstrate the benefit of acquisitions w",2065,"Thanks, Bill. We continue to execute well against our strategic plan, and we are pleased with our strong operating performance for the year. Our results underscore the durability of our storage rental business and demonstrate the benefit of acquisitions we have made in emerging and developed markets.
I'll begin today with an overview of our fourth quarter and full year financial performance, followed by an update on our outlook for 2015. I will then address our capital deployment activities and conclude with a discussion of various REIT metrics. Please note that throughout my prepared remarks, I will reference selected slides from our comprehensive supplemental reporting package, which can be found on the Investor Relations portion of our website.
Turning to our financial results for the quarter and the year. Let me direct you to the financial highlights on Page 8. Supported by strong storage rental growth, total reported revenues of $778 million, up approximately 1% compared with Q4 of 2013 and up 5% on a constant dollar basis. For the year, total revenues grew by 3% to $3.1 billion or by 4% on a constant dollar basis and in constant dollars at the top end of our guidance range. Adjusted OIBDA for the quarter was $220 million compared with $195 million in 2013. For the full year, adjusted OIBDA grew by 4% to $926 million or by 5% to $934 million on a constant dollar basis. For comparison, adjusted OIBDA for 2014 included $3.5 million of costs associated with the company's restructuring initiative. In addition, adjusted OIBDA in 2013 included $19 million in the fourth quarter and $23 million in the full year of restructuring costs.
Adjusted EPS for the quarter was $0.25 per diluted share compared with $0.21 in 2013. For full year 2014, adjusted EPS of $1.36 was within our guidance range. As we highlighted on our Q3 earnings call, adjusted EPS for the full year was impacted by REIT compliance costs and an increase in depreciation and amortization expenses associated with our conversion to a REIT as well as acceleration of real estate consolidation on some of our acquisitions.
It's important to note that adjusted EPS for 2013 was restated to be on a comparable basis using our structural tax rate of roughly 15%. Our structural rate for the year came out to 14% as a result of lower pretax income in international jurisdictions, which was impacted by the strengthening of the U.S. dollar. We continue to believe that our tax rate will be approximately 15% to 16% over the long term.
The fundamentals of our business remain strong, as evidenced by solid storage rental revenue growth. On Page 9, top line growth for the quarter on a constant dollar basis was up 5%, reflecting solid storage rental revenue gains of 5% and service revenue growth of 4%. The growth in service revenue was driven by increased project activity, improvement in paper revenue and recent acquisitions. On a constant dollar basis, full year total revenue growth was 4% driven by storage rental revenue gains of 5% and service revenue growth of 3%. Also on the same page, we showed total worldwide volume growth. We continue to demonstrate improvements in net volume growth in Records Management with total year-on-year volume growth of 3.6% including acquisitions or 1.9% excluding acquisitions. Growth excluding acquisitions maintained the steady improvement in performance that we have seen in the last 2 years. Within this, we continue to see strong volume from existing customers who added approximately 30 million cubic feet of storage worldwide in this category. This number of boxes is consistent with prior years, but the percentage growth dip to just below 6% in Q4, driven by the denominator effect of our growing base of records under management.
Let's turn to Page 12, where we present components of growth on a segment basis. Q4 and full year segment results were generally in line with our expectations, but our strong storage rental revenue continues to exhibit durability. North American Records and Information Management or RIM delivered positive storage rental internal growth and maintained strong adjusted OIBDA margins of 38.5% during the fourth quarter and the year. North American Data Management or DM delivered storage rental internal growth of 6% in the fourth quarter and 2% for the year. During the fourth quarter, the strong storage rental growth in DM more than offset the decline in service revenues resulting in adjusted OIBDA expansion of 130 basis points. Declines in service revenues in Data Management continue to reflect the trend towards reduced activity and related transportation revenues as our customers rotate their tapes less frequently and the business becomes more archival.
The international segment continued to generate attractive results, with 8% storage rental internal growth and 4% internal service revenue growth for the quarter. For the full year, storage internal -- storage rental internal growth was 6% and internal service revenue growth was 2%. The international business continued to deliver profitability on a portfolio basis in line with our mid-20s targets for the year. Adjusted OIBDA margins for the fourth quarter were impacted by costs related to continuous improvement integration expenses and other IT project expenses.
Let me direct you now to Page 11, where we lay out our performance for the year and against our guidance. Bill covered this at a high level, noting that constant dollar revenue and adjusted OIBDA were at the high end of our growth expectations. Our full year FFO and AFFO were also in line with our expectations, excluding the impact of FX. Our total distributions for the year, including the EMP special distribution, were about $1.1 billion. Approximately $200 million was return of capital, representing less than 20% of the total. It is common for a REIT to have some portion of its distributions characterized as return of capital, particularly in its initial year. In order to qualify as a REIT, it was critical that we purge our entire legacy EMP, including the EMP from our foreign QRS entities before the end of 2014. We intentionally built a level of conservatism into our distribution estimates as we do not want to risk unjust distributing and failing to qualify.
Also highlighted on this page are investment capital expenditures we have made during the year. Real estate investment of $200 million for the year were -- is in line with the midpoint of our guidance. Our maintenance CapEx was $83 million, at the low end of the guidance range. Non-real estate investments, the $43 million, was slightly below the low end of our guidance range. This was driven by timing of certain IT investments which will now occur in 2015. Acquisitions for the year were $189 million at the low end of our guidance range. Although the acquisition pipeline is large, we are very selective in the acquisitions that we undertake, and we ensure that they meet our hurdle rates.
Turning now to outlook for 2015 on Page 10. Business trends and operating fundamentals remain consistent. Operationally, we remain on track to achieve our long-term financial objectives, given the durability and strong fundamentals of our business. That said, we have updated our 2015 guidance to reflect FX headwinds and our new constant currency rates, which was based at rates at the beginning of this year. We are projecting constant dollar revenue growth of 1% to 5% and growth in adjusted OIBDA of 1% to 5%, in line with our strategic plan. We expect adjusted EPS to be in the range of $1.15 to $1.30. To be clear, this guidance, similar to the preliminary guidance we provided at the last earnings call, reflects our anticipation of absolute increase in total earnings in constant dollars, offset on a per-share basis by the impact of share issues in connection with the special distribution, and in addition, the impact of FX. Driven by the consistent growth in our business and stable fundamentals, we expect normalized FFO to be between $425 million to $465 million, with AFFO between $480 million and $520 million. Please note that the 2015 guidance, we have deducted non-real estate investment from our AFFO calculation in response to constructive feedback. On not strictly maintenance-related capital expense, these expenditures are necessary for us to support our REIT IT and customer interface systems and are somewhat recurring in nature. Therefore, we believe this change to our definition of AFFO is a more conservative approach.
As you saw yesterday, we announced our first quarterly dividend for the year at $0.475 per share. We continue to believe that our cash flow supports our dividend at current levels, and we expect our dividends to grow in line with operating performance. From a capital spend standpoint, we expect investment in real estate to be $230 million to $270 million, including investment in racking. Maintenance CapEx, consistent with prior years, is expected to be in the $70 million to $90 million range. Non-real estate investment is also expected to be in the $70 million to $90 million range, which is higher than in recent years due to the inclusion of REIT compliance-related CapEx and the timing of certain IT investments. Acquisition investments are expected to be $150 million to $250 million. It's difficult to be precise here as acquisitions are opportunistic in nature. We will update our outlook again on our Q1 earnings call to reflect any changes, if any, including the impact of any further changes up or down in FX.
Shifting to the balance sheet. Pages 26 and 27 presents our debt maturity schedule and related metrics. At quarter end, we had liquidity over more than $700 million. As forecasted at our Investor Day last year, our lease adjusted leverage ratio would increase to support shareholder payouts, expenditures in connection with the proposed conversion to a REIT and recent acquisitions. In quarter end, it was 5.4x, as planned. At today's stock price, our debt to total market capitalization is roughly 36%.
Turning now to REIT-specific metrics on Page 20. We provide our global real estate portfolio, which highlights our leased and owned facilities worldwide. The number of lease facilities increase slightly compared to the third quarter of 2014 as a result of our international acquisitions, through which we assumed a few operating leases. As we begin to consolidate facilities and execute on our real estate purchase plan, we expect to increase the portion of owned facilities by square footage. On Page 21, we have provided storage net operating income or NOI per rack square foot, which highlights the attractive economics we derived from our real estate. We continue to achieve strong storage NOI from combined records management and data management of approximately $29 per rack square foot worldwide due to the multiplier effect of renting our space by the cubic foot. This level compares favorably to NOI per square foot for most property types within the REIT sector.
On Page 22, our racking and building utilization rates are high and improved slightly since the last quarter at 91% and 83%, respectively, for the records management portfolio. We believe that due to fictional vacancy, our maximum racking utilization is in the mid-90s. When we enter into a new facility, we generally target to achieve stabilized utilization in about 3 years' time.
On Page 29, we have combined -- provided components of value, a summary of the various parts of our business to facilitate valuation. As a reminder, we present both storage NOI and service OIBDA, excluding rent expense, in order to present storage economics on a consistent basis whether leased or owned. To balance that, we provide total rent expense in the liabilities area. We think about our valuation as a REIT by applying the self-storage or industrial cap rates to our annualized NOI from our storage rental business. On top of the market value of our storage business, we add the value of the services business by applying appropriate multiple. We also provide other tangible assets, our current investments in buildings and racking, as well as the book value of recent acquisitions. We also provide liabilities, including our annual rent expense, to which we apply cap rates and deduct as another form of debt. We hope you find this disclosure useful. And as we have said in prior communications, we will continue to enhance our supplemental reporting and welcome feedback.
With that, I will now turn the call back to Bill."
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Executives","Thanks, Rob. Before we move to Q&A, I'd like to summarize this morning's key points. Our 2014 financial results were on track with our expectations prior to the impact of foreign currency. And in fact, revenue on a constant dollar basis was at the top end",280,"Thanks, Rob. Before we move to Q&A, I'd like to summarize this morning's key points. Our 2014 financial results were on track with our expectations prior to the impact of foreign currency. And in fact, revenue on a constant dollar basis was at the top end of our range. Moreover, we look for similar constant dollar growth in 2015, consistent with the 3-year plan we laid out at our Investor Day nearly a year ago. Our fourth quarter operating results demonstrated the success of our initiatives to drive volume and storage rental growth in both our developed and emerging markets, and we're maintaining momentum as we move into 2015. We have attractive, high-return investment opportunities in all of our segments, including potential acquisitions in developed and emerging markets and interesting initiatives to leverage our enterprise storage brand through emerging business opportunities. We're maintaining our dividend in line with the growth in operating profit, which represents an attractive yield, whilst providing cash flow to fund required CapEx and a portion of our growth investment. We'll continue to maintain our capital allocation discipline. And like most REITs, we will look for -- we will look to fund external growth with new capital after first demonstrating our ability to generate the appropriate returns. Our business is durable and predictable and is characterized by attractive fundamentals compared with self-storage and industrial property types. Whilst FX had been a drag in the recent quarter, we also see the current FX environment as an opportunity to take advantage of the strong U.S. dollar to increase our small but growing investment in the high-growth emerging markets at favorable rates.
With that, operator, we're ready to take questions."
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Operator","[Operator Instructions] Your first question comes from the line of Andrew Steinerman with JPMorgan.",14,"[Operator Instructions] Your first question comes from the line of Andrew Steinerman with JPMorgan."
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Analysts","About the internal growth in service, up 3% -- and sorry, I didn't catch also that was an easier comp. You've mentioned you've been normalizing for the easier comps. It looks like a recovery. Could you go over some of the components of what drove a positi",78,"About the internal growth in service, up 3% -- and sorry, I didn't catch also that was an easier comp. You've mentioned you've been normalizing for the easier comps. It looks like a recovery. Could you go over some of the components of what drove a positive experience in North American service on an organic basis and looking into 2015? Do you think this will be a volatile division? Or do you think it will be firming up?"
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Executives","Andrew, I think you're clipped at the beginning. But I think you're -- I hope I got all of that -- you're asking about the internal growth, and we called out the fact that we're guiding for 2%, 2.5% And we had a very strong quarter and you want to underst",63,"Andrew, I think you're clipped at the beginning. But I think you're -- I hope I got all of that -- you're asking about the internal growth, and we called out the fact that we're guiding for 2%, 2.5% And we had a very strong quarter and you want to understand how volatile that is and what drove the improvement. Is that correct?"
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Analysts","On the service side of North American box.",8,"On the service side of North American box."
30292,282647826,767032,"Iron Mountain Inc., Q4 2014 Earnings Call, Feb 20, 2015",2015-02-20,"Earnings Calls","Iron Mountain Incorporated","Executives","On the service side. Okay, I think of the service side, I'll let Rod talk you through it because you also asked for the different components. And I think I would say as an introductory market before Rod takes you through the different components of that,",171,"On the service side. Okay, I think of the service side, I'll let Rod talk you through it because you also asked for the different components. And I think I would say as an introductory market before Rod takes you through the different components of that, because there are other multiple things in our service revenue, some of it is driven by paper prices, some of it is driven by the ins and outs associated with records management business. There are different components that are more volatile and more are in direct control of the operation. So I think we have seen an improvement around our imaging business and paper prices. And we have a new dedicated leader that's just looking at our digital scanning operations. So we have seen an improvement in that area. So we still some of the underlying trends, especially in our data management area in terms of some of the service associated with transport. But Rod, you may want to talk about it in more detail."
