"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Operator","Greetings, and welcome to the Leggett & Platt Fourth Quarter 2014 Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, David DeSonier, Senior Vice President, Strategy and",51,"Greetings, and welcome to the Leggett & Platt Fourth Quarter 2014 Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, David DeSonier, Senior Vice President, Strategy and Investor Relations for Leggett & Platt. Thank you, sir. You may begin."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Good morning, and thank you in taking part in Leggett & Platt's fourth quarter conference call. I'm Dave DeSonier, and with me this morning are the following: Dave Haffner, our Board Chair and CEO; Karl Glassman, who is President and Chief Operating Offic",294,"Good morning, and thank you in taking part in Leggett & Platt's fourth quarter conference call. I'm Dave DeSonier, and with me this morning are the following: Dave Haffner, our Board Chair and CEO; Karl Glassman, who is President and Chief Operating Officer; Matt Flanigan, our Executive VP and CFO; and Susan McCoy, our VP of  Investor Relations. 
The agenda for the call this morning is as follows: Dave Haffner will start with a summary of the major statements we made in yesterday's press release; Karl Glassman will provide segment highlights; Matt Flanigan will discuss financial details and address our outlook for 2015; and finally, the group will answer any questions that you have. Perry Davis, who is Senior Vice President of the company and President of the Residential Furnishings segment, is also joining us this morning to participate in Q&A. 
This conference is being recorded for Leggett & Platt and is copyrighted material. This call may not be transcribed, recorded or broadcast without our expressed permission. A replay is available from the IR portion of Leggett's website. We posted to the IR portion of the websites a set of PowerPoint slides that contain summary financial information, along with segment details. Those slides supplemental information we discussed on this call, including non-GAAP reconciliations. I need to remind you that remarks today concerning future expectations, events, objectives, strategies, trends or results constitute forward-looking statements. Actual results or events may differ materially due to a number of risks and uncertainties, and the company undertakes no obligation to update or revise these statements. For a summary of these risk factors and additional information, please refer to yesterday's press release and the section in our 10-K entitled Forward-Looking Statements. 
I'll now turn the call over to Dave Haffner."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Thank you, Dave. Good morning, and thank you for participating on our call. 2014 was a record year, and we're pleased to have ended on a very strong notes. Full year sales from continuing operations grew 9% from a combination of strong organic growth in m",672,"Thank you, Dave. Good morning, and thank you for participating on our call. 2014 was a record year, and we're pleased to have ended on a very strong notes. Full year sales from continuing operations grew 9% from a combination of strong organic growth in many of our major businesses and acquisitions. Fourth quarter sales grew 11%, with same-location sales up 6% and acquisitions adding 5%. 
While demand in the majority of our markets improved in 2014, we also benefited from the continued shift in bedding to Comfort Core springs, new adjustable bed programs that ramped up during the year and ongoing content gains and new program awards on Automotive. Importantly, nearly all of our businesses have seen positive sales momentum as we begin 2015. 
Full year adjusted earnings per share from continuing operations were a record $1.78, up 19% versus the adjusted $1.50 we earned in 2013. Full year earnings largely benefited from higher sales. Fourth quarter adjusted earnings per share from continuing operations grew to $0.41, up from the adjusted $0.38 per share in the fourth quarter of the prior year. 
Earnings in the current quarter benefited from sales growth and lower LIFO expense, but this was partially offset by a higher adjusted tax rate and higher-than-expected stock compensation expense that resulted in large part from the significant increase in Leggett share price versus the market since late October. Matt will discuss this further in his comments.
Our adjusted EBIT and EBIT [ph] margin improved for both the fourth quarter and full year, largely due to strong sales growth. We ended the year with adjusted EBIT margin at 10.2%, up 60 basis points over the full year 2013. 
From a reported GAAP earnings perspective, the fourth quarters in both years were impacted by large unusual items. In the fourth quarter of 2014, we recognized an additional $0.21 per share litigation accrual. This charge reduced fourth quarter earnings from continuing operations by $0.09 per share, and earnings from discontinued operations by $0.12 per share. By far, the largest portion of the accrual is for the foam antitrust cases. We believe the accrual is sufficient to resolve all the pending foam antitrust cases. 
In the fourth quarter of 2014, we recognized a $67 million or $0.31 per share noncash charge related to the goodwill and intangible assets of our Commercial Vehicle Products business. 
A major component of our strategy since 2007 has been the optimization of our portfolio of businesses by increasing the investments in businesses that have strong competitive advantage and reducing our exposure to businesses and markets that are less attractive. 
In 2014, we made good progress on both fronts. We acquired 3 Tempur Sealy innerspring plants, invested in machinery to support the significant growth of Comfort Core innersprings, expanded our operations in China to support rapid growth of our Automotive business and acquired a small German-based designer of motion furniture components. 
In early November, we also completed the divestiture of the majority of our Store Fixtures operations, and continued to pursue the sale of the 2 remaining facilities in that business. The divestiture resulted in a $0.03 per share loss that was recognized in discontinued operations during the fourth quarter.
We assessed our overall performance by comparing our total shareholder return to that of peer companies on a rolling 3-year basis. Our target is to achieve TSR in the top 1/3 of the S&P 500 over the long term, which we believe will require an average TSR of 12% to 15% per year. For the 3-year period that ended on December 31, 2014, we generated compound annual TSR of 28% per year, which placed us within the top quarter of the S&P 500. Our stock price increased 38% during the year from about $31 to $43, with much of the increase occurring in the fourth quarter. Assuming dividends are reinvested, 2014 TSR was 43%, which ranks in the top 7% of the S&P 500. 
I'll now turn the call over to Karl, who will provide some additional segment comments."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Thank you, Dave, and good morning. Most of our businesses continue to perform extremely well on the fourth quarter, and we ended the year very strong. In the Residential Furnishings segment, fourth quarter total sales increased 21%, same-location sales",655,"Thank you, Dave, and good morning. Most of our businesses continue to perform extremely well on the fourth quarter, and we ended the year very strong. 
In the Residential Furnishings segment, fourth quarter total sales increased 21%, same-location sales increased 12% with each of the major businesses growing. 
Excluding acquisitions, U.S. spring component dollars increased 18%, innerspring unit volume grew 13% with the Comfort Core premium category of 59% during the quarter. Box per unit volume increased 9%. 
Sales grew 4% in International Spring, primarily for market share gains and increased Comfort Core sales in Europe. Excluding acquisitions, furniture components sales increased 8% in the fourth quarter, volume and our Sealy and sofa sleepers business grew 8%, and motion hardware unit volume increased 14%. 
Adjustable bed units grew 127% in the quarter from a combination of new programs and strength in ongoing customer programs. Sales also increased meaningfully in fabric converting, geo components and carpet underlay. 
Fourth quarter segment EBIT was negatively impacted by a $22 million litigation accrual. Excluding this charge, adjusted EBIT increased, and EBIT margin was essentially flat with fourth quarter of 2013. The benefit from higher sales during the quarter was partially offset by increased stock compensation expense of $10 million.
Full-year total sales in the segment grew 13%, with same-location sales up 9%. Adjusted EBIT for the year increased 27%, and adjusted EBIT margins improved 110 basis points versus 2013, and in 2014 at 9.7%.
In the Commercial Fixturing & Components segment, same-location sales increased 15% in the fourth quarter. Sales grew in the quarter from the improved market demand in our Work Furniture business, EBIT increased slightly with a benefit from higher sales, largely offset by higher stock compensation expense. 
For the full year, total sales in the segment grew 7%. EBIT for the year increased 21%, and EBIT margin improved. 
Segment margins continued to be below our target level due to a number of factors, including underutilized capacity and operational challenges with the Chinese joint venture. 
With industry demands still depressed from lower business and government spending, our plants continue to operate well below optimal utilization levels. While cost reductions have been implemented over the past few years, we are working to identify more opportunities to improve efficiency. In addition, our business development activities are focused on identifying opportunities to improve our sales mix through higher valued products. 
In the Industrial Materials segment, fourth quarter same-location sales increased 5%, primarily from higher unit volume within our wire operations that was largely driven by strong bedding demand. EBIT and EBIT margin increased with the benefit from higher sales in other smaller factors, partially offset by higher stock compensation expense of $3 million. 
Full year total sales in the segment increased 3%, primarily from acquisitions. Same-location sales were down slightly. EBIT and EBIT margins for the year decreased primarily from reduced metal margins and weather-related costs and the inefficiencies early in the year. 
In the Specialized Products segment, same-location sales grew 5% in the fourth quarter. Automotive sales increased 13% versus a strong fourth quarter of 2013 from a combination of expanded content, participation in new vehicle platforms and demand strength in North America and Asia. This growth was partially offset by an 18% sales decrease in Commercial Vehicle Products. 
Machinery sales were essentially flat during the quarter. The segment's EBIT and EBIT margin increased versus 2013, primarily due to the nonrecurrence of last year's CVP impairment charge. Operationally, EBIT and EBIT margin increased in the current quarter, with a benefit from higher sales, partially offset by higher stock compensation expense of $4 million. 
For the full year, total sales in this segment grew 9%. Adjusted EBIT for the year increased 26% and adjusted EBIT margins improved 180 basis points versus 2013, ending 2014 at 13.6%. 
I'll now turn the call back over to Matt, who will discuss some of the additional financial details, along with our outlook for 2015."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Thanks, Karl, and good morning, everyone. While as you have already heard, fourth quarter earnings were impacted by an unusually high accrual was related to our stock-based incentive compensation plans, which in total, represented $18 million [ph] or $0.0",863,"Thanks, Karl, and good morning, everyone. While as you have already heard, fourth quarter earnings were impacted by an unusually high accrual was related to our stock-based incentive compensation plans, which in total, represented $18 million [ph] or $0.08 per share. Approximately 2/3 of this cost was due to the significant increase in our relative TSR performance late in the year, and our share price increased from approximately $35 to $43 during the fourth quarter. The remainder of the higher cost was driven by recent strong growth in operating margin improvement in many of our businesses. 
In accordance with GAAP, we record our incentive compensation accruals each quarter to reflect the related performance metrics. For the TSR-based incentive plan, we measure our TSR performance over 3-year period compared to a 320 member peer group. For the 3-year measurement period that ended in 2014, our relative TSR through the end of September was at roughly the midpoint of the peer group. As a result, we had accrued for 2 and 3 quarter years, assuming an estimated payout of approximately 71% of the incentive targets. 
Our fourth quarter increase in share price and relative TSR moved us into the top third of the peer group and caused the payout percentage to more than double. Consequently, all of the incremental cost for the entire 3-year period occurred and was duly recognized in the fourth quarter. A significant adjustment was also required for the 3-year period that will conclude in 2015. At the end of December, we were delivering top third TSR performance for that measurement period as well. 
In 2014, our stock compensation expense for all programs totaled $48 million.  Nearly half of which was recognized in the fourth quarter. Our forecast for 2015 anticipates total cost of approximately $44 million at the current share price, and assuming our relative TSR does not change. If our TSR moves into a lower performance level in relation to the peer group, then we will reduce our accruals for open measurement periods to reflect the corresponding lower payout estimates. 
Now on to a few other topics. Operating cash flow was, once again, seasonally strong in the fourth quarter at $166 million. For the full year, we generated operating cash of $382 million. We ended the year with working capital at an unusually low 7.9% of annualized sales. The third and fourth quarter litigation accruals caused a sizable increase in current liabilities by year-end. 
Excluding this accrual, working capital was 10.3% of annualized sales. In November, we declared a quarterly dividend of $0.31 per share, and 2014 marked our 43rd consecutive annual dividend increase at a compound annual growth rate of 13%. At yesterday's closing price of $45.7, our current yield is 2.8%, which is one of the highest dividend yields among the 54 companies that comprise the S&P 500 Dividend Aristocrats. 
We repurchased 700,000 shares of our stock in the fourth quarter at an average price of $41.14, and issued 1 million shares, largely for employee option exercises. 
For the year, we purchased 5.4 million shares at an average price of $33.76, and issued 3.9 million shares. 
Our financial base remains valid strong, and this gives us considerable flexibility when making capital and investment decision. We ended the year with net debt to net capital of 31.5%, which is comfortably within our long-standing targeted range of 30% to 40%. 
In 2015, we again expect strong sales growth, which should lead to another year of record earnings per share from continuing operations. As we announced yesterday, we expect 2015 earnings from continuing operations to be between $1.90 and $2.10 per share. With improving demand, market share gains and recent acquisitions, sales from continuing operations are expected to be $3.9 billion to 4.1 billion. This range represents a 3% to 8% increase, which is our $3.78 billion of sales from continuing operations in 2014. 
Based upon this guidance range, we currently expect a full-year EBIT margin between 10.7% and 11.2%. We expect to again generate operating cash flow of approximately $350 million in 2015. Dividends should required about $170 million of cash and capital expenditures should approximate $120 million for the year. 
We continue to make investments to support growth in business and product lines where sales are strong and for efficiency improvement and maintenance. Our incentive plans emphasize returns on capital, which include net fixed assets and working capital. This emphasis, we believe, helps ensure that we're efficiently utilizing our asset base and investing capital dollars where the highest term potential exist. 
Consistent with our stated priorities for the use of excess cash flow, we will prudently buyback our stock, bear in mind our level of cash generation, other potential opportunities to strategically global company and the overall outlook for the general economy. We have outstanding authorization from the board to repurchase up the 10 million shares issued year. However, no specific repurchase commitments or timetable has been established. We current expect to issue between 2 million and 3 million shares in 2015, primarily from employee stock option exercises, and repurchase an amount that least offset the shares issued. 
With those comments, I'll turn it back over to Dave Haffner."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Thanks, Matt. I'd like to close my prepared comments this morning by extending the very sincere thank you to the thousands of dedicated employee-partners who have collectively contributed to Leggett's record performance in 2014 and have helped us to posit",88,"Thanks, Matt. I'd like to close my prepared comments this morning by extending the very sincere thank you to the thousands of dedicated employee-partners who have collectively contributed to Leggett's record performance in 2014 and have helped us to position the company for strong performance in 2015 and beyond. I would also like to sincerely thank our many customers for trusting us with their business, and allowing us to assist them as we work to achieve their respective long-term goals. 
Dave, I'll turn the call back to you."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","That concludes our prepared remarks. We appreciate your attention, and we will be glad to answer any questions. [Operator Instructions]  Christine, we're ready to begin the Q&A.",27,"That concludes our prepared remarks. We appreciate your attention, and we will be glad to answer any questions. [Operator Instructions]  Christine, we're ready to begin the Q&A."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Operator","[Operator Instructions] Our first question comes from the line of Budd Bugatch with Raymond James.",15,"[Operator Instructions] Our first question comes from the line of Budd Bugatch with Raymond James."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","This is actually Bobby filling in for Bob. First off, on the innerspring units of 13%, can you please give us a sense of kind how that trended during the quarter and maybe what you see so far in that segment in that business unit year-to-date?",46,"This is actually Bobby filling in for Bob. First off, on the innerspring units of 13%, can you please give us a sense of kind how that trended during the quarter and maybe what you see so far in that segment in that business unit year-to-date?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Bobby, this is Perry Davis. Yes, I can give you some color around that. And again, during the quarter, in October, we were up roughly 7%. November, similarly, about 7%. And then in December, we saw a really strong surge with innersprings up about 24%.",45,"Bobby, this is Perry Davis. Yes, I can give you some color around that. And again, during the quarter, in October, we were up roughly 7%. November, similarly, about 7%. And then in December, we saw a really strong surge with innersprings up about 24%."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","And then maybe a little color on how January trended so far?",12,"And then maybe a little color on how January trended so far?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","So far in January through basically the end of last week for the period, we are up year-on-year, about 16.6%. Now we'd caution for some of that because you recall in 2014, we faced some underlying weather issues that probably dampened shipments somewhat.",57,"So far in January through basically the end of last week for the period, we are up year-on-year, about 16.6%. Now we'd caution for some of that because you recall in 2014, we faced some underlying weather issues that probably dampened shipments somewhat. But overall, still, we've seen strong unit volumes since we progressed through the quarter."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","I appreciate the color. And then lastly, the Chinese joint venture in the commercial segment give you some of your operators some challenges again. Can you maybe talk about how that is progressing versus quarter? And what the outlook looks like for workin",46,"I appreciate the color. And then lastly, the Chinese joint venture in the commercial segment give you some of your operators some challenges again. Can you maybe talk about how that is progressing versus quarter? And what the outlook looks like for working through those challenges?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Bobby this is Karl. It continues to be a challenge for us. We were in a complicated Chinese legal situation with that joint venture partner that's distasteful for all of us. So we're considering substantially progress. The margins are not quite as bad as",73,"Bobby this is Karl. It continues to be a challenge for us. We were in a complicated Chinese legal situation with that joint venture partner that's distasteful for all of us. So we're considering substantially progress. The margins are not quite as bad as they once were, but the business is losing money as we speak. So we're doing everything we can within our power in a tough environment to remediate those issues."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Operator","Our next question comes from the line of Josh Borstein with Longbow Research.",13,"Our next question comes from the line of Josh Borstein with Longbow Research."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","Could you provide us an update on what scrap cost are doing? And [indiscernible] pricing in those spread between those 2 right now?",23,"Could you provide us an update on what scrap cost are doing? And [indiscernible] pricing in those spread between those 2 right now?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Josh, this is Karl. Scrap is a little bit of a challenge for us, and our outlook has changed pretty dramatically in the last 30 days. This crap traded up about $5 from December to early January. And now, the expectation for February crap prices is down ab",369,"Josh, this is Karl. Scrap is a little bit of a challenge for us, and our outlook has changed pretty dramatically in the last 30 days. This crap traded up about $5 from December to early January. And now, the expectation for February crap prices is down about $30 a ton, which ballparks 10%. Whta's driving that forecasted scrap deflation is significant availability of U.S. scrap. Iron ore cost that are falling pretty dramatically around the world and then currency exchange rates. The impact of that is probably more -- will be more significant on the flat products because of the availability of both Russian and Chinese flat steel products. Again, scraps driving that currency exchange issues also enter into the flat steel products. From a wire rod perspective, there's less availability of high carbon rod around the world that's of quality enough to utilize in our products or our customer's or competitor's products. The low carbon is somewhat protected now because of commerce's finding the guilt of antidumping claims by the U.S. wire rod producers, specifically low carbon. They've labeled levied duties effective mid-December of between 100% and 200%, depending on the importer of those products. But rod will probably deflate some because of the co-relation to scrap.  Now the impact on Leggett is there maybe, depending on how scrap actually does trade, some pricing pressure on some of other products, there'll probably be a lag of 30 to 60 -- really, 60 to 90 days, which will pressure selling prices, pressure margin dollars, but actually should have a positive impact on margin percentage. And for those of you that are trying to quarterize our guidance, this is probably a bit of a headwind to the first quarter because we, again, if crap falls off, we will have revalue our rod, our wire inventories and our flat product inventories so that evaluation will be a headwind to our EBIT and the respective benefit or the LIFO benefit based on GAAP accounting, we won't book that benefit and tell each one of the quarter's end based on a year end 2015 forecast. So the pain is upfront, the remedy is spread equally amongst the remaining quarters of the year."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","Okay. Thanks for that color, Karl. And so just overall for the year, would you anticipate see margin improvement in the industrial segment?",23,"Okay. Thanks for that color, Karl. And so just overall for the year, would you anticipate see margin improvement in the industrial segment?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Yes, I would expect so.",5,"Yes, I would expect so."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","Okay. And just you talked a little bit about the flat steel. Can you remind us how much you're buying annually in flat steel and the potential against either savings, I'm imagining you might realize there?",36,"Okay. And just you talked a little bit about the flat steel. Can you remind us how much you're buying annually in flat steel and the potential against either savings, I'm imagining you might realize there?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","About 400,000 tons, Josh. That's changed pretty significantly because of our Store Fixtures business consumed a lot of flat products that is no longer part of us.",28,"About 400,000 tons, Josh. That's changed pretty significantly because of our Store Fixtures business consumed a lot of flat products that is no longer part of us."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","Okay. I see. And then maybe for, Susan, one question for you. With respect to the guidance, I was wondering if you could provide is our guidance what it implies for each of the segments.",35,"Okay. I see. And then maybe for, Susan, one question for you. With respect to the guidance, I was wondering if you could provide is our guidance what it implies for each of the segments."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Sure, Josh. And this is admittedly qualitative that it will give you some framework to think about. In the financial, I would assume something in the mid- to high single-digit revenue growth. For commercial, closer to mid-single digit. In industrial, low",76,"Sure, Josh. And this is admittedly qualitative that it will give you some framework to think about. In the financial, I would assume something in the mid- to high single-digit revenue growth. For commercial, closer to mid-single digit. In industrial, low single digit. And specialized, high single digit. All of that collectively decide where you want to be with each of the segments. But the midpoint of our revenue guidance, which is just short of 6%."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Operator","Our next question comes from the line of Dan Moore with CJS Securities.",13,"Our next question comes from the line of Dan Moore with CJS Securities."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","This is Robert Magin in for Dan Moore. Innersprings volumes picked up period in 2014. Do you see this as a means the front-end of a longer-term upswing in demand in that assessment innersprings? And on the flipside, do you see that somewhat of a tough com",50,"This is Robert Magin in for Dan Moore. Innersprings volumes picked up period in 2014. Do you see this as a means the front-end of a longer-term upswing in demand in that assessment innersprings? And on the flipside, do you see that somewhat of a tough comp growth in 2015?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","Well, Robert, I think as the year goes along as -- this is a Perry Davis. We will see the comps become more difficult. We obviously had a lot of challenge us, as I mentioned earlier last year in the first quarter, particularly, with many of the major sell",152,"Well, Robert, I think as the year goes along as -- this is a Perry Davis. We will see the comps become more difficult. We obviously had a lot of challenge us, as I mentioned earlier last year in the first quarter, particularly, with many of the major selling weekends, basically a washout. But as the year progress, we saw those unit volumes continue to expand. And by the end of the year, again, we were at the run rate that was extremely high. If you go back and you look at the statistics that is put out in October, they were showing a 7.5% innersprings pickup year-on-year. We were around 7%. Go to November, they showed a smaller, a little over 3%. We were at 7%, again, and then like I said, as the quarter ended, we had a terrific 12th [ph] period with heavy unit shipments of 24% up year-on-year."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Operator","Our next question comes from Keith Hughes with SunTrust.",9,"Our next question comes from Keith Hughes with SunTrust."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","On the commercial business. Strong revenue growth in the quarter. Can you give us any qualitative statements on what you're hearing from your customers on Office Furniture there in terms of order pace picking up, what they're expecting for the year, any s",49,"On the commercial business. Strong revenue growth in the quarter. Can you give us any qualitative statements on what you're hearing from your customers on Office Furniture there in terms of order pace picking up, what they're expecting for the year, any sort of outlook, that will be great."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","This is Karl. It certainly was a good fourth quarter. That is not an indicator of the industry. We are definitely getting some share, we're positioning ourselves very well in Europe, which was an area that we weren't geographically strong in the past. Dom",100,"This is Karl. It certainly was a good fourth quarter. That is not an indicator of the industry. We are definitely getting some share, we're positioning ourselves very well in Europe, which was an area that we weren't geographically strong in the past. Domestically, there is uptick from, like I said, new programs. The BIFMA forecast is 4% growth this year. I would expect those to probably double that. So we'll see. Well, you see what the public's report from a demand perspective, it varies by each one of those customers, depending on where they are in the product chain."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Analysts","Okay. And [indiscernible] real quick here on the Comfort Core, another great quarter here on Comfort Core. When you start picking the big numbers that you're putting in the last couple of quarters, in Comfort; Core, are there more Comfort Core to go throu",53,"Okay. And [indiscernible] real quick here on the Comfort Core, another great quarter here on Comfort Core. When you start picking the big numbers that you're putting in the last couple of quarters, in Comfort; Core, are there more Comfort Core to go through or is that naturally just going to slow down?"
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Executives","It will actually slow down somewhat as we get later in the year, Keith. But we have seen just a way to go with the [indiscernible] market. Numerous new introductions in the Comfort Core category that continue to drive growth. And if you look at all of las",124,"It will actually slow down somewhat as we get later in the year, Keith. But we have seen just a way to go with the [indiscernible] market. Numerous new introductions in the Comfort Core category that continue to drive growth. And if you look at all of last year compared to the prior year, I mean we're talking 50% growth, '14 over '13. So we will be 50% again this year? I doubt it. But we continue to see huge shifts, and not only at the high higher price points, but we'll begin to see it in more in the mid-range products. And that's basically where the biggest market was focused this time with new introductions, was at those medium-to-medium upper height price points."
30760,282217042,752253,"Leggett & Platt, Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Leggett & Platt, Incorporated","Operator","Our next question comes from the line of John Baugh with Stifel.",12,"Our next question comes from the line of John Baugh with Stifel."
