"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Operator","Welcome to the MasterCard Fourth Quarter and Full Year 2014 Earnings Conference Call. My name is Heather, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded.  I will now turn the call o",56,"Welcome to the MasterCard Fourth Quarter and Full Year 2014 Earnings Conference Call. My name is Heather, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded.  I will now turn the call over to Ms. Barbara Gasper, Head of Investor Relations. Ms. Gasper, you may begin."
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Executives","Thank you, Heather, and good morning, everyone. Thank you for joining us for a discussion about our fourth quarter and full year 2014 financial results. With me on the call today are Ajay Banga, our President and Chief Executive Officer; and Martina Hund-",260,"Thank you, Heather, and good morning, everyone. Thank you for joining us for a discussion about our fourth quarter and full year 2014 financial results. With me on the call today are Ajay Banga, our President and Chief Executive Officer; and Martina Hund-Mejean, our Chief Financial Officer. Following comments from Ajay and Martina, the operator will announce your opportunity to get into the queue for the Q&A session. Up until then, no one is actually registered to ask a question. [Operator Instructions] 
This morning's earnings release and the slide deck that will be referenced on this call can be found in the Investor Relations section of our website at mastercard.com. We've added a new table in the slide appendix to the deck that breaks out the impact of various items to our financial results as an easy reference for those of you who track that detail. These documents have also been attached to an 8-K that we filed with the SEC earlier this morning. A replay of this call will be posted on our website for 1 week through February 6.
Finally, as set forth in more detail in today's earnings release, I need to remind everyone that today's call may include some forward-looking statements about MasterCard's future performance. Actual performance could differ materially from what is suggested by our comments today. Information about the factors that could affect future performance are summarized at the end of our press release as well as contained in our recent SEC filings.
With that, I will now turn the call over to Ajay."
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Executives","Thank you, Barbara. Good morning, everybody. I'm very pleased that we were able to deliver strong results of both our fourth quarter and the full year performance despite what everybody knows as a mixed economic environment. In the fourth quarter, after a",2003,"Thank you, Barbara. Good morning, everybody. I'm very pleased that we were able to deliver strong results of both our fourth quarter and the full year performance despite what everybody knows as a mixed economic environment. In the fourth quarter, after adjusting for currency, we had net revenue growth of 17% and EPS growth of 25%, driven by solid underlying metrics. For the full year, we saw net revenue growth of 14% and EPS growth of 19%. Both EPS growth figures exclude the impact of last year's special item for the charge related to the U.S. merchant litigation.
So in total, we have a good year where we were able to continue to meaningfully invest in growth initiatives that I think will position us very well for the future. And those initiatives and triggered actions resulting in a restructuring charge in this past year's fourth quarter, which Martina is going to go through in some detail later.
So moving on to look at the some of the current underlying global economic trends. Let's start with the United States, which is in relatively decent shape. Our SpendingPulse data showed U.S. retail sales growth, x auto, was 2.9% in the fourth quarter, but that's down from the third quarter growth of 4.2%. And most of that deceleration is due to lower gas prices. By excluding auto and gas, retail sales growth of [ph] 4.1% for the fourth quarter versus 4.80% for the third quarter, showing just a modest deceleration in spending.
And even though 4% growth is nothing to [indiscernible] at, we haven't yet seen the extra savings from lowered gas prices translate into additional discretionary consumer spending. So while overall retail spending grew softer in the quarter, underlying economic indicators that remain positive with unemployment levels and consumer sentiment both showing some improvement. 
Looking at our own U.S. business, as we said for the past couple of quarters, the share deconversion is having an impact on our U.S. GDV growth rate, but if you take out, the underlying growth remains roughly the same over the course of 2014.
Outside of the U.S., Europe's recovery slowed somewhat in the fourth quarter. It still remains challenged and across the region, consumer confidence and economic sentiment decelerated slightly. And while unemployment levels are high, the event [indiscernible] was the prior quarter. But there were a few bright spots in the U.K. experienced good momentum in the quarter. SpendingPulse data for the U.K. is showing fourth quarter retail sales growth of 3.6%, up from 2.9% in the third quarter. 
Even in Spain, preliminary indicators are showing some early signs of recovery. MasterCard's total European volume growth for the fourth quarter was in the midteens and processed transaction growth in the lower 20s, both of which increased from the last quarter due in part to a number of our recent wins across several European markets.
Latin America. Number of indicators there that highlighted the sluggish economic performance across the region. And our fourth quarter SpendingPulse data for Brazil showed retail sales growth of just 0.9%, down from the 2.4% growth that Brazil saw in the third quarter. For the entire region, annual GDP growth is now expected to be around 1%, down slightly from earlier projections of 1.3%.
Mexico, however, is an exception. It continues to benefit from improving [indiscernible] the U.S. and actually undergoing a slow recovery. Our business in the region remains solid. Our fourth quarter GDV and processed transaction growth is in the midteens, about the same as the last quarter.
Across Asia Pacific. Overall business sentiment actually improved in the fourth quarter. Optimism from Indian companies following the recent elections has driven some of that, but is temporary by lingering concerns over the slowing economic growth in China. Consumer confidence across the region holding steady. Our business in the region continues to do well. GDV growth in the midteens. Process transactions growth in the mid-20s, about the same as the last quarter.
So overall, the economic environment hasn't changed much from last quarter. The U.S. tends to be in the better shape. Challenges remaining for continental Europe, for Brazil, parts of Asia. But despite all of this, you can see the strong fundamentals that our business has not changed.
So before we go to our business highlights, there's been some recent news about European regulatory matters and Russia, so let me touch on those a little bit first. And let me start with the proposed European legislation related to card payments.
The European Parliament, the Council of Ministers and the Commission have reached an agreement in December and we are awaiting for the formal adoption and publication of the final text. As expected, [indiscernible] that are now being established for consumer credit and consumer debit cards. Commercial cards are excluded. The regulation provides for the level playing field by imposing interchange caps on 3-party [ph] networks when they operate similarly to a 4-party network. There are some possible exceptions to this but overall, we are pleased with outcome in this part is an important one for us.
Also, a network will no longer be allowed to charge a co-value fee if it does not process the transaction. And finally, the regulation requires the functional rather than legal separation of team and processing functions and outcome [indiscernible] was to became clear that some form of separation will be required. We are working to bring this separation, the functional separation into our operations.
The next form of text is for the language of the agreement to be endorsed by parliament and by the member states. Our best estimates is [indiscernible] in the first half of 2015. Interchange caps have become effective 6 months after that. All of parts of legislation will apply to us starting 12 months after the endorsement. So that's probably sometime in 2016.
So a little bit about Russia. We've been working through the challenges of connecting to [indiscernible], which is the domestic processing switch of the Russian Central Bank in order to meet their late March 31 deadline. I'm going forward by the way. Nothing has changed in terms of being able to issue MasterCard-branded cards for use in the Russian market in terms of the financial impact to our business. Our best estimate is still something less than $50 million on an annualized basis. It will now hit our G&A line. The expense line has a data processing expense rather than the revenue line as previously shared. 
So moving on to some of our recent business activity. We've expanded the relationships, the couple of our large global customers and that's great news. We renewed our multiyear global partnership with Bank of America that will expand share opportunity for us both domestically and outside of the U.S. and primarily on commercial side.
We recently won new business with HSBC, which should all converting to the remainder of our U.S. consumer credit portfolio to MasterCard in the first half of this year.
In the Middle East and Africa, we find a number of new business agreements in the quarter. That should help us increase our credit, debit, commercial and prepaid businesses in countries such as Nigeria, Tanzania, Rowanda, Jordan, Kuwait and the UAE over the course of 2015. And we will build with a strong momentum that we've developed in the region. Over the last 2 years, we signed close to 100 new business agreements that now will [indiscernible] footprint in 30 of Africa's 35 markets.
We feel strongly about activities that take our services to people who were previously excluded from access to the financial system. In Africa, close to 95% of the region's transaction are [indiscernible] in cash. 80% of adults don't have access to a bank account. And working around on their whole aspect and reflecting our commitment towards going in Africa, we've also launched a number of financial inclusion in this [indiscernible]. 
Today, I will pick on 2 of those. First, last week, we announced the start of a collaboration with the African Development Bank to broaden access to financial services. We're going to do that in partnership with local governments in Africa and private sector companies. We have the experties to design and to scale financial solutions. And the African Development Bank is a major source of funding for the economic development of its if 34 [ph] member countries.
So we believe together we can help drive financial execution and economic development across Africa over the next 2 years.
Secondly, last September, in partnership with the [indiscernible] Foundation, we announced that we will be opening a MasterCard lab for financial inclusion in Kenya. This is our seventh global innovation, but it's the first that we have in Africa. It's also the first to receive outside funding.
The last will be dedicated specifically to creating and incubating programs that are targeted to more than 100 million people in this part of the world who are financially included or underserved.
Our efforts on innovation, by the way, are not limited to 1 region like [indiscernible] Africa but only to labs. We're also opening up our technology to external developers. Something we've been trying to do for a while now. The most recent example is the 10-city [indiscernible] competition that starts next month in Sydney in Australia and go on Hong Kong, Singapore, Israel, Brazil, Canada, the U.K. and the United States. In this competition, which is already being planned to some of most of these -- beyond these will bring together developers and entrepreneurs using MasterCard APIs to create a new generation of commerce applications that leverages our platforms, our product capabilities such as the information for the business of Mastercards and our prepared, our loyalty and our product solutions.
In the meanwhile, we're continuing the global expansion of MasterPass. Since it's introduction in the spring of 2013, we now have the platform launched in 16 countries. And just recently, signed on a number of new merchants, Neimann Marcus, Office Depot, Blue Nile, Broadway.com, just some new names in the merchant list. We're also creating some new and [indiscernible] 20 [ph] partnerships. One example is the in France. Caliph was essentially followed by BNP Paribas [indiscernible] and Societe Generale, who by the way, mainly customers of 1 of our key competitors. And has chosen to partner with MasterPass because of what we believe is our global reach in handling all of that cross-border e-commerce transactions as well as some other domestic transactions, too.
With this partnership, up to 40 million people will have access to MasterPass acceptance with a pay linked to a card from their bank.
And so before I turn it over to Martina, I will quickly update you on 2 recent acquisitions. In December, we acquired the payment gateway services business of Transaction Network Services, TNS. And that deal gives us the ability to expand our payment gateway to the U.S. and Mexico and to position ourselves more competitively around the rest of the world where, as you know, we deal with cash and our original mixed platform we only have a presence. 
And so for example, in Asia Pacific and the Middle East/africa, we will add new capabilities: Tokenization, fraud management and we'll also be able to leverage where I think our highly skilled product and software teams that have now recently joined the company with this transaction.
Additionally, we acquired Five One Marketing Limited. That's a marketing, analytics and consulting firm and their plants are basically large retailers across many different consumer sectors. Five One has a proprietary software. They've used that to develop insights from a retailer's own data that can be used for marketing, for merchandising and for operational decisions. If you take that and you combine that kind of in-depth merchant understanding with our existing adviser's capability, that will then allow us to provide greater insight for retailers and the ability to expand our business opportunities with the merchant community.
So with that, Martina, for an update on financial results and operational metrics."
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Executives","Thanks, Ajay, and good morning, everyone. As Ajay already said, we're very pleased with our 2014 full year performance, which delivered net revenue growth of 14% and EPS growth of 19%. I'll now go to the details of our fourth quarter results.So let me b",2272,"Thanks, Ajay, and good morning, everyone. As Ajay already said, we're very pleased with our 2014 full year performance, which delivered net revenue growth of 14% and EPS growth of 19%. I'll now go to the details of our fourth quarter results.
So let me begin on Page 3 of our slide deck and where you see that the difference between as reported and FX adjusted of growth rate for this quarter is more significant than it has been in recent past. This is primarily due to the hedged [indiscernible] from the euro-U.S. dollar exchange rates, especially with what we saw in the FX markets during the last 45 days of the quarter and this continuation into this quarter.
These figures also exclude the impact of the special item related to the U.S. merchant litigation taken in the fourth quarter of 2013.
I'd like to highlight 3 things right on the slide and then dive into the details of the major P&L line items in subsequent slides. So first, EPS growth was 25% after adjusting for currency and share repurchases contributed $0.03 per share.
During the fourth quarter, we have purchased 2.1 million shares at a cost of approximately $155 million. And through January 23, we will purchase an additional 2.5 million shares at a cost of approximately $213 million and we now have $3.8 billion remaining under the current authorization. We continue to look to repurchase shares on an opportunistic basis.
Second, part of the EPS growth is the result of a very favorable tax rate of 20.3% in the quarter as some initiatives only came together within the last couple of months to better align our tax structure to our European business footprint between Belgium and the U.K. We took some of that benefit to reinvest that into the business, which I discussed on the operating expense slide. And third, cash flow from operations were $725 million. We ended the quarter with cash, cash equivalent and other liquid investments of about $6.4 billion.
So let's turn to Page 4, where you can see the operational metrics for the fourth quarter. Our worldwide growth star volume, or GDV, was up 13% on a local currency basis, up slightly from last quarter. Overall, our used GDV grew 8%, similar to last quarter. Credit growth was 7% and debit growth was 8%. Both the same as last quarter.
Outside of the U.S., volume growth was 13% [ph] on a local-currency basis and primarily driven by Europe.
Cross-border volume grew 19% on a local currency basis, higher than the 15% we saw in the third quarter, primarily driven by Europe. Growth in Europe was in the low 20s. Key contributors to this growth included the U.K., Italy, Germany and Sweden. All regions, except the U.S., saw an increase in cross-border volume growth in the fourth quarter.
Let me turn to Page 5. And here, you can see process transactions grew 11% globally to $11.6 billion. We continued to see double-digit growth in most regions. Growth increase from the 10% we saw in the third quarter primarily due to Europe, driven by Russia, Sweden, Poland and the Netherlands. Globally, the number of calls grew 9% with 2.1 billion MasterCard and Maestro-branded cards.
So let's turn to Page 6 for highlights on a few of our revenue line items. Overall net revenue growth was 14% as reported or 17% FX suggested due to currency headwinds, primarily from the euro exchange rate. Additionally, the impact of local currency exchanges through the [indiscernible] currency billing rate was a little more than 1 ppt. In total, acquisitions contributed 3 ppt to our net revenue growth. So after excluding the impact of both local exceptional currencies as well as the impact of acquisitions, we saw a very strong underlying growth of 15%.
Looking at the individual revenue line items on an FX adjusted basis. Domestic assessments grew 7% while worldwide GDV grew 13%. This 6 ppt gap [ph] is primarily due to the impact of local currency and lower-than-average revenue yields in some markets outside of the U.S. similar to prior quarters.
Cross-border volume fees grew 8% while cross-border volume grew 19%. Of the 11 ppt gap [ph], about 7 ppt is due to the impact of local currency. The remaining portion of this difference is mainly due to the higher mix of intra-European activity.
Transaction processing fees grew 13%, primarily driven by the 11% growth in processed transactions. This line item also benefited from additional revenues not driven by transaction count and some pricing partially offset by mix.
Other revenues grew 28%, driven largely by contributions from our Pinpoint acquisition as well as our Advisors business.
Moving on to Page 7. You can see the total operating expenses were up 26% in the quarter or 29% on an FX adjusted basis. Of this close, 9 ppt was due to expenses related to our acquisitions. The other big driver was the restructuring charge, which contributed 8 ppt to the growth. So let me focus on that a bit more.
So specifically, we took an $87 million restructuring charge to cover a series of actions. First, as you know, we have made a number of acquisitions in the processing space and we're now consolidating all of our processing assets under 1 organization that's driving significant synergies.
Second, we are realigning some roles within the company's business groups and redeploying resources geographically in order to invest in and enhance our capabilities in new product areas and technology such as digital and mobile. Overall, these actions would impact over 500 people but our total headcount will decline by a smaller amount given the reinvestment that I just mentioned.
The remaining OpEx growth of 12% was primarily driven by some opportunistic spent such as adding a spend around our autopay and price initiatives as well as continuing our digital investments such MasterPass and tokenization, similar to prior quarters.
Let me turn to Slide 8. And here, we discussed what we've seen in January through the 21st. Most of our business drivers are similar to what we experienced in the fourth quarter after excluding the impact of lower gas prices, particularly in the U S. So the numbers through January 21 are as follows: Starting with processed volume, we saw global growth of 9%, down 2 ppt from the fourth quarter. In the U.S., our processed volume grew 3%, down 2 ppt from what we saw the last quarter, primarily driven by lower gas prices. Processed volume outside of the U.S. grew 16%, about 1 ppt lower than the fourth quarter with growth of mid- to high-teens in each region. process transaction growth was 11%, similar to what we saw in the fourth quarter with double-digit growth in all regions except the U.S., which grew in the low-single digits.
With respect to cross-border, our volume grew at 19% globally, the same as our fourth quarter growth. We continue to see growth in major European markets including the U.K., Italy and Sweden.
Looking ahead, let me start with some commentary about full year 2015. Given what's happening with currency rates and the impact being seen by U.S. multinationals across a number of industries, I'm going to start with that, especially since it was back in 2012, the MasterCard last faced such a big impact from FX. Remember that currency impact does it 2 ways. So first, we have the impact of local currency rates or [indiscernible] transaction currencies. And then with the FX exposure that [indiscernible] hedged by normally on a rolling 12 months basis that typically, as you know, we hedged about 50% to 75% of our total net exposure for about 30 currency pairs. And given that many currencies have depreciated against the U.S. dollar and the euro, new hedge contracts will come on at lower rates over the year. Thus, we continue to expect some net headwind throughout the year both to revenue and the bottom line. 
Based on currency rates -- based on the current rate, this is likely to be around 2 ppt, in the 2 ppt range and this is already included in our FX adjusted guidance.
Second, we have the impact of the translation of our major functional currencies, which are particularly euro and the Brazilian real into U.S. dollars to consolidate our financials. But we do not hedge those exposures. When we talk about FX adjusted growth rates, we are only adjusting for the impact of these 2 functional exchange rates. As the rates to our functional currencies remain similar to where they are today, so that's the euro trading at the 1 13 level and the Brazilian real at the 2 58 level for the rest of the year, the net impact of the euro and the real would be a 4 to 6 ppt [indiscernible] and has actually driven mostly from the euro to our as reported results for the full year. Depending on which line item we're talking about. Revenue, net income or EPS and I will get into that a little bit more.
With that backdrop, now let me get into some of the P&L line items. We expect high single digit net revenue growth for 2015 on an FX adjusted basis. And that will be before and after a roughly 2 ppt contribution from last year's M&A transactions. Our underlying business remained strong and we are seeing traction from many of our recent portfolio wins and new product initiative. However, this year's FX adjusted revenue growth will be impacted by some items specific to 2015. And that's including the remaining case portfolio attrition, largely impacting the first half of the year, as well as the local currency headwinds I just talked about.
Also included are a couple of expected significant contract renewals, some of which will likely have more front-loaded rebates and incentives than our typical agreements. But these renewals provide the foundation for future growth.
On an as reported basis, the net revenue growth rate will likely be in the mid-single-digit range sa a result of strong FX headwinds, primarily from the euro functional translation. Based on current FX rates, this will be about a 4 ppt to 5 ppt impacts.
Overall, we project the growth rate for total operating expense for full year 2015 to be in the high-single digits on an FX adjusted basis. This growth is predominantly due to a roughly 6 [ph] ppt impact from our previously announced acquisitions, with more of that impact occurring in the first half of the year. The as reported growth will likely be in the mid-single-digit range after considering a roughly 10 to 3 ppt range impact mostly again from the euro translation.
Let me give you an update on potential dilution from last year's acquisitions. Now that we've found a few more deals like TNS and Five beyond that Ajay just mentioned, we now expect total EPS dilution to be about $0.08 to $0.10 for the full year 2015 and a little less than half of the expected dilution is actually due to the amortization of acquired intangibles. You should now assume a full year 2015 tax rate of about 28%, due to the continued balance rate we expect from the cash initiatives I discuss earlier. So this is a sustainable tax benefit for future years.
Now then on the details that I just went through, let me step back and summarize for you. We expect solid fundamentals to drive our business in 2015 despite the mixed economic environment and significant headwinds from FX and gas prices. We continue to sign customer contracts and invest in the right strategic areas while managing our expenses prudently.
So finally, let me move onto our long-term performance objective for the 2013 to 2015 period.
Given our expectations for 2015 revenue growth, we now believe that we would deliver at the low-end of our 11% to 14% net revenue CAGR. We continue to expect at least 20% EPS CAGR for the 3-year period, due to continued expense management as well as benefits from our lower tax rate and share repurchases. We remain committed to our annual operating margin target of at least 50%. Remember, these objectives are at constant currency basis and exclude our 2014 M&A activities as well as any new ones that may occur this year.
As a reference point for your modeling, when looking at our performance on 2 -- from a 2-year CAGR perspective, so that's for 2013 and 2014, on a constant currency basis, we have delivered a net revenue CAGR of 12.5% and an EPS CAGR of 21.1%, which is based on the 2012 normalized EPS of $2.14 per share that we provided to you earlier.
Now many of you have asked when we will be rolling our performance objectives forward. As you can see, the underlying drivers of our business are in good shape and we are expanding our reach in areas that we're strategically targeting such as processing, royalty, information services and all things digital. The overall growth prospects for the payments industry have not changed. And for now we have given you some clarity around 2015 as this is the last year of our current 2013 to '15 performance period. Once we have worked to the many moving parts, including the impact of those resulting from the final European payment regulation and the new payment environment in Russia both from a revenue and an expense perspective, we will provide you with our new long-term objective before the end of this year. 
So let me turn the call back to Barbara to begin the Q&A session. Barbara?"
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Executives","Thank you, Martina. We're now ready to start the Q&A session. [Operator Instructions] Heather?",14,"Thank you, Martina. We're now ready to start the Q&A session. [Operator Instructions] Heather?"
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Operator","[Operator Instructions] Sanjay Sakhrani with KBW is online.",8,"[Operator Instructions] Sanjay Sakhrani with KBW is online."
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Analysts","I have a question on the quote Ajay had in the press release. It mentioned new wins and renewals in the pipeline. Are there -- is it both wins and renewals? Because I know you guys talked about the renewals. And then just on the tax rate, Martina. That 28",60,"I have a question on the quote Ajay had in the press release. It mentioned new wins and renewals in the pipeline. Are there -- is it both wins and renewals? Because I know you guys talked about the renewals. And then just on the tax rate, Martina. That 28%, I mean, can that come down further in future years?"
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Executives","This is Ajay. [indiscernible] renewals. I mean, if you read my earlier comments, I talked about the Bank of America commercial and some consumers total actually wins. HSBC is a win but actually converting first their portfolio. There's renewals as well. T",79,"This is Ajay. [indiscernible] renewals. I mean, if you read my earlier comments, I talked about the Bank of America commercial and some consumers total actually wins. HSBC is a win but actually converting first their portfolio. There's renewals as well. There's some in the pipeline that's a combination of renewals with a deeper extension into other markets, which I will come to the part win. So total mix of both and all that's happening as we speak actually."
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Executives","[indiscernible] translate, Sanjay. As you know, we are very much committed to the aligning our business operations to our tax infrastructure. And over the last couple of years, we've been able to work out the tax rates quite considerably. So in fact, in 2",88,"[indiscernible] translate, Sanjay. As you know, we are very much committed to the aligning our business operations to our tax infrastructure. And over the last couple of years, we've been able to work out the tax rates quite considerably. So in fact, in 2014, we're ending up at 28.8%, but planning that, that will go down to 28% in 2015 and over a lot of period point of time, we believe we will have even more work that we can do in order to lower the tax rate."
6477196,281088409,752400,"MasterCard Incorporated, Q4 2014 Earnings Call, Jan 30, 2015",2015-01-30,"Earnings Calls","Mastercard Incorporated","Operator","Tien-Tsin Huang is online with a question from JPMorgan.",10,"Tien-Tsin Huang is online with a question from JPMorgan."
