"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Operator","Good day, ladies and gentlemen, and welcome to the net NetApp Third Quarter Fiscal Year 2015 Financial Earnings Conference Call. [Operator Instructions] I would now turn the call over to Kris Newton, Vice President, Investor Relations. Please go ahead.",39,"Good day, ladies and gentlemen, and welcome to the net NetApp Third Quarter Fiscal Year 2015 Financial Earnings Conference Call. [Operator Instructions] I would now turn the call over to Kris Newton, Vice President, Investor Relations. Please go ahead."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Executives","Hello, and thank you for joining us in our Q3 fiscal year 2015 earnings call. With me today are CEO, Tom Georgens; and CFO, Nick Noviello. This call is being webcast live and will be available for replay on our website at netapp.com, along with the earnin",268,"Hello, and thank you for joining us in our Q3 fiscal year 2015 earnings call. With me today are CEO, Tom Georgens; and CFO, Nick Noviello. This call is being webcast live and will be available for replay on our website at netapp.com, along with the earnings release, our financial tables, a historical supplemental table and a non-GAAP to GAAP reconciliation.
As a reminder, during today's call, we will make forward-looking statements and projections with respect to our financial outlook and future prospects, such as over guidance for the fourth quarter and full year fiscal 2015, all of which involve risks and uncertainties. Such statements reflect our best judgment based on factors currently known to us and are being made as of today. We disclaim any obligation to update our forward-looking statements and projections. Actual results may differ materially from our statements and projections for a variety of reasons. We describe some of these reasons in our accompanying press release, which we furnished to the SEC on the Form 8-K.
Please refer to the documents we file from time to time with the SEC, specifically of our Form 10-K for fiscal year 2014, subsequent Form 10-Q quarterly report and our current reports on Form 8-K, all of which can be found on our website.
During the call, we will discuss non-GAAP financial measures. These non-GAAP measures are not prepared in accordance of generally accepted accounting principles. A reconciliation of our GAAP and non-GAAP results is provided in today's press release and on our website.
I'll now turn the call over to Tom for his commentary on the quarter."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Executives","Thank you, Kris, and good afternoon, everyone. We are clearly disappointed with our top line performance in Q3 and are committed to taking the steps necessary to get back on track.Despite the soft revenue, we delivered another quarter of solid operation",1044,"Thank you, Kris, and good afternoon, everyone. We are clearly disappointed with our top line performance in Q3 and are committed to taking the steps necessary to get back on track.
Despite the soft revenue, we delivered another quarter of solid operational performance with improved gross margin from Q3 year ago and non-GAAP operating margin and at the high end of our prior guidance. We've further reduced diluted share count and delivered EPS within our previous guidance range. We remain confident in the fundamentals of our business and continued to make progress against our hybrid cloud strategy.
Top line revenue finished below the low end of our guidance, impacted by greater-than-anticipated FX movement in the quarter, which Nick quantify shortly, as well as our own sales execution issues. EMEA and APAC were impacted by FX, U.S. Public Sector's driven by strong performance in federal had the highest growth, but Americas commercial fell short of expectation.
The Americas team bullied the increase in enterprise large deal activity in the first half of the fiscal year was optimistic about their forecast. Deals over $1 mils increased yet again in Q3, but we also saw a significant number of large deals slip out of the quarter. We have new leadership in global and Americas sales, and I'm confident in the team and fully expect the execution to improve.
Looking ahead, we see FX headwinds affecting growth for not only NetApp, but our customers as well. As companies lower their revenue expectations for The coming calendar year, there is an increase deferral of IT projects. We clearly so that in January. The anticipated budget was no longer available as companies delivered updated spending targets for the new calendar year and deals that were pushed out may not return in the near term. We are seeing large tech refresh opportunities being replaced with 1-year support renewals and in the case customers remain committed to NetApp, but do not have budget to operate at this time.
Despite the revenue shortfall, we continue to make progress in key areas. As I mentioned earlier, Q3 marked our third consecutive quarter of growth in large deals, a point of validation of our enterprise strategy. In November, we further delivered against our data fabric vision with the availability of NetApp Private Storage for IBM SoftLayer, the SteelStore appliance and Cloud ONTAP or Amazon Web Services.
We also introduced the newest version of Data ONTAP, the industry's #1 storage operating system, Data ONTAP 8.3. To date, ONTAP 8.3 has had the fastest ramp of any of our Clustered ONTAP release introductions. Shipments of clustered nodes grew 160% from Q3 a year ago. The attach rate of Clustered ONTAP continues to increase and now stands at roughly 40% of fast controllership in the quarter.
Total system units shipped increased 9% from Q3 last year. We saw notable strength in E-Series branded and configurations of all-flash. The entire portfolio has been refreshed over the past year with the recent launch of the E560 and the EF560. We continue to see sustained momentum with our broad flash portfolio as flash capacity shipped grew 69% year-over-year.
With FlashRay innovation injected into all-flash and the new EF560, we anticipate that our all-flash array systems will soon hold 2 of the top spots in the industry proponents benchmark.
ONTAP insight also continue to perform well with the a number of deals increasing from Q3 a year ago. Overall, we are confident with our portfolio and pleased with the growth of our margin products.
As we have discussed in the past, both the market and enterprise IT are undergoing a major transition. Likewise, NetApp has been undergoing a decision to position ourselves for the future as we talked about at our Analyst Day last June. The NetApp Data Fabric mission, our seamless hybrid cloud strategy, is up leveraging the nature of the conversations we're having with customers. We have delivered an unprecedented portfolio expansion, including new offerings in flash, object and cloud integration. We further augmented that integration with the SteelStore product line acquisition. We have also had highlighted the internal productivity, efficiency and supply line initiatives that have resulted in gross margin and operating margin improvements, despite a very challenging growth environment. We have increased emphasis on our enterprise and cloud service provider customers, while maintaining the memento we have in mid-sized business.
We are seeing progress on our go-to-market transformation, but it's still a work in process and in need of ongoing improvement and investment. The increase the breadth of the portfolio and our compelling data fabric vision are yielding positive results, it is clear that to fully realize the brand value of these new capabilities, we must expand our go-to-market capacity with greater product coverage, product specialists and partner enablement. Clustered Data ONTAP currently needs the technical requirements of our largest and most demanding customers. We believe NetApp's engagement helping them execute the transition to Clustered ONTAP over the next year will unlock the tech refreshes.
In prior years, go-to-market capacity expansion in times of high confidence in the portfolio proved to be a growth driver, even in difficult environments. We believe we are in a similar situation today. We also understand to delivering shareholder value in a low growth environment and the resulting pressure on operating expenses. We will continue to employ the discipline of shifting resources away from lower-yield activities, as well as driving productivity and efficiency through the organization to offset as much as possible the impact of high priority investments to expand capacity.
Overall, the growth of the emerging products, the uptick of Clustered ONTAP and the residence of our mission customers as well as our operational focus have been on a positive trajectory. All of this only compounds our disappointment with our performance last quarter. External factors, such as FX, was a clear headwinds, but our focus is on our own issues on what it takes to get back on track. We do not see any change to our strategic priorities and we'll aggressively seek to maximize return on our product portfolio within the confines of our business model.
I will now turn the call over to Nick to provide details on Q3 and our guidance for Q4 before returning with summary comments.
Nick?"
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Executives","Thanks, Tom. Good afternoon, everyone, and thank you for joining us. NetApp delivered strong non-GAAP gross margin and operating margin in fiscal Q3, underscoring the resiliency of our business model. We delivered non-GAAP EPS within our previous guidance",1186,"Thanks, Tom. Good afternoon, everyone, and thank you for joining us. NetApp delivered strong non-GAAP gross margin and operating margin in fiscal Q3, underscoring the resiliency of our business model. We delivered non-GAAP EPS within our previous guidance range. However, as Tom indicated, the impact of unfavorable foreign exchange, combined with our own sales execution challenges, presented headwinds in Q3 and resulted in revenue below our expectations.
Net revenues of $1.55 billion were up about 1% sequentially, but down 4% year-over-year. FX headwinds reduced year-over-year revenue comparison by about 1.5 points , only 1 point of which we had anticipated when we gave revenue guidance from Q3 90 days ago.
Product revenue of $930[ph] million was down 8% year-over-year. The combination of soft atonement maintenance and service revenues totaling $622 million was up 5% year-over-year. Branded revenue was 92% of net revenues for Q3 and at $1.43 billion was flat sequentially, but down 2% year-over-year due to a combination of unfavorable foreign exchange and execution challenges in our Americas Commercial sales geography. Adjusted for FX, branded revenue would have been about flat year-over-year.
OEM revenue, which is transacted in U.S. dollar was $124 million in Q3, up 4% sequentially, but down 21% on a year-over-year basis as expected. Indirect revenue through the channels and OEMs accounted for 81% of Q3 net revenues. Arrow and Avnet contributed 22% and 16% of net revenues, respectively.
Non-GAAP gross margin of 64.6% was up just over 1 point from Q3 last year and just above our prior guidance range, despite FX headwinds. Non-GAAP product gross margin of 57% was relatively flat year-over-year, driven by unfavorable mix and FX, partially offset by continued supply chain execution. Sequentially, non-GAAP product gross margin was down just over 1 point due to mix.
Service gross margins of 64.5% was 3.7 points above Q3 of last year and 1.8 points above Q2 due to higher services revenues and lower spending.
Non-GAAP operating margin for the third quarter was 18.5%, at the high end of our previous guidance range. Non-GAAP operating expenses were 46% of revenue.
Consistent with our expectations on non-GAAP effective tax rate for the third quarter was 16.5%.
Q3 weighted average diluted share count of 317 million shares was below our prior guidance, down 6 million shares sequentially and down 29 million shares or 8% from Q3 last year due to continued stock repurchase activity. Non-GAAP EPS of $0.75 was inline with our prior guidance range and reflects the net impact of year-over-year FX headwinds of $0.02.
Our balance sheet remains healthy. We ended the quarter with approximately $5.3 billion in cash and investments, 13% of which is onshore. The sequential decrease in onshore cash was predominantly due to shares repurchased and dividends paid in the quarter. Inventory turns were at 19 and day sales outstanding was 39. Deferred revenue was $3.1 billion, up 2% sequentially and up 5% year-over-year.
Q3 cash from operations was $275 million and free cash flow was 68%[ph] of revenue, impacted by an increase in days sales outstanding due to unfavorable linearity.
In Q3, we returned $251 million to shareholders, which included $200 million in share repurchases and $51 million in cash dividends. Consistent with the guidance we provided last May, we remain on track to complete the remaining $206 million of our current share repurchase program by the end of May 2015, a year ahead of our original schedule.
Over the last few years, we have developed our capital structure and delivered on our commitment to return capital to shareholders while continuing to invest in the business. Through dividends and share repurchases, we have returned a total of $3.2 billion to shareholders since May 2013. We are well-positioned to move ahead with the next phase of our capital allocation strategy.
I am pleased to announce that we have increased the size of our share repurchase authorization by $2.5 billion. We intend to complete this additional $2.5 billion share repurchase program by the end of May 2018, with the first $1 billion of repurchases expected to be completed by the end of May 2016.
Today, we also announced our net cash dividend of $0.165 per share of the company stock to be paid on April 23, 2015. We remain committed to increasing our dividend over time.
Enhancements to our capital allocation strategy reflect our confidence and the long-term strength of NetApp's business, as well as our ongoing commitment increasing shareholder value. We have structured the capital allocation plan to ensure flexibility to support innovation and growth initiatives, the timing and amount of repurchase transactions under the program as well as future dividends and dividend increases will depend on market conditions, business and financial considerations and regulatory requirements.
Now to guidance. We remain confident in our strategy and competitive position. However, based on our own sales execution issues and the continued challenging IT spending environment, we are building a degree of caution into our top line expectations. We also expect FX headwinds to continue and impact year-over-year comparisons.
As a result, our target revenue range for Q4 is $1.55 billion to $1.65 billion, which, at the midpoint, implies 3% sequential growth but a 3% decline in revenue versus Q4 last year. Based on current rate, we have embedded an FX headwinds of $50 million into our Q4 revenue guidance.
We expect our strong value proposition to continue to resonate with customers, and we will have an ongoing focus on supply-chain efficiencies. with that said, we expect non-GAAP gross margins of approximately 63% to 63.5% in Q4, including about 1 point of FX headwinds. We expect non-GAAP operating margins of approximately 17% to 17.5%, reflecting about 1 point of FX headwind as well as investments in our go-to-market capacity.
Based on our repurchases in Q3, we expect Q4 diluted share count of approximately 319 million shares, down 5% versus last year. We expect non-GAAP earnings per share for Q4 to range from approximately $0.70 to $0.75 per share, which reflects about $0.05 of dilution from unfavorable foreign exchange versus last year.
Our full year fiscal 2015 revenue will be lower than anticipated due to currency headwinds and incremental caution entering Q4, which I referenced earlier. EPS is expected to be flat from FY '14 due to affects headwinds, revenue softness and investments in the business, offset by gross margin improvement ensure purchases.
In closing, our product portfolio is as strong as it's ever been and our discussions with customers continue, to involve the mark strategic levels. Our capital allocation strategy continues to reflect confidence in our ability to generate significant free cash flow, which will enable us to invest both organically and organically inorganically in the business as well as return significant capital to our shareholders through share repurchases and dividends. The investments we're making today position us to fully take advantage of the opportunity ahead, and we expect to emerge from the this transition with greater levels of growth and profitability. Through this evolution, we remain committed to our business model and to delivering shareholder value.
Now I would like to turn back to Tom first summary comments. Tom."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Executives","Thanks, Nick. We remain confident in our business, but continue to operate in a challenging environment. We faced ongoing macroeconomic uncertainties on FX headwinds. Our industry is in transition as enterprises manage their existing infrastructure to mee",430,"Thanks, Nick. We remain confident in our business, but continue to operate in a challenging environment. We faced ongoing macroeconomic uncertainties on FX headwinds. Our industry is in transition as enterprises manage their existing infrastructure to meet the current and growing demands of the business while adopting new technologies and delivery options. Our solutions and technology vision are also well suited to help customers meet both of these requirements.
This will play key role in creating value for enterprise customers, and we want to accelerate their ability to realize that value. Enterprise will deploy a hybrid model with both cloud-based and on-premise resources on their IT environments. Our NetApp Data Fabric vision provides customers with the only consistent way to manage, secure and protect their data regardless of where they choose to store it. The NetApp Data Fabric data elements of a hybrid cloud into a single, integrated architecture, giving customers control and choice with the flexibility, elasticity and ubiquity of cloud resources.
Data ONTAP is the foundation of the NetApp Data Fabric. Clustered Data ONTAP delivers true software defined functionality with a set of enterprise-wide data management capabilities, independent of the underlying hardware. Clustered ONTAP enables customers to grow incrementally and nondisruptively with the flexibility of a wide range of deployment options, from converged and integrated systems, to third party arrays as well as software only and cloud options.
We are confident in our ability to help customers that advantage in the evolving IP landscape. Our data fabric vision and portfolio data management solutions offer differentiated approach that improves the economics and flexibility of customers existing infrastructure, while giving on path the hybrid cloud future. Our best-of-breed solutions are compelling for existing requirements and are integrated into our broader vision for the hybrid cloud that only NetApp can deliver.
The investments we are making in our go-to-market capacity and an accelerating the migration to Clustered ONTAP, demonstrate the strength of our conviction in our technology and our strategy. During this transition, we remain committed to our business model and delivering shareholder value. Our expanded repurchase authorization exemplifies this commitment. We expect to come through the transition in a stronger position with a high level of growth and profitability.
Before moving to Q&A, I would like to thank the NetApp team for their commitment. Despite the challenging environment, we are making the right to assist and remain focused on innovation and execution, which enable us to deliver value to our customers and yields solid operational returns.
We will now open up the call for Q&A. [Operator Instructions]. Thank you.
Operator?"
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Operator","[Operator Instructions] Our first question comes from the line of Sherri Scribner with Deutsche Bank.",15,"[Operator Instructions] Our first question comes from the line of Sherri Scribner with Deutsche Bank."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Analysts","Nick, I was trying to get a sense of how the FX split out between your different segments. Thank you for the detail on the impact this quarter, but was a lot of that in product? Or it also in the software and services segment? Because it seemed like the p",57,"Nick, I was trying to get a sense of how the FX split out between your different segments. Thank you for the detail on the impact this quarter, but was a lot of that in product? Or it also in the software and services segment? Because it seemed like the product revenue was down a lot year-over-year."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Executives","Yes, Sherri, in terms of Q3 -- in terms of product revenue for Q3, it was all there. So it's about 2 points on product revenue from the FX side of the fence. You have to remember that the SEM line and the services line are substantially coming in off the",66,"Yes, Sherri, in terms of Q3 -- in terms of product revenue for Q3, it was all there. So it's about 2 points on product revenue from the FX side of the fence. You have to remember that the SEM line and the services line are substantially coming in off the balance sheet. So the FX is really pointed at the product side of the fence."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Operator","Our next question comes from the line of Maynard Um with Wells Fargo.",13,"Our next question comes from the line of Maynard Um with Wells Fargo."
32052,283238561,760412,"NetApp, Inc., Q3 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","NetApp, Inc.","Analysts","A little bit about the execution issues, I guess, to start, what gives you confidence that it is execution issues rather than competitive or secular? And I guess, what can you go into the issues a little bit more in particular and how you do intend to fix",51,"A little bit about the execution issues, I guess, to start, what gives you confidence that it is execution issues rather than competitive or secular? And I guess, what can you go into the issues a little bit more in particular and how you do intend to fix that going forward?"
