"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Operator","Good morning. Welcome to Noble Energy's Fourth Quarter and Year-End 2014 Earnings Call. I would now like to turn the call over to Mr. David Larson. Please go ahead, sir.",30,"Good morning. Welcome to Noble Energy's Fourth Quarter and Year-End 2014 Earnings Call. I would now like to turn the call over to Mr. David Larson. Please go ahead, sir."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Executives","Thanks, Melanie. Good morning, everyone. Welcome to Noble Energy's Fourth Quarter and Year-End 2014 Earnings Call and Webcast. This morning, we issued 2 news releases: One covering the fourth quarter and full-year earning; and the second one, laying out o",139,"Thanks, Melanie. Good morning, everyone. Welcome to Noble Energy's Fourth Quarter and Year-End 2014 Earnings Call and Webcast. This morning, we issued 2 news releases: One covering the fourth quarter and full-year earning; and the second one, laying out our outlook for 2015. A few supplemental slides for this call were also posted to our website.
Following today's remarks by Dave Stover, we'll open the call for Q&A with the executive team, and hope to wrap things up in less than an hour. [Operator Instructions] 
Finally, I want to remind everyone that this webcast and conference call contains projections and forward-looking statements as well as references to non-GAAP financial measures. You should read our full disclosures in our latest news release and SEC filings for a discussion of these. 
With that, let me turn the call over to Dave."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Executives","Thanks, David, and good morning, everyone. I'll start out with a few highlights of Noble Energy's fourth quarter before focusing on our finance for 2015. From an execution perspective, it was an excellent quarter, where we delivered significant growth in",2706,"Thanks, David, and good morning, everyone. I'll start out with a few highlights of Noble Energy's fourth quarter before focusing on our finance for 2015. From an execution perspective, it was an excellent quarter, where we delivered significant growth in our U.S. onshore programs and progressed a number of deepwater development projects towards start up. Sales volumes averaged a record 315,000 barrels of oil equivalent per day, a 14% increase versus the fourth quarter of 2013 after adjusting for asset sales. Highlighting our performance was our U.S. onshore horizontal volumes up more than 50%. We ended the year with total proved reserves of 1.4 billion barrels of oil equivalent as production and noncore asset sales were offset by additions and revisions in our core areas. Over 90% of the reserve editions came from the execution of our low risk U.S. onshore program with the remaining coming from the Gulf of Mexico. We replaced 200% of our production in the U.S., even with pud bookings reflecting future growing activity based on the current price environment. 
On the financial side of the business, we remain highly focused on maintaining substantial liquidity, protecting our balance sheet and sustaining our investment grade rating. Late in 2014, we've proactively issued $1.5 billion in long-term notes at record low coupons for Noble, and ended the year with $5.2 billion in liquidity, including $1.2 billion in cash and $4 billion on our undrawn credit facility. Over the last 3 years, we've been very active in generating cash flow to the business through portfolio optimization, realizing over $2 billion in after-tax proceeds from noncore asset sales and our CONE MLP IPO. And I think it's important to mention that, looking forward, we will continue to seek additional ways to protect our financial strength and flexibility and monetize assets that we feel are undervalued. 
We've been very proactive in our hedging for 2015, with approximately 70% of global crude oil and 48% of U.S. natural gas hedged at attractive prices. Our Israel gas is also acting as a great natural hedge, an important contributor to our cash flow during the year, highlighting the benefits of our diverse portfolio. Obviously, everyone is focused on how the energy landscape has changed in the past several months. I believe the combination of our high-quality assets, deep drilling inventory, strong balance sheet and fiscal discipline have us well positioned, not only for the current year, but for the long-term as well. The key to our success and forward focus remains diversification, which has proven to be a competitive advantage in volatile markets. Our portfolio of opportunities around the world is well-balanced between liquids and domestic and international gas, includes thousands of drillable locations in 2 top-tier U.S. unconventional plays, both of which are well positioned on the industry cost of supply curve. These assets are essentially held by existing productions so we're not restricted in our ability to ramp up or down when appropriate. Offshore, our assets do not require large amounts of maintenance capital, that contributes significant cash flow to the business and provide running room for future growth. This combination of assets gives us a tremendous amount of optionality in how we allocate capital and manage risks. 
As we look at the uncertainty surrounding commodity prices and service costs, it is clear that now is not the time to push near-term production growth. The rapid decline in commodity prices has caused industry margins and project economics to be squeezed. With commodity prices at depressed levels, cost must find a new equilibrium with product prices before we resume investing for significant growth. The depth and duration of the current commodity cycle is unknown. So we believe starting 2015, with the capital budget of $2.9 billion, allows us to retain our financial strength and flexibility for an extended period of time. This program aligns us with the investment environment and cash flow, and we continue to be very disciplined in capital allocation and focused on cost management. 
We're intensely scrutinizing our cost and have already captured significant cost savings and reductions from our service providers. While these are primarily focused on achieving immediate cost reductions, we're also looking at the opportunity to implement some structural cost the changes that will have a long-term impact on margins and the efficiency of our business. 
Now let's walk through some of the details of our 2015 program. We've talked previously with many of you about the capital optionality in our portfolio, including the U.S. onshore program, major projects spendings and exploration as our primary levers in the allocation process. This year's program allocates approximately 60% of our CapEx to our core U.S. onshore and about 35% towards development of our offshore sanction major projects, which deliver substantial cash flows and value to the business. Exploration is set at around 5% of the budgets, although we're still testing a couple of varied material prospects that we're excited about. 
In the DJ Basin, we're coming off a year in which we delivered about 30% growth in our horizontal volumes and further advanced our understanding of the value upside from long laterals, downspacing and enhanced completion techniques. We're currently running a 4 rig program and have focused our activity in the Wells Ranch and East Pony development areas where we can drill a higher percentage of long laterals and can optimize the use of existing infrastructure. Total capital allocation to the basins this year is around $900 million. 
In 2015, we will continue to evaluate well performance from our 2014 downspacing test to assess incremental value in the basins above our standard 16-well-per-section development plan. We now have a high density test across all of our development areas, with early performance meeting and in certain areas, outperforming expectations. We're not anticipating a one-size-fits-all downspace program across our acreage. Additional production data collected this year will help fine-tune our understanding of high density spacing and ultimate recovery throughout the season. Early indications from downspacing continue to suggest that there's a huge price for us in the DJ. 
Our capital budget assumes a $4 million average well cost for standard length in Wells Ranch and East Pony which is down meaningfully from prior years. This has been achieved through supplier price reductions, use of existing infrastructure and sustainable efficiency improvements, much of which has already been captured to date. Our teams have been on the forefront of testing multiple completion methods in the DJ, and we continue to see evidence that our sliding sleeve design is the best value.  In 2015, we will continue to modify this design for optimal stage length and fluid type, both of which have the potential to reduce well cost even further. 
Another factor driving efficiency enhancement in our program is the ability to drill extended-reach laterals, which continue to deliver higher recovery and lower well cost per lateral foot. Approximately 50% of our 2015 wells will be extended reach. Overall, the program lateral length will average 6,500 feet per well, a 20% increase over last year. These are all components a very competitive, unconventional liquids play, and the economics, even at today's prices, remain very attractive, with before tax rates of return of approximately 40% and payout in under 2 years. We expect third-party infrastructure to improve in 2015. Beginning with the start up of the 70 Ranch Compressor Station, which commenced in the first quarter of this year. While  Lucerne-2 plant and Rocky Compressor Stations are progressing for start up in the second quarter providing necessary expansion of infrastructure in the northern Greater Wattenberg Area. In addition, we have recently committed to a third-party low-pressure gathering loop in Greater Wattenberg, which will have a positive impact to the overall operation of the field as early as the beginning of next year. 
On the operated side, we continue to build out our infrastructure in the basin and we'll investigate strategic opportunities to monetize these assets. In the Marcellus, total capital for 2015 is currently planned at $900 million with about 15% of the amount for midstream infrastructure. We're continuing to work with our partner on the optimal investment or 2015. This is not the time to be accelerating gas production, therefore, we have reduced Noble operated activity in the Marcellus to 2 rigs, while retaining the ability to accelerate drilling should that make sense for the future market. 
Performance in the Marcellus shows that this is a world-class asset. This being even further enhance with the completion such as reduced stage and cost for spacing. The RSCS design continues to outperform standard completion by approximately 30% on our operated wells, and we will continue to increase our use of this design in our 2015 program. Recently, gross daily production from the joint venture reached 1 billion cubic feet equivalent per day, with a major contributor growth in 2014 being down the wet Noble operated volume. 
As mentioned earlier, we're completing our sanctioned oil projects in the Gulf of Mexico. Our estimated Gulf of Mexico development budget is $600 million with 3 new fields to come on in the for next 15 months. The lineup of production includes Big Bend start up in fourth quarter; Dentler, which has moved up to around the end of 2015; followed by Gunflint by mid-2016. While these project don't have a meaningful impact on 2015 average production, they're certainly big contributors to our year-end and 2016 liquids rate. 
We're currently finishing completion operations of the Dentler #2 well and expect all drilling and completion operations in the Rio Grande area to be finished by mid-March. Remaining 2015 investment is focused on subsea pipeline installation at Big Ben and Dantzler, and drilling and completions operations at Gunflint. 
In West Africa, the majority of the development capital will be directed to the Alba compression project in Equatorial Guinea, which will create additional value by lowering decline and extending the life of the field. We plan to resume exploration in West Africa with the Cheetah prospect offshore Cameroon. Cheetah is an oil prospect with a 47% working interest targeting over 100 million barrels of gross resources and representing Noble's first cretaceous test in the Duala basin. 
Moving to the Eastern Mediterranean. Tool continues to perform exceptionally well, both from the reservoir and facility standpoint. These high demand and de-bottlenecking of the facilities has resulted recent record production days in excess of 1 billion cubic feet of natural gas and gross sales. 
I want to spend a couple of minutes discussing the regulatory environment in Israel. For over 15 years, we've been working with the government and people of Israel to explore for develop and produce natural gas. Our success has delivered substantial volume in Israel in terms of reduced fuel and electricity costs as well as new energy security. Early last year, Noble Energy, its partners and the Israel and antitrust authority reached an agreement for the consent decree that included the divestiture of the word gas fields in an effort to support competition of supply and move forward the development of word. The recent decision by the antitrust authority did not submit the agreed consent decree for final approval with a direct reversal of their prior agreement and another example of the uncertain regulatory environment in Israel. Now as a consequence, we have suspended essentially all investment in Israel, except for our Ashdod compression project which is nearly complete. Resolution of antitrust manner, along with progress on a number of additional regulatory matters, is required before we can proceed with significant further investment in Israel's energy sector. A predictable and stable regulatory environment is critical requirement in decisions related to major energy development projects. We continue to have discussions with the government in an effort to establish the regulatory framework necessary to progress development of these world class resources. While no agreement has been reached to date, we remain committed to finding appropriate and workable solutions. However, we're also prepared to vigorously defend our right related to our assets in Israel. 
It's worth remembering that Israel's only been producing gas for just over a decade. The discoveries of the giant and fields provide opportunity for substantial regional exports, which is changing the energy landscape of the Eastern Mediterranean. We're excited to be leading the way as further expansion of Tamar and initial development of LeVitus have the potential to material -- materially expand energy, economic and environmental benefits to Israel and the region. 
We were able to sign multiple LOIs for regional export in 2015. The most recent of these was an LOI with a customer in Egypt to supply interruptible volumes from Tamar. The terms of the LOI include up to 250 million cubic feet per day with pricing equivalent to other export LOIs that we signed. It's an opportunity that can have a near-term impact, requires very little capital and will provide relief from gas shortages in Egypt. We have not assumed any of these potential sales in our base guidance but are hopeful to commence exports this year, pending government approvals. 
To wrap up the Eastern Mediterranean, we continue to progress plans for development in Cyprus with our discovery there providing another option to meet growing regional demand. 
Our exploration investments this year company-wide will be about 5% of total planned expenditures. Lower than past years given the environment. While the budget is reduced, the program will test and underexplored area in the Falklands Island with multibillion barrel potential as well as our large prospect in Cameroon. We will use 2015 as an opportunity to further strengthen and enhance our exploration portfolio. I am confident that our best-in-class process and talented employees will continue to deliver exploration projects that will be a key contributor to the long-term growth of Noble Energy. 
As I mentioned earlier, now is not the time to be pushing near-term production growth. We have scaled our capital program back and expect modest growth of approximately 5% from 2014 driven primarily in the U.S. onshore business as well as Israel. In the U.S. onshore, we expect meaningful growth with more than 5% growth in the DJ Basin and 40% plus in the Marcellus. Natural gas sales from Tamar and Israel are expected to rise 10% or so year-over-year. Volumes are anticipated to be down about 10,000 barrels of oil equivalent per day year-on-year in West Africa, with approximately half of this amount being attributed to natural just field decline and the remaining from plant turnarounds. In the Gulf of Mexico, we anticipate flat to modest declines through the year until the Big Bend start up in the fourth quarter. While quarter-to-quarter volumes for us can vary quite a bit, contribution from our Gulf of Mexico development project sets us up well for 2016. In fact, excluding whatever Israel investment turns out to be, we can maintain an even slightly growth 2016 volumes at even lower capital levels than this year. It is this portfolio and diversity of projects that provides Noble a differential advantage going forward. 
For the first quarter of 2015, we expect sales volumes to range from 305,000 million to 315,000 barrels of oil equivalent per day, with the primary variance from the fourth quarter of last year being the timing of liquid listings and planned facility downtime in West Africa. Our U.S. onshore business post the DJ Basin and the Marcellus are anticipated to show growth, with Deepwater in Israel relatively flat. Due to uncertainty of the depths or duration of the present cycle, we believe the prudent approach to 2015 is to manage the spend more closely to cash flows. While this plan provides us with a more modest growth rate than we previously projected, our actions will continue to be focused on ensuring that we exit the current cycle with substantial operating and financial strength that will allow us to either resume a more accelerated pace of activity or pursue other opportunities that may arise. I believe this strategy is the appropriate course of action in a volatile market. Our U.S. onshore development, major project execution and exploration capabilities have us uniquely positioned to differentially outperform over the coming years. Now Melanie, at this time, I would like to go ahead and open the call for questions."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Operator","[Operator Instructions] We'll take our first question from Doug Leggate with Bank of America Merrill Lynch.",16,"[Operator Instructions] We'll take our first question from Doug Leggate with Bank of America Merrill Lynch."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Analysts","This is John Abbott calling in for Doug Leggate. If I could start off, what proportion of your Wattenberg inventory is economic in the current price environment before hedges?",29,"This is John Abbott calling in for Doug Leggate. If I could start off, what proportion of your Wattenberg inventory is economic in the current price environment before hedges?"
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Executives","Well, what I talked about in the inventory that we're drilling this year has about a 40% average return on that. So what we're focusing on our activity this year is in what we would consider our best economic areas, which are Wells Ranch and East Pony, an",61,"Well, what I talked about in the inventory that we're drilling this year has about a 40% average return on that. So what we're focusing on our activity this year is in what we would consider our best economic areas, which are Wells Ranch and East Pony, and as I've mentioned, allows us to also take advantage of infrastructure up there."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Analysts","Appreciate that. And just as a follow-up here. A number of your competitors have been delaying completion. Why not do the same? And also to follow up to that, coming into the year, what is your uncompleted backlog in both the DJ and the Marcellus?",45,"Appreciate that. And just as a follow-up here. A number of your competitors have been delaying completion. Why not do the same? And also to follow up to that, coming into the year, what is your uncompleted backlog in both the DJ and the Marcellus?"
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Executives","Well, we had a number -- if you go back to what we talked about last year, we had a number of completions that will be coming on towards the end of the year and beginning of this year. What we've done is we looked at our inventory for this year and how we",176,"Well, we had a number -- if you go back to what we talked about last year, we had a number of completions that will be coming on towards the end of the year and beginning of this year. What we've done is we looked at our inventory for this year and how we've laid the program out for this year. We've actually set it up so we've spaced out our completions more through the year. Part of doing that was tailoring that to some of the discussions on what the suppliers and service companies that went along with how we implemented some of this cost reduction very quickly here into the beginning of the year. And part of that was also tailoring them to pace of the completions. So we've actually slowed down and tailored that completions to tie it in with what we have set up from a frac crude standpoint that went into the discussions on how we implemented some very quickly reductions and completion cost here at the beginning of the year."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Operator","And we'll go next to Charles Meade with Johnson Rice.",11,"And we'll go next to Charles Meade with Johnson Rice."
292135,281271649,765743,"Noble Energy, Inc., Q4 2014 Earnings Call, Feb 19, 2015",2015-02-19,"Earnings Calls","Noble Energy, Inc.","Analysts","The DJ's really interesting, but I think you did a good job explaining what's going on there, Dave. I wonder if you could give us a little bit more detail on how your conversations are going on the Marcellus? And there's a language in your press release t",118,"The DJ's really interesting, but I think you did a good job explaining what's going on there, Dave. I wonder if you could give us a little bit more detail on how your conversations are going on the Marcellus? And there's a language in your press release that you're still working to figure out the plan for '15. And one other kind of wrinkle to it seems to me is that, it seems to me that actually because of the NGL pricing and some of the infrastructure problems up there, actually the dry gas areas seem to me to be more attractive right now, at least for 2015. And so could you work that into your discussion?"
