"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Operator","The Roper Fourth Quarter 2014 Financial Results Conference Call will now begin. Today's conference is being recorded. I will now turn the call over to John Humphrey, Chief Financial Officer. Please go ahead, sir.",34,"The Roper Fourth Quarter 2014 Financial Results Conference Call will now begin. Today's conference is being recorded. I will now turn the call over to John Humphrey, Chief Financial Officer. Please go ahead, sir."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Executives","Thank you, Olga. And thank you, all, for joining us this morning as we discuss our fourth quarter and full year results. Joining me this morning is Brian Jellison, Chairman, President and Chief Executive Officer; Paul Soni, Vice President and Controller",322,"Thank you, Olga. And thank you, all, for joining us this morning as we discuss our fourth quarter and full year results. 
Joining me this morning is Brian Jellison, Chairman, President and Chief Executive Officer; Paul Soni, Vice President and Controller; and Rob Crisci, who heads up Planning and Investor Relations for us. 
Earlier this morning, we issued a press release announcing our financial results. That press release also includes replay information for today's call. 
We have prepared slides to accompany today's call, which are available through the webcast and also on our website at www.roperind.com. 
Now if you'll please turn to Slide 2. We begin with our Safe Harbor statement. During the course of today's call, we will be making forward-looking statements, which are subject to risks and uncertainties as described on this page and as further detailed in our filings with the SEC. You should listen to today's call in the context of all that information. 
Now if you'll please turn to Slide 3. Today, we will be discussing our income statement results for the quarter, primarily on an adjusted basis. A full reconciliation between GAAP and adjusted measures is in our press release this morning and also included as part of this presentation, which is available on our website. 
For the fourth quarter, the difference between GAAP and adjusted consists of 2 discrete items. First, the purchase accounting adjustment to acquire deferred revenue in our recent software acquisitions, FoodLink and HSP, which we completed in the third quarter. That totals about $1.4 million. 
As a reminder, this represents revenue that, absent our acquisition, those businesses would have recognized. 
In addition, we had in inventory step up charge for IPA for about $400,000. 
Now if you'll please turn to Slide 3 -- sorry, Slide 4, I'll turn the call over to Brian Jellison, Chairman, President and Chief Executive Officer. After his remarks, we will take questions from our participants. Brian?"
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Executives","Thank you, John. Good morning, everyone. We'll try to get this call finished before your [indiscernible] on. So if we start with the Q4 enterprise financial results, we had a really terrific year with a great strong finish here in the fourth quarter. We",4374,"Thank you, John. Good morning, everyone. We'll try to get this call finished before your [indiscernible] on. 
So if we start with the Q4 enterprise financial results, we had a really terrific year with a great strong finish here in the fourth quarter. We had all-time records for incoming orders revenue that we build and net earnings EBITDA cash flow. 
Organic revenue in the fourth quarter was up 7%, and we had pretty much broad-based growth everyplace. Operating margins in the quarter reached 30.1%, which was up 110 basis points and the operating leverage was pretty spectacular in the quarter at 47%. We'll comment about leverage going forward with in our guidance. 
Net earnings were up 13% to $187 million or $1.85 and operating cash flow was up sharply, $1 billion run rate there at $261 million in the quarter, up 11% with free cash flow in that same category. It's very little CapEx this year, about 1% of revenue. So very strong fourth quarter. 
Next slide. We look at the income statement here, you can the orders were up to $924 million versus $900 million a year ago, up 3%. Book-to-bill was 0.98, but -- so we said before sort of 0.97 to 1.03 is the normal spread. But in the fourth quarter, our book-to-bill was always very low -- relatively low because we had so much more year-end and we think so really that book-to-bill of 0.98 is not a problem, and we finished the year at 1.0. 
Revenue was up 7%. We had about 2 points of negative foreign exchange headwinds here in the fourth quarter. 
Gross profit stayed at remarkably high level year here about 60%. The operating margin as we said before had 47% leverage. And that was just strong across the board as you'll see. 
The tax rate was 60 basis points lower than the fourth quarter of last year, which gave us about $0.015, so you can see the depth numbers of $1.85 versus last year's $1.65. 
Next slide. Cash flow performance in the quarter was spectacular. We had 140% operating cash flow conversion and 136% free cash flow conversion. Our cash flow has been growing. As you can see, if you look at 2012, and then '13 and '14, that's an 11% CAGR on operating cash flow the last 2 years. And our free cash flow was 23% of revenue, which is about same as last year's 23% of revenue. Pretty spectacular number. 
We still think cash is the best measure of performance. And if you follow our free cash flow, and you follow the continued growth then you can get a much better understanding about the quality of the company's businesses. 
Here, we start the full year enterprise results, next slide. If we look at the full year income statement, orders were above $3.5 billion, they were up 5% and the book-to-bill was exactly 1.0. 
The revenue was up 9% with organic up 6% for the year, which was certainly in the wheelhouse of what we established as guidance at the beginning of the year. 
Gross margin for the full year was up 70 basis points to 59.3 and our operating margin was up 120 basis points. And for the full year, we had operating leverage of 42%. We used to talk about well, I can go back to 25 to 30, and then it was 30 to 35. And recently, it's been 35 to 40, and we're going to suggest that forward guidance for us is going to have operating leverage at 40% or above on the next dollar of revenue. 
Operating income was up 13%. The earnings before tax were up 16%. Tax was a headwind for us this year as we suggested it would be at the beginning of the year. It was 29.9% versus 29% last year, that cost an $0.08 headwind in our earnings, but even with that $0.08, we still produced $6.42, up 14% and the GAAP number, of course, was up 19% on earnings per share. 
Next slide. In terms of EBITDA and margin, on the left-hand side, you'll see EBITDA has increased over the last 2 years by 30% from $925 million in 2012 to $1.2 billion this year, that's a $276 million increase. 
On EBITDA margins, we continue to improve margins, I think, rather spectacularly. 2012, our EBITDA was 30.8%. People were saying, oh boy, you're going to have to revert to the mean now, you'll be back down with everybody else in the 20s. Well, of course, quite in the contrary, that's just wrong. They were at 32.8 last year and 33.8 this year, and that's all about our governance system and the quality of our businesses, record EBITDA performance. 
Next slide. Here, again, you see a tribute to the governance model what we have and the field execution. Our asset-light business model inventory now running 5.1%, receivables at 16.1% and the way we look at the working capital number, you can see it's dropped from 7% 2 years ago when people thought that was an unbelievably good number to now 5% at the end of this year. So our guys continue to understand how to execute our asset-light business model. 
Next slide. Now we look at the strong financial position and the balance sheet of the company, it's certainly a powerful balance sheet with a lot of power that we intend to use. 
You can see that cash has gone up to $610 million. Now a lot of that is not the U.S., but our cash and undrawn revolver gives us a $2.1 billion capacity. The trailing 12 months EBITDA now has gone up to $1.2 billion, so our gross debt number at $2.2 billion is 1.8x our EBITDA, and we're going to be quite comfortable if it's at least a turn higher. We'll discuss our activity that's going to be occurring in the first quarter and throughout the year later, but we still believe we're going to deploy about $8 billion over the next 5 years in transactions. 
Next slide. We'll get into the specific detail now on the segment. If we look first at the revenue growth by segment last year, you'll see in the left-hand side on our organic basis, energy was up 5%, Industrial Technology, half of which is Neptune, was up 7%. Our Radio Frequency was up 5% and Medical was up 8%.  If we look at the total revenue growth by segment, you'll see Medical was up 16% as the acquisitions added to the organic number. 
Next slide. Here, we look at the overall segment performance on $1.00 value and EBITDA basis so that you can get some better clarity on the fact that RF and Medical represents about 2/3 of our total EBITDA progression, and it's well over half of our revenue now. 
So the original sort of energy business is the smallest segment we have at $692 million, still outstanding performance with $226 million of EBITDA and the largest section. First time that we've ever had $1 billion segment in Roper, so you now have Medical with $108,002,000,000 in revenue, pretty good solid standalone entity, but $472 million in EBITDA. 
Next slide. If we look at the oil and gas component of the company, the legacy of the company was oil and gas and up until through 2007, it was a pretty big portion in the overall company. 
Today, it's a very, very small portion. Our upstream represents 5%, our Medical, RF and software water markets were 86% of the company. And the downstream, midstream, which is actually going to have modest growth this year is about 9%. 
Now what the slide showing you in addition to the breakout here, our Upstream business is about 5% of revenue. Some of that is in the Energy sector and some is in the Industrial Technology sector, where Roper Pump resides. 
We have -- even though the market we think will be down 20% perhaps even a little bit more, or we have a benefit in the Roper Pump has these technologies that we launched and the new facility to get broader categories of those into the marketplace quickly in Houston a year ago. Well, those shipments didn't really start to occur until the second half of the year in any level, so we have an easy comp with the first half of 2015 in those products, in which we're gaining share, so that will mitigate what normally would have been a deeper decline in upstream. 
In our field service and retrofit activity in midstream it's actually continuing to move up a little bit. And then we have the refinery instrumentation businesses in the field service associated with that also, which will have modest growth. 
One of the things we did in December is we had all of our oil and gas people in for a couple of the meeting where we did a focused review to recast what they had originally submitted for 2015 projections. We had them bridge the risk by customer and by category, by product line. We reviewed the contingency plans and the triggers that they had in place. These guys are world-class and nimble execution. As they did a new stop, they made a few changes already and are monitoring activity routinely. In fact, Friday, we had a dust up on exactly where we were January today. I'd have to say that the momentum is actually as good as it was in the fourth quarter. We really aren't seeing anything related to product fall off at all. It's above our expectation through the first 3 weeks of January, which doesn't necessarily mean anything. But there has not been any early indicator yet other than project delays. And what you'll hear from other people who haven't really determining their CapEx plans to later. But most of our products are not going into CapEx driven activity. 
The guidance that we established and we'll talk about reflects the up-to-date business expectations of all of our oil and gas people as of January 23. And as I stated, our product activity hasn't slowed. 
The other thing I think as I've read some of the commentary about the company is people thinking that there's some way to ascertain something that happened in 2008 or 2009 for our company, and, I guess, we just failed to do a good enough job to remind people who we are. 
If you look at 2008, we had CBORD in February, and then later in the year, we had Horizon and Get Loaded and Tech Club, 3 software companies. And those weren't in full year for '08. 
And then if you look at our acquisition since '08 where people are doing comparisons, we've added United total, which is a software system that's driving so much of our growth in TransCore. The iTradeNetwork, Verathon, Northern Digital Medical, Ascension Medical, Managed Health Care Associates, Sunquest, Strategic Healthcare programs last year they had product achievements last year, FoodLink and now Strata Decision Technology, all these are either medical or software companies that created over $1 billion of revenue that's in our numbers today that wasn't there in 2007. So to say there's some quid pro quo on this just belies the reality of who we are and what we become. 
Next slide. Here, we look at the Energy Systems & Controls sector we can tell you that there's about $125 million of revenue upstream out of our total Energy Systems & Controls business. 
You can see in the fourth quarter, their operating profit was up 11%. Their OP margin reached 36.1%, up 280 basis points and EBITDA or energy in the fourth quarter was 39%. 
Organic revenue was up 4%. We had very significant strength really in some of the businesses that people think are going backwards, which as far as now, we're not. So these shut off systems was up in the high teens, and so is vibration monitoring, field service growth continued, but we did see project activity declining at CCC postponement, so that's something that we'll be watching carefully throughout 2015. 
As we look at guidance establishing for next year, we look at upstream declining, which is about 20% of the revenue in the segment. And then we think the midstream and downstream will have very modest growth and that represents about 40% of the total segment. 
And then the non-oil and gas business services are another 40% of the Energy Systems & Controls. 
So when we net it all together with the declines in the upstream, modest growth in the non-oil and gas arena, this segment, we think, will come in flat to modest organic growth for the year. 
Next slide. Here, we'll look at Industrial Technology. In Industrial Technology, we have about $75 million of upstream revenue in the entire segment.  And oil and gas sort of split a little bit between the upstream, not much downstream in the segment, maybe another $25 million at the most. 
Here, you can see that organic growth was 13% in the fourth quarter, broad-based throughout the different businesses in this segment. The Roper Pump had all-time performance records. They continue to win new customers with the newer technology and the product investments that we made over the last 2 years have really driven substantial revenue and certainly helped us as we get the end market falloff in that activity. 
We had growth at Neptune driven by strength of the U.S. market. We're starting to see the Toronto project wind down and we'll talk about that here in the guidance. 
We had double-digit growth in material analysis and the OP margins in our industrial segment in the fourth quarter you can see were 31.4%, up 190 basis points and EBITDA hit $74.3 million at 33.8% of the revenue. 
So in guiding in 2015, we think Roper Pump share gains will support flat revenue for them in total despite a pretty steep decline in the market. 
Neptune will continue to grow in the U.S. The Toronto project completion is expected in the first half of next year. You can never put your finger exactly on that, but they have movement at the faster pace than the originally suggested. 
We've had continued -- we expect continued growth in material analysis, although you've got some currency issues with the Danish kroner, and then we've got the modest organic growth we're seeing in the segment in whole only because the Toronto RF project completion should occur sometime in the year and that could really create about a $25 million to $30 million debit in this segment on revenue, which is the bad news. But the good news is we've got another RF product that's going to offset all of that and then some that we'll talk about as we look at the Radio Frequency Technology segment next. 
So next slide. So here we go into RF Technology, we'll just talk about the good news here. We were awarded the substantial contract for Riyadh, Saudi Arabia traffic management system. This will be using our trend suite software transportation management system. This is totally different controlling now. This is the stoplight transactions in Midtown Manhattan. 
There's a lot of installation management in this project, which of course is lower margin work. It's a 5-year contract to support post close. We do expect it will completely offset the Toronto wind down of Neptune even though both are RF business, one happens to record in industrial now and 1 in RF. 
So now we look at the segment as a whole, you can see the revenue was up just slightly. Total traffic infinity lane projects execution remained very strong with favorable variances both in Texas and Florida. We had terrific subscriber growth in our freight matching businesses, DIT and Get Loaded and iTrade strength in the U.S. was pretty good but unfortunately offset by U.K. weakness and problems in the U.K. with that business. 
Technolog decline, another U.K.-based software business in the utility industry, but bid activity was pretty strong and Technolog tends to be a little bit up-and-down kind of business and should be up again in 2015. 
So then if we look at the -- in addition to that OP margin at 28 4, EBITDA for the segment was $82.4 million at 34.3% and RF now represents 26% of the enterprise's EBITDA. 
In addition to the Saudi contract that was awarded, we do expect additional scope in the foreseeable future around us because Riyadh, of course, is a very important city but only one of many. 
TransCore's backlog and quote activity is going to support segment growth through 2015 and the toll tag growth that we have enjoyed recently is going to continue, particularly in Florida, Texas where people continue to migrate to our very small steeper tag as opposed to the plastic boxes that so many people in New England still use. 
software and SaaS businesses are going to continue to grow mid-single digits, very high margins, they draw up a lot of cash that allow us to make reinvestments in their own businesses or buy bolt on things for them. And the segment, we think, at the end of the year will have single-digit organic growth. 
So next, let's look at medical. I think this will be the last time in a call that we'll be able to contain medical on 1 slide. As you can see, we work very hard to try to achieve that and pretty much made it, but I don't think all that's going on there and everything we know about will allow us to do that ever again. So prepare yourself for 2 slides in 2015. 
So here we are with a very strong fourth quarter, up 12% of revenue, OP was up 15%, operating margins, 35.5% aren't the real story here. The real story here is EBITDA. 
We delivered $126.3 million in the fourth quarter in EBITDA, which was 43.9% EBITDA margin. Really, a way you have to think about the segment now is that it's medical products in one leg, it's software and service in another leg, and then the residual life science imaging component that we have in there. 
Organic revenue in the fourth quarter was up 9%. We had double-digit growth at MHA with share gains in favorable end markets, which continue. Sunquest growth continued. We had customer flotation that customers delayed in 2015 that we thought it's interesting, which is fine with us. 
New products at Verathon really drove spectacular growth in the fourth quarter at Verathon, and we like to think that's going to continue throughout 2015. 
Our imaging family improved somewhat with Gatan had a strong quarter, which really led that growth. And Gatan had shifted much more emphasis around life science. It used to be kind of split between physical science and life science, but with the new technologies we've introduced with the exceptions of K2 camera technology and filters, more and more life science is coming our way. 
And then the last bullet point here, SHP, which is Strategic Healthcare programs, and IPA, Innovative Products, performed really well. They're certainly on track with what we thought at the time we acquired them and probably have better forward growth than we might have guessed. 
As we think about 2015, I think you have to start with the context of understanding that MHA and Sunquest are really truly transformational for Roper. They're more transformational today than Neptune and TransCore, where in the early point of the audience. They have really great focus opportunities to build on each one of those businesses, Sunquest and MHA, including acquisitions. The number of acquisitions we can make is much broader than anything we've ever had. 
One disappointment around Neptune is it's done exceedingly well, but we haven't been able to acquire things because its competitors are less than exciting and most of the people we see in this space are not the kind of companies we want to own. I think that as Neptune has outperformed all those over these years. 
TransCore, we have been able to build out somewhat through acquisition, but mostly it's been organic growth. But Sunquest and MHA are different story. 
MHA is capturing new opportunities, it's benefiting from favorable demographics. Its acquisition and Strategic Healthcare programs was really the first addition that we've had MHA in the third quarter of 2014. We expect another one is going to happen yet within this quarter. 
Sunquest has had this moderating growth for 2015 because of the meaningful use upgrades that have been driving such high level of growth in the recent past, but our investments and eternal development, the things were doing with partners that we aren't really able to talk about yet and the opportunities that they have in front of them are really exciting. We're likely to announce another important acquisition here soon that relates to Sunquest. 
So both MHA and Sunquest, I think you'll see continued acquisitions building those very large platforms down the road. 
The Medical Device businesses are on a pretty solid growth path for 2015. We think that Verathon's going to continue to have its market share gains and product replacements going on. 
And then we just, last week, announced our first deal of the year, it won't be the last, and that's Strategic Decision Technology, which is a company run by Dan Michelson in Chicago. It's a very exciting company with a new product. It's a small company, kind of low just turned past $30 million of revenue, but they have been growing at 20% the last 3 years and now within the fusion capital from us, they're going to be able to continue to race that growth specter. And they have a new phenomenal product, which is so important for the country, around cost containment and cost improvement for hospitals. Their strategized platforms have been running at a number of hospitals in a variety of ways. But the new program that Dan and his team is going to be offering that came out to be a project that they did for Northwestern Hospital since University is really spectacular. 
In total then for the segment, we think we'll have mid- to high single-digit organic growth for the segment by the end of the year and I commit to you that we wont crowd the slide, we'll just do 2 here. 
Okay, now 2015 guidance. Here, if we turn the page. So full year guidance we establish at $6.70 and $6.94, and we put a good deal of energy into looking at this. The organic revenue growth for next year we think will be around 3% to 5%, and that's after completely adjusting for the newer macroeconomic trends that people have seen since December 30 to now. 
Operating profit leverage we can probably say will be about 40%, and that's pretty good by anybody's standards. 
Our foreign exchange rate is going to hurt us. All of our guidance is still predicated on the year-end numbers. We think that's going to cause us about $0.10, which is inside these numbers. If the dollar continue to strengthen even more, you'll have a little bit more risk. It could be as high as twice that number. If today's race lasted for the entire year, it got worse. 
The tax rate, we think will come in at around 30% to 31%. That's about a nickel headwind into the comparative earnings at the midpoint, so it could be a little higher if the tax rate got higher last year if. You remember was 29.9%. So we're hoping it will be around 30%, but it could certainly go up to 31%. 
The guidance at $6.70 and $6.94 gives you a midpoint of $6.82 is excluded in any future acquisitions that will occur or any divestures. And the full operating cash flow, we're establishing at the beginning of the year will exceed $900 million of operating cash flow for 2015 with our normally strong cash conversion. 
First quarter, we established debt at $1.47 to $1.53. It includes Strata, but it excludes another acquisition that will happen in the first quarter or any divestitures that could occur. 
Next slide. So here, we look at the 2014 summary and 2015 prospects. So Q4, we had record performance, very strong finish to a terrific year. 
For the full year, we achieved record results in all these categories, orders, revenue, net earnings EBITDA and cash flow. 
Revenue was up 9% with organic up 6%. Very significant financial achievements, sort of threshold level of activity where you see operating profit exceeded $1 billion in the company for the first time at margin at 28.2, 42% operating profit leverage. 
The EBITDA exceeded $1.2 billion for the first time and EBITDA margin got all the way up to 33.8%. 
Free cash flow was 23% of revenue, and we expanded our medical and software platforms with 3 acquisitions: Strategic Healthcare, Innovative Products and FoodLink. And these 3 deals, which are smaller than the things we've done recently are really a precursor at some of the types of outstanding businesses you're going to see us continuing to add in medical and software where they have higher growth characteristics but then to be somewhat smaller revenue businesses.  And there are a lot of these that we're involved with as we speak. 
In 2015, we expect to have record performance of Roper despite the fears around macroeconomics. We're going to deploy over $1 billion. We're very confident off in the year could easily be more than that. 
The first deal, Strata, we talked about a little bit, but it's not going to be the only deal in the first quarter, that's likely. 
I think it's important as we close out the call and get ready for the Q&A here that we are really well positioned in 2015 because the company, really, the emergence as a technology platforms and our ability to deploy capital are frankly more important than many of the macroeconomic considerations markets in so many people talked about. So we're looking forward to a great year at '15. 
And with that, we'd like to open it up to Q&A."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Operator","[Operator Instructions] We'll go first to Joe Ritchie at Goldman Sachs.",11,"[Operator Instructions] We'll go first to Joe Ritchie at Goldman Sachs."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Analysts","So I guess, I'm above [indiscernible] myself through the second flat at medical and scientific imaging coming next quarter. But the first question I have will be...",27,"So I guess, I'm above [indiscernible] myself through the second flat at medical and scientific imaging coming next quarter. But the first question I have will be..."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Executives","[indiscernible] That wont be very important in the second slide that terms, scientific imaging. Think about medical imaging [indiscernible].",19,"[indiscernible] That wont be very important in the second slide that terms, scientific imaging. Think about medical imaging [indiscernible]."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Analysts","Fair enough. So I thought, look, pick quarter, a good year. Brian, I know that your company has undergone significant transformation since 2008, 2009 time frame where we have energy price has been closed. But a lot of acquisitions have occurred outside of",110,"Fair enough. So I thought, look, pick quarter, a good year. Brian, I know that your company has undergone significant transformation since 2008, 2009 time frame where we have energy price has been closed. But a lot of acquisitions have occurred outside of energy. And the question I have it's really on the energy portfolio. How is that evolved really since 2008, 2009 where you just see some pretty significant organic growth declines during that time frame? I'm just trying to get a sense for how the portfolio there has evolved and how you expect to have a more resilient earnings stream in energy during this downturn that we see."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Executives","Well, certainly, a big part of what happens in energy is our Verathon technology, which has been very important for the continuous operation of what's going on with fracking. It doesn't require new wells, it doesn't require rig count or anything else, and",211,"Well, certainly, a big part of what happens in energy is our Verathon technology, which has been very important for the continuous operation of what's going on with fracking. It doesn't require new wells, it doesn't require rig count or anything else, and we haven't had that technology in 2008. That's only just appeared, really, in 2013 and '14. So that's like an additional business, it wasn't there previously. We also acquired a software control company called United Controls or CCC that offers various things that we didn't had out of CCC in terms of dealing with different types of gas turbine engine technologies on a retrofit basis. And that's Useful. we had online software that we added to our business, Cambridge and [indiscernible] Trinity software for CCC. So we've got some things that continue to grow and aren't related to rig counts and upstream activity, so that's good. I would say though, there are businesses that in oil and gas are spectacularly great businesses. They have EBITDA margins that are consistent with the overall enterprise EBITDA margins and pretty much our best-in-class activity. Thank goodness the vast majority of their activity is not upstream, well over 60% of those businesses are downstream and midstream, and so that helps a lot."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Executives","The other thing I would say, Joe, is that what we want to learn from the successes that we had and what did occur in these businesses during 2009. Well, but 2009 was really a demand shock, it wasn't that price went down and therefore, everything else were",167,"The other thing I would say, Joe, is that what we want to learn from the successes that we had and what did occur in these businesses during 2009. Well, but 2009 was really a demand shock, it wasn't that price went down and therefore, everything else were down. The price were down because everything else were down, right? So you have to understand that we don't see an enormous decline, so therefore, the large installed base that we had around Compressor Controls and instrumentation for PAC, which really served the midstream and downstream markets, those will continue because those are more throughput driven. And we don't  see the 15% kind of immediate demand shock across not only that segment, but the entire world that we saw in 2009. So we want to make sure that we are very nimble in the way that we act and particularly in the upstream side where it's always a little more cyclical than the rest of the oil stream market."
22751,281807781,748818,"Roper Industries Inc., Q4 2014 Earnings Call, Jan 26, 2015",2015-01-26,"Earnings Calls","Roper Technologies, Inc.","Analysts","Okay, that's helpful color guys. And maybe just one follow-up here. You talked about historically your incremental margin being flat in that 35% to 40% range, but here, you continue to do 40% plus. As you head into 2016, your growth rate is going to be sl",99,"Okay, that's helpful color guys. And maybe just one follow-up here. You talked about historically your incremental margin being flat in that 35% to 40% range, but here, you continue to do 40% plus. As you head into 2016, your growth rate is going to be slightly lower than '14 at least that's what you're  projecting today. And you had some headwinds in that RF side business in 2014. And so I'm just trying to get a sense in your confidence in that 40-plus percent incremental. And how are you guys thinking that across different parts of your portfolio?"
