"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Operator","Welcome to the Fourth Quarter 2014 Tenet Healthcare Earnings Conference Call. My name is Dana, and I will be the operator for today's call. [Operator Instructions] The slides referred to in today's call are posted on the company's website. Please note the",72,"Welcome to the Fourth Quarter 2014 Tenet Healthcare Earnings Conference Call. My name is Dana, and I will be the operator for today's call. [Operator Instructions] The slides referred to in today's call are posted on the company's website. Please note the cautionary statement on forward-looking information included in the slides. I would now like to turn the call over to Trevor Fetter, Tenet's President and CEO. Mr. Fetter, you may begin."
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Executives","Great. Thank you, operator, and good morning, everyone. Last evening, we reported Tenet's strongest quarterly EBITDA in more than 10 years. We generated admissions growth that was among the highest in the industry as well as strong growth in adjusted admi",1241,"Great. Thank you, operator, and good morning, everyone. Last evening, we reported Tenet's strongest quarterly EBITDA in more than 10 years. We generated admissions growth that was among the highest in the industry as well as strong growth in adjusted admissions. Approximately 70% of our volume improvement had little or nothing to do with health reform, demonstrating the underlying strength of our business. This non-ACA core volume growth alone is the strongest in 5 years for Tenet and came from across the spectrum, including inpatient admissions, commercial admissions, outpatient visits, surgeries and emergency department visits.
With regard to our strategy to maximize our opportunity under the ACA, the Path to Health program we launched in 2013 remained active for the second open enrollment period. Program utilizes Conifer's financial counselors, direct-mail marketing programs, hospital-based enrollment activities and community events. We held nearly 800 outreach and enrollment events, reaching tens of thousands of people in our priority markets. I'm very pleased that our daily enrollments have increased by more than 60% during this enrollment period, and we estimate that we will exceed the number of exchange enrollments that we achieved last year even though the enrollment period is shorter. This will include a combination of renewals and newly insured individuals.
We negotiated and renewed a number of contracts with key national and regional payers in the fourth quarter. At this point, we've completed contracts covering more than 90% of our expected commercial revenue for 2015. I'm pleased that we continue to be very well positioned in the network of many of the most cost-effective and popular plans offered on the exchanges. This year, we are contracted with over 83%, the lowest-cost plans on the silver level. That's an excellent number and should provide a competitive advantage to us yet again as we gain share in this important market.
We also continued to advance our efforts with new care models. We now have ACOs in more than half of our markets and have plans to develop several additional ACOs this year to further accelerate our movement from volume to value.
Our outpatient business is thriving, continues to be a great success story for Tenet. Visits to our outpatient centers increased significantly during the quarter and almost all of the growth was organic. We had a growing network of 210 facilities at the end of the year, up from 183 at the end of 2013. We also acquired 2 new surgery centers and opened 2 med post-surg care centers just in the first 2 months of this year.
Our outpatient centers continue to attract consumers who want quality care at a lower cost as well as potential partners looking to leverage our development and operational capabilities. As health care delivery evolves and consumers shop for more affordable solutions, Tenet is strategically positioned to capture the benefits of this fundamental shift. We see many opportunities to continue this growth, both within and apart from our acute care hospital markets.
Conifer also reported an outstanding quarter with a 24% increase in revenues. Its annualized revenue run rate now exceeds $1.3 billion. Conifer generated $64 million in EBITDA during the quarter, which is a 78% increase over the fourth quarter of last year and reflects consolidation of the Vanguard business and the continuing increase in margin on our business with Catholic Health Initiatives. On an annualized basis, Conifer is delivering roughly $0.25 billion in EBITDA.
In January, Catholic Health Initiatives and Conifer announced an extension and expansion of their partnership to 2032. Conifer will provide patient access, revenue integrity and patient financial services to more than 90 CHI hospitals. This is a significant milestone in the Conifer-CHI relationship, which underscores Conifer's industry-leading capabilities and the meaningful value it brings to innovative systems like CHI. CHI has more than delivered upon its initial commitment to our Conifer partnership and now owns 24% of Conifer as was anticipated when it formed in the relationship in 2012.
Conifer also continues to gain recognition as a leader in the industry. In December, the Black Book 2014 User Survey ranked Conifer #1 both revenue cycle and value-based care services.
Slide 3 summarizes some of the actions we are taking to optimize our hospital portfolio. As we've shared with you in the past, we are committed to building leadership positions in the markets in which we compete. Our objective is to be either #1 or #2 and we currently hold these positions in 21 of our 31 markets. 
Increasingly, we see partnerships with an attractive vehicle to improve our position where we already have a presence or expand our footprint to new geographies. Partnerships can have all the strategic benefits of an acquisition but with a much lower capital commitment. 
In December, we signed a Letter of Intent to create a new joint venture with Baptist Health System in Birmingham, Alabama. The partnership will build upon the strength of both Baptist and our Brookwood Medical Center. It will our enhance our collective ability to provide higher-quality, lower-cost, more convenient care to a larger geographic area. 
The combined network will be a competitive market-leading system with 5 hospitals, 77 primary and specialty care locations and 1,500 affiliated physicians. It will also give us the capability to pursue new care and payment models. We see this as a win for all parties with a wide array of benefits for the community, our patients, our new partner, our employees and our shareholders.
We now have plans to expand our presence in Arizona through a joint venture with Dignity Health and Ascension, which are both highly respected nonprofit health systems. Under the terms of the JV, Tenet will become the majority partner with management responsibility for all operations with the 3-hospital Carondelet Health Network in Tucson. 
This transaction will connect Carondelet to a much larger statewide health care system, including the growing accountable care organization that we currently have with Dignity. From our perspective, this is a unique opportunity to extend our presence with beyond Phoenix into the attractive Tucson market, and it's consistent with our strategy to create new innovative models for patient care.
Also in the last few weeks, you may have seen media reports indicating Tenet's exploration strategic option for our hospitals in Atlanta and North Carolina. We are actively looking at various attractive alternatives and are pleased with the level of interest.
Finally, we terminated our discussions to acquire 5 hospitals in Connecticut in partnership with Health System. While this was a disappointing outcome after more than 2 years of hard work, conditions proposed by state regulators would have impeded our ability to restore the hospital's long-term operational and financial stability. Moreover, we are unable to achieve any level of certainty regarding either the timing or outcome of the regulatory process had we continued to pursue the acquisition.
In summary, we're making great progress on a number of fronts. We remain focused on the core strategies that are driving performance, implementing value-based health care solutions, building leading positions in our markets, investing in faster-growing higher-margin businesses and innovating with new care models. 
Our results in the fourth quarter and for all of 2014 provide tangible evidence of our progress. We're entering 2015 on a solid foundation with projected top line and bottom line improvements and are optimistic about the opportunities ahead. 
With that overview, let me turn it to Dan Cancelmi for more color on the quarter and our outlook for the year. Dan?"
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Executives","Thank you, Trevor, and good morning, everyone. Let's turn to Slide 4 to take a closer look at the underlying drivers of our earnings growth.We generated $646 million of adjusted EBITDA in the fourth quarter, which was at the top of our outlook and compa",1715,"Thank you, Trevor, and good morning, everyone. Let's turn to Slide 4 to take a closer look at the underlying drivers of our earnings growth.
We generated $646 million of adjusted EBITDA in the fourth quarter, which was at the top of our outlook and compares favorably to $444 million last year. Slide 4 shows that even after adjusting for a few large items that had a net positive impact on the quarter, we drove normalized EBITDA growth of $86 million or 19%. 
To compute our core EBITDA growth for the quarter, we also backed out the benefits that we generated from Vanguard synergies and the Affordable Care Act. These items are very real and the list we captured from them is expected to be sustained. However, if we exclude them, as well as the related Medicare cuts, we still drove an impressive core EBITDA growth of 9%. 
The quarter capped off a strong year for us. We grew EBITDA by $176 million in 2014 on a pro forma basis or an increase of 10%.
Slide 5 shows that if we make the same type of adjustments, we increased normalized EBITDA by 14% and generated core EBITDA growth of 6% in 2014.
Slide 6 summarizes some of the highlights of the quarter. We generated strong volume growth, achieving a 4% increase in same-hospital admissions and a 4.5% increase in adjusted admissions. About 70% of the increase in our same-hospital adjusted admissions was core growth and unrelated to the growth we're generating from the ACA. Our volume trends were broad-based as we drove increases in adjusted admissions in 12 of the 14 states in which we operate hospitals. 
We also drove strong volume growth in our commercial business, which is our most profitable. Our commercial admissions trends in 2014 was the strongest we've generated in more than a decade.
Growth in outpatient visits remained very strong, increasing 9.6%. 92% of this outpatient growth was organic. Completing the volume picture, we grew surgeries by 7.5% and increased emergency department visits by 7.2%. In summary, we're very pleased with the strength of the volume growth we delivered.
The combination of strong volumes, the improved commercial pricing and the California Provider Fee has resulted in strong revenue growth in the quarter. We generated a $583 million increase in net operating revenues after bad debts, which is an increase of 15%. 
Excluding the revenue contribution from the California Provider Fees related to prior quarters, we increased patient revenue net of bad debts per adjusted admission by 4.9%. We also delivered very favorable growth in commercial Managed Care revenue, with revenue per commercial admission increasing 6.7%. The commercial pricing on the outpatient side was more modest, increasing by 0.9% per visit. This reflects the impact of the growth we are driving in new outpatient access points, including Urgent Care Centers. 
Bad debt expense declined as a percentage of revenue by 80 basis points to 7.4% in the quarter. The improved bad debt performance is primarily due to a $27 million decline in same-hospital uninsured and charity revenues as a result of the expansion of insurance coverage under the ACA. For the full year 2014, bad debt expense declined 150 basis points on a pro forma basis to 7.3% of revenue, down from 8.8% of revenue in 2013.
In 2015, the midpoint of our guidance for bad debt expense anticipates an additional 30 basis points decline, with a range of 6.75% to 7.25% as a result of the benefits we anticipate capturing from the ACA.
Selected operating expenses per adjusted admission increased by 3.8% in the quarter on a same-hospital basis. The increase was 2.6% excluding physician employment growth. On a full year pro forma basis, our cost only increased 1.4%. In 2015, we expect to do a little better, with growth in selected operating expenses per adjusted admission of 0% to 1%.
Turning to cash flows. Adjusted cash flows from operations in the quarter was $279 million. Net of capital expenditures of $199 million, adjusted free cash flow was $80 million. As we noted in our earnings release, our cash flows have been impacted by the fact that California and Texas owed us about $300 million in aggregate as of December 31 related to the California Provider Fee program, Texas DSH and Texas uncompensated care 1115 Waiver revenues. 
Cash flows were also negatively impacted by temporary buildup in receivables at certain hospitals acquired from Vanguard due to our implementation of a new billing system at these hospitals. While this slowed down cash flows in the second half of the year by about $80 million, the system change will enhance the future performance of these hospitals. The temporary buildup in the receivables caused by the system conversion has already started to come down this year. Likewise, we anticipate the $300 million of receivables from the California and Texas Medicaid programs to begin declining in 2015.
Turning to our services business. Conifer had another great quarter, driving a 78% increase in EBITDA to $64 million. Conifer's revenues increased by 24% to $327 million or an annualized run rate of about $1.3 billion. Keep in mind that the fourth quarter tends to be seasonally strong for Conifer. We anticipate Conifer's EBITDA to be about $240 million in 2015.
In early January, we provided our 2015 outlook for adjusted EBITDA. Slide 7 summarizes the key assumptions included in our outlook. I'll simply note in terms of volumes that the 2015 growth rates are assumed to moderate compared to our 2014 growth. Our outlook assumes admissions growth of 1.5% to 2.5% and adjusted admissions growth of 2.5% to 3.5%.
We expect to grow our exchange volumes 60% to 80% over our 2014 volumes. Given the way we grew exchange volumes throughout 2014, the growth we anticipate this year annualizes the exchange volumes we generated in the fourth quarter plus an additional growth from uninsured individuals who signed up during the recent open enrollment period.
In terms of pricing, we are projecting an increase in total net revenues per adjusted admission of 1% to 2%. We anticipate mid-single-digit percentage growth from improved terms in our commercial Managed Care contracts, which will be partially offset by anticipated growth in government volumes and our Urgent Care business, both of which have lower reimbursement levels. 
We expect our bad debt ratio to be in the range of 6.75% to 7.25% compared to 7.3% in 2014. Here, we are anticipating the uninsured and underinsured book of business will continue to gain incremental coverage under the ACA.
On the cost side, we continue to expect growth in controllable operating expenses per adjusted admission on a same-hospital basis to be in the 0% to 1% range this year. On a total company basis, including cost growth that is not directly tied to volume growth such as the growth at Conifer which is related to new business, we expect expenses per adjusted admission to increase 1.5% to 2.5%.
We expect to achieve EBITDA growth in 2015 of approximately 8% as shown on Slide 8. This includes absorbing about $50 million associated with the decline in HIT incentives, net of costs. This outlook includes normalized EBITDA growth of 10% and core growth of about 6%, which excludes the contributions from incremental Vanguard synergies and the ACA.
Finally, we expect to deliver adjusted EBITDA of $475 million to $525 million in the first quarter of this year. I want to mention a few things to consider as you think about our quarterly progression of EBITDA in 2015.
Volumes and bad debt expense continue to be influenced by a shift to higher deductible health plans, which may push more volumes into the fourth quarter and could cause bad debt expense to move higher in the first quarter due to the reset of deductibles. In addition, it may take some time for the newly insured to seek inpatient and outpatient services, so the volume benefit from increased exchange enrollment will likely be weighted towards the second half of the year.
As for the California Provider Fee program, for the first time in a while, revenue should be fairly predictable each quarter this year at a little more than $40 million and closer to the $170 million for the full year. 
The synergies that we are achieving from Vanguard as well as other cost initiatives should continue to ramp throughout the year. And HIT incentives will only be about $5 million in the first quarter compared to $65 million for the full year.
Turning to Slide 9. In summary, we are driving strong growth across all of our major business lines. We are well advanced in our transformation from a regional operator of hospitals to a diversified health care services company with broad geographic reach. 
We achieved strong results in the fourth quarter and for the full year, and we've implemented business strategies that are building solid momentum and driving year-over-year growth. These growth drivers are expected to be supplemented by incremental contributions we will realize from Vanguard synergies and the ACA, all of which can be expected to generate attractive growth going forward.
Finally, before we open the call for questions, I want to share with you that Tom Rice has decided to retire and spend more time with his family. Tom has led Tenet's Investor Relations effort for nearly 12 years, during which time he has worked tirelessly to be responsive to the needs of the investment community. We're very grateful to Tom for his hard work and dedication and for providing continuity over a period of significant change for both our company and the industry. 
As part of this news, we are also pleased to announce the promotion of Brendan Strong into the role of Vice President of Investor Relations. Brendan joined Tenet in September in our northeast region where he has been working on strategic and operational initiatives. Many of you might remember him from his time working in the equity research departments of Lehman Brothers and Barclays where he focused on the health care sector. Tom plans to retire at the end of March, and he and Brendan will be working closely over the next month to ensure a seamless transition.
I'll now ask the operator to assemble the queue for Q&A session. Operator?"
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Operator","[Operator Instructions] And we'll take our first question from Ralph Giacobbe with Crédit Suisse.",14,"[Operator Instructions] And we'll take our first question from Ralph Giacobbe with Crédit Suisse."
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Analysts","First one. I guess, do you guys have an estimate of what percentage of your exchange book was previously uninsured?",20,"First one. I guess, do you guys have an estimate of what percentage of your exchange book was previously uninsured?"
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Executives","Rob, this is Dan. Based on the information where we have good visibility into the patient's prior insurance status, we estimated roughly 1/3 was previously uninsured.",26,"Rob, this is Dan. Based on the information where we have good visibility into the patient's prior insurance status, we estimated roughly 1/3 was previously uninsured."
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Analysts","All right, that's helpful. And then there's been lot recently on the move to value-based models. Government HHS have put out a release on targets and increasing those targets on the coming year. So may be helpful to just get your thoughts on that release,",57,"All right, that's helpful. And then there's been lot recently on the move to value-based models. Government HHS have put out a release on targets and increasing those targets on the coming year. So may be helpful to just get your thoughts on that release, how it impacts you and maybe how you're positioned for the changes."
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Executives","Ralph, I think we're positioned incredibly well. For a very long time, we've placed a great emphasis on high standards of clinical quality and in the metrics that are being measured and most likely driving the value-based programs that the government talk",101,"Ralph, I think we're positioned incredibly well. For a very long time, we've placed a great emphasis on high standards of clinical quality and in the metrics that are being measured and most likely driving the value-based programs that the government talked about in that release. We performed well better than the industry averages. So I think to the extent that either the government payers or private payers begin to seek greater value, directing -- either directing patients to the highest value providers and markets or providing incentives or penalties to providers for delivering value, that gives us a competitive advantage."
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Operator","And we'll go next to Darren Lehrich with Deutsche Bank.",11,"And we'll go next to Darren Lehrich with Deutsche Bank."
107911,283891422,768468,"Tenet Healthcare Corp., Q4 2014 Earnings Call, Feb 24, 2015",2015-02-24,"Earnings Calls","Tenet Healthcare Corporation","Analysts","Best wishes to Tom. Thanks for all your help over the years. I guess I wanted to maybe focus a little bit on Vanguard synergies. Looks like they've just leveled out a little bit sequentially, but when we think about the guidance for 2015, there's really n",112,"Best wishes to Tom. Thanks for all your help over the years. I guess I wanted to maybe focus a little bit on Vanguard synergies. Looks like they've just leveled out a little bit sequentially, but when we think about the guidance for 2015, there's really not a lot of incremental improvement, I guess, given how it ramped in the first half of 2014. So I guess the question here is when you think about Vanguard synergies, what are the key areas of improvement? And should we be expecting about $10 million or so incremental stepping up in Q1 versus Q4? Or does it build in a different way throughout the year?"
