"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Operator","Good day, and welcome to the Whole Food's First Quarter Earnings Call. [Operator Instructions] It is now my pleasure to turn the program over to Cindy McCann, VP of Investor Relations. You may begin.",34,"Good day, and welcome to the Whole Food's First Quarter Earnings Call. [Operator Instructions] It is now my pleasure to turn the program over to Cindy McCann, VP of Investor Relations. You may begin."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Executives","Good afternoon, and thank you for joining us. On today's call are John Mackey and Walter Robb, Co-Chief Executive Officers; A.C. Gallo, President; Glenda Flanagan, Executive Vice President and Chief Financial Officer; Jim Sud, Executive Vice President of",125,"Good afternoon, and thank you for joining us. On today's call are John Mackey and Walter Robb, Co-Chief Executive Officers; A.C. Gallo, President; Glenda Flanagan, Executive Vice President and Chief Financial Officer; Jim Sud, Executive Vice President of Growth & Development; and David Landon and Ken Meyer, Executive Vice Presidents of Operations. As a reminder, all forward-looking statements on this call are subject to risks and uncertainties that could cause actual results to differ materially from the expectations and assumptions discussed today. This may be due to a variety of factors, including the risks outlined in our company's most recently filed Form 10-K. Our press release and scripted remarks are now available on our website. 
I will now turn the call over to Walter Robb."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Executives","Thanks, Cindy, and good afternoon, everyone, from beautiful Austin, Texas. We're pleased with our Q1 results which reflect continued market share gains, healthy returns and a strong start to fiscal year 2015. Sales grew over 10% to $4.7 billion, with comp",1342,"Thanks, Cindy, and good afternoon, everyone, from beautiful Austin, Texas. We're pleased with our Q1 results which reflect continued market share gains, healthy returns and a strong start to fiscal year 2015. Sales grew over 10% to $4.7 billion, with comparable store sales growth accelerating on a one and a 2-year basis. With broad-based momentum across departments, storage, classes and regions, we believe our many strategic initiatives, along with improving consumer confidence, are collectively contributing to our improve results. 
Here are some of the highlights of our progress in Q1. We launched our Values Matter national brand campaign, which you may have seen in TV and print several times over the last few months. It is a real boost to team member morale, and we're looking forward to the final brand tracking results. The early read is very positive, indicating 100% increase in awareness for our target audience, with increases in both value perception and intent to shop versus our measured competitors. We are now providing fresh grocery delivery options to more homes in America than any other food retailer. Since announcing our 15-market partnership with Instacart in September, our average weekly online delivery sales have already passed the $1 million mark. With online delivery sales as high as 5% of total sales in some of our stores, we're very excited about the future potential as we expand our reach to more markets, provide richer content highlighting our quality standards and broaden our product offering. A great example is happening this week for Valentine's Day. We're offering delivery in as little as 1 hour with prices starting at $25 for a dozen of our high-quality, ethically sourced whole trade roses. Orders can be placed in advance and combined with the ability to include chocolates or some other treats, this is a deal that's hard to beat. We're the largest Apple Pay retailer in terms of both transactions and sales, further reinforcing the notion that our customer base wants to take advantage of the latest digital technologies. This payment option has grown quickly to 2% of sales which we expect will continue to increase, especially after the Apple Watch launches this year. We are exploring opportunities to extend this successful partnership, including expanding functionality to support our affinity program. 
Speaking of, we are pleased with the results of our 12-store affinity test, which shows high activation and registration rates and above average basket sizes for participants. We are continuing to incorporate customer feedback as we upgrade and add new features to this program and recently added some new talent to lead our efforts in this area. We're excited to expand the pilot to our Washington, D.C. customers this spring, with hopes of having the program live in the majority of our stores for the 2015 holiday season. And as promised, our new and improved Whole Foods Market app is now live, with nearly 600,000 downloads to date, iOS/Android users can access personalized and local store offers, events and information, along with 3,700 tested recipes where ingredients can be added to shopping lists with a single tap. Stay tuned for more unique and exciting features and updates throughout the year. 
We recognize the changing technology and growing demand for customization and fundamentally altered retailing parameter. Customers expect to connect with the brand whenever, wherever and however they choose. And as part of our broader digital road map, we are rapidly getting out an extended customer experience beyond the 4 walls of our stores. At the same time, we believe customers will always want the human connection, the sense of community and the unparalleled shopping environment our stores deliver. As we accelerate our new store openings and step up refreshes of our older stores, we are focused on evolving a richer customer experience through innovation, improved value and higher levels of transparency on all the products that we sell. 
In Q1, we opened 9 stores, expanding into Ottawa, Canada and revitalizing our brand with new large flagships in both Houston and Boston. We're opening our first tap room in 2010, we now have over 100 tap rooms and wine bars company-wide. Our Post Oak store in Houston took the next step beating our first-ever in-store microbrewery, our second brewery is already open and we expect many more to come. We refreshed 40 stores and are on track to complete 200 by year-end. While results vary depending on the scope of the project and a variety of other factors, stores typically see an immediate sales lift and we expect these investments to be one of the many factors contributing to sales momentum this year and beyond. We continue to see unit lift from the lower produce price that we are testing in several markets, which include external marketing to support these investments. It is too early for conclusive results, particularly given the holidays. However, we're looking at expanding the test to additional markets as we believe more competitive produce pricing will greatly benefit our overall value perception. We launched our Responsibly Grown rating system, which assesses growing practices and impact human health and the environment and prohibits some of the most harmful pesticides. We believe these ratings draw clear lines of differentiation between our produce and our floral departments than those of our competitors. The program has been well-received by suppliers and customers and close to 60% of our produce is already rated. We have seen the power of our differentiated standards in other areas such as meat and seafood and believe our Responsibly Grown ratings of produce will see similar success over time. And after just 2 years of setting a deadline for full GMO transparency by 2018, we are well on our way with over 25,000 Certified Organic items in over 8,500 non-GMO project verified products in our stores. 
Turning back now to the results -- our results, sales increased 10% driven by comps of 4.5% and square footage growth of 9.4%. a 20 basis points decline in gross margin was partially offset by a 4 basis point improvement in SG&A. It remains our intention to offset the impact of our strategic initiatives with improvements in our cost structure over the longer term. However, the timing of investments and the cost cuts may not align as was the case this quarter. Excluding $13 million or 28 basis points of estimated incremental marketing costs related to the launch of our brand campaign, SG&A improved 33 basis points due to leverage in salaries and benefits, more than offsetting the 20 basis point decline in gross margin. EBITDA margin was 8.5% and EPS increased 10% to $0.46. For the last 8 quarters, our new store class has averaged sales per -- gross square foot of $709, translating the productivity levels of 82% on a weighted square footage basis. Comp stores less than 2 years old have averaged 70% -- 17% comps and most importantly, a 14% return on invested capital well in excess of our weighted average cost of capital. Please see our press release for more details on our outlook for this year and note that we estimate this year's Easter shift will possibly impact comps in Q2 and negatively impact comps in Q3 by about 50 to 60 basis points. 
As we look forward, we see more opportunity for the Whole Foods Market brand than ever before. We have a deep and seasoned leadership team and we've added some fantastic new talent. Our strong and vibrant culture contributes to low turnover and high morale, which helps create a great customer experience. The demand for fresh healthy foods continues to surge, and we are best-positioned to benefit as the leading retailer of natural organic growth in America's Healthiest Grocery Store. We are committed and continuing to improve and evolve, and with 408 stores and 116 sign leases, we have confidence that we will cross the 500 store mark in 2017 and triple our store base over the longer term. 
We will now take questions. Call will end at 4:45 p.m. Central Time, [Operator Instructions] Thank you."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Operator","[Operator Instructions] We'll take our first question from Rupesh Parikh with Oppenheimer.",12,"[Operator Instructions] We'll take our first question from Rupesh Parikh with Oppenheimer."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Analysts","So maybe I'll just start with your initiatives, clearly a number of initiatives ongoing, and it seems like you guys have already gained traction. So as you look at your performance this past quarter, is there a way to isolate maybe which initiatives you b",53,"So maybe I'll just start with your initiatives, clearly a number of initiatives ongoing, and it seems like you guys have already gained traction. So as you look at your performance this past quarter, is there a way to isolate maybe which initiatives you believe have the largest positive impact thus far?"
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Executives","This is Walter, we anticipated that question, and we talked a lot about ourselves and really the correct answer is we think it's all of them contributing to the momentum. Because the comp results are broad-based across the company and storage classes, it",63,"This is Walter, we anticipated that question, and we talked a lot about ourselves and really the correct answer is we think it's all of them contributing to the momentum. Because the comp results are broad-based across the company and storage classes, it suggests that every single one of these things gains some -- it really helped us to gain some additional traction."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Analysts","Okay, and just one more, on the store remodels, how far along are we now in the process? And how the store models thus far has met your expectations?",29,"Okay, and just one more, on the store remodels, how far along are we now in the process? And how the store models thus far has met your expectations?"
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Executives","Hi, this is David. We actually were very pleased we were able to accomplish 40 refreshes in the first quarter which you know has the holidays in it, so we're able to work our way around the holidays and we got some great results. Chicago, where we're just",142,"Hi, this is David. We actually were very pleased we were able to accomplish 40 refreshes in the first quarter which you know has the holidays in it, so we're able to work our way around the holidays and we got some great results. Chicago, where we're just about to open a lot of stores with our Dominic's that we're turning to a new Whole Foods, we finished to fully model Lakeview, [indiscernible] to refresh, Gold Coast to refresh, Tamarac and Denver, store like Reno, this is all new decor, new graphics, just a whole new look. And we're seeing, as Walter described, great results in all these stores, and so I would say in the next quarter, we're going to accelerate because we'll have more time without the holidays. So we're doing a lot of work in the next few quarters."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Operator","And we can take our next question from Charles Grom with Sterne Agee.",13,"And we can take our next question from Charles Grom with Sterne Agee."
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Analysts","When you guys -- when you evaluate your cost structure and you look at the P&L and direct store expenses, G&A, corporate overhead, I guess where do you guys think the biggest opportunity is to get leaner in the years ahead? And can we dive into that topic",51,"When you guys -- when you evaluate your cost structure and you look at the P&L and direct store expenses, G&A, corporate overhead, I guess where do you guys think the biggest opportunity is to get leaner in the years ahead? And can we dive into that topic a little bit?"
36602,281964122,760282,"Whole Foods Market, Inc., Q1 2015 Earnings Call, Feb 11, 2015",2015-02-11,"Earnings Calls","Whole Foods Market, Inc.","Executives","It's John here. I think it's everywhere. We're getting leverage right now as we continue to grow. But I think it's kind of taken that zero-based budgeting approach and looking at everything you're doing. I mean, we're very proud that we took out over 200",161,"It's John here. I think it's everywhere. We're getting leverage right now as we continue to grow. But I think it's kind of taken that zero-based budgeting approach and looking at everything you're doing. I mean, we're very proud that we took out over 200 basis points on our cost structure in the last 5 years, and I think it's reasonable to conclude we can do the same thing on a go forward basis. But it just requires a lot of hard work. I mean, obviously if we knew exactly the big areas to cut, we'd have already done that. So it's about working at it, studying it, making it a priority which is what our regional presidents are doing and our executive vice presidents for operations. We're very conscious of the fact that we need to take cost out of our system, and we've done it in the past and we're going to continue to do it going forward."
