"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Operator","Good morning. My name is Kevin, and I will be your conference facilitator today. At this time, I'd like to welcome everyone to the Aetna Fourth Quarter and Full Year 2015 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is",65,"Good morning. My name is Kevin, and I will be your conference facilitator today. At this time, I'd like to welcome everyone to the Aetna Fourth Quarter and Full Year 2015 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. 
I would now like to turn the conference over to Tom Cowhey, Vice President, Investor Relations. Mr. Cowhey, you may begin."
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Executives","Good morning, and thank you for joining Aetna's Fourth Quarter 2015 Earnings Call and Webcast. This is Tom Cowhey, Vice President of Investor Relations for Aetna, and with me this morning are Aetna's feminine Chief Executive Officer, Mark Bertolini; and C",209,"Good morning, and thank you for joining Aetna's Fourth Quarter 2015 Earnings Call and Webcast. This is Tom Cowhey, Vice President of Investor Relations for Aetna, and with me this morning are Aetna's feminine Chief Executive Officer, Mark Bertolini; and Chief Financial Officer, Shawn Guertin. Following their prepared portion of the remarks, we will answer your questions. Karen Lynch, Aetna's President, will also join us for the Q&A session. 
During this call, we will make forward-looking statements. Risk factors that may impact those statements and could cause actual future results to differ materially from currently projected results are described in this morning's press release and the reports we file with the SEC. We've also provided reconciliations of certain non-GAAP measures in our financial supplement and guidance summary. Further, to assist investors in understanding our initial 2016 guidance, we have prepared a short presentation with additional details on our outlook. The reconciliations and presentation are available on the Investor Information section of aetna.com. 
Finally, as you know, our ability to respond to certain inquiries from investors and analysts in nonpublic forums is limited, so we invite you to ask all questions of a material nature on this call. 
With that, I will turn the call over to Mark Bertolini. Mark?"
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Executives","Good morning. Thank you, Tom, and thank you all for joining us today. This morning, Aetna reported full year 2015 operating EPS of $7.71, exceeding our previous projection and representing a record result for the company and year-over-year growth of 15%,",1119,"Good morning. Thank you, Tom, and thank you all for joining us today. This morning, Aetna reported full year 2015 operating EPS of $7.71, exceeding our previous projection and representing a record result for the company and year-over-year growth of 15%, exceeding our long-term targeted range. 
Looking back on 2015, we generated record annual operating revenue of over $60 billion; achieved our high-single-digit operating margin target for the fifth consecutive year; achieved our targeted pretax operating margin in our Individual Medicare Advantage business 1 year ahead of our projections; exceeded our initial operating EPS projection by 12% despite headwinds in our ACA-related businesses and lower-than-projected share repurchases; increased our projected 2015 operating EPS 5x; and announced our agreement to acquire Humana, the largest transaction in the company's history. 
Aetna's strong 2015 results speak to our continued focus on discipline pricing and execution of our growth strategy. Underlying these full year results, we ended the year with nearly 23.5 million medical members, exceeding our previous year-end membership projections. We reported a 350 basis point year-over-year improvement in our government medical benefit ratio, driven by strong underwriting results in both our Medicare and Medicaid businesses. Our Large Group Commercial business had solid performance as aggregate commercial medical cost trends remain moderate, and we generated strong cash flow in 2015, which enabled us to return capital to shareholders through share repurchases and shareholder dividends and still build cash as we begin to position our balance sheet for the projected closing of the Humana acquisition in the second half of 2016. 
Based on our strong finish to 2015, this morning, we provided an initial 2016 operating EPS projection of at least $7.75. Consistent with past practice, this projection does not include any assumption in prior year's reserve development and represent significant growth over our 2015 operating EPS baseline of just over $7 per share. 
In a few moments, Shawn will discuss our 2015 results and 2016 guidance in greater detail, but first, I would like to provide a brief update on the Humana acquisition and discuss some of the operational highlights for the year. Beginning with the Humana acquisition. We continue to work diligently with the Department of Justice and with state regulators toward final approval of the transaction and continuing to advance our integration readiness plans. We have obtained 7 of the necessary state approvals required to close the transaction, and we believe we remain on track to close in the second half of 2016. 
Moving to operational highlights. The fourth quarter capped off an outstanding year for our Government business, which continues to be a key growth engine for Aetna. More specifically, we continued to expand our Medicare business where we grew membership by over 13% year-over-year consisting of: over 22% growth in Medicare Supplement membership, nearly 15% growth in Individual Medicare Advantage membership and 4% growth in our Group Medicare Advantage membership. This level of membership growth during the year in which we also improved our margin profile in this business is a testament to our focused execution of our strategy to deliver profitable growth. 
Additionally, we have another strong Medicare Advantage Annual Election Period and now project that we will grow our membership by over 6% in the first quarter of 2016, including 10% growth in our Individual Medicare Advantage membership. Our continued above-average growth directly speaks to the importance of our top-tier star ratings and continued investment in programs that our customers value. Finally, we also project that we will grow our PDP membership by over 450,000 members in the first quarter of 2016, strong growth in the business that generated strong solid margin performance for Aetna in 2015. 
Our Medicaid business also performed very well in 2015 despite a number of meaningful headwinds that included: exiting our Delaware Medicaid contract at the beginning of the year, absorbing a meaningful rate reset in our largest Medicaid contract and implementation delays in higher-than-projected opt-out rates in our various duals demonstration contracts. Despite these challenges, we grew Medicaid membership by 176,000 members, grew Medicaid revenues at double-digit rates and achieved underwriting margins that exceeded our initial 2015 projections. Looking forward, we continue to believe that the breadth of our platform will enable us to continue to drive long-term top and bottom line growth in our Medicaid businesses. 
Shifting to our Individual Commercial business. We ended 2015 with approximately 1 million Individual Commercial members both on- and off-exchange. Based on our most up-to-date view of open enrollment, we do not expect material growth in this business in the first quarter of 2016. Our Individual Commercial business ended the year with improved results over our most recent outlook. However, despite our improved finish, this business remained unprofitable in 2015, and we continue to have serious concerns about the sustainability of the public exchanges. Specifically, we remain concerned about: the overall stability of the risk pool, including enforcement of standards related to special election period enrollment where CMS has made some recent changes but more needs to be done; the lack of predictability and full transparency of the risk adjustment program, which is key to long-term program health, especially if the other 2 premium stabilization programs expire in 2017; and newly proposed CMS regulation on network adequacy and standardization of benefits that would limit our ability to offer affordable, innovative on-exchange products. 
We continue to work constructively with CMS and lawmakers to set this program on a more sustainable path and achieve the underlying goal of making health care more affordable and accessible. Finally, we made meaningful progress in furthering our consumer and provider engagement efforts during 2015 in that we: delivered approximately 37% of our medical cost through a value-based arrangement; and launched new consumer-centric products in select geographies, often backed by an ACO or value-based network agreement. The Humana acquisition will only accelerate our efforts to transform into a more consumer-centric company and achieve our mission to build a healthier world. 
In summary, we are pleased with our 2015 results, and as we enter 2016, we are focused on 2 main objectives: delivering on our 2016 operating EPS projections and executing a successful closing of the Humana acquisition. I want to thank our employees for their efforts in delivering yet another strong year for Aetna. I remain confident that: we have the right vision to be a leader in the changing health care marketplace, we can continue to execute on our differentiated strategy, we will close and successfully integrate the proposed Humana acquisition and we can achieve our 2016 operating earnings per share projection of at least $7.75. 
I will now turn the call over to Shawn, who will provide additional insight into our 2015 results and our 2016 outlook. Shawn?"
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Executives","Thank you, Mark, and good morning, everyone. Earlier today, we reported full year 2015 operating earnings of $2.7 billion and operating earnings per share of $7.71, a 15% increase over 2014 and well in excess of our initial guidance for 2015. Aetna's oper",1551,"Thank you, Mark, and good morning, everyone. Earlier today, we reported full year 2015 operating earnings of $2.7 billion and operating earnings per share of $7.71, a 15% increase over 2014 and well in excess of our initial guidance for 2015. Aetna's operating results continued to be supported by strong cash flow and operating margins. 
I will begin with some comments on our full year 2015 performance. We ended the year with nearly 23.5 million medical members, approximately 200,000 members more than our previous projection, primarily driven by higher-than-projected Commercial Insured membership. We grew operating revenue to a record $60.3 billion, which included 9% premium growth in our Government businesses. Our full year commercial medical benefit ratio was 80.3%, a solid result that benefited from continued moderate medical cost trends and is consistent with our previous projections. Our full year government medical benefit ratio was 81.4%, an outstanding result that reflects the ongoing execution of our strategies to improve Medicare margins and continued strong performance in our Medicaid business. Finally, we generated $2.4 billion in net subsidiary dividends and returned $645 million to shareholders through share repurchases and shareholder dividends. 
Looking at our fourth quarter results. Our top line performance was steady for the quarter at $15 billion of operating revenue. Our pretax operating margin was 6% for the quarter, a 50 basis point year-over-year improvement. Our total health and medical benefit ratio was 81.9%, a 110 basis point year-over-year improvement. This strong result benefited from disciplined pricing, continued moderate medical cost trends and favorable reserve development. Our operating expense ratio was 21%, an 80 basis points increase over the fourth quarter of 2014 but consistent with our previous projections. 
From a balance sheet perspective, we remain confident in the adequacy of our reserves. We experienced favorable prior-period reserve development in the quarter across all of our core products, primarily attributable to third quarter 2015 dates of service. Our reserve growth exceeded our premium growth, and days and claims payable were 54.9 days at the end of the quarter, steady sequentially and up 5.7 days on a year-over-year basis. 
Turning to cash flow and capital. Operating cash flows remain strong. Our full year Health Care and Group Insurance operating cash flows were 1.6x operating earnings. Our ability to repurchase shares was constrained by the report proposed Humana acquisition, and we did not repurchase any shares during the fourth quarter. We did, however, distribute $87 million to our quarterly shareholder dividend. In summary, we are quite pleased with the strength of our full year results. 
I will now discuss the key drivers of our fourth quarter performance in greater detail. Beginning with our Commercial business. Our total Commercial Insured membership declined by 112,000 members during the quarter, largely driven by our Small Group and Individual businesses. Our commercial medical benefit ratio was 81.3% for the quarter, slightly better than our previous projections and a 70 basis point improvement over the same period last year. Our fourth quarter Commercial MBR was influenced by continued moderate medical cost trends, strong performance in our Large Group Commercial business and increased favorable prior-period reserve development, primarily related to our Individual Commercial business. Consistent with our Commercial MBR performance, Aetna's 2015 core commercial medical cost trend was approximately 6%, consistent with previous projections. 
With respect to the performance of our Individual Commercial business, we continue to take a prudent stance as we update our estimates related to certain ACA programs in advance of the 2016 reconciliation. The update of these estimates in the fourth quarter of 2015 resulted in better operating results than previously projected, driven by lower medical cost and the improved risk adjustment estimates. Based on these updated estimates, Aetna's Individual Commercial business generated full year 2015 pretax operating losses of approximately 3% to 4%, a disappointing result but one we are increasingly confident we can improve upon in 2016. 
Moving to our Government businesses. We grew by 114,000 members in the quarter led by: growth of 77,000 members in Medicaid, driven by in-state expansion and new program starts; and growth of 32,000 members in Medicare supplement. Our fourth quarter 2015 Government premiums grew to $5.8 billion, an 8% increase over the prior-year quarter. Our government medical benefit ratio was 82.6% in the quarter, a very strong result and a 180 basis point improvement over the same period last year, driven primarily by continued momentum in both our Medicare and Medicaid businesses. 
Moving on to the balance sheet. Our financial position, capital structure and liquidity all continue to be very strong. At December 31, we had a debt-to-total-capitalization ratio of approximately 33%. 
Looking at cash and investments at the parent. We started the quarter with $180 million; net subsidiary dividends to the parent were $577 million; we paid a shareholder dividend of $87 million; and after other uses, we ended the quarter with approximately $420 million of cash at the parent. Our basic share count was 349.3 million at December 31. 
Shifting to 2016. This morning, we provided a stand-alone 2016 operating EPS projection of at least $7.75. As Mark mentioned earlier, our initial 2016 operating EPS projection excludes prior year's reserve development and assumes no share repurchases. As a result of the outperformance in 2015 relative to our previous projection, our view of Aetna's 2015 baseline operating EPS has improved to just over $7 per share. While there are many puts and takes in our initial outlook, our projected 2016 operating EPS growth off of our 2015 baseline reflects: margin improvement in our ACA-compliant businesses, which includes ACA-compliant Small Group and Individual businesses; operating earnings leverage as we continue to drive net productivity gains in excess of inflationary cost and appropriately position our infrastructure to be consistent with projected membership levels; and continued top line growth, particularly in our Government businesses. These opportunities are partially offset by: the full year impact of the Kentucky Medicaid rate reset, the impact of ASC customer losses on our Group Insurance business and the impact of the 2017 suspension of the health insurer fee as we begin to reflect this change in 2017 renewals with member months in 2016. 
Our 2016 operating EPS guidance is further influenced by the following drivers: based on our year-end 2015 medical membership results, we project that our first quarter 2016 membership will be in the range of 22.7 million to 22.8 million medical members. The primary drivers of this first quarter decline in medical membership are projected to be: Commercial AFC declines of approximately 750,000 members related to previously disclosed membership losses, including those associated with our assurance relationship; Group Commercial insurer declines of approximately 180,000 members, reflecting our continued pricing discipline, partially offset by continued growth in our Government businesses of approximately 170,000 members. We project 2016 total operating revenue to be approximately $62 billion. This top line projection is a result of continued strong growth in our Government businesses, partially offset by our group commercial blocks of business, reflecting our ongoing pricing discipline. We project our 2016 core commercial medical cost trend to be in the range of 6% to 7%, a 50 basis point increase over 2015 at the midpoint of this range. We project our full year total medical benefit ratio will be 81.6%, plus or minus 30 basis points. Our current view is that our full year operating expense ratio will be less than 18.5%, a result of continued productivity improvements and changes in mix. We project our pretax operating margin to be at least 8%, consistent with our high-single-digit target, with operating earnings of at least $2.7 billion. Finally, we expect that net subsidiary dividends for the year will be at least $2.3 billion and Aetna's parent cash balance will be at least $1.9 billion at year-end. We project that our 2016 weighted average diluted share count will be between 354 million and 355 million shares, reflecting our limited ability to repurchase shares as a result of the proposed Humana acquisition. Opportunities that could favorably impact our current 2016 operating EPS outlook include: the potential for 2015 reserves to develop favorably, and the potential for additional favorability as we complete the reconciliation of certain programs related to our ACA-compliant businesses in 2016. Potentially offsetting these opportunities are: the ever-present risk that medical cost trends could increase by more than we have projected, the risk that our projections of risk-adjusted revenue in our ACA-compliant businesses may not be achieved, and the risk that membership could be less than currently projected. Finally, to the extent that current analyst consensus for 2016 contemplates the same quarterly earnings progression Aetna experienced in 2015 especially as it pertains to the first quarter, we would remind investors that the first quarter of 2015 was materially impacted by prior year's reserve development, which we are not projecting to recur. 
In closing, I am very pleased with the strength of our fourth quarter and full year 2015 results, which meaningfully exceeded our initial projections despite the challenges we discussed earlier. As we begin 2016, the fundamentals of Aetna's business remains strong, and we rema committed and confident we can close the Humana transaction in the second half of 2016 and that we can achieve our 2016 operating EPS projection of at least $7.75. 
I will now turn the call back over to Tom. Tom?"
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Executives","Thank you, Shawn. The Aetna management team is now ready for your questions. [Operator Instructions] Operator, the first question, please.",20,"Thank you, Shawn. The Aetna management team is now ready for your questions. [Operator Instructions] Operator, the first question, please."
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Operator","Our first question today is coming from Josh Raskin from Barclays.",11,"Our first question today is coming from Josh Raskin from Barclays."
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Analysts","I wanted drill down on the Government segment, obviously a bright spot for the year. So where do you see the pretax operating margins in the Government segment overall? And how should we think about the sustainability? And maybe, is that what's playing in",59,"I wanted drill down on the Government segment, obviously a bright spot for the year. So where do you see the pretax operating margins in the Government segment overall? And how should we think about the sustainability? And maybe, is that what's playing into a little bit of an uptick in MLR and/or the G&A ratio expectations for 2016?"
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Executives","Well, first of all, Josh, I think -- we think mid-single digits is an appropriate margin for the Government business. We continue to see Star ratings helping with that as well as the level of effort we put into improving the quality of care, which ultimat",98,"Well, first of all, Josh, I think -- we think mid-single digits is an appropriate margin for the Government business. We continue to see Star ratings helping with that as well as the level of effort we put into improving the quality of care, which ultimately drives down the medical cost in that segment. For the bridge on that, I think we have Shawn talk to you a little bit about how we see it going from year-to-year, but we still see dis segment as a very good segment, strong growth and our ability to maintain mid-single-digit margins."
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Executives","Yes. Josh, and so we've talked about elements of this, but this year, we probably -- the biggest movers have been, on Medicare, have certainly been the Individual MA business where we've gotten into our mid-single-digit range probably about the earlier th",134,"Yes. Josh, and so we've talked about elements of this, but this year, we probably -- the biggest movers have been, on Medicare, have certainly been the Individual MA business where we've gotten into our mid-single-digit range probably about the earlier than we previously had expected. We had a very good year in PDP, and our continued strong performance in group also maintained itself. I would envision that we will continue to be in the mid-single-digit range next year on Medicare. And on Medicaid, we've done exceptionally well. We've talked about the Kentucky rate reset. But when you strip PYD out, in particular, I would expect to these margins to be down a little bit but still on a very good range overall and a range that I think we can sustain going forward."
655542,322632286,924017,"Aetna Inc., Q4 2015 Earnings Call, Feb 01, 2016",2016-02-01,"Earnings Calls","Aetna Inc.","Analysts","And so with that MLR increase for '16 that you guys are expecting, is that just lack of PPRD in your estimates for '16? Because it didn't sound like there were any changes in Commercial overall or Government overall?",39,"And so with that MLR increase for '16 that you guys are expecting, is that just lack of PPRD in your estimates for '16? Because it didn't sound like there were any changes in Commercial overall or Government overall?"
