"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Operator","Ladies and gentlemen, thank you for standing by. Welcome to the Ball Corporation Fourth Quarter Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, Thursday, January 28, 2016. I would now like to turn to con",49,"Ladies and gentlemen, thank you for standing by. Welcome to the Ball Corporation Fourth Quarter Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, Thursday, January 28, 2016. I would now like to turn to conference over to John Hayes. CEO. Please go ahead, sir."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Executives","Great. Thank you, Tia, and good morning, everyone. This is Ball Corporation's conference call regarding the company's fourth quarter full year 2015 results.The information provided during this call will contain forward-looking statements. Actual results",750,"Great. Thank you, Tia, and good morning, everyone. This is Ball Corporation's conference call regarding the company's fourth quarter full year 2015 results.
The information provided during this call will contain forward-looking statements. Actual results or outcomes may differ materially from those that may be expressed or implied. Some factors that could cause the results or outcomes to differ are in the company's latest 10-K and in other company SEC filings, as well as the company news releases. Now if you don't already have our earnings release, it's available on our website at ball.com.
Information regarding the use of non-GAAP financial measures may also be found on our website. With regard to Ball's proposed offer for Rexam and consistent with the requirements of the U.K. Takeover Code, we will limit our comments regarding the transaction to: number one, what has already been made public via the 2/7 release; number two, where we are in the regulatory process; and number three, an update of ongoing economic hedging and debt activities related to the proposed transaction.
Also note that there may be limitations regarding the depth of our business commentary, as well as our future outlook, and certain other items we would normally discuss on a quarterly earnings conference call due to the nature of the proposed transaction and restrictions under the U.K Takeover Code.
Given the nature of our proposed offer, today's issued press release, webcast and conference call are advertisements and should not be considered a prospectus. Investors should not make any investment decision in relation to the new Ball shares issued in connection with the Rexam transaction, except on the basis of information in the prospectus and the Scheme Documents, which are proposed to be published in due course. This presentation and transcription of comments are not for release in whole or in part in, into or from any jurisdiction or to do so would constitute a violation of the relevant laws of such jurisdiction. For more information on Ball's proposed acquisition of Rexam, please visit the offer for Rexam page on ball.com.
Now joining me on the call today is Scott Morrison, Senior Vice President and our Chief Financial Officer. I'll provide a brief overview of company's performance. Scott will discuss financial and global packaging metrics. And then I'll finish up with comments on our aerospace business and the outlook for 2016.
Our fourth quarter volumes, free cash flow and results from operations were in line with our expectations. The headwinds we acknowledged throughout 2015 around earnings translation, project start-up costs and tough volume comps in our North American food continued, while others like aluminum premium became a tailwind and a lower effective tax rate aided the quarter. Overall, however, we are pleased with the performance of our businesses. And Scott will go into more detail on the quarter and full year in just a moment.
Since we spoke last October, we've made notable progress to strategically and operationally position Ball for the future, including successfully beginning the production of beverage can ends in our existing Lublin, Poland facility, which is also slated for additional end modules in 2016. The successful start-up of our Monterrey, Mexico beverage can facility, which is serving multiple forum brewers importing their product into the U.S. The successful startup of the new aluminum impact impact extruded line in Devices U.K. as well as our recently announce aluminum impact extruded aerosol expansion in Belin, Czech Republic, which is expected to come online in early 2017.
The successful start-up of our new aluminum impact extruded aerosol facility in India, various investments to further the growth of our specialty can and new product portfolio; including our new contour bottle line in Conroe, Texas and our new tinplate aerosol technology in Chestnut, Hill, Tennessee. And the continued construction of our new beverage can plant in Myanmar now slated to open in April 2016.
We also completed the acquisition of the remaining interest in our Brazilian joint venture and received conditional regulatory approvals for our proposed offer for Rexam from the European Commission and Brazilian CADE. Discussions are ongoing with the FTC. 
We have weathered a very busy 2015 in terms of managing the headwinds, investing in our future and making progress with our Rexam acquisition. Everyone in our company has been extremely busy. And I want to thank everyone at Ball who has persevered and risen to the challenge. Thanks. 
And with that, I'll turn it over to Scott for a review of our fourth quarter numbers."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Executives","Thanks, John. Ball's comparable diluted earnings per share for fourth quarter 2015 were $0.80 versus last year's $0.84. And for the full year 2015, comparable diluted earnings per share were $3.48 versus $3.88 in 2014. Fourth quarter and full year compara",1064,"Thanks, John. Ball's comparable diluted earnings per share for fourth quarter 2015 were $0.80 versus last year's $0.84. And for the full year 2015, comparable diluted earnings per share were $3.48 versus $3.88 in 2014. Fourth quarter and full year comparable diluted earnings per share were unfavorably impacted by a net $0.04 and $0.49, respectively, related to foreign currency effects, start-up costs and other one-time items.
As John alluded to, the following factors contributed to to results in the fourth quarter. $0.06 of unfavorable foreign currency translation effects largely due to a weaker euro; $0.02 of start-up costs associated with capital projects and aluminum premium tailwind of $0.04. Year [indiscernible] for cash flow came in at $558 million after $520 million of CapEx and excluding roughly $80 million of cash costs associated with the Rexam transaction. 
Our GAAP results for the fourth quarter and full year 2015 were unfavorably impacted by the economic hedges we put in place to reduce currency exchange rate exposure associated with the British pound denominated cash portion of the announced acquisition price for Rexam and to mitigate exposure to interest rate changes associated with anticipated debt issuances, also in connection with the cash portion of the proposed transaction. These economic hedges allow us to lock in transaction's purchase price economics, where they will likely continue to cause disruption to quarterly GAAP earnings. Details on these economic hedges are provided in Note 2 of today's earnings release.
Credit quality and liquidity of the company remains very solid with comparable EBIT to interest coverage of 5.6x and net debt to comparable EBITDA of 2.5x, including the noncurrent restricted cash sitting in escrow from the December U.S. and Euro bond placements. The company has enough committed credit and available liquidity at year-end to consummate the proposed Rexam transaction and provide ongoing liquidity for the company.
For a complete summary of fourth quarter and full year 2015 results on a GAAP and non-GAAP basis and details regarding the fourth quarter and full year, please refer to the notes section of today's earnings release, which includes a simplified table format summarizing business consolidation activities.
Now moving to operations. Our metal beverage Americas and Asia segment comparable operating earnings for the fourth quarter and full year 2015 were down slightly year-over-year, mainly due to unfavorable pricing in China, slightly lower performance in Brazil and project start-up costs in North America. Segment volumes in the quarter were up approximately 5% and just up over 1% for the full year 2015. 
Our Monterrey, Mexico can plant just begun pressing cans and ends earlier this month. Our second can line will come up mid-year. In China, while volumes remain relatively healthy, the overall pricing environment remains extremely challenging, and our aggressive cost out programs have not been able to keep up with the price erosion and we expect to be down in profitability again in 2016 in this region.
European beverage comparable earnings were up nicely in the quarter due to aluminum premium tailwinds of EUR 6 million, as well as improved plant utilization for the full year. Comparable earnings were down approximately $20 million to unfavorable foreign earnings translation. On a constant currency basis, they were up year-over-year. Low single-digit volume growth and low double-digit specialty can growth continue to reflect the ongoing value-added benefits of the can with European consumers.
Food and household comparable segment earnings were down in the quarter, as segment volumes declined following the customer shift in U.S. food cans, as well as manufacturing inefficiencies. Excluding the customer shift, our food can volume or down slightly in the fourth quarter due to the earlier completion of the pack late in the third quarter went up for the full year.
For the fourth quarter and full year, the segment was also impacted by unfavorable earnings translation related to the European portion of the extruded aluminum aerosol business and startup costs related to luminous capital projects across the segment. Our next generation lightweight steel aerosoft can manufacturing technology is now commercially available on shelves, and further growth in our global extruded aluminum businesses, as well as significantly better operating performance in our tinplate businesses will provide good opportunity to improve segment performance in 2016.
In summary, our global packaging businesses are extremely focused on driving EVA dollars from our new capital projects. To employees listening in on today's call, thank you for all the great work during what has been one of the busiest times in our company's 136-year history. 
Now, as we look to 2016, reflecting Ball. As a stand-alone company today, here's a snapshot of some key financial metrics. We expect free cash flow to be in a similar range as 2015, excluding cash cost related to the Rexam transaction with CapEx expected to be in the range of $400 million and working capital expected to be generally flat year-over-year. Interest expense is expected to be roughly $145 million, excluding debt refinancing and other costs. The full year effective tax rate on comparable earnings is expected to be in the range of 25%.
Corporate undistributed is to be expected to be in the range of $75 million, a year-over-year reduction of $17 million. Also recall that due to the acquisition of our JV's partners interest in Brazil, our attorney shares at the beginning of this year are higher by 5.7 million shares, and we will no longer have any effects from this business in our noncontrolling just line on the income statement. We expect our dividend to remain unchanged from its current level during the proposed acquisition process.
In 2016, we expect all of our segments to be up on a full year basis with the exception of China beverage can business. And while we expect the first quarter to be relatively soft through the repricing of our contracts in China, challenging comps in our food and household products business, and the close out of startup expenses in our various capital projects, momentum will accelerate as we move through the years.
One final heads-up before I turn it over to John. As we look to the successful closing of the Rexam transaction, we currently plan to incorporate into our future comments a focus on cash, earnings per share to do large about of intangible amortization we expect to record for the Rexam transaction. And with that, I'll turn it back to you, John."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Executives","Great. Thanks, Scott. Our aerospace business reported a solid quarter, given the difficult comps they were up again. Subtractive backlog held steady ending the quarter at $617 million. More exciting, however, is what is in front of us. Over the past few m",299,"Great. Thanks, Scott. Our aerospace business reported a solid quarter, given the difficult comps they were up again. Subtractive backlog held steady ending the quarter at $617 million. More exciting, however, is what is in front of us. Over the past few months, our aerospace business has win a variety of classified and nonclassified programs that are worth over $800 million that have not yet been booked into our backlog as the contracts need to be signed and, in several cases, the funding needs to be approved by the U.S. government.
In addition, we still have a number of additional proposals submitted forward that collectively measuring the billions. A terrific job done by our folks, and we continue to be amazed by the creativity, agility and patience that they have shown. They near-term goals for the aerospace team are to finish strong on existing programs and ramp successfully on the new work throughout the second half of 2016.
Now turning to the future. We continue to make progress on our proposed offer for Rexam, and we look forward to reaping the benefits of growth capital deployed in 2015 to improve performance, as well as the higher EVA dollar generation that these important investments will provide. 
While our biggest challenge is to weather the unsustainable pricing environment in our China beverage can business, overall, we feel good about where we are. Our objectives are consistent with last year. Successfully execute our capital projects, generate strong free cash flow, grow our specialty businesses, focus on cost optimization and manufacturing performance and cross the finish line on the proposed offer for Rexam.
Together, we are working hard to improve Ball in 2016 and beyond, and we look forward to a successful year ahead. And with that, Tia, we are ready for questions."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Operator","[Operator Instructions] First question is from the line of Ghansham Panjabi from the Baird.",14,"[Operator Instructions] First question is from the line of Ghansham Panjabi from the Baird."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Analysts","Hey, since you last reported, one of your competitors announced that they're adding the first new metal beverage can plant in the U.S. in since 1993. How do you view this announcement for the industry, first off? And does this impact your strategy in any",62,"Hey, since you last reported, one of your competitors announced that they're adding the first new metal beverage can plant in the U.S. in since 1993. How do you view this announcement for the industry, first off? And does this impact your strategy in any way as it relates to how optimized your production footprint standard and specialty canes in the U.S?"
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Executives","No, it's -- obviously, we're aware of that, Ghansham, I can't comment on the thought process around that. I can tell you the specialty canes continue to grow strongly and that they are probably just trying to keep up with their own demand. I can't tell yo",118,"No, it's -- obviously, we're aware of that, Ghansham, I can't comment on the thought process around that. I can tell you the specialty canes continue to grow strongly and that they are probably just trying to keep up with their own demand. I can't tell you from our perspective that our system is in good shape. We continue to grow specialty containers off a relatively high base already. And we're trying to manage the 12-ounce capacity. And what I mean by that is, for example, in the last quarter so, we've actually converted a line from 12-ounce into specialty containers, and we've been just following that strategy we've been embarking on for a couple of years now."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Analysts","Okay. And just, I guess, my second question related to Rexam, understanding the sensitivity around that but just given the specific divestiture concessions for both Europe and Brazil that you've announced. How should we think about the buckets of synergie",73,"Okay. And just, I guess, my second question related to Rexam, understanding the sensitivity around that but just given the specific divestiture concessions for both Europe and Brazil that you've announced. How should we think about the buckets of synergies that you outlined outside of the deal? I think you previously announced outlined 44% G&A, 22% freight, et cetera. Should we expect a different weighting going forward based on what you know now?"
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Executives","This is Scott, I wouldn't change the buckets too much. All that stuff will move around once you get to the closing, and we'll be able to give you a lot more clarity about that. But right now, we're not abating what those changes might be.",46,"This is Scott, I wouldn't change the buckets too much. All that stuff will move around once you get to the closing, and we'll be able to give you a lot more clarity about that. But right now, we're not abating what those changes might be."
170352,320626859,922430,"Ball Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Ball Corporation","Executives","Yes, Ghansham, this is John. As I mentioned on my prepared rumors, due to the U.K Takeover Code and some of the rules and restrictions behind -- around it, we're just that and a position to comment, I think, further than we have.",43,"Yes, Ghansham, this is John. As I mentioned on my prepared rumors, due to the U.K Takeover Code and some of the rules and restrictions behind -- around it, we're just that and a position to comment, I think, further than we have."
