"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Operator","Good morning. My name is Melissa, and I will be your conference facilitator. At this time, I would like to welcome everyone to the BorgWarner 2015 Fourth Quarter and Full Year and Results Conference Call. [Operator Instructions] I would now like to turn",60,"Good morning. My name is Melissa, and I will be your conference facilitator. At this time, I would like to welcome everyone to the BorgWarner 2015 Fourth Quarter and Full Year and Results Conference Call. [Operator Instructions] 
I would now like to turn the call over to Ken Lamb, VP of Investor Relations. Mr. Lamb, you may begin your conference."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Executives","Thank you, Melissa. Good morning and thank you all for joining us. We issued our earnings release this morning at around 8:00 a.m. Eastern Time. It's posted on our website, borgwarner.com, on our Investor Relations homepage. A replay of today's conference",260,"Thank you, Melissa. Good morning and thank you all for joining us. We issued our earnings release this morning at around 8:00 a.m. Eastern Time. It's posted on our website, borgwarner.com, on our Investor Relations homepage. A replay of today's conference call will be available through February 18. The dial-in number for that replay is (800) 585-8367. You'll need the conference ID, which is 25547967, or you can listen to the replay on our website. 
With regard to our Investor Relations calendar, we will be attending the following conferences between now and our next earnings release: The Barclays Industrial's Conference in Miami on February 17; and the BofA Merrill Lynch New York Auto Summit in New York on March 23. 
Now back to today's earnings release. Before we begin, I need to inform you that during this call, we may make forward-looking statements, which involve risks and uncertainties as detailed in our 10-K. Our actual results may differ significantly from the matters discussed today. 
Now moving on to our results. James Verrier, President and CEO, will comment on the industry and provide a high-level overview of our results and expectations for 2016. And then Ron Hundzinski, our CFO, will discuss the details of our results and guidance. Please note that we have posted an earnings call presentation to IR page of the website. You'll find the link at the Events and Presentations section beneath the notice for this conference call. We encourage you to follow along with these charts during the discussion. 
With that, I'll turn it over to James."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Executives","Thank you, Ken, and welcome to everybody. Thank you for joining us this morning for the call. As Ken alluded to, I'm going to provide some high-level commentary around both the industry and around BorgWarner. I'll give a brief recap of some of our financi",1763,"Thank you, Ken, and welcome to everybody. Thank you for joining us this morning for the call. As Ken alluded to, I'm going to provide some high-level commentary around both the industry and around BorgWarner. I'll give a brief recap of some of our financial numbers and then Ron will go through the details around those numbers. 
So I'm now on Slide 1, for those of you following along with the deck, and I'm just going to provide a few overview comments about the macro and industry. Let me just start at a general high-level. And I think what we're experiencing in BorgWarner, just like everybody else, in general, there's a lot of uncertainty out in the world, and whether that's reflected in oil prices, strength of the dollar, Middle Eastern challenges, we do see a lot of uncertainty out there. But I think what we also see is a pretty solid, solid auto industry. Now I'll provide more color and detail around that as I go through my comments here, but my message really is in spite of all of that macro uncertainty, we see strength in the auto sector. 
The other comment I'd like to just proactively talk a little bit about is China. And as you know, China's a really critical market for the growth of BorgWarner. So I want to spend a moment and just provide some overview there. So as we go into the year, we see GDP levels for China in the mid-single digit type of our range. We see auto production in a likely a quarter of [ph] production in about a 3% to 5% growth environment. We do see the incentive programs and initiatives that were enacted towards the end of last year. Our assumption is that they will continue on through the majority if not all of this year and you'll see later in our numbers that it provides some benefit for us. So our view on China is we see a decent level of stability around GDP and auto production, and that gives us encouragement with such a lot of growth for the business in China. 
I'll make a couple of comments specifically around the markets. I will start with saying our views on production numbers for light vehicle and commercial vehicle are pretty much aligned with IHS. And what that means for us, we see North America now starting to plateau or peak type numbers in the 17.5-ish range. We see China, as I alluded to earlier, about a 3% to 5% growth for light vehicle. And Europe, there environment for Europe is somewhere between a 1% and 2% growth environment for light vehicle production. Commercial vehicle, we see still remains quite challenged. We are going into a year where on an aggregate basis, globally, we see little or no growth in commercial vehicle. As you go around the regions in the segments, there is a little bit of differentiation, but fundamentally, we see still pretty challenged commercial vehicle space. 
I wanted to share with you what I would describe the areas of watch that we at BorgWarner are paying close attention to as the year evolves, and I would say the 3 major areas that we're paying a lot of attention to are commercial vehicle, as I mentioned, can there be some upside there. Could it deteriorate a lot worse. So we're paying a lot of attention to that. We're paying close attention to the China incentives and how that will play out through the year. And clearly, for us, our biggest customers remains Volkswagens. So we pay a lot of attention to what's going on at Volkswagen. But I would say, to summarize on the market outlook, I would say in summary, things are playing out as we expected as we came into the year, and that's what we're seeing reflected through the first 6 weeks of the year as we've gone forward. 
Let let me switch a moment and provide a couple of comments on the regulatory and technology environment. I would say very importantly for us, we still see a very strong drive for fuel economy and emissions regulations. We have seen no slippage in drive and interest from our customers around CAFE and other programs. In fact, I think the latest example we saw in Europe with the real driving emission standards, for us, points to further evidence of strong drive for enacting greater fuel economy and emission standards. We've also seen the pace of a transition to increase electrification of the Powertrain continues to go in momentum, and importantly, for everybody on the call to know, we're very aware of that because we are right in the middle of it as BorgWarner. We're meeting and discussing with multiple customers. Many different architectures involving our products on 12-volt, 48-volt, mild hybrids, pure electrics, the whole spectrum of electrified power trends. We're right in the middle of that, and that's what's driving and building our growth for the long term. I thought it would be good to share though the electrification effort for BorgWarner is not just a long-term phenomenon. As we look here, right now in the year of 2016, I just want to give you an example, we're on pace to ship about 15,000 single speed transmissions for pure electric vehicles in China this year. So it's both a now story and a future story. 
Last comment around diesel. At this point, we're not seeing any real shift in mix between gas and diesel in the short run. We do know, as we've talked about in prior calls, there will be a transition to more gas engines from diesel overtime and we feel BorgWarner's very well positioned to take advantage of that trend. 
Let me now switch and give a few high-level comments about BorgWarner specifically. I'll start with a recap of 2015, and again, Ron will provide a lot more detail and color around these numbers after myself. So from a Q4 perspective, it was really good finish to the year for us. I think from a growth perspective and an operating performance, we ended the year strongly. We were $2.1 billion of sales for the quarter, which is up 7% when we exclude both currency and Remy. And our EPS performance on a comparable basis is about 75% with strong performance and also the operating margins reported a 12.6, but significantly when we exclude Remy, that was an impressive 13.2%. If I break Q4 up by segment, Engine sales were about $1.4 billion, which is a growth of 1% on a reported basis, but 10% when we exclude currency. That was primarily driven by very strong turbocharger sales. On the Drivetrain side, for the quarter, $735 million. That's up 20%, but clearly Remy is a big influence there. When you strip out Remy, it was about 1% growth. 2 things impacted the growth on the oil -- on the Drivetrain side with very strong oil drive growth in North America, and that was offset by lower growth on transmissions in Europe. 
For the full year, sales reported $8 billion. That's down 3% from 2014. But when we exclude Remy and FX [indiscernible], it was up 4.3%. EPS $2.70. When we exclude non-comparables and Remy, it was $3.02 per share. Operating margin for the full year 13%, again, when we exclude Remy, an impressive 13.2%. And I thank key for the business is we continue to drive investment further growth for the future of the company. And then the 2 key metrics I focus on for to make sure we're driving that growth CapEx, CapEx came in at 7.2% for the year; and R&D was about 4% when we exclude Remy. Both of those give me strong confidence that we're investing for the future. 
Now 2015's behind us and we're into 2016. So let me move and give some comments on 2016. I would say as we've started into the year and as we've gone into the year, we have an optimistic view on the year. We feel good about the year ahead of us. And today we're reiterating our guidance, both for the Q1 and the full year that we're announced in Detroit last month, and again, Ron will provide detailed commentary around that in a moment. I'm also pleased that we've largely got the restructuring efforts that we've put a lot of work into over the last 18 months behind us. So we can get that benefit as we go into the year. And we're heading into the year on pace to deliver mid-single digit growth and strong operating performance. 
The last thing I'd like to address is just some highlights around growth for the company. Let me just start to make a few comments about Remy. We're very, very pleased with the acquisition. I think from a strategic perspective, this is a really critical transaction for BorgWarner, and we're going to talk more about that through the year. The integration on a pragmatic basis has gone very well. But from an operating perspective and a financial perspective. But I think I want to comment positive we are on the technology. And as I mentioned earlier, we've got multiple customers engaged in discussions around the combination of the Remy product line and the BorgWarner product line, particularly a lot of discussion around the combination of Remy's rotating electric motor machine and our clutch technology around hybrid vehicles. A lot of emphasis and a lot of momentum we're gaining. A couple of other recent growth announcements that we've made. We did announce the GEN 5 electrohydraulic all wheel drive coupling that will be on the Volvo XE 90 vehicle and we also announced Engine timing and VCT product lines on the Hyundai V6 gas engines. I would say that I quote in our booking cadence remains strong and solid and is in line with our growth expectations. And as I mentioned earlier, the drive on electrification around the Powertrain momentum continues for us. 
So I would summarize it this way. 2015, we had some challenges in 2015. We acknowledge that and we're now going forward into 2016 with a lot of confidence. The business is operating very well. We're heavily focused on driving the growth that we need through the adoption of our technology. And I think last and most importantly, we're upbeat and we're very positive about delivering on the guidance that Ron is going to take you through right now. 
So with that, I'll turn the call over to Ron. Thank you."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Executives","Thank you, James, and good day, everyone. Before I begin reviewing the financials, I would like to commend all of our employees for their hard work in the quarter, and more specifically, a great finish to the year. Also, as Ken mentioned, I will be referr",1907,"Thank you, James, and good day, everyone. Before I begin reviewing the financials, I would like to commend all of our employees for their hard work in the quarter, and more specifically, a great finish to the year. Also, as Ken mentioned, I will be referring to the supplemental financial slide deck that is posted on our IR website. I encourage you to follow along. 
Now on to our financials. Let's start on Slide 3. Sales on a reported basis were up 6.6%. However, to get a clearer picture of how the core business performed, we exclude impact of FX and Remy, and excluding those items, sales were up 7.1%. Gross profit as a percentage of sales was 21% in the quarter or 21.4%, excluding Remy, up 70 basis points from a year ago. SG&A as a percentage of sales was 8.4%, again, excluding Remy, SG&A was 8.2% of sales, a 30 basis points improvement from a year ago. R&D spending, which has included in SG&A, was 3.6% of sales. I would like to point out, Remy did impact that number by 20 basis points. It was probably 3.8% without Remy. 
Now looks -- now let's look at the year-over-year comparison for operating income, which can be found on page -- on Slide 4. Starting on the right. Fourth quarter 2015 operating income adjusted for noncomparable items, including Remy, was $269 million or 12.6% of sales. Excluding Remy's $8 million of net contribution to operating income, operating income was $261 million or 13.2% of sales up 80 basis points from a year ago. Excluding noncomparable items, Remy and FX, operating income was up $34 million or $141 million of higher sales. That gives us an incremental margin of 25% -- 24% in the quarter. A reconciliation of the reported operating income to operating income adjusted for noncomparable items plus Remy can be found in the appendix on page -- Slide 9. For full year, our income [indiscernible] margin, excluding noncomparable margins, Remy and impact of foreign currency was 19%. Very good performance despite some operational efficiencies related to the drivetrain restructuring activities earlier in the year. 
As you look further down the income statement, equity and affiliate earnings was about $12 million in the quarter, in line with last year. Interest expense and finance charges were $18 million in the quarter, up from $10 million a year ago. The increase is primarily related to the $1 billion and the EUR 500 million fixed rate senior notes issued in the first and third quarters of 2015, respectively. Provision for income taxes for the quarter on a reported basis was $61 million. However, this included $12 million of net tax benefits associated with the noncomparable charges and an $8 million favorable tax adjustment. You can read about these items in our 10-K, which will be filed later today. But excluding these items, the provision for income taxes was $81 million or an effective tax rate of 30.7% in the quarter. Our effective tax rate for the full year was 29.8% or 30 basis points above our estimate. Net earnings attributable to noncontrolling interest was about $10 million in the quarter, up slightly from $8 million in the fourth quarter of 2014. That brings us back to net earnings, which were $125 million in the quarter. Net earnings, excluding the noncomparable items, but including Remy, was $173 million or $0.77 per diluted share. Now for comparisons with prior periods, net earnings, excluding noncomparable items and Remy, were $168 million or $0.75 per diluted share. 
Now let's take a closer look at the operating segments in the quarter. So beginning on Slide 5 of the deck. As James said earlier, reported Engine segment net sales were about $1.4 billion in the quarter. Sales growth for the Engine segment, excluding currency was 9.8% compared with the same period a year ago. 
Turning to Slide 6. Adjusted EBIT was $230 million for the Engine segment or 16.5% of sales. Excluding currency, the Engine segment's adjusted EBIT was up $19 million on $136 million of higher sales for an incremental margin of 14%. 
Turning to Slide 7 and starting with the right side. Drivetrain segment net sales were $735 million in the quarter. Excluding Remy and FX, sales growth in the Drivetrain segment was 1.3% compared with the same period a year ago. As James said earlier, higher all-wheel drive sales in North America were offset by lower transmission components sales in Europe. 
On Slide 8, adjusted EBIT was $81 million for the Drivetrain segment while 11% of sales. Excluding Remy, adjusted EBIT was 12.5% of sales, an impressive 180 basis point from a year ago. Excluding Remy and FX, the Drivetrain segments' adjusted EBIT was up $12 million on $8 million of higher sales for an incremental margin of 156%. I'd like to remind you that in Q4 2014, we incurred about a $5 million to $6 million headwind rate restructuring inefficiencies, which are behind us now. Drivetrain's 12.5% adjusted EBIT margin matches its best quarter performance ever. It was just 3 years ago that Drivetrain margins were running around 9%. At that time, we commenced improving the margins in the segment, and we are pleased with its progress. 
Now let's take a look at the balance sheet and cash flow. We generated $868 million of net cash from operating activities in 2015, up $66 million from a year ago. We had a very strong finish to the year generating nearly $400 million of cash in the fourth quarter driven by exceptional working capital management. Capital spending was $577 million in 2015, up $14 million from a year ago. As James said earlier, capital spending in 2014 and '15 was above our trend. We expect to return to normal spending levels beginning in 2016. Free cash flow, which we define as net cash from operating activities less capital spending, was $290 million in 2015, up $52 million from 2014 and $41 million above the high end of our guidance range provided in October. This positive trend is expected to continue. We expect to generate between $400 million and $475 million of free cash flow in 2016. At the midpoint, that is up 50% from 2015. $200 million to $300 million of free cash flow will be used to repurchase shares in 2016. 
Looking at the balance sheet itself. Balance sheet debt increased by $1.23 billion and cash decreased by $220 million. In 2015, compared with the end of 2014, the $1.45 billion increase in net debt was primarily driven due to Remy acquisition, capital expenditures, dividend payments to shareholders and share repurchases. We spent $350 million repurchasing 8.1 million shares in 2015, and that's on schedule for executing our $1 billion share repurchase program by the first quarter of 2018. Our net debt-to-capital ratio was 35.4% at the end of 2015, up from 12.8% at the end of 2014. Net debt-to-EBITDA at the end of the year on a trailing 12-month basis was 1.4x. 
Now I'd like to spend some time on our 2016 guidance, which is unchanged from our initial announcement. I'm going to go through the same numbers presented at the Deutsche Bank Global Auto Industry Conference that we did a couple of weeks ago. I would ask, please bear with me. I think in -- as a management team, we think it's really important to go through this and it will be very detailed, but nonetheless, we think it's very important that I do this. So let's start with sales growth guidance for the full year. 
I want to remind everybody, the baseline for 2015 net sales, excluding Remy, which was just under 7.9. So starting point is without Remy. So net new business pricing the market rate grow that are expected to drive 2.5 to 5.5 sales growth. Currency is expected to reduce sales growth within a range of 230 basis points at the low end and 80 basis points at the high end of the range. Those 2 items combined to equal 0.2% to 4.7% of expected sales growth for our base business in 2016. The Remy acquisition should add 13% to 13.5% growth leading to a 13.2% to 18.3% growth for the total company. From an operating performance perspective, we're expecting an 18% to 20% incremental margin on our core business sales growth. Included in this are $15 million to $25 million of tailwinds from the Drivetrain restructuring and increased efficiency related to the completion of that activity. These tailwinds will be partially offset by about $5 million of higher compliance and other corporate expenses. On a comparable basis, we expect our operating income margin to be greater than 13%, up from the prior year for the seventh year in a row. The Remy business is expected to deliver mid-single-digit margins this year. It's net contribution to operating income includes cost synergies and purchase accounting adjustments. So our consolidated operating income margin is expected to be above 12%. We expect earnings of $3.11 to $3.32 per share on a consolidated basis, which includes about $0.13 per share from Remy. Excluding Remy, we expect earnings to be $2.98 to $3.18 per share. 
So now let's review the first quarter guidance starting with sales growth. And again, this has been unchanged from what we gave guidance a little while ago. We expect net new business, pricing and market related growth of about a negative 3% to a positive 2.7%. As we said in January, we do expect higher light truck related volumes in North America, but this will be partially offset by 2 European transmission programs that began phasing out in the fourth quarter. We're also layer risk associated with the market volatility in China. Currency, is expected to reduce sales growth between 380 points -- basis points at the low end and to 240 basis points at the high end of the range. In 2015, the euro was at its highest point during the first quarter. If our currency assumptions for 2016 are correct, the impact on currency will be relatively severe in the first quarter, but less throughout the year. Those 2 items combined equal minus 4.1% at the low end and 0.3% at the high end of our core business. The Remy acquisition should add 12.4% to 13% growth leading to an 8.3% to 13.3% growth for the total company. We expect earnings of $0.75 to $0.79 per share on a consolidated basis, which does include about $0.03 per share from Remy. Excluding Remy, we expect earnings to be $0.72 to $0.75 per share. 
So let me summarize 2015. 2015 was a good year for BorgWarner. We grew mid-single-digits. We expanded our operating margins. We also completed the Remy acquisition. We completed the Drivetrain restructuring and we made capital investments to set the stage for continued growth and improved operating performance going forward. Now as we look into 2016 and beyond, we see improvements in a number of key areas. First and most important is the intensity around new product development to support impending electrification trend James mentioned earlier. I've never seen this intensity higher in this company since I've been here. There's no question in my mind that this will drive growth for many years. Second, operating income and cash flow will go higher. And finally, the future is bright for BorgWarner. 
So with that, I'd like to turn the call back over to Ken."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Executives","Thanks, Ron. Now let's move to the Q&A portion of the call. Melissa, please remind everyone of the Q&A procedure.",20,"Thanks, Ron. Now let's move to the Q&A portion of the call. Melissa, please remind everyone of the Q&A procedure."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Operator","[Operator Instructions] Your first question comes from Rich Kwas with Wells Fargo Securities.",13,"[Operator Instructions] Your first question comes from Rich Kwas with Wells Fargo Securities."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Analysts","This is Stephen for Rich Kwas. A few quick questions. What is your incremental margin assumptions by segment for 2016?",20,"This is Stephen for Rich Kwas. A few quick questions. What is your incremental margin assumptions by segment for 2016?"
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Executives","We don't provide that kind of guidance by segment. We just give the total company guidance, which is the debt I was referring to earlier.",26,"We don't provide that kind of guidance by segment. We just give the total company guidance, which is the debt I was referring to earlier."
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Analysts","Okay. Well, secondly, could you also give us an early read on integration synergies from Remy?",16,"Okay. Well, secondly, could you also give us an early read on integration synergies from Remy?"
25708,322094117,931362,"BorgWarner Inc., Q4 2015 Earnings Call, Feb 11, 2016",2016-02-11,"Earnings Calls","BorgWarner Inc.","Executives","Sure. Back in the announcement in last July, it was we gave guidance that the synergies on the cost side were going to be $15 million. I would say we're on track to hitting that goal at this point. We didn't give any synergies at this point on the sales s",68,"Sure. Back in the announcement in last July, it was we gave guidance that the synergies on the cost side were going to be $15 million. I would say we're on track to hitting that goal at this point. We didn't give any synergies at this point on the sales side, but we're getting some momentum there as well and you have more clarity as we go forward."
