"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Operator","Good morning, ladies and gentlemen, and welcome to the C.H. Robinson Fourth Quarter 2015 Conference Call. [Operator Instructions] Tim Gagnon will facilitate a review as previously submitted questions. As a reminder, this conference is being recorded Wedne",57,"Good morning, ladies and gentlemen, and welcome to the C.H. Robinson Fourth Quarter 2015 Conference Call. [Operator Instructions] Tim Gagnon will facilitate a review as previously submitted questions. As a reminder, this conference is being recorded Wednesday, February 3, 2016. I would now like to turn the conference over to Tim Gagnon, the Director of Investor Relations."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","Thank you, Mike, and good morning, everyone. On our call this morning will be John Wiehoff, our Chief Executive Officer; and Andy Clarke, Chief Financial Officer. John and Andy will provide some prepared comments on the highlights of our fourth quarter an",177,"Thank you, Mike, and good morning, everyone. On our call this morning will be John Wiehoff, our Chief Executive Officer; and Andy Clarke, Chief Financial Officer. John and Andy will provide some prepared comments on the highlights of our fourth quarter and full year of 2015 and will follow that with a response to presubmitted questions we received after earnings release yesterday. Please note that there are presentation slides that accompany our call to facilitate the discussion. The slides can be accessed in the Investor Relations section of our website, which is located at chrobinson.com. John and Andy will be referring to these slides in their prepared comments. 
I'd like to remind you that comments made by John, Andy or others representing C.H. Robinson may contain forward-looking statements, which are subject to risks and uncertainties. Our SEC filings contained additional information about factors that could cause actual results to differ from management's expectations.
With that, I'll turn it over to John to begin his prepared comments on Slide 3 with a review of our fourth quarter results."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","Thank you, Tim, and thanks for everybody taking the time to listen to the call this morning. I'm going to start by highlighting a few of the financial metrics that we look at and then maybe share a few headline thoughts before turning it over to Andy. I",1102,"Thank you, Tim, and thanks for everybody taking the time to listen to the call this morning. I'm going to start by highlighting a few of the financial metrics that we look at and then maybe share a few headline thoughts before turning it over to Andy. 
In terms of financial metrics on Slide 3 that Tim referenced, if you look at our total revenues for the quarter, we're down 4.4%. Similar to the rest of the year, the total revenues grew at a slower pace primarily due to the cost of fuel and the reduction of fuel surcharges in our services. In the fourth quarter, we also seen -- did see some decline in prices that resulted in reduced total revenues. Total net revenues increased 13.7% in the quarter. As the slide indicates, 7.3% growth came from our organic growth, while the Freightquote acquisition contributed about 6.5 percentage points to that growth.
Income from operations for the quarter was up 14.3% and net income was up 12%, earnings per share of $0.88 compared to earnings per share of $0.77 last year. Wanted to share just a couple of comments on the difference between income from operations and net income and the comment that's noted on Slide 4 about the indemnification asset. When we acquired Phoenix 3 years ago, there were some uncertain tax positions around the world that we received an indemnification promise from the sellers. The purchase accounting for that is to record an indemnification receivable as well as a contingent tax liability for the issues that were uncertain. If those issues are all resolved without any obligations, both the receivable and the contingent liability would come back off the balance sheet without any cash charges or any net impact to earnings. The nuance with the accounting for that is the receivable comes off when the indemnification period ends and the tax liabilities come off when the statute of limitation passes in all the various countries that they apply to. So what we saw during the fourth quarter was a $7.1 million indemnification asset writeoff that went to other expense. That's the reversal of the receivable that was recorded, which is a noncash charge. We also saw a portion of the tax liabilities come off the balance sheet as well and reduced the tax provision, and the rest of the tax liabilities will come off in future periods as those statute of limitations pass. So a little bit unusual but it does result in a $7 million other expense charge that net of those tax liabilities that reversed did have a negative impact of $0.02 per share on the quarter. That's what results in a different growth rate in net income compared to income from operations for the quarter.
In terms of other financial metrics down at the bottom of that slide, we talk about our team and our headcount. We finished the year with 13,159 employees, which represents a little over 14% increase from the previous year. Just under 1,000 of those employees joined us through the Freightquote acquisitions and the remainder came from organic growth of staffing up our teams across the network.
If you look at the year-to-date results, which is always good to do because we do have a fair amount of incentive contracts and other things that apply on an annual basis, still, we did complete 2015 with year-to-date results that reflected 15% EPS growth. That represents our second year of 15% EPS growth and something that we're very proud of. If you look at almost all of the year-to-date financial metrics represent records in terms of size and scale of Robinson, and we're proud of our performance and Robinson is a bigger and stronger business today in just about every financial metric that you can look at. I want to take this moment to thank the Robinson team. We've had to adapt and change a lot to the changing marketplace and a changing industry over the last several years, and we're doing that and we feel very good about the strength of our team and the results that we achieved in 2015.
So those are the financial metrics. Now I'll highlight just a few other headline thoughts again before I turn it over to Andy. I mentioned Freightquote already once in the last few quarters. We've talked about that. As a reminder, we closed that acquisition on January 1, 2015. So this will be the last quarter where Freightquote's inclusion will be highlighted. We've been doing that simply to be transparent around the impact of those acquired revenues and the acquired impacts of Freightquote, but we're very pleased with that acquisition. Similar to what we've said in previous quarters, we're happy with what we've achieved there. We have a little bit work to do in terms of integrating the business and going forward, but year 1 was a success. And hopefully, the impact of Freightquote to our financials has been clear throughout the year.
The thought that I would share is with regards to pricing. When you look through the deck, and Andy gives the comments on our various services, you'll see a lot of down arrows on pricing. We talked in our last call about softening markets and softening pricing and I don't think it's any surprise to anyone that over the last quarter, pretty much in all of our services, that demand has been softening and that has resulted in price declines. We've talked a lot -- if you look at the last couple of years now, 2014 and '15, last year, we had some pretty meaningful price increases in all of our services, particularly in the truckload area. And now this year, we're seeing a more typical cycling or turning down of some of those prices. That's an important change that we have to adapt to and we'll do the best we can to give you our color on kind of what we're seeing in the market and how we adjust our business to do that. But as a reminder, we really think of our value creation in the long term around taking market share and helping our customers and suppliers adapt to those changing market conditions. So while it is a pretty relevant change to what's going on in the market, it's nothing that we haven't experienced before, and it's part of how we think we can add value to the marketplace in a declining price market.
So I'll stop there with those headline thoughts and turn it over to Andy to walk you through the deck of our financials."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","Thank you, John. I also want to echo your comments about our fourth quarter and full year. 2015 was a great year for Robinson and our people are and should be very proud of these results. While it was a different transportation market than 2014, our globa",1572,"Thank you, John. I also want to echo your comments about our fourth quarter and full year. 2015 was a great year for Robinson and our people are and should be very proud of these results. While it was a different transportation market than 2014, our global network continues to prove that we can provide excellent service to our customers and deliver strong results for our shareholders in any condition. This industry continues to change and evolve and will do so in an increasing pace in the years to come. We like that because we have been disrupting and innovating for years. 
Today, approximately 72% of our customer shipments originate from either an electronic or digital transaction or is web- or mobile-based. We have connections with well over 150,000 organizations and execute over 5 million web or mobile interactions among -- with customers and carriers. These customers and carriers rely on us to lead and that is exactly what we are doing, and I think these results reflect that.
So I will start my review of the detailed results on Slide 4 with our transportation. Transportation net revenues increased 13.8% to $544 million in the quarter. We finished the full year with a 13.5% net revenue growth, driven in part by our 14% growth in global shipment count to approximately 17 million shipments in 2015. Fourth quarter transportation net revenue margin increased 310 basis points from 2014's fourth quarter to 19%. From a historical perspective, it is our best net revenue margin quarter since Q4 2008. This increase was a result of the impact of lower transportation cost in most of the transportation modes including the decrease in fuel prices when compared to the fourth quarter of 2014. 
The chart on this page shows our transportation net revenue margin for the past 10 years, representing multiple in economic and industry cycles. It is a combination of our people, process and technology that produce these best-in-class results on a consistent and sustainable basis.
Moving on to Slide 5 and our truckload results. We had another strong quarter in our truckload business, growing net revenues by 13.4%. Organic net revenue increased approximately 10% while Freightquote added approximately 3.5% to the net revenues in the quarter. Truckload volume increased 5% with organic volume of approximately 2% and Freightquote adding approximately 3%. By comparison, CAS [ph] volumes were down on approximately 2.5% in the fourth quarter. We feel good about our ability to profitably grow volumes and take market share. In fact, we've done that for 26 consecutive quarters.
In North America, the line haul price per mile to our customers excluding the impact of fuel was down 3% on a year-over-year basis, while the cost paid to carriers decreased approximately 5%. From a historical perspective, since 2008, the average increase of pricing to customers has been 2.5%. During that same 8-year period, the price paid to carriers has risen 2.5%. There has been and probably always will be short-term volatility between these 2 numbers. But over a longer period of time, they tend to converge. In real-time, we are seeing the pricing in the spot market had a larger impact on changes in overall pricing than in the previous quarters in the year.
Our volume growth in the quarter and for most of the year in 2015 came from our committed business, with transactional volume down on a year-over-year basis as you would expect. The demand environment in the second half of 2015 was softer than in the first half when compared to 2014. Thus far, in 2016, our volume growth is similar to what we saw in the second half of '15. John will talk more about that in his closing comments.
Moving on to Slide 6 and the less-than-truckload results. Our LTL net revenues increased 41.4% with organic net revenues increasing approximately 9% and Freightquote contributing approximately 32% in the fourth quarter. LTL volumes increased 36% with organic contributing 17% and Freightquote adding approximately 19%. Net revenue margin increased on a year-over-year basis in the fourth quarter primarily as a result of higher-margin Freightquote business with small customers and growth in our consolidation business. For the year, LTL net revenues are up nearly 40%, driven by strong organic and Freightquote contributions. We are the largest nonasset LTL provider in North America by a wide margin, and our go-to-market strategy has proven to be a winning one with customers and providers.
Transitioning to Intermodal results on Slide 7. Intermodal net revenue decreased 13.7% in the fourth quarter with volumes down 8%. Without Freightquote, organic net revenues decreased approximately 22% in the fourth quarter. It was a tough fourth quarter in the intermodal business as we had a significant decrease in our transactional volumes. The intermodal services represents less than 2% of our net revenues and we typically see the results impacted negatively in a softer truckload market with lower fuel prices. These market conditions often impact the decision of shippers to utilize truckload services rather than intermodal.
Moving to Slide 8 and a review of our global forwarding business. Net revenue for the global forwarding services decreased 2.1% in the fourth quarter. Ocean net revenues decreased 1.5% while air decreased 4.1% and custom services were down 1.3%. There are 2 things in the quarter to highlight. The first is that we continue to capture market share in global forwarding. Volumes were up in ocean and up slightly in air despite a very challenging marketplace. Pricing, however, in both ocean and air continue to be a major headwind both down double digits in the quarter. The second issue to reflect is that it's important to remember the strong Q4 2014 comparable, which was driven by the West Coast port strikes, where net revenue grew 18% in that particular period. The 2015 full year results were very positive on both top and bottom lines and our global forwarding team has done an excellent job. We've got a great team and are confident in the platform and how we are positioned for the future.
Slide 9 and our other logistic services. The services in this group include transportation management services, warehousing, parcel and small package. Net revenues increased 16.1% in the fourth quarter of 2015 compared to the same period in 2014. Managed services, primarily our TMS offering branded TMC, represents over half the net revenue in this area and that business is performing extremely well with strong net revenue growth. TMC finished the year with a record number of new implementations and the pipeline for pending implementations as an all-time high.
Transitioning to our sourcing business on Slide 10. Our sourcing net revenues increased 11.9% in the fourth quarter and case volume grew 4.5%. We are pleased with the sourcing team's ability to finish the year strong in the fourth quarter and grow net revenues just short of 5% for the year. Our customer base is very concentrated with retail and food services customers representing our 2 largest segments. The sourcing team continues to adapt the value proposition and they have done a good job working through a tough couple of years with a lot of change in both our services and how we meet the needs of our top customers.
Slide 11 covers our summarized income statements for the fourth quarter. Operating income increased 14.3% in the fourth quarter and as a percent of net revenue was 37.6%, up 20 basis points from last year's fourth quarter. For the year, operating income as a percent of net revenue increased 50 basis points to 37.8%. Thank you to all of our people for another strong productivity year. Personnel expenses were up 14.1% in the quarter. This increased personnel expense was due to the additional headcount relating to our acquisition of Freightquote, contributing approximately 9.1% and a 5% increase in our organic headcount. Other SG&A expenses increased 11.4%. This increase again was primarily due to the Freightquote acquisition including amortization expense of $1.9 million. John mentioned earlier that we had an interest in other expense increase during the quarter by $7.1 million. That expense was partially offset by the related tax liabilities decreasing earnings per share by $0.02 in the fourth quarter.
Moving on to Slide 11 and other financial information. We had a great cash flow quarter generating just over $253 million in the period. Year-to-date, cash flow was $718 million, a 40% increase versus last year. Capital expenditures were $11.8 million in the fourth quarter and year-to-date $44 million. For 2016, we expect capital expenditures to be between $70 million and $80 million, with $30 million coming from our new data center. We finished the fourth quarter with $950 million in debt and just under $170 million in cash.
And finally, before turning it back to John, on the Slide 13 in our capital distribution to shareholders. We returned approximately $130 million to shareholders in the quarter with approximately $64 million coming from dividends and $66 million in share repurchases. We finished the quarter returning approximately 103% of net income to shareholders, and for the year, we returned 92%, which is in line with our target. Since 2010, we've returned over $3.1 billion to shareholders in dividend and share repurchases. Again, our thanks to everyone at Robinson for a great quarter in 2015, and thank you all as well for listening in. 
With that, I will turn it back to John for his closing comments."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","All right. Thanks, Andy. So Slide 14 labeled a look ahead is just some bullet points that we laid out to kind of share with you what we're seeing and what our headline thoughts are heading in to 2016. To start with our January, total company revenue organ",1104,"All right. Thanks, Andy. So Slide 14 labeled a look ahead is just some bullet points that we laid out to kind of share with you what we're seeing and what our headline thoughts are heading in to 2016. To start with our January, total company revenue organic growth rate is consistent with the fourth quarter of 2015. As I mentioned earlier, Freightquote has lapped, so the impact of Freightquote in 2015 would not reoccur again this year. But basically, what we're -- what we saw in January was a continued soft transactional market and continued margin expansion on our committed freight very similar to what Andy laid out for Q4 of 2015.
What is our mindset and how are we thinking about 2016? I mentioned in my kickoff comments that our long-term value proposition and how we think about growing the business is to be very focused on taking share knowing that there's going to be different periods of different environments and different pricing scenarios, but that is absolutely what we're focused on in 2016. We put the word profitably on there. It's important from our standpoint that when we think about how we go to market and how we want to grow our business, that when we enter into a committed relationship and are trying to add value to the customers in the marketplace on a longer-term basis, that those relationships are sustainable and that we're getting compensated for what we're doing and that we're adding value to the customer on a long-term basis. In the transactional world, again, there's not a lot of point in executing transactional business if you can't get a return on it. So when we think about how we go to market, it makes sense for us to think about how we can add value and go after market share in a sustainable way. We think we've done that in our past and that will continue to be our mindset going forward.
Global forwarding success. Andy touched on the results that we had and why we feel good about our global forwarding team and our global forwarding success. I think as -- the next 2 points really go together around integrated services and global forwarding, but we've talked a lot in the last 3 years -- 3 years ago we weren't as proud or content with our competitive positioning in global forwarding. With the Phoenix acquisition and the further investment over the last 3 years, we've been able to grow our net -- combined net revenues high single digits over that period of time and really improve our service offering and our capabilities. And it's not only been a good investment, but I think it's been a very important expansion of what Robinson is capable of and allowing our cross-selling services and allowing us to look at other regions of the world and how we can build further on to our network. So we're very focused on that continuation of cross-selling, looking at international air [indiscernible] and customs brokerage and other regions and really leveraging the platform that we've built over the last 3 years as an important part of our thoughts going forward.
The demand for integrated global services is growing. That's probably not a new thought to most people, but just to share with you about when we look at our customer metrics and our business that we do see an escalation of the number of customers that are using multiple services. Andy mentioned that the growth in the pipeline and our managed services division that we've talked about cross-selling of some of our international and domestic stuff. There's a lot of data points and a lot of metrics that point to our continued success in working on a more global basis and working with more integrated customers, so we do feel that's an important trend that we're going to stay focused on.
Another point related to that, though, that we have emphasized and continued to believe is very important is that all of the services that we offer are very competitive and do require competitive pricing and service levels in order to be successful. So when we think about the pace and how aggressively we expand those services and expand those geographies, it is balanced by wanting to retain our market leadership position and a high quality, high service and competitive price profile as we move into each of those. We also have talked about we do believe it's important to maintain both a transactional and committed contractual presence in the marketplace. So as we grow with those bigger more global and integrated opportunities, we also are staying focused on how to remain competitive in the transactional marketplace and balancing the different types of relationships and segment offerings that we have with our customers.
So that's a little bit of insight into how we're thinking about our offerings and expanding our profile and our platform going into the year and increasing those global integrated services. The last point is really repetitive from things that we've been emphasizing for a long time and we've talked about people, process and technology and really believing that, that is the competitive foundation of the things that really matter in the forwarding and 3PL sector that we're going to continue to focus on. Our people have always been our primary asset and will remain that. Our talent and our account managers and how we go to market are just really what we think makes a difference, and whether we succeed or fail at Robinson and will continue to be our primary asset that we invest in. 
Technology is as important as ever. A lot of focus and emphasis around technology disruption and the impact that it's having on our industry. We believe we're a technology leader and we're going to continue to invest in our Navisphere platform and continue to maintain that competitive advantage that we think is really important in the marketplace.
Our business processes are very important. Sometimes it's about bringing consistency and discipline to those processes, and at other times, it's about innovation and new ideas that customers are looking to try to make changes or to improve or to take costs out of their supply chain, and that talent technology and innovation, people process technology focus, we're as convinced as ever that, that is the differentiator at Robinson and that is what we're going to continue to invest in to make a difference in the marketplace.
Those are our prepared thoughts. With that, I will turn it over to Tim to facilitate some prepared Q&A."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","Thanks, John, and before I get into the Q&A here, I'd like to thank all the analysts and investors for taking the time to submit some great questions and I've done my best to compile it here into themes that are relevant and important. I'll frame up the q",121,"Thanks, John, and before I get into the Q&A here, I'd like to thank all the analysts and investors for taking the time to submit some great questions and I've done my best to compile it here into themes that are relevant and important. I'll frame up the questions for John and Andy, and then they'll prepare their response. So I'll get right into it here. 
The first question is for Andy around truckload pricing. North America truckload pricing to CHRW customers was down 3% year-over-year while transportation costs per mile declined 5%, a spread that widened more significantly during the fourth quarter when compared to earlier this year. Had this spread widened, narrowed or remained relatively the same in January?"
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","What we've seen in January is that it remained relatively the same. There's been no material change one way or the other from what we saw in the fourth quarter.",31,"What we've seen in January is that it remained relatively the same. There's been no material change one way or the other from what we saw in the fourth quarter."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","Thanks, Andy. The next question is for John. Trying to read the tea leaves. How are you feeling about the macro environment today? Any changes in your customer tone? And any differentiation between large or small customers?",37,"Thanks, Andy. The next question is for John. Trying to read the tea leaves. How are you feeling about the macro environment today? Any changes in your customer tone? And any differentiation between large or small customers?"
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","From a macro standpoint, I would say the softening of the market and the decrease in prices is probably the predominant theme that everybody is focused on just how long will the markets stay soft and what type of environment will we be in throughout the r",258,"From a macro standpoint, I would say the softening of the market and the decrease in prices is probably the predominant theme that everybody is focused on just how long will the markets stay soft and what type of environment will we be in throughout the remainder of 2016. Listening to that question, I would say the other thing that probably comes to mind is that from a macro standpoint, we've been trying hard to analyze our business from an industry and vertical standpoint more and more. And probably not surprisingly, when you look across the vertical sectors in Robinson, it is where you would see some of the higher correlations to the economy and where things are at. Anything, energy- or mining-related obviously very soft. And even in those regions where that's focused, less activity going on. On the retail world, there's a lot of transition, lot of increase in e-commerce, a lot of store closings, a lot of transition that's going on in the retail world. We're still fairly big in food and beverage, which is a little bit more stable than a lot of the other sectors. Our automotive business is still remaining pretty good in North America, but that industry has continued to do fairly well. So again, not shocking or surprising given the headlines and the types of things that are happening in the U.S. and around the world. But I would say that our freight activities further validate some of the headlines that you see about what's happening in the overall economy."
368470,321466059,925268,"CH Robinson Worldwide Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","C.H. Robinson Worldwide, Inc.","Executives","Thanks, John. The next question's for Andy around contractual pricing and truckload. Can you comment on the rate increases or decreases that you are seeing in your contractual book of business for 2016? Asked another way, are shippers demanding and gettin",62,"Thanks, John. The next question's for Andy around contractual pricing and truckload. Can you comment on the rate increases or decreases that you are seeing in your contractual book of business for 2016? Asked another way, are shippers demanding and getting rate concessions? Or are you able to maintain or even modestly increase your rates as you go through the bid process?"
