"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","Good morning, everyone and welcome to our First Quarter 2015 [ph] Earnings Conference Call. This is Arnold Donald, President and CEO of Carnival Corporation plc. Thank you all for joining us this morning. Today, I'm joined by our Chairman, Micky Arison,",1670,"Good morning, everyone and welcome to our First Quarter 2015 [ph] Earnings Conference Call. This is Arnold Donald, President and CEO of Carnival Corporation plc. Thank you all for joining us this morning. 
Today, I'm joined by our Chairman, Micky Arison, who will be phoning in from Italy; as well as David Bernstein, our Chief Financial Officer; and Beth Roberts, who heads up our Investor Relations, here in Miami. 
Before I begin, please note that some of our remarks on this call will be forward-looking. Therefore, I must refer you to the cautionary statement in today's press release. 
Our company is off to a strong start this year, with first quarter adjusted earnings nearly doubled the prior year and well above the high end of our December guidance range. The first quarter result combined with our strong book position has enabled us to increase the midpoint of our previous guidance range by $0.05 and raise the floor on our full year earnings expectations. 
I'm proud to acknowledge all of our employees globally for the industry-leading guest experience [indiscernible] that are central to our sustained earnings improvement. I especially thank our travel agent partners for the critical role they play in connecting guests with our great brand experience. 
It was reinforcing to see revenue yield growth of 5.7% in constant currency, marking the fourth consecutive quarter of mid-single-digit yield improvement. We enjoyed ticket price improvements for both our North American and our EAA brands, with particularly robust ticket price improvements in our core Caribbean itinerary which represents 47% of our first quarter [ph] deployment. We drove revenue yield growth at Costa by creating relative scarcity through our brand team success in increasing demand via our ongoing guest experience efforts, coupled with new impactful creative featuring Shakira. While at the same time, we reduced supply in the more challenging trading environment in Southern Europe by transferring Costa capacity to China. 
As you recall, our Costa brand was the first global cruise line to home port in China back in 2006. Today, we are the largest in China and the first global cruise company with 6 ships based there across 2 our brands, Costa and Princess, representing nearly half of the Chinese cruise industry. 
While it represents less than 5% of our global capacity, for us, China continues to be a promising unit growth opportunity. China has quickly become the world's largest outbound travel market at an estimated 135 million strong, yet just over 1 million cruise today. We expect to continue our growth over time and have further plans for AIDA and Carnival Cruise Lines to enter China in the near future. 
China contributed to our strong quarterly results. We have [indiscernible] over 60% more capacity there and enjoyed strong profit improvement and return on invested capital accretion. At the same time, the capacity shift to China help create relative scarcity in our other markets, supporting global revenue yield growth. 
Beyond China during the quarter, we made further progress globally in creating demand for all of our brands at excess of measured capacity growth. Part of that demand creation is the excitement around the much anticipated delivery of AIDAprima. And I can tell you, she is well worth the wait. The ship is absolutely fantastic. The first of the next generation platform for AIDA that combines leading-edge environmental attributes and well-designed features that foster an exceptional guest experience. 
All of our features, whether raising water flies, [indiscernible] multiple, climbing walls, an expensive German spa, an ice rink for skating, for hockey, for curling and even a traditional Christmas market, together, create an experience that truly resonates with [indiscernible] that is nearly exclusively German guests. 
And we have additional opportunity for demand creation just for few short days with the delivery of Holland America's new flagship, Koningsdam. Koningsdam was designed as Holland American guest in mind and reintroduce Holland America to those who have yet to experience our award winning service, our 5-star dining, our extensive enrichment program and compelling worldwide itineraries. 
Our new flagship will offer fine dining in several alternative restaurants, including a new French seafood [indiscernible] and a new immersive far in the table dinner experience in the Culinary Arts Center. 
Part of enhancing an already great Holland America experience includes taking onboard entertainment to a whole new level. We have carefully engineered a new [indiscernible] which showcases different genres offering chamber music in Lincoln Center Stage, rocking the crowd with [indiscernible] and instant billboard on board and bringing the best of Memphis music to see in our popular B.B. King's Blues Club. 
Responding to our guest, our new flagship will future Holland America Lines first ever purpose-built [indiscernible] for families as well as single stay bedrooms. 
Newbuilds will also provide additional demand creation opportunities later this year as well, with the delivery of Carnival Vista followed by Seabourn Encore. When it comes to shift, newbuild are not the only way to simulate demand creation. We continue to invest in our existing fleet to further enhance guest experiences including the recently recreation of Holland America's [indiscernible] incorporating many of the same experiences on board as Koningsdam. In addition, we are ongoing an extensive remastering of Q North, Queen Mary 2 later this year. 
Destination is also been a powerful tool for demand creation as well especially when combined with the attractive public relations. Last week, we made history when we became the first U.S. cruise operator in over 50 years to receive cumulative approval to bring U.S. cruise guests directly from the U.S. to Cuba. 
We made worldwide news, showcasing cruise on a very positive light, with nearly 5 billion media impressions [indiscernible]. We very much look forward to launching our historic Cuba inaugural seasonal [indiscernible] initially with itineraries including Havana, Cienfuegos and Santiago de Cuba. We believe there is no better way to experience so much of Cuba in 7 days than with the enriching guest experience in our premium fathom brand. 
As the Adonia just carries 700 guests per sailing, if you have any interest in seeing Cuba through an extraordinary family experience, I sincerely recommend you book now. 
Concerning the future of cruises in Cuba, we have already begun the process for approval for other brands for sail for Cuba in the months and years ahead. 
Now beyond ships and destinations, our ongoing marketing and promotional efforts are also part of demand creation. As part of our effort to keep cruise in the forefront of vacationers minds, [indiscernible] is airing a new reality-based show on prime time U.K. television entitled The Cruise. The documentary falls [indiscernible] with our early to guest on board Regal Princess through a 6 week series. In fact, we've already seen a 40% [ph] increase in web traffic for Princess in the U.K. since the show began airing. 
Also airing in the U.K., P&O Cruises Battleships, a new cookery concept [indiscernible] on board with [indiscernible], featuring 5 celebrities testing their culinary skills and judged by celebrity chef, Marco Pierre White. 
In Italy, Casa Fortunate will set up a major motion picture for [indiscernible], holidays in the Caribbean, launched early in the quarter, partially cast with Costa crew members. More recently, an episode on Italian reality TV, [indiscernible], the Colors of Love, was based on the love story between 2 young Costa crew members who met on board. 
In North America, just last week, Carnival Cruise Lines featured nightly on the [indiscernible] television show, [indiscernible] Fortune. While early in the quarter, Carnival announced an exceptional partnership with Grammy award-winning country music superstar, Carrie Underwood, and operation home front, supporting our U.S. Military personnel. Media coverage from that announcement alone generated more than 1 billion media impressions and our Carnival brand continues to outperform. 
Also in North America, we partnered with AT&T and Samsung to create a virtual reality experience that showcase in nearly 1,200 AT&T stores, promoting consideration for cruise by allowing new-to-cruise to virtually experience a cruise vacation. We estimate nearly 400,000 people have already have the virtually reality experience, showcasing our portfolio of leading brands. All of these efforts heighten global awareness and consideration for our [indiscernible] cruise line as we continue to capture a greater share of the vacation suitcase. 
During the quarter, we continue to make progress on cross brand efforts to leverage our scale. On the revenue side, work on our revenue yield optimizing system continues. And in summer of 2016, will be rolled out on 30% of our inventory. The prototype will [indiscernible] yield uplift as well as aspiring [indiscernible] for final system development. Since most of the shifts will [indiscernible] will be behind us by the summer, we look forward to a greater contribution on this effort in 2017. 
And on the cost side, work in our procurement area continues. We have negotiations underway on 16 separate purchasing categories, with 22 more RFPs outstanding. All of which will contribute to our outstated [ph] $75 million of expected cost savings in 2016. 
Our ongoing operational improvement is a testament of the success of our combined efforts to create demand in excess of measured capacity growth and to leverage our scale. The strong first quarter we have enjoyed affirms our conviction to deliver this year's earnings forecast and accelerates progress toward double-digit return on invested capital. We remain well on track for the delivery of over 8.5% return on invested capital this year and crossing the double-digit threshold in the next 2 to 3 years. At the same time, we have accelerated our return of capital to shareholders. Since resuming our stock repurchase program late last year, we have completed our first $1 million share repurchase authorization and are well into our second billion, bringing the cumulative total of purchase to date to $1.3 billion and approximately 27 million shares. We plan to continue to return free cash flow to shareholders with our strong balance sheet and leverage ratios now comfortably at the better end of our target range. 
And now, I will turn the call over to David."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","Thank you, Arnold. Before I begin, please note all of my references to revenue, ticket prices and cost metrics will be in constant currency unless otherwise stated. I'll start today with a summary of our 2016 first quarter results. Then I'll provide som",973,"Thank you, Arnold. Before I begin, please note all of my references to revenue, ticket prices and cost metrics will be in constant currency unless otherwise stated. 
I'll start today with a summary of our 2016 first quarter results. Then I'll provide some insights on booking trends. And finish up with an update on our full year 2016 guidance. 
Our adjusted EPS for the first quarter was $0.39. This was $0.09 above the midpoint of our December guidance despite a $0.01 drag from foreign [ph] currency. The improvement was essentially driven by 2 things: $0.07 from net ticket revenue yields, which benefited from stronger pricing on close-in bookings on both sides of the Atlantic; and $0.03 from lower net cruise costs excluding fuel as a result of timing of certain expenses between the quarter. 
Now let's turn to the first quarter operating results versus the prior year. Our capacity increased almost 4%. Our total net revenue yields were up 5.7%. 
Let's break apart the 2 components of net revenue yields. Net ticket yields were up almost 7%. As Arnold indicated, we enjoyed ticket price improvements on both sides of the Atlantic. The increase was driven by the strength in pricing in the Caribbean, which represented 47% of our capacity in the quarter. In addition, our European, Australian and Asian brands also known as our EAA brands, saw solid price improvements on their year-round European program. 
Onboard and other yields increased almost 3%, in line with December guidance. The increase was mainly related to bar, casino and communications as our efforts in these areas continued to pay dividends. Net cruise costs per ALBD excluding fuel, were up about 1.5%, which was less than planned in our December guidance, again due to the timing of expenses between the quarters. 
In summary, first quarter adjusted EPS was $0.19 higher than the prior year, driven by operational improvements worth $0.15 and favorable net impact of lower fuel prices and currency worth $0.03. 
Now let's turn to booking trends for 2016. Bookings during this year's wait season was strong, volumes are ahead of last year's historically high level at higher prices. At this point in time, for the remaining 3 quarters of 2016, cumulative fleet wide bookings are well ahead at slightly higher prices. The fact that we're well ahead on the book position, with less inventory left to sell for the remainder of the year compared to last year bodes well for pricing over the next few months. 
Now let's drill down into the cumulative fleet wide book position. First, for our North American brand. Caribbean occupancy is well ahead of the prior year at nicely higher prices. For Alaska, occupancy is in line with the prior year, also at nicely higher prices. 2015 was a great Alaskan season and I'm happy to say 2016 is shaping up to be even better. For the seasonal European program, occupancy is nicely ahead of the prior year at lower prices, driven by the geopolitical risk impacting the Mediterranean trade as anticipated in our guidance. 
Secondly, for our EAA brands, for Europe, occupancy is ahead of the prior year at slightly higher prices. Australia and Asia are consistent with our prior guidance. While we are behind on pricing, and not surprisingly behind on percentage occupancy, given our over 60% increase in China capacity and our significant increase in Australia capacity, remember, Asia and particularly China, is a unit growth opportunity and we are achieving strong unit profits and returns that exceed our corporate average. 
Finally, I want to provide you with an update on our full year 2016 guidance. As Arnold indicated, our first quarter results, combined with strong book position, enabled us to increase the midpoint of our previous guidance range by $0.05 and raised the floor on our earnings expectations for the year. Our 2016 March guidance is now $3.20 to $3.40. The $0.05 improvement was driven by improved [indiscernible] revenue yields worth $0.04 and the accretive impact from the additional shares we repurchased [indiscernible] our December call worth $0.05. These improvements were partially offset by a $0.04 drag from fuel and currency. 
Net cruise costs without fuel per ALBD are still expected to be up approximately 2%, no change from our December guidance. While we were favorable to the guidance for the first quarter, as I previously indicated, the favorability was due to the timing of expenses between the quarter. 
Remember that while the year is expected to be up approximately 2%, there are differences between the quarters. The first quarter was up about 1.5% while the guidance for the second quarter is expected to be up only 0.5% to 1.5%. However, for the first quarter, we expect net cruise costs without fuel per ALBD to be up 5% to 6%, driven by the remastering of Queen Mary 2 in dry dock and higher advertising expense. Offsetting that, however is the expectation that cost will be down slightly in the fourth quarter. 
So far this fiscal year, we have repurchased over 21 million of our shares and we still have almost $700 million left under the second $1 billion share repurchase authorization that was approved by the Board of Directors just 2 months ago. Our March guidance EPS calculation assumes approximately 760 million shares outstanding on a weighted average basis. 
On a final note, for your planning purposes, I wanted to let you know that we expect our June conference call to be a little later in June than usual to allow some extra time for quarter end reconciliation and analysis, given that we are currently in the process of implementing a significant upgrade to our Oracle Enterprise Recording Platform, which includes moving to a single instance of the general ledger as we further leverage our scale. 
And now I'll turn the call back over to Arnold."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","Thank you, David. Operator, please open it up for questions.",10,"Thank you, David. Operator, please open it up for questions."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Operator","[Operator Instructions] Our first question comes from the line of Steven Kent with Goldman Sachs.",15,"[Operator Instructions] Our first question comes from the line of Steven Kent with Goldman Sachs."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Analysts","A couple of questions. One, first, can you just -- I think it was David, you just made some comments on China and I wanted to understand them. Are you saying that pricing is still higher in China than the rest of the world? You are adding capacity in Chin",166,"A couple of questions. One, first, can you just -- I think it was David, you just made some comments on China and I wanted to understand them. Are you saying that pricing is still higher in China than the rest of the world? You are adding capacity in China and that this is a unit growth story. I wanted to understand those 2 things. So to me, it sounds like almost you're simply adding more capacity at a higher price relative to the rest of the fleet but that the pricing maybe is not as high as it was maybe last year, is that what you're saying? And then one other thing on this China opportunity, which I think is outside the [indiscernible] because it's really is a huge opportunity and is a big pricing opportunity too is how were the travel agents doing in that market? Is there anything we can read from them and their reaction to the capacity that is coming on?"
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","I'll answer that, this is Arnold. First of all, good morning and thanks for your questions. I'll answer the travel agent or what we call the, distributors in China question first. We don't have direct line of sight into their profitability. But what I can",126,"I'll answer that, this is Arnold. First of all, good morning and thanks for your questions. I'll answer the travel agent or what we call the, distributors in China question first. We don't have direct line of sight into their profitability. But what I can tell you is that our relationships are strong. They continue to book with us. Our actual occupancies on sailings are the same and we're seeing great results and we see no easing of interest or demand or anything from the distributors and the best line of sight we have since that the relationship is working for us and for them and it's definitely working for us. You had a question, I'll let David answer directly what you asked of him."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","Yes, Steve. The yields are higher than the group average on the ticket prices. But that's not really our key metric. I mean, operating income per ALBD is really the key metric. And there are too, the yields are higher. So that is what we're looking at as",108,"Yes, Steve. The yields are higher than the group average on the ticket prices. But that's not really our key metric. I mean, operating income per ALBD is really the key metric. And there are too, the yields are higher. So that is what we're looking at as a metric in terms of overall for China. But one other thing I will add, keep in mind is since last -- mid last year, the renminbi has also devalued by 7%. So when you're looking at an apples-to-apples comparison on a current dollar basis, that does affect the overall ticket yields and the overall yields for our China business."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","I think, David, the main point is, China is a very positive story for us. It's strong, it's a contributor. It only represents 5% of our capacity today. So we are well-positioned from that regard as well. But it's definitely a nice add and we certainly hav",55,"I think, David, the main point is, China is a very positive story for us. It's strong, it's a contributor. It only represents 5% of our capacity today. So we are well-positioned from that regard as well. But it's definitely a nice add and we certainly have benefited from it and we see continued strength."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Executives","And let's not forget the benefit that we see in the rest of the world as a result of the growth in China and the more measured capacity growth in the established markets, which is 95% of our business.",40,"And let's not forget the benefit that we see in the rest of the world as a result of the growth in China and the more measured capacity growth in the established markets, which is 95% of our business."
258823,328990272,956571,"Carnival Corporation, Q1 2016 Earnings Call, Mar 30, 2016",2016-03-30,"Earnings Calls","Carnival Corporation & plc","Operator","Our next question comes from the line of Robin Farley with UBS.",12,"Our next question comes from the line of Robin Farley with UBS."
