"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Operator","Good morning, everyone, and welcome to the Citizens Financial Group Fourth Quarter and Full Year 2015 Earnings Conference Call. My name is a Brad, and I'll be your operator today. [Operator Instructions] As a reminder, this event is being recorded. Now I'",57,"Good morning, everyone, and welcome to the Citizens Financial Group Fourth Quarter and Full Year 2015 Earnings Conference Call. My name is a Brad, and I'll be your operator today. [Operator Instructions] As a reminder, this event is being recorded. Now I'll turn the call over to Ellen Taylor, Head of Investor Relations. Ellen, you may begin."
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Thanks, Brad, and good morning, everybody. Thanks so much for being with us today. We're going to start this morning off with our Chairman and CEO, Bruce Van Saun; and our CFO, Eric Aboaf reviewing our fourth quarter and full year results and then we're a",216,"Thanks, Brad, and good morning, everybody. Thanks so much for being with us today. We're going to start this morning off with our Chairman and CEO, Bruce Van Saun; and our CFO, Eric Aboaf reviewing our fourth quarter and full year results and then we're are going to open the call up for questions. 
With us today are also Brad Conner, our Head of Consumer Banking; and Don McCree, our Head of Commercial Banking. 
I'd like to remind you all that in addition to the press release, we've also provided a presentation and financial supplement and you can find all those materials on our investor.citizensbank.com. And of course, I need to remind you that during the call, we may make some forward-looking statements, which are subject to risks and uncertainties. And the factors that may cause our actual results to differ materially from our expectations are detailed in our SEC filings, including the Form 8-K filed -- containing our earnings release and quarterly supplement. Additionally, any information about any non-GAAP financial measures, including reconciliation of those measures to GAAP measures may be found at our SEC filings, in the earnings release and in the quarterly supplements that are available on our website. With that, I'm going to hand it over to our CEO, Bruce Van Saun."
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Well, thanks, and good morning, everyone. Appreciate you dialing in. 2015 was a year of significant progress for Citizens. We completed our separation from RBS, becoming fully independent in late October. Our financial progress was in line with our expect",401,"Well, thanks, and good morning, everyone. Appreciate you dialing in. 2015 was a year of significant progress for Citizens. We completed our separation from RBS, becoming fully independent in late October. Our financial progress was in line with our expectations and guidance, in spite of a lower rate environment than anticipated. We achieved good loan deposit growth. We delivered positive operating leverage as savings from our efficiency initiatives kept expenses flat, notwithstanding significant investments in growth areas and in technology. We made strides in improving our product offerings and service quality and customer satisfactions trending upwards. 
We hired some great talent, including Eric and Don, right here with me, and we had some great new initiatives on the colleague fund like leadership development and career mapping.
Our risk management the properties continue to strengthen. We had a good result on CCAR and we're working hard to achieve the regulators tighten standards. And we continue to deliver enhanced technology capabilities, including a new backup data center, a new mortgage platform and expanded online and mobile capabilities. 
So all in all, solid performance on all dimensions, tracking well against our turnaround plan. We ended the year with a good fourth quarter and we feel good about our trajectory as we head into 2016. 
In Q4, we achieved good loan growth, as well as good NII and fee growth. We had expected to do even better, but the leverage credit markets became challenged during Q4, disrupting some of our capital markets pipeline. Hopefully that market will come back later in Q1. 
Expenses increased modestly, given technology-related spend and $6 million of cost largely associated with our growth and efficiency initiatives. Additionally, our credit provision grew by $15 million versus Q3 due to a Earlier, this year, we had seen back book improvements offset our reserve bill types of loan growth, but the back book is now so clean that we don't expect to see much of that continue. 
The balance sheet remains robust with excellent capital, liquidity and funding position, and strong ratios and metrics. 
For the full year, highlights include 13% adjusted EPS growth, positive operating leverage of 3%, 8% average loan growth and tangible book value per share growth of 5%. All of which I might add compared very favorably with peers. So now, I'd like to turn it over to Eric to give a little more color on the financials. Eric?"
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Thanks, Bruce, and good morning, everyone. Since Bruce said some of the highlights, let me direct you to a few pages in our slide deck for some color on Q4. On Slide 6, on an adjusted basis, we grew EPS by 5% in the quarter and 8% from the fourth quarte",732,"Thanks, Bruce, and good morning, everyone. Since Bruce said some of the highlights, let me direct you to a few pages in our slide deck for some color on Q4. 
On Slide 6, on an adjusted basis, we grew EPS by 5% in the quarter and 8% from the fourth quarter 2014. This included good operating leverage with revenues up 4% and expenses up at 2%. We improved the efficiency ratio, a 135 basis points year-over-year. 
On Slide 9, you could see our NIM with up 1 basis point in the quarter. We've done good job on growing our loan yields by adjusting our mix and being disciplined on pricing. We were also want to bring interest during deposit cost down by a 1 basis point this quarter. This is a real progress that we sharpen our offerings and pricing strategies. We did move the basis point given higher cash balances, tied to some of the long-term funding we raised in the quarter and the effects of those borrowing costs. 
Now on Slide 10. Noninterest income was up $9 million in the quarter with momentum in both consumer and commercial service charges and fees, driven by progress in our treasury solutions initiatives and some seasonality. Capital markets fees were lower-than-expected given the fixed income market disruption during the quarter. Securities gains picked up a bit to offset this, along with lower other income.  Recall that the third quarter included an $8 million brand sale gain. 
Now on Slide 11. As expected, our adjusted expenses were uplink in the quarter given an increase in technology expense. This was driven by the impact of our new backup data center coming on line along with the implementation of various technology and operation initiatives to improve offerings and drive future revenue growth. Outside of this growth, we held salaries and benefits cost flat. 
We achieved good loan growth in both consumer and commercial during the fourth quarter, which you can see on Pages 13 and 14. In consumer, growth was paid by continued expansion in mortgage and we also grew other retail categories, which includes our unsecured iPhone finance products, which generated $220 million in balances by year end. We continued to do a nice job of repointing our growth to higher return categories and the yield in consumer expanded accordingly 4 basis points in the quarter. 
We also saw nice growth in commercial while we grew commercial real estate loan as client dealership added earlier in the year after line. We also continued to execute well to corporate, franchise finance and corporate finance, which helped to mitigate some of the reductions in middle markets as borrowers continued to reduce line utilization. 
And in our balance sheet measures for the next couple of pages, we had a stronger-than-projected results, which you can see. 
Next, I'd like to take you to Slide 18. Here we show how Citizens' performed against guidance we gave back in January of 2015. Overall, the results were largely in line. Balance sheet growth targets were achieved. And while revenue growth was a bit lower-than-expected, largely due to tax income compression, we were able to offset that with additional efforts on expenses and favorable credits. 
On Slide 19, we show our progress against our strategic initiatives. Most of this is tracking well. But let me call out few other challenges and tell you where we're doing about them. In mortgage, our new head, Chris has a clear plan focus on regaining operational excellence following our introduction of a new origination platforms in Q4 last year. This further slowdown in our throughput and impacted net recruiting. We believe execution of this plan will position us for a stronger 2016 in hiring, retention and productivity. 
In Wealth, under the new leadership of John, we had a strong rebound in recruiting this quarter higher momentum as we enter 2016. We will continue to migrate for some more fee-based model. And in Asset Finance, we are positioned -- we are repositioning with the cross-sell product to our corporate customers in the wake of the loss of the RBS customer referrals. We saw some good progress in Q4. 
So all in all, we posted solid results again this quarter and for the year and continue to make good progress against our strategic initiatives, efficiency efforts and balance sheet repositioning. We are positioned well 2016. Back to you Bruce."
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Thanks, Eric. I'd like to elevate a little starting up Slide 20 to focus on our goals in turning around Citizens. We aspired to be a top-performing bank that delivers well to it's our stakeholders with serving customers well at the heart of our culture.",297,"Thanks, Eric. I'd like to elevate a little starting up Slide 20 to focus on our goals in turning around Citizens. We aspired to be a top-performing bank that delivers well to it's our stakeholders with serving customers well at the heart of our culture. 
On Slide 21, we showed some of the objectives we have within our plan. We made good progress in 2015, pretty much across the board, but there is still more to do. work in-progress. 
On Slide 22, you can see the financial targets that we laid out and the steady progress we are making in improving our results. So with that, as a backdrop, let's shift to our outlook on 2016, Slide 23. The markets are off to a rough start so far, but our planning assumption is still for steady U.S. GDP growth, solid loan demands and say, 1 to 2 more rate hikes coming in July and possibly December. 
To deliver strong performance, we have a few key objectives. We need to sustain robust loan growth and we need to keep NIM stable to trending up on an underlying basis. Rate hikes if they come will deliver additional benefit. We need to drive our fee initiatives and we need to deliver better fee growth. And we will need to keep finding ways to constrain expense growth given our plans and necessary investments in growth initiatives. If we do that well, we will again deliver meaningful positive operating leverage that will cover a normalization of provision and it will drive good growth in earnings. And of course, we want to continue to work down our capital surplus through loan growth, a higher dividend and share repurchases. So let's move on now to Slide 25 and our guidance. Eric, back to you."
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Here you can see fairly detailed ranges laid out for all key balance sheet and income statement growth measure. A few key items I call out. Loan growth up 6% to 8%. NII growth up 7% to 10% with NIM improvement of 6 to 12 bps. The forward curve assumes rat",367,"Here you can see fairly detailed ranges laid out for all key balance sheet and income statement growth measure. A few key items I call out. Loan growth up 6% to 8%. NII growth up 7% to 10% with NIM improvement of 6 to 12 bps. The forward curve assumes rate hikes in July and December, which would help us get to the higher end of this range if they occur. 
Fee growth of 5% to 7%. Expense growth of 2.5% to 3.5% as our efficiency initiatives provided a greater investment spending in 2015 and they will in 2016. Provision normalization $375 million to $425 million range and CET1 ratio of 11.2% to 11.5%. 
As an overall comment, we expect that we could achieve a better level of revenue growth in 2016 than 2015 due to better performance on NIM and on fees. This will cover slightly higher expense growth and a modest bump from 4Q provisioning levels. We've laid out some useful details behind this growth rates on Slides 38 to 40 in the appendix 2. Please take a look at your leisure. 
On Slide 39, for example, we detailed the impact to NII of the December 2015 rate hike, which is worth $40 million to $50 million and the potential impact of 2 more in 2016 per the forward curve that we use at the time when we concluded our plan, which would be worth $30 million to $40 million. The bulk of its additional benefit is from the July 2016 hike as there is minimal impact from the December '16 hike in the forthcoming year. If we don't get in hike, we'll have pull harder on another NII levers and review expenses to find offsets. 
Also note that the current dividends on the stock decreases NII by $70 million and cost us $0.02 a share. We should also highlight that on Slide 41, there is an accounting change for reward that we make prospectively in 2016, which you will need to factor into your model. 
Our outlook for Q1 is shown on Slide 26, fairly straightforward overall becomes typical seasonal impact to consider. So let me turn it back to Bruce to wrap up."
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Okay. Thanks, Eric. So good plan to improve its performance. We're building things the right way to be sustainable for the long-term, while being mindful of our need to show improvement in our financials in the near term. We considered 2015 to have been s",77,"Okay. Thanks, Eric. So good plan to improve its performance. We're building things the right way to be sustainable for the long-term, while being mindful of our need to show improvement in our financials in the near term. We considered 2015 to have been successful year on all fronts. And we'll continue to stay focused on execution in 2016 in order to deliver another successful year. So with that, let's open it up for some questions. Brad?"
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Operator","[Operator Instructions] And we'll go to line of Ken Zerbe with Morgan Stanley.",13,"[Operator Instructions] And we'll go to line of Ken Zerbe with Morgan Stanley."
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Analysts","Just starting off because the energy is such an important topic. I know you energy portfolio is very small, but can you comment on any potential weakness or anything that you have seen in that portfolio or any reserve build that you had last quarter?",45,"Just starting off because the energy is such an important topic. I know you energy portfolio is very small, but can you comment on any potential weakness or anything that you have seen in that portfolio or any reserve build that you had last quarter?"
46051729,318467783,920321,"Citizens Financial Group, Inc., Q4 2015 Earnings Call, Jan 22, 2016",2016-01-22,"Earnings Calls","Citizens Financial Group, Inc.","Executives","Yes, I'd say that portfolios that would be most impacted by change in price levels would be 2, pay the reserve base lending portfolio and oil field services portfolio. The combined of outstanding in those portfolios is about $700 million, so it's not very",107,"Yes, I'd say that portfolios that would be most impacted by change in price levels would be 2, pay the reserve base lending portfolio and oil field services portfolio. The combined of outstanding in those portfolios is about $700 million, so it's not very big book, it's over $100 billion. And I'd say, we had relatively good diversification, so there is good granularity in terms of size of those credits and there is a little bit of a migration going into classified, but it's nothing that we're seeing increase in NPA, so it's anything that we have to really boost our reserve levels meaningfully at this point."
