"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Operator","Good day, and welcome to the Crown Castle International Q4 2015 Earnings Conference Call. Today's conference is being recorded. At this time, I'd like to turn the conference over to Son Nguyen, VP, Finance and IR. Please go ahead, sir.",40,"Good day, and welcome to the Crown Castle International Q4 2015 Earnings Conference Call. Today's conference is being recorded. At this time, I'd like to turn the conference over to Son Nguyen, VP, Finance and IR. Please go ahead, sir."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Executives","Thank you, Matt, and good morning, everyone. Thank you for joining us today as we review our fourth quarter and full year 2015 results. With me on the call this morning are Ben Moreland, Crown Castle's Chief Executive Officer; and Jay Brown, Crown Castle'",188,"Thank you, Matt, and good morning, everyone. Thank you for joining us today as we review our fourth quarter and full year 2015 results. With me on the call this morning are Ben Moreland, Crown Castle's Chief Executive Officer; and Jay Brown, Crown Castle's Chief Financial Officer. To aid the discussion, we have posted supplemental materials in the Investors section of our website at crowncastle.com, which we will refer to throughout the call this morning.
This conference call will contain forward-looking statements which are subject to certain risks, uncertainties and assumptions, and actual results may vary materially from those expected. Information about potential risk factors which could affect our results is available in the press release under Risk Factors sections of the company's SEC filings.
Our statements are made as of January 28, 2016, and we assume no obligations to update any forward-looking statements.
In addition, today's call includes discussions of certain non-GAAP financial measures. Tables reconciling these non-GAAP financial measures are available in the supplemental information package in the Investors section of the company's website at crowncastle.com.
With that, I will turn the call over to Jay."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Executives","Thanks, Son, and good morning, everyone. As you saw from our release yesterday, the fourth quarter was another great quarter, bringing 2015 to a strong close and positioning us to raise our full year 2016 outlook. For the full year 2015, AFFO per share of",1207,"Thanks, Son, and good morning, everyone. As you saw from our release yesterday, the fourth quarter was another great quarter, bringing 2015 to a strong close and positioning us to raise our full year 2016 outlook. For the full year 2015, AFFO per share of $4.30 was up 8% compared to 2014, and our increased midpoint for full year 2016 outlook for AFFO per share of $4.68 represents a 9% increase compared to 2015.
In addition to delivering great results and extending our track record of execution, 2015 was marked by several significant accomplishments. During 2015, we achieved an investment-grade credit rating from each of S&P and Fitch ratings. Also during the year, we redeployed capital from the divestiture of our former Australian subsidiary to further grow and strengthen our leadership position in wireless infrastructure in the U.S., which we believe is the most attractive market for wireless investment.
Today, with our portfolio of approximately 40,000 towers and 16,000 miles of fiber supported small cell deployments. We are able to provide wireless carriers comprehensive solutions across the country as they continue to upgrade and enhance their networks to meet increasing consumer demand for mobile data.
Shifting to the fourth quarter results on Slide 4, site rental revenue grew 9% year-over-year from $723 million to $785 million, an increase of $62 million. The $62 million increase is comprised of $49 million of organic site rental revenue growth, less $17 million in adjustments for straight line accounting associated with contracted fixed rate escalation, plus $30 million in contributions from acquisitions, which primarily consisted of [indiscernible] and other adjustments. The organic site rental revenue growth of $49 [ph]  Million represents growth of 7% year-over-year comprised of approximately 10% growth from new leasing activity and cash escalations, net of approximately 3% in tenant nonrenewals.
Moving to Slide 5. Our fourth quarter results reflect rental gross margin adjusted EBITDA and AFFO exceeded the midpoint of our previously provided fourth quarter 2015 outlook.
Turning to investment activity, as shown on Slide 6. During the fourth quarter, we invested $251 million in capital expenditures, of which $29 million was sustaining capital expenditures and $222 million was discretionary investment. Included in our discretionary investment is approximately $23 million for land purchases. 
Our proactive approach to achieving long-term control of the ground beneath our sites is core to our business as we seek to control our largest operating expense and produce stable and growing cash flow over time. Today, 3/4 of our site rental gross margin generated from towers on land owned or controlled for more than 20 years. Where we have ground leases, the average term remaining on our ground leases is approximately 30 years. Of the remaining discretionary investments, we invested $199 million in revenue-generating capital expenditures consisting of $90 million on existing sites and $109 million on the construction of new sites, primarily small cell construction activity. Small cells continued to perform ahead of expectations and currently generate 12% of total site rental revenue and 11% of total site rental gross margin. Excluding the benefit from our recent acquisition of Sunesys, small cell site rental revenue grew approximately 30% year-over-year. 
Today, our small cell networks consist of approximately 17,000 nodes on air here or under construction supported by 16,000 miles of fiber. Of the 17,000 nodes miles, approximately 12,000 of the nodes are on air with the other approximately 5,000 nodes under construction and expected to be completed over the next 12 to 24 months. 
Continuing on to financing activities, during the quarter, we paid a quarterly common stock dividend of $0.885 per share or $295 million in the aggregate. For the full year 2015, we paid quarterly common stock dividend in aggregate of $3.345 per common share. Additionally, in January, we closed on a $5.5 billion senior unsecured credit facility. Proceeds from the new facility, together with cash on hand, were used to repay our previous senior secured credit facilities as of January 26 [ph], we have $1.6 billion of availability under our 5-year revolver. As a result of the refinancing, our senior unsecured notes were upgraded by S&P to investment grade.
Even more impactful than lowering the cost of debt, we believe that an investment-grade capital structure will ultimately drive down our cost of equity. Equally as important, we believe having access to a deeper pool of capital will result in a more stable, long-term cash flow and increased flexibility to pursue discretionary growth opportunities.
Moving on to the full year 2016 on Slide 7. We have increased our expectations at the midpoint for site rental revenues by $10 million, site rental gross margin by $7 million and adjusted EBITDA by $12 million and AFFO by $11 million. The increase in the outlook reflects the strong results from the fourth quarter, our continuing belief that 2016  leasing activities will be similar to 2015, and the timing benefit related to tenant nonrenewals occurring later than previously expected.
It is important to note that our overall expectations for the number of tenant nonrenewals in aggregate has remained unchanged. For more detailed information regarding our current book of contracted tenant leases, including our expectations for nonrenewals, those are available in our supplemental information package.
At the AFFO per share line, the updated midpoint of our full year 2016 outlook results to 9% growth year-over-year compared to 2015, increasing from $4.30 per share to $4.68 [ph] per share.
Like 2015, 2016 is shaking up to be another great year. We believe the essential elements for long-term shareholder value creation are attractive as they've ever been. We continue to see stable and consists leasing from our carrier customers. We have a run rate of attractive discretionary investment opportunities, primarily in the form of small cell to enhance and grow our business. And we have an opportunity to manage the cost of debt and lower the cost of equity as we transition to an investment-grade balance sheet. All of this gives us confidence in maintaining our long-term goal of delivering AFFO per share and dividend per share growth of 6% to 7% on an annual basis.
Before turning the call over to Ben, I'd like to take this moment to discuss the announced succession plan. I'm honored and excited to have the opportunity to lead the Crown Castle team. I've had the privilege of working with Ben over the last 17 years and he has been a great friend and mentor to me. Over the last 8 years, through Ben's leadership as CEO, we have grown the business significantly, increasing AFFO per share from $1.66 to $4.30 and have successfully doubled the size of our tower portfolio, established ourselves as the leader in small cell and strengthened our balance sheet, positioning us better than ever to capitalize on the to tremendous opportunities that lie ahead. I will benefit greatly in my new role by being surrounded by very talented and experienced executive team that has been instrumental in all of these accomplishments.
Together with the rest of the Crown Castle team, we are looking forward to continuing to execute on our strategy of driving long-term shareholder return through disciplined capital allocation, dividend growth and delivering for our customers. And with that, I'll turn it over to Ben."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Executives","Thanks, Jay, and thanks to all of you for joining us on the call this morning. Extra early. I'll touch on our success plan in a moment, but first I'd like to comment on 2015 results and what lies ahead. In short, we had a great year, exceeding our expecta",1645,"Thanks, Jay, and thanks to all of you for joining us on the call this morning. Extra early. I'll touch on our success plan in a moment, but first I'd like to comment on 2015 results and what lies ahead. In short, we had a great year, exceeding our expectations throughout the year and an executing on strategic actions through, the sale of our Australian and the purchase of the Sunesys fiber assets that really sets us up well to win in the future.
I want to thank my colleagues at Crown Castle for their hard work in delivering on our commitments in 2015. 
Now on to the future. As Jay just mentioned, we believe we have the essential elements from long-term shareholder value creation and they're as attractive as ever. I'd like to spend a few minutes to further elaborate on Jay's comments regarding each of these elements. These include: a continued healthy and sustained leasing environment over the next several years; a long runway of investment opportunities that we expect to drive high-quality long-term growth and all the while maintaining a strong balance sheet and managing risk appropriately to drive down the cost of capital. 
First, on leasing. We believe that we're in the midst of a multiyear wireless investment cycle that will result in a sustained level of leasing activity, similar to what we experienced in 2014 and 2015. And that is what we expect to see in 2016.
For 2016, we're expecting approximately $170 million in new leasing activity. Of which, $150 million -- $115 million will come from tower leasing. The $115 million in tower leasing represents a pace of adding approximately 1 tenant equivalent over a 10-year period on our 40,000 towers or 1/10 of a tenant per year per tower, which is approximately our average pace of annual leasing over the last 7 years. Importantly, through those 7 years, we've been through a number of different macroeconomic cycles and covered several different wireless investment cycles in terms of technology, level of engagement by carrier customers and different environments. Given the underlying long-term perspective of positive fundamentals, from the continued increase in mobile data consumption, we believe that this pace of leasing is a reasonable expectation for our future growth.
Industry research projects mobile data to increase sevenfold between 2014 and 2019, a compounded annual growth rate of 47% while roughly doubling every 2 years. Recently, some of the wireless carriers have recorded mobile data growth even higher in the range 60% to 75% per year growth during 2015. Against this backdrop, we expect the carriers to continue to invest on a consistent basis to maintain and improve network quality, which is a competitive necessity as carriers retain existing customers, attract new customers and monetize their networks through the development of new revenue streams, such as over-the-top video and telematics.
As a shared wireless infrastructure provider, Crown Castle stands ready to assist wireless carriers in this by providing them with quick cost-effective access to wireless infrastructure as they seek to upgrade and enhance their networks.
With our tower portfolio and small cell expertise, we have the unique capability to deliver across all means of shared infrastructure to meet the network needs of our carrier customers. Additionally, the run rate for our growth is further supported by the amount of spectrum that is expected to be deployed over the next several years, including a spectrum from last year's AWS3 auction, the spectrum from this year's anticipated broadcast incentive auction and the spectrum currently held by the carriers and others such as dish and FirstNet. 
Turning to capital allocation. When we evaluate various investment alternatives we have whether it's small cell, share purchases or acquisitions, our goal is to drive long-term growth and AFFO per share and dividend per share. By this measure, we are very excited by a recent and ongoing investment in small cells. To date, our $3 billion investment in small cells generates a yield of approximately 8%, inclusive of our initial $1 billion investment in NextG, the acquisition we did in 2012 with, an initial yield of approximately 3% to 4% and our continued greenfield investments.
We are underwriting new small cell builds with anticipated initial yield of 6% to 8% on the anchor tenant where we believe we have the opportunity to drive yields higher through co-location, with the second tenant expected to achieve low to mid teens yield and the expectation of further yield accretion when we add a third and fourth tenant in overtime.
On this front, in addition to the anchor tenant, we are seeing strong co-location demand on our small cell networks. We have focused our small cell efforts in the top 25 markets and believe that these early systems will be some of the most attractive locations in the future given their franchise value.  
Just like towers, the need for network densification is driving small cell growth. Given the challenges carriers space and bringing more capacity to many urban and suburban geographies, the need to get closer to the subscribers, and focused on resuing spectrum more efficiently, carriers are turning to small cells as a critical tool to improve their networks.
With a very similar business and economic model is our tower business. We see a long runway of attractive investment opportunities in small cells. 
Shifting to the balance sheet and risk profile. We view our dividend as a growing annuity paid to shareholders, while we effectively pass through the cash flow we generate from providing U.S. wireless carriers with access to mission-critical infrastructure. Our goal is to protect and grow the dividend stream over time. 
Our dividend is supported by long-term recurring contracted leases that we have in place, which currently represent approximately $20 billion of future contracted rent payments plus future growth from contracted rent escalators and a continuing wireless investments being made, as I mentioned. From this foundation, we are focused on managing financial and operating risk as we allocate capital and grow the business. 
On the balance sheet side, we believe maintaining an investment grade balance sheet should provide us with access to a deeper and more stable pool of capital, reducing risk to our cash flow and providing us with an increased flexibility to pursue potential investment opportunities, both of which are supportive of the securing growing dividend.  This bank perspective drives our capital allocation decisions as we continue to believe that the U.S. market provides us with the most attractive risk-adjusted return opportunities.
Bottom line, with the sustained level of leasing that we expect to continue over the next several years, the small cell opportunities still ahead of us, the strength of our balance sheet, and the quality of our business, we believe we can continue to deliver 6% to 7% AFFO per share and dividend growth per share. Further, we believe our expected growth rate combined with our current dividend yield of approximately 4.3% represents a very attractive long-term total return profile for shareholders.
Finally, I'd like to speak to our CEO succession plan that we announced last night. I began contemplating this and subsequently engaged the board in this conversation from time to go after on a number of considerations that led me to conclude that 2016 was the right time to begin this transition.
First, as we discussed on this call, the company is incredibly well positioned for this transition, having accomplished a number of strategic objectives that I believe are important to set us up for the next generation of market leadership and value creation. Including on this list would be assemblage of our unrivaled tower portfolio, the sale of our Australian business, the acquisition of Sunesys and leadership in the exciting small cell arena, and the strength in the balance sheet with the achievement of investment-grade rating late last year.
Second, Jay is ready, ready to step up. We worked together for 17 years since the early days of Crown Castle, and he has been an integral part of all we have accomplished. He has the trust and respect of the board, the executive team and the organization as well as the investment community.
I am very fortunate to have him as a successor and have absolute confidence that he is the right leader to lead the organization into this next chapter of success. Most importantly though, Jay will be leading a team of seasoned professionals who are very good at executing for customers across all our assets of towers and small cells. 
Finally, on a personal level, it's been an unbelievable privilege to lead Crown as CEO these last 8 years. I have always found it available from time to time to push myself out of my comfort zone in search of new challenges. Many years ago, I lost my dad to a heart attack when he was only 47. In 2014, my wife has a breast cancer scare before she was caught early has resulted in a full recovery. With our kids out of the house now, our once lives have changed. It is with all these considerations and the reminder that life is short but I sense that it is the right time to initiate this move out of my comfort zone. I look forward to pursuing many new challenges, some personal and some professional.  I also look forward to my continuing investment and involvement in Crown Castle in this capacity, ensuring leadership continuity as Executive Vice Chairman. I am proud of what we've accomplished. And through this succession plan, I'm highly confident this team will continue to reward shareholders, customers and employees for choosing Crown Castle.
Thank you to all of you on this call who has supported me and this management team over the years. I look forward to our continued association. 
With that, operator, we'd be happy to turn the call over for questions."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Operator","[Operator Instructions] And we will take our first question from David Barden with Bank of America.",16,"[Operator Instructions] And we will take our first question from David Barden with Bank of America."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Analysts","I know this is not the last quarter we're going to the chest of but thanks for all that in the contributions and Jay, congrats on the job. I'm looking forward to continue to work with both of you guys. The -- kind of focusing on the business as we kind of",247,"I know this is not the last quarter we're going to the chest of but thanks for all that in the contributions and Jay, congrats on the job. I'm looking forward to continue to work with both of you guys. The -- kind of focusing on the business as we kind of look ahead, I guess I've got a couple of questions. One, just on the obvious, with respect to kind of all the noise coming out of Sprint, with respect to their network architecture. We don't have to talk about Sprint necessarily the correct that that is looking to explore new more ways to build the network and it seems that they're looking to reevaluate their renewal schedule on the tower leases as we go forward. I was wondering if you can kind of talk about what if anything you see ahead for that strategy? And then second, Jay, a year ago, you were sitting here and I think the outlook was for new site leasing activity of maybe 5% and now we're sitting here looking at actually 6%, a better outlook for this year. Over the course of last year, that outlook actually went up by about a percentage point. So kind of what are the factors that you see maybe evolving in 2016 that could do to this year's guidance what happened in the last year's guidance in terms of walking it up the curve of touch over the course of the year?"
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Executives","Sure, Dave. This is Ben. First of all, without addressing Sprint what I'd like to talk about is the fact that 3 of the 4 carriers have reported thus far and I think all of them in various ways have confirmed the need for macro sites being an integral part",448,"Sure, Dave. This is Ben. First of all, without addressing Sprint what I'd like to talk about is the fact that 3 of the 4 carriers have reported thus far and I think all of them in various ways have confirmed the need for macro sites being an integral part of their network now and in the future, and that shouldn't be surprising any of us most of the business. Macro sites, i.e. towers, remains the most attractive and cost effective way to cover a given geography with the spectrum that they own. That said, there are certainly hybrid sites and architectures that we participate in, and many people do, that are going to augment the capacity of the networks going forward and that's the whole small cell underlay approach. And frankly, sites that look at like crosses between macro sites and small cells, dark fiber and that sort of see Cal architecture looks like over time. When you think about our business fundamentally, it's a capital-intensive business. Those with the lowest cost of capital tend to win. And when you introduce on top of that the notion of shared economics, i.e. the carriers only pay for the proportion of the assets that they need, it's an incredibly compelling model and it's one that I think it's going to continue to work as it has for the last 20 years for the investment in the future. So when carriers work on new deployments and new architectures with certain inappropriate due to save cost, we're going to be right there with them at every step of the way. And I can say that we're working with all 4 carriers in that regard to utilize our cost of capital and sharing model to be an integral part of their solution going forward. And so, I think it's been helpful for the last couple of weeks at 3 of the 4 carriers have confirmed that macro tower sites are an integral part of their model going forward. It's not surprising to us but I think this hybrid type network going forward is going to be very important and we're incredibly well positioned with assets and capability to take advantage of that. But when you hear us talk about cost of capital, it's not simply just to lower the cost on the balance sheet of our interest expense. It is very much to be the most competitive company out there that can deploy capital assets on behalf of these carriers and be very efficient for them. And that is something we're spending a lot of time on as an executive team and very comfortable with what you've seen in front of us."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Executives","On the second question, last year, the 2015, we increased guidance over the course of the year, about half of that was driven from an increase in leasing activity and about half of that was driven from lower nonrenewals that what we have expected go into",198,"On the second question, last year, the 2015, we increased guidance over the course of the year, about half of that was driven from an increase in leasing activity and about half of that was driven from lower nonrenewals that what we have expected go into the year. So if you look at our guidance for 2016, we held that elevated level of leasing activities throughout the full year, full calendar year 2016 such that leasing activity we think this year will match that 2015. As for potential upside there, I'd point to the fact that typically in the business, we have about 6 to 8 months of visibility from the time we have an application from a carrier to the time it's actually revenue-producing. So we have a really good idea as to where our new tenant leasing is going to be for at least the first half of the year and maybe a bit into the third quarter. To the extent that there was an additional leasing activity over the course of the year, that's more likely to impact our run rates going into 2017 that it is to be that meaningful to results in 2016."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Operator","We go next to Richard Prentiss with Raymond James.",9,"We go next to Richard Prentiss with Raymond James."
27198,321591835,922142,"Crown Castle International Corp. (REIT), Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Crown Castle Inc.","Analysts","For first, congrats to Jay and Ben, it's been a great ride, launch our space for us and looking back at my notes, Crown is up 4 x since 17 years ago. So congrats to both of you guys. First question I've got is if a carrier does decide not to renew their l",71,"For first, congrats to Jay and Ben, it's been a great ride, launch our space for us and looking back at my notes, Crown is up 4 x since 17 years ago. So congrats to both of you guys. First question I've got is if a carrier does decide not to renew their lease, what triggers there? And do they have to remove the equipment? And how much does that cost?"
