"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Operator","Good day, everyone, and welcome to the Duke Energy Year-end 2015 Earnings Conference Call. Today's call is being recorded. At this time, I would like to turn the conference over to Bill Currens. Please go ahead.",36,"Good day, everyone, and welcome to the Duke Energy Year-end 2015 Earnings Conference Call. Today's call is being recorded. At this time, I would like to turn the conference over to Bill Currens. Please go ahead."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Executives","Thank you, April. Good morning, everyone, and welcome to Duke's Fourth Quarter and Full Year 2015 Earnings Review and Business Update. Leading our call is Lynn Good, Chairman, President and CEO; along with Steve Young, Executive Vice President and Chief",199,"Thank you, April. 
Good morning, everyone, and welcome to Duke's Fourth Quarter and Full Year 2015 Earnings Review and Business Update. Leading our call is Lynn Good, Chairman, President and CEO; along with Steve Young, Executive Vice President and Chief Financial Officer. 
Today's discussion will include forward-looking information and the use of non-GAAP financial measures. Slide 2 presents the safe harbor statement, which accompanies our presentation materials. A reconciliation of non-GAAP financial measures can be found on duke-energy.com and in today's materials. Please note that the appendix to today's presentation include supplemental information and additional disclosures. 
Before turning the call over to Lynn, I would like to give you an update on staffing for the Duke Energy IR team. After over 2 years with the team, Charlie Taft will be shortly assuming new responsibilities within the Duke Energy organization. Therefore, this will be his last earnings call. I am very excited for Charlie as this is a fantastic career move for him. Many of you have worked closely with him over the past few years, and I hope you will join me in congratulating him on this fantastic move.
With that, I will turn the call over to Lynn."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Executives","Good morning, everyone, and thank you for joining us today. Today, we reported 2015 adjusted earnings of $4.54 per share, in line with the year ago. I'm pleased with a solid performance and operational execution of our core regulated businesses despite re",1151,"Good morning, everyone, and thank you for joining us today. Today, we reported 2015 adjusted earnings of $4.54 per share, in line with the year ago. I'm pleased with a solid performance and operational execution of our core regulated businesses despite record mild December weather. These results largely offset challenges throughout the year in our international operations. As a sign of confidence of the future, our board last year doubled the growth rate of the dividend, a key component of our investor value proposition. 
During today's call, we have several objectives. First, I will highlight how we are strategically repositioning the business portfolio and investing for the long term. Then I will discuss our 2015 operational highlights, including our industry-leading safety and environmental performance. Steve will provide a financial update with our outlook for 2016 and beyond.
Turning to Slide 4, I'll begin with a broader discussion of our strategy, which provides an important context for the 5-year financial plan that Steve will cover. Our industry is undergoing transformation with new technologies, evolving customer expectations, increasingly impactful public policies and abundant low cost natural gas. These factors will have a profound impact in our business in the years ahead and are informing our strategic investments. 
We are focusing our long-term strategy on our core domestic regulated businesses and our highly contracted renewables portfolio. We will invest and increasing amount in the electric grid to strengthen reliability and resilience and enable new customer solutions. To advance reliable cost-effective power in a lower-carbon future, we will invest in natural gas generation and infrastructure as well as build on our rapid expansion and renewable technologies. We will also invest to maintain our valuable nuclear and clean coal assets. 
We entered this period of industry transformation with a strong regulated business and with demonstrated strengths in operational excellence, sustainable cost management and regulatory execution. These capabilities will continue to underpin our success in the years ahead. 
An important part of the strategic focus is our decision outlined on Slide 5 to engage advisers and pursue an orderly exit of our Latin American generation business. It is an important part of the Duke Energy portfolio over many years, providing both earnings and cash flows. However, the returns over the last 2 years are inconsistent with our commitment to investors to provide predictable, stable earnings and cash flows. We believe there will be demand for this international portfolio at a reasonable valuation. Because we are early in the process, it is premature to establish a specific time line for a potential transaction. The proceeds will be used to strengthen our balance sheet and help fund the growth in our core businesses. We expect that a sale will be dilutive. Nonetheless, the strategic exit significantly improves our risk profile and enhances our ability to generate more consistent earnings and cash flows over time.
On Slide 6, I will update on our pending acquisition of Piedmont Natural Gas. This investment is also an important element of our focus on natural gas infrastructure and customer solutions. Piedmont is a regulated natural gas and local distribution company in the Carolinas and Tennessee. It operates gas infrastructure that supports our gas-fired generation in the Carolinas and provides valuable natural gas solutions to customers.
We are obtaining a high-quality asset with an excellent management team, exceptional customer service and strong rate base growth prospects. Piedmont's highly regulated gas businesses and constructive regulatory jurisdictions fit well with our strategic direction. We expect that the transaction will be accretive in 2017 with the level of accretion growing over time through our incremental capital investments and integration of Piedmont operations. We've made good progress in obtaining the required approvals. The Federal Trade Commission has created early termination of Hart-Stock-Rodino waiting period, and Piedmont's shareholders have approved the transaction. We are awaiting approvals from the North Carolina and Tennessee Utilities Commissions. We are still targeting to close the transaction by the end of this year. And in the meantime, integration efforts are well underway, so we are ready to hit the ground running immediately after the close.
As outlined on Slide 7, you can see the series of strategic transactions that we have made since 2012 to realign our business portfolio to drive more stable earnings and cash flows. The exit of international and acquisition of Piedmont will complete the transition.  This repositioning provides an outstanding foundation for growth and investment for the remainder of this decade and beyond.
Before I turn the call over to Steve, let me highlight on Slide 8 several important operational achievements and our progress advancing our strategic investments during 2015.  I'm proud of the 28,000 Duke Energy employees who are here day in and day out for our customers. Our customers count on us to provide safe, reliable, environmentally responsible energy every day. We completed 2015 with an industry-leading safety record, significantly reducing OSHA reportable incidents and our total incident case rate. Our work is never complete on this front, but I'm pleased with the focus and alignment throughout the organization on safe event-free operations.
We also significantly reduced the number of reportable environmental events in 2015. We have taken what we learned from the River spill in early 2014 and applied it throughout our organization to strengthen operational discipline and results. We have also built world-class capabilities to accelerate the safe closure of our ash basins and are on track to continue advancing this important work in 2016.  Likewise, our Edwardsport IGCC facility in Indiana continues to improve its operational performance, delivering a third consecutive year of improved output and gasifier availability.
We also made great progress on a number of our strategic growth initiatives during the year. As we mentioned and consistent with our strategy, we are modernizing the electric grid and modernizing the generation portfolio including investing in natural gas and solar. During 2015, we completed the North Carolina Eastern Municipal Power Agency asset acquisition, which strengthens our generation portfolio in the Carolinas. We also announced plans for the Western Carolinas modernization project, which adds new natural gas and solar generation. We made updated filings for grid modernization in Indiana and continued to advance utilities-scale solar investments in the Carolinas and Florida. 
In our commercial portfolio, we continued to grow our renewables business throughout the U.S. In fact, we installed around 600 megawatts of new wind and solar assets in 2015, surpassing our original objective. Our natural gas pipeline investments will supply our customers with low-cost fuel and provide supplier diversity while delivering great returns for investors. This stable pipeline received FERC approval earlier this month, while the Atlantic Coast Pipeline made its formal FERC filing last year. 
In closing, strategic investments that provide value to customers, underpinned by excellent operations will deliver a stable and predictable growth in earnings and dividends for our shareholders for years to come.
Now let me turn the call over to Steve."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Executives","Thanks, Lynn. Today, my comments will focus briefly on 2015, and I will spend the majority of the discussion on 2016 guidance and our long-term growth prospects in our core businesses. We have extended our long-term earnings growth objective from 3 year",2039,"Thanks, Lynn. 
Today, my comments will focus briefly on 2015, and I will spend the majority of the discussion on 2016 guidance and our long-term growth prospects in our core businesses. We have extended our long-term earnings growth objective from 3 years to 5 years through 2020 to better align with our capital forecast, our expected rate case activities and the completion of our portfolio transition.
I'll begin on Slide 9. In 2015, we delivered adjusted diluted earnings of $4.54 per share, slightly below our full year guidance range. Our fourth quarter results were impacted by very mild weather. In fact, weather in the month of December impacted our results by $0.12 as temperatures in the Carolinas averaged around 10 degrees above normal. For the full year, strength in our core businesses, our Regulated Utilities and our commercial portfolio of renewables and gas infrastructure, as well as early execution on a number of strategic initiatives helped us offset weakness in our International business. Our core businesses delivered $4.15 per share on a weather-normal basis, representing an average annual 5.5% growth rate from our base year of 2013. And our International business delivered $0.33 per share.  For more detailed information on our financial performance in 2015, please refer to the supporting materials that accompanied today's press release. 
Our 2016 adjusted earnings guidance range, which we are introducing today, is $4.50 to $4.70 per share. The midpoint of this range assumes a contribution of $4.30 per share from the core businesses, which represent 4% growth over 2015. The midpoint also assumes $0.30 from international, which is down slightly from 2015.
Let me walk you through the key drivers in our businesses from 2015 to 2016. Within the Regulated Utilities, year-over-year weather-normal growth would be primarily driven by the deployment of almost $5 billion in growth capital, retail load growth of 0.5%, the full year impact of our recent acquisition of the NCEMPA assets as well as lower O&M costs. Lower O&M reflects our confidence in continuing to drive costs out of our business. I will review this further in a moment.
Within our commercial portfolio, we plan to invest $1.5 billion in renewables in our pipeline joint ventures. Additionally, we will realize a full year of benefit from the prior year accelerated stock repurchase. 
These growth drivers are partially offset by a regulatory lag in certain jurisdictions as we will not have any significant base rate increases in 2016. The loss of earnings from the Midwest Generation business, which was sold in 2015, will also be a partial offset. 
At international, we expect 2016 earnings of $0.30 per share. In Brazil, reservoir levels have improved during the rainy season, which runs through April. As a result, we are assuming a return to normal dispatch of the hydro generation in Brazil after the rainy season, lowering our purchased power costs. This improvement in the Brazilian hydro operations is expected to be offset by the declining Brazilian exchange rates and low Brent crude oil prices, which impact National Methanol's level of profitability.
Let's shift to discuss the components of our long-term growth. With the pending exit of international, we believe the appropriate focus for a long-term growth discussion should be centered around our core businesses. Through 2020, our core businesses are well situated to grow within 4% to 6%, off of their 2016 base of $4.30 per share.
On Slide 10, we have developed the base plan that will deliver 4% to 5% growth. We have also defined incremental growth opportunities that, if achieved, will deliver toward the higher end of the range or 5% to 6% growth. Our base plan is largely driven by the deployment of between $22 billion and $25 billion of growth capital in our Regulated Utilities and between $3 billion to $5 billion in commercial renewables in our gas pipeline investments. This base plan also assumes weather-normalized retail load growth of 1.5% per year from 2016 to 2020, consistent with the past several years. As a reminder, every 50 basis point improvement in retail load growth provides about 1% earnings per share growth. In order to accommodate modest organic retail sales growth, we are targeting flat O&M cost through 2020. And as you know, our track record in O&M cost management has been very good.
To achieve the high end of our long-term growth rate or 5% to 6%, there are incremental growth opportunities that provide upside potential. They include retail load growth higher than our base plan assumption of 1.5%, supported by strengthening economic conditions in our service territories. More on that in a moment. 
The acquisition of Piedmont Natural Gas, which is expected to be accretive to earnings per share, is additive to our growth rate as we move forward. Other growth opportunities exist in our wholesale business in the form of new contracts. In addition, we also have opportunities to deploy more discretionary growth capital than what we have assumed in our base plan. These investment opportunities include additional commercial and regulated renewables, further modernization of the generation fleet and additional gas infrastructure investments.
Turning now to Slide 11, I'll discuss in more detail our regulated investments over the next 5 years. The combination of these investments supports the growth rate in our regulated earnings base of approximately 5% from 2016 to 2020.
Our capital deployment is directed to the strategic priorities that Lynn discussed: customer-focused grid investments, new gas and renewable generation investments and natural gas infrastructure as demand for gas increases.  We expect to invest nearly $8 billion expanding our regulated electric grid infrastructure including improvements in technology. These investments will enable us to improve the reliability of the grid, reduce outages and restore service faster and provide real-time information to our customers. We also plan to invest around $8 billion in new generation including natural gas and renewable assets, as we continue to build an energy system for the future and reduce emissions even further, while maintaining the service reliability our customers expect.  
Finally, we expect investments of $3 billion for environmental compliance. This amount covers steam requirements and cost to close the initial high priority coal ash basins in the Carolinas.
Our earnings growth from 2016 to 2020 is strong, but not linear due to the timing of capital deployment and subsequent rate recovery. We see earnings growth accelerating in the 2018 to '20 time frame due to several factors. First, grid and customer investments in Ohio and Indiana build over time and a recovery through rate riders later in the 5-year period. Second, our investments in new generation in Florida and the Carolinas as well as our gas pipeline infrastructures projects will begin to accelerate in 2018 through 2020. Third, we will be filing a number of rate cases in this time period across many of our utilities in order to recover our capital investments. We expect to file a rate case in Duke Energy Ohio in 2016 and Duke Energy Kentucky in 2017. We also expect cases in the Carolinas in the back half of the 5-year plan. We continue to fine-tune specific timing based on our capital spending projects such as the lead combined cycle, the Western Carolinas modernization project and coal ash basin remediation.  We have further details of our capital spend and recovery mechanisms by category of investment in our appendix materials.
Moving ahead to Slide 12, I'll discuss some trends we are monitoring related to our retail load. We are planning for modest growth of 1.5% over the next 5 years. However, there are a few developing trends that give us optimism for some upside over the coming years. The labor market continues to strengthen with unemployment in median household incomes improving. Jobs are being created in our service territories as the Carolinas and Florida were among the top 10 in job growth in 2015. We continue to forecast strong growth in the number of customers, particularly in the Carolinas and Florida. Additionally, usage per customer, which declined during 2013 and 2014, has been essentially flat for the past 3 consecutive quarters.  Certain sectors of the industrial class such as construction and automotive remain strong, while the strengthening U.S. dollar has challenged other sectors such as the steel industry. The strength of our service territories is also supported by robust economic development activities attracting new businesses and shops. In 2015, these activities led to the announcement of $3.5 billion in capital investments and over 12,000 new jobs in our 6-state service area.
As we are planning for a period of sustained modest load growth, it is important that we efficiently manage our cost structure. As outlined on Slide 13, we've been successful holding costs down in the past and are targeting to keep our nonfuel O&M costs flat through 2020. 
The Progress Energy merger and integration initiatives focused heavily on the consolidation and optimization of our corporate centers. We made significant investments integrating our IT, HR and financial systems to common platforms. We are now rolling out similar initiatives to the operational parts of the organization in order to achieve our target of flat O&M through 2020.
Slide 14 shows our high level 2016 cash flows and financing plan. As I mentioned in my opening, our strong balance sheet and credit quality are foundational to our overall financial objectives. Our focus on the core businesses creates a better risk profile with more predictable and stable earnings and cash flows. We design our financing plans and target credit metrics with those objectives in mind. 
Our 5-year plan includes $700 million of DRIP equity after 2017, designed to bolster the balance sheet, the continued funding of increasing level of growth investments we expect in the back end of the planning horizon, such as the Atlantic Coast Pipeline and new gas generation. Our financing assumptions outlined on this slide do not include acquisition of Piedmont Natural Gas or the sale of international. We plan to issue between $500 million to $750 million of equity through a forward structure, and we'll finance the remainder with debt at the holding company upon closing.  Proceeds from the sale of international will be used to strengthen our balance sheet, helping to fund growth in our core businesses.
Now I'd like to provide some perspective on the recent 5-year extension of bonus depreciation benefits. This extension will generate cumulative after-tax cash benefits of about $3 billion. However, due to our federal net operating loss tax position, we will see total improved cash flows of around $1 billion, but in the back end of our planning horizon. In the short term, our federal tax position will keep us from recognizing the manufacturing deduction through 2018, impacting our annual earnings by around $0.05 per share.
Moving to Slide 15, let's talk about our dividend. We have proudly paid a quarterly dividend for 90 consecutive years. Last year, our board approved a 4% increase to the dividend, which was double the previous annual growth rate of around 2%. We continue to target annual growth in the dividend consistent with our long term 4% to 6% earnings growth. 
Our dividend is appointed by the strong cash flows from our core businesses. Our Regulated Utilities are distributing between 65% and 70% of their earnings to the parent during the planning horizon, providing strong support to the dividend. Additionally, during the period, we continued to hold the International business. This segment will generate annual cash flows of between $200 million and $300 million to be distributed to the parent. Through 2020, our dividend payout ratio is expected to be between 70% and 75%. We are comfortable with this payout, given the quality of our lower-risk core businesses and their more stable earnings and cash flows.
I'll close with Slide 16, which summarizes our key investor considerations. Duke Energy has tremendous scale, offering an attractive investor value proposition, which includes balanced growth in earnings and dividends over time. We are confident in our ability to grow our core businesses between 4% and 6% through 2020. We will also maintain a strong balance sheet to ensure reliable access to the capital markets while we finance this growth.
With that, let me turn it back over to Lynn for some closing thoughts."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Executives","Thank you, Steve. Before we take your questions, I just wanted to underscore a few points that are summarized on Slide 17. We are strategically responding to the transformation that is occurring in our industry. We're simplified our business portfolio t",166,"Thank you, Steve. 
Before we take your questions, I just wanted to underscore a few points that are summarized on Slide 17. We are strategically responding to the transformation that is occurring in our industry. We're simplified our business portfolio to focus on our growing core regulated businesses and our highly contracted renewables portfolio. We're enhancing customer value by investing in the grid to improve reliability and the customer experience. We're also investing in new natural gas and renewable generation resources as we prepare the business for a lower-carbon future. We operate in strong jurisdictions that are positioned for customer growth over the coming years. Our efficient cost structure coupled with lower natural gas prices allows us to make significant investments while maintaining very competitive rates for customers.  Taken together, the predictable stable earnings and cash flows that we are positioned to generate will support attractive earnings and dividend growth for our investors in the years to come.
Now let's open up the lines for questions."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Operator","[Operator Instructions] We'll first hear from Guggenheim Partners.",8,"[Operator Instructions] We'll first hear from Guggenheim Partners."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Analysts","Thanks for the additional color on LatAm assets. Lynn, in your prepared remarks, you kind of highlighted some dilution. So when we're thinking about net proceeds and the cash you still have left to repatriate, I think it's about 1.5. Should we offset this",79,"Thanks for the additional color on LatAm assets. Lynn, in your prepared remarks, you kind of highlighted some dilution. So when we're thinking about net proceeds and the cash you still have left to repatriate, I think it's about 1.5. Should we offset this from the sale amount? So do you kind of lose these cash flows in a pending sale? Or is cash that's sitting in an account that's at your disposal, which is additive to the valuation?"
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Executives",", we think about it as acceleration of the amount planned for repatriation. You may recall when we set forth the dividend, it was over a 7-year period and it basically represented cash flow that would be generated over that period. So we've harvested abou",65,", we think about it as acceleration of the amount planned for repatriation. You may recall when we set forth the dividend, it was over a 7-year period and it basically represented cash flow that would be generated over that period. So we've harvested about $1.5 billion. We have $1.2 billion to go. You can think that part of the proceeds is being acceleration of that."
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Analysts","Excellent. And then just for the proceeds, should we think a little bit more delevering or potentially lower equity needs?",20,"Excellent. And then just for the proceeds, should we think a little bit more delevering or potentially lower equity needs?"
267850,322365214,935575,"Duke Energy Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Duke Energy Corporation","Executives","As we look at everything that we've laid out here, Shahriar the proceeds from international will go a couple of places, one being to accelerate that repatriation that I just talked about. Those cash flows are already in the plan. We're just bringing them",97,"As we look at everything that we've laid out here, Shahriar the proceeds from international will go a couple of places, one being to accelerate that repatriation that I just talked about. Those cash flows are already in the plan. We're just bringing them forward. And then we will use the rest of the proceeds to fund growth. So as we laid out the combination of DRIP equity, what do we take to finance Piedmont, the growth capital that's in the plan, proceeds of international are a part of that financing picture over the 5-year period."
