"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Operator","Good afternoon, and welcome to the Equinix Fourth Quarter Earnings Conference Call. [Operator Instructions] Also, today's conference is being recorded. If anyone has objections, please disconnect at this time. I'd now like to turn the call over to Katrina",51,"Good afternoon, and welcome to the Equinix Fourth Quarter Earnings Conference Call. [Operator Instructions] Also, today's conference is being recorded. If anyone has objections, please disconnect at this time. I'd now like to turn the call over to Katrina Rymill, Vice President of Investor Relations. Thank you, and you may begin."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Executives","Good afternoon, and welcome to today's conference call. Before we get started, I would like to remind everyone that some of the statements we'll be making today are forward-looking in nature and involve risks and uncertainties. Actual results may vary sig",253,"Good afternoon, and welcome to today's conference call. Before we get started, I would like to remind everyone that some of the statements we'll be making today are forward-looking in nature and involve risks and uncertainties. Actual results may vary significantly from those statements and may be affected by the risks we identified in today's press release and those identified in our filings with the SEC, including our most recent Form 10-Q filed on October 30, 2015.
Equinix assumes no obligation and does not intend to update or comment on forward-looking statements made on this call. In addition, in light of regulation fair disclosure, it's Equinix's policy not to comment on its financial guidance during the quarter unless it is done through an explicit public disclosure. 
In addition, we'll provide non-GAAP measures on today's conference call. We'll provide a reconciliation of those measures to the most directly comparable GAAP measures and a list of the reasons why the company uses these measures in today's press release on the Equinix Investor Relations page at www.equinix.com. 
We would also like to remind you that we post important information about Equinix on the IR page of our website. We encourage you to check our website regularly for the most current available information. With us today are Steve Smith, Equinix's CEO and President; Keith Taylor, Chief Financial Officer; and Charles Meyers, Chief Operating Officer. Following our prepared remarks, we'll be taking questions from sell-side analysts. [Operator Instructions] At this time, I'll turn the call over to Steve."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Executives","Okay. Thank you, Katrina, and good afternoon, and welcome to our fourth quarter earnings call. 2015 was a transformational year for Equinix. We delivered accelerated growth, expanded our global platform with 2 strategic acquisitions, completed our first y",1330,"Okay. Thank you, Katrina, and good afternoon, and welcome to our fourth quarter earnings call. 2015 was a transformational year for Equinix. We delivered accelerated growth, expanded our global platform with 2 strategic acquisitions, completed our first year operating as a REIT and established ourselves as a foundation for the cloud ecosystem that continues to drive IT transformation. 
Our strong financial performance reflects our position as the global leader in retail co-location and interconnection, truly serving as the place where opportunity connects for leading networks, clouds, content providers and enterprises. We continue to extend our market-leading network density attracting wireline, wireless and increasingly, subsea carriers who are using Platform Equinix to efficiently interconnect and serve their end customers. 
Our data centers act as a powerful commerce center for the largest service providers to reach their customers and are positioning us to capture the enterprise as they implement next-generation IT architectures. We will further leverage our leadership position through the integration of Telecity and Bit-isle and scale the business to drive even more value for our combined customers. 
Before I turn to the quarterly results, I'd like to reflect on a few of the meaningful milestones we achieved in 2015. Starting with financial performance on Slide 3. With another year of record bookings activity in 2015, we generated over $2.7 billion of revenue, up 16% year-over-year on a normalized and constant currency basis. We delivered over $1.27 billion of adjusted EBITDA or a 47% margin, an over 100 basis point improvement over last year while continuing to invest in the business. This drove AFFO growth of 25% on a normalized and constant currency basis, exceeding our prior guidance after adjusting for the Telecity transaction-related FX loss. 
Second, it was a phenomenal year for our interconnection solutions. Interconnection revenue continues to outpace overall revenue, growing 20% year-over-year on a constant currency organic basis. With over 171,000 cross connects, 3,300 ports on our Internet exchange and dramatic growth on our Cloud Exchange, we are benefiting from the strong secular trends that are driving businesses to become increasingly interconnected. 
Third, we significantly expanded our global platform both organically and inorganically. Equinix completed 20 major IBX expansions in 2015, creating the needed capacity to support strong fill rates in high demand markets. 
Overall, our development activity continues to generate highly attractive returns and healthy yield on our sizable base of stabilized assets. With the Telecity and Bit-isle acquisitions, we further expanded Platform Equinix, which now spans 145 data centers across 40 metros and 21 countries. Combined, Equinix now operates over 14 million gross square feet of co-location space, enhancing our position as the largest retail data center footprint in the world.
Fourth, we continue to establish Equinix as the home of the interconnected cloud, which in turn is attracting enterprises that are adopting hybrid and multi-cloud as their IT architecture of choice. Key cloud customers, including Amazon, Cisco, IBM, Microsoft and Oracle, to mention a few, are all using Equinix to scale their infrastructure globally and are now deployed across an average of 17 markets. 
And finally, we successfully completed our first year operating as a REIT and returned $394 million back to our shareholders. We were included in the S&P 500, the MSCI RMZ and the FTSE NAREIT indices, reflection of our position as both a technology leader and as the largest data center REIT. We continue to strengthen our balance sheet, raising $2.6 billion in debt and equity in the fourth quarter, fortifying our capital structure while providing a strong liquidity position.
Now turning to the quarter. We had a great finish to the year, delivering record bookings in the fourth quarter with particular strength in the Americas and robust metrics, including our highest-ever interconnection activity and very firm yield per cabinet. We continue to take market share, capture an outsized portion of the new infrastructure deployments from both clouds and enterprises. 
The quality and scale of our wins continues to increase, and we are proud that over 140 of the Fortune 500 are Equinix customers. Our geographic reach remains critical to customers, with over 55% of our revenue coming from customers deployed globally across all 3 regions and over 84% from customers deployed across multiple metros.
Our global platform is increasingly defensible, durable and hard to replicate with regards to reach and capacity as well as performance. With the addition of the Telecity and Bit-isle acquisitions, we added 40 data centers and 1,100 people across Europe and Japan. This scale positions us well to build market leadership, increase capacity, enhanced cloud and network density and grow customer ecosystems for years to come. 
With Telecity, we've added 7 new metro markets to our portfolio, creating a large opportunity for current Equinix customers to expand further north and east across EMEA. Additionally, there are over 500 customers of former Telecity that have business presence in another country where Platform Equinix resides, creating a potential for powerful cross-selling opportunities as we integrate. We are confident both these transactions will drive significant long-term value creation for our customers and our partners.
Now let me cover quarterly highlights from our industry verticals. Starting with the network vertical. This customer base continues to grow as we enhance ecosystems in which networks and mobile providers can participate and grow their businesses. Strong global bandwidth demand is driving a resurgence of subsea cable projects, creating new opportunities for Equinix. These service providers are accelerating returns by terminating cables directly into our IBXs where they can further benefit by gaining access to key business ecosystems. 
In the content digital media vertical, content customers are expanding across our global platform to meet the continued explosion of consumer demand for digital content and applications. The advertising subsegment remains the fastest growth driver in this vertical as digital advertising takes share from traditional channels. 
Customers expanding this quarter include AppNexus, which optimizes programmatic digital advertising; AudienceScience, a global advertising technology and services company; and Criteo, a French company specializing in performance marketing. 
Turning to the financial services vertical. In addition to our strong electronic trading ecosystem, we continue to diversify across subsegments, including insurance, wealth management and banking, which contributed to record bookings for the quarter. New wins include a top 20 private wealth management firm initiating a multi-cloud strategy to speed to market; a Fortune 500 asset management company that is connecting to clouds over our Equinix Cloud Exchange; and a partner-led deal with a top 10 insurance firm based in Europe.
In cloud and IT services, the cloud ecosystem delivered strong growth this quarter, driven by key Infrastructure-as-a-Service providers such as AWS and Microsoft as well as momentum with Software-as-a-Service providers who represent the fastest-growing subsegment of this vertical. SaaS customer expansions include ServiceNow, an IT service management provider; and Shape Security, an advanced application defense provider that offers security services for cloud exchange clients. We continue to see momentum on our Cloud Exchange and have over 300 enterprises clouds, IT service providers and networks interconnecting using our solution.
Turning to the enterprise. The enterprise vertical delivered strong bookings as businesses seek to re-architect IT to adapt rapidly changing business requirements. By leveraging an interconnection-oriented architecture, enterprises can address multiple IT challenges and solve for the cost, scaling and performance needs of today's digital world. 
For the second quarter, enterprise was the largest source of new customer adds, with particular traction in manufacturing and Professional Services. New wins include Polo Ralph Laurent, a premium clothing and lifestyle brand; Granite Construction, an S&P 500 civil general contractor and construction material producer; and Cosmetics, a Swedish cosmetic manufacturer. 
Over 300 customers have deployed our Performance Hub solution, which is an extremely attractive entry point for enterprise customers who seek to optimize network architectures and also access the cloud and drive application performance. And we are already enjoying significant upsell in cross-sell traction with these customers. So let me stop here and turn it over to Keith to cover some more specifics for the quarter."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Executives","Thanks, Steve, and good afternoon to everyone on the call. Let me start by saying from so many points of view, Q4 was the best quarter we have experienced to date. The momentum in our organic business, combined with Telecity and Bit-isle, sets us up nicel",2074,"Thanks, Steve, and good afternoon to everyone on the call. Let me start by saying from so many points of view, Q4 was the best quarter we have experienced to date. The momentum in our organic business, combined with Telecity and Bit-isle, sets us up nicely for 2016 as well as our initial look through into 2017. 
And with my prepared remarks, I'll first review our full year 2015 results then I'll provide some commentary on key metrics for '16, which have a number of moving parts. Finally, I'll wrap up with some high-level comments on the fourth quarter.
So starting with revenues. We reported revenues of over $2.72 billion for 2015, a 16% year-over-year normalized and constant currency growth rate, a clear demonstration of our ability to drive outsized growth as we benefit from the scale of our global platform as well as enjoy record nonrecurring revenue activity. And we believe this momentum will continue into 2016. 
We expect to deliver normalized and constant currency growth of greater than 13% for our organic business and over $540 million of revenues from Telecity and Bit-isle at current exchange rates. We believe the Telecity business, net of the expected divestitures, will grow revenues between 8% and 9% in 2016, while Bit-isle's revenues will remain essentially flat year-over-year, consistent with our expectations while we look to optimize this business over the next 24 months.
In 2015, we improved our organic adjusted EBITDA margin by over 100 basis points to 46.7%. And as we continue to scale the business, we expect to deliver another 100 basis points of improvement on the organic business in 2016 as we maintain disciplined and focused on our spending initiatives. 
Another key driver to our continued margin improvement is the healthy price yield derived from a disciplined pricing initiative and strong interconnection activity. For 2016, we expect our consolidated adjusted EBITDA margins to be greater than 47.3%, excluding integration costs or 45.6% on an as-reported basis.
Our 2015 pro forma AFFO, which excludes the impact of the Telecity FX losses and the integration costs, was $905 million, significantly higher than expected for the year. Looking forward on a normalized and constant currency basis, 2016 AFFO is expected to grow greater than 23% over the prior year.
With respect to the Telecity and Bit-isle acquisitions, we're very excited about these acquisitions and the ability to strengthen our market position. That said, I want to highlight a few areas recognizing we'll be incurring some costs that won't be part of the ongoing business, thereby allowing you to better understand the combined business on a go-forward basis. 
So let me start with FX. We elected to hedge the cash portion of the Telecity purchase price. In effect, we locked in the dollar value of this sizable deal. This resulted in an FX loss of $61 million in 2015, with $49 million of the loss being recognized in Q4. These losses impacted our AFFO metric for both Q3 and Q4 and for the year. 
For Q1, as we completed the purchase of the Telecity acquisition, we experienced an incremental $50 million loss in the quarter. Again, this loss will impact our Q1 and 2016 AFFO metric. Finally, it's important to note that the offset to the Telecity FX losses is a corresponding reduction to the purchase price of Telecity. 
For both Telecity and Bit-isle, we've begun the integration process to combined the teams, the organizations and the systems together. We expect to incur $58 million in integration costs in 2016, as anticipated in our investment models, with an approximate $20 million of additional integration costs being spent in 2017.
These costs support systems work, of significance, employees costs, including severance and retention and substantial organizational restructuring in support of our REIT and other tax initiatives. We expect incremental revenue, cost and CapEx synergies from the acquisitions from Telecity and Bit-isle as we integrate these businesses. 
Our current revenue guidance contemplates modest revenue synergy assumptions this year, which we expect to ramp up over time as both Equinix and Telecity customers leverage the expanded footprint service portfolio and rich ecosystems of the combined company. As we progress with our integration efforts, we also expect to achieve $30 million in annual cost savings, with about 50% of these savings being realized before the end of this year and the rest coming in 2017.
For CapEx synergies, the available Bit-isle inventory has positioned us well in the Tokyo market, allowing us to defer significant capital spend to other projects, while the Telecity capacity in our overlapping markets allows us to free up capital to be deployed in other markets, both in Europe and across the platform.
And as previously announced, we need to divest 8 assets from the combined Equinix Telecity EMEA business, with a target divestiture date of mid-2016. In light of the current momentum in the business and the size of the market opportunity in front of us, it is our intention to reinvest the divestiture proceeds back into the business. We currently believe this is the highest and best use of our capital. We believe this allows us to maximize both our short- and longer-term shareholder value objectives while driving -- I'm sorry, while providing us the strategic and operational flexibility we've historically enjoyed, particularly during volatile times. And these proceeds, along with capital raised in November, should allow us to self-fund the business for the foreseeable future despite our increased expansion activities and anticipated growing cash dividend.
From an AFFO perspective, the value of these acquisitions and our AFFO generating potential is better than our original assumptions. With a view towards 2017, we expect these acquisitions on a combined basis to be accretive to Equinix's AFFO per share for the 2017 reporting year excluding the integration costs. 
So turning to the fourth quarter. It was another terrific quarter at Equinix. Our strategy continues to deliver better-than-expected results across the company. At the global level, we had record gross and net bookings, with particular strength in the financial services and enterprise verticals. Our interconnection metrics were again outstanding as we added 7,500 cross connects and 162 exchange ports this quarter. Our MRR per cab on an FX-neutral basis was very firm, and we remain well positioned across each of our operating regions.
As depicted on Slide 4, global Q4 revenues were $730.5 million, our 52nd consecutive quarter of top line revenue growth, up 4% quarter-over-quarter and 17% over the same quarter last year on a normalized and constant currency basis. Our as-reported revenues include $21.6 million of Bit-isle revenue from November and December, consistent with our expectations and the investment model. 
Q4 organic revenue, net of our FX hedges, absorbs an $8 million negative currency impact when compared to the average FX rates used last quarter and a $4 million negative currency impact when compared to our FX guidance rates. Currency, volatility against the majority of our key operating currencies continue to cause significant FX headwinds. For 2016, the strength in U.S. dollar creates a $51 million FX headwind against revenues and a $29 million headwind against adjusted EBITDA for our organic business when compared to the average FX raised -- rates used in 2015.
For Europe, we've hedged over 85% of our Equinix organic business. Given the growth of the international businesses, including Telecity and Bit-isle acquisitions, we expect our revenue mix to shift such as greater than 50% of our revenues will be generated from outside the U.S.
Global adjusted EBITDA was $333.1 million, up 4% over the prior quarter and 20% over the same quarter last year on a normalized and constant currency basis. Our normalized adjusted EBITDA margin was 46.4% and includes $2.8 million in integration costs. Our Q4 organic adjusted EBITDA performance, net of our FX hedges, reflects a negative $5.4 million currency impact when compared to the average FX rates last quarter and a $1.2 million negative impact when compared to our guidance rates.
Global AFFO was $178 million. Excluding the Telecity foreign currency loss and acquisition-related costs, AFFO on a normalized and constant currency basis increased 4% over the prior quarter, above the top end of our guidance range by $13 million, largely due to lower-than-expected cash taxes. 
And finally, moving to churn. Total MRR churn for Q4 was 2.3%, consistent with our prior guidance and weighted towards the end of the quarter. For 2016, we expect our quarterly MRR churn to remain in our targeted 2% to 2.5% quarterly range. 
I'd like to provide some highlights on the regions, whose full results are covered on Slides 5 to 7. All 3 regions delivered better-than-expected revenues, with EMEA and Asia Pacific showing normalized and constant currency growth of 20% and 25% respectively, while the Americas region produced growth of 13% on its much larger base. 
The Americas region had a great quarter, delivering record bookings driven by the financial and enterprise verticals, very firm yield per cabinet and the best interconnection quarter of all time. EMEA delivered another strong quarter of bookings, with particular strength in our French and German markets, while Asia Pacific continued its rapid growth as customers deployed across the region with gross bookings driven by cloud and IT services, enterprise and network verticals.
Interconnection revenues continued to outpace overall growth of the business, with the Americas, EMEA and Asia Pacific interconnection revenues now at 22%, 10% and 13%, respectively, of the recurring revenues.
And now looking at the balance sheet, please refer to Slide 8. Unrestricted cash and investments increased this quarter to $2.2 billion due to the successful financings in November on a restricted cash balances totaled $490 million, largely due to the escrow funds related to the Telecity deal. 
Our year-end net debt leverage ratio was 3.2x at Q4 and annualized adjusted EBITDA although steps up to greater than 4x after funding the cash portion of the Telecity transaction. Given the favorable cash flow attributes of the business model, we expect the Equinix calculated leverage ratio to return to the higher end of our targeted 3x to 4x adjusted EBITDA over the next 12 to 18 months.
Now switching to AFFO and dividends on Slide 9. For 2016, we expect our as-reported AFFO to be greater than $970 million, a 17% year-over-year increase. On a normalized and constant currency basis, AFFO would be greater than $1.078 billion or a 23% increase over the prior year.
Turning to dividends. Today, we announced our Q1 dividend of $1.75 a share, a 3.6% increase over the prior cash dividend per share. For 2016, our projected total cash dividends to be paid will increase to approximately $500 million, a 27% increase over the prior year. Our normalized AFFO payout ratio will approximate 52% in 2016. 
Our estimated share count for 2016 approximate 70.5 million shares, including 6.9 million shares issued to Telecity shareholders and 1.96 million shares expected to be issued in June 2016 to our convertible debt holders.
We continue to believe that both organic and inorganic growth will be the primary ingredient for a steadily growing cash dividend. And we've maintained the flexibility to move additional entities from the taxable REIT structure to the qualified REIT structure over time. 
Now looking at capital expenditures, please refer to Slide 10. For the quarter, our capital expenditures were $281 million, including recurring CapEx of $45 million, slightly higher than guidance due to the timing of cash payments to our contractors. We now have 14 [ph] expansion projects underway. 
For 2016, we expect 95% of expansion capital to be allocated to campus or existing market builds and 5% for new market development. Given the strong performance at our key markets, we expect to move forward with additional expansion phases in Ashburn, Frankfurt, Hong Kong, Silicon Valley and a new flagship build in the Amsterdam Science Park, an interconnection hub. 
Also, given our high utilization rate of 81% and increasing as well as strong development returns, we expect 2016 CapEx to range between $900 million and $1 billion, which contemplates several new first phase IBX builds on our core Equinix owned campuses, including Ashburn and Silicon Valley as well as a number of non-U.S. campuses. 
And finally, we've provided you a number of slides that bridge the normalized 2015 performance to our 2016 guidance, including slides for revenue and adjusted EBITDA. Please refer to Slides 13 to 17. These slides also include the contributions from Telecity and Bit-isle acquisitions."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Executives","Okay. Thanks, Keith. Let me now cover our 2016 strategy on Slide 12. Our strategic priorities remain centered on driving growth by pressing our competitive advantage and investing to capture significant opportunities, such as the cloud-enabled enterprise.",540,"Okay. Thanks, Keith. Let me now cover our 2016 strategy on Slide 12. Our strategic priorities remain centered on driving growth by pressing our competitive advantage and investing to capture significant opportunities, such as the cloud-enabled enterprise. We will allocate capital towards these high-value opportunities and in turn will strengthen our economic model. 
In the near term, we will focus our energy on successfully integrating Telecity and Bit-isle and growing our market leadership globally. Organically, our efforts will be focused on capturing the enterprise through a series of initiatives to build cloud density, create and deploy innovative product solutions, generate demand in targeted segments and provide Professional Services focused on enabling the adoption of hybrid and multi-cloud. 
We will also continue to ramp our channel program to enhance our reach and to the enterprise through agents, resellers, systems integrators and key platform partners. Over the longer term, interconnection will continue to be the essence of our advantage, and Equinix is well positioned to become the intersection point between the Internet of Things, clouds, networks and the enterprises. 
We are making meaningful investments to foster new ecosystems to capture this opportunity, and we'll continue to invest in scaling our systems and processes and evolving our capabilities in response to these customer needs. 
Based on what we see in the market and the steps we are taking at Equinix to capitalize on these opportunities, I continue to be very optimistic about our future. And last on Slide 18, which summarizes our Q1 and full year 2016 guidance, including FX impacts. Let me cover a few thoughts on our 2016 outlook. 
First, we continue to deliver another solid year of growth. For the full year of 2016, we expect revenues to be greater than $3.55 billion, a 30% growth on an as-reported basis or a normalized and constant currency growth rate of greater than 13% year-over-year. 
Second, our organic adjusted EBITDA margin continues to improve as we drive increased efficiency into the business and scale our operating model. For 2016, adjusted EBITDA is expected to be greater than $1.62 billion or 16% year-over-year growth on a normalized and constant currency basis. This includes a 100 basis point adjusted EBITDA margin improvement for the Equinix organic business. 
And the growth of our business is driving increased adjusted funds from operations and ultimately cash flow and dividends. AFFO normalized for the Telecity transaction-related FX loss is expected to be greater than $1.078 billion, a 23% growth year-over-year, demonstrating the health of the business model. 
And finally, given our strong pipeline, firm yield and healthy returns, we continue to invest in our business and expect 2016 capital expenditures to range between $900 million and $1 billion for the year. 
So in closing, the strength of our business is translating into solid revenue growth, firm yield and healthy margins, all of which combine to give us the financial firepower to continue to invest in our global platform and develop innovative solutions. Our fundamental growth continues to drive significant value creation for our shareholders, a reflection of the important role that we play in the rapidly evolving digital economy. 
So let me stop here, and I'll turn it over to you, Sam, to open it up for questions."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Operator","[Operator Instructions] Our first question is from Jonathan Schildkraut with Evercore ISI.",12,"[Operator Instructions] Our first question is from Jonathan Schildkraut with Evercore ISI."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Analysts","I guess, Steve, if I could, I'd love to review a couple of the sort of big-ticket items that you guys brought to the conversation last quarter and see if we can get an update on them. And I guess the 3 things that really stand out are last quarter, you ta",121,"I guess, Steve, if I could, I'd love to review a couple of the sort of big-ticket items that you guys brought to the conversation last quarter and see if we can get an update on them. And I guess the 3 things that really stand out are last quarter, you talked about a second consecutive quarter of positive pricing actions. You talked about an accelerating TAM and you talked about the beginning of the emergence of cloud-driven enterprise demand. And while you highlighted enterprise amongst the verticals that were strong, I'd certainly love to hear anything explicit as it applies to sort of again cloud-driven enterprise demand. So just if you could sort of review us on those 3 points."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Executives","Sure. Why don't I start with a couple of comments and Charles and Keith can chime in here. Those are 3 good questions, Jonathan. The pricing actions continue to be favorable to us as we renew and move forward with existing customers that are extending in",334,"Sure. Why don't I start with a couple of comments and Charles and Keith can chime in here. Those are 3 good questions, Jonathan. The pricing actions continue to be favorable to us as we renew and move forward with existing customers that are extending in multiple markets with us. So we're staying very disciplined with our activities and our actions and our deal reviews with our customers as they continue to grow into the global platform. And so that's showing up every quarter. And I would just tell you that's tied to the discipline of our deal reviews and how we manage that and Charles can talk about that in a second because he sits on top of those. The accelerating TAM generally is because we're prosecuting a dozen-plus other industry verticals that we refer to as the enterprise outside of our core 5 industry verticals that we've been focused on, and it goes to these hundreds of thousands of customers, prospects, I should say, that we're knocking on our doorknob via the channel or via the direct sales engine to talk to them about helping them enable them to get to the multi-cloud and get to the hybrid cloud environment. So the cloud enterprise, the simple answer, the reason why we're a cloud enabling these data centers is to replicate the network density that we achieved the first 16, 17 years of this company to make it easy for any CIO of an enterprise to look inside these facilities and see that they can publicly, privately move their traffic, certain applications that are mission-critical, revenue-facing, customer-focused applications that they can get them to the multi-cloud and get them to take advantage of the performance to cost and the IT transformation that's taking place. So it's -- we're seeing uplift across all 3 of these things because of generally because of the uptake in cloud and cloud is driving most of this. Charles, why don't you add a little bit of color here?"
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Executives","Yes. Again, all 3 of these things continue. The continued positive pricing actions, and as Steve said, that's showing up in our yield, continuing to be very firm across the board in terms of MRR per cab. The accelerating TAM is really absolutely linked to",223,"Yes. Again, all 3 of these things continue. The continued positive pricing actions, and as Steve said, that's showing up in our yield, continuing to be very firm across the board in terms of MRR per cab. The accelerating TAM is really absolutely linked to this enterprise phenomenon and building and the scaling of the cloud ecosystem, both the cloud density CSP side of that ecosystem as well as the enterprise. And I think we've had -- continue to have a number of big lighthouse wins. And what I would tell you is that I think this is probably the eighth consecutive quarter that both cloud and enterprise has overindexed on a bookings basis relative to their installed base, meaning that those who were continuing to see an evolution of the business not because our mature ecosystems are waning but rather because we're seeing an acceleration in the cloud ecosystem. And this big addressable market is really an artifact of people migrating to the cloud, adopting public cloud, using Equinix as a private access option to the public cloud and really enabling -- really selecting multi-cloud hybrid cloud as the IT architecture of choice. And I think if you look at it -- if you look at our core metrics, the business really hitting on all cylinders against all 3 of those factors."
28202,321490066,936434,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Equinix, Inc.","Operator","And our next question is from Paul Morgan with Canaccord.",10,"And our next question is from Paul Morgan with Canaccord."
