"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Operator","Welcome, and thank you all for standing by. [Operator Instructions] Today's conference call is being recorded. If you have any objections, you may disconnect at this time. And now I will hand the call over to Aaron Hoffman, Vice President of Investor Rela",48,"Welcome, and thank you all for standing by. [Operator Instructions] Today's conference call is being recorded. If you have any objections, you may disconnect at this time. And now I will hand the call over to Aaron Hoffman, Vice President of Investor Relations. Mr. Hoffman, you may begin."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Executives","Thanks, Anna, and good morning, and welcome to ITW's Fourth Quarter 2015 Conference Call. Joining me this morning are our CEO, Scott Santi and our CFO, Michael Larson. During today's call, we will discuss our fourth quarter and full year 2015 financial re",160,"Thanks, Anna, and good morning, and welcome to ITW's Fourth Quarter 2015 Conference Call. Joining me this morning are our CEO, Scott Santi and our CFO, Michael Larson. During today's call, we will discuss our fourth quarter and full year 2015 financial results, update you on our 2016 earnings forecast and discuss the acquisition that we announced on Monday. 
Before we get to the results, let me remind you that this presentation contains our financial forecast for the 2016 first quarter and full year as well as other forward-looking statements identified on this slide. We refer you to the company's 2014 Form 10-K and third quarter 2015 Form 10-Q for more detail about important risks that could cause actual results to differ materially from our expectations.
Also, this presentation uses certain non-GAAP measures. A reconciliation of the non-GAAP measures to the most comparable GAAP measures is contained in the press release. With that, I'll turn the call over to Scott."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Executives","Thanks, Aaron, and good morning. Overall, we were pleased with our performance in the fourth quarter and for the full year as we continued to execute on our enterprise strategy and deliver strong results in a challenging but stable environment. In 2015,",318,"Thanks, Aaron, and good morning. Overall, we were pleased with our performance in the fourth quarter and for the full year as we continued to execute on our enterprise strategy and deliver strong results in a challenging but stable environment. 
In 2015, ITW grew earnings per share 10%, expanded operating margins by 150 basis points to a record of 21.4% and improved after-tax return on invested capital by 140 basis points to a record 20.4%. Free cash flow was strong in 2015 at 106% of net income, and we invested roughly $560 million in our businesses for growth and productivity. In addition, we returned more than $2.7 billion to shareholders in the form of dividend and share repurchases.
In 2015, we continued to make significant progress on the execution of our enterprise strategy, as evidenced by more than 100 basis points of margin improvement from our self-help enterprise initiatives. As a reminder, we expect an additional incremental 100 basis points of margin expansion from our business structure simplification, sourcing and 80/20 excellence initiatives in each of 2016 and 2017. 
In 2015, we also began our pivot to focus on our organic growth agenda. And we made meaningful progress, with 60% of the company's revenues achieving ready to grow status and 45% growing at 6% in 2015. We continued to execute the various elements of our enterprise strategy in a well-planned and logical sequence as we position ITW to deliver solid growth with best-in-class margins and returns. And we remain firmly on track to deliver on our end of 2017 enterprise performance goals. 
I'd like to close by thanking all of our ITW colleagues around the world for the great job that they continue to do in serving our customers and in executing our strategy. I'll now turn the call over to Michael and then I'll be back to discuss the acquisition that we announced earlier this week. Michael?"
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Executives","Thank you, Scott, and good morning, everybody. As you saw this morning, ITW delivered another strong quarter. EPS of $1.23 increased 4% versus prior year, 11% excluding currency. Our results were driven by strong execution across the board as operating ma",1588,"Thank you, Scott, and good morning, everybody. As you saw this morning, ITW delivered another strong quarter. EPS of $1.23 increased 4% versus prior year, 11% excluding currency. Our results were driven by strong execution across the board as operating margin improved 110 basis points to 20.7%, and our self-help Enterprise Initiatives contributed 110 basis points of improvement.
Organic revenue was modestly better than our guidance, with some fairly challenging comparisons in a few segments. While demand for capital equipment remains sluggish, underlying demand trends was stable across our business portfolio. Adjusted for seasonality, demand in our industrial businesses improved 4% sequentially in Q4 versus Q3. Free cash flow was very strong at 140% of net income, and as you can see, we made meaningful progress on our return on invested capital metrics. In summary, stable demand across our business portfolio and solid execution drove strong Q4 performance.
Turning to revenue by geography on Page 5. Let me just remind you that the organic revenue number includes a 1 percentage point impact from Product Line Simplification as organic revenue declined 0.6% with some fairly challenging comparisons in the prior year. 
By geography, North America was down 1.6%, with our consumer-facing businesses up 2% and the industrial business is down 5.6%. International was positive, up 0.6% with Europe, Middle East and Africa up 1.9%. Our consumer businesses grew 4.6% with strength in Automotive OEM up 10% in Europe and Food Equipment.
Asia Pacific and China were essentially flat, and it's worth pointing out that China Automotive was up 14% in the fourth quarter. So overall stable end market conditions across the portfolio and slightly better-than-expected organic revenue performance in the quarter against the fairly challenging comparisons. 
On Page 6, strong operating margin performance once again in the quarter. Operating margin of 20.7% improved 110 basis points and 4 segments improved between 220 and 420 basis points, driven primarily by our self-help Enterprise Initiatives and lower restructuring. Pricing was solid in the quarter. Price/cost was favorable 30 basis points. The strong progress on operating margin, and as Scott said, while trying to realize additional incremental margin improvement as we go forward.
On Page 7, we listed full year 2015 operating margin by segment, and you can see the strong progress since the launch of the enterprise strategy.
Turning to the segments, starting with Automotive OEM. Another strong quarter. Organic revenue up 5% and up 6% for the year, outpacing worldwide builds of 1%. Europe was up 10% organic in the quarter and up 11% for the year. North America was up 4% and China was up 14% in the quarter and up 8% for the year. Consistent with global industry growth rates, our 2016 guidance assumes a 1% increase in global auto builds versus '15.
Solid quarter in Test & Measurement and Electronics as margin improved 300 basis points to a new fourth quarter record of 18.1%. Demand trends in this segment improved in the quarter. Sequentially from Q3 to Q4, revenues were up 6%, up 2% adjusted for typical seasonality. Also another solid quarter in Food Equipment, up 2% organically facing some challenging comparisons from last year. You may recall that equipment was up 6% worldwide in Q4 last year.
Operating margin improved 220 basis points to a new fourth quarter record of 23.9%. North America service was up 4%, and underlying equipment demand remained solid, particularly in bakery, health care and lodging. International equipment was up 4% and continued strong demand in warewash, cooking and refrigeration.
Polymers & Fluids was down 3% due to soft demand related to industrial MRO, with North America down 4%, partially offset by Asia Pacific up 9%. Operating margin expanded by 70 basis points to 18.2%. Welding was down 11% organically in a tough environment and again, some challenging comparisons. You may recall that in the fourth quarter last year, North America was up 10% and oil and gas was up 20%. The 11% year-over-year decline breaks down as 6 points from oil and gas, 3 points from industrial and 2 points from commercial. 
North America overall was down 8%, with consumables essentially flat. International, as you can see, was down 20% due to oil and gas primarily in onshore pipeline and offshore. But as we talked about on the last earnings calls, the year-over-year numbers can be somewhat misleading in terms of understanding the underlying trends. 
On a seasonally adjusted basis, the underlying demand trends have actually been fairly stable since the first quarter of 2015. On a seasonally adjusted sequential basis, we saw a significant stepdown in demand in Q1 last year, followed by slight declines in Q2 and Q3 and then in this fourth quarter, demand actually improved 2% sequentially from Q3.  Consistent with current demand levels, our 2016 guidance assumes a single-digit decline in the Welding segment.
On Slide 10, Construction Products had another strong quarter on the top and bottom line. Organic revenue was up 3% and margin was up 420 basis points. North America was up 2%, with high single-digit growth in the renovation and remodel channel. Residential was essentially flat and commercial was down slightly. Asia Pacific was strong, up 7% due to Australia. In Specialty Products, organic revenue was flat with solid growth in consumer packaging, offset by the impact of Product Line Simplification. Operating margin improved by 400 basis points to 23%.
Turning to Slide 11. As you know, one of the core strengths of ITW is our diversified portfolio. And in the current environment, the fact that about 60% of our revenues are consumer facing. As you can see in a tough environment, our consumer businesses: Automotive OEM, Food Equipment, Specialty Products and Construction, are growing at an organic rate of 3% in the fourth quarter and for the full year. And the seasonally adjusted sequential trends are stable.
Our industrial businesses, Welding, Test & Measurement and Electronics, were down 6% in the quarter and down 5% for the year. However, if you look at the seasonally-adjusted sequential trends from Q3 to Q4, revenues are up 4%. In simple terms, based on typical seasonality, we would expect these businesses to be down 2% sequentially, but they were actually up 2%. It's maybe too early to call this a trend but certainly an encouraging data point as we look ahead.
Quickly on 2015. You can see that we continued to make significant progress on all of our financial performance metrics: EPS growth, operating margin improvement, return on capital, increased cash flow all reflect the strength of ITW's differentiated business model and our strong execution in a tough environment.
Going back a little bit further to the launch of the enterprise strategy on Slide 13, the same holds true. More than 500 basis points improvement in margin and returns, 17% EPS CAGR and solid progress in our [indiscernible] As Scott said, 60% of the company's revenues achieved ready-to-grow status and 45% grew at 6% in 2015. We fully expect that 85% of the company's revenues will be in the ready-to-grow status by the end of 2016. In summary, over the last 3 years, really good progress, and we've done everything we said we would do, and we're on track to achieve our 2017 performance goals.
On Slide 14, we are reaffirming the guidance as discussed in New York on December 4. Our organic revenue growth expectation of 1% to 3% is in line with Q4 demand levels and includes 90 basis points of Product Line Simplification impact. In 2016, we expect 100 basis points or more of margin improvement from our self-help Enterprise Initiatives, independent of volume and operating margin is projected to be a new record of approximately 22.5%. Earnings per share in the range of $5.35 to $5.55, a 6% growth at the midpoint and 10% growth, excluding currencies.
Turning to the first quarter. Our EPS guidance is $1.20 to $1.30, and the midpoint of $1.25 represents 23% of our full year earnings, right in line with historical patterns. Again, we expect 100 basis points from our self-help Enterprise Initiatives. And based on current levels of demand, we expect organic revenue growth to be flat to up 2%.
Finally, a quick update on capital allocation, given the 2 recent developments and then I'll hand it over to Scott. Earlier this week, we announced the acquisition of the Engineered Fasteners and Components business from ZF TRW for $450 million. From a capital allocation standpoint, approximately 70% of the purchase price will be funded with non-U.S. cash. And we expect the acquisition to generate returns on capital in the 16% to 20% range by year 7. 
In addition, we see significant potential to improve the performance of the EF&C business through the application of ITW's 80/20 business management system. And we expect margins to improve from approximately 10% to 20% by year 5. The acquisition is slightly accretive to EPS in the first 12 months. And based on the expected closing date, we expect very little EPS impact in 2016, with accelerating benefits into 2017 and beyond. Finally, we're maintaining our end of 2017 performance goals.
Second, based on our ability to tax-efficiently access $1.2 billion of non-U.S. cash this month, we're increasing our share repurchase expectation by $1 billion to approximately $2 billion. The associated EPS benefit for 2016 is largely offset by recent currency moves, but this additional $1 billion of share repurchase also positions us very well for earnings growth in 2017 and beyond.
With that, I'll turn it back to Scott."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Executives","Thanks, Michael. And just now a couple of words on our -- the acquisition that we announced earlier this week. On Slide 17, let me start in terms of foundation and just talk about the business that we are hoping on this acquisition to our Automotive OEM s",624,"Thanks, Michael. And just now a couple of words on our -- the acquisition that we announced earlier this week. On Slide 17, let me start in terms of foundation and just talk about the business that we are hoping on this acquisition to our Automotive OEM segment. 
As many of you know, we have a very focused niche strategy in the space. We are essentially a high-velocity serial problem solver for OEM and tier suppliers. This segment had in 2015 had $2.5 billion of revenue, 8% organic growth and an 8% organic growth CAGR since 2012. 
As we have talked on a number of occasions, we see very attractive long-term growth opportunities in the space, with ITW's very focused niche positioning and have demonstrated some real ability to execute on that strategy over the last 4, 5 years as we talked about on a number of occasions. And we've outgrown global auto builds by over 400 basis points, on average, since 2012. 
So the addition of the ZF -- the Engineered Fasteners and Components business from ZF TRW essentially gives us some additional leverage on that strategy, broadens our market positions. On Slide 18, a very complementary business in terms of strategy and focus. This business is a leading global supplier of engineered fastening systems and technical components, largely focused on the interior of the car. Business is headquartered in Germany, 13 manufacturing facilities and 3,500 employees globally. Very strong solid business, excellent customer relationships, very capable operating team and a very strong proven track record around quality and delivery execution throughout their history.
On Slide 18, in terms of what does this business do in terms of adding to our current position, a couple of key points in that regard. First of all, it adds several new strategic product platforms that have similar characteristics to the product platforms that we support today. Certainly, a very demonstrated track record in terms of innovation. The business is bringing with it over 500 active patents. 
And from a standpoint of the manufacturing customer support footprint, very tilted towards Asia so it supplements our position in Asia. Overall business is from a standpoint of revenue by geography is 45% Europe, 20% North America, 35% in Asia Pacific so very complementary to our geographic footprint, which is a little more weighted towards North America, so gives us better global balance overall. 
And certainly, the last point is we see significant potential to leverage our 80/20 business management process in terms of helping the EF&C business continue to improve its operating metrics. Operating margins on the way in are about 10%, and as Michael talked about, we think we have line of sight on at least doubling that rate over the first 5 years of ownership.
From the standpoint of the transaction components, purchase price is roughly onetime [ph] sales. Michael talked about the near-term accretion. Certainly modestly positive in the first 12 months, including all noncash acquisition accounting-related costs. Certainly expect to generate returns on capital well within our target over the first 7 to 10 years of the acquisition. 
Michael talked about our ability to fund 70% or so of the purchase price with non-U.S. cash. This is an acquisition from a strategic and operational in the standpoint we would have done with [indiscernible] funding sources but certainly the ability to use a significant portion of the purchase cost. The ability to use cash overseas is certainly an added benefit here but not -- didn't drive the deal. And we expect to close in the second half of -- or this first half of 2016. 
So with that, I think we're -- that's all for our prepared remarks and we'll be happy to take your questions."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Operator","[Operator Instructions] Our first question will be coming from the line of Joe Ritchie of Goldman Sachs.",17,"[Operator Instructions] Our first question will be coming from the line of Joe Ritchie of Goldman Sachs."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Analysts","Maybe starting on the 2016 guide. You maintained the guide, and it seems like you've built some margin of error on the guide also with this $1 billion of repatriation. And so maybe talk a little bit about your opportunity to still hit at least the midpoin",71,"Maybe starting on the 2016 guide. You maintained the guide, and it seems like you've built some margin of error on the guide also with this $1 billion of repatriation. And so maybe talk a little bit about your opportunity to still hit at least the midpoint, maybe in the higher end of the guide if, in fact, organic growth were to disappoint as we kind of progress through the year."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Executives","Yes, Joe, so I'd say on the organic, our 1% to 3% guide for 2016 is based on the demand levels we're seeing in the businesses today as per usual. So we're not counting on improvement in underlying demand or in market conditions. We're based on current run",272,"Yes, Joe, so I'd say on the organic, our 1% to 3% guide for 2016 is based on the demand levels we're seeing in the businesses today as per usual. So we're not counting on improvement in underlying demand or in market conditions. We're based on current run rates, we are -- in that range of 1% to 3%. I think the -- in terms of margin of error, what I would say is that we still have a lot of things that are within our control in terms of our self-help. And number one on the list are the Enterprise Initiatives that we've continued to execute well on over the last 3 years. And we expect another 100 basis points of margin expansion, independent of volume from those in '16. If you translate that into EPS as we said in December, that's about $0.30 of EPS growth. Certainly, in addition to that, the $1 billion increase in our share repurchase program gives us some additional EPS benefit. Unfortunately, some of that is depending on the timing as offset by recent currency moves, not so much in the euro but primarily in Canadian, Australian dollars, the pound. But it does give us a little bit of room here. So overall in terms of the guidance, we feel very good about maintaining where we're at in the $5.35 to $5.55 range. And we feel really good about continuing to make solid progress on organic growth. You saw some of that in the fourth quarter, and just based on what we're seeing in our businesses today, we would expect that to continue in 2016."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Analysts","That's helpful color, Michael. Maybe as my follow-on question there, a lot of concern in the market regarding what's happening in the auto end market. Clearly, that's an end market that has been incredibly good for you guys, continue to outpace global aut",91,"That's helpful color, Michael. Maybe as my follow-on question there, a lot of concern in the market regarding what's happening in the auto end market. Clearly, that's an end market that has been incredibly good for you guys, continue to outpace global auto builds. But it looks like this past quarter, we saw a little bit less outgrowth in auto OEMs. So maybe some color on your ability to continue to sustain outgrowth in that end market and how you think about that end market over the next 12 months."
280561,321446545,921480,"Illinois Tool Works Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Illinois Tool Works Inc.","Executives","Yes, sure, Joe. This is Scott. I think the story for us remains one of penetration. Michael made a comment in his prepared remarks that our planning scenario essentially is for a 1% increase in global auto builds next year. I think most of the sort of ext",244,"Yes, sure, Joe. This is Scott. I think the story for us remains one of penetration. Michael made a comment in his prepared remarks that our planning scenario essentially is for a 1% increase in global auto builds next year. I think most of the sort of external forecasters and are in the 2.5% to 3% range. So in our own planning assumptions, I think we're taking a much more conservative approach as a baseline. It is also, as we've talked about before, the one area of our business where we have a significant amount of forward visibility vis-à-vis we've sold programs into production plans going on this year. Those programs were sold 2 and 3 years ago. So I think we've got a pretty stable outlook on -- in terms of what our expectations are for 2016 with respect to auto build into our plans. It doesn't mean that builds, if we see some inflection or some change in overall builds, relative to our 1%, that's not going to have an impact but ultimately, I think the potential impacts are pretty modest. I think we've got our plan set whether there's an appropriate level of conservatism and have enough new penetration, new content in '16 coming online that we ought to be able to be all right regardless of pending any sort of major crash, which I don't anybody thinks is going to happen. I think we're in pretty good position in '16."
