"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Operator","Welcome to the Marathon Petroleum Corporation Fourth Quarter 2015 Earnings Conference Call. My name is Katie, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded.I would now like to tu",56,"Welcome to the Marathon Petroleum Corporation Fourth Quarter 2015 Earnings Conference Call. My name is Katie, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded.
I would now like to turn the call over to Lisa Wilson, Director of Investor Relations. Ms. Wilson, please go ahead."
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Executives","Thank you, Katie. Welcome to Marathon Petroleum's Fourth Quarter 2015 Earnings Webcast and Conference Call. The synchronized slides that accompany this call can be found at our website at marathonpetroleum.com, under the Investor Center tab.On the call",137,"Thank you, Katie. Welcome to Marathon Petroleum's Fourth Quarter 2015 Earnings Webcast and Conference Call. The synchronized slides that accompany this call can be found at our website at marathonpetroleum.com, under the Investor Center tab.
On the call today are Gary Heminger, President and CEO; Tim Griffith, Senior Vice President and Chief Financial Officer and other members of MPC's executive team.
We invite you to read the safe harbor statements on Slide 2. As a reminder that we will be making forward-looking statements during the call and during the question-and-answer session. Actual results may differ materially from what we expect today. Factors that could cause actual results to differ are included there as well as in our filings with the SEC.
Now, I will turn the call over to Gary Heminger for opening remarks and highlights. Gary?"
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Executives","Thanks, Lisa, and good morning to everyone. Before I begin, I want to take the opportunity to introduce Lisa Wilson, our new Director of Investor Relations. Lisa is replacing Geri Ewing who is transferring to our finance department. Lisa has nearly 25 yea",1323,"Thanks, Lisa, and good morning to everyone. Before I begin, I want to take the opportunity to introduce Lisa Wilson, our new Director of Investor Relations. Lisa is replacing Geri Ewing who is transferring to our finance department. Lisa has nearly 25 years of experience for the company, with most recently our director financial services and insurance.
We are pleased to report fourth quarter 2015 earnings of $187 million, ending a strong year with $2.85 billion in earnings. These results include a $370 million pretax charge to value our inventory at lower cost to market. We remained very encouraged by the environment for U.S. refiners and we're pleased to see resilient supported by attractive product price realizations and continued strong gasoline demand in the fourth quarter. We believe lower prices at the pump will remain constructive for retail demand as we move through 2016.
Crude oil prices continued to see pressure with the lifting of the Iranian sanctions, resiliency of domestic producers and sentiment in the market. Crude differentials have been and will likely remain volatile.
WTI has traded at parity, and in fact, higher than Brent recently, and we expect this trading pattern could continue in the near term. However, longer-term, we believe it will revert back to a differential based on product quality and transportation cost between the grades.
We believe more favorable sweet sour spread will continue to exist and had benefit MPC's complex refinery configuration in the Midwest and Gulf Coast.
In December, the South Texas Extension Pipeline, or SAX, came online provided increased logistics flexibility in crude optionality, allowing us to more cost-effectively move Bakken and Canadian crudes into our Midwest refineries.
SAX allows MPC to access additional advantage crudes and adjust our slate based on the best economics. Speedway continued its solid performance during the fourth quarter, finishing the year with nearly $1 billion of EBITDA.
I want to recognize Tony Kenney and his team's efforts in completing the planned conversions of our East Coast and Southeast retail locations to the Speedway brand well ahead of schedule. The team's aggressive execution strategy facilitated the realization of these synergies from these locations much sooner than anticipated and beyond our original projections.
The acquisition of these high-quality assets has been a tremendous value driver and has exceeded our expectations in virtually every area. In addition to our strong financial and operational results in 2015, we also made tremendous progress in our strategic objectives of growing the more stable cash flow segments of our business and enhancing our refining margins. An example of enhancing our refining margins is a condensate split that came online in 2015 at our refinery, which allows the refinery to process condensate produced in the region and thus improve its realized margins. 
Completion of the MPLX and MarkWest merger in early December was a significant accomplishment in the company strategy. Through this combination, we have created a diversified, large-cap MLP that positions the partnership as a midstream leader with compelling long-term growth opportunities.
We continued to believe MPLs have create substantial value to MPC shareholders through its general partner interest and associated incentive distribution rights and we are eager to develop the numerous commercial synergies available to the combined partnership.
I would also like to comment on our long-term commitment to returning capital to shareholders. Through share buyback programs and dividends, we returned a total of $1.6 billion of capital to shareholders in 2015, included $362 million during the fourth quarter.
Delivering attractive capital returns to our shareholders continues to be an instrumental part of our strategy. To year end 2015, we have purchased over $7 billion of MPC common stock or approximately 28% of the shares that were outstanding when we became a standalone company. Our approach for the allocation of capital continues to be balanced and long-term in nature, taking into consideration the requirements of the business, returns to our shareholders and our overall capital structure.
As a result, we may increase or decrease the amount of share repurchase activity in any given year based on these variables. Through disciplined strategic investments in our business, and returning capital to shareholders, we remained focused on the long-term value proposition for our investors. This discipline and prudent approach carries over to our sponsorship of MPLX. As we evaluate the continued decline in commodity prices, and the market's increasing belief that these price conditions will persist for some period of time, MPLX' producer customers are directly impacted. While MPLX' producers are in some of the best areas and continues to manage their capital and production clients very carefully, changes in volume growth will continue to impact the income growth for the partnership. At the same time, valuations within the MLP space, including MPLX, had been severely impacted, resulting in yield levels that are substantially higher than what we anticipated at the time of the merger, even with the strong support we expect to continue to make available through the partnership. These factors contributed to MPLX' decision to provide new distribution growth guidance.
Current market [indiscernible] to an expected 12% to 15% distribution growth rate for 2016, revised from prior 25%. Even with this change, MPLX' distribution growth continues to be among the highest for large-cap diversified MLPs. We are asked at our Investor Day meeting that there's a tipping point as to when higher growth guidance will not make sense. I share then that if conditions did not improve in MPLX' valuation and resulting yield, we would likely revisit the growth outlook for the partnership. 
Based on the continued deterioration we have seen since then, we have reached that point and this change in distribution growth is necessary. The commodity and equity market conditions we are now experiencing could be temporary and we will assess the growth path for 2017 later this year, providing guidance around the partnership's distribution growth capabilities at that time. We will take into consideration the capital allocation of these both MPC and MPLX but expect to continue providing support to the partnership as it navigates through this challenging environment.
In support of MPLX' 2016 growth plans, MPC offered to contribute its marine Business from MPLX at what we believe will be supported value and we anticipate receiving MPLX equity in exchange for these assets. The transaction is expected to close in the second quarter of 2016, pending requisite approvals.
This drop-down of additional logistics assets through the partnership further diversifies its high-quality earnings stream and underscores our flexibility -- our sponsorship at MPLX.
MPC is focused on strengthening the earnings power of all aspects of its business, with the expanded margin enhancing investments across the enterprise. We recently announced plans to invest $2 billion to the Galveston Bay refinery over the next 5 years and investment program referred to as the South Texas Asset Repositioning program, or STAR. The investments planned as part of the STAR program, of which approximately $150 million will be spent in 2016, are intended to increase production of higher value products and improve the facility's reliability as well as increase processing capacity. These high return investments will fully integrate our Galveston Bay refinery with our Texas City refinery, making it the second-largest refinery in the U.S.
We expect a rapid payback on the states investment plan for the STAR program, including an earning stream in 2016. By using the flexibility inherent in our refining system and optimizing our logistics and transportation network, we are able to react quickly to changing crude oil and refined product market conditions, maximizing our profitability.
In addition, as our downstream earnings demonstrate, our business produces strong results in a wide variety of commodity price environments. We remained optimistic on the long-term prospects for our business and continued to believe returns will be compelling, including our sponsorship and GP interest in MPLX.
With that, let me turn the call over to Tim to walk through the financial results for the fourth quarter. Tim?"
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Executives","Thanks, Gary. Slide 4 provides earnings growth on an absolute and tertiary basis for the fourth quarter and full-year of 2015. Earnings $187 million or $0.35 per diluted share during the fourth quarter compared to $798 million or $1.43 diluted share in la",1973,"Thanks, Gary. Slide 4 provides earnings growth on an absolute and tertiary basis for the fourth quarter and full-year of 2015. Earnings $187 million or $0.35 per diluted share during the fourth quarter compared to $798 million or $1.43 diluted share in last year's fourth quarter.
For the full year 2015, our earnings were almost $2.9 billion or $5.26 per diluted share compared to 2014 earnings of $2.5 billion or $4.39 per diluted share.
Chart on Slide 5 shows, by segment, the change in earnings from the fourth quarter last year to the fourth quarter of 2015. As Gary mentioned, the earnings were impacted during the quarter by a $370 million accrued tax charge to adjusted inventories to market values. $345 million of this charge is included in the Refining & Marketing segment and $25 million is reflected in [indiscernible] segment.
After adjusting for the charge, earnings were down $374 million versus fourth quarter last year, largely attributable to our refining market -- Refining & Marketing and Speedway segments, partially offset by lower income taxes associated with the lower earnings. I'll talk about each of these segments and the changes compared to the prior period shortly.
Results for the quarter also included income from MarkWest since the December 4 merger date with MPLX, which is included in the renamed midstream segment, previously known as Pipeline Transportation, and we'll continue to consolidate MPLX for reporting purposes.
Turning to Slide 6, Refining & Marketing segment income from operations was $207 million in the fourth quarter compared to just over $1 billion for the fourth quarter of last year. The decrease was primarily due to less favorable crude oil and feedstock acquisition costs relative to our market indicators, largely resulting from narrow crude differentials and lower dollar-based refinery volumetric gains resulting from overall lower refined product prices.
In addition, the fourth quarter of 2015 reflected an unfavorable LIFO accounting effect of approximately $45 million as compared to a favorable effect of approximately $240 million in the fourth quarter of last year. All these unfavorable impacts are included in the $784 million other gross margin step on the slide.
In addition, segment results were negatively impacted in the quarter by the $345 million LCM charge I just mentioned, which is broken out separately here. The unfavorable impact on segment income were partially offset by higher LLS spreads in Chicago and the Gulf coast, favorable market structure and improvement in the sweet/sour differential in the quarter, along with slightly higher sour runs.
The blended crack was 6 65 per barrel in the fourth quarter 2015 compared to 5 42 per barrel in the fourth quarter of '14. You may recall the crack spreads we provided in our market metrics on our website are product and crude prices. The price we actually paid for crude on the other hand is established over the calendar month that we processed the crude, but takes no account the market structure. The contango effect is reflected $192 million favorable difference reflected as market structure on the walk and relates to this difference between the top crude prices we used for market metrics in the actual crude acquisition cost.
Slide 7 provides the drivers for the change in Refining & Marketing segment income on a year-over-year basis. Refining & Marketing segment income from operations is nearly $4.2 billion for the full year of 2015 compared to $3.6 billion in 2014. The LLS 6-3-2-1 blended crack spread had a $1.3 billion favorable impact on full-year earnings, the Chicago cracks, $1.11 per barrel better than '15 and Gulf Coast cracks $1.88 per barrel higher.
Based on our estimated mix of 38% Chicago and 62% Gulf Coast, which resulted in the blended crack spread of $9.70 per barrel or about $1.59 better than 2014. In addition, favorable market structure, more favorable product price realizations and lower direct operating costs driven primarily by lower turnaround activity and lower purchase energy cost, had positive impacts on earnings year-over-year. This positive impacts on earnings were partially offset by less favorable crude oil and feedstock acquisition costs relative to our market indicators, largely resulting from narrow crude differentials and lower refinery volumetric gains.
In addition, the LCM and LIFO accounting impacts I described earlier also impacted 2015 full-year earnings. The impact of more favorable product price realizations, less favorable crude oil and feedstock acquisition costs relative to market indicators, lower volumetric gains and the unfavorable LIFO impact are all reflected in the $1.5 billion of other gross margin in the graph.
Other Refining & Marketing segments net expenses increased $396 million compared to 2014 as a result of a number of items, including higher terminal and transportation cost and lower equity affiliated income.
Slide 8 shows the Speedway segment earnings both for the fourth quarter and full-year. Speedway's income from operations was $135 million in the fourth quarter of 2015 compared to fourth quarter 2014 record quarterly income of $273 million. Lower gasoline and distillate margins were significant changes in the quarter-over-quarter comparison, decreasing segment income by $93 million. Gasoline and distillate margins averaged 18.23 cents per gallon in the fourth quarter of 2015 compared to 24.51 cents in the fourth quarter of 2014. The non-cash LCM charge of $25 million and higher operating expenses also had negative impacts on segment income compared to the fourth quarter of 2014.
These unfavorable impact in the income were partially offset by higher merchandise margin, which increased from $324 million in the fourth quarter of 2014 to $340 million in the fourth quarter of 2015. The $16 million is a result of higher overall merchandise sales in addition to higher margins on those sales.
On a same-store basis, gasoline sales volumes were essentially flat, decreasing 3 tenths of a percent and merchandise sales, excluding cigarettes, decreased 2.7% in the fourth quarter of 2015 compared with 2014. Speedway same-store gasoline sales growth was lower than estimated U.S. demand growth, as we continue to strive to optimize total gasoline contribution between volume and margin to ensure fuel margins remain adequate.
In January 2016, we've seen a slight increase in demand within approximately 1% increase in same-store gasoline sales volume versus the prior year, impacted to some extent by the winter storms in the east in the last few weeks.
Speedway's income from operations for full-year 2015 was $673 million compared with $544 million for 2014. Results for 2015 include a full year of income from the operations acquired from Hess, we have 2014 results only include income form those locations in the fourth quarter.
Gasoline and distillate margins increased $401 million from 2014, primarily due to higher volumes resulting from additional locations acquired as well as higher margins. Gasoline and distillate margins were 18.23 cents per gallon in 2015 compared to 17.75 cents per gallon in 2014.
Speedway's merchandise margin increased $393 million to $1.4 billion in 2015, primarily due to the increase in the number of locations as well as higher margins on the merchandise sold. Partially offsetting increases in Speedway income from operations for the year were higher operating expenses, primarily attributed to increasing in the number of stores.
Turning to Slide 9. As I mentioned, we changed the name of the segment this quarter, instead of a Pipeline Transportation segment, we now report a midstream segment, which continues to include 100% of MPLX' results, including income contributed by MarkWest since the December 4 merger. The addition of MarkWest is the only change to what's included in this segment.
Midstream segment income was $71 million and $289 million for the fourth quarter and full-year 2015 compared with $58 million and $280 million for the comparable period in 2014. The decrease for the quarter was primarily due to the inclusion of MarkWest from the December 4 merger date and higher income from our pipeline affiliates, partially offset by $26 million of transaction costs associated with the merger.
The increase for the full year was primarily due to the MarkWest merger and higher transportation revenue resulting from higher average pipeline tariff rates. These favorable impacts were partially offset by $30 million of transaction costs associated with the merger and higher pipeline operating expenses.
Slide 10 presents the significant drivers of changes in our cash flow for the fourth quarter of 2015. At December 31, our cash balance was $1.1 billion. Operating cash flow before changes to working capital was $1.2 billion source of cash. The $340 million use of working capital, noted on the slide, primarily relates to a $693 million decrease in accounts payable and accrued liabilities, partially offset by a $361 million decrease in accounts receivable. The decrease in accounts payable and accounts receivable were primarily due to the significant drop in crude and refined product prices during the quarter.
We completed a $1.5 billion public debt offering during the quarter, of which a little more than half was used to extinguish our obligation for the March 2016 3.5% notes. These new notes, net of some pay down on MPLX revolver resulted in the $655 million net source of financing cash shown in long term that year.
Cash flow is also impacted by the approximately $1.2 billion paid to former MarkWest unitholders as part of the transaction consideration during the quarter, which is shown separately on the graph.
As Gary highlighted, we continued delivering our commitment to balance investments in the business with return of capital to our shareholders. Returned a total of $362 million to shareholders in the fourth quarter, bringing the total for the year to $1.6 billion.
Turning to Slide 11. In the fourth quarter, we paid a $0.32 per share dividend, representing a 28% increase over the dividend paid during the same quarter last year. We've increased our dividend 5x since becoming a stand-alone company in mid-2011, resulting in a 29.5% compound annual growth rate in dividend. Our continued focus on growing regular quarterly dividend demonstrates our ongoing commitment to our shareholders to share in the success of the business, and we're pleased to affirm that commitment with a $0.32 per share dividend declared earlier this week.
Slide 12 provides an overview of our capitalization as of the end of the year. With just under $12 billion of total consolidated debt reflects the $6.7 billion of debt at MPC, plus the $5.3 billion of debt at MPLX, including the $4.1 billion of MarkWest notes assumed in the transaction.
Total debt to book capitalization was about 38% and represented a manageable 1.9x last 12 months consolidated EBITDA. Operating cash flow for the quarter was about $1.2 billion before reflecting the $342 million use of cash for working capital in the quarter.
Slide 13 provides a breakdown by segment of our 2015 capital expenditures and investments, excluding MPLX' acquisition of MarkWest, along with the revised capital plan for 2016.
In light of the challenging commodity price environment that Gary talked about, our focus will be to aggressively manage CapEx spending. As part of this process, MPLX lowered its 2016 capital plan from an estimated $1.7 billion to a range of $1 billion to $1.5 billion. The midpoint of the revised range represents a decrease of approximately $450 million from the previous forecast.
Throughout the course of '16, we'll continue to evaluate our capital program carefully and identify further opportunities to reduce or defer investments where appropriate, given the cash and capital constraints of the business.
Slide 14 provides updated outlook information on key operating metrics for MPC for the first quarter of 2016. We're expecting first quarter throughput volumes of 1.7 million barrels per day, which are lower than fourth quarter 2015 volumes due to more planned maintenance this quarter. Our projected first quarter corporate and other unallocated items are expected to be about $85 million for the first quarter.
With that, let me turn the call back over to Lisa. Lisa?"
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Executives","Thanks, Tim. [Operator Instructions] With that, we will now open the call to questions. Katie?",15,"Thanks, Tim. [Operator Instructions] With that, we will now open the call to questions. Katie?"
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Operator","[Operator Instructions] And our first question comes from Ed Westlake from Crédit Suisse.",13,"[Operator Instructions] And our first question comes from Ed Westlake from Crédit Suisse."
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Analysts","I think a lot of focus is going to be on capital allocation, so I'll kick off from that, talk about midstream CapEx, can you give a little bit of guidance as to what of the program And how the program might evolve into '17, for example, if commodity price",57,"I think a lot of focus is going to be on capital allocation, so I'll kick off from that, talk about midstream CapEx, can you give a little bit of guidance as to what of the program And how the program might evolve into '17, for example, if commodity prices stay low? And I have a follow-on."
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Executives","Don, can you handle that please.",6,"Don, can you handle that please."
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Executives","Sure. Ed, this is Don. A majority of the decline in that CapEx forecast is around the money we were going to spend in Utica and Marcellus. So you will recall that our original forecast was around $1.7 billion. And on the legacy MPLX side of the business,",123,"Sure. Ed, this is Don. A majority of the decline in that CapEx forecast is around the money we were going to spend in Utica and Marcellus. So you will recall that our original forecast was around $1.7 billion. And on the legacy MPLX side of the business, that money was going to be spent on cornerstone and modest and butane and a couple of those projects that are continuing on. The remainder was with respect to our GMP segment and a lot of that spending is going to be matched consistent with our adjusted just-in-time capital spending program to be able to meet or produce our customer's demand but not to deploy the capital in advance of their demands or their needs."
118315802,320688602,925497,"Marathon Petroleum Corporation, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Marathon Petroleum Corporation","Analysts","And then the follow on the still on capital. Folks worry about a recession, people have many different views on that, but you've got -- you revised capital down to 3.7, if you did have a period where the market was stressed and you had to cut CapEx even f",70,"And then the follow on the still on capital. Folks worry about a recession, people have many different views on that, but you've got -- you revised capital down to 3.7, if you did have a period where the market was stressed and you had to cut CapEx even further, maybe just talk a little bit through the flexibility that you have in the capital program to manage a downturn?"
