"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Operator","Good afternoon, ladies and gentlemen, and welcome to the Murphy Oil Corporation Fourth Quarter 2015 Earnings Call. Today's conference is being recorded. I would now like to turn the conference over to Kelly Whitley, Vice President of Investor Relations. P",42,"Good afternoon, ladies and gentlemen, and welcome to the Murphy Oil Corporation Fourth Quarter 2015 Earnings Call. Today's conference is being recorded. I would now like to turn the conference over to Kelly Whitley, Vice President of Investor Relations. Please go ahead."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Executives","Good afternoon, everyone, and thank you for joining us on our call today. With me are Roger Jenkins, President and Chief Executive Officer; John Eckart, Executive Vice President and Chief Financial Officer; Gene Coleman, Executive Vice President, Offshore",255,"Good afternoon, everyone, and thank you for joining us on our call today. With me are Roger Jenkins, President and Chief Executive Officer; John Eckart, Executive Vice President and Chief Financial Officer; Gene Coleman, Executive Vice President, Offshore; and Mike McFadyen, Executive Vice President, Onshore. Please refer to the informational slides that we have placed on the Investor Relations section of our website as you follow along with your webcast today. 
Today's prepared comments will be a little bit longer than usual so that we can give you more color on our recently announced joint venture. John will begin by providing a review of the fourth quarter financial results and key year-end balance sheet position. Roger will then follow with an operational update as well as more details regarding the Montney Midstream monetization and Duvernay Montney joint venture opportunity we just announced. We will end the call with a question-and-answer period. 
Please keep in mind that some of the comments made during this call will be considered forward-looking statements as defined in the Private Securities Litigation Reform Act of 1995. As such, no assurances can be given that these events will occur or that the projections will be attained. A variety of factors exist that may cause actual results to differ. For further discussions of risk factors, see Murphy's 2014 annual report on the Form 10-K on file with the SEC. Murphy makes no duty to publicly update or revise any forward-looking statements. 
I will now turn the call over to John for his comments."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Executives","Thank you, Kelly, and good afternoon to everyone. Consolidated results in the fourth quarter of 2015 were a loss of $587 million, that's $3.41 per diluted share, and that compares to a profit of $375 million or $2.11 per diluted share a year ago. Excludin",666,"Thank you, Kelly, and good afternoon to everyone. Consolidated results in the fourth quarter of 2015 were a loss of $587 million, that's $3.41 per diluted share, and that compares to a profit of $375 million or $2.11 per diluted share a year ago. Excluding discontinued operations, continuing operations had a loss of $583 million in the fourth quarter of '15, $3.39 per diluted share, and that compares to the fourth quarter '14 of $442 million profit, $2.48, per diluted share a year ago. The fourth quarter results for 2015 from continuing operations included noncash property impairments of $192.2 million, which after taxes amounted to $123.5 million charge. These impairments were attributable to a decline in future periods oil prices and primarily were related to an oil and gas property in the Deepwater Gulf of Mexico. The just completed quarter also included an after-tax expense of $183.3 million to reflect the cost to exit 2 Deepwater drilling rig contracts in the Gulf of Mexico. We chose to stack these rigs as low oil prices led to significant reductions in our capital expenditure program in the Gulf of Mexico, and the company was no longer able to obtain partner support for U.S. Deepwater drilling as these partners are experiencing significant capital constraints. 
Murphy also recorded a U.S. income tax charge of $188.5 million in the fourth quarter due to U.S. taxable income generated foreign dividend declared in December. The company had previously recorded U.S. income tax benefits earlier in 2015 associated with an anticipated U.S. operating loss carryforward prior to our decision to make this foreign distribution to the parent. The foreign distribution was made through a combination of $800 million in cash and the remainder in the form of a 10-year note. This distribution effectively was cash tax neutral in 2015 due to operating losses and availability of foreign tax credits. This U.S. tax charge was recorded in the company's corporate reporting area, which led to a higher corporate net cost overall in the 2015 quarter compared to the prior year. 
Let me speak about adjusted earnings. These adjusted earnings adjust our GAAP numbers for various items that affect comparability of earnings between periods. And this adjusted earnings was a loss of $130.5 million in the fourth quarter of 2015, down from a profit of $69 million a year ago. This decline in adjusted earnings was primarily attributable to lower oil and natural gas sales prices in the current period. Our schedule of adjusted earnings is included as part of our earnings release and the amounts in this schedule are reported on an after-tax basis. 
The company's average realized price for its crude oil production fell more than $28 per barrel in the fourth quarter compared to the prior year which amounted to a 40% drop between periods. Natural gas prices also were weaker in the fourth quarter compared to the prior-year quarter. 
Realized oil index natural gas process offshore Sarawak fell 31% to an average of $3.81 per Mcf following the decline in global crude oil prices. Sales prices continue to be soft in January and, therefore, revenues continue to be under pressure as quarter 1 2016 prices remain significantly below prices a year ago. As a reminder, however, the company has oil price hedges for 20,000 barrels per day at a WTI price of $52.01 for the remainder of 2016.
At December 31, 2015, Murphy's long-term debt amounted to slightly more than $3 billion, which represented 36.4% of total capital employed, while net debt amounted to 32.8%. As of year end, we had $600 million borrowed under our $2 billion revolver. Plus we had a total of cash and invested cash for about $450 million worldwide. Murphy sold debt covenant is a total debt to total capital ratio of 60%, which obviously were well below. I believe we have adequate liquidity to weather the lower for longer oil price environment currently being experienced. 
That concludes my comments, and I'll pass it now to Roger."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Executives","Thank you, John. Good afternoon, everybody, and thanks for listening to our call today. Our company remains focused on balance sheet metrics as the entire industry experiences further commodity price drops. But this focus comes in extensive drop in capita",2104,"Thank you, John. Good afternoon, everybody, and thanks for listening to our call today. Our company remains focused on balance sheet metrics as the entire industry experiences further commodity price drops. But this focus comes in extensive drop in capital spending; however, Murphy intends to be in the business for the long haul and is evidenced with news of our 2 purchase and sales agreements we released yesterday when closed will allow Murphy to sell the natural gas midstream business and use a portion of the proceeds to purchase a long-term asset that deliver value to shareholders say, especially in a price recovery. 
Looking back at operations over the course of the year, the following highlights stand out. We spent $2.2 billion in capital, which is 42% down from the prior year, while still growing production with the prior year when factoring in the 30% fell down in Malaysia. 
On the coal side, we made significant improvements in reducing both operating and G&A expenses. We lowered our operating costs excluding Syncrude by $1.82 per BOE to $9.21 per BOE or 17% over the course of 2015 and lowered our G&A expenses by over $57 million or 16% compared to 2014 levels. 
In our onshore business, the Eagle Ford Shale continues to outperform expectations, where we averaged just over 57,000 barrel equivalents per day for the year, delivering a frontloaded schedule of 136 new wells, of which 27 were in the fourth quarter. We drilled our first thousand well in Orange County, achieving a very successful IP 30 flow rate of 1,500 barrels equivalent per day. We're planning on doing our second [indiscernible] well in the first quarter of 2016. 
In Canada, our recently completed wells in the Montney continue to produce above plan where we averaged 194 million cubic feet per day for the year. 
In the Gulf of Mexico, the Dalmatian South 2 well which was drilled in the third quarter achieved first production ahead of plan late in 2015, the world's currently facility. 
Development work continues at the nonoperated Kodiak project where the first 2 wells will flow in the coming days. 
In Malaysia, fourth quarter Sarawak natural gas production is over 134 million per day net and oil production was over 14,000 barrels a day. Full year production for Malaysia was over 65,200-barrel equivalents per day. 
We are seeing continued drilling success at our South axis drill in Sarawak where we announced the Sergeant volumes double. In addition, we drilled the Keratau well offshore Brunei, finding commercial natural gas that were in line with pre drill estimates adding to our resources in the field. 
On the fourth quarter, production was just over 200,700 barrel equivalents per day and a full-year for the year, we produced close to 208,000 barrel equivalents per day.
We are pleased with the ongoing efforts we're making on cost reductions. Our LOE for quarter 4 2015, excluding Syncrude, is 8 25 per BOE, showing a reduction of 19% from the fourth quarter of '14. This is in line with the 17% reduction for full-year 2014 on LOE. 
In Eagle Ford Shale, our fourth quarter operating expenses just under 8 50 per BOE, and we expect this to be a reasonable runway going forward. 
In 2015, we produced over 207 barrel of oil equivalent per day, our strong production variance over the course of the year is attributable to Sarawak oil and natural gas fields is performing better. The Eagle Ford Shale, new well volumes exceeding plan due to EUR increases and completion performance and how our natural gas production from the Montney. 
More importantly, we spent $2.19 billion as compared to our original CapEx plan of $2.3 billion. Even with the significant reduction in capital for 2015, we grew annual production by 3%. 
In 2015, based on preliminary data, we expect to add reserves at a replacement rate of 123% for the funding and development costs of $18.70 per BOE. Year end 2015 reserve volumes represented Reserve Life Index of 10.2 years, an increase from 9.2 years from a year ago. This is consistent with our five-year average reserve replacement rate greater than 180% and is our 10th consecutive year over 100%. During the same time frame, we have more than doubled our production, including the sell down of our Malaysia assets. 
The capital program for 2016 is currently $825 million, which is approximately 62% lower than $2.19 billion we invested in 2015. We expect production for full-year to be 180,000 to 185,000 barrel equivalents per day, which is lower than 2015 due to significant CapEx cuts. As common in our industry, the capital program still remains in review for further reductions as commodity prices persist.
Moving on to the subsequent year events, as you've heard in our news release last night, we signed 2 purchase and sale agreements announcing the monetization of our midstream Montney and the joint venture of the Kaybob Duvernay and liquids rich Montney on the area. We signed a definitive agreement with Enbridge to divest our natural gas processing sales pipeline assets that support our Montney natural gas field in topper and upper West. The cash consideration is expected to be CAD 538 million and expected to be closed early in the second quarter. 
In a separate but related transaction, we signed a definitive agreement for a joint venture with Athabasca Oil Corporation to acquire 70% operated working interest in Athabasca's acreage infrastructure and facilities in the Kaybob Duvernay lands and a 30% nonoperated working interest in the liquids rich Montney. The total consideration is CAD 475 million, of which CAD 250 million is in cash at closing and the remaining CAD 225 million is a carry for a period up to 5 years. 
In the Kaybob Duvernay, there were 230,000 gross acres, 200,000 currently perspective that are currently producing 6,900-barrel equivalent gross per day of production, of which 58% is liquids. This area also includes 247,000 gross acres with over rights in the conventional Montney. 
In the liquids rich Montney area, there are 60,000 gross acres, 21,000 currently perspective that are currently producing 900-barrel equivalent a day gross at 44% liquids. 
Very excited to enter to the Kaybob Duvernay and liquid rich Montney that complements our current onshore North America and resources, fits well with our in-house expertise and will be our third significant North American unconventional position. The CAD 225 million carry in Long Beach term associated with the Kaybob Duvernay is flexible over 5 years, which is key in this period of low commodity prices where we are able to control the pace of spend. We're allocating partial proceeds from our Montney midstream monetization into this project sufficient use of capital that has a positive impact to cash on hand for our balance sheet this year as well as use of Canadian funds in Canada in a tax efficient manner and enter a project that's expected to be self funding within Canada over the life of the period. 
The primary markable product hearing is realized will be produced condensate, which is used for oil Sands vitamin production and transport. The Western Canadian oil Sands project along been demonstrated record of production resiliency that will continue to generate demand well in the excess of regional supply results in the relative price stability for the foreseeable future. Our joint venture has oil battery capacity of 30,000 barrels today of oil and gas pipeline with over 100 million [indiscernible] per day of capacity.
The Kaybob Duvernay is an emerging play and has 3 same segments seen in the Eagle Ford Shale, natural gas, gas condensate and light oil. The gas condensate area is including several prolific wells of late in the light oil area that we now have a significant position in is in the early stages of development. We are seeing all signs of the shale place success with increasing EURs, improving completion techniques as well as lowering the drilling and completion costs. We feel that with 3 to 4 wells per section, we will have over 500 gross locations in the play and this number will greatly increase should downspacing opportunities exist here as seen in other successful North American plays. 
We are seeing many successful wells across the play now approaching 30 test centers [indiscernible] over 2,000-barrel equivalent per day with yields ranging from 200 to 950 barrel per million and a clear indicator of the oil-rich nature of this basin. 
The Duvernay areas have been heavily drilled for other types of plays through the years in the basin which leads to thousands of penetrations and knowledge of the shale characteristics. Additionally, we have a black hole area in the play, again matching success seen in the Eagle Ford Shale area.
Our new joint venture partner, Athabasca, has been successful in the play with the results the condensate region and most importantly, in the light oil area of the play. Athabasca's recently released information about our key oil and the gas condensate light oil area that's flowed 1,300-barrel equivalents per day with 62% liquids. This appears to be a very good well by any measure. 
As in any shale play, the optimization of the fracture treatments are key to the learning curve in the light higher prop and concentrations have used in the region. This slide highlights the increase in EUR seen that data up to 2 years in duration illustrating recent higher treatments consistent EUR levels. Some wells are announcing above the 1,000 -- 1 million, rather, barrel type curve. This will shown here in the condensate window are now partnered in the 33,000 acres with a 70% working interest. We've seen the same well performance with higher stimulation treatments in the Duvernay light oil area as well as where we are working a 7% working interest with our partner in 67,000 acres. We believe there's significant upside in the black hole area where our partnership has 110,000 gross acres. Current data showing high prop content at the 607 -- 670,000-barrel equivalent EUR level. 
Our joint venture also includes our liquids rich Montney, which is among the top active plays in Canada. We participate here in the nonop 30% working interest. The region has a minimum of 30% of the flow stream containing liquids, similar to the condensate in light oil areas. The results in the liquid rich area are also shown increasingly EURs completion enhancements and the lowering of cost with 750,000-barrel equivalent EURs seen in the data set. This area has significant running room in the range of 100 to 200 locations with downspacing. We see a tightening leased up area around our newer acreage with many no North American shale players. Rates here are also prolific in the range of 800 barrel equivalents with high liquid yields.
Like all major shale plays in North America, the key economic drivers is lowering the drilling and completion cost while simultaneously improving the completion techniques for each area. We are seeing the early stages of a major improvement in cost per region and our expertise in 2 other plays where we are top quartile drilling and completion company will enhance our ability to quickly move up the learning curve here. Our partner Athabasca is active in the cost reduction business, and we will be able to quickly adapt to the area where they have recently seen incredible improvements as we see great upside in lowering cost from the current CAD 9.4 million per well don to CAD 6.5 million per well. Athabasca has recently seen wells being drilled for as low as CAD 3.25 million, which is an outstanding performance. 
As I close our call today, if you a few takeaways we are focusing on our balance sheet at Murphy. The purchase and sale agreements to monetize our natural gas midstream and use a portion of proceeds whether new onshore oil conventionally shale play that allows for balance sheet neutrality with a 5-year carrying liquidity this year for our cash positions. We see this venture as an investment to the long term with total spend flexibility over a five-year period as we anticipate a price recovery. Cost reductions will continue to be our focus. Our Eagle Ford Shale continues to perform very well for us. The budget reductions will lead to a very limited exploration spend this year. We continue to illustrate the execution advantages we have in the offshore. We had an excellent year operationally in our company with the reserve additions, significant capital reductions and lowering costs leading the way. 
I would now like to open the phone lines up for your questions, and thank you."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Operator","[Operator Instructions] And we'll take our first question from Roger Read, Wells Fargo.",13,"[Operator Instructions] And we'll take our first question from Roger Read, Wells Fargo."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Analysts","Can we talk about the acquisition. I mean, I know the sell down in Malaysia, a little over a year ago, I think that's right, yes, or at least the announcement. Then the talk of a transformative acquisition. Is this one of those transformative acquisitions",63,"Can we talk about the acquisition. I mean, I know the sell down in Malaysia, a little over a year ago, I think that's right, yes, or at least the announcement. Then the talk of a transformative acquisition. Is this one of those transformative acquisitions? Or should we still consider something in the lower 48 is still more likely and still desirable opportunity?"
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Executives","No. I think of it as transformative for us. I mean, it's got all of the things we're looking for today. It's very rare to get into M&A in North America and have flexibility in the first year of capital spend and have no continuous drilling causes, be able",243,"No. I think of it as transformative for us. I mean, it's got all of the things we're looking for today. It's very rare to get into M&A in North America and have flexibility in the first year of capital spend and have no continuous drilling causes, be able to drag out the carryover a very long period of time and a very low oil price. I've said for a long time that I would like a 10% cost of capital type return at a strip price. And with the drilling costs we are seeing here, we are able to do that here, even on strip that we used on January 19, which is probably $4 behind where we are today. So I see this as transformative as far as Roger, honestly, because it has a 200 million, 300 million barrel ability for us. It's pretty low cost entry. It's different from buying a company that's flipping acres because we have a partner that's working there and has drilled there, has infrastructure there, and we're able to work with them and take over as the operator. They're able to operate a piece where they've been very successful. It's in Canada. We'll have Canadian proceeds. There's a low 4x right now for this transaction. Where the U.S. the equivalent of that would not get you at least to get you here in the United States. And all of those factors led to this decision."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Analysts","Okay. That's great. And then as you think about lower 48, are there still opportunities? Are we still too far apart on the bid ask spread? Just curious any update you would have on what you're seeing there.",38,"Okay. That's great. And then as you think about lower 48, are there still opportunities? Are we still too far apart on the bid ask spread? Just curious any update you would have on what you're seeing there."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Executives","No, I mean, we look at many opportunities. I do the same thing, whether its offshore or in the Permian or in the Eagle Ford or whatever. We look at the rate of return we get at strip prices and with cost and how will it flex our balance sheet and how we h",183,"No, I mean, we look at many opportunities. I do the same thing, whether its offshore or in the Permian or in the Eagle Ford or whatever. We look at the rate of return we get at strip prices and with cost and how will it flex our balance sheet and how we have to drill so much capital and hurt our balance sheet further, and that's come up as a venue factor in the M&A analysis that we had from a year ago. And that's just as important now. The balance sheet of how one of these projects would impact you is anything for me now. So we saw the return to a very similar to a project where we working in the lower 48 but we ended up with a project in the lower 48, totally downspaced, every zone working, at the same rate of return as one in Canada where we have no downspacing at all, built-in partner, 5-year lease program, five-year carry period and just every advantage to me in $30 oil that don't have down here right now."
290060,322153426,922640,"Murphy Oil Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Murphy Oil Corporation","Analysts","Okay. Great. And last question I'll ask on the acquisition front. You've always talked about you wanted to use cash or debt. Obviously, now debt is a little more questionable as an opportunity for a whole host of reasons. Would you, at all, consider issui",72,"Okay. Great. And last question I'll ask on the acquisition front. You've always talked about you wanted to use cash or debt. Obviously, now debt is a little more questionable as an opportunity for a whole host of reasons. Would you, at all, consider issuing equity? I know that's not something the company's historically done, but as you think about that cost of capital, does that factor in or not so much?"
