"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Operator","Good day, ladies and gentlemen, and welcome to Northrop Grumman's Fourth Quarter 2015 Conference Call. Today's call is being recorded. My name is Brent and I will be your operator today. [Operator Instructions] I would now like to turn the call over to yo",58,"Good day, ladies and gentlemen, and welcome to Northrop Grumman's Fourth Quarter 2015 Conference Call. Today's call is being recorded. My name is Brent and I will be your operator today. [Operator Instructions] I would now like to turn the call over to your host, Mr. Steve Movius, Treasurer and Vice President, Investor Relations. Mr. Movius, please proceed."
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Executives","Thanks, Brent, and welcome to Northrop Grumman's Fourth Quarter and Year-end 2015 Conference Call. We provided supplemental information in the form of a PowerPoint presentation that you can access on our website. First, a reminder that our 2015 financia",172,"Thanks, Brent, and welcome to Northrop Grumman's Fourth Quarter and Year-end 2015 Conference Call. We provided supplemental information in the form of a PowerPoint presentation that you can access on our website. 
First, a reminder that our 2015 financial results are reported in 4 sectors. Our new 3-sector configuration is effective as of January 1, 2016. We will be filing an 8-K in April, which will present historical financial information in our new sector structure. 
Also, please understand that matters discussed on today's call constitute forward-looking statements pursuant to Safe Harbor provisions of federal securities laws. Forward-looking statements involve risks and uncertainties, which are detailed in today's press release and our SEC filings. These risk factors may cause actual company results to differ materially.
Matters discussed on today's call may also include non-GAAP financial measures that are reconciled in the supplemental PowerPoint presentation. On the call today are Wes Bush, our Chairman, CEO and President; and Ken Bedingfield, our CFO. At this time, I'd like to turn the call over to Wes."
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Executives","Thanks, Steve. Hello, everyone. Thanks for joining us today. I want to start by congratulating the entire Northrop Grumman team on another outstanding year. In addition to excellent financial results, we took some major steps to position the company for t",1039,"Thanks, Steve. Hello, everyone. Thanks for joining us today. I want to start by congratulating the entire Northrop Grumman team on another outstanding year. In addition to excellent financial results, we took some major steps to position the company for the future. We look forward to building on 2015's successes as we continue our focus on performance, portfolio and capital deployment and as we take on new opportunities in 2016.
Strong operational performance and effective cash deployment supported another year of value creation for shareholders, customers and employees. Solid margin rates from all 4 of our businesses combined to generate a segment operating margin rate of 12.4% and earnings per share of $10.39, a 7% increase. 
Free cash flow before pension contributions was $2 billion, and we returned $3.8 billion to our shareholders. In total, we repurchased 19.3 million shares for $3.2 billion this year, reduced our weighted average share count by approximately 10% and completed our goal of retiring 60 million shares by the end of 2015. 
At year-end, $4.3 billion remained on our share repurchase authorization. Continued strong cash generation also supported our 12th consecutive annual dividend increase. We raised the quarterly dividend by 14% and paid shareholders $603 million in dividends in 2015. Total shareholder return for the year was slightly more than 30%.
The first priority of our capital deployment strategy is to invest in our businesses. 2015 capital spending totaled $471 million, and we increased our IRAD investment by 25% to $712 million or 3% of sales as we foresee significant opportunities ahead. 
In addition to strong financial results, we captured several important awards that position us well going forward. While LRSB was our most high-profile competitive win in 2015, we had several other key strategic awards. Global Hawk solidified its position as the nation's next-generation high-altitude ISR platform with a $3.2 billion ID/IQ award for development, modernization, retrofit and sustainment activities. Congressional notification was completed for Japan's purchase of Global Hawks. And we received $437 million in FMS contracts for E-2Ds for Japan. 
In the mid-altitude long endurance unmanned domain, we were selected for Phase 3 of TERN, which is a joint effort between DARPA and the Office of Naval Research to demonstrate a next-generation unmanned system for maritime ISR and strike from small deck naval vessels. This important win builds on the unique naval unmanned capabilities that we've demonstrated through programs like UCAS, Fire Scout and Triton. And as many of you know, UCAS demonstrated fully autonomous unmanned aerial refueling last year, building on prior milestones of autonomous unmanned aircraft carrier takeoffs and landings. 
Electronic Systems won important U.S. competitions like SEWIP Block 3 and CIRCM. Both wins demonstrate our success in expanding into market adjacencies. SEWIP represents our entry into next-generation sea-based electronic warfare, and CIRCM expands our infrared countermeasures presence into rotary-winged aircraft protection. These wins are domestic programs, but they have long-term potential for international sales. 
Also in Electronic Systems, SABR radars were selected for Taiwan's upgrade of its F-16 fleet. And we continue to work with Lockheed Martin on other international F-16 upgrade opportunities.
Information Systems won the Navy's award and will provide software programmable jammers to protect the war fighter from device-triggered IEDs. These systems will provide important capabilities to both the Navy and the Air Force. IS was also competitively awarded a 7-year ID/IQ contract by the U.K. government to develop and deliver cybersecurity solutions in support of data security and information assurance. 
And in Technical Services, Saudi Arabia awarded one of our joint ventures, which is consolidated by TS an approximately $950 million contract for the Ministry of National Guard training support. 
Year-end total backlog was $35.9 billion. New awards in 2015 totaled $21.3 billion. Book-to-bill was strong in IS, TS and ES. Awards in AS are generally lumpy and did not include LRS-B. And AS and ES awards did not include F-35 LRIPs 9 and 10 other than long lead items. 
We continue to capture international opportunities, and at year-end, international awards represented 16% of our total backlog. As we look ahead, we have more stability on the budget front and a better budget environment we've had in several years. The Bipartisan Budget Act passed in November raised the statutory limit on the debt ceiling until March 2017 and provided much-needed relief on the BCA sequester caps in fiscal years 2016 and 2017. 
The Consolidated Appropriations Act provided an increase in the procurement accounts and provides welcome funding stability for our customers. Our programs continue to be well supported, with a number of them receiving plus-ups [ph] While we have improved budgetary stability in FY 2016, the Department of Defense faces a shortfall in funding for fiscal 2017. We look forward to learning more about how this will be addressed when the DoD introduces its FY 2017 budget in the coming weeks.
Turning to guidance for 2016. We expect sales of $23.5 billion to $24 billion, with earnings per share of $9.90 to $10.20 and free cash flow of $1.5 billion to $1.8 billion after capital expenditures of $700 million to $1 billion. 
Our 2016 guidance is indicative of another year of strong operating performance. This year, we're beginning work on some major new development programs as we transition from a number of legacy production programs in aerospace and electronics systems to new production programs in aerospace and mission systems. 
And our restricted portfolio continues to grow, validating our technology leadership in several domains. I would note that our guidance assumes that the stop work order on LRS-B will be lifted in February, and that we will begin the ramp-up in performance on this program over the course of the year. 
So in summary, 2015 was an outstanding year for the company and for our shareholders. Going forward, our priorities remain the same: drive strong sustainable performance, generate strong cash and effectively deploy that cash and continue to optimize our portfolio to ensure our alignment with global security priorities. We continue to build on our solid track record, and we look forward to continued long-term sustainable value creation for our shareholders, customers and employees. 
So now I'll turn the call over to Ken for a more detailed discussion of results and our guidance. Ken?"
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Executives","Thanks, Wes, and good afternoon, everyone. I want to add my congratulations to our team on their continued outstanding work. Today, I'll briefly review 2015 results and then discuss our 2016 guidance. 2015 sales totaled $23.5 billion, slightly below our",1132,"Thanks, Wes, and good afternoon, everyone. I want to add my congratulations to our team on their continued outstanding work. Today, I'll briefly review 2015 results and then discuss our 2016 guidance. 
2015 sales totaled $23.5 billion, slightly below our expectations, primarily due to a reduction in lower-margin material sales at Information Systems, some of which slipped into 2016. International sales increased to 14% of sales in 2015, an increase of approximately 10% over 2014 even with negative foreign exchange impacts. We expect stable international sales in 2016 as our NATO AGS program ramps down and other international programs ramp up. However, we expect international opportunities to be an important source of growth for the company over the next several years. 
Our businesses performed well and ended the year with a 12.4% segment operating margin rate. Operating performance this year is comparable to last year, considering that 2014 margin included $75 million in legal settlements and about $45 million in nonrecurring HATFA benefit. The year-over-year trends reflect strong performance by all 4 sectors, with particularly strong performance by Information Systems where margin rate increased 70 basis points over last year. 
Total operating margin rate for 2015 was 13.1% comparable to 2014. Higher net FAS/CAS adjustment was offset by an increase in unallocated corporate expenses. You'll recall that last quarter, we mentioned fourth quarter unallocated corporate expenses would be higher than last year due to the adoption of a tax method change and other state tax items. We had strong full year EPS of $10.39, which includes the benefit of the R&D credit.
Turning to cash, 2015 was another good year both in absolute dollars and on a per share basis. Free cash flow before discretionary pension contributions totaled $2 billion, and we returned $3.8 billion or $19.75 per share to shareholders through repurchases and dividends so was an outstanding year in terms of creating value for our shareholders. Looking ahead to 2016, we expect consolidated sales of $23.5 billion to $24 billion, with a segment operating margin rate in the high 11% range.
Turning to sector guidance. We expect sales at Aerospace Systems to increase to the low $10 billion range. This reflects a low single-digit growth rate and includes higher volume for space and unmanned programs. In manned military aircraft, we will continue to see higher volume for programs like E-2D and F-35, which will be partially offset by lower volume for the F/A-18. 
Our 2016 revenue guidance for Aerospace Systems also contemplates modest LRS-B sales, assuming the customer issues a Notice to Proceed in February. It also assumes a gradual month-by-month step-up in headcount as engineering on the program gets underway. We expect a mid- to high 11% margin rate for Aerospace in 2016.
In addition to continued strong performance on our current portfolio of programs, our 2016 AS margin rate guidance reflects a booking rate approach on LRS-B that we believe is appropriate for the start of this incentive-based development contract. We will review our booking rate over time, including for potential increases as we work to retire risk and realize incentive fee milestones.
For Mission Systems, we expect 2016 revenue in the high $10 billion range, which is a stable top line. Our MS sales guidance includes international growth, modest declines in some mature production programs and some impact from in-theater force reductions. We expect MS operating margin rate in the mid- to high 12% range. 
For Technology Services, we expect sales in the mid-$4 billion range, with an operating margin rate of approximately 10%. Our 2016 sales guidance represents a low single-digit sales decline. Most of that decline is expected in our short cycle and services programs, including ICBM program rampdown. We expect the decline will be partially offset by international growth. Consolidated segment operating margin rate is expected to be in the high 11% range, reflecting a portfolio of changing business mix with less mature fixed price production revenue.
We expect our total operating margin rate will be approximately 12% after net FAS/CAS pension adjustment of $275 million and unallocated corporate expense of approximately $200 million. Based on 2015 return on plan assets of negative 1%, a discount rate of 4.53% and expected 2016 return on plan assets of 8%, 2016 FAS is estimated at $585 million and CAS at $860 million. 
For 2017 and 2018, we currently expect CAS expense of approximately 1.1 -- I'm sorry, approximately $1 billion and $1.1 billion for 2018. For FAS expense, we currently expect $470 million and $400 million for 2017 and 2018, respectively. 
And for your modeling purposes, holding all other assumptions constant, a 25 basis point change in the discount rate results in a change of approximately $70 million in FAS expense, and a 100 basis point change in plan asset returns versus our expected rate of return results in a $50 million change in FAS expense, while CAS is less sensitive to both. 
In aggregate on a GAAP basis, the funded status of our plans was 82% at the end of 2015, reflecting the impact of our higher discount rate, discretionary contributions in 2015 and actual plan asset returns. Our qualified plans are 86% funded. Our acquired contributions remain minimal, about $80 million in 2016 and 2017, increasing to about $125 million in 2018, given our current assumptions. We expect a tax rate of approximately 30% in 2016, which includes the now permanent R&D credit.
Our 2016 earnings per share guidance of $9.90 to $10.20 assumes our weighted average shares are reduced by approximately 6% to about 181 million shares. We expect 2016 free cash flow before discretionary pension contributions to range between $1.5 billion and $1.8 billion. Our free cash flow guidance anticipates capital spending of $700 million to $1 billion in 2016. 
Capital expenditures in 2015 were lower than originally expected as we actively managed our capital spending to support requirements that slipped into 2016. In addition, for some of our 2015 spending moving into 2016, CapEx will be elevated this year due to increased programmatic requirements as well as the planned purchase of several buildings. We have leased some of these buildings for many years and now have the opportunity to purchase them. We expect these purchases to total about $300 million and to support our continued focus on cost reduction, affordability and competitiveness. 
Our guidance reflects another year of strong operating performance and strong cash generation, supportive of continued investment in our businesses and distribution of cash to our shareholders. Before we start the Q&A, I just want to note that due to the classified nature of the LRS-B program, we won't be providing any information beyond what we've said in our prepared remarks. So we will not be taking any questions on that program. I think we're ready for Q&A. Steve?"
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Executives","Thanks, Ken. [Operator Instructions] Brent, we're ready to start the Q&A.",11,"Thanks, Ken. [Operator Instructions] Brent, we're ready to start the Q&A."
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Operator","[Operator Instructions] Your first question comes from the line of Carter Copeland with Barclays.",14,"[Operator Instructions] Your first question comes from the line of Carter Copeland with Barclays."
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Analysts","Ken could you help us may be bridge what moved in and out of Aerospace? I mean, I know you added Azusa and took electronic attack out. But to go from 11% to low 10s, how should we think about the relative size of the pieces that move there? And then just",74,"Ken could you help us may be bridge what moved in and out of Aerospace? I mean, I know you added Azusa and took electronic attack out. But to go from 11% to low 10s, how should we think about the relative size of the pieces that move there? And then just to add on to that, the net margin impact of one versus the other, if there's anything of significance there to note."
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Executives","So Carter, just to make sure we're on the same page on what moved in and out, you're correct. Azusa in, Bethpage out, think of them as relatively even-sized businesses. In terms of Aerospace, 2015 was just over $10 billion, $10,004,000,000 in sales. As we",79,"So Carter, just to make sure we're on the same page on what moved in and out, you're correct. Azusa in, Bethpage out, think of them as relatively even-sized businesses. In terms of Aerospace, 2015 was just over $10 billion, $10,004,000,000 in sales. As we mentioned, we're projecting low 10s for sales in 2016. So low single-digit growth at Aerospace. In terms of margin, I wouldn't think of those 2 businesses as significantly different in terms of margin rates."
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Analysts","Okay, great. And just a quick one on the CapEx on the office buildings. $300 million seems like a big amount. Is this like space park or something that's high-end real estate that we should be thinking that is there or is just the scalable buildings?",46,"Okay, great. And just a quick one on the CapEx on the office buildings. $300 million seems like a big amount. Is this like space park or something that's high-end real estate that we should be thinking that is there or is just the scalable buildings?"
97199,321861868,922528,"Northrop Grumman Corporation, Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","Northrop Grumman Corporation","Executives","It's not space park, which is already, for the most part, owned. But it is a number of buildings and certainly is a large capital outlay. But we do believe over the long term, the benefits are such that we'll realize affordability. We'll have obviously av",76,"It's not space park, which is already, for the most part, owned. But it is a number of buildings and certainly is a large capital outlay. But we do believe over the long term, the benefits are such that we'll realize affordability. We'll have obviously avoided rent expense, and those cash outflows down the road. So we think it's a good decision buildings that are core to our new 3 sectors and particularly Mission Systems."
