"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Operator","Good morning, and welcome to the Occidental Petroleum Corporation Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to Chris Degner, Senior Direct",45,"Good morning, and welcome to the Occidental Petroleum Corporation Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. 
I would now like to turn the conference over to Chris Degner, Senior Director of Investor Relations. Please go ahead, sir."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Executives","Thank you, Carrie. Good morning, everyone, and thank you for participating in Occidental Petroleum's fourth quarter 2015 conference call. On the call with us today are Steve Chazen, Oxy's President and CEO; Vicki Hollub, President and Chief Operating Offi",186,"Thank you, Carrie. Good morning, everyone, and thank you for participating in Occidental Petroleum's fourth quarter 2015 conference call. On the call with us today are Steve Chazen, Oxy's President and CEO; Vicki Hollub, President and Chief Operating Officer; Jody Elliott, President of Oxy Domestic Oil and Gas; Sandy Lowe, President of Oxy Oil and Gas International; and Chris Stavros, Chief Financial Officer. In just a moment, I will turn the call over to Vicki Hollub. 
As a reminder, today's conference call contains certain projections and other forward-looking statements within the meaning of the federal securities laws. These statements are subject to risks and uncertainties that may cause actual results to differ materially from those expressed or implied in these statements. Additional information on factors that could cause results to differ is available on the company's most recent Form 10-K.
Our fourth quarter 2015 earnings press release, the investors relations supplemental schedules, our non-GAAP to GAAP reconciliations and the conference call presentation slides can be downloaded off of our website at www.oxy.com. 
I will now turn the call over to Vicki Hollub. Vicki, please go ahead."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Executives","Think you, Chris, and good morning, everyone. Despite sharp declines in product prices, we had a strong year of production growth, particularly in Permian Resources, and we made big strides in lowering our cost structure as well as executing our strategic",1202,"Think you, Chris, and good morning, everyone. Despite sharp declines in product prices, we had a strong year of production growth, particularly in Permian Resources, and we made big strides in lowering our cost structure as well as executing our strategic review. I'd like to share highlights of our 2015 achievements. 
First, Permian Resources growth exceeded our expectations as we reached our 2016 growth target of 120,000 BOE per day. This was a year ahead of our original plan. We increased production by 35,000 BOE per day for a year-over-year growth rate of 47%. 
Our reached full production capacity and delivered an average of 35,000 BOE per day of production last year. In total, we grew our production by 81,000 BOE per day, which was approximately 14% higher than 2014. 
We reduced our cash operating cost by 14%, achieved SG&A savings of 16% and cut our average drilling and completion cost in Permian Resources by 33%. 
As a part of our strategic review that we launched at the end of 2013, we sold our Williston Basin properties and made significant progress in our effort to exit non-core areas in the Middle East, including Iraq and Yemen, while also reducing our exposure in Bahrain. This will lead to lower capital spending in the region. 
Construction of the OxyChem ethylene cracker joint venture is on schedule and on budget for startup in early 2017. 
We reached a settlement with the Republic of Ecuador for approximately $1 billion, of which we've collected $300 million and expect to receive the remaining proceeds in the coming months. 
And we exited 2015 with $4.4 billion of cash on our balance sheet. 
Now I'd like to reiterate our strategy and cash flow priorities. I want to emphasize these have not changed. Our overall strategy is to invest in projects that generate long-term value, achieving returns well above our cost of capital while maintaining a conservative balance sheet. Our assets in Colombia, ISND in Qatar, Block 9 in Oman, Permian EOR, and OxyChem provide significant earnings, require relatively low maintenance capital and provide free cash flow in this low price environment. Our most recent addition to this list is our Al Hosn gas project, which is a 30-year joint venture with ADNOC in Abu Dhabi. And the role of our Permian Resources business, the role it will play in our strategy is to provide quick production growth as needed to support our cash flow. 
Our top priority for use of cash flow is and always will be the safety and maintenance of our operations. Our second priority will continue to be funding the dividend. Third is allocating capital to our growth projects. The next priority for any remaining cash would be for potential asset acquisitions and or share repurchases as opportunities arise. 
Commodity businesses are inherently volatile. We maintain a strong balance sheet to not only survive but to take advantage of potential opportunities. We'll invest our capital prudently and maintain a flexible program as we maneuver through this low price cycle. 
As I mentioned earlier, we made great progress last year in lowering our operating and SG&A costs. We plan to further reduce these costs during 2016 and expect that the financial impact of executing on initiatives from our strategic review will be evident through lower cost and capital in the coming months. 
In terms of our capital program for this year, our plan is to carefully reduce our activity levels without harming the strong progress we've made with our growth prospects. We'll fund only those opportunities that exceed our rate of return hurdles. Our 2016 capital program is expected to range from $2.8 billion to $3 billion. This represents a nearly 50% reduction compared to the $5.6 billion spent during 2015. This capital plan should approximate our expected cash from operations at current commodity prices. The majority of this year's spending program will be allocated to the Permian Basin and to completing long-term projects in our chemicals and midstream businesses. Our capital run rate is expected to be higher during the first quarter and falling in subsequent quarters as committed project capital winds down. 
In Permian Resources, our drilling activity will be highly focused on areas in both the Midland and Delaware Basins where we have existing infrastructure, allowing us to achieve higher returns. Our level of activity will help preserve efficiency gains achieved over the past year. 
In Permian EOR, we'll take advantage of reduced cost for labor and materials to modify and expand existing facilities to increase our capacity to handle and inject greater quantities of CO2. This will enable us to implement additional CO2 projects. These projects will have longer duration and a typical production response time of 1 to 2 years. This will result in a modest increase in capital for our EOR business versus last year. Chris will provide greater detail on this year's capital program in a few moments.
Despite the reduction in capital spending, we expect overall company production from our core assets to grow 2% to 4% on average compared to 2015. Our core assets or pro forma for any expected divestment and areas we plan to exit, including the Piceance Basin, Iraq, Yemen and Libya, along with lower exposure in Bahrain. 
The full-year contribution of production from Al Hosn and the startup of Block 62 in Oman should add approximately 35,000 BOE per day of production this year. Overall, domestic production is anticipated to decline slightly through the year, primarily due to declining natural gas and NGL volumes caused by the curtailment of drilling activity in our gas assets in late 2014. We expect a modest increase in production from Permian Resources versus last year and will hold our Permian EOR production flat.
Turning to our oil and gas reserves. The good news is that we managed to get our proved producing reserves essentially flat in 2015 due to our development programs and improved recovery from some of our Permian Resources wells. We continued to see strong performance from our Permian Resources drilling program, which enabled us to replace 214% of our resources production, excluding net sales, in revisions. Our development program sat at 149 million BOE of proved reserves. Our year-end 2015 proved reserves totaled 2.2 billion BOE, consisting of 79% proved developed reserves, up from 71% proved developed reserves at the end of 2014. Our liquids reserves comprised 74% of our total proved reserve base. 
In summary, while the macroenvironment remains challenging for the industry, we delivered strong production growth during 2015. We lowered our cost structure and continued to execute on our strategic review. Although we expect commodity prices to gradually recover, we set our plan to be more aligned with the lower price environment. We're fortunate to have a great set of assets for the relatively low base decline rates that provide us enormous flexibility for our capital. We believe our continued focus on returns, improved cost structure and strong balance sheet provide us with the opportunity to emerge from the current cycle as a stronger company relative to our peers. 
I'll now turn the call to Chris Stavros for a review of our financial results and for the details on this year's capital program."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Executives","Thanks, Vicki, and good morning, everyone. As Vicki indicated, we continue to have 3 main objectives over the long term: generate rates of return on invested capital that are well above our cost of capital, sustainability and growth of our dividend and mo",2286,"Thanks, Vicki, and good morning, everyone. As Vicki indicated, we continue to have 3 main objectives over the long term: generate rates of return on invested capital that are well above our cost of capital, sustainability and growth of our dividend and moderate volume growth of the business. 
With regard to returns, we need to strike a balance between managing our capital within a very low commodity price environment and also ensuring that our business is properly positioned for recovery. We don't believe that a depleting or shrinking business over the long haul can maintain high rates of return, and part of our model is to balance of the need for growth and the safety and sustainability of business while maintaining attractive returns. Our focus is generating attractive returns and making investments through the cycle in long-term assets that provide us with stable cash flow to see us through during weaker periods. 
Despite the low price environment, we've been able to realign our business to focus on our core areas, reduce our overall cost structure through capital efficiencies, lower our total operating cost and SG&A while significantly increasing production in our Permian Resources operations. 
In the Middle East North Africa, the Al Hosn gas project was brought to full capacity by midyear, and we also moved forward with exiting some of our noncore assets in the region and eliminating the capital associated with those businesses. 
In terms of our capital spending, we adjusted our program last year in response to the sharp decline in product prices with our full-year 2015 expenditures coming in at $5.6 billion, a 36% reduction from the prior year. Despite this reduction in our spending, we grew our total oil and gas production volumes by 14% from last year. 
As we look into 2016, we remain focused on allocating our capital where we have the best returns, including winding down our capital commitments for longer-term projects. We estimate our 2016 total capital program to be between $2.8 billion to $3 billion and no higher than $3 billion. This year's capital budget represents a nearly 50% reduction in our overall spending compared to last year and only 1/3 of what we spent in 2014. The oil and gas segment is expected to comprise approximately 2/3 of our overall spending this year compared to nearly 80% last year. We expect the majority of our total 2016 spending will be allocated toward domestic oil and gas business, primarily in the Permian Basin, with roughly 21% to be spent in Permian Resources and about 17% going towards Permian EOR. We expect this year's spending in our international oil and gas operations to be about half the level of outlays seen in 2015. Capital allocated toward our Middle East North Africa oil and gas business is expected to be roughly 21% of total spending, with the majority going towards Oman. The year-over-year decline of about 56% in the Middle East is partly the result of our exit from several countries and our plan to run a more focused business targeting our core areas. The remaining 1/3of this year's overall capital spending is expected to be split nearly equally between our chemical and midstream businesses, of which $500 million of the total is capital committed for projects that we expect to be completed by the end of 2016.
Turning to our results. Our core financial results for the final quarter of 2015 were a loss of $129 million or $0.17 per diluted share, a decrease from both the year-ago quarter and also the third quarter of 2015. The decline in core results is nearly all attributable to weaker commodity prices. 
Reported results for GAAP purposes for the fourth quarter were a loss of $5.2 billion or $6.78 per diluted share. The reported results include $5.4 billion of net after-tax charges, mostly related to asset impairments. 
Oxy follows a successful efforts method of accounting where we review our proved oil and gas properties for indications of impairment whenever events or circumstances indicate that the carrying value of the oil and gas properties may not be adequately recovered such as when there's a significant drop in the futures curve. During the course of the year, the carrying value of our operations in Middle East North Africa was reduced by $4.5 billion, with $3 billion of this taken in the fourth quarter. This action was due to a combination of our exit from noncore areas and a reduction of our exposure to unprofitable projects in the region in an effort to focus the business on improving profitability. 
Impairments of our domestic properties amounted to $2.2 billion for all of 2015 and approximately $870 million for the fourth quarter. Almost 1/2 of the total year impairments in the U.S. were due to the exit of noncore assets in the Williston and Piceance Basin. The other 1/2 related to the reduction of the futures price curve as well as management's decision not to pursue activity associated with certain nonproducing acreage. 
In addition, we took a charge of $520 million in the fourth quarter associated with our century gas processing plant as a result of Sandridge's inability to provide volumes to the plant and in order to meet their contractual obligations to deliver CO2.
Oil and gas core after-tax results for the fourth quarter of 2015 were a loss of $189 million and down $206 million on a sequential quarterly basis. For the fourth quarter of 2015, total company oil and gas production volumes from ongoing operations averaged 671,000 BOE per day, 75,000 BOE per day higher compared to the prior-year period and essentially flat with third quarter volumes. This excludes production from the Williston assets for all periods. 
Our fourth quarter 2015 worldwide realized oil price of $38.68 per barrel fell by $9.10 a barrel or 19% compared to third quarter realizations of $47.78 a barrel and down 46% compared to the prior year's fourth quarter. 
Domestic oil production was 190,000 barrels per day during the fourth quarter, sequential quarterly increase of 2,000 barrels per day and an increase of 19,000 barrels per day from the year-ago period. 
Production in our Permian Resources business grew to 118,000 BOE per day during the fourth quarter, up 40% from the prior year. Volumes were also able to grow sequentially despite weather-related outages. 
Oil and gas cash operating costs were $9.95 per BOE for the fourth quarter of 2015 and $11.57 per BOE for the total year 2015 compared to $13.50 per BOE for the prior year. The reduction in cost was seen in both our domestic and international operations and reflects decreased activity in downhole maintenance and a lower overall cost structure. 
The DD&A for full year 2015 was under $16 per BOE compared to $17 per BOE seen during 2014. 
Taxes other than an income, which are directly related to product prices, were $1.32 per BOE for the 12 months of 2015 compared to $2.45 per BOE in the prior year. 
Fourth quarter exploration expense was $13 million. 
Chemical's fourth quarter 2015 pretax core earnings were $116 million compared with third quarter earnings of $174 million and $160 million in the year-ago quarter. The sequential quarterly decrease from earlier reflected weaker chlorovinyls demand and lower PVC prices which negatively impacted margins. This was partially offset by higher caustic soda prices and lower energy costs. 
Midstream pretax core results were a loss of $45 million for the fourth quarter of 2015 compared to income of $31 million in the third quarter. The sequential decline in the fourth quarter was mainly attributable to lower oil marketing and power generation margins. The marketing results continue to reflect lower margins due to the narrowing of the Midland and Gulf Coast differentials as the increase in oil supply lowered premiums in the Gulf coast. The power generation business reflected lower seasonal spark spreads and higher maintenance cost in the fourth quarter.
Looking at our 12 months cash flow for 2015, we generated $4.8 billion of cash flow from continuing operations before working capital. Working capital changes was a use of $880 million, the majority of which occurred during the first half of the year. 
Capital expenditures for 2015 were $5.6 billion, a 36% decline from the $8.7 billion we spent in 2014. We received over $700 million of net proceeds from activity associated with asset divestitures and acquisitions, which included fourth quarter proceeds of approximately $600 million for our Williston assets. 
In the second quarter, we completed a bond offering, issuing senior notes for which we received net proceeds of roughly $1.5 billion. We indicated at the time of the offering that the proceeds would be used to partially pre-fund some of our debt maturing in the first half of 2016. Earlier this week, we used cash on hand to retire $700 million of our senior notes that had matured. We returned $2.9 billion of cash to our shareholders by paying $2.3 billion in dividends and repurchasing 7.4 million of our shares for approximately $600 million. Our long-term debt to capitalization was 22% at year-end. The worldwide effective tax rate on our core income was 29% for the fourth quarter of 2015 and 86% for the total year. 
Looking into 2016, and as we show on Slide 23 and the handout, we started the year with $4.4 billion of cash. During the fourth quarter, at $42 WTI, we generated operating cash flow before working capital of approximately $900 million or roughly $3.6 billion on an annualized basis. Every dollar change in the oil price impacts our cash flow by about $100 million annually. We expect to receive an additional $900 million of cash this year from our settlement with Ecuador, of which we have collected $300 million to date, and approximately $300 million of proceeds from asset sales during this quarter. Earlier this week, S&P reaffirmed our single A credit rating along with a stable outlook.
Turning to our oil and gas production. For purposes of year-to-year comparison and in terms of providing guidance for 2016, volumes are pro forma and exclude assets we've either already or planned to divest or exit from this year. These assets would include Williston and Piceance in the U.S. and Iraq, Yemen, Bahrain and Libya in the Middle East, North Africa. 
On this same-store sales basis, we expect our full year 2016 production to grow 2% to 4% when range of 570,000 to 585,000 BOE per day compared to about 560,000 BOE per day last year. In the U.S., we have ceased all gas drilling activity, and we'll focus our capital in the Permian in an effort to grow our oil volumes and is justified by attractive returns. We expect the total domestic oil and gas production to be in the range of 270,000 to 285,000 BOE per day in 2016, which includes oil production growth of about 4% and partly offset by modest declines in gas production. More than 2/3 of our domestic production volumes are expected to be oil. 
Production in Permian Resources is expected to average 123,000 BOE per day during the first half of 2016, an increase of 8% compared to the same period last year. Permian EOR volume should remain relatively flat at about 145,000 BOE per day, while providing stable cash flow. 
In our core international areas in the Middle East and Colombia, we expect production to increase to roughly a 300,000 BOE per day this year compared to 268,000 BOE per day in 2015 as a result of a full year's contribution from Al Hosn as well as a startup of gas production from Block 62 in Oman. 
In terms of production for the first quarter, on a reported basis and unadjusted for pending divestments or exits, we expect our total production to be in the range of 620,000 to 630,000 BOE per day. Permian Resources volume should increase about 3,000 BOE per day sequentially to 121,000 BOE per day.
Production in the Middle East is expected to be negatively impacted in the quarter by about 15,000 BOE per day due to scheduled maintenance turnarounds at both Dolphin and Al Hosn. 
Our DD&A expense for oil and gas is expected to be approximately $15 per BOE during 2016. The combined depreciation for the chemical and midstream segments should be approximately $675 million for the year. 
Cash operating cost for the domestic oil and gas business should be about $13 per BOE during 2016, about $1 per BOE lower than last year's level for our ongoing operations. 
Exploration expense for the year is estimated to be about $75 million pretax, with $25 million of that anticipated in the first quarter. 
The realignment of our business helps us make strong progress in lowering our SG&A costs last year by more than $200 million. In the current environment, we expect to reduce these costs by at least another $100 million into 2016. Price changes at current global prices affect our annual operating cash flow by about $100 million for every dollar per barrel change in WTI. A swing of $0.50 per million BTUs in domestic natural gas prices affects annual operating cash flow by about $40 million. 
We expect our first quarter 2016 pretax chemical earnings to be about $140 million. Our chemical operations are essentially margin business, and so while our cost may decline as a result of lower energy prices, prices for the chemical products we sell continue to be driven by demand. Using current strip prices for oil and gas, we expect our 2016 domestic tax rate to be 36% and our international tax rate to be about 55%. 
I'll now turn the call over to Jody Elliot who will discuss activity around our Permian operations."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Executives","Thank you, Chris. Today I'll review 2015 highlights from Permian Resources and Permian EOR and provide guidance on our program for 2016. 2015 was a very successful year. Permian Resources achieved our 2016 growth target ahead of schedule by reaching 120,0",1094,"Thank you, Chris. Today I'll review 2015 highlights from Permian Resources and Permian EOR and provide guidance on our program for 2016. 2015 was a very successful year. Permian Resources achieved our 2016 growth target ahead of schedule by reaching 120,000 BOE per day in November. We achieved this milestone by leveraging our advancements in geoscience, reservoir characterization and integrated planning to deliver better wells in less than half the time in a 2/3 of the cost versus 2014. Throughout 2015, we reduced our OpEx cost by over 20% by improving field reliability, productivity and optimizing our surface and subsurface engineering. Our Permian EOR segment generated free cash flow in a low price environment and had its best safety metrics of all time.
Turning to Permian Resources. In the fourth quarter, we achieved record production of 118,000 BOE per day, a 40% increase versus the prior year. Oil production increased to 76,000 barrels per day, a 2% increase from the previous quarter and a 49% increase from a year ago. Winter storms at the end of December impacted total quarter production by approximately 1,300 BOE per day. For the full year, the business achieved production of 110,000 BOE per day, a 47% increase versus the prior year. 
Permian Resources continues to drive down capital costs through improved execution and drilling and well completions and reduced time-to-market. For each of our core development areas, we continue to monitor both our early time well performance and cumulative production to ensure our development approach is providing maximum value. In addition to improving individual well performance, we optimize fill development value through pace, well sequencing, flowback designs to reduce cleanouts and fluid handling cost, artificial lift designs to maximize long-term production and facility plans to ensure maximum utilization over time. 
Our Delaware Basin well performance continues to be strong. We placed 19 horizontal wells on production in the Wolfcamp A benches in the fourth quarter. We continued to increase well performance by optimizing the density of our completions and profit loads and drilling longer laterals. For example, the priest E1H well achieved a peak rate of 1,659 BOE per day and a 30-day rate of 1,247 BOE per day. The HB Morrison B12H achieved a peak rate of 1,487 BOE per day and a 30-day rate of 1,176 BOE per day. 
In the Mexico, we're delivering more productive wells by increasing our profit concentration and reducing cluster spacing. For example, the second Bone Spring Cedar Canyon 27 #6 produced at a peak rate of 2,498 BOE per day and a 30-day rate of 1,750 BOE per day at an 82% oil cut. 
In the Delaware Basin, our Wolfcamp A 4,500-foot well costs decreased by about 45% from the 2014 costs of $10.9 million to a current cost of $6.2 million. We reduced our drilling time by 26 days from the 2014 average of 43 days to 17 days. 
In our new area of the Midland Basin, we brought the Adams 4231 Wolfcamp A online in the fourth quarter at a peak rate of 2,167 BOE per day and a 30-day rate of 1,841 BOE per day. We also brought online the Merchant 1409 A well at a peak rate of 1,345 BOE per day and a 30-day rate of 1,132 BOE per day. Both wells are producing at over 80% oil cut. 
In the Midland Basin, we made similar improvements in well costs and drilling days in the Wolfcamp A formation. We reduced these costs, the 7,500-foot horizontal wells by 35% from the 2014 cost of $9.2 million to a current cost of $6 million. We reduced our drilling days by 63% from 46 days in 2014 to 17 days in the fourth quarter of 2015. 
Across Permian Resources, we're continuing to lower field operating expenses through optimized water handling, lower workover expenses and better downhole performance. Since the fourth quarter of 2014, we've reduced our operating cost per barrel by 26% and expect this trend to continue this year. 
In our Permian EOR segment, we continue to lower our drilling costs and manage the operations to run our gas processing facilities at full capacity. With resilient base production and low capital requirements, the EOR business continues to generate free cash flow at low product prices. We've lowered our cash operating expenses by 21%, driven mainly by lower downhole maintenance and inject in cost. The Phase 1 of CO2 injection at South Hobbs has continued and we have a production response sooner than expected. We expect Phase I production to peak in 2020. We expect Phase I and Phase II to develop 28 million BOE at just over $10 per BOE. Additionally, we started a pilot project in South Hobbs testing the residual oil zone. It has the potential to add about 80 million barrels of reserves. These residual oil zone reserves can be added between $3 and $7 per barrel of development cost.
Given the current oil price, we will focus investment to achieve 4 goals: Accelerate geoscience characterization and modeling programs to enhance recovery, well performance and field economic returns; minimize base decline and set up major growth programs in both resources and EOR; focus on game-changing technologies and applications; and accelerate continued improvement in both execution and cost. One of the key drivers of our gains in well performance has been integrating our technical understanding of the subsurface to optimize well completions. Slide 41 illustrates our inventory at Permian Resources well locations by breakeven prices. By improving both well cost and performance, we continue to make more inventory economically viable in a low-cost environment. For example, we transferred about 700 locations from above the $60.00 per barrel hurdle to under $60 per barrel. Furthermore, we moved 350 locations under the $40 per barrel hurdle. We expect to continue lowering the hurdle point on our inventory as we move forward. 
With current oil prices,  our activity in 2016 will focus on core locations that require minimal infrastructure investments. In addition, we will gather high priority appraisal data to support future development and initiate seed projects for long-term growth in EOR. Over the first half of this year, we will reduce our rig count to between 2 and 4 drilling rigs in the Permian. Our technical staff and engineers will focus on long-term projects, enhancing base production, preparing full field development plans to ramp up activity when oil prices recover. We're taking appropriate steps to preserve the efficiency gains achieved and are well-positioned for growth as prices recover. 
I'll now turn the call back to Chris Degner."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Executives","Thank you, Jody. We'll now open it up for questions.",10,"Thank you, Jody. We'll now open it up for questions."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Operator","[Operator Instructions] Our first question comes from Evan Calio of Morgan Stanley.",12,"[Operator Instructions] Our first question comes from Evan Calio of Morgan Stanley."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Analysts","My first question is, one of your key or primary peers cut the dividend today 2/3 after repeated defenses. I know your balance sheet is superior yet the macro has changed, it underpins their decision. Can you discuss how you perceive your dividend sustain",65,"My first question is, one of your key or primary peers cut the dividend today 2/3 after repeated defenses. I know your balance sheet is superior yet the macro has changed, it underpins their decision. Can you discuss how you perceive your dividend sustainability for the cycle? And are there levers levels or other metrics that would result in a change in your current priorities?"
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Executives","To begin, I'd like to refer you to Slide 23. What we've done really is planned our programs over the next few years to -- based on actually the strip prices. Although we actually believe that prices ultimately will be higher than the strip, we don't expec",256,"To begin, I'd like to refer you to Slide 23. What we've done really is planned our programs over the next few years to -- based on actually the strip prices. Although we actually believe that prices ultimately will be higher than the strip, we don't expect prices to really recover much until very late this year or maybe early next year and recover only slightly above the curve. But based on the cash that we have on hand and what we project our situation will be over the next few years, we do expect to be able to make it through this cycle and get back to reasonable oil prices and secure our dividend throughout this entire process. We are organizing our plans and our activities around that. And the good thing about our portfolio is we have the flexibility to ramp up and down as necessary to ensure that we'll meet our priorities. And as we said, the top priority is just the maintenance and safety of our operations. And then we're going to pay the dividend, and we've got the cash to do that. And generally, the way we'll look at it is we can use our cash flow from operations to cover our capital programs and part of our dividends over some of the years. And then what can't be covered by our cash flow from operations, we'll certainly use the strength of our balance sheet to cover that. So we don't see a threat to our dividend going through this cycle."
293286,321694349,926543,"Occidental Petroleum Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Occidental Petroleum Corporation","Analysts","Related follow-up. The irony of a downturn opportunities maybe the best when liquidity is the lowest. And so any commentary that you have on the asset market and whether your views of the macro raise the hurdle for acquisition or change your views on what",63,"Related follow-up. The irony of a downturn opportunities maybe the best when liquidity is the lowest. And so any commentary that you have on the asset market and whether your views of the macro raise the hurdle for acquisition or change your views on what's potentially attractive, so for instance, more longer life, longer cycle resource versus a shorter cycle shale resource?"
