"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Operator","Good morning, and welcome to PACCAR's Fourth Quarter 2015 Earnings Conference Call [Operator Instructions] I would now like to introduce Mr. Ken Hastings, PACCAR's Director of Investor Relations. Mr. Hastings, please go ahead.",33,"Good morning, and welcome to PACCAR's Fourth Quarter 2015 Earnings Conference Call [Operator Instructions] I would now like to introduce Mr. Ken Hastings, PACCAR's Director of Investor Relations. Mr. Hastings, please go ahead."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Executives","Good morning. We would like to welcome those listening by phone and those on the webcast. My name is Ken Hastings, PACCAR's Director of Investor Relations,  and joining me this morning are Ron Armstrong, Chief Executive Officer; Bob Christensen, President",105,"Good morning. We would like to welcome those listening by phone and those on the webcast. My name is Ken Hastings, PACCAR's Director of Investor Relations,  and joining me this morning are Ron Armstrong, Chief Executive Officer; Bob Christensen, President and Chief Financial Officer; and Michael Barkley, Vice President, Controller. 
As with prior conference calls, if there are members of the media on the line, we ask that they participate in a listen-only mode. Certain information presented today will be forward-looking and involve risks and uncertainties, including general economic and competitive conditions that may affect expected results.
I would now like to introduce Ron Armstrong."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Executives","Thanks, Ken, and good morning. Thanks to PACCAR's 23,000 employees around the world, 2015 was an outstanding year for the company with many records established. PACCAR achieved record revenues of $19.1 billion and record net income of $1.6 billion, and af",713,"Thanks, Ken, and good morning. Thanks to PACCAR's 23,000 employees around the world, 2015 was an outstanding year for the company with many records established. PACCAR achieved record revenues of $19.1 billion and record net income of $1.6 billion, and after-tax return on revenues of 8.4%. Net income increased 18% versus the prior year. 2015 was PACCAR's 77th consecutive year of earning on net income. These excellent results reflect the strongest North American heavy truck market since 2006 and the highest European heavy truck market since 2008. 
In addition, PACCAR Parts earned record pretax income and PACCAR Financial Services achieved another strong profit year. PACCAR celebrated several important milestones in our 110th anniversary year. These included the delivery of DAF's 1 millionth truck, the production of the 100,000 engine in our Mississippi engine factory and 35th anniversary celebrations at Peterbilt's Dent in Texas factory and in PACCAR Leasing. During the year, PACCAR continued investing in premium quality products and services in our core markets, and expanding our presence in emerging markets to provide the foundation for future growth. 
PACCAR's fourth quarter sales and financial services revenues were $4.4 billion and quarterly net income was $347 million, a strong 8.8% after-tax return on revenues. During the quarter, European truck deliveries increased, partially offsetting reduced North American truck deliveries. The strong contribution of all companies segments enables PACCAR to attain the highest operating margins in our industry. PACCAR declared cash dividends up $2.30 per share last year, a 25% increase compared to 2014 and the highest total dividend in company history. 
The regular quarterly dividend was raised by 9% during the year. PACCAR's total dividends in 2015 provided a yield of over 4%, which is in the top 100 companies in the S&P 500. During 2015, PACCAR repurchased 3.8 million shares of its stock for $202 million. PACCAR delivered 35,400 trucks during the fourth quarter in line with expectations. Vehicle deliveries, and truck and other margins in the first quarter this year are projected to be comparable to the fourth quarter. Peterbilt and Kenworth achieved a good market share of 27.4% in the U.S. and Canada heavy duty truck market in 2015. Class 8 truck industry retail sales totaled 278,000 units for the year. 
Peterbilt and Kenworth also achieved a record 17.4% share of the U.S. and Canadian medium duty truck market last year, resulting in a record 27,300 medium duty truck deliveries for PACCAR. 2016 will be another good year for the U.S. and Canadian Class 8 industry truck market with retail sales estimated to be in the range of 230,000 to 260,000 units. Additional good news is that Peterbilt and Kenworth dealer inventories are in great shape entering this year. 
DAF increase its market share to 14.6% in the European above 16-tonne truck market last year compared to 13.8% in 2014. The market was a strong 269,000 units in 2015. Looking at this year, we anticipate that the European above 16-tonne market has the potential to expand further and be in a range of 260,000 to 290,000 vehicles. Economic growth in Europe is expected to increase this year to 1.7% with more than 2% growth anticipated in the U.K., DAF's largest market. 
PACCAR Parts generated record pretax profit of $556 million and strong revenues of $3.1 billion in 2015. The excellent results were driven by strong freight tonnage, high fleet utilization and the many innovative products and services offered by PACCAR Parts. During the year, PACCAR Parts set records for parts deliveries to fleets, online part sales and TRP part sales for all makes of trucks and trailers. For the fourth quarter, PACCAR Parts achieved revenues of $750 million and pretax income of $126 million. 
Our expectation for 2016 is that parts and revenues -- is that parts revenues, excluding the effects of currency movements could increased 3% to 5%. PACCAR Financial Services revenues were $293 million in the fourth quarter and pretax income was $90 million. The good results benefited from continuing strong portfolio performance. PACCAR leasing ended the year with a record 39,000 units its full service lease portfolio. For the full year, PACCAR Financial Services earned pretax income of $363 million. 
At this point, I'm going to have Michael Barkley address the effects of currency movements on our segment operations."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Executives","For the truck segment, the quarter-over-quarter comparison has us -- the impact of currency was $200 million on revenue and for the full year, the impact was $940 million on revenue. The profit impact was minimal given that we had a large amount of materi",137,"For the truck segment, the quarter-over-quarter comparison has us -- the impact of currency was $200 million on revenue and for the full year, the impact was $940 million on revenue. The profit impact was minimal given that we had a large amount of material coming for our engines in to our Columbus engine factory from the Eurozone. For parts. The quarterly impact on revenue was $38 million and for the full year was $193 million. The impact on profit was $4 million and for the quarter -- $34 million for the full year. For financial services, the impact on revenue was $17 million and the impact for the full year was $79 million. And the impact on profit for financial services was $5 million. For the quarter and for the full year, it was $22 million."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Executives","Thank you, Michael. As we look at next year, PACCAR's projected research and development spending of $240,000 to $270 million and capital expenditures of $325 million to $375 million will expand Kenworth, Peterbilt and DAF product offerings, enhance the P",88,"Thank you, Michael. As we look at next year, PACCAR's projected research and development spending of $240,000 to $270 million and capital expenditures of $325 million to $375 million will expand Kenworth, Peterbilt and DAF product offerings, enhance the PACCAR engine range and increase the capacity and operating efficiency of our factories and distribution centers. 
As the company begins its 111th year, we are in an excellent position to lead the industry with the highest-quality products and services. Thank you, and I'd be pleased to answer your questions."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Operator","[Operator Instructions] Your first question comes from the line of Tim Thein with Citi.",14,"[Operator Instructions] Your first question comes from the line of Tim Thein with Citi."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Analysts","Just on the first one. Maybe you could extend -- I think you had mentioned the margin 1Q being comparable to 4Q. Can you, based on the way things looked today, can you kind of extend that to your expectations for the year?",43,"Just on the first one. Maybe you could extend -- I think you had mentioned the margin 1Q being comparable to 4Q. Can you, based on the way things looked today, can you kind of extend that to your expectations for the year?"
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Executives","I think that as we think about margins for the year, I think that we see the full year being fairly comparable to 2015.",24,"I think that as we think about margins for the year, I think that we see the full year being fairly comparable to 2015."
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Analysts","Okay, got it. And then just on the market share trend in Europe. Obviously, how the individual countries play out can influence that quite a bit. Just in terms of some of your key markets, what are you thinking in terms of  and how they -- how you're plan",90,"Okay, got it. And then just on the market share trend in Europe. Obviously, how the individual countries play out can influence that quite a bit. Just in terms of some of your key markets, what are you thinking in terms of  and how they -- how you're planning for that expectations just over all share. I know it's not easy to forecast it at this time of year. But I guess, just based on the gain, you can continue to gain further share for DAF and across Western Europe?"
294721,321423305,923708,"PACCAR Inc., Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","PACCAR Inc","Executives","Well, DAF has a really long history of continuing to grow their share progressively over the long-term and that would continue to be our market, with the investments that we made and the great new year, all 6 products that they have in the marketplace, th",94,"Well, DAF has a really long history of continuing to grow their share progressively over the long-term and that would continue to be our market, with the investments that we made and the great new year, all 6 products that they have in the marketplace, the continuing enhancements that we make to the PACCAR engines. We've got a great product lineup. We have great service capability with PACCAR Parts and PACCAR Financial. So our anticipation is that we'll continue to increment that market share on our way through to our medium-term target of 20%."
