"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Operator","Good morning, and welcome to the PPL Corporation Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] Please note, this event is being recorded. I would now like to turn the conference over to Joe Bergstein, Vice President of Investor R",46,"Good morning, and welcome to the PPL Corporation Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] Please note, this event is being recorded. 
I would now like to turn the conference over to Joe Bergstein, Vice President of Investor Relations and Treasurer. Please go ahead, sir."
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Executives","Thank you. Good morning, everyone, and thank you for joining the PPL conference call on fourth quarter and year-end 2015 results and our general business outlook. We are providing slides to this presentation on our website at www.pplweb.com. Any stateme",166,"Thank you. Good morning, everyone, and thank you for joining the PPL conference call on fourth quarter and year-end 2015 results and our general business outlook. We are providing slides to this presentation on our website at www.pplweb.com. 
Any statements made in this presentation about future operating results or other future events are forward-looking statements under the safe harbor provisions of the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from such forward-looking statements. 
A discussion of factors that could cause actual results or events to differ is contained in the appendix to this presentation and in the company's SEC filings. 
We will refer to earnings from ongoing operations or ongoing earnings and non-GAAP measures on this call. For reconciliation to the GAAP measures, you should refer to the press release, which has been posted on our website and has been filed with the SEC. 
This time, I'd like to turn the call over to Bill Spence, PPL Chairman, President and CEO."
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Executives","Thank you, Joe, and good morning, everyone. We're very pleased that you could join us. With me on the call today are Vince Sorgi, PPL's Chief Financial Officer; as well as the President of our U.S. and U.K. utility businesses. Moving to Slide 3. Our a",1674,"Thank you, Joe, and good morning, everyone. We're very pleased that you could join us. 
With me on the call today are Vince Sorgi, PPL's Chief Financial Officer; as well as the President of our U.S. and U.K. utility businesses. 
Moving to Slide 3. Our agenda this morning starts with an overview of our 2015 earnings results and operational overview and a discussion of our 2016 [ph] earnings forecast and our priorities for this year. 
After my remarks, we'll review our segment financials and provided more detailed financial overview. 
Before I go any further, however, let me simply say that 2015 was a remarkable year for PPL. We successfully spun off our competitive generation business. In doing so, we better position PPL for the future growth and cap our strategic transformation into a purely regulated utility business. 
We delivered more than $3 billion in infrastructure improvements, investments that are driving earnings growth and improving service to our 10 million customers. 
We secured favorable outcomes in our Kentucky and Pennsylvania rate cases. Successfully transitioning to RIIO-ED1 in the U.K., we increased our dividend for the 13th time in 14 years and we've delivered strong earnings results. 
Moreover, our stock outperformed our peers, the UTY and the S&P 500 utilities index. 
PPL's total share of return of 6.2% on a year was higher than any other utility in the UTY, our significant accomplishments during a time of significant change for our company and our industry. 
Today, we're announcing a plan to achieve compound annual earnings growth of 5% to 6% through 2018, off of our 2014 adjusted EPS of $2.03 per share. 
The continued excellence performance of our utilities give you the confidence in our ability to deliver competitive earnings growth and a strong dividend. 
Turning to Slide 4. Today, we announced 2015 reported earnings of $1.01 per share compared with $2.61 [ph] per share in 2014. Our 2015 results reflect the loss from discontinued operations of $921 million or $1.36 per share, resulting primarily from the June 1 spinoff of our competitive Supply business. 
Adjusting for special items are 2015 earnings from ongoing operations were $2.21 per share. That's an increase of 9% from 2014 adjusted results of $2.03 per share. 
For the fourth quarter of 2015, reported earnings were $0.59 [ph] per share compared with $1.04 per share a year ago. 
Earnings per share from ongoing operations were $0.43 in the fourth quarter compared with $0.49 a year ago. 
The 9% or $140 [ph] million year-over-year improvement in earnings of ongoing operations was driven primarily by the benefits of our corporate restructuring, lower income taxes and depreciation expense in the U.K., higher returns on capital investments and a midyear Kentucky rate increases. 
Vince will provide more details on segment results in his remarks. 
Let's move on to Slide 5 for an update on our utility operations. On November 19, the Pennsylvania Public Utility Commission approved rate increase for PPL Electric Utilities. The action followed a settlement agreement that we reach with party to a rate case. The increase, which took effect January 1, will provide an additional $124 million in revenue and help fund additional reliability improvements as we continue to strengthen and modernize our Pennsylvania delivery network. 
The settlement was black box settlement and does not specify and allow return on equity. 
Turning to Kentucky, Louisville Gas & Electric and Kentucky Utilities saw environmental compliance and cost recovery plans for the Kentucky Public Service Commission on January 29. The application seek approval and environmental cost recovery rate treatment for $1 billion in upcoming environmental improvement projects. These projects will ensure compliance with the U.S. Environmental Protection Agency's new coal combustion residuals that became effective last year. The projects will involve capping and closing remaining  at our coal plans, building process order facility and completing the second phase of a drug store's landfill project our EW Brown generating station. 
We expect to begin these investments in these incremental improvement in 2016 and it will continue through 2023. 
Looking to the U.K., WPD wrapped up the DPC intro period March 31, 2015. WPD was the top performer over the period and earned $478 million by outperforming its incentive targets. We were consistently the best performer within customer service in all categories: customer satisfaction, customer complaints and stakeholder engagement. 
During the price control period, WPD made through a major transformation acquiring to lower performing midline network operations in 2011 and very quickly improved their performance, which helped drive the significant incentive revenues earned under DPCR5. 
Turning to the new RIIO-ED1 price control period. WPD continues to outperform its 2015 to 2016 performance targets and is on pace to be near the maximum incentive reward for customer minutes lost and customer interruptions. 
In addition, we're in place to be near or at the maximum reward levels for customer satisfaction. 
During our last call, we raised our guidance estimates for the incentive revenues we expect to earn for the calendar years 2017 through 2018. 
Based on our continued strong performance to date, we expect incentive revenues for 2016 to be at the high end of our $120 million to $130 million range. 
As you may recall, incentives for the 2015, 2016 regulatory year will be received in revenues beginning in the 2017, 2018 regulatory year as there's that a year lagged. Details on WPD's performance and incentives are included in today's appendix. 
Turning to Slide 6, our 2016 earnings forecast. It's $2.25 to $2.45 per share. The midpoint of this range, $2.35 per share, represents growth of 6.3% compared to our 2015 earnings from ongoing operations, up $2.21 per share. 
As I highlighted in my opening remarks, the continued excellent performance of our utility operations and the organic growth of planned and accrued infrastructure investments give us great confidence in our ability to achieve compound annual growth in earnings of 5% to 6% through 2018, again off of our 2014 adjusted EPS of $2.03 per share. 
We expect EPS growth of 11% to 13% through 2018 from our U.S. operations with 1% to 3% growth expected in the U.K. 
Vince will cover this in more detail during his remarks. 
Turning to Slide 7. I'm also pleased to announce our board approved an increase in our common stock dividend, raising it from $1.51 to $1.52 per share on an annualized basis. This marks PPL's 14th dividend increase in 15 years. This is consistent with our prior guidance of a modest increase in 2016 [ph] as we work our way into the mid-60% [ph] payout range. 
We expect to grow the dividend more meaningfully beginning in 2017, at which time we will target in the 4% range. 
Now let's move to Slide 8 and highlight some of PPL's objectives in 2016. A primary objective of ours is executing on our planned capital investment program of $3.5 billion. This includes expenditures to strengthen, transmission and distribution network and that may continued environmental improvement in Kentucky. 
In Pennsylvania, we're focused for an advancing Project Compass, which is designed to provide significant benefits to electricity consumers in the Northeast. 
In October, we saw an interconnection request with the New York ISL to build the first segment of Project Compass and its 95-mile transmission line between Lake and New York. We expect to serve the next step in approvals in the first quarter of 2016 [ph], New York's Article 7 application process, which is a full siding application. 
We're also focused on completing our Northeast Transmission line, a $350 million improvement project that includes 70 miles of new transmission lines, 3 new substations as well as additional improvements. 
We expect to conclude that project this May, which is about a year ahead of our original schedule. 
In Kentucky, a major focus will be approval of the compliance plan and cost recovery for the environmental construction projects that I highlighted earlier. 
Another key objective is to work with the state of Kentucky to address the Clean Power Plan in the best interest of our customers and our shareholders. 
In the U.K, our team is focused on continued regulatory performance and adding to a long history of operational excellence. We'll also look to continue to hedge our 2018 British pound currency exposure be on the 20% that we've been able to hedge to date at or near our budgeted rate of $1.60 [ph] per pound. 
We built some capacity in our business plan to further hedge 2018. And at the current stock rate of through the pound of about $1.46, we feel confident that we will be able to achieve our stated earnings growth rates through 2018. 
Turning to Slide 9. We expect infrastructure investment to continue to drive rate base and EPS growth in the coming years. We plan to invest nearly $10 billion from 2016 to 2018 to modernize and strengthen our transmission and distribution systems and to address environmental regulations in Kentucky. 
Constructed brake mechanisms in the premiere jurisdictions where we operate allow me real-time recovery of much of that investment. More than 80% of our regulated capital expenditures are subject to minimal or no regulatory lag. 
Based on planned infrastructure spending, we expect the rate base to grow by $4.3 billion from 2015 to 2010. We expect compound annual EPS growth through 2018 of 5 to 6 [indiscernible] for 2014 earnings from ongoing operations of $2.03 per share. 
As you know, prior to the year-end 2015, passage of the Act Congress extended 50% [ph] bonus depreciation from 2015 through 2017, with a reduction in bonus to 40% in 2018 and 30% in 2019 with a 0% thereafter. 
The impact of bonus depreciation expansion are factored into our earnings projections. Vince will speak more about this in just a bit. 
We're confident we will be able to achieve this growth rate given our low-risk business plan, the premium jurisdictions in which we operate and our demonstrated ability to manage our foreign currency exposure in the U.K. 
I look forward to your questions after we hear some additional earnings details from Vincent Sorgi. Vince?"
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Executives","Thank you, Bill, and good morning, everyone. That is Slide 11 for a review of segment earnings. Full year 2015 earnings from ongoing operations increased over the prior year from 2014 adjusted earnings of $2.03 per share to $2.21 per share, slightly ahe",2518,"Thank you, Bill, and good morning, everyone. That is Slide 11 for a review of segment earnings. 
Full year 2015 earnings from ongoing operations increased over the prior year from 2014 adjusted earnings of $2.03 per share to $2.21 per share, slightly ahead of the midpoint of our earnings guidance range. The main drivers of growth were higher earnings in the U.K. Regulated and Kentucky Regulated segments as well as lower cost in Corporate and Other, partially offset by lower earnings from the Pennsylvania Regulated segment. 
The favorable $0.10 in Corporate and Other is properly driven by the corporate restructuring efforts. 
Before I get into the segment details, let's briefly discuss the fourth quarter results as well as domestic weather for the year compared to the prior year and compared to our 2015 bucket. 
Our fourth quarter earnings from ongoing operations decreased over last year by $0.06 per share, driven primarily by lower earnings from the U.K. Regulated segment as a result of transitioning to the RIIO-ED1 regulatory period. Pennsylvania Regulated and Kentucky Regulated segment were both slightly negative this year versus last, affecting the impact of less favorable weather. And Corporate and Other was better this year, resulting from the corporate restructuring. 
Overall, domestic weather was flat compared to the prior year that had a positive impact compared to budget by about $0.02. Favorable weather for the first 9 months of the year was partially offset by the warmer weather experienced primarily in December. 
Let's move to a more detailed review of the 2015 segment earnings drivers starting with the Pennsylvania results on Slide 12. Our Pennsylvania Regulated segment earned $0.37 per share in 2015, a $0.03 decrease compared to 2014. This decrease was due to higher O&M expenses as a result of higher service company allocation due to the spinoff of the Supply business. And also our strong performance throughout the year provided us the opportunity to take advantage of additional spending opportunities focused primarily on improving bigger liability, which will benefit future periods. 
Depreciation was higher due to additions and we had bought higher financing costs related to prior debt -- prior year debt issuance. 
Partially offsetting these negative factors were higher margins from additional transmission investments and returns on distribution improvement capital investment and lower taxes, primarily due to the settlement of a 2011 gross receipts tax audit resulting in a $0.02 benefit this year. 
Moving to Slide 13. Our Kentucky Regulated segment earned $0.51 [ph] per share in 2015, a $0.04 increase from 2014. This increase was due to higher gross margin, which is the net effect of electric and gas base rate increases affected our IFRS in 2015 and returns on additional environmental capital investments, partially offset by lower volumes due to warmer weather in November and December of this year compared to the prior year and lower industrial sales. 
And while the first quarter was colder than average, it was not as cold as the polar vortex driven weather in 2014. These net positive results were partially offset by higher O&M expenses, including costs associated with the return of the Cane Run facility of $0.02 and higher financing costs related to the September 2015 debt issuances. 
Moving to Slide 14. Our U.K. Regulated segment earned $1.44 per share in 2015, a $0.07 improvement compared to 2014. This increase was due to lower U.S. income taxes primarily from lower taxes on dividends in 2015 compared to 2014 and lower U.K. income taxes resulting from a lower effective tax rate in the U.K. due to a reduction in the statutory tax rate. 
While our depreciation expense from the asset life extension we discussed earlier this year also contributed to the improvement, which was partially offset by increased depreciation from asset efficiency. 
These increases were partially offset by lower gross margin as we transition to RIIO-ED1 on April 1 of this year, partially offset by the April 1, 2014, price increases and higher O&M expenses. 
Before we move to the next slide, I wanted to mention that similar to last year, we will provide you unaudited consolidated financial information for PPL Global LLC for 2015. We expect to furnish those statements separately and an 8-K to be filed at the time we file our 10-K in a couple of weeks. 
Turning to Slide 15. We have prepared a walk from our 2015 ongoing earnings of $2.21 per share to the $2.35 per share midpoint of our 2016 earnings forecast. 
Our Pennsylvania Regulated segment is forecast to contribute $0.10 to the improvement in 2016 earnings. This increase is primarily driven by the distribution base rate increase, which became affected effective January 1, 2016, at higher transmission margins and lower O&M. These positive drivers are expected to be partially offset by higher depreciation, higher financing costs to fund the capital growth in Pennsylvania and the tax benefit received in 2015 from the release of a gross receipt tax reserve. 
Our Kentucky Regulated segment also puts us higher earnings of $0.06 per share. These increases primarily driven by realizing a full year of electric and gas rate increases that became effective July 1, 2015, and higher returns on additional environmental capital investments and higher retail loan and other margins. 
Higher margins are expected to be partially offset by higher depreciation on an increased plan in service and higher interest expense to fund the capital growth in Kentucky. 
In the U.K., we project slightly lower segment earnings due to the higher financing costs, primarily from a full year of interest expense on the December 2015 debt issuances, higher depreciation expense from asset efficiencies, higher taxes and other, and unfavorable effects of foreign currency, as we execute from 2016 restrikes to hedge 2018 earnings near our budgeted rate of $1.60 [ph]. 
These negative drivers are partially offset by lower O&M, including pension expense and higher gross margins from price increases. 
Corporate and Other is expected to be relatively flat year-over-year, which is slightly higher interest expense in 2016 driving the increase. 
In addition, for the U.K. Regulated segment, you will see in the appendix on Slide 27 that we have provided 1 additional year of earnings production. Our U.K. earnings guidance range for 2017 is $1.40 per share to $1.50 per share, with the midpoint of $1.45 per share. 
Turning to Slide 16. As Bill mentioned earlier in the call, we are confident in our ability to achieve our 5% to 6% earnings growth targets through 2018, off of our 2014 adjusted ongoing earnings of $2.03 per share. 
We now expect 9% to 11% growth in our domestic utility earnings and approximately 2% growth coming from our corporate restructuring effort. And we increased our expectation slightly in our U.K. business over this time period to 1% to 3% growth, up from 1% to 2% growth. 
The 1% to 3% represents growth off of 2014 earnings of $1.37 [ph] per share, which incorporates the lower depreciation expense from the asset life extension and our updates on incentive revenues, a well as lower net pension expense in part due to updating our pension discount rate methodology to utilize the stock rate method recently approved by the SEC to measure both service cost and interest cost. 
This change in pension discount rate methodology was only applied to the U.K. pension plan as the method we used in the U.S. to set our discount rates did not qualify for the spot rate method approved by the SEC. 
Several key drivers to our organic growth in the domestic utility includes strong transmission rate base growth of 14% through 2018 in Pennsylvania and favorable rate base outcomes contribute to our growth in both Pennsylvania and Kentucky. The successful execution of our CapEx plans is critical to all 3 of our business segments. We continue to assume minimal load growth over the period in both Kentucky and Pennsylvania. 
Also included in our 5% to 6% earnings growth forecast is the full 5-year extension of bonus depreciation. 
As a reminder, when we updated our 2017 earnings growth target to 6% last quarter, we had assumed a 2-year [ph] extension of bonus depreciation. Incorporating the full 5 years of bonus depreciation did not have a significant incremental effect on our 2018 earnings. 
While extending bonus depreciation is a net negative to earnings, it is positive from a credit perspective, especially from in the back end of the planning period. Over the next 5 years, we expect bonus depreciation to reduce our federal cash tax position by about $270 [ph] million and we do not expect to be a significant cash tax payer to at least the next 5 years. 
The increase in available cash combined with our stronger earnings growth has enabled us to reduce our equity needs from $020 million per year to $100 million per year and maintain our targeted credit metric. 
For the U.K. Regulated segment, of course, executing on the off-jam accepted RIIO-ED1 plan has been built into the growth assumptions and provides 8 years of base revenue certainty, discontinued opportunity to outperform target. 
We have also assumed that budgeted currency rate of $1.56 [ph] per pound for 2016, $1.58 [ph] per pound for '17 and $1.60 [ph] per pound for 2018, which includes existing hedge position. 
The inflation rate used for the 2015, '16 regulatory year was 2.6%, which will be chewed up for actual inflation in the 2017, '18 regulatory. 
We are now assuming the actual inflation rate for 2015 to '16 will be 1.3% and the adjustment to chew up the 2.6% [ph] down to the 1.3% has been included in our 2017 and '18 earnings forecast and FX 2017 revenue by approximately $0.03 per share. We have provided additional details on the chew-up mechanisms to base revenue on Slide 30 in the appendix. 
Our IPI assumption for 2016, '17 are now 2.3% [ph] and 3.1% for '17, '18, consistent with the Treasury forecast. We have increased our incentive revenue estimate for 2016 to the high end of our previous $120 million to $130 million range. 
We are assuming the same incentive revenues of last quarter for 2017 and 2018. And finally, we are assuming an effective tax rate in the U.K. of about 17%. 
For Corporate and Other, we have built into the growth rate achieving the full $75 million in corporate support cost savings and an additional $0.02 per share improvement by 2017. 
On Slide 17, we're providing an update to our view of domestic cash flows for 2015 and 2016. 
As you can see in the table, we expect to have sufficient domestic cash flow to fund our maintenance capital and the common stock dividend with almost $300 [ph] million left over in 2016 [ph] to fund dividend growth and growth CapEx. We have now domestic debt maturities in 2016 to the debt equity issuances in the U.S. will fund the rest of our growth CapEx. 
Moving to Slide 18. Our planned capital expenditures for 2016 through 2020 are detailed on the slide. These regulated utility investment totaling about $16 [ph] billion over the period and about $3.2 billion to $3.3 billion per year. This includes previously announced initiatives such as the U.K. spending for our accepted RIIO-ED1 business plan, executing on our environmental compliance plans in Kentucky to meet EPA regulations, updating and modernizing aging infrastructure in Pennsylvania, including programs that identify areas to strategically improve system performance and reliability. This capital plan still excludes any impact of between power plants. 
Moving to Slide 19. Our revised capital plan reflects generally the same spending levels in the U.K. as last year's plan, except for some slight increased spending on faults and overhead repairs in 2016. We reduced investment of approximately $650 [ph] million in Kentucky as we deferred a projected natural gas combined cycle plant. However, new gas power generation may ultimately be part of our clean power plant compliance strategy, which I've noted on Slide 18, is not include in our projection. This was partially offset by additional reliability based programs in the transmission and distribution businesses in Kentucky while environmental spending has remained fairly consistent with the prior plan. 
In Pennsylvania, we are experiencing higher-than-expected increases in reliability based on all the capital investments we've made to date. As a result, we now believe we can achieve our targeted reliability with about $270 [ph] million less of distribution capital compared to last year's plan. 
Anticipated transmission spend remains relatively consistent with the prior plan. These investments are expected to result in additional improvements in reliability over the next 5 years. 
And consistent with last year's plan, our capital plan is based on identified projects across the portfolio and does not include unidentified growth projects. 
Turning to Slide 20. Our rate base is now expected to grow at a 5.3% CAGR over the next 5 years, which incorporate the 5-year extension of bonus depreciation and the deferral of the second combined cycle gas plant in Kentucky. 
And finally, moving to Slide 21. On this slide, we provide an update to our GDP hedging status for 2016, '17 and '18, including sensitivities through $0.05, $0.10 and $0.15 downward movement in the exchange rate compared to our budgeted rate of $1.60 [ph] on our open position. We are 95% hedged through 2016 at an average rate of $1.56 [ph]. For 2017, we have continued to layer on hedges during the quarter and have increased our hedge percentage from 66% [ph] at the end of the third quarter to 89% today at an average rate of $1.58 [ph]. 
You can see from the sensitivity table that there's no exposure for '16 and minimal exposure for 2017. 
We've also started to hedge our 2018 earnings and are now 20% hedged at an average rate of $1.60. It's important to note as well that included in our earnings guidance ranges is an upside to hedge about 50% of our 2018 U.K. earnings. 
After we get about 50% hedge for 2018, our risk program would not require us to layer on additional hedges until about mid-2017. 
Switching to RPI. Also on this slide, we show our RPI sensitivity, which has been updated as well. 
As I discussed earlier, we are now incorporating a 1.3% RPI rate in our current 2015, '16 planning assumptions compared to the 2.6% included in our tariff. 
Therefore, the 2017 RPI sensitivity for a half percent downward movement in the '15, '16 RPI is now off the current budget of 1.3%. 
In November 2015, we set our 2016, '17 and 2017, '18 tariff based on the forecasted RPI at that time consistent with Ofgem's guidance. 
Now we have -- now that we've completed the tariff setting process for the next 2 regulatory years, in November of 2016, only 1 additional year of tariff for 2018, '19 will be set based on the RPI forecast at that time. 
Overall, we're confident in our ability to manage our FX exposure and we've incorporated the low RPI environment into our earnings growth projections. 
That concludes my prepared remarks and I'll turn the call over to Bill for the Q&A period. Bill?"
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Executives","Great. Thank you, Vince. And operator, let's open the call for questions, please.",13,"Great. Thank you, Vince. And operator, let's open the call for questions, please."
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Operator","[Operator Instructions] And our first question will come from Daniel Eggers of Credit Suisse.",14,"[Operator Instructions] And our first question will come from Daniel Eggers of Credit Suisse."
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Analysts","Bill, can you just maybe share some thoughts, you guys laid on a lot of the CapEx, but obviously, the clean power plants, one of these yet to be determined, potentially a big deal particularly for Kentucky. Given the fact that states now positioned in Pen",81,"Bill, can you just maybe share some thoughts, you guys laid on a lot of the CapEx, but obviously, the clean power plants, one of these yet to be determined, potentially a big deal particularly for Kentucky. Given the fact that states now positioned in Pennsylvania is kind of just functionality, how do you guys see your 2 states playing for us coming with plans and when do you think a better handle on how you guys in the to comply?"
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Executives","Sure. Let me give some general comments and I'll ask Vince to talk specifically about Kentucky. But I think in both states' cases, while they maybe opposed and legally challenged in the clean power plant, I think pragmatically speaking, they both recogniz",118,"Sure. Let me give some general comments and I'll ask Vince to talk specifically about Kentucky. But I think in both states' cases, while they maybe opposed and legally challenged in the clean power plant, I think pragmatically speaking, they both recognize that probably beginning to work on a state implementation plan would be a prudent thing to do compared to just waiting perhaps a federal implementation plan to be upon them. So I think generally speaking, both states, I believe, will constructively work with our utilities to come up with an alternative should their efforts to overturn the rule fail. So with that a little bit of background, bids, could you want to talk specifically about the..."
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Executives","Yes, just recently, our governor has announced that not withstanding the fact that Kentucky will continue to mitigate as well our company, we will, in fact, financial times expand to push out the our compliance plan for at least additional 2 years. I thin",191,"Yes, just recently, our governor has announced that not withstanding the fact that Kentucky will continue to mitigate as well our company, we will, in fact, financial times expand to push out the our compliance plan for at least additional 2 years. I think in the interim, we will continue to work with them to develop a plan that will be in the best interest of Kentucky consumers. We will be working with the Kentucky Public Utility Commission, of course, to get a plan that's acceptable. And then throughout my perspective, I would anticipate us perhaps concentrating another combined cycle plan later in the planning FX outside this period, probably by 2022. But I do think Kentucky realizes that it would like to maintain the electability both to grow the plan and not to the subject to New York federal implementation plan. And second, be in a position to the extent mitigation should be successful was in part or in total. So that's where we are. And I think it will be a constructive exercise for all of us. And I think the state recognizes they need to maintain the flexibility."
185508,322776648,926743,"PPL Corporation, Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","PPL Corporation","Analysts","Okay. So I guess should we just take from that that we're not going to see a lot of incremental layer in the CapEx in Kentucky until there's more action on this front as kind of the [indiscernible]",38,"Okay. So I guess should we just take from that that we're not going to see a lot of incremental layer in the CapEx in Kentucky until there's more action on this front as kind of the [indiscernible]"
