"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Operator","Good morning. My name is Sean, I'll be your conference operator today. At this time, I'd like to welcome everyone to the Q4 2015 PulteGroup, Inc. Earnings Conference Call. [Operator Instructions] Thank you. Mr. Jim Zeumer, you may begin your conference.",41,"Good morning. My name is Sean, I'll be your conference operator today. At this time, I'd like to welcome everyone to the Q4 2015 PulteGroup, Inc. Earnings Conference Call. [Operator Instructions] Thank you. Mr. Jim Zeumer, you may begin your conference."
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Executives","Thank you, Sean, and good morning to everyone participating in the conference call to discuss PulteGroup's fourth quarter financial results for the 3 months ended December 31, 2015.Joining me for today's call are Richard Dugas, Chairman, President, CEO;",177,"Thank you, Sean, and good morning to everyone participating in the conference call to discuss PulteGroup's fourth quarter financial results for the 3 months ended December 31, 2015.
Joining me for today's call are Richard Dugas, Chairman, President, CEO; Bob O'Shaughnessy, Executive Vice President and CFO; and Jim Ossowski, Vice President, Finance and Controller.
A copy of this morning's earnings release and the presentation slides that accompanies today's discussion are posted to our corporate website at pultegroupinc.com. We will also post an audio replay of today's call to the site later on.
Let me remind all participants that today's presentation may include forward-looking statements about PulteGroup's future performance. Actual results could differ materially from those suggested by any comments made today. The most significant risk factors that could affect future results are summarized as part of today's earnings release and within the accompanying presentation slides. These risk factors and other key information are detailed in our SEC filings, including our annual and quarterly reports.
With that said, let me turn the call over to Richard Dugas. Richard?"
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Executives","I'm extremely pleased with PulteGroup's fourth quarter earnings, which showed significantly improved results across key business metrics. In addition to ending 2015 with very strong results, our fourth quarter operating and financial performance provided",931,"I'm extremely pleased with PulteGroup's fourth quarter earnings, which showed significantly improved results across key business metrics. In addition to ending 2015 with very strong results, our fourth quarter operating and financial performance provided a foundation we can build on in 2016 as we capitalize on opportunities to accelerate the growth of our homebuilding business. 
Bob will go through a detailed review of our Q4 financials in a moment but there are a couple of numbers and points that I'd like to highlight. Order rates in the fourth quarter were up 13%, which is the biggest year-over-year percentage jump we have realized since 2012. As solid as this number is, what I view even more encouraging is the 9% gain and absorption pace that we realized in the quarter. We've always said that generating higher sales within our existing footprint is the most efficient way for us to grow volumes and ultimately, earnings. Pulte's disciplined approach to acquiring the right land positions over the past several years is having a positive impact on our results. 
Along with order rates, the average sales price we were able to realize for or comes continue to increase. In the fourth quarter, closing ASPs were up 6% to $353,000, while backlog ASPs gained 10% to $365,000. 
Between market opportunities, mixed shifts and ongoing implementation of our strategic pricing programs, we expect ASPs will continue to move higher in 2016 versus comparable quarters in 2015. Our recently closed purchase of assets from John Wieland Homes and Neighborhoods will further our pricing gains given their higher price points. 
I also want to highlight our gross margins, which at 23.5%, is up 40 basis points over last year and remains arguably among the highest in our industry. 
As we have discussed for the past several years, we've implemented a number of programs from product and purchasing zones and commonly managed plans to shoot [ph] cost and strategic pricing. As an example, almost 60% of our fourth quarter closes were from commonly managed plans that have the benefit of increased consumer feedback and more efficient floorplan design. 
The goal of all this work has been to improve sales paces and gross margins in support of delivering higher returns on invested capital. A lot of time and effort has been invested in implementing these initiatives and the gains are evident in our results. 
Given that the financial improvements we realized in the quarter were so broad-based, I could highlight a number of other metrics in my comments. I purposely picked order rates, ASPs and gross margin, because there is at least one common element, which I believe has been an important factor in all 3 metrics. That common element is land. 
In 2011, we launched a Value Creation strategy with is focused on delivering higher returns on invested capital over the housing cycle. By 2013, we had raised returns to the point where they exceeded our cost of capital. Since that time, we have purposely increased investment into the business because it makes economic sense to do so. While we have raised investment, we have done so while adhering to the guidelines and disciplines we put in place back in 2011. These disciplines include: Underwriting projects through a defined 13-point risk-weighting scorecard that helps ensure we select the highest-returning projects, focusing on land positions that are closer in to job centers and located in the better markets and submarkets, prudently using options, which now account for 31% of all lots and 34% of our more traditional Pulte and Centex land positions to help enhance returns and/or mitigate land risk. 
Even though we are heading to develop over 70% of lots of the use, we have systematically expanded the percentage of option lots we maintain. We continue to emphasize investing in shorter, faster-turning projects with an average investment cycle of 36 to 48 months from acquisition to completion. By focusing in on shorter-duration projects, we helped to minimize risk should a housing downturn emerge sooner than expected. 
As an example, we expect to recoup the capital we invested in the John Wieland assets in less than 4 years, and we expect fthe purchase to be accretive to company returns by year 2. 
By strategically investing in land over the past few years, we have assembled a robust land pipeline that should allow PulteGroup to grow at a rate consistent with, or ideally ahead of the overall housing market. 
Our just-completed Wieland transaction will certainly support this effort. The John Wieland Homes and Neighborhoods brand is highly regarded in the Southeast, particularly within the luxury buyer category. Beyond the opportunities we see to expand this position, we also see the potential to deploy our Pulte brand also certain Wieland positions as we work to increase volumes and accelerate the future absorption of the acquired lots. Again, by enhancing returns. 
By focusing as instantly all the quality, not just the quantity of the land assets we acquire, we put ourselves in the best position to maximize sales pace, pricing, margins and most importantly, returns on invested capital, while working to mitigate excess market risk. 
Through our Value Creation strategy, we have now put the company in a position to grow, while continuing to generate better financial performance and consistently returning funds to our shareholders. And we have done all this while taking a more conservative, lower-risk approach to our business. 
Growth, strong returns and properly managed risk, we think this is a great combination. 
Now, let me turn over the call to Bob for a more thorough review of the quarter. Bob?"
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Executives","Thanks, Richard, and good morning. PulteGroup's Q4 financial results are a direct reflection of the meaningful improvements we continue to realize in our core homebuilding operations. As I will detail, these gains could be seen throughout our fourth qua",1712,"Thanks, Richard, and good morning. PulteGroup's Q4 financial results are a direct reflection of the meaningful improvements we continue to realize in our core homebuilding operations. 
As I will detail, these gains could be seen throughout our fourth quarter financial statements. 
Fourth quarter homebuilding revenues totaled $2 billion, which is up 12% from prior year revenues of $1.8 billion. The increase in Q4 revenue is driven by a 7% increase in closings to 5,662 homes, combined with a 6% increase in average sales price, $353,000. Although not a metric we manage against, the 5,662 homes closed in the fourth quarter equates to a backlog conversion rate of 65%. 
As we addressed on our most recent calls, we are working to close the year-over-year performance gap we've experienced with regard to getting homes delivered. We're pleased with the progress we've made in the fourth quarter. 
Having said that, the challenges we in the industry face with regard to labor resources and extended land development time lines are not likely to improve in the near term. We believe, however, that our decisions to prudently increase that production should help us to maintain a more consistent build cadence going forward.
In the quarter, closings by brand were as follows: 19% of homes were from Centex communities; 55% were from Pulte community; and 26% were from Del Webb. In the fourth quarter of last year, closings from Centex, Pulte and Del Webb were 24%, 46% and 30%, respectively. 
Given the profile of projects we're investing in, coupled with the projected impact of assets acquired in the Wieland transaction, we believe that describing our customers by buyer group rather than by brand, will better represent the makeup of our business. As a result, beginning in Q1, we will address buyer groups rather than brands. 
In the fourth quarter, closings by buyer group were as follows: 31% were first-time buyers; 40% were move-up buyers; and 29% were active-adult buyers. In 2014, closings by buyer group were 34% first time, 33%, move-up; and 33%, active-adult. The company recorded gross margins of 23.5% in the fourth quarter, which is up 40 basis points over the prior year. 
As has been an ongoing trend, fourth quarter margins were enhanced by higher option and lot premium revenues. In fact, option revenues in the quarter increased 10% or $4,976 per closing while lot premiums gained 16% or $1,868 per closing. 
Sales discounts remained modest at just 2.2% or $8,026 per home compared with 2.1% or $7,040 per home last year. Since implementing our strategic pricing programs since 2011 is part of our Value Creation strategy, option revenues per home have increased by $19,800 or 58%, while lot premiums per home has increased by approximately $7,100 or 107%. 
We believe our more strategic approach to pricing has been a key contributor to the high gross margins we continue to maintain. 
Reported fourth quarter SG&A expense of $139 million were 7% home sale revenues including the benefit of a $30 million reversal of content-related insurance reserves. 
Reported prior year SG&A expense of $146 million or 8.2% of home sale revenues reflected a $15 million reversal of construction-related insurance reserves. 
Looking at the full year, our reported SG&A of $590 million, which was 10.2% of homebuilding revenues, includes the benefit of $62 million or 110 basis points associated with certain legal settlements and reserve reversals. 
PulteGroup's financial services segment reported fourth quarter pretax income of $29 million, which includes the reversal of $12 million of mortgage repurchase reserves. The decision to reduce reserves is based on probaly settlements of various repurchase requests and current conditions. 
Mortgage capture rate in Q4 was 83%, up from 81% in the prior year. I'd like to take a moment to highlight the efforts of our financial services team including title, immediate challenges to the new regulatory environment under trade. Our teams did a tremendous job in closing Pulte mortgage loans [indiscernible] since supporting our customers under the new homes. Our President and CEO of financial services, and her team are recognized leaders in the industry and did a fantastic job implementing the changes needed to operate within the new trade guidelines. 
Looking at net income for the fourth quarter, reported $228 million or $0.64 per share, which includes $0.07 per share benefit from insurance and mortgage reserve reversals taken in the quarter. Our per share earnings were calculated using approximately 352 million shares outstanding for the quarter, which is down 6% from last year, largely as a result of our share repurchase activities. 
As part of our income statement review, we want to provide some thoughts about 2016. Given our backlog and anticipated land, labor and material cost, we expect 2016 homebuilding margins, inclusive of the dilutive effect of the Wieland transaction, to remain high within the range of 21.5% to 22%. This annual margin guide includes the negative impact for the Wieland transaction of approximately 100 basis points in the first quarter, 80 points in the second quarter and 50 basis points in each of the third and fourth quarters. 
Looking at our projected SG&A, we expect that our full year spend will be approximately 10% of homebuilding revenues. Consistent with prior years, this will be impacted on a quarterly basis by the size of our closings. Based on the margin and overhead guidance we just provided, the calculated operating margin we expect to generate in 2016 is between 11.5% and 12%. 
The operating margin we reported for 2015 was 13.2%, but this was enhanced by the 110-basis-point impact from the construction-related insurance reserve reversals we recorded during the year. When you consider that our 2016 operating margin guidance of 11.5% to 12% is being negatively impacted by roughly 70 basis points from the Wieland transaction and to factor in the 110-basis-point enhancement to 2015 operating margins, you could see that the operating margins will actually flat to slightly improve in 2016 compared to 2015. 
Given headwinds the industry is facing on land and labor cost, we're very proud to be able to maintain our strong operating margins. 
Putting all this together, the combination of expected higher closing volumes, higher ASPs and overhead leverage have us positioned for strong earnings growth in 2016. 
Moving past the income statement and reviewing our homebuilding operations, we ended the fourth quarter with a total of 6,494 homes under construction. That accounted for 30% of the homes under production, which is up from 26% this time last year. 
As discussed, we have purposely increased the amount of spec homes we have in the pipeline to help maintain a more even construction cadence. In the fourth quarter, we approved approximately 7,000 lots for purchase, excluding the Wieland assets as that deal closed in mid-January. We ended the year with 138,000 lots under control, of which approximately 42,000 lots or 31% were controlled via option. We continue to see [indiscernible] opportunities to increase our use of land options in an effort to enhance returns and to lower our overall risk profile. Of our controlled lots, approximately 23% are finished and 18% are currently under development. 
As Richard discussed, we continue to used to refine a disciplined approach to our land investments. Consistent with our land acquisition guidelines, we invested $485 million of land acquisition in Q4 and and additional $304 million for development of previously acquired lots. These investments brought our full year land-related spend to $2.3 billion. 
For the year, we invested approximately $1.2 billion to acquire new land. Looking ahead to 2016, including the money invested to acquire the Wieland assets, we have authorized $1.6 billion for land acquisition. As always, this level of investment is predicated on our continuing assessment of the market and on our ability to identifying suitable, high returning projects. 
Looking at our capital allocated to shareholders in the fourth quarter, we distributed $28 million in dividends and did not repurchase any of our stock. The net of share repurchase activities was due to the trading limitations resulting from work to close our previously disclosed term loan and to acquire the Wieland assets. We expect our share repurchase programs to become active again beginning in the first quarter of 2016. 
Based on our fourth quarter activity, we ended the year with $775 million of cash and a debt-to-capital ratio of 30%. As Richard noticed at the start of this call, we realized strong new order growth in the fourth quarter as orders were up 13% over last year to 3,659 homes. Higher orders for the period were driven by a 9% increase in absorption basis as all 3 buyer groups realized higher prices. 
It should be noted that we expect absorption paces in the first half of 2016 to be lower as we integrate the Wieland communities with their typical operating model of higher ASPs and slower absorption paces relative to Pulte averages. 
Breaking down orders by buyer group, on a year-over-year basis, our first time buyer business was flat, while move-up and active-adult orders increased 35%, 3% respectively. 
Adjusting per community count, our absorption paces were up 16% for first-time buyers, 11% for move-up buyers and 9% for active-adult buyers. On a dollar basis, orders for the fourth quarter came 24% to $1.4 billion, helping to raise the average sales price and backlog to $365,000. 
It's important to remember that normal business seasonality and its impacts on the mix of closings will typically result in lower delivered ASPs in the first quarter of each year. 
The company operated out of 620 communities during the fourth quarter, which is up 4% over the prior year. Looking ahead, we currently expect community count growth versus comparable prior year period to be in the range of 8% to 10% in the first 2 quarters of the year, increasing to 10% to 15% growth in the back half of the year. This will be our largest year-over-year increase in community count since the housing recovery began. Supported by our strong orders in the fourth quarter, we ended 2015 with a backlog of 6,731 homes valued at $2.5 billion. The growth in our year-end backlog of 15% in units and 26% in dollars compared to last year is as great momentum heading into '16. 
Now let me turn the call back to Richard."
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Executives","Thanks, Bob. As Bob detailed, the company's -- the company realized meaningful improvement in our operating and financial results for the quarter. Given the strength of our operating metrics and the expansion of our land pipeline, we are in excellent posi",682,"Thanks, Bob. As Bob detailed, the company's -- the company realized meaningful improvement in our operating and financial results for the quarter. Given the strength of our operating metrics and the expansion of our land pipeline, we are in excellent position to grow earnings in 2016 and beyond. 
As has been our practice, let me provide a few comments on the market conditions which drove our fourth quarter results. Consistent with our Q4 increases in orders and absorption pace, we experienced generally higher buyer traffic to our communities, a pattern we realized throughout 2015. Further, many of the trends we experienced earlier in 2015 continued through Q4 with stronger demand in the better-located and on average, closer-in communities. 
Specific to the fourth quarter, buyer demand remained positive, up and down the East Coast with notable strength in the Southeast from the Carolinas down to Florida. We've talked about positive demand trends in the Southeast for a number of years. it is this trend and our expectations for long-term growth in the Southeast markets, particularly the bigger markets of Atlanta, Charleston, Charlotte and Raleigh, which made the transaction with John Wieland so compelling. 
Looking to the center of the country, demand conditions remain favorable, although we continued to experience volatility in the performance of underlying markets. Demand in the Midwest showed some positive gains as we benefited from an expanded community count in several markets. Our Texas business in Q4 was slowed by having roughly 10% fewer open communities available-for-sale versus the prior year. In addition, our Texas numbers were impacted by ongoing demand softness in the higher-priced communities in Houston, resulting from the prolonged weakness in the energy markets. Given current conditions, we are being very thoughtful about deploying additional capital in the region and will continue to carefully monitor demand throughout the state. 
The Western third of the country continued to realize excellent demand from Washington through California and through our markets in Arizona, Nevada and New Mexico. Overall, we were pleased with how demand conditions developed in the fourth quarter. We have seen a continuation of good traffic and demand trends through the first few weeks of January so we have every reason to be optimistic heading into the spring selling season. 
Consistent with our long-held expectations for a gradual but sustained recovery, 2015 new home sales of approximately 500,000 units for the country were up 15% over last year. Given the favorable market dynamics of strong job growth, accelerating household formations, supported demographic trends and continued low interest rates, we expect in home sales will continue to slow and steady path higher for the next several years. That being said, we are well aware of the volatility in the world today. Our concerns about global economic conditions to the swoon in oil prices, the gyrations to the stock market, the day to day swings can be violent. The reality is, however, that we can't control any of these factors, but what we can do is focus on running our business consistent with the goals we have established and disciplines we have demonstrated. This means acquiring well located communities that we believe can deliver high returns on investment. 
It also means hedging our bets by using more land options where possible and focusing in on smaller, shorter-duration projects where we can get our capital back quickly. It also means not over leveraging the balance sheet and keeping one hand on the levered to slow investment yet housing demand begins to change. And finally, it means having the discipline to systematically give excess funds back to shareholders better than trying to force investments in the system. 
We ended 2015 with a strong fourth quarter performance. I'm confident that we can build on these results in 2016 and further capitalize on the excellent market position I believe PulteGroup maintains today. The market position that has been built by our exceptional group of employees who work hard everyday to build great homes and deliver an unmatched home buying experience to our customers. 
Now, let me turn the call back to Jim Zeumer. Jim?"
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Executives","Okay. Thank you, Richard. We'll open the call for questions. [Operator Instructions] Sean, if you'll explain the process, we'll get started.",21,"Okay. Thank you, Richard. We'll open the call for questions. [Operator Instructions] Sean, if you'll explain the process, we'll get started."
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Bob Wetenhall from RBC Capital Markets",16,"[Operator Instructions] Your first question comes from the line of Bob Wetenhall from RBC Capital Markets"
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Analysts","Just wanted to touch on -- you guys have really robust order growth and you also noted 7.5% decline in deliveries in Texas and orders were also soft. Can you give us a view on what you're seeing in the Texas market? And specifically, is it broad-based? Or",59,"Just wanted to touch on -- you guys have really robust order growth and you also noted 7.5% decline in deliveries in Texas and orders were also soft. Can you give us a view on what you're seeing in the Texas market? And specifically, is it broad-based? Or is it -- and what's going on with price points there?"
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Executives","Bob, this is Richard. Overall, the higher price points in Houston continued to exhibit softness as we've discussed. Outside of Houston, I would say that we have a mix performance with some notable strength in Dallas. It seems to be the 1 market that conti",86,"Bob, this is Richard. Overall, the higher price points in Houston continued to exhibit softness as we've discussed. Outside of Houston, I would say that we have a mix performance with some notable strength in Dallas. It seems to be the 1 market that continues to hold up better than the rest of the markets. So overall, it's a decent housing market with the exception of the higher price points in Houston and we're being thoughtful with our investments going forward, keeping an eye on things."
294550,320199253,922500,"PulteGroup, Inc., Q4 2015 Earnings Call, Jan 28, 2016",2016-01-28,"Earnings Calls","PulteGroup, Inc.","Analysts","That's helpful. As a follow-up, great execution, it seems like you are on track with deliveries and some labor bottlenecks. Trying to understand the setup for 2016, what do you think about pace of absorption and your expectations for ASP performance? You",94,"That's helpful. As a follow-up, great execution, it seems like you are on track with deliveries and some labor bottlenecks. Trying to understand the setup for 2016, what do you think about pace of absorption and your expectations for ASP performance? You said that there's a volatility but then you look at some of your trends and they seem pretty strong. How should we be thinking about pricing trends for this cost? You touched on that gross margin, 21.5 to 22. What do you see confidence on ASP growth you can get there?"
