"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Operator","Ladies and gentlemen, thank you for standing by. Welcome to the Qualcomm First Quarter Fiscal 2016 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, January 27, 2016. The playback number for today's call i",75,"Ladies and gentlemen, thank you for standing by. Welcome to the Qualcomm First Quarter Fiscal 2016 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded, January 27, 2016. The playback number for today's call is (855) 859-2056. International callers, please dial (404) 537-3406. The playback reservation number is 24099843. 
I would now like to turn the call over to Warren Kneeshaw, Vice President of Investor Relations. Mr. Kneeshaw, please go ahead."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Thank you, and good afternoon. Today's call will include prepared remarks by Steve Mollenkopf, Derek Aberle and George Davis. In addition, Cristiano Amon and Don Rosenberg will join the question-and-answer session. You can access our earnings release and",217,"Thank you, and good afternoon. Today's call will include prepared remarks by Steve Mollenkopf, Derek Aberle and George Davis. In addition, Cristiano Amon and Don Rosenberg will join the question-and-answer session. You can access our earnings release and an executive presentation that accompanying this call on our Investor Relations website. This call is also being webcast on qualcomm.com and a replay will be available on the website later today. 
During this conference call, we will use non-GAAP financial measures as defined in Regulation G, and you can find the related reconciliations to GAAP on our website. As well, we will make forward-looking statements regarding future events or the future business results of the company. Actual events or results could differ materially from those projected in the forward-looking statements. Please refer to our SEC filings, including our most recent 10-Q, which contain important factors that could cause actual results to differ materially from the forward-looking statements. 
I'd also like to remind you that our Analyst Day will be held on Thursday, February 11, at our headquarters in San Diego. To attend in person, you must be a financial analyst or institutional investor. The analyst meeting will be webcast for those of you unable to attend in person. And now to comments from Qualcomm's Chief Executive Officer, Steven Mollenkopf."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Thank you, Warren, and good afternoon, everyone. We delivered a stronger-than-expected quarter with earnings per share coming in above the high-end of our initial guidance driven by stronger 3G/4G device sales and lower operating expenses in QCT. QCT chip",1127,"Thank you, Warren, and good afternoon, everyone. We delivered a stronger-than-expected quarter with earnings per share coming in above the high-end of our initial guidance driven by stronger 3G/4G device sales and lower operating expenses in QCT. QCT chipset shipments were near the high-end of expectations with low tier strength across OEMs, particularly in China, offsetting some weakness in thin modem sales and the key customer. QTL revenues were higher than expectations on stronger 3G/4G device volumes and ASPs, and we continue to make progress in signing up Chinese licensees although there are still more work to be done on that front. 
During the quarter, we also returned approximately $2.8 billion to stockholders through dividends and stock repurchases, which included the completion of the incremental $10 billion in stock repurchases we announced last March. This $10 billion is over and above our commitment to return a minimum of 75% of free cash flow to our stockholders. 
We are also very pleased to have announced an agreement to form a joint venture with TDK to enable the delivery of RF front end modules and RF filters into fully integrated systems for mobile devices and other IoT applications. Once closed, we will add TDK's capabilities in micro-acoustic RF filtering, packaging and modular integration technologies to our RF 360 portfolio to offer leading-edge RF solutions in fully integrated systems that we believe will provide significant advantages in performance and time to launch across our Snapdragon product tiers. The deal is expected to close in early 2017 and is forecasted to be accretive to non-GAAP earnings in its first year. We have a strong pipeline of new RF front end products, including new generations of our envelope tracker, antenna tuner, switches and CMOS and gallium arsenide PAs. Our gas PAs are anticipated to enter production in 2017. In addition, we continue to deepen our level of cooperation with and investment in China. We just announced a cooperation agreement with the province of Joe, including the formation of a joint venture that will design, develop and sell advanced server chipset technology in China. This builds on the announcement we made in October detailing the availability of our server development platform, which is now sampling to Tier 1 cloud customers and the strategic partnerships we have established with and. We continue to make good progress on the elements of our Strategic Realignment Plan and are on track to achieve our cost savings targets. 
I would also like to welcome Jeff Henderson to the Board. Jeff brings extensive financial and operational management experience to his position as an Independent Director, including 10 years as CFO of Cardinal Health and past automotive industry experience. Following our Annual Meeting in March, assuming our slate of directors are elected, our board size will be reduced to 12 members and the average tenure will be reduced to approximately 5 years. I would also like to congratulate Cristiano Amon on his promotion to President of QCT. He provided exceptional leadership over his 18 years at Qualcomm and will play a critical role in expanding QCT's road map, enhancing our customer relationships, structuring our efforts for success in our adjacent opportunities and positioning the business for long-term success. 
On that note, we continue to be pleased with the performance and design traction of our Snapdragon 820 processor. The first product announcement based on the 820 occurred at CES and we expect a number of exciting launches in the first half of this calendar year, including many at Mobile World Congress. We now have more than 100 design wins the based on the 820 and the product is entering mass production using 14-nanometer LBP technology. 
At the Consumer Electronics Show earlier this month, it was clear that many industries are looking to leverage mobile technology into their products and businesses are looking to the leaders in communications and compute systems, such as Qualcomm, to make the world more connected and smarter. Our many announcements at the show reflect our progress extending Qualcomm technology into adjacent and new areas, including automotive, IoT and networking. In auto, we announced the Qualcomm Snapdragon 602A [ph] processors will be commercially available in 2017 Audi vehicles. We've also introduced our next-generation Snapdragon 820 automotive processor as well as several other products, including our wireless charging technology. For IoT, we announced a smart home reference platform using the Snapdragon 212 processor; the new QUALCOMM active HD solution for high resolution audio over Bluetooth; a new Bluetooth smart SoC; the first commercial drone based on the Qualcomm Snapdragon Flight platform and the Snapdragon X59X07 [ph] LTE modem, which broadens our family of modem solutions for IoT. In networking, we launched Qualcomm WiFi sans, which is a self-organizing network solution to simplify WiFi networking and optimize user experience, and we showed significant traction in multi-brand WiFi, 802.11ac and 11ad enabling products across multiple segments. As we did in both 3G and 4G, we are leading the industry in the development of a unified, more capable 5G platform that will take on a much larger role than previous generations and deliver new levels of efficiency. The foundation of this platform is an OFDM-based unified air interface that will not only enhance mobile broadband services but also enable connectivity for the Internet of Things and new types of mission-critical services that require lower latency, higher reliability and robust security. 5G will also include native support for advanced technologies such as the use of unlicensed spectrum, multi-cast and device-to-device capabilities. We are pioneering these technologies today with our leadership in LTE Advanced and LTE Advanced Pro. These new technologies are paving the way for 5G and accelerating our path to a truly connected future. 
Overall, we are pleased with our progress on key initiatives, execution of the Strategic Realignment Plan, design traction for the Snapdragon 820, refreshing the QCT roadmap across tiers, broadening our presence in adjacent opportunities, progress on new licensing agreements in China, execution of our data center strategy and advancements that will extend our technology leadership position. I want to reiterate that we remain focused on execution to improve our financial trajectory exiting the fiscal year. Our industry and company are undergoing rapid changes and we are enthusiastic about the opportunities ahead. We are extending our leadership in mobile and are driving our mobile technologies and core competencies in communications systems and high-performance low-power computing into significant new areas. We have taken action to enable us to seize these opportunities while delivering improved performance. I'm optimistic about the future and have great confidence in our employees to execute on our strategies and drive growth. 
I look forward to seeing many of you at our upcoming Analyst Day, and would now like to turn the call over to Derek Aberle."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Thank you, Steve, and good afternoon, everyone. QTL had a strong fiscal first quarter with total reported device sales of $60.6 billion, which was above expectations on both higher ASPs and reported units as well as some catch-up reporting from recently c",676,"Thank you, Steve, and good afternoon, everyone. QTL had a strong fiscal first quarter with total reported device sales of $60.6 billion, which was above expectations on both higher ASPs and reported units as well as some catch-up reporting from recently concluded license agreements in China. QTL revenues in the quarter were higher than expectations and would have been even higher if not for a contract dispute with LG that resulted in us deferring revenue of more than $100 million for the quarter. Although LG continues to report and pay, we are not recognizing revenue while the arbitration regarding the dispute proceeds. We believe LG's claims are without merit. The deferral of this revenue has the effect of depressing the implied royalty rate as you would calculate it as their shipments are included in total reported device sales without the corresponding revenue. Assuming we conclude this matter successfully as we have done with others in the past, we would expect to recognize the deferred revenues at that time. 
Looking ahead, the outlook for global 3G/4G device shipment continues to be strong. With respect to smartphones in particular, there continues to be a significant opportunity for Qualcomm. LTE penetration is only 14% of cellular connections globally and smartphone unit shipments are forecast to be more than 8.5 billion from 2015 through 2019 according to GSMA intelligence and Gartner. Calendar 2015 global 3G/4G device shipments are largely in line with our prior expectations driven primarily by migrations to 4G in China, partially offset by some recent weakness in developer regions. We continue to estimate that calendar 2016 global 3G/4G device shipments will grow approximately 10% at the midpoint driven primarily by the migration to 3G/4G devices in emerging regions with particular strength in India. Our estimate for premium tier shipments is down slightly versus our prior view driven by slower-than-expected sellthrough at our large OEM. But that is offset by slightly stronger outlook for emerging region shipments. We continue to expect low single-digit growth in global 3G/4G device sales in fiscal 2016 as unit growth more than offset ASP declines. We will provide further color on our long-term outlook for the 3G/4G device opportunity at our upcoming Analyst Day. 
Now let me provide an update on our progress with licensing in China. We are continuing to aggressively seek to conclude new license agreements on the NDRC terms with the remaining Chinese OEMs and improve compliance. We are making progress with these negotiations and recently concluded new agreements with Xiaomi, Haier, T2 [ph] and Tianyu. These agreements include royalty bearing licenses for 3-mode devices and contain terms that are consistent with the terms of the rectification plan submitted to the NDRC. Having said that, we still need to conclude agreements with a handful of key Chinese OEMs, and those negotiations continue. Our progress and our ongoing interactions with the NDRC and other parts of the Chinese government continue to give us confidence that we will be able to conclude agreements with the remaining key OEMs. While we are working to conclude new license agreements and improve compliance through commercial negotiations and audits, we are prepared to enforce our agreements and take other actions against certain OEMs that are not negotiating in good faith underreporting royalties or refusing to conclude agreements in the near term. 
Turning to our outlook for fiscal 2016. We continue to expect QTL's revenues to be in the range of $7.3 billion to $8.0 billion. Although additional risk has been introduced as a result of the new LG dispute given that it could be resolved outside of fiscal 2016. In conclusion, although we are seeing some near-term softness in the premium tier, the sales of smartphones remain healthy and should continue to grow. We remain confident that we'll be able to resolve the dispute with LG, conclude new agreements with remaining key Chinese OEMs and improve compliance over time. 
That concludes my comments and I look forward to seeing many of you at our upcoming Analyst Day. I will now turn the call over to George."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Thank you, Derek, and good afternoon, everyone. Our first quarter results reflect the strong quarter relative to November guidance and are consistent with our update a few weeks ago. Fiscal first quarter revenues were $5.8 billion and non-GAAP earnings pe",896,"Thank you, Derek, and good afternoon, everyone. Our first quarter results reflect the strong quarter relative to November guidance and are consistent with our update a few weeks ago. Fiscal first quarter revenues were $5.8 billion and non-GAAP earnings per share were $0.97, $0.12 above the midpoint of our original guidance. The outperformance primarily reflected stronger revenues in our licensing business and accelerated cost reductions in QCT. We also benefited at the end of the quarter from the permanent reinstatement of the R&D tax credit impacting non-GAAP earnings per share by approximately $0.01 to $0.02. In QTL, higher-than-expected ASPs and shipments led to stronger revenues at $1.6 billion and more than offset the dispute impact in the quarter. Total reported device sales includes some reported devices without the corresponding revenue from the LG dispute that Derek described as well as some deferred 3-mode revenues. QCT shipped 242 million MSMs with revenues of $4.1 billion and operating margin of 14%, reflecting stronger-than-expected demand in the low tier, particularly in China, partially offset by lower-than-expected shipments of thin modems. For the company, non-GAAP combined R&D and SG&A expenses were lower than our expectations decreasing approximately 2% sequentially, reflecting an acceleration of some of our SRP cost initiatives originally forecasted to be taken later in the fiscal year. 
Operating cash flow was strong at $2.7 billion or 47% of revenue for the quarter and we returned $2.8 billion to stockholders in the form of dividends and buybacks. As of the end of the fiscal first quarter, we had approximately $4.9 billion of our stock repurchase authorization remaining. Our non-GAAP tax rate was 17% in the fiscal first quarter and we now estimate that our fiscal 2016 non-GAAP tax rate will be approximately 18%, including the impact of the permanently reinstated R&D tax credit, down from our previous estimate of 19% to 20%. 
Now turning to fiscal 2016. For QTL, we are not modifying the prior $7.3 billion to $8.0 billion range -- revenue range for the year. However, that range did not anticipate deferral of revenues related to the LG dispute. While we are working hard to resolve this dispute and believe their claims are without merit, it is possible that the resolution will not occur in fiscal 2016. In this case, the deferral of the LG revenue outside of the fiscal year could impact the range by several hundred million dollars. In QCT, we continue to expect improving trends in the second half of the fiscal year on new product traction. We also continue to expect to achieve a QCT operating margin of 16% or better in the fiscal fourth quarter. We remain on track to meet the spending reduction objectives under the Strategic Realignment Plan and now expect at least $700 million of savings in fiscal 2016 and to exit the year at a savings run rate of $1.1 billion. We expect fiscal 2016 non-GAAP combined R&D and SG&A expenses will be down approximately 2% to 4% year-over-year, down an additional 1% at the midpoint on earlier capture of cost savings related to previous estimates. 
Turning to our guidance for the second quarter of fiscal 2016. Our outlook reflects a seasonally strong December quarter for 3G/4G device shipments for QTL and a seasonally lower first calendar quarter MSM shipments for QCT. Consistent with last quarter, our guidance does not include a forecast of potential revenue from signing new license agreements in China and we have excluded estimated revenue from LG as a result of the dispute. We estimate revenues to be in the range of approximately $4.9 billion to $5.7 billion and non-GAAP earnings per share to be in the range of approximately $0.90 to $1 per share. We anticipate fiscal second quarter non-GAAP combined R&D and SG&A expenses will be down approximately 2% to 4% sequentially, reflecting continued progress on our SRP initiatives. In QTL, we estimate total reported device sales of $65 billion to $73 billion will be reported by our licensees in the March quarter for shipments they made in the December quarter, up approximately 14% sequentially at the midpoint, reflecting the seasonal strength of the holiday quarter. If the dispute related units continue to be reported and the matter is not resolved during the quarter, then we could again see units included in for which revenue would not be recognized. Also in QTL, we're expecting a onetime benefit of approximately $250 million in revenue in the fiscal second quarter based on termination of an infrastructure license agreement that resulted from one of our licensees acquiring another one of our licensees. This was partially offset by the end of a multiyear amortization of approximately $100 million in quarterly license fees. These events were expected and contemplated in our prior guidance. In QCT, we expect MSM shipments of approximately 175 million to 195 million units, lower sequentially reflecting seasonal trends, somewhat exaggerated by an above seasonal decline in demand for thin modem products. We also see some modest negative impact from mixed shift across OEMs and devices in China. We expect revenue per MSM to be higher quarter-over-quarter, reflecting stronger mix, including a lower mix of thin modem shipments, and consistent with our prior guidance, we expect QCT's fiscal second quarter operating margin percentage to be in the low to mid-single digits. 
That concludes my comments. I will now turn the call back to Warren."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Thank you, George. Operator, we're ready for questions.",8,"Thank you, George. Operator, we're ready for questions."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Operator","[Operator Instructions] Your first question comes from the line of Mike Walkley with Canaccord Genuity.",15,"[Operator Instructions] Your first question comes from the line of Mike Walkley with Canaccord Genuity."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Analysts","George, just following up on the QTL guidance is that $250 million from the merger of your infrastructure customers, that's included in the guidance? I just wanted to clarify that. And then overall longer term as you look at QTL with the royalty rate and",67,"George, just following up on the QTL guidance is that $250 million from the merger of your infrastructure customers, that's included in the guidance? I just wanted to clarify that. And then overall longer term as you look at QTL with the royalty rate and more 3-mode devices coming in, Derek, can you help us think about maybe the implied royalty rate going forward that's very helpful."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Mike, this is George. Yes, the $250 million is included in the guidance and remember, it's netted against the expiration of about $100 million a quarter from a previous multiyear agreement.",31,"Mike, this is George. Yes, the $250 million is included in the guidance and remember, it's netted against the expiration of about $100 million a quarter from a previous multiyear agreement."
33493,309328954,921799,"QUALCOMM Incorporated, Q1 2016 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","QUALCOMM Incorporated","Executives","Mike, this is Derek. On the implied royalty rate question, I think, you know, there's so many moving pieces on this, but let me give you a sort of a high-level view. I think there's going to be some lumpiness as we go forward just in terms of catch-up uni",157,"Mike, this is Derek. On the implied royalty rate question, I think, you know, there's so many moving pieces on this, but let me give you a sort of a high-level view. I think there's going to be some lumpiness as we go forward just in terms of catch-up units coming in and some of those will be 3-mode units for prior periods as well as then as licensees start reporting more 3-mode that will have some -- that will put some pressure on the rate. Although actually what we're seeing in the market in China is more of a shift to 5 and 6-mode devices and away from 3-mode devices. And so a lot of that is I traction now has moved, and I think as you go into the second half of '16, we'll probably start seeing, as a percentage of units in China, a reduction in the amount of 3-mode on a go-forward basis."
